流水Id	配置ID	背景类型	时间类型	生效起始点	显示时间方式	时间语言包	免费倒计时	最终保底次数	单次召唤消耗
67	68	2	1	2020,12,15;2020,12,17	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
68	69	2	1	2020,12,18;2020,12,20	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
69	70	2	1	2020,12,21;2020,12,23	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
70	71	2	1	2020,12,24;2020,12,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
71	72	2	1	2020,12,27;2020,12,29	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
72	73	2	1	2020,12,30;2021,01,01	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
73	74	2	1	2021,01,02;2021,01,04	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
74	75	2	1	2021,01,05;2021,01,07	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
75	76	2	1	2021,01,08;2021,01,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
76	77	2	1	2021,01,11;2021,01,13	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
77	78	2	1	2021,01,14;2021,01,16	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
78	79	2	1	2021,01,17;2021,01,19	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
79	80	2	1	2021,01,20;2021,01,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
80	81	2	1	2021,01,23;2021,01,25	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
81	82	2	1	2021,01,26;2021,01,28	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
82	83	2	1	2021,01,29;2021,01,31	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
83	84	2	1	2021,02,01;2021,02,04	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
84	85	2	1	2021,02,05;2021,02,09	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
85	86	2	1	2021,02,10;2021,02,13	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
86	87	2	1	2021,02,14;2021,02,18	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
87	88	2	1	2021,02,19;2021,02,21	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
88	89	2	1	2021,02,22;2021,02,24	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
89	90	2	1	2021,02,25;2021,02,27	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
90	91	2	1	2021,02,28;2021,03,02	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
91	92	2	1	2021,03,03;2021,03,05	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
92	93	2	1	2021,03,06;2021,03,08	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
93	94	2	1	2021,03,09;2021,03,11	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
94	95	2	1	2021,03,12;2021,03,14	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
95	96	2	1	2021,03,15;2021,03,17	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
96	97	2	1	2021,03,18;2021,03,20	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
97	98	2	1	2021,03,21;2021,03,23	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
98	99	2	1	2021,03,24;2021,03,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
99	100	2	1	2021,03,27;2021,03,29	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
100	101	2	1	2021,03,30;2021,04,01	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
101	102	2	1	2021,04,02;2021,04,04	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
102	103	2	1	2021,04,05;2021,04,07	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
103	104	2	1	2021,04,08;2021,04,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
104	105	2	1	2021,04,11;2021,04,13	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
105	106	2	1	2021,04,14;2021,04,16	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
106	107	2	1	2021,04,17;2021,04,19	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
107	108	2	1	2021,04,20;2021,04,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
108	109	2	1	2021,04,23;2021,04,25	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
109	110	2	1	2021,04,26;2021,04,28	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
110	111	2	1	2021,04,29;2021,05,05	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
111	112	2	1	2021,05,06;2021,05,12	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
112	113	2	1	2021,05,13;2021,05,15	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
113	114	2	1	2021,05,16;2021,05,18	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
114	115	2	1	2021,05,19;2021,05,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
115	116	2	1	2021,05,23;2021,05,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
116	117	2	1	2021,05,27;2021,05,29	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
117	118	2	1	2021,05,30;2021,06,01	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
118	119	2	1	2021,06,02;2021,06,04	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
119	120	2	1	2021,06,05;2021,06,07	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
120	121	2	1	2021,06,08;2021,06,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
121	122	2	1	2021,06,11;2021,06,13	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
122	123	2	1	2021,06,14;2021,06,16	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
123	124	2	1	2021,06,17;2021,06,19	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
124	125	2	1	2021,06,20;2021,06,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
125	126	2	1	2021,06,23;2021,06,25	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
126	127	2	1	2021,06,26;2021,06,28	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
127	128	2	1	2021,06,29;2021,07,01	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
128	129	2	1	2021,07,02;2021,07,04	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
129	130	2	1	2021,07,05;2021,07,07	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
130	131	2	1	2021,07,08;2021,07,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
131	132	2	1	2021,07,11;2021,07,14	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
132	133	2	1	2021,07,15;2021,07,19	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
133	134	2	1	2021,07,20;2021,07,23	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
134	135	2	1	2021,07,24;2021,07,28	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
135	136	2	1	2021,07,29;2021,07,31	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
136	137	2	1	2021,08,01;2021,08,03	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
137	138	2	1	2021,08,04;2021,08,06	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
138	139	2	1	2021,08,07;2021,08,09	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
139	140	2	1	2021,08,10;2021,08,12	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
140	141	2	1	2021,08,13;2021,08,15	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
141	142	2	1	2021,08,16;2021,08,18	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
142	143	2	1	2021,08,19;2021,08,21	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
143	144	2	1	2021,08,22;2021,08,24	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
144	145	2	1	2021,08,25;2021,08,27	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
145	146	2	1	2021,08,28;2021,08,30	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
146	147	2	1	2021,08,31;2021,09,02	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
147	148	2	1	2021,09,03;2021,09,05	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
148	149	2	1	2021,09,06;2021,09,08	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
149	150	2	1	2021,09,09;2021,09,11	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
150	151	2	1	2021,09,12;2021,09,14	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
151	152	2	1	2021,09,15;2021,09,17	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
152	153	2	1	2021,09,18;2021,09,20	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
153	154	2	1	2021,09,21;2021,09,23	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
154	155	2	1	2021,09,24;2021,09,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
155	156	2	1	2021,09,27;2021,09,30	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
156	157	2	1	2021,10,11;2021,10,13	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
157	158	2	1	2021,10,14;2021,10,16	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
158	159	2	1	2021,10,01;2021,10,05	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
159	160	2	1	2021,10,06;2021,10,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
160	161	2	1	2021,10,17;2021,10,20	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
161	162	2	1	2021,10,21;2021,10,23	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
162	163	2	1	2021,10,24;2021,10,28	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
163	164	2	1	2021,10,29;2021,10,31	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
164	165	2	1	2021,11,01;2021,11,03	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
165	166	2	1	2021,11,04;2021,11,07	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
166	167	2	1	2021,11,08;2021,11,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
167	168	2	1	2021,11,11;2021,11,14	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
168	169	2	1	2021,11,15;2021,11,17	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
169	170	2	1	2021,11,18;2021,11,21	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
170	171	2	1	2021,11,22;2021,11,24	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
171	172	2	1	2021,11,25;2021,11,27	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
172	173	2	1	2021,11,28;2021,11,30	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
173	174	2	1	2021,12,01;2021,12,03	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
174	175	2	1	2021,12,04;2021,12,06	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
175	176	2	1	2021,12,07;2021,12,09	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
176	177	2	1	2021,12,10;2021,12,12	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
177	178	2	1	2021,12,13;2021,12,15	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
178	179	2	1	2021,12,16;2021,12,19	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
179	180	2	1	2021,12,20;2021,12,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
180	181	2	1	2021,12,23;2021,12,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
181	182	2	1	2021,12,27;2021,12,29	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
182	183	2	1	2021,12,30;2022,01,01	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
183	184	2	1	2022,01,02;2022,01,04	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
184	185	2	1	2022,01,05;2022,01,07	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
185	186	2	1	2022,01,08;2022,01,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
186	187	2	1	2022,01,11;2022,01,13	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
187	188	2	1	2022,01,14;2022,01,16	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
188	189	2	1	2022,01,17;2022,01,19	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
189	190	2	1	2022,01,20;2022,01,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
190	191	2	1	2022,01,23;2022,01,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
191	192	2	1	2022,01,27;2022,01,31	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
192	193	2	1	2022,02,01;2022,02,03	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
193	194	2	1	2022,02,04;2022,02,06	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
194	195	2	1	2022,02,07;2022,02,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
195	196	2	1	2022,02,11;2022,02,13	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
196	197	2	1	2022,02,14;2022,02,17	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
197	198	2	1	2022,02,18;2022,02,20	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
198	199	2	1	2022,02,21;2022,02,24	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
199	200	2	1	2022,02,25;2022,02,27	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
200	201	2	1	2022,02,28;2022,03,02	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
201	202	2	1	2022,03,03;2022,03,05	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
202	203	2	1	2022,03,06;2022,03,08	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
203	204	2	1	2022,03,09;2022,03,11	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
204	205	2	1	2022,11,25;2022,11,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
205	206	2	1	2022,11,25;2022,11,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
206	207	2	1	2023,02,07;2023,02,09	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
207	209	2	1	2023,02,10;2023,02,12	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
208	211	2	1	2023,04,03;2023,04,07	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
