时装id	高模绑点参数	高模时装特效	低模绑点参数	低模时装特效	高模待机动作	高模展示动作	待机动作	移动动作	展示动作	展示间隔时间
fashion_100444	48;70;28;26	41000054;41000055;41000056;41000057	48;70;28;26	41000054;41000055;41000056;41000057	idle01	show01	idle01	idle01	show01	30.000000
fashion_100445	10	41000060	10	41000060	idle01	idle01	idle01	idle01	idle01	10000.000000
fashion_100446	10	41000061	10	41000061	idle01	idle01	idle01	idle01	idle01	10000.000000
fashion_100447	94;37;10	41000069;41000070;41000071	94;37;10	41000069;41000070;41000071	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100448	4;48;94;37;3;10	41000063;41000064;41000065;41000066;41000067;41000068	4;48;94;37;3;10	41000063;41000064;41000065;41000066;41000067;41000068	idle01	show01	idle01	idle01	show01	15.000000
fashion_100701					idle01	show01	idle01	idle01	show01	10.000000
fashion_100702					idle01	show01	idle01	idle01	show01	10.000000
fashion_100703	25;19	41000107;41000108	25;19	41000107;41000108	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100704	7;19	41000109;41000110	7;19	41000109;41000110	idle01	show01	idle01	idle01	show01	10000.000000
fashion_301301	25	304	25	304						0.000000
fashion_302301	25	305	25	305						0.000000
fashion_303301	25	305	25	305						0.000000
fashion_304301	25	305	25	305						0.000000
fashion_305301	25	304	25	304						0.000000
fashion_306301	25	304	25	304						0.000000
fashion_307301	25	304	25	304						0.000000
fashion_308301	25	304	25	304						0.000000
fashion_100423	4	41000008	4	41000008						0.000000
fashion_301302	25	40000216	25	40000216						0.000000
fashion_302302	25	40000217	25	40000217						0.000000
fashion_303302	25	40000217	25	40000217						0.000000
fashion_304302	25	40000217	25	40000217						0.000000
fashion_305302	25	40000216	25	40000216						0.000000
fashion_306302	25	40000216	25	40000216						0.000000
fashion_307302	25	40000216	25	40000216						0.000000
fashion_308302	25	40000216	25	40000216						0.000000
fashion_301303	25	40000226	25	40000226						0.000000
fashion_302303	25	40000226	25	40000226						0.000000
fashion_303303	25	40000226	25	40000226						0.000000
fashion_304303	25	40000226	25	40000226						0.000000
fashion_305303	25	40000226	25	40000226						0.000000
fashion_306303	25	40000226	25	40000226						0.000000
fashion_307303	25	40000226	25	40000226						0.000000
fashion_308303	25	40000226	25	40000226						0.000000
fashion_301306	25	41000039	25	41000039						0.000000
fashion_302306	25	41000039	25	41000039						0.000000
fashion_303306	25	41000039	25	41000039						0.000000
fashion_304306	25	41000039	25	41000039						0.000000
fashion_305306	25	41000039	25	41000039						0.000000
fashion_306306	25	41000039	25	41000039						0.000000
fashion_307306	25	41000039	25	41000039						0.000000
fashion_308306	25	41000039	25	41000039						0.000000
fashion_301307	25	41000059	25	41000059						0.000000
fashion_302307	25	41000059	25	41000059						0.000000
fashion_303307	25	41000059	25	41000059						0.000000
fashion_304307	25	41000059	25	41000059						0.000000
fashion_305307	25	41000059	25	41000059						0.000000
fashion_306307	25	41000059	25	41000059						0.000000
fashion_307307	25	41000059	25	41000059						0.000000
fashion_308307	25	41000059	25	41000059						0.000000
fashion_301308	25	41000118	25	41000118						0.000000
fashion_302308	25	41000118	25	41000118						0.000000
fashion_303308	25	41000118	25	41000118						0.000000
fashion_304308	25	41000118	25	41000118						0.000000
fashion_305308	25	41000118	25	41000118						0.000000
fashion_306308	25	41000118	25	41000118						0.000000
fashion_307308	25	41000118	25	41000118						0.000000
fashion_308308	25	41000118	25	41000118						0.000000
fashion_101280	95	41000074	95	41000074						0.000000
fashion_102280	95	41000075	95	41000075						0.000000
fashion_103280	95	41000076	95	41000076						0.000000
fashion_104280	95	41000077	95	41000077						0.000000
fashion_105280	95	41000078	95	41000078						0.000000
fashion_106280	95	41000079	95	41000079						0.000000
fashion_107280	95	41000080	95	41000080						0.000000
fashion_108280	95	41000081	95	41000081						0.000000
fashion_100449	10	41000082	10	41000082	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100453	71;11;37	41000091;41000092;41000093	71;11;37	41000091;41000092;41000093	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100450	11;49;1	41000094;41000095;41000096	11;49;1	41000094;41000095;41000096	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100454	1	41000117	1	41000117	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100455	1;1;161;161;0	41000097;41000098;41000099;41000100;41000101	1;1;161;161	41000097;41000098;41000099;41000100	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100456		41000102		41000102	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100457	71;11;37	41000111;41000112;41000113	71;11;37	41000111;41000112;41000113	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100458	71;11;37	41000114;41000115;41000116	71;11;37	41000114;41000115;41000116	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100459	1	41000119	1	41000119	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100460	10	41000120	10	41000120	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100461	43;13;97;96;1	41000148;41000149;41000150;41000151;41000152	43;13;97;96;1	41000148;41000149;41000150;41000151;41000152	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100462	32;3;10	41000126;41000127;41000128	32;3;10	41000126;41000127;41000128	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100463	114	41000125	114	41000125	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100464	1	41000129	1	41000129	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100465	13;43;1	41000155;41000156;41000157	13;43;1	41000155;41000156;41000157	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100466	50	41000130	50	41000130	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100467	2	41000131	2	41000131	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100468	59;18	41000171;41000172	59;18	41000171;41000172	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100705	2;21	41000183;41000184	2;21	41000183;41000184	idle01	show01	idle01	idle01	show01	5.600000
fashion_100472	43;10	41000176;41000177	43;10	41000176;41000177	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100469	25;70;25;25	41000196;41000197;41000198;41000199	25;70;25;25	41000196;41000197;41000198;41000199	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100470	25;70;25;25	41000196;41000197;41000198;41000199	25;70;25;25	41000196;41000197;41000198;41000199	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100471	10;38;10;10	41000192;41000193;41000194;41000195	10;38;10;10	41000192;41000193;41000194;41000195	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100473	4;38;59	41000204;41000205;41000206	4;38;59	41000204;41000205;41000206	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100474	4;70;86	41000201;41000202;41000203	4;70;86	41000201;41000202;41000203	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100475	125;62	41000210;41000211	125;62	41000210;41000211	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100476	1	41000209	1	41000209	idle01	show01	idle01	idle01	show01	10000.000000
fashion_101193	10	41000217	4	41000263						0.000000
fashion_101293	175;27	41000218;41000228	58;71	41000261;41000262						0.000000
fashion_101393	25	41000219	25	41000219						0.000000
fashion_102193	10;4	41000220;41000221	46	41000264						0.000000
fashion_102293	27	41000223	27	41000267						0.000000
fashion_102393	25	41000224	25	41000265						0.000000
fashion_103193	1	41000294	1	41000271						0.000000
fashion_103293	27	41000226	27	41000269						0.000000
fashion_103393	21	41000225	21	41000268						0.000000
fashion_104193	1	41000295	1	41000272						0.000000
fashion_104293	27	41000231	27	41000275						0.000000
fashion_104393	21	41000229	21	41000273						0.000000
fashion_105193	96;97	41000233;41000234	96;97	41000276;41000277						0.000000
fashion_105293	175;27	41000235;41000236	175;27	41000279;41000280						0.000000
fashion_105393	25	41000237	25	41000278						0.000000
fashion_106193	75;90	41000241;41000242	47;59	41000284;41000285						0.000000
fashion_106293	27;175	41000239;41000240	27;175	41000282;41000283						0.000000
fashion_106393	25	41000238	25	41000281						0.000000
fashion_107193	1	41000296	1	41000289						0.000000
fashion_107293	175;27	41000243;41000244	175;27	41000287;41000288						0.000000
fashion_107393	25	41000245	25	41000286						0.000000
fashion_108193	1	41000247	1	41000293						0.000000
fashion_108293	27;175	41000250;41000249	27;175	41000292;41000291						0.000000
fashion_108393	25	41000248	25	41000290						0.000000
fashion_100477	71;150	41000215;41000216	71;150	41000215;41000216	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100478	61;32;94;37	41000311;41000312;41000313;41000314	61;32;94;37	41000311;41000312;41000313;41000314	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100479	10	41000322	10	41000322	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100480	10;125;61;12;141	41000337;41000338;41000339;41000340;41000341	10;125;61;12;141	41000337;41000338;41000339;41000340;41000341	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100481	122;10;157	41000319;41000320;41000321	122;10;157	41000319;41000320;41000321	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100482	125;70	41000207;41000208	125;70	41000207;41000208	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100483	1;1	41000259;41000260	1;1	41000259;41000260	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100484	1;43	41000335;41000336	1;43	41000335;41000336	idle01	show01	idle01	idle01	show01	10000.000000
fashion_301311	25	41000315	25	41000316	idle01	show01	idle01	idle01	show01	10000.000000
fashion_302311	25	41000315	25	41000316	idle01	show01	idle01	idle01	show01	10000.000000
fashion_303311	25	41000315	25	41000316	idle01	show01	idle01	idle01	show01	10000.000000
fashion_304311	25	41000315	25	41000316	idle01	show01	idle01	idle01	show01	10000.000000
fashion_305311	25	41000315	25	41000316	idle01	show01	idle01	idle01	show01	10000.000000
fashion_306311	25	41000315	25	41000316	idle01	show01	idle01	idle01	show01	10000.000000
fashion_307311	25	41000315	25	41000316	idle01	show01	idle01	idle01	show01	10000.000000
fashion_308311	25	41000315	25	41000316	idle01	show01	idle01	idle01	show01	10000.000000
fashion_101199	10	41000360	4	41000364						10000.000000
fashion_101299	186;187;109	41000361;41000362;41000367	185;30;109	41000365;41000366;41000367						10000.000000
fashion_101399	21	41000363	21	41000363						10000.000000
fashion_102199	4;10	41000368;41000425	1	41000373						10000.000000
fashion_102299	189;190;109	41000369;41000370;41000371	188;4;109	41000374;41000375;41000376						10000.000000
fashion_102399	21	41000427	21	41000372						10000.000000
fashion_103199	1	41000380	1	41000380						10000.000000
fashion_103299	191;201;109	41000377;41000378;41000383	191;192;109	41000381;41000382;41000383						10000.000000
fashion_103399	21	41000379	21	41000379						10000.000000
fashion_104199	1	41000387	1	41000387						10000.000000
fashion_104299	193;194;109	41000384;41000385;41000390	188;119;109	41000388;41000389;41000390						10000.000000
fashion_104399	21	41000386	21	41000386						10000.000000
fashion_105199	8;7	41000391;41000392	8;7	41000394;41000395						10000.000000
fashion_105299	195;117;109	41000396;41000397;41000398	195;117;109	41000396;41000397;41000398						10000.000000
fashion_105399	21	41000393	21	41000393						10000.000000
fashion_106199	90;75	41000400;41000401	59;47	41000405;41000406						10000.000000
fashion_106299	196;176;109	41000402;41000403;41000409	196;176;109	41000407;41000408;41000409						10000.000000
fashion_106399	21	41000399	21	41000404						10000.000000
fashion_107199	1	41000413	1	41000413						10000.000000
fashion_107299	199;200;109	41000410;41000411;41000416	197;198;109	41000414;41000415;41000416						10000.000000
fashion_107399	21	41000426	21	41000412						10000.000000
fashion_108199	1	41000421	1	41000421						10000.000000
fashion_108299	117;29;109	41000418;41000419;41000424	117;29;109	41000422;41000423;41000424						10000.000000
fashion_108399	21	41000417	21	41000420						10000.000000
fashion_100485	10;3;70	41000430;41000431;41000432	10;3;70	41000430;41000431;41000432	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100486	10;94;3;79;46	41000433;41000434;41000435;41000436;41000437	10;94;3;79;46	41000433;41000434;41000435;41000436;41000437	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100487	12;79	41000445;41000446	12;79	41000445;41000446	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100488	1	41000454	1	41000454	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100489	75	41000442	75	41000442	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100491	75	41000443	75	41000443	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100490	75	41000444	75	41000444	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100707					idle01	show01	idle01	idle01	show01	10000.000000
fashion_100708	35;36	41000449;41000450	35;36	41000449;41000450	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100492	10	41000460	10	41000460	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100493					idle01	show01	idle01	idle01	show01	10000.000000
fashion_100494	16;61;43;1	41000463;41000464;41000465;41000466	16;61;43;1	41000463;41000464;41000465;41000466	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100495	1	41000514	1	41000514	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1011102	10	41000474	4	41000511						0.000000
fashion_1012102	114;71	41000475;41000505	58;71	41000513;41000505						0.000000
fashion_1013102	21	41000473	21	41000473						0.000000
fashion_1021102	10	41000468	1	41000497						0.000000
fashion_1022102	27;175	41000469;41000512	27;175	41000469;41000512						0.000000
fashion_1023102	21	41000467	21	41000467						0.000000
fashion_1031102	1	41000477	1	41000515						0.000000
fashion_1032102	27;175	41000478;41000506	27;175	41000478;41000506						0.000000
fashion_1033102	21	41000476	21	41000476						0.000000
fashion_1041102	13	41000480	13	41000480						0.000000
fashion_1042102	27;175	41000481;41000507	27;175	41000481;41000507						0.000000
fashion_1043102	21	41000479	21	41000479						0.000000
fashion_1051102	34;97	41000483;41000496	34;97	41000483;41000496						0.000000
fashion_1052102	115;116	41000484;41000508	115;116	41000484;41000508						0.000000
fashion_1053102	21	41000482	21	41000482						0.000000
fashion_1061102	75;90	41000499;41000500	47;59	41000503;41000504						0.000000
fashion_1062102	46;87	41000472;41000498	10;4	41000501;41000502						0.000000
fashion_1063102	21	41000470	21	41000470						0.000000
fashion_1071102	1	41000486	1	41000516						0.000000
fashion_1072102	202;203	41000487;41000509	202;203	41000487;41000509						0.000000
fashion_1073102	21	41000485	21	41000485						0.000000
fashion_1081102	13	41000489	13	41000489						0.000000
fashion_1082102	204;205	41000490;41000510	204;205	41000490;41000510						0.000000
fashion_1083102	21	41000488	21	41000488						0.000000
fashion_100496	1	41000533	1	41000533	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100497	1;1;1;1;13;34	41000535;41000536;41000537;41000538;41000539;41000540	1;1;1;1;13;34	41000535;41000536;41000537;41000538;41000539;41000540	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100498	1	41000529	1	41000529	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100499	1	41000462	1	41000462	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100709	1	41000493	1	41000493	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100711	1	41000494	1	41000494	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100712					idle01	show01	idle01	idle01	show01	10000.000000
fashion_100713	50	41000517	50	41000517	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004100	1	41000528	1	41000528	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004101	1	41000544	1	41000544	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004112	1	41000547	1	41000547	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004113	1	41000548	1	41000548	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004114	1;3;0	41000549;41000550;41000551	1	41000549;41000551	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004115					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004116					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004119	43;1;34;97	41000631;41000632;41000633;41000634	43;1;34;97	41000631;41000632;41000633;41000634	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004120	1	41000552	1	41000552	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004121	1	41000639	1	41000639	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004123	1	41000641	1	41000641	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004102	1	41000553	1	41000553	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004103	1	41000575	1	41000575	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004104	1	41000642	1	41000642	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004105	22	41000662	22	41000662	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004106	1	41000734	1	41000734	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004107	1	41000751	1	41000751	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004108	1	41000774	1	41000774	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004109	1	41000787	1	41000787	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004110	1	41000898	1	41000898	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004111					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1011108	10	41000571	4	41000567	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1012108	114;50;207	41000572;41000573;41000574	58;2;206	41000568;41000569;41000570	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1013108					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1021108	10;4	41000579;41000580	1	41000576	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1022108	15;209	41000581;41000582	15;208	41000577;41000578	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1023108					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1031108	1	41000586	1	41000583	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1032108	2;211	41000587;41000588	2;213	41000584;41000585	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1033108					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1041108	1	41000592	1	41000589	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1042108	2;213	41000593;41000594	2;212	41000590;41000591	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1043108					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1051108	34;97	41000600;41000601	34;97	41000595;41000596	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1052108	86;15;150	41000602;41000603;41000604	86;2;150	41000597;41000598;41000599	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1053108					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1061108	90;75	41000613;41000614	59;47	41000608;41000609	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1062108	21;2;140	41000610;41000611;41000612	21;2;140	41000605;41000606;41000607	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1063108					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1071108	1	41000619	43	41000615	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1072108	202;2;210	41000620;41000621;41000622	202;2;214	41000616;41000617;41000618	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1073108					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1081108	1	41000627	1	41000623	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1082108	204;2;150	41000628;41000629;41000630	204;2;215	41000624;41000625;41000626	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1083108					idle01	show01	idle01	idle01	show01	10000.000000
fashion_100715	1;43	41000558;41000559	1;43	41000558;41000559	idle01	show01	idle01	idle01	show01	10000.000000
fashion_100714	10;13	41000556;41000561	10;13	41000556;41000557	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004124	1	41000643	1	41000643	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004125	1	41000644	1	41000644	idle01	show01	idle01	idle01	show01	10000.000000
fashion_301316	21	41000647	21	41000647	idle01	show01	idle01	idle01	show01	10000.000000
fashion_302316	21	41000646	21	41000646	idle01	show01	idle01	idle01	show01	10000.000000
fashion_303316	21	41000650	21	41000650	idle01	show01	idle01	idle01	show01	10000.000000
fashion_304316	21	41000651	21	41000651	idle01	show01	idle01	idle01	show01	10000.000000
fashion_305316	21	41000652	21	41000652	idle01	show01	idle01	idle01	show01	10000.000000
fashion_306316	21	41000649	21	41000649	idle01	show01	idle01	idle01	show01	10000.000000
fashion_307316	21	41000653	21	41000653	idle01	show01	idle01	idle01	show01	10000.000000
fashion_308316	21	41000648	21	41000648	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004126	1	41000657	1	41000657	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004127	37;178;10	41000663;41000664;41000665	37;178;10	41000663;41000664;41000665	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004122	10	41000666	10	41000666	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004128					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004129	1;184;4	41000738;41000739;41000740	1;184;4	41000738;41000739;41000740	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004130					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1011112	10	41000672	9	41000693	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1012112	19;15	41000671;41000732	19;2	41000692;41000731	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1013112	25	41000673	25	41000694	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1021112	10;4	41000675;41000676	1	41000696	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1022112	19	41000674	19	41000695	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1023112	25	41000677	25	41000697	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1031112	81	41000679	43	41000699	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1032112	19	41000678	19	41000698	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1033112	25	41000680	25	41000700	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1041112	1	41000682	1	41000702	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1042112	19	41000681	19	41000701	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1043112	25	41000683	25	41000703	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1051112	96;97	41000685;41000686	34;97	41000705;41000706	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1052112	19;15	41000684;41000726	19;2	41000704;41000725	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1053112	25	41000687	25	41000707	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1061112	90;75	41000689;41000690	59;46	41000722;41000723	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1062112	19;2	41000691;41000720	19;2	41000721;41000724	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1063112					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1071112	1	41000709	52	41000715	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1072112	19;2	41000708;41000728	19;2	41000714;41000727	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1073112	25	41000710	25	41000716	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1081112	1	41000712	1	41000718	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1082112	19;2	4100071141000730	19;2	41000717;41000729	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1083112	25	41000713	25	41000719	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004131	48;60	41000747;41000748	48;60	41000747;41000748	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004132	1;43	41000749;41000750	1;43	41000745;41000746	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004133	38;220;1	41000766;41000767;41000768	38;220;1	41000766;41000767;41000768	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004134	1	41000763	1	41000763	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004135					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004136	71;28;4;125	41000777;41000778;41000779;41000780	71;28;4;125	41000777;41000778;41000779;41000780	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004137	1;94;62;132;157	41000806;41000807;41000808;41000809;41000810	1;94;62;132;157	41000806;41000807;41000808;41000809;41000810	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004138	71;75;129	41000802;41000803;41000804	71;75;129	41000802;41000803;41000804	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1011118	10	41000811	9	41000815	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1012118	19;115;116	41000812;41000813;41000814	19;115;116	41000816;41000817;41000818	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1013118					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1021118	10;4	41000819;41000820	1	41000824	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1022118	19;115;116	41000821;41000822;41000823	19;115;116	41000825;41000826;41000827	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1023118					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1031118	1	41000828	1	41000832	idle01	show01	idle01	idle01	show01	10000.000000
