对应道具id	未鉴定道具id	类型	品质	套装id	重铸属性库预览
item176000100614	item176100100614	1	4	1006	304
item176000100624	item176100100624	2	4	1006	304
item176000100634	item176100100634	3	4	1006	304
item176000100644	item176100100644	4	4	1006	304
item176000100654	item176100100654	5	4	1006	304
item176000100664	item176100100664	6	4	1006	304
item176000100715	item176100100715	1	5	1007	305
item176000100725	item176100100725	2	5	1007	305
item176000100735	item176100100735	3	5	1007	305
item176000100745	item176100100745	4	5	1007	305
item176000100755	item176100100755	5	5	1007	305
item176000100765	item176100100765	6	5	1007	305
item176000100815	item176100100815	1	5	1008	305
item176000100825	item176100100825	2	5	1008	305
item176000100835	item176100100835	3	5	1008	305
item176000100845	item176100100845	4	5	1008	305
item176000100855	item176100100855	5	5	1008	305
item176000100865	item176100100865	6	5	1008	305
item176000100915	item176100100915	1	5	1009	305
item176000100925	item176100100925	2	5	1009	305
item176000100935	item176100100935	3	5	1009	305
item176000100945	item176100100945	4	5	1009	305
item176000100955	item176100100955	5	5	1009	305
item176000100965	item176100100965	6	5	1009	305
item176000101015	item176100101015	1	5	1010	305
item176000101025	item176100101025	2	5	1010	305
item176000101035	item176100101035	3	5	1010	305
item176000101045	item176100101045	4	5	1010	305
item176000101055	item176100101055	5	5	1010	305
item176000101065	item176100101065	6	5	1010	305
item176000101115	item176100101115	1	5	1011	305
item176000101125	item176100101125	2	5	1011	305
item176000101135	item176100101135	3	5	1011	305
item176000101145	item176100101145	4	5	1011	305
item176000101155	item176100101155	5	5	1011	305
item176000101165	item176100101165	6	5	1011	305
item176000101215	item176100101215	1	5	1012	305
item176000101225	item176100101225	2	5	1012	305
item176000101235	item176100101235	3	5	1012	305
item176000101245	item176100101245	4	5	1012	305
item176000101255	item176100101255	5	5	1012	305
item176000101265	item176100101265	6	5	1012	305
item1761001006612	item1761001006612	2	2	1001	302
item1761001006613	item1761001006613	3	2	1002	302
item1761001006614	item1761001006614	2	2	1003	302
item1761001006615	item1761001006615	1	2	1004	302
item1761001006616	item1761001006616	2	2	1005	302
item1761001006617	item1761001006617	5	2	1006	302
item1761001006618	item1761001006618	2	3	1001	303
item1761001006619	item1761001006619	3	3	1002	303
item1761001006620	item1761001006620	2	3	1003	303
item1761001006621	item1761001006621	1	3	1004	303
item1761001006622	item1761001006622	2	3	1005	303
item1761001006623	item1761001006623	5	3	1006	303
item1761001006624	item1761001006624	2	4	1001	304
item1761001006625	item1761001006625	3	4	1002	304
item1761001006626	item1761001006626	2	4	1003	304
item1761001006627	item1761001006627	1	4	1004	304
item1761001006628	item1761001006628	2	4	1005	304
item1761001006629	item1761001006629	5	4	1006	304
item1761001006630	item1761001006630	2	5	1007	305
item1761001006631	item1761001006631	3	5	1008	305
item1761001006632	item1761001006632	2	5	1009	305
item1761001006633	item1761001006633	1	5	1010	305
item1761001006634	item1761001006634	2	5	1011	305
item1761001006635	item1761001006635	5	5	1012	305
