流水ID	遗物ID	等级	星级	升级类型	特殊属性库id(前端用)	消耗道具	消耗碎片	消耗任意品质碎片	模型NPCID	模型特效
39	2002	16	3	2	2002016	item171002000001,5			npc_relic_202	
40	2002	17	3	2	2002017	item171002000001,5			npc_relic_202	
41	2002	18	3	2	2002018	item171002000001,5			npc_relic_202	
42	2002	19	3	2	2002019	item171002000001,5			npc_relic_202	
43	2002	20	3	2	2002020	item171002000001,5			npc_relic_202	
44	2002	21	3	2	2002021	item171002000001,5			npc_relic_202	
45	2002	22	4	3	2002022	item171002000002,2	9002002,10		npc_relic_202	
46	2002	23	4	4	2002023		9002002,50		npc_relic_202	
47	2003	1	1	1	2003001		9002003,20		npc_relic_203	
48	2003	2	1	2	2003002	item171002000001,1			npc_relic_203	
49	2003	3	1	2	2003003	item171002000001,1			npc_relic_203	
50	2003	4	1	2	2003004	item171002000001,1			npc_relic_203	
51	2003	5	1	2	2003005	item171002000001,1			npc_relic_203	
52	2003	6	1	2	2003006	item171002000001,1			npc_relic_203	
53	2003	7	1	2	2003007	item171002000001,1			npc_relic_203	
54	2003	8	2	3	2003008	item171002000001,5			npc_relic_203	
55	2003	9	2	2	2003009	item171002000001,3			npc_relic_203	
56	2003	10	2	2	2003010	item171002000001,3			npc_relic_203	
57	2003	11	2	2	2003011	item171002000001,3			npc_relic_203	
58	2003	12	2	2	2003012	item171002000001,3			npc_relic_203	
59	2003	13	2	2	2003013	item171002000001,3			npc_relic_203	
60	2003	14	2	2	2003014	item171002000001,3			npc_relic_203	
61	2003	15	3	3	2003015	item171002000001,10			npc_relic_203	
62	2003	16	3	2	2003016	item171002000001,5			npc_relic_203	
63	2003	17	3	2	2003017	item171002000001,5			npc_relic_203	
64	2003	18	3	2	2003018	item171002000001,5			npc_relic_203	
65	2003	19	3	2	2003019	item171002000001,5			npc_relic_203	
66	2003	20	3	2	2003020	item171002000001,5			npc_relic_203	
67	2003	21	3	2	2003021	item171002000001,5			npc_relic_203	
68	2003	22	4	3	2003022	item171002000002,2	9002003,10		npc_relic_203	
69	2003	23	4	4	2003023		9002003,50		npc_relic_203	
70	2004	1	1	1	2004001		9002004,20		npc_relic_204	
71	2004	2	1	2	2004002	item171002000001,1			npc_relic_204	
72	2004	3	1	2	2004003	item171002000001,1			npc_relic_204	
73	2004	4	1	2	2004004	item171002000001,1			npc_relic_204	
74	2004	5	1	2	2004005	item171002000001,1			npc_relic_204	
75	2004	6	1	2	2004006	item171002000001,1			npc_relic_204	
76	2004	7	1	2	2004007	item171002000001,1			npc_relic_204	
77	2004	8	2	3	2004008	item171002000001,5			npc_relic_204	
78	2004	9	2	2	2004009	item171002000001,3			npc_relic_204	
79	2004	10	2	2	2004010	item171002000001,3			npc_relic_204	
80	2004	11	2	2	2004011	item171002000001,3			npc_relic_204	
81	2004	12	2	2	2004012	item171002000001,3			npc_relic_204	
82	2004	13	2	2	2004013	item171002000001,3			npc_relic_204	
83	2004	14	2	2	2004014	item171002000001,3			npc_relic_204	
84	2004	15	3	3	2004015	item171002000001,10			npc_relic_204	
85	2004	16	3	2	2004016	item171002000001,5			npc_relic_204	
86	2004	17	3	2	2004017	item171002000001,5			npc_relic_204	
87	2004	18	3	2	2004018	item171002000001,5			npc_relic_204	
88	2004	19	3	2	2004019	item171002000001,5			npc_relic_204	
89	2004	20	3	2	2004020	item171002000001,5			npc_relic_204	
90	2004	21	3	2	2004021	item171002000001,5			npc_relic_204	
91	2004	22	4	3	2004022	item171002000002,2	9002004,10		npc_relic_204	
92	2004	23	4	4	2004023		9002004,50		npc_relic_204	
93	2005	1	1	1	2005001		9002005,20		npc_relic_205	
94	2005	2	1	2	2005002	item171002000001,1			npc_relic_205	
95	2005	3	1	2	2005003	item171002000001,1			npc_relic_205	
96	2005	4	1	2	2005004	item171002000001,1			npc_relic_205	
97	2005	5	1	2	2005005	item171002000001,1			npc_relic_205	
98	2005	6	1	2	2005006	item171002000001,1			npc_relic_205	
99	2005	7	1	2	2005007	item171002000001,1			npc_relic_205	
100	2005	8	2	3	2005008	item171002000001,5			npc_relic_205	
101	2005	9	2	2	2005009	item171002000001,3			npc_relic_205	
102	2005	10	2	2	2005010	item171002000001,3			npc_relic_205	
103	2005	11	2	2	2005011	item171002000001,3			npc_relic_205	
104	2005	12	2	2	2005012	item171002000001,3			npc_relic_205	
105	2005	13	2	2	2005013	item171002000001,3			npc_relic_205	
106	2005	14	2	2	2005014	item171002000001,3			npc_relic_205	
107	2005	15	3	3	2005015	item171002000001,10			npc_relic_205	
108	2005	16	3	2	2005016	item171002000001,5			npc_relic_205	
109	2005	17	3	2	2005017	item171002000001,5			npc_relic_205	
110	2005	18	3	2	2005018	item171002000001,5			npc_relic_205	
111	2005	19	3	2	2005019	item171002000001,5			npc_relic_205	
112	2005	20	3	2	2005020	item171002000001,5			npc_relic_205	
113	2005	21	3	2	2005021	item171002000001,5			npc_relic_205	
114	2005	22	4	3	2005022	item171002000002,2	9002005,10		npc_relic_205	
115	2005	23	4	4	2005023		9002005,50		npc_relic_205	
116	2006	1	1	1	2006001		9002006,20		npc_relic_206	
117	2006	2	1	2	2006002	item171002000001,1			npc_relic_206	
118	2006	3	1	2	2006003	item171002000001,1			npc_relic_206	
119	2006	4	1	2	2006004	item171002000001,1			npc_relic_206	
120	2006	5	1	2	2006005	item171002000001,1			npc_relic_206	
121	2006	6	1	2	2006006	item171002000001,1			npc_relic_206	
122	2006	7	1	2	2006007	item171002000001,1			npc_relic_206	
123	2006	8	2	3	2006008	item171002000001,5			npc_relic_206	
124	2006	9	2	2	2006009	item171002000001,3			npc_relic_206	
125	2006	10	2	2	2006010	item171002000001,3			npc_relic_206	
126	2006	11	2	2	2006011	item171002000001,3			npc_relic_206	
127	2006	12	2	2	2006012	item171002000001,3			npc_relic_206	
128	2006	13	2	2	2006013	item171002000001,3			npc_relic_206	
129	2006	14	2	2	2006014	item171002000001,3			npc_relic_206	
130	2006	15	3	3	2006015	item171002000001,10			npc_relic_206	
131	2006	16	3	2	2006016	item171002000001,5			npc_relic_206	
132	2006	17	3	2	2006017	item171002000001,5			npc_relic_206	
133	2006	18	3	2	2006018	item171002000001,5			npc_relic_206	
134	2006	19	3	2	2006019	item171002000001,5			npc_relic_206	
135	2006	20	3	2	2006020	item171002000001,5			npc_relic_206	
136	2006	21	3	2	2006021	item171002000001,5			npc_relic_206	
137	2006	22	4	3	2006022	item171002000002,2	9002006,10		npc_relic_206	
138	2006	23	4	4	2006023		9002006,50		npc_relic_206	
139	2007	1	1	1	2007001		9002007,20		npc_relic_207	
140	2007	2	1	2	2007002	item171002000001,1			npc_relic_207	
141	2007	3	1	2	2007003	item171002000001,1			npc_relic_207	
142	2007	4	1	2	2007004	item171002000001,1			npc_relic_207	
143	2007	5	1	2	2007005	item171002000001,1			npc_relic_207	
144	2007	6	1	2	2007006	item171002000001,1			npc_relic_207	
145	2007	7	1	2	2007007	item171002000001,1			npc_relic_207	
146	2007	8	2	3	2007008	item171002000001,5			npc_relic_207	
147	2007	9	2	2	2007009	item171002000001,3			npc_relic_207	
148	2007	10	2	2	2007010	item171002000001,3			npc_relic_207	
149	2007	11	2	2	2007011	item171002000001,3			npc_relic_207	
150	2007	12	2	2	2007012	item171002000001,3			npc_relic_207	
151	2007	13	2	2	2007013	item171002000001,3			npc_relic_207	
152	2007	14	2	2	2007014	item171002000001,3			npc_relic_207	
153	2007	15	3	3	2007015	item171002000001,10			npc_relic_207	
154	2007	16	3	2	2007016	item171002000001,5			npc_relic_207	
155	2007	17	3	2	2007017	item171002000001,5			npc_relic_207	
156	2007	18	3	2	2007018	item171002000001,5			npc_relic_207	
157	2007	19	3	2	2007019	item171002000001,5			npc_relic_207	
158	2007	20	3	2	2007020	item171002000001,5			npc_relic_207	
159	2007	21	3	2	2007021	item171002000001,5			npc_relic_207	
160	2007	22	4	3	2007022	item171002000002,2	9002007,10		npc_relic_207	
161	2007	23	4	4	2007023		9002007,50		npc_relic_207	
162	2008	1	1	1	2008001		9002008,20		npc_relic_208	
163	2008	2	1	2	2008002	item171002000001,1			npc_relic_208	
164	2008	3	1	2	2008003	item171002000001,1			npc_relic_208	
165	2008	4	1	2	2008004	item171002000001,1			npc_relic_208	
166	2008	5	1	2	2008005	item171002000001,1			npc_relic_208	
167	2008	6	1	2	2008006	item171002000001,1			npc_relic_208	
168	2008	7	1	2	2008007	item171002000001,1			npc_relic_208	
169	2008	8	2	3	2008008	item171002000001,5			npc_relic_208	
170	2008	9	2	2	2008009	item171002000001,3			npc_relic_208	
171	2008	10	2	2	2008010	item171002000001,3			npc_relic_208	
172	2008	11	2	2	2008011	item171002000001,3			npc_relic_208	
173	2008	12	2	2	2008012	item171002000001,3			npc_relic_208	
174	2008	13	2	2	2008013	item171002000001,3			npc_relic_208	
175	2008	14	2	2	2008014	item171002000001,3			npc_relic_208	
176	2008	15	3	3	2008015	item171002000001,10			npc_relic_208	
177	2008	16	3	2	2008016	item171002000001,5			npc_relic_208	
178	2008	17	3	2	2008017	item171002000001,5			npc_relic_208	
179	2008	18	3	2	2008018	item171002000001,5			npc_relic_208	
180	2008	19	3	2	2008019	item171002000001,5			npc_relic_208	
181	2008	20	3	2	2008020	item171002000001,5			npc_relic_208	
182	2008	21	3	2	2008021	item171002000001,5			npc_relic_208	
183	2008	22	4	3	2008022	item171002000002,2	9002008,10		npc_relic_208	
184	2008	23	4	4	2008023		9002008,50		npc_relic_208	
185	2009	1	1	1	2009001		9002009,20		npc_relic_209	
186	2009	2	1	2	2009002	item171002000001,1			npc_relic_209	
187	2009	3	1	2	2009003	item171002000001,1			npc_relic_209	
188	2009	4	1	2	2009004	item171002000001,1			npc_relic_209	
189	2009	5	1	2	2009005	item171002000001,1			npc_relic_209	
190	2009	6	1	2	2009006	item171002000001,1			npc_relic_209	
191	2009	7	1	2	2009007	item171002000001,1			npc_relic_209	
192	2009	8	2	3	2009008	item171002000001,5			npc_relic_209	
193	2009	9	2	2	2009009	item171002000001,3			npc_relic_209	
194	2009	10	2	2	2009010	item171002000001,3			npc_relic_209	
195	2009	11	2	2	2009011	item171002000001,3			npc_relic_209	
196	2009	12	2	2	2009012	item171002000001,3			npc_relic_209	
197	2009	13	2	2	2009013	item171002000001,3			npc_relic_209	
198	2009	14	2	2	2009014	item171002000001,3			npc_relic_209	
199	2009	15	3	3	2009015	item171002000001,10			npc_relic_209	
200	2009	16	3	2	2009016	item171002000001,5			npc_relic_209	
201	2009	17	3	2	2009017	item171002000001,5			npc_relic_209	
202	2009	18	3	2	2009018	item171002000001,5			npc_relic_209	
203	2009	19	3	2	2009019	item171002000001,5			npc_relic_209	
204	2009	20	3	2	2009020	item171002000001,5			npc_relic_209	
205	2009	21	3	2	2009021	item171002000001,5			npc_relic_209	
206	2009	22	4	3	2009022	item171002000002,2	9002009,10		npc_relic_209	
207	2009	23	4	4	2009023		9002009,50		npc_relic_209	
208	2010	1	1	1	2010001		9002010,20		npc_relic_210	
209	2010	2	1	2	2010002	item171002000001,1			npc_relic_210	
210	2010	3	1	2	2010003	item171002000001,1			npc_relic_210	
211	2010	4	1	2	2010004	item171002000001,1			npc_relic_210	
212	2010	5	1	2	2010005	item171002000001,1			npc_relic_210	
213	2010	6	1	2	2010006	item171002000001,1			npc_relic_210	
214	2010	7	1	2	2010007	item171002000001,1			npc_relic_210	
215	2010	8	2	3	2010008	item171002000001,5			npc_relic_210	
216	2010	9	2	2	2010009	item171002000001,3			npc_relic_210	
217	2010	10	2	2	2010010	item171002000001,3			npc_relic_210	
218	2010	11	2	2	2010011	item171002000001,3			npc_relic_210	
219	2010	12	2	2	2010012	item171002000001,3			npc_relic_210	
220	2010	13	2	2	2010013	item171002000001,3			npc_relic_210	
221	2010	14	2	2	2010014	item171002000001,3			npc_relic_210	
222	2010	15	3	3	2010015	item171002000001,10			npc_relic_210	
223	2010	16	3	2	2010016	item171002000001,5			npc_relic_210	
224	2010	17	3	2	2010017	item171002000001,5			npc_relic_210	
225	2010	18	3	2	2010018	item171002000001,5			npc_relic_210	
226	2010	19	3	2	2010019	item171002000001,5			npc_relic_210	
227	2010	20	3	2	2010020	item171002000001,5			npc_relic_210	
228	2010	21	3	2	2010021	item171002000001,5			npc_relic_210	
229	2010	22	4	3	2010022	item171002000002,2	9002010,10		npc_relic_210	
230	2010	23	4	4	2010023		9002010,50		npc_relic_210	
231	2011	1	1	1	2011001		9002011,20		npc_relic_211	
232	2011	2	1	2	2011002	item171002000001,1			npc_relic_211	
233	2011	3	1	2	2011003	item171002000001,1			npc_relic_211	
234	2011	4	1	2	2011004	item171002000001,1			npc_relic_211	
235	2011	5	1	2	2011005	item171002000001,1			npc_relic_211	
236	2011	6	1	2	2011006	item171002000001,1			npc_relic_211	
237	2011	7	1	2	2011007	item171002000001,1			npc_relic_211	
238	2011	8	2	3	2011008	item171002000001,5			npc_relic_211	
239	2011	9	2	2	2011009	item171002000001,3			npc_relic_211	
240	2011	10	2	2	2011010	item171002000001,3			npc_relic_211	
241	2011	11	2	2	2011011	item171002000001,3			npc_relic_211	
242	2011	12	2	2	2011012	item171002000001,3			npc_relic_211	
243	2011	13	2	2	2011013	item171002000001,3			npc_relic_211	
244	2011	14	2	2	2011014	item171002000001,3			npc_relic_211	
245	2011	15	3	3	2011015	item171002000001,10			npc_relic_211	
246	2011	16	3	2	2011016	item171002000001,5			npc_relic_211	
247	2011	17	3	2	2011017	item171002000001,5			npc_relic_211	
248	2011	18	3	2	2011018	item171002000001,5			npc_relic_211	
249	2011	19	3	2	2011019	item171002000001,5			npc_relic_211	
250	2011	20	3	2	2011020	item171002000001,5			npc_relic_211	
251	2011	21	3	2	2011021	item171002000001,5			npc_relic_211	
252	2011	22	4	3	2011022	item171002000002,2	9002011,10		npc_relic_211	
253	2011	23	4	4	2011023		9002011,50		npc_relic_211	
254	2012	1	1	1	2012001		9002012,20		npc_relic_212	
255	2012	2	1	2	2012002	item171002000001,1			npc_relic_212	
256	2012	3	1	2	2012003	item171002000001,1			npc_relic_212	
257	2012	4	1	2	2012004	item171002000001,1			npc_relic_212	
258	2012	5	1	2	2012005	item171002000001,1			npc_relic_212	
259	2012	6	1	2	2012006	item171002000001,1			npc_relic_212	
260	2012	7	1	2	2012007	item171002000001,1			npc_relic_212	
261	2012	8	2	3	2012008	item171002000001,5			npc_relic_212	
262	2012	9	2	2	2012009	item171002000001,3			npc_relic_212	
263	2012	10	2	2	2012010	item171002000001,3			npc_relic_212	
264	2012	11	2	2	2012011	item171002000001,3			npc_relic_212	
265	2012	12	2	2	2012012	item171002000001,3			npc_relic_212	
266	2012	13	2	2	2012013	item171002000001,3			npc_relic_212	
267	2012	14	2	2	2012014	item171002000001,3			npc_relic_212	
268	2012	15	3	3	2012015	item171002000001,10			npc_relic_212	
269	2012	16	3	2	2012016	item171002000001,5			npc_relic_212	
270	2012	17	3	2	2012017	item171002000001,5			npc_relic_212	
271	2012	18	3	2	2012018	item171002000001,5			npc_relic_212	
272	2012	19	3	2	2012019	item171002000001,5			npc_relic_212	
273	2012	20	3	2	2012020	item171002000001,5			npc_relic_212	
274	2012	21	3	2	2012021	item171002000001,5			npc_relic_212	
275	2012	22	4	3	2012022	item171002000002,2	9002012,10		npc_relic_212	
276	2012	23	4	4	2012023		9002012,50		npc_relic_212	
277	3001	1	1	1	3001001		9003001,20		npc_relic_301	5900301
278	3001	2	1	2	3001002	item171002000001,2			npc_relic_301	5900301
279	3001	3	1	2	3001003	item171002000001,2			npc_relic_301	5900301
280	3001	4	1	2	3001004	item171002000001,2			npc_relic_301	5900301
281	3001	5	1	2	3001005	item171002000001,2			npc_relic_301	5900301
282	3001	6	1	2	3001006	item171002000001,2			npc_relic_301	5900301
283	3001	7	1	2	3001007	item171002000001,2			npc_relic_301	5900301
284	3001	8	2	3	3001008	item171002000001,10			npc_relic_301	5900301
285	3001	9	2	2	3001009	item171002000001,4			npc_relic_301	5900301
286	3001	10	2	2	3001010	item171002000001,4			npc_relic_301	5900301
287	3001	11	2	2	3001011	item171002000001,4			npc_relic_301	5900301
288	3001	12	2	2	3001012	item171002000001,4			npc_relic_301	5900301
289	3001	13	2	2	3001013	item171002000001,4			npc_relic_301	5900301
290	3001	14	2	2	3001014	item171002000001,4			npc_relic_301	5900301
291	3001	15	3	3	3001015	item171002000001,20			npc_relic_301	5900301
292	3001	16	3	2	3001016	item171002000001,6			npc_relic_301	5900301
293	3001	17	3	2	3001017	item171002000001,6			npc_relic_301	5900301
294	3001	18	3	2	3001018	item171002000001,6			npc_relic_301	5900301
295	3001	19	3	2	3001019	item171002000001,6			npc_relic_301	5900301
296	3001	20	3	2	3001020	item171002000001,6			npc_relic_301	5900301
297	3001	21	3	2	3001021	item171002000001,6			npc_relic_301	5900301
298	3001	22	4	3	3001022	item171002000002,3	9003001,10	2,50	npc_relic_301	5900301
299	3001	23	4	2	3001023	item171002000002,1			npc_relic_301	5900301
300	3001	24	4	2	3001024	item171002000002,1			npc_relic_301	5900301
301	3001	25	4	2	3001025	item171002000002,1			npc_relic_301	5900301
302	3001	26	4	2	3001026	item171002000002,1			npc_relic_301	5900301
303	3001	27	4	2	3001027	item171002000002,1			npc_relic_301	5900301
304	3001	28	4	2	3001028	item171002000002,1			npc_relic_301	5900301
305	3001	29	5	3	3001029	item171002000002,5	9003001,20	2,50	npc_relic_301	5900301
306	3001	30	5	4	3001030		9003001,50	2,100	npc_relic_301	5900301
307	3002	1	1	1	3002001		9003002,20		npc_relic_302	5900302
308	3002	2	1	2	3002002	item171002000001,2			npc_relic_302	5900302
309	3002	3	1	2	3002003	item171002000001,2			npc_relic_302	5900302
310	3002	4	1	2	3002004	item171002000001,2			npc_relic_302	5900302
311	3002	5	1	2	3002005	item171002000001,2			npc_relic_302	5900302
312	3002	6	1	2	3002006	item171002000001,2			npc_relic_302	5900302
313	3002	7	1	2	3002007	item171002000001,2			npc_relic_302	5900302
314	3002	8	2	3	3002008	item171002000001,10			npc_relic_302	5900302
315	3002	9	2	2	3002009	item171002000001,4			npc_relic_302	5900302
316	3002	10	2	2	3002010	item171002000001,4			npc_relic_302	5900302
317	3002	11	2	2	3002011	item171002000001,4			npc_relic_302	5900302
318	3002	12	2	2	3002012	item171002000001,4			npc_relic_302	5900302
319	3002	13	2	2	3002013	item171002000001,4			npc_relic_302	5900302
320	3002	14	2	2	3002014	item171002000001,4			npc_relic_302	5900302
321	3002	15	3	3	3002015	item171002000001,20			npc_relic_302	5900302
322	3002	16	3	2	3002016	item171002000001,6			npc_relic_302	5900302
323	3002	17	3	2	3002017	item171002000001,6			npc_relic_302	5900302
324	3002	18	3	2	3002018	item171002000001,6			npc_relic_302	5900302
325	3002	19	3	2	3002019	item171002000001,6			npc_relic_302	5900302
326	3002	20	3	2	3002020	item171002000001,6			npc_relic_302	5900302
327	3002	21	3	2	3002021	item171002000001,6			npc_relic_302	5900302
328	3002	22	4	3	3002022	item171002000002,3	9003002,10	2,50	npc_relic_302	5900302
329	3002	23	4	2	3002023	item171002000002,1			npc_relic_302	5900302
330	3002	24	4	2	3002024	item171002000002,1			npc_relic_302	5900302
331	3002	25	4	2	3002025	item171002000002,1			npc_relic_302	5900302
332	3002	26	4	2	3002026	item171002000002,1			npc_relic_302	5900302
333	3002	27	4	2	3002027	item171002000002,1			npc_relic_302	5900302
334	3002	28	4	2	3002028	item171002000002,1			npc_relic_302	5900302
335	3002	29	5	3	3002029	item171002000002,5	9003002,20	2,50	npc_relic_302	5900302
336	3002	30	5	4	3002030		9003002,50	2,100	npc_relic_302	5900302
337	3003	1	1	1	3003001		9003003,20		npc_relic_303	5900303
338	3003	2	1	2	3003002	item171002000001,2			npc_relic_303	5900303
339	3003	3	1	2	3003003	item171002000001,2			npc_relic_303	5900303
340	3003	4	1	2	3003004	item171002000001,2			npc_relic_303	5900303
341	3003	5	1	2	3003005	item171002000001,2			npc_relic_303	5900303
342	3003	6	1	2	3003006	item171002000001,2			npc_relic_303	5900303
343	3003	7	1	2	3003007	item171002000001,2			npc_relic_303	5900303
344	3003	8	2	3	3003008	item171002000001,10			npc_relic_303	5900303
345	3003	9	2	2	3003009	item171002000001,4			npc_relic_303	5900303
346	3003	10	2	2	3003010	item171002000001,4			npc_relic_303	5900303
347	3003	11	2	2	3003011	item171002000001,4			npc_relic_303	5900303
348	3003	12	2	2	3003012	item171002000001,4			npc_relic_303	5900303
349	3003	13	2	2	3003013	item171002000001,4			npc_relic_303	5900303
350	3003	14	2	2	3003014	item171002000001,4			npc_relic_303	5900303
351	3003	15	3	3	3003015	item171002000001,20			npc_relic_303	5900303
352	3003	16	3	2	3003016	item171002000001,6			npc_relic_303	5900303
353	3003	17	3	2	3003017	item171002000001,6			npc_relic_303	5900303
354	3003	18	3	2	3003018	item171002000001,6			npc_relic_303	5900303
355	3003	19	3	2	3003019	item171002000001,6			npc_relic_303	5900303
356	3003	20	3	2	3003020	item171002000001,6			npc_relic_303	5900303
357	3003	21	3	2	3003021	item171002000001,6			npc_relic_303	5900303
358	3003	22	4	3	3003022	item171002000002,3	9003003,10	2,50	npc_relic_303	5900303
359	3003	23	4	2	3003023	item171002000002,1			npc_relic_303	5900303
360	3003	24	4	2	3003024	item171002000002,1			npc_relic_303	5900303
361	3003	25	4	2	3003025	item171002000002,1			npc_relic_303	5900303
362	3003	26	4	2	3003026	item171002000002,1			npc_relic_303	5900303
363	3003	27	4	2	3003027	item171002000002,1			npc_relic_303	5900303
364	3003	28	4	2	3003028	item171002000002,1			npc_relic_303	5900303
365	3003	29	5	3	3003029	item171002000002,5	9003003,20	2,50	npc_relic_303	5900303
366	3003	30	5	4	3003030		9003003,50	2,100	npc_relic_303	5900303
367	3004	1	1	1	3004001		9003004,20		npc_relic_304	5900304
368	3004	2	1	2	3004002	item171002000001,2			npc_relic_304	5900304
369	3004	3	1	2	3004003	item171002000001,2			npc_relic_304	5900304
370	3004	4	1	2	3004004	item171002000001,2			npc_relic_304	5900304
371	3004	5	1	2	3004005	item171002000001,2			npc_relic_304	5900304
372	3004	6	1	2	3004006	item171002000001,2			npc_relic_304	5900304
373	3004	7	1	2	3004007	item171002000001,2			npc_relic_304	5900304
374	3004	8	2	3	3004008	item171002000001,10			npc_relic_304	5900304
375	3004	9	2	2	3004009	item171002000001,4			npc_relic_304	5900304
376	3004	10	2	2	3004010	item171002000001,4			npc_relic_304	5900304
377	3004	11	2	2	3004011	item171002000001,4			npc_relic_304	5900304
378	3004	12	2	2	3004012	item171002000001,4			npc_relic_304	5900304
379	3004	13	2	2	3004013	item171002000001,4			npc_relic_304	5900304
380	3004	14	2	2	3004014	item171002000001,4			npc_relic_304	5900304
381	3004	15	3	3	3004015	item171002000001,20			npc_relic_304	5900304
382	3004	16	3	2	3004016	item171002000001,6			npc_relic_304	5900304
383	3004	17	3	2	3004017	item171002000001,6			npc_relic_304	5900304
384	3004	18	3	2	3004018	item171002000001,6			npc_relic_304	5900304
385	3004	19	3	2	3004019	item171002000001,6			npc_relic_304	5900304
386	3004	20	3	2	3004020	item171002000001,6			npc_relic_304	5900304
387	3004	21	3	2	3004021	item171002000001,6			npc_relic_304	5900304
388	3004	22	4	3	3004022	item171002000002,3	9003004,10	2,50	npc_relic_304	5900304
389	3004	23	4	2	3004023	item171002000002,1			npc_relic_304	5900304
390	3004	24	4	2	3004024	item171002000002,1			npc_relic_304	5900304
391	3004	25	4	2	3004025	item171002000002,1			npc_relic_304	5900304
392	3004	26	4	2	3004026	item171002000002,1			npc_relic_304	5900304
393	3004	27	4	2	3004027	item171002000002,1			npc_relic_304	5900304
394	3004	28	4	2	3004028	item171002000002,1			npc_relic_304	5900304
395	3004	29	5	3	3004029	item171002000002,5	9003004,20	2,50	npc_relic_304	5900304
396	3004	30	5	4	3004030		9003004,50	2,100	npc_relic_304	5900304
397	3005	1	1	1	3005001		9003005,20		npc_relic_305	5900305
398	3005	2	1	2	3005002	item171002000001,2			npc_relic_305	5900305
399	3005	3	1	2	3005003	item171002000001,2			npc_relic_305	5900305
400	3005	4	1	2	3005004	item171002000001,2			npc_relic_305	5900305
401	3005	5	1	2	3005005	item171002000001,2			npc_relic_305	5900305
402	3005	6	1	2	3005006	item171002000001,2			npc_relic_305	5900305
403	3005	7	1	2	3005007	item171002000001,2			npc_relic_305	5900305
404	3005	8	2	3	3005008	item171002000001,10			npc_relic_305	5900305
405	3005	9	2	2	3005009	item171002000001,4			npc_relic_305	5900305
406	3005	10	2	2	3005010	item171002000001,4			npc_relic_305	5900305
407	3005	11	2	2	3005011	item171002000001,4			npc_relic_305	5900305
408	3005	12	2	2	3005012	item171002000001,4			npc_relic_305	5900305
409	3005	13	2	2	3005013	item171002000001,4			npc_relic_305	5900305
410	3005	14	2	2	3005014	item171002000001,4			npc_relic_305	5900305
411	3005	15	3	3	3005015	item171002000001,20			npc_relic_305	5900305
412	3005	16	3	2	3005016	item171002000001,6			npc_relic_305	5900305
413	3005	17	3	2	3005017	item171002000001,6			npc_relic_305	5900305
414	3005	18	3	2	3005018	item171002000001,6			npc_relic_305	5900305
