流水ID	关卡ID	层数ID	开放等级	携带词缀	道具奖励	首通掉落	推荐评分	攻略	预览地图资源	地图配置	进攻特效ID
14	1268	14	71	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100671,1;item176000000001,140;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
15	1268	15	71	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100671,1;item176000000001,150;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
16	1268	16	72	32;33;29;30;27;16	item1761001006630,1;item1761001006631,1;item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100673,1;item176000000001,160;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
17	1268	17	72	32;33;29;30;27;16	item1761001006630,1;item1761001006631,1;item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100673,1;item176000000001,170;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
18	1268	18	72	32;33;29;30;27;16	item1761001006630,1;item1761001006631,1;item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100673,1;item176000000001,180;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
19	1269	1	67	26;28;30;16;5;9	item1761001006614,1;item1761001006615,1	item176100100669,1;item176000000001,10;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
20	1269	2	67	26;28;30;16;5;9	item1761001006614,1;item1761001006615,1	item176100100669,1;item176000000001,20;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
21	1269	3	67	26;28;30;16;5;9	item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100669,1;item176000000001,30;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
22	1269	4	68	26;28;30;16;5;9	item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100669,1;item176000000001,40;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
23	1269	5	68	26;28;30;16;5;9	item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100669,1;item176000000001,50;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
24	1269	6	68	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100669,1;item176000000001,60;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
25	1269	7	69	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100670,1;item176000000001,70;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
26	1269	8	69	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100670,1;item176000000001,80;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
27	1269	9	69	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100670,1;item176000000001,90;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
28	1269	10	70	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100670,1;item176000000001,100;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
29	1269	11	70	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100670,1;item176000000001,110;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
30	1269	12	70	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100670,1;item176000000001,120;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
31	1269	13	71	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100671,1;item176000000001,130;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
32	1269	14	71	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100671,1;item176000000001,140;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
33	1269	15	71	26;28;30;16;5;9	item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100671,1;item176000000001,150;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
34	1269	16	72	26;28;30;16;5;9	item1761001006632,1;item1761001006633,1;item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100673,1;item176000000001,160;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
35	1269	17	72	26;28;30;16;5;9	item1761001006632,1;item1761001006633,1;item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100673,1;item176000000001,170;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
36	1269	18	72	26;28;30;16;5;9	item1761001006632,1;item1761001006633,1;item1761001006626,1;item1761001006627,1;item1761001006620,1;item1761001006621,1;item1761001006614,1;item1761001006615,1	item176100100673,1;item176000000001,180;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1269_01,NSkDes1269_01,NSkSolution1269_01;HSkName1269_02,NSkDes1269_02,NSkSolution1269_02;HSkName1269_03,NSkDes1269_03,NSkSolution1269_03;HSkName1269_04,NSkDes1269_04,NSkSolution1269_04;HSkName1269_05,NSkDes1269_05,NSkSolution1269_05	bg_star_map2	-302.9206;-113.9072;0;-299.9673;94.06154;0;-71.35616;-95.4674;0;-132.5636;40.96342;0	5910024
37	1270	1	67	40;20;28;29;25;27;23	item1761001006616,1;item1761001006617,1	item176100100669,1;item176000000001,10;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
38	1270	2	67	40;20;28;29;25;27;23	item1761001006616,1;item1761001006617,1	item176100100669,1;item176000000001,20;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
39	1270	3	67	40;20;28;29;25;27;23	item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100669,1;item176000000001,30;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
40	1270	4	68	40;20;28;29;25;27;23	item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100669,1;item176000000001,40;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
41	1270	5	68	40;20;28;29;25;27;23	item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100669,1;item176000000001,50;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
42	1270	6	68	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100669,1;item176000000001,60;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
43	1270	7	69	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100670,1;item176000000001,70;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
