流水	学徒id	已解锁条数	位置	权重
77	apprentic_2003	3	1,2,3	300
78	apprentic_2004	1	1	10000
79	apprentic_2004	2	1	4500
80	apprentic_2004	2	2	4500
81	apprentic_2004	2	1,2	1000
82	apprentic_2004	3	1	2333
83	apprentic_2004	3	2	2333
84	apprentic_2004	3	3	2334
85	apprentic_2004	3	1,2	833
86	apprentic_2004	3	1,3	833
87	apprentic_2004	3	2,3	834
88	apprentic_2004	3	1,2,3	500
89	apprentic_3001	1	1	10000
90	apprentic_3001	2	1	4500
91	apprentic_3001	2	2	4500
92	apprentic_3001	2	1,2	1000
93	apprentic_3001	3	1	2633
94	apprentic_3001	3	2	2633
95	apprentic_3001	3	3	2634
96	apprentic_3001	3	1,2	666
97	apprentic_3001	3	1,3	667
98	apprentic_3001	3	2,3	667
99	apprentic_3001	3	1,2,3	100
100	apprentic_3002	1	1	10000
101	apprentic_3002	2	1	4500
102	apprentic_3002	2	2	4500
103	apprentic_3002	2	1,2	1000
104	apprentic_3002	3	1	2433
105	apprentic_3002	3	2	2433
106	apprentic_3002	3	3	2434
107	apprentic_3002	3	1,2	833
108	apprentic_3002	3	1,3	833
109	apprentic_3002	3	2,3	834
110	apprentic_3002	3	1,2,3	200
111	apprentic_3003	1	1	10000
112	apprentic_3003	2	1	4500
113	apprentic_3003	2	2	4500
114	apprentic_3003	2	1,2	1000
115	apprentic_3003	3	1	2400
116	apprentic_3003	3	2	2400
117	apprentic_3003	3	3	2400
118	apprentic_3003	3	1,2	833
119	apprentic_3003	3	1,3	833
120	apprentic_3003	3	2,3	834
121	apprentic_3003	3	1,2,3	300
122	apprentic_3004	1	1	10000
123	apprentic_3004	2	1	4500
124	apprentic_3004	2	2	4500
125	apprentic_3004	2	1,2	1000
126	apprentic_3004	3	1	2333
127	apprentic_3004	3	2	2333
128	apprentic_3004	3	3	2334
129	apprentic_3004	3	1,2	833
130	apprentic_3004	3	1,3	833
131	apprentic_3004	3	2,3	834
132	apprentic_3004	3	1,2,3	500
133	apprentic_4001	1	1	10000
134	apprentic_4001	2	1	4500
135	apprentic_4001	2	2	4500
136	apprentic_4001	2	1,2	1000
137	apprentic_4001	3	1	2633
138	apprentic_4001	3	2	2633
139	apprentic_4001	3	3	2634
140	apprentic_4001	3	1,2	666
141	apprentic_4001	3	1,3	667
142	apprentic_4001	3	2,3	667
143	apprentic_4001	3	1,2,3	100
144	apprentic_4002	1	1	10000
145	apprentic_4002	2	1	4500
146	apprentic_4002	2	2	4500
147	apprentic_4002	2	1,2	1000
148	apprentic_4002	3	1	2433
149	apprentic_4002	3	2	2433
150	apprentic_4002	3	3	2434
151	apprentic_4002	3	1,2	833
152	apprentic_4002	3	1,3	833
153	apprentic_4002	3	2,3	834
154	apprentic_4002	3	1,2,3	200
155	apprentic_4003	1	1	10000
156	apprentic_4003	2	1	4500
157	apprentic_4003	2	2	4500
158	apprentic_4003	2	1,2	1000
159	apprentic_4003	3	1	2400
160	apprentic_4003	3	2	2400
161	apprentic_4003	3	3	2400
162	apprentic_4003	3	1,2	833
163	apprentic_4003	3	1,3	833
164	apprentic_4003	3	2,3	834
165	apprentic_4003	3	1,2,3	300
166	apprentic_4004	1	1	10000
167	apprentic_4004	2	1	4500
168	apprentic_4004	2	2	4500
169	apprentic_4004	2	1,2	1000
170	apprentic_4004	3	1	2333
171	apprentic_4004	3	2	2333
172	apprentic_4004	3	3	2334
173	apprentic_4004	3	1,2	833
174	apprentic_4004	3	1,3	833
175	apprentic_4004	3	2,3	834
176	apprentic_4004	3	1,2,3	500
177	apprentic_5001	1	1	10000
178	apprentic_5001	2	1	4500
179	apprentic_5001	2	2	4500
180	apprentic_5001	2	1,2	1000
181	apprentic_5001	3	1	2633
182	apprentic_5001	3	2	2633
183	apprentic_5001	3	3	2634
184	apprentic_5001	3	1,2	666
185	apprentic_5001	3	1,3	667
186	apprentic_5001	3	2,3	667
187	apprentic_5001	3	1,2,3	100
188	apprentic_5002	1	1	10000
189	apprentic_5002	2	1	4500
190	apprentic_5002	2	2	4500
191	apprentic_5002	2	1,2	1000
192	apprentic_5002	3	1	2433
193	apprentic_5002	3	2	2433
194	apprentic_5002	3	3	2434
195	apprentic_5002	3	1,2	833
196	apprentic_5002	3	1,3	833
197	apprentic_5002	3	2,3	834
198	apprentic_5002	3	1,2,3	200
199	apprentic_5003	1	1	10000
200	apprentic_5003	2	1	4500
201	apprentic_5003	2	2	4500
202	apprentic_5003	2	1,2	1000
203	apprentic_5003	3	1	2400
204	apprentic_5003	3	2	2400
205	apprentic_5003	3	3	2400
206	apprentic_5003	3	1,2	833
207	apprentic_5003	3	1,3	833
208	apprentic_5003	3	2,3	834
209	apprentic_5003	3	1,2,3	300
210	apprentic_5004	1	1	10000
211	apprentic_5004	2	1	4500
212	apprentic_5004	2	2	4500
213	apprentic_5004	2	1,2	1000
214	apprentic_5004	3	1	2333
215	apprentic_5004	3	2	2333
216	apprentic_5004	3	3	2334
217	apprentic_5004	3	1,2	833
218	apprentic_5004	3	1,3	833
219	apprentic_5004	3	2,3	834
220	apprentic_5004	3	1,2,3	500
221	apprentic_6001	1	1	10000
222	apprentic_6001	2	1	4500
223	apprentic_6001	2	2	4500
224	apprentic_6001	2	1,2	1000
225	apprentic_6001	3	1	2633
226	apprentic_6001	3	2	2633
227	apprentic_6001	3	3	2634
228	apprentic_6001	3	1,2	666
229	apprentic_6001	3	1,3	667
230	apprentic_6001	3	2,3	667
231	apprentic_6001	3	1,2,3	100
232	apprentic_6002	1	1	10000
233	apprentic_6002	2	1	4500
234	apprentic_6002	2	2	4500
235	apprentic_6002	2	1,2	1000
236	apprentic_6002	3	1	2433
237	apprentic_6002	3	2	2433
238	apprentic_6002	3	3	2434
239	apprentic_6002	3	1,2	833
240	apprentic_6002	3	1,3	833
241	apprentic_6002	3	2,3	834
242	apprentic_6002	3	1,2,3	200
243	apprentic_6003	1	1	10000
244	apprentic_6003	2	1	4500
245	apprentic_6003	2	2	4500
246	apprentic_6003	2	1,2	1000
247	apprentic_6003	3	1	2400
248	apprentic_6003	3	2	2400
249	apprentic_6003	3	3	2400
250	apprentic_6003	3	1,2	833
251	apprentic_6003	3	1,3	833
252	apprentic_6003	3	2,3	834
253	apprentic_6003	3	1,2,3	300
254	apprentic_6004	1	1	10000
255	apprentic_6004	2	1	4500
256	apprentic_6004	2	2	4500
257	apprentic_6004	2	1,2	1000
258	apprentic_6004	3	1	2333
259	apprentic_6004	3	2	2333
260	apprentic_6004	3	3	2334
261	apprentic_6004	3	1,2	833
262	apprentic_6004	3	1,3	833
263	apprentic_6004	3	2,3	834
264	apprentic_6004	3	1,2,3	500
265	apprentic_7001	1	1	10000
266	apprentic_7001	2	1	4500
267	apprentic_7001	2	2	4500
268	apprentic_7001	2	1,2	1000
269	apprentic_7001	3	1	2633
270	apprentic_7001	3	2	2633
271	apprentic_7001	3	3	2634
272	apprentic_7001	3	1,2	666
273	apprentic_7001	3	1,3	667
274	apprentic_7001	3	2,3	667
275	apprentic_7001	3	1,2,3	100
276	apprentic_7002	1	1	10000
277	apprentic_7002	2	1	4500
278	apprentic_7002	2	2	4500
279	apprentic_7002	2	1,2	1000
280	apprentic_7002	3	1	2433
281	apprentic_7002	3	2	2433
282	apprentic_7002	3	3	2434
283	apprentic_7002	3	1,2	833
284	apprentic_7002	3	1,3	833
285	apprentic_7002	3	2,3	834
286	apprentic_7002	3	1,2,3	200
287	apprentic_7003	1	1	10000
288	apprentic_7003	2	1	4500
289	apprentic_7003	2	2	4500
290	apprentic_7003	2	1,2	1000
291	apprentic_7003	3	1	2400
292	apprentic_7003	3	2	2400
293	apprentic_7003	3	3	2400
294	apprentic_7003	3	1,2	833
295	apprentic_7003	3	1,3	833
296	apprentic_7003	3	2,3	834
297	apprentic_7003	3	1,2,3	300
298	apprentic_7004	1	1	10000
299	apprentic_7004	2	1	4500
300	apprentic_7004	2	2	4500
301	apprentic_7004	2	1,2	1000
302	apprentic_7004	3	1	2333
303	apprentic_7004	3	2	2333
304	apprentic_7004	3	3	2334
305	apprentic_7004	3	1,2	833
306	apprentic_7004	3	1,3	833
307	apprentic_7004	3	2,3	834
308	apprentic_7004	3	1,2,3	500
309	apprentic_8001	1	1	10000
310	apprentic_8001	2	1	4500
311	apprentic_8001	2	2	4500
312	apprentic_8001	2	1,2	1000
313	apprentic_8001	3	1	2633
314	apprentic_8001	3	2	2633
315	apprentic_8001	3	3	2634
316	apprentic_8001	3	1,2	666
317	apprentic_8001	3	1,3	667
318	apprentic_8001	3	2,3	667
319	apprentic_8001	3	1,2,3	100
320	apprentic_8002	1	1	10000
321	apprentic_8002	2	1	4500
322	apprentic_8002	2	2	4500
323	apprentic_8002	2	1,2	1000
324	apprentic_8002	3	1	2433
325	apprentic_8002	3	2	2433
326	apprentic_8002	3	3	2434
327	apprentic_8002	3	1,2	833
328	apprentic_8002	3	1,3	833
329	apprentic_8002	3	2,3	834
330	apprentic_8002	3	1,2,3	200
331	apprentic_8003	1	1	10000
332	apprentic_8003	2	1	4500
333	apprentic_8003	2	2	4500
334	apprentic_8003	2	1,2	1000
335	apprentic_8003	3	1	2400
336	apprentic_8003	3	2	2400
337	apprentic_8003	3	3	2400
338	apprentic_8003	3	1,2	833
339	apprentic_8003	3	1,3	833
340	apprentic_8003	3	2,3	834
341	apprentic_8003	3	1,2,3	300
342	apprentic_8004	1	1	10000
343	apprentic_8004	2	1	4500
344	apprentic_8004	2	2	4500
345	apprentic_8004	2	1,2	1000
346	apprentic_8004	3	1	2333
347	apprentic_8004	3	2	2333
348	apprentic_8004	3	3	2334
349	apprentic_8004	3	1,2	833
350	apprentic_8004	3	1,3	833
351	apprentic_8004	3	2,3	834
352	apprentic_8004	3	1,2,3	500
