ID	对应道具ID	类型	鱼种	尺寸等级	图鉴奖励	特殊标记
155	item260005005003	4	4009	3	item250000000000,5	fishing_icon_lv3
156	item260005005004	4	4009	4		
157	item260005006001	4	4010	1	item250000000000,10	fishing_icon_lv1
158	item260005006002	4	4010	2	item250000000000,5	fishing_icon_lv2
159	item260005006003	4	4010	3	item250000000000,5	fishing_icon_lv3
160	item260005006004	4	4010	4		
161	item260100000001	4	4011	1	item250000000000,50	fishing_icon_lv1
162	item260200000001	4	4012	1	item250000000000,50	fishing_icon_lv1
163	item260300000001	4	4013	1	item250000000000,50	fishing_icon_lv1
164	item260400000001	4	4014	1	item250000000000,50	fishing_icon_lv1
165	item260500000001	4	4015	1	item250000000000,50	fishing_icon_lv1
166	item260600000001	4	4016	1	item250000000000,50	fishing_icon_lv1
167	item260700000001	4	4017	1	item250000000000,50	fishing_icon_lv1
168	item260800000001	4	4018	1	item250000000000,50	fishing_icon_lv1
169	item260900000001	4	4019	1	item250000000000,50	fishing_icon_lv1
170	item261000000001	4	4020	1	item250000000000,50	fishing_icon_lv1
171	item261100000001	4	4021	1	item250000000000,50	fishing_icon_lv1
172	item261200000001	4	4022	1	item250000000000,50	fishing_icon_lv1
173	item250004001001	1	5001	4		
174	item250004001002	1	5001	1	item250000000000,50	fishing_icon_lv1
175	item250004001003	1	5001	2	item250000000000,40	fishing_icon_lv2
176	item250004001004	1	5001	3	item250000000000,30	fishing_icon_lv3
177	item250004002001	1	5002	4		
178	item250004002002	1	5002	1	item250000000000,40	fishing_icon_lv1
179	item250004002003	1	5002	2	item250000000000,30	fishing_icon_lv2
180	item250004002004	1	5002	3	item250000000000,20	fishing_icon_lv3
181	item250004003001	1	5003	4		
182	item250004003002	1	5003	1	item250000000000,45	fishing_icon_lv1
183	item250004003003	1	5003	2	item250000000000,35	fishing_icon_lv2
184	item250004003004	1	5003	3	item250000000000,25	fishing_icon_lv3
185	item250004004001	1	5004	4		
186	item250004004002	1	5004	1	item250000000000,30	fishing_icon_lv1
187	item250004004003	1	5004	2	item250000000000,20	fishing_icon_lv2
188	item250004004004	1	5004	3	item250000000000,10	fishing_icon_lv3
189	item250004005001	1	5005	4		
190	item250004005002	1	5005	1	item250000000000,30	fishing_icon_lv1
191	item250004005003	1	5005	2	item250000000000,20	fishing_icon_lv2
192	item250004005004	1	5005	3	item250000000000,10	fishing_icon_lv3
193	item250004006001	1	5006	4		
194	item250004006002	1	5006	1	item250000000000,30	fishing_icon_lv1
195	item250004006003	1	5006	2	item250000000000,20	fishing_icon_lv2
196	item250004006004	1	5006	3	item250000000000,10	fishing_icon_lv3
197	item250004007001	1	5007	4		
198	item250004007002	1	5007	1	item250000000000,20	fishing_icon_lv1
199	item250004007003	1	5007	2	item250000000000,15	fishing_icon_lv2
200	item250004007004	1	5007	3	item250000000000,10	fishing_icon_lv3
201	item250004008001	1	5008	4		
202	item250004008002	1	5008	1	item250000000000,20	fishing_icon_lv1
203	item250004008003	1	5008	2	item250000000000,15	fishing_icon_lv2
204	item250004008004	1	5008	3	item250000000000,10	fishing_icon_lv3
205	item250004009001	1	5009	4		
206	item250004009002	1	5009	1	item250000000000,15	fishing_icon_lv1
207	item250004009003	1	5009	2	item250000000000,10	fishing_icon_lv2
208	item250004009004	1	5009	3	item250000000000,5	fishing_icon_lv3
209	item250004010001	1	5010	4		
210	item250004010002	1	5010	1	item250000000000,15	fishing_icon_lv1
211	item250004010003	1	5010	2	item250000000000,10	fishing_icon_lv2
212	item250004010004	1	5010	3	item250000000000,5	fishing_icon_lv3
277	item250006001001	1	7001	4		
278	item250006001002	1	7001	1	item250000000000,50	fishing_icon_lv1
279	item250006001003	1	7001	2	item250000000000,40	fishing_icon_lv2
280	item250006001004	1	7001	3	item250000000000,30	fishing_icon_lv3
281	item250006002001	1	7002	4		
282	item250006002002	1	7002	1	item250000000000,45	fishing_icon_lv1
283	item250006002003	1	7002	2	item250000000000,35	fishing_icon_lv2
284	item250006002004	1	7002	3	item250000000000,25	fishing_icon_lv3
285	item250006003001	1	7003	4		
286	item250006003002	1	7003	1	item250000000000,40	fishing_icon_lv1
287	item250006003003	1	7003	2	item250000000000,30	fishing_icon_lv2
288	item250006003004	1	7003	3	item250000000000,20	fishing_icon_lv3
289	item250006004001	1	7004	4		
290	item250006004002	1	7004	1	item250000000000,30	fishing_icon_lv1
291	item250006004003	1	7004	2	item250000000000,20	fishing_icon_lv2
292	item250006004004	1	7004	3	item250000000000,10	fishing_icon_lv3
293	item250006005001	1	7005	4		
294	item250006005002	1	7005	1	item250000000000,30	fishing_icon_lv1
295	item250006005003	1	7005	2	item250000000000,20	fishing_icon_lv2
296	item250006005004	1	7005	3	item250000000000,10	fishing_icon_lv3
297	item250006006001	1	7006	4		
298	item250006006002	1	7006	1	item250000000000,30	fishing_icon_lv1
299	item250006006003	1	7006	2	item250000000000,20	fishing_icon_lv2
300	item250006006004	1	7006	3	item250000000000,10	fishing_icon_lv3
301	item250006007001	1	7007	4		
302	item250006007002	1	7007	1	item250000000000,20	fishing_icon_lv1
303	item250006007003	1	7007	2	item250000000000,15	fishing_icon_lv2
304	item250006007004	1	7007	3	item250000000000,10	fishing_icon_lv3
305	item250006008001	1	7008	4		
306	item250006008002	1	7008	1	item250000000000,20	fishing_icon_lv1
307	item250006008003	1	7008	2	item250000000000,15	fishing_icon_lv2
308	item250006008004	1	7008	3	item250000000000,10	fishing_icon_lv3
309	item250006009001	1	7009	4		
310	item250006009002	1	7009	1	item250000000000,15	fishing_icon_lv1
311	item250006009003	1	7009	2	item250000000000,10	fishing_icon_lv2
312	item250006009004	1	7009	3	item250000000000,5	fishing_icon_lv3
313	item250006010001	1	7010	4		
314	item250006010002	1	7010	1	item250000000000,15	fishing_icon_lv1
315	item250006010003	1	7010	2	item250000000000,10	fishing_icon_lv2
316	item250006010004	1	7010	3	item250000000000,5	fishing_icon_lv3
265	item250006011001	1	7011	1	item250000000000,50	fishing_icon_lv1
266	item250006012001	1	7012	1	item250000000000,50	fishing_icon_lv1
267	item250006013001	1	7013	1	item250000000000,50	fishing_icon_lv1
268	item250006014001	1	7014	1	item250000000000,50	fishing_icon_lv1
269	item250006015001	1	7015	1	item250000000000,50	fishing_icon_lv1
270	item250006016001	1	7016	1	item250000000000,50	fishing_icon_lv1
271	item250006017001	1	7017	1	item250000000000,50	fishing_icon_lv1
272	item250006018001	1	7018	1	item250000000000,50	fishing_icon_lv1
273	item250006019001	1	7019	1	item250000000000,50	fishing_icon_lv1
274	item250006020001	1	7020	1	item250000000000,50	fishing_icon_lv1
275	item250006021001	1	7021	1	item250000000000,50	fishing_icon_lv1
276	item250006022001	1	7022	1	item250000000000,50	fishing_icon_lv1
317	item250007001001	2	8001	4		
318	item250007001002	2	8001	1	item250000000000,50	fishing_icon_lv1
319	item250007001003	2	8001	2	item250000000000,40	fishing_icon_lv2
320	item250007001004	2	8001	3	item250000000000,30	fishing_icon_lv3
321	item250007002001	2	8002	4		
322	item250007002002	2	8002	1	item250000000000,45	fishing_icon_lv1
323	item250007002003	2	8002	2	item250000000000,35	fishing_icon_lv2
324	item250007002004	2	8002	3	item250000000000,25	fishing_icon_lv3
325	item250007003001	2	8003	4		
326	item250007003002	2	8003	1	item250000000000,40	fishing_icon_lv1
327	item250007003003	2	8003	2	item250000000000,30	fishing_icon_lv2
328	item250007003004	2	8003	3	item250000000000,20	fishing_icon_lv3
329	item250007004001	2	8004	4		
330	item250007004002	2	8004	1	item250000000000,30	fishing_icon_lv1
331	item250007004003	2	8004	2	item250000000000,20	fishing_icon_lv2
332	item250007004004	2	8004	3	item250000000000,10	fishing_icon_lv3
333	item250007005001	2	8005	4		
334	item250007005002	2	8005	1	item250000000000,30	fishing_icon_lv1
335	item250007005003	2	8005	2	item250000000000,20	fishing_icon_lv2
336	item250007005004	2	8005	3	item250000000000,10	fishing_icon_lv3
337	item250007006001	2	8006	4		
338	item250007006002	2	8006	1	item250000000000,30	fishing_icon_lv1
339	item250007006003	2	8006	2	item250000000000,20	fishing_icon_lv2
340	item250007006004	2	8006	3	item250000000000,10	fishing_icon_lv3
341	item250007007001	2	8007	4		
342	item250007007002	2	8007	1	item250000000000,20	fishing_icon_lv1
343	item250007007003	2	8007	2	item250000000000,15	fishing_icon_lv2
344	item250007007004	2	8007	3	item250000000000,10	fishing_icon_lv3
345	item250007008001	2	8008	4		
346	item250007008002	2	8008	1	item250000000000,20	fishing_icon_lv1
347	item250007008003	2	8008	2	item250000000000,15	fishing_icon_lv2
348	item250007008004	2	8008	3	item250000000000,10	fishing_icon_lv3
349	item250007009001	2	8009	4		
350	item250007009002	2	8009	1	item250000000000,10	fishing_icon_lv1
351	item250007009003	2	8009	2	item250000000000,5	fishing_icon_lv2
352	item250007009004	2	8009	3	item250000000000,5	fishing_icon_lv3
353	item250007010001	2	8010	4		
354	item250007010002	2	8010	1	item250000000000,10	fishing_icon_lv1
355	item250007010003	2	8010	2	item250000000000,5	fishing_icon_lv2
356	item250007010004	2	8010	3	item250000000000,5	fishing_icon_lv3
357	item250007011001	2	8011	1	item250000000000,50	fishing_icon_lv1
358	item250007012001	2	8012	1	item250000000000,50	fishing_icon_lv1
359	item250007013001	2	8013	1	item250000000000,50	fishing_icon_lv1
360	item250007014001	2	8014	1	item250000000000,50	fishing_icon_lv1
361	item250007015001	2	8015	1	item250000000000,50	fishing_icon_lv1
362	item250007016001	2	8016	1	item250000000000,50	fishing_icon_lv1
363	item250007017001	2	8017	1	item250000000000,50	fishing_icon_lv1
364	item250007018001	2	8018	1	item250000000000,50	fishing_icon_lv1
365	item250007019001	2	8019	1	item250000000000,50	fishing_icon_lv1
366	item250007020001	2	8020	1	item250000000000,50	fishing_icon_lv1
367	item250007021001	2	8021	1	item250000000000,50	fishing_icon_lv1
368	item250007022001	2	8022	1	item250000000000,50	fishing_icon_lv1
369	item250008001001	1	9001	4		
370	item250008001002	1	9001	1	item250000000000,50	fishing_icon_lv1
371	item250008001003	1	9001	2	item250000000000,40	fishing_icon_lv2
372	item250008001004	1	9001	3	item250000000000,30	fishing_icon_lv3
373	item250008002001	1	9002	4		
374	item250008002002	1	9002	1	item250000000000,45	fishing_icon_lv1
375	item250008002003	1	9002	2	item250000000000,35	fishing_icon_lv2
376	item250008002004	1	9002	3	item250000000000,25	fishing_icon_lv3
377	item250008003001	1	9003	4		
378	item250008003002	1	9003	1	item250000000000,40	fishing_icon_lv1
379	item250008003003	1	9003	2	item250000000000,30	fishing_icon_lv2
380	item250008003004	1	9003	3	item250000000000,20	fishing_icon_lv3
381	item250008004001	1	9004	4		
382	item250008004002	1	9004	1	item250000000000,30	fishing_icon_lv1
383	item250008004003	1	9004	2	item250000000000,20	fishing_icon_lv2
384	item250008004004	1	9004	3	item250000000000,10	fishing_icon_lv3
385	item250008005001	1	9005	4		
386	item250008005002	1	9005	1	item250000000000,30	fishing_icon_lv1
387	item250008005003	1	9005	2	item250000000000,20	fishing_icon_lv2
388	item250008005004	1	9005	3	item250000000000,10	fishing_icon_lv3
389	item250008006001	1	9006	4		
390	item250008006002	1	9006	1	item250000000000,30	fishing_icon_lv1
391	item250008006003	1	9006	2	item250000000000,20	fishing_icon_lv2
392	item250008006004	1	9006	3	item250000000000,10	fishing_icon_lv3
393	item250008007001	1	9007	4		
394	item250008007002	1	9007	1	item250000000000,20	fishing_icon_lv1
395	item250008007003	1	9007	2	item250000000000,15	fishing_icon_lv2
396	item250008007004	1	9007	3	item250000000000,10	fishing_icon_lv3
397	item250008008001	1	9008	4		
398	item250008008002	1	9008	1	item250000000000,20	fishing_icon_lv1
399	item250008008003	1	9008	2	item250000000000,15	fishing_icon_lv2
400	item250008008004	1	9008	3	item250000000000,10	fishing_icon_lv3
401	item250008009001	1	9009	4		
402	item250008009002	1	9009	1	item250000000000,10	fishing_icon_lv1
403	item250008009003	1	9009	2	item250000000000,5	fishing_icon_lv2
404	item250008009004	1	9009	3	item250000000000,5	fishing_icon_lv3
405	item250008010001	1	9010	4		
406	item250008010002	1	9010	1	item250000000000,10	fishing_icon_lv1
407	item250008010003	1	9010	2	item250000000000,5	fishing_icon_lv2
408	item250008010004	1	9010	3	item250000000000,5	fishing_icon_lv3
409	item250008011001	1	9011	1	item250000000000,50	fishing_icon_lv1
410	item250008012001	1	9012	1	item250000000000,50	fishing_icon_lv1
411	item250008013001	1	9013	1	item250000000000,50	fishing_icon_lv1
412	item250008014001	1	9014	1	item250000000000,50	fishing_icon_lv1
413	item250008015001	1	9015	1	item250000000000,50	fishing_icon_lv1
414	item250008016001	1	9016	1	item250000000000,50	fishing_icon_lv1
415	item250008017001	1	9017	1	item250000000000,50	fishing_icon_lv1
416	item250008018001	1	9018	1	item250000000000,50	fishing_icon_lv1
417	item250008019001	1	9019	1	item250000000000,50	fishing_icon_lv1
418	item250008020001	1	9020	1	item250000000000,50	fishing_icon_lv1
419	item250008021001	1	9021	1	item250000000000,50	fishing_icon_lv1
420	item250008022001	1	9022	1	item250000000000,50	fishing_icon_lv1
421	item250009001001	2	10001	4		
422	item250009001002	2	10001	1	item250000000000,50	fishing_icon_lv1
423	item250009001003	2	10001	2	item250000000000,40	fishing_icon_lv2
424	item250009001004	2	10001	3	item250000000000,30	fishing_icon_lv3
425	item250009002001	2	10002	4		
426	item250009002002	2	10002	1	item250000000000,45	fishing_icon_lv1
427	item250009002003	2	10002	2	item250000000000,35	fishing_icon_lv2
428	item250009002004	2	10002	3	item250000000000,25	fishing_icon_lv3
429	item250009003001	2	10003	4		
430	item250009003002	2	10003	1	item250000000000,40	fishing_icon_lv1
431	item250009003003	2	10003	2	item250000000000,30	fishing_icon_lv2
432	item250009003004	2	10003	3	item250000000000,20	fishing_icon_lv3
433	item250009004001	2	10004	4		
434	item250009004002	2	10004	1	item250000000000,30	fishing_icon_lv1
435	item250009004003	2	10004	2	item250000000000,20	fishing_icon_lv2
436	item250009004004	2	10004	3	item250000000000,10	fishing_icon_lv3
437	item250009005001	2	10005	4		
438	item250009005002	2	10005	1	item250000000000,30	fishing_icon_lv1
439	item250009005003	2	10005	2	item250000000000,20	fishing_icon_lv2
440	item250009005004	2	10005	3	item250000000000,10	fishing_icon_lv3
441	item250009006001	2	10006	4		
442	item250009006002	2	10006	1	item250000000000,30	fishing_icon_lv1
443	item250009006003	2	10006	2	item250000000000,20	fishing_icon_lv2
444	item250009006004	2	10006	3	item250000000000,10	fishing_icon_lv3
445	item250009007001	2	10007	4		
446	item250009007002	2	10007	1	item250000000000,20	fishing_icon_lv1
447	item250009007003	2	10007	2	item250000000000,15	fishing_icon_lv2
448	item250009007004	2	10007	3	item250000000000,10	fishing_icon_lv3
449	item250009008001	2	10008	4		
450	item250009008002	2	10008	1	item250000000000,20	fishing_icon_lv1
451	item250009008003	2	10008	2	item250000000000,15	fishing_icon_lv2
452	item250009008004	2	10008	3	item250000000000,10	fishing_icon_lv3
453	item250009009001	2	10009	4		
454	item250009009002	2	10009	1	item250000000000,10	fishing_icon_lv1
455	item250009009003	2	10009	2	item250000000000,5	fishing_icon_lv2
456	item250009009004	2	10009	3	item250000000000,5	fishing_icon_lv3
457	item250009010001	2	10010	4		
458	item250009010002	2	10010	1	item250000000000,10	fishing_icon_lv1
459	item250009010003	2	10010	2	item250000000000,5	fishing_icon_lv2
460	item250009010004	2	10010	3	item250000000000,5	fishing_icon_lv3
461	item250009011001	2	10011	1	item250000000000,50	fishing_icon_lv1
462	item250009012001	2	10012	1	item250000000000,50	fishing_icon_lv1
463	item250009013001	2	10013	1	item250000000000,50	fishing_icon_lv1
464	item250009014001	2	10014	1	item250000000000,50	fishing_icon_lv1
465	item250009015001	2	10015	1	item250000000000,50	fishing_icon_lv1
466	item250009016001	2	10016	1	item250000000000,50	fishing_icon_lv1
467	item250009017001	2	10017	1	item250000000000,50	fishing_icon_lv1
468	item250009018001	2	10018	1	item250000000000,50	fishing_icon_lv1
469	item250009019001	2	10019	1	item250000000000,50	fishing_icon_lv1
470	item250009020001	2	10020	1	item250000000000,50	fishing_icon_lv1
471	item250009021001	2	10021	1	item250000000000,50	fishing_icon_lv1
472	item250009022001	2	10022	1	item250000000000,50	fishing_icon_lv1
