配方ID	显示用装备ID	职业	部位	等级	绿色最小装等	绿色最大装等	蓝色最小装等	蓝色最大装等	紫色最小装等	紫色最大装等	金色最小装等	金色最大装等	货币类型	货币数量	基础经验	基础熟练	蓝色魔法属性等级掉落库	紫色魔法属性等级掉落库	金色魔法属性等级掉落库	1条魔法属性概率	2条魔法属性概率	3条魔法属性概率	4条魔法属性概率	5条魔法属性概率	消耗的道具数量	展示用魔法属性	使用的炼魔金属	需求材料1	材料1数量	需求材料2	材料2数量	需求材料3	材料3数量	需求材料4	材料4数量	需求材料5	材料5数量	熟练度等级1要求	熟练度影响1类型	熟练度影响1结果	熟练度等级2要求	熟练度影响2类型	熟练度影响2结果	熟练度等级3要求	熟练度影响3类型	熟练度影响3结果	熟练度等级4要求	熟练度影响4类型	熟练度影响4结果	熟练度等级5要求	熟练度影响5类型	熟练度影响5结果	熟练度等级6要求	熟练度影响6类型	熟练度影响6结果
303040200002	equip303040211002	2	3	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	303050200002	30	2	2000	0	0		0	0	
304040200002	equip304040211002	2	4	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	304050200002	30	2	2000	0	0		0	0	
305040200002	equip305040211002	2	5	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	305050200002	30	2	2000	0	0		0	0	
306040200002	equip306040211002	2	6	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	306050200002	30	2	2000	0	0		0	0	
301040200003	equip301040211003	3	1	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100051;100052;100053;100054;100068;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100068,100005,100022,100026,100001,100016,100018,100020	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	301050200003	30	2	2000	0	0		0	0	
302040200003	equip302040211003	3	2	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	302050200003	30	2	2000	0	0		0	0	
303040200003	equip303040211003	3	3	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	303050200003	30	2	2000	0	0		0	0	
304040200003	equip304040211003	3	4	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	304050200003	30	2	2000	0	0		0	0	
305040200003	equip305040211003	3	5	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	305050200003	30	2	2000	0	0		0	0	
306040200003	equip306040211003	3	6	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	306050200003	30	2	2000	0	0		0	0	
301040200004	equip301040211004	4	1	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100051;100052;100053;100054;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100070,100005,100022,100026,100001,100016,100018,100020	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	301050200004	30	2	2000	0	0		0	0	
302040200004	equip302040211004	4	2	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	302050200004	30	2	2000	0	0		0	0	
303040200004	equip303040211004	4	3	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	303050200004	30	2	2000	0	0		0	0	
304040200004	equip304040211004	4	4	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	304050200004	30	2	2000	0	0		0	0	
305040200004	equip305040211004	4	5	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	305050200004	30	2	2000	0	0		0	0	
306040200004	equip306040211004	4	6	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	306050200004	30	2	2000	0	0		0	0	
301040200005	equip301040211005	5	1	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100051;100052;100053;100054;100069;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100070,100005,100022,100026,100001,100016,100018,100020	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	301050200005	30	2	2000	0	0		0	0	
302040200005	equip302040211005	5	2	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	302050200005	30	2	2000	0	0		0	0	
303040200005	equip303040211005	5	3	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	303050200005	30	2	2000	0	0		0	0	
304040200005	equip304040211005	5	4	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	304050200005	30	2	2000	0	0		0	0	
305040200005	equip305040211005	5	5	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	305050200005	30	2	2000	0	0		0	0	
306040200005	equip306040211005	5	6	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	306050200005	30	2	2000	0	0		0	0	
301040200006	equip301040211006	6	1	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100051;100052;100053;100054;100069;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100070,100005,100022,100026,100001,100016,100018,100020	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	301050200006	30	2	2000	0	0		0	0	
302040200006	equip302040211006	6	2	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	302050200006	30	2	2000	0	0		0	0	
303040200006	equip303040211006	6	3	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	303050200006	30	2	2000	0	0		0	0	
304040200006	equip304040211006	6	4	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	304050200006	30	2	2000	0	0		0	0	
305040200006	equip305040211006	6	5	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	305050200006	30	2	2000	0	0		0	0	
306040200006	equip306040211006	6	6	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	306050200006	30	2	2000	0	0		0	0	
307040200999	equip307040211999	0	7	40	136	136	273	273	307	342	405	450	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100055;100056;100072;100022;100024;100026;100001;100016;100018;100020	100055,100056,100072,100076,100082,100022,100024,100026,100001,100016,100018,100020	item103010111102	3	item108100102202	8		0		0		0	5	11	1	10	12	2	15	1	307050200999	30	2	2000	0	0		0	0	
308040200999	equip308040211999	0	8	40	136	136	273	273	307	342	405	450	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100057;100058;100004;100024;100027;100001;100016;100018;100020	100057,100058,100004,100024,100027,100001,100016,100018,100020,100087	item103010111102	3	item108100102202	8		0		0		0	5	11	1	10	12	2	15	1	308050200999	30	2	2000	0	0		0	0	
309040200999	equip309040211999	0	9	40	136	136	273	273	307	342	405	450	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100059;100060;100071;100005;100022;100025;100001;100016;100018;100020	100059,100060,100071,100077,100084,100005,100022,100025,100001,100016,100018,100020,100092	item103010111102	3	item108100102202	8		0		0		0	5	11	1	10	12	2	15	1	309050200999	30	2	2000	0	0		0	0	
310040200999	equip310040211999	0	10	40	136	136	273	273	307	342	405	450	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100061;100062;100063;100064;100005;100026;100001;100016;100018;100020	100061,100062,100063,100064,100005,100026,100001,100016,100018,100020,100089	item103010111102	3	item108100102202	8		0		0		0	5	11	1	10	12	2	15	1	310050200999	30	2	2000	0	0		0	0	
301050200001	equip301050211001	1	1	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100051;100052;100053;100054;100069;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100005,100022,100026,100001,100016,100018,100020	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	301060200001	30	2	2000	0	0		0	0	
302050200001	equip302050211001	1	2	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	302060200001	30	2	2000	0	0		0	0	
303050200001	equip303050211001	1	3	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	303060200001	30	2	2000	0	0		0	0	
304050200001	equip304050211001	1	4	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	304060200001	30	2	2000	0	0		0	0	
305050200001	equip305050211001	1	5	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	305060200001	30	2	2000	0	0		0	0	
306050200001	equip306050211001	1	6	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	306060200001	30	2	2000	0	0		0	0	
301050200002	equip301050211002	2	1	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100051;100052;100053;100054;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100070,100005,100022,100026,100001,100016,100018,100020	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	301060200002	30	2	2000	0	0		0	0	
302050200002	equip302050211002	2	2	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	302060200002	30	2	2000	0	0		0	0	
303050200002	equip303050211002	2	3	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	303060200002	30	2	2000	0	0		0	0	
304050200002	equip304050211002	2	4	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	304060200002	30	2	2000	0	0		0	0	
305050200002	equip305050211002	2	5	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	305060200002	30	2	2000	0	0		0	0	
306050200002	equip306050211002	2	6	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	306060200002	30	2	2000	0	0		0	0	
301050200003	equip301050211003	3	1	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100051;100052;100053;100054;100068;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100068,100005,100022,100026,100001,100016,100018,100020	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	301060200003	30	2	2000	0	0		0	0	
302050200003	equip302050211003	3	2	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	302060200003	30	2	2000	0	0		0	0	
303050200003	equip303050211003	3	3	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	303060200003	30	2	2000	0	0		0	0	
304050200003	equip304050211003	3	4	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	304060200003	30	2	2000	0	0		0	0	
305050200003	equip305050211003	3	5	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	305060200003	30	2	2000	0	0		0	0	
306050200003	equip306050211003	3	6	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	306060200003	30	2	2000	0	0		0	0	
301050200004	equip301050211004	4	1	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100051;100052;100053;100054;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100070,100005,100022,100026,100001,100016,100018,100020	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	301060200004	30	2	2000	0	0		0	0	
