流水	难度等级	赛季ID	难度名称	生效的神授之石	需要装备的神授之石	需要的地轨和天星数量	需要通关前置难度等级	开放的技能类型和品质	初始复活次数	地图库ID	最大层数	地图背景	初始星光能量	总列数
49	4	10	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
50	5	10	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
51	1	11	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
52	2	11	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
53	3	11	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
54	4	11	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
55	5	11	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
56	1	12	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
57	2	12	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
58	3	12	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
59	4	12	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
60	5	12	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
61	1	13	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
62	2	13	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
63	3	13	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
64	4	13	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
65	5	13	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
66	1	14	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
67	2	14	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
68	3	14	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
69	4	14	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
70	5	14	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
71	1	15	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
72	2	15	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
73	3	15	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
74	4	15	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
75	5	15	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
76	1	16	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
77	2	16	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
78	3	16	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
79	4	16	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
80	5	16	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
81	1	17	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
82	2	17	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
83	3	17	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
84	4	17	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
85	5	17	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
86	1	18	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
87	2	18	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
88	3	18	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
89	4	18	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
90	5	18	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
91	1	19	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
92	2	19	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
93	3	19	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
94	4	19	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
95	5	19	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
96	1	20	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
97	2	20	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
98	3	20	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
99	4	20	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
100	5	20	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
