宝图id	道具类型	掉落预览	奖励展示类型	奖励展示模型id	模型展示缩放	模型展示位置偏移	模型初始展示角度	展示语言包
item100000000074	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8103010132201;item8103010132211;item103010132221;item103010132231;item8101020505317;item8101020505316;item8101020505315;item8101020505314;item8101020505313;item8101020505312;item8101020505310;item8101020505309;item8101020505308;item8101020505307;item8101020505306;item8101020505305;item8101020505304;item8101020505303;item8101020505302;item8101020505301;item8101020505253;item8119100000001;item8119100000002	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000075	1	item90000000110;item90000000111;item90000000112;item103015110412;item103010132201;item103010132211;item103010132221;item103010132231;item101020505311;item101020505317;item101020505316;item101020505315;item101020505314;item101020505313;item101020505312;item101020505310;item101020505309;item101020505308;item101020505307;item101020505306;item101020505305;item101020505304;item101020505303;item101020505302;item101020505301;item101020505253	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000076	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8103010132201;item8103010132211;item103010132221;item103010132231;item8101020505311;item8101020505317;item8101020505316;item8101020505315;item8101020505314;item8101020505313;item8101020505312;item8101020505310;item8101020505309;item8101020505308;item8101020505307;item8101020505306;item8101020505305;item8101020505304;item8101020505303;item8101020505302	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000077	1	item90000000110;item90000000111;item90000000112;item103015110412;item119100000004;item119100000005;item119100000006;item119100000003;item103010132201;item103010132211;item103010132221;item103010132231;item101020505311	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000078	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8103010132201;item8103010132211;item103010132221;item103010132231;item8101020505311;item8119100000001;item8119100000002	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000092	1	item90000000110;item90000000111;item90000000112;item103015110412;item103010132201;item103010132211;item103010132221;item103010132231;item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505311;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000093	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8103010132201;item8103010132211;item8103010132221;item8103010132231;item8101020505253;item8101020505301;item8101020505302;item8101020505303;item8101020505304;item8101020505305;item8101020505306;item8101020505307;item8101020505308;item8101020505309;item8101020505310;item8101020505311;item8101020505312;item8101020505313;item8101020505314;item8101020505315;item8101020505316;item8101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000094	1	item90000000110;item90000000111;item90000000112;item103015110412;item8230000000205;item8230000000206;item8230000000207;item8230000000208;item8230000000209;item8230000000210;item103010132201;item103010132211;item103010132221;item103010132231;item119100000003;item119100000004;item119100000005;item119100000006;item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505311;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000095	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8230000000205;item8230000000206;item8230000000207;item8230000000208;item8230000000209;item8230000000210;item8103010132201;item8103010132211;item8103010132221;item8103010132231;item8119100000001;item8119100000002;item101020505253;item8101020505301;item8101020505302;item8101020505303;item8101020505304;item8101020505305;item8101020505306;item8101020505307;item8101020505308;item8101020505309;item8101020505310;item8101020505311;item8101020505312;item8101020505313;item8101020505314;item8101020505315;item8101020505316;item8101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000097	1	item90000000110;item90000000111;item90000000112;item103015110412;item103010132201;item103010132211;item103010132221;item103010132231;item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000098	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8103010132201;item8103010132211;item8103010132221;item8103010132231;item8101020505253;item8101020505301;item8101020505302;item8101020505303;item8101020505304;item8101020505305;item8101020505306;item8101020505307;item8101020505308;item8101020505309;item8101020505310;item8101020505312;item8101020505313;item8101020505314;item8101020505315;item8101020505316;item8101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000099	1	item90000000110;item90000000111;item90000000112;item103015110412;item230000000211;item8230000000211;item103010132201;item103010132211;item103010132221;item103010132231;item119100000003;item119100000004;item119100000005;item119100000006;item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000100	1	item90000000110;item90000000111;item90000000112;item8103015110412;item230000000211;item8230000000211;item8103010132201;item8103010132211;item8103010132221;item8103010132231;item8119100000001;item8119100000002;item8101020505253;item8101020505301;item8101020505302;item8101020505303;item8101020505304;item8101020505305;item8101020505306;item8101020505307;item8101020505308;item8101020505309;item8101020505310;item8101020505312;item8101020505313;item8101020505314;item8101020505315;item8101020505316;item8101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000102	1	item102020061002;item8102020061003;item102020061006	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000107	1	item90000000110;item90000000111;item90000000112;item103015110412;item230000000211;item8230000000211;item103010132201;item103010132211;item103010132221;item103010132231;item119100000003;item119100000004;item119100000005;item119100000006;item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000108	1	item90000000110;item90000000111;item90000000112;item8103015110412;item230000000211;item8230000000211;item8103010132201;item8103010132211;item8103010132221;item8103010132231;item8119100000001;item8119100000002;item8101020505253;item8101020505301;item8101020505302;item8101020505303;item8101020505304;item8101020505305;item8101020505306;item8101020505307;item8101020505308;item8101020505309;item8101020505310;item8101020505312;item8101020505313;item8101020505314;item8101020505315;item8101020505316;item8101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000109	1	item90000000110;item90000000111;item90000000112;item103015110412;item103010132201;item103010132211;item103010132221;item103010132231;item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000110	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8103010132201;item8103010132211;item8103010132221;item8103010132231;item8101020505253;item8101020505301;item8101020505302;item8101020505303;item8101020505304;item8101020505305;item8101020505306;item8101020505307;item8101020505308;item8101020505309;item8101020505310;item8101020505312;item8101020505313;item8101020505314;item8101020505315;item8101020505316;item8101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000111	1	item90000000110;item90000000111;item90000000112;item103015110412;item230000000211;item8230000000211;item103010132201;item103010132211;item103010132221;item103010132231;item119100000003;item119100000004;item119100000005;item119100000006;item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000112	1	item90000000110;item90000000111;item90000000112;item8103015110412;item230000000211;item8230000000211;item8103010132201;item8103010132211;item8103010132221;item8103010132231;item8119100000001;item8119100000002;item8101020505253;item8101020505301;item8101020505302;item8101020505303;item8101020505304;item8101020505305;item8101020505306;item8101020505307;item8101020505308;item8101020505309;item8101020505310;item8101020505312;item8101020505313;item8101020505314;item8101020505315;item8101020505316;item8101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000113	1	item90000000110;item90000000111;item90000000112;item103015110412;item103010132201;item103010132211;item103010132221;item103010132231;item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000114	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8103010132201;item8103010132211;item8103010132221;item8103010132231;item8101020505253;item8101020505301;item8101020505302;item8101020505303;item8101020505304;item8101020505305;item8101020505306;item8101020505307;item8101020505308;item8101020505309;item8101020505310;item8101020505312;item8101020505313;item8101020505314;item8101020505315;item8101020505316;item8101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item100300002102	1	item107300000002;item107300000001;item8106210200001;item100000000002;item8103015110413;item105000000030;item100000000006	0		0.000000		0	UI_TreasureMap_TipsTittle
item100300002104	1	item91000000319;item91000000320;item91000000321	0		0.000000		0	UI_TreasureMap_TipsTittle
item100300003101	1	item8101020503047;item8200000800003;item8101020503046;item8101020503045;item8101020503044;item105000000029;item8119000000001;item161000000001;item107999900002;item101040101017;item8103010121004	0		0.000000		0	UI_TreasureMap_TipsTittle
item100300003102	1	item8101020503047;item8200000800003;item8101020503046;item8101020503045;item8101020503044;item105000000029;item8119000000001;item161000000001;item107999900002;item101040101017;item8103010121004	0		0.000000		0	UI_TreasureMap_TipsTittle
item100300003103	1	item8101020503047;item8200000800003;item8101020503046;item8101020503045;item8101020503044;item105000000029;item8119000000001;item161000000001;item107999900002;item101040101017;item8103010121004	0		0.000000		0	UI_TreasureMap_TipsTittle
item100300003104	1	item8101020503047;item8200000800003;item8101020503046;item8101020503045;item8101020503044;item105000000029;item8119000000001;item161000000001;item107999900002;item101040101017;item8103010121004	0		0.000000		0	UI_TreasureMap_TipsTittle
item100500000101	2		5	10010	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000102	2		5	10020	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000103	2		5	10030	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000104	2		5	10040	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000105	2		5	10050	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000106	2		5	10060	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000107	2		5	10070	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000108	2		5	10080	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000109	2		5	10090	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000110	2		5	10100	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000111	2		5	10110	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000112	2		5	10120	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000113	2		5	10130	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000114	2		5	10140	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000115	2		5	10150	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000116	2		5	10160	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000117	2		5	10170	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000118	2		5	10180	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000119	2		5	10190	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000120	2		5	10200	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000121	2		5	10210	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000122	2		5	10220	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000123	2		5	10230	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000124	2		5	10240	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000125	2		5	10250	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000126	2		5	10260	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000127	2		5	10270	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000128	2		5	10280	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000129	2		5	10290	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000130	2		5	10300	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000131	2		5	10310	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000132	2		5	10320	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000133	2		5	10330	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000134	2		5	10340	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000135	2		5	10350	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000136	2		5	10360	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000137	2		5	10370	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000138	2		5	10380	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000139	2		5	10390	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000140	2		5	10400	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000141	2		5	10410	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000142	2		5	10420	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000143	2		5	10430	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000144	2		5	10440	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000145	2		5	10450	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000146	2		5	10460	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000147	2		5	10470	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000148	2		5	10480	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000149	2		5	10490	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000150	2		5	10500	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000151	2		5	10510	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000152	2		5	10520	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000153	2		5	10530	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000154	2		5	10540	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000155	2		5	10550	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000156	2		5	10560	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000157	2		5	10570	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000158	2		5	10580	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000159	2		5	10590	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000160	2		5	10600	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000161	2		5	10610	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000162	2		5	10620	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000163	2		5	10630	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000164	2		5	10640	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000165	2		5	10650	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000166	2		5	10660	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000167	2		5	10670	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000168	2		5	10680	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000169	2		5	10690	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000170	2		5	10700	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000171	2		5	10710	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000247	2		5	10720	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100500000248	2		5	10740	1.000000	0,0	0	UI_TreasureMap_TipsTittle
item100700000001	1	item101020503046;item101020503044;item101020503045;item102020060003;item103015110411;item103015110406;item103015110403;item119100000006;item119100000005;item119100000004;item102020061005;item100000000001;item107999900002;item1019;item1003;item1000	0		0.000000		0	UI_TreasureMap_TipsTittle
item100700000002	1	item101020503046;item101020503044;item101020503045;item102020060003;item103015110411;item103015110406;item103015110403;item119100000006;item119100000005;item119100000004;item102020061005;item100000000001;item107999900002;item1019;item1003;item1000	0		0.000000		0	UI_TreasureMap_TipsTittle
item100700000003	1	item101020503046;item101020503044;item101020503045;item102020060003;item103015110411;item103015110406;item103015110403;item119100000006;item119100000005;item119100000004;item102020061005;item100000000001;item107999900002;item1019;item1003;item1000	0		0.000000		0	UI_TreasureMap_TipsTittle
item100700000004	1	item101020503046;item101020503044;item101020503045;item103015110411;item103015110406;item103015110403;item119100000006;item119100000005;item119100000004;item102020061005;item100000000001;item107999900002;item1019;item1003;item1000	0		0.000000		0	UI_TreasureMap_TipsTittle
item100700000005	1	item101020503046;item101020503044;item101020503045;item103015110411;item103015110406;item103015110403;item119100000006;item119100000005;item119100000004;item102020061005;item100000000001;item107999900002;item1019;item1003;item1000	0		0.000000		0	UI_TreasureMap_TipsTittle
item100700000006	1	item101020503046;item101020503044;item101020503045;item103015110411;item103015110406;item103015110403;item119100000006;item119100000005;item119100000004;item100000000001;item107999900002;item1019;item1003;item1000	0		0.000000		0	UI_TreasureMap_TipsTittle
item100700000011	1	item8103015110303;item8103015110302;item103015110408;item103015110305;item103015110409;item102000020233;item8103010111017;item107999900001;item1003;item1000	0		0.000000		0	UI_TreasureMap_TipsTittle
item100700000012	1	item8103015110303;item8103015110302;item103015110408;item103015110305;item103015110409;item102000020233;item8103010111017;item107999900001;item1003;item1000	0		0.000000		0	UI_TreasureMap_TipsTittle
item100800000001	1	item162000320503;item162000120303;item162000120403;item162000220303;item162000220403;item162000320303;item162000320403;item102020060003;item1030;item160000000001;item119100000004;item119100000005;item119100000006	0		0.000000		0	UI_TreasureMap_TipsTittle
item100800000002	1	item100800000001;item162000120303;item162000120403;item162000220303;item162000220403;item162000320303;item162000320403;item160000000001;item161000000002;item161000000001;item107999900002	0		0.000000		0	UI_TreasureMap_TipsTittle
item100800000003	1	item1000;item161000000001;item107999900002;item107999900001;item100000000003	0		0.000000		0	UI_TreasureMap_TipsTittle
item101020501021	1	item101020505209;item101020505211;item101020505213;item101020505219;item101020505221;item101020505223;item101020505225;item101020505227;item101020505229;item101020505231;item101020505233;item101020505235;item101020505237;item101020505239;item101020505215;item101020505217;item101020505241;item101020505245;item101020505247;item101020505249;item101020505251;item101020505333;item101020505337	0		0.000000		0	UI_TreasureMap_TipsTittle
item101020501022	1	item101020505253;item101020505301;item101020505302;item101020505303;item101020505304;item101020505243;item101020505305;item101020505306;item101020505307;item101020505308;item101020505309;item101020505310;item101020505311;item101020505312;item101020505313;item101020505314;item101020505315;item101020505316;item101020505317	0		0.000000		0	UI_TreasureMap_TipsTittle
item101020501031	1	item101020503001;item101020503002;item101020503003;item101020503021;item101020503022;item101020503023;item101020503024;item101020503025;item101020503026;item101020503027;item101020503028;item101020503029;item101020503030;item101020503031;item101020503004;item101020503005;item101020503032;item101020503034;item101020503035;item101020503036;item101020503037;item101020503062;item101020503079	0		0.000000		0	UI_TreasureMap_TipsTittle
item101020501032	1	item101020503038;item101020503039;item101020503040;item101020503041;item101020503042;item101020503033;item101020503043;item101020503044;item101020503045;item101020503046;item101020503047;item101020503048;item101020503049;item101020503050;item101020503051;item101020503052;item101020503053;item101020503054;item101020503055	0		0.000000		0	UI_TreasureMap_TipsTittle
item101020501041	1	item101020505305;item101020505304;item101020505303;item101020505302;item101020505301;item101020505253;item101020505337;item101020505333;item101020505251;item101020505249;item101020505247;item101020505215;item101020505245;item101020505217;item101020505241;item101020505239;item101020505237;item101020505235;item101020505233;item101020505231;item101020505229;item101020505227;item101020505225;item101020505223;item101020505213;item101020505221;item101020505211;item101020505219;item101020505209	0		0.000000		0	UI_TreasureMap_TipsTittle
item101020501102	2		3	ride_101	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501104	2		3	ride_104	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501106	2		3	ride_105	0.650000	0,0	150	UI_TreasureMap_TipsTittle
item101020501110	2		3	ride_107	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501114	2		3	ride_109	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501118	2		3	ride_111	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501122	2		3	ride_113	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501124	2		3	ride_114	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501126	2		3	ride_115	1.000000	0,0	150	UI_TreasureMap_TipsTittle
item101020501128	2		3	ride_116	1.000000	0,0	150	UI_TreasureMap_TipsTittle
item101020501130	2		3	ride_117	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501132	2		3	ride_119	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501134	2		3	ride_121	1.000000	0,0	150	UI_TreasureMap_TipsTittle
item101020501136	2		3	ride_123	0.400000	0,0	150	UI_TreasureMap_TipsTittle
item101020501202	2		3	pet_101	1.300000	0,0	150	UI_TreasureMap_TipsTittle
item101020501204	2		3	pet_104	1.300000	0,0	150	UI_TreasureMap_TipsTittle
item101020501206	2		3	pet_111	1.100000	0,0	150	UI_TreasureMap_TipsTittle
item101020501208	2		3	pet_115	1.100000	0,0	150	UI_TreasureMap_TipsTittle
item101020501210	2		3	pet_121	1.400000	0,0	150	UI_TreasureMap_TipsTittle
item101020501212	2		3	pet_124	1.400000	0,0	150	UI_TreasureMap_TipsTittle
item101020501214	2		3	pet_131	1.000000	0,0	150	UI_TreasureMap_TipsTittle
item101020501216	2		3	pet_134	1.000000	0,0	150	UI_TreasureMap_TipsTittle
item101020501218	2		3	pet_141	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501220	2		3	pet_144	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501222	2		3	pet_154	1.100000	0,0	150	UI_TreasureMap_TipsTittle
item101020501224	2		3	pet_155	1.100000	0,0	150	UI_TreasureMap_TipsTittle
item101020501226	2		3	pet_156	1.300000	0,0	150	UI_TreasureMap_TipsTittle
item101020501228	2		3	pet_157	1.300000	0,0	150	UI_TreasureMap_TipsTittle
item101020501230	2		3	pet_158	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501232	2		3	pet_159	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501233	2		3	pet_160	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501235	2		3	pet_161	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501238	2		3	pet_162	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501240	2		3	pet_163	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501242	2		3	pet_164	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501244	2		3	pet_165	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501246	2		3	pet_166	1.100000	0,0	150	UI_TreasureMap_TipsTittle
item101020501248	2		3	pet_167	1.100000	0,0	150	UI_TreasureMap_TipsTittle
item101020501250	2		3	pet_168	0.900000	0,0	150	UI_TreasureMap_TipsTittle
item101020501252	2		3	pet_169	0.900000	0,0	150	UI_TreasureMap_TipsTittle
item101020501254	2		3	pet_170	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501256	2		3	pet_171	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501258	2		3	pet_172	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501260	2		3	pet_173	1.200000	0,0	150	UI_TreasureMap_TipsTittle
item101020501262	2		3	pet_174	1.300000	0,0	150	UI_TreasureMap_TipsTittle
item101020501264	2		3	pet_175	1.300000	0,0	150	UI_TreasureMap_TipsTittle
item101020501266	2		3	pet_176	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501268	2		3	pet_177	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501270	2		3	pet_179	1.500000	0,0	150	UI_TreasureMap_TipsTittle
item101020501274	2		3	pet_180	0.900000	0,0	150	UI_TreasureMap_TipsTittle
item101020501276	2		3	pet_181	0.900000	0,0	150	UI_TreasureMap_TipsTittle
item101020501278	2		3	pet_182	0.600000	0,0	150	UI_TreasureMap_TipsTittle
item101020501280	2		3	pet_183	0.600000	0,0	150	UI_TreasureMap_TipsTittle
item101020501282	2		3	pet_184	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501284	2		3	pet_185	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501286	2		3	pet_186	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501288	2		3	pet_187	0.700000	0,0	150	UI_TreasureMap_TipsTittle
item101020501290	2		3	pet_188	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501292	2		3	pet_190	0.800000	0,0	150	UI_TreasureMap_TipsTittle
item101020501294	2		3	pet_192	0.900000	0,0	150	UI_TreasureMap_TipsTittle
item101020501296	2		3	pet_194	0.800000	0,0	150	UI_TreasureMap_TipsTittle
