流水	场景ID	星期几	难度	常规任务掉落	常规任务刷新
68	4	0	0	3000001	6;9;12;15;18;21;0;3
69	4	0	1	3000011	6;10;14;18;22;2
70	4	0	2	3000021	6;12;18;0
71	5	1	0	4000001	6;9;12;15;18;21;0;3
72	5	1	1	4000011	6;10;14;18;22;2
73	5	1	2	4000021	6;12;18;0
74	5	2	0	4000001	6;9;12;15;18;21;0;3
75	5	2	1	4000011	6;10;14;18;22;2
76	5	2	2	4000021	6;12;18;0
77	5	3	0	4000001	6;9;12;15;18;21;0;3
78	5	3	1	4000011	6;10;14;18;22;2
79	5	3	2	4000021	6;12;18;0
80	5	4	0	4000001	6;9;12;15;18;21;0;3
81	5	4	1	4000011	6;10;14;18;22;2
82	5	4	2	4000021	6;12;18;0
83	5	5	0	4000001	6;9;12;15;18;21;0;3
84	5	5	1	4000011	6;10;14;18;22;2
85	5	5	2	4000021	6;12;18;0
86	5	6	0	4000001	6;9;12;15;18;21;0;3
87	5	6	1	4000011	6;10;14;18;22;2
88	5	6	2	4000021	6;12;18;0
89	5	0	0	4000001	6;9;12;15;18;21;0;3
90	5	0	1	4000011	6;10;14;18;22;2
91	5	0	2	4000021	6;12;18;0
92	6	1	0	5000001	6;9;12;15;18;21;0;3
93	6	1	1	5000011	6;10;14;18;22;2
94	6	1	2	5000021	6;12;18;0
95	6	2	0	5000001	6;9;12;15;18;21;0;3
96	6	2	1	5000011	6;10;14;18;22;2
97	6	2	2	5000021	6;12;18;0
98	6	3	0	5000001	6;9;12;15;18;21;0;3
99	6	3	1	5000011	6;10;14;18;22;2
100	6	3	2	5000021	6;12;18;0
101	6	4	0	5000001	6;9;12;15;18;21;0;3
102	6	4	1	5000011	6;10;14;18;22;2
103	6	4	2	5000021	6;12;18;0
104	6	5	0	5000001	6;9;12;15;18;21;0;3
105	6	5	1	5000011	6;10;14;18;22;2
106	6	5	2	5000021	6;12;18;0
107	6	6	0	5000001	6;9;12;15;18;21;0;3
108	6	6	1	5000011	6;10;14;18;22;2
109	6	6	2	5000021	6;12;18;0
110	6	0	0	5000001	6;9;12;15;18;21;0;3
111	6	0	1	5000011	6;10;14;18;22;2
112	6	0	2	5000021	6;12;18;0
113	7	1	0	6000001	6;9;12;15;18;21;0;3
114	7	1	1	6000011	6;10;14;18;22;2
115	7	1	2	6000021	6;12;18;0
116	7	2	0	6000001	6;9;12;15;18;21;0;3
117	7	2	1	6000011	6;10;14;18;22;2
118	7	2	2	6000021	6;12;18;0
119	7	3	0	6000001	6;9;12;15;18;21;0;3
120	7	3	1	6000011	6;10;14;18;22;2
121	7	3	2	6000021	6;12;18;0
122	7	4	0	6000001	6;9;12;15;18;21;0;3
123	7	4	1	6000011	6;10;14;18;22;2
124	7	4	2	6000021	6;12;18;0
125	7	5	0	6000001	6;9;12;15;18;21;0;3
126	7	5	1	6000011	6;10;14;18;22;2
127	7	5	2	6000021	6;12;18;0
128	7	6	0	6000001	6;9;12;15;18;21;0;3
129	7	6	1	6000011	6;10;14;18;22;2
130	7	6	2	6000021	6;12;18;0
131	7	0	0	6000001	6;9;12;15;18;21;0;3
132	7	0	1	6000011	6;10;14;18;22;2
133	7	0	2	6000021	6;12;18;0
134	8	1	0	7000001	6;9;12;15;18;21;0;3
135	8	1	1	7000011	6;10;14;18;22;2
136	8	1	2	7000021	6;12;18;0
137	8	2	0	7000001	6;9;12;15;18;21;0;3
138	8	2	1	7000011	6;10;14;18;22;2
139	8	2	2	7000021	6;12;18;0
140	8	3	0	7000001	6;9;12;15;18;21;0;3
141	8	3	1	7000011	6;10;14;18;22;2
142	8	3	2	7000021	6;12;18;0
143	8	4	0	7000001	6;9;12;15;18;21;0;3
144	8	4	1	7000011	6;10;14;18;22;2
145	8	4	2	7000021	6;12;18;0
146	8	5	0	7000001	6;9;12;15;18;21;0;3
147	8	5	1	7000011	6;10;14;18;22;2
148	8	5	2	7000021	6;12;18;0
149	8	6	0	7000001	6;9;12;15;18;21;0;3
150	8	6	1	7000011	6;10;14;18;22;2
151	8	6	2	7000021	6;12;18;0
152	8	0	0	7000001	6;9;12;15;18;21;0;3
153	8	0	1	7000011	6;10;14;18;22;2
154	8	0	2	7000021	6;12;18;0
155	9	1	0	8000001	6;9;12;15;18;21;0;3
156	9	1	1	8000011	6;10;14;18;22;2
157	9	1	2	8000021	6;12;18;0
158	9	2	0	8000001	6;9;12;15;18;21;0;3
159	9	2	1	8000011	6;10;14;18;22;2
160	9	2	2	8000021	6;12;18;0
161	9	3	0	8000001	6;9;12;15;18;21;0;3
162	9	3	1	8000011	6;10;14;18;22;2
163	9	3	2	8000021	6;12;18;0
164	9	4	0	8000001	6;9;12;15;18;21;0;3
165	9	4	1	8000011	6;10;14;18;22;2
166	9	4	2	8000021	6;12;18;0
167	9	5	0	8000001	6;9;12;15;18;21;0;3
168	9	5	1	8000011	6;10;14;18;22;2
169	9	5	2	8000021	6;12;18;0
170	9	6	0	8000001	6;9;12;15;18;21;0;3
171	9	6	1	8000011	6;10;14;18;22;2
172	9	6	2	8000021	6;12;18;0
173	9	0	0	8000001	6;9;12;15;18;21;0;3
174	9	0	1	8000011	6;10;14;18;22;2
175	9	0	2	8000021	6;12;18;0
176	37	1	2	9000001	6;12;18;0
177	37	1	1	9000011	6;10;14;18;22;2
178	37	1	0	9000021	6;9;12;15;18;21;0;3
179	37	2	2	9000001	6;12;18;0
180	37	2	1	9000011	6;10;14;18;22;2
181	37	2	0	9000021	6;9;12;15;18;21;0;3
182	37	3	2	9000001	6;12;18;0
183	37	3	1	9000011	6;10;14;18;22;2
184	37	3	0	9000021	6;9;12;15;18;21;0;3
185	37	4	2	9000001	6;12;18;0
186	37	4	1	9000011	6;10;14;18;22;2
187	37	4	0	9000021	6;9;12;15;18;21;0;3
188	37	5	2	9000001	6;12;18;0
189	37	5	1	9000011	6;10;14;18;22;2
190	37	5	0	9000021	6;9;12;15;18;21;0;3
191	37	6	2	9000001	6;12;18;0
192	37	6	1	9000011	6;10;14;18;22;2
193	37	6	0	9000021	6;9;12;15;18;21;0;3
194	37	0	2	9000001	6;12;18;0
195	37	0	1	9000011	6;10;14;18;22;2
196	37	0	0	9000021	6;9;12;15;18;21;0;3
197	18	1	2	10000001	6;12;18;0
198	18	1	1	10000011	6;10;14;18;22;2
199	18	1	0	10000021	6;9;12;15;18;21;0;3
200	18	2	2	10000001	6;12;18;0
201	18	2	1	10000011	6;10;14;18;22;2
202	18	2	0	10000021	6;9;12;15;18;21;0;3
203	18	3	2	10000001	6;12;18;0
204	18	3	1	10000011	6;10;14;18;22;2
205	18	3	0	10000021	6;9;12;15;18;21;0;3
206	18	4	2	10000001	6;12;18;0
207	18	4	1	10000011	6;10;14;18;22;2
208	18	4	0	10000021	6;9;12;15;18;21;0;3
209	18	5	2	10000001	6;12;18;0
210	18	5	1	10000011	6;10;14;18;22;2
211	18	5	0	10000021	6;9;12;15;18;21;0;3
212	18	6	2	10000001	6;12;18;0
213	18	6	1	10000011	6;10;14;18;22;2
214	18	6	0	10000021	6;9;12;15;18;21;0;3
215	18	0	2	10000001	6;12;18;0
216	18	0	1	10000011	6;10;14;18;22;2
217	18	0	0	10000021	6;9;12;15;18;21;0;3
