流水id	npc编号	佣兵等级	属性ID
57	soldier_npc_10001	56	1400000055
58	soldier_npc_10001	57	1400000056
59	soldier_npc_10001	58	1400000057
60	soldier_npc_10001	59	1400000058
61	soldier_npc_10001	60	1400000059
62	soldier_npc_10001	61	1400000060
63	soldier_npc_10001	62	1400000061
64	soldier_npc_10001	63	1400000062
65	soldier_npc_10001	64	1400000063
66	soldier_npc_10001	65	1400000064
67	soldier_npc_10001	66	1400000065
68	soldier_npc_10001	67	1400000066
69	soldier_npc_10001	68	1400000067
70	soldier_npc_10001	69	1400000068
71	soldier_npc_10001	70	1400000069
72	soldier_npc_10001	71	1400000070
73	soldier_npc_10001	72	1400000071
74	soldier_npc_10001	73	1400000072
75	soldier_npc_10001	74	1400000073
76	soldier_npc_10001	75	1400000074
77	soldier_npc_10001	76	1400000075
78	soldier_npc_10001	77	1400000076
79	soldier_npc_10001	78	1400000077
80	soldier_npc_10001	79	1400000078
81	soldier_npc_10001	80	1400000079
82	soldier_npc_10001	81	1400000080
83	soldier_npc_10001	82	1400000081
84	soldier_npc_10001	83	1400000082
85	soldier_npc_10001	84	1400000083
86	soldier_npc_10001	85	1400000084
87	soldier_npc_10001	86	1400000085
88	soldier_npc_10001	87	1400000086
89	soldier_npc_10001	88	1400000087
90	soldier_npc_10001	89	1400000088
91	soldier_npc_10001	90	1400000089
92	soldier_npc_10001	91	1400000090
93	soldier_npc_10001	92	1400000091
94	soldier_npc_10001	93	1400000092
95	soldier_npc_10001	94	1400000093
96	soldier_npc_10001	95	1400000094
97	soldier_npc_10001	96	1400000095
98	soldier_npc_10001	97	1400000096
99	soldier_npc_10001	98	1400000097
100	soldier_npc_10001	99	1400000098
101	soldier_npc_10001	100	1400000099
102	soldier_npc_10001	101	14000000100
103	soldier_npc_10001	102	14000000101
104	soldier_npc_10001	103	14000000102
105	soldier_npc_10001	104	14000000103
106	soldier_npc_10001	105	14000000104
107	soldier_npc_10001	106	14000000105
108	soldier_npc_10001	107	14000000106
109	soldier_npc_10001	108	14000000107
110	soldier_npc_10001	109	14000000108
111	soldier_npc_10001	110	14000000109
112	soldier_npc_10002	1	1400000100
113	soldier_npc_10002	2	1400000101
114	soldier_npc_10002	3	1400000102
115	soldier_npc_10002	4	1400000103
116	soldier_npc_10002	5	1400000104
117	soldier_npc_10002	6	1400000105
118	soldier_npc_10002	7	1400000106
119	soldier_npc_10002	8	1400000107
120	soldier_npc_10002	9	1400000108
121	soldier_npc_10002	10	1400000109
122	soldier_npc_10002	11	1400000110
123	soldier_npc_10002	12	1400000111
124	soldier_npc_10002	13	1400000112
125	soldier_npc_10002	14	1400000113
126	soldier_npc_10002	15	1400000114
127	soldier_npc_10002	16	1400000115
128	soldier_npc_10002	17	1400000116
129	soldier_npc_10002	18	1400000117
130	soldier_npc_10002	19	1400000118
131	soldier_npc_10002	20	1400000119
132	soldier_npc_10002	21	1400000120
133	soldier_npc_10002	22	1400000121
134	soldier_npc_10002	23	1400000122
135	soldier_npc_10002	24	1400000123
136	soldier_npc_10002	25	1400000124
137	soldier_npc_10002	26	1400000125
138	soldier_npc_10002	27	1400000126
139	soldier_npc_10002	28	1400000127
140	soldier_npc_10002	29	1400000128
141	soldier_npc_10002	30	1400000129
142	soldier_npc_10002	31	1400000130
143	soldier_npc_10002	32	1400000131
144	soldier_npc_10002	33	1400000132
145	soldier_npc_10002	34	1400000133
146	soldier_npc_10002	35	1400000134
147	soldier_npc_10002	36	1400000135
148	soldier_npc_10002	37	1400000136
149	soldier_npc_10002	38	1400000137
150	soldier_npc_10002	39	1400000138
151	soldier_npc_10002	40	1400000139
152	soldier_npc_10002	41	1400000140
153	soldier_npc_10002	42	1400000141
154	soldier_npc_10002	43	1400000142
155	soldier_npc_10002	44	1400000143
156	soldier_npc_10002	45	1400000144
157	soldier_npc_10002	46	1400000145
158	soldier_npc_10002	47	1400000146
159	soldier_npc_10002	48	1400000147
160	soldier_npc_10002	49	1400000148
161	soldier_npc_10002	50	1400000149
162	soldier_npc_10002	51	1400000150
163	soldier_npc_10002	52	1400000151
164	soldier_npc_10002	53	1400000152
165	soldier_npc_10002	54	1400000153
166	soldier_npc_10002	55	1400000154
167	soldier_npc_10002	56	1400000155
168	soldier_npc_10002	57	1400000156
169	soldier_npc_10002	58	1400000157
170	soldier_npc_10002	59	1400000158
171	soldier_npc_10002	60	1400000159
172	soldier_npc_10002	61	1400000160
173	soldier_npc_10002	62	1400000161
174	soldier_npc_10002	63	1400000162
175	soldier_npc_10002	64	1400000163
176	soldier_npc_10002	65	1400000164
177	soldier_npc_10002	66	1400000165
178	soldier_npc_10002	67	1400000166
179	soldier_npc_10002	68	1400000167
180	soldier_npc_10002	69	1400000168
181	soldier_npc_10002	70	1400000169
182	soldier_npc_10002	71	1400000170
183	soldier_npc_10002	72	1400000171
184	soldier_npc_10002	73	1400000172
185	soldier_npc_10002	74	1400000173
186	soldier_npc_10002	75	1400000174
187	soldier_npc_10002	76	1400000175
188	soldier_npc_10002	77	1400000176
189	soldier_npc_10002	78	1400000177
190	soldier_npc_10002	79	1400000178
191	soldier_npc_10002	80	1400000179
192	soldier_npc_10002	81	1400000180
193	soldier_npc_10002	82	1400000181
194	soldier_npc_10002	83	1400000182
195	soldier_npc_10002	84	1400000183
196	soldier_npc_10002	85	1400000184
197	soldier_npc_10002	86	1400000185
198	soldier_npc_10002	87	1400000186
199	soldier_npc_10002	88	1400000187
200	soldier_npc_10002	89	1400000188
201	soldier_npc_10002	90	1400000189
202	soldier_npc_10002	91	1400000190
203	soldier_npc_10002	92	1400000191
204	soldier_npc_10002	93	1400000192
205	soldier_npc_10002	94	1400000193
206	soldier_npc_10002	95	1400000194
207	soldier_npc_10002	96	1400000195
208	soldier_npc_10002	97	1400000196
209	soldier_npc_10002	98	1400000197
210	soldier_npc_10002	99	1400000198
211	soldier_npc_10002	100	1400000199
212	soldier_npc_10002	101	14000001100
213	soldier_npc_10002	102	14000001101
214	soldier_npc_10002	103	14000001102
215	soldier_npc_10002	104	14000001103
216	soldier_npc_10002	105	14000001104
217	soldier_npc_10002	106	14000001105
218	soldier_npc_10002	107	14000001106
219	soldier_npc_10002	108	14000001107
220	soldier_npc_10002	109	14000001108
221	soldier_npc_10002	110	14000001109
222	soldier_npc_10003	1	1400000200
223	soldier_npc_10003	2	1400000201
224	soldier_npc_10003	3	1400000202
225	soldier_npc_10003	4	1400000203
226	soldier_npc_10003	5	1400000204
227	soldier_npc_10003	6	1400000205
228	soldier_npc_10003	7	1400000206
229	soldier_npc_10003	8	1400000207
230	soldier_npc_10003	9	1400000208
231	soldier_npc_10003	10	1400000209
232	soldier_npc_10003	11	1400000210
233	soldier_npc_10003	12	1400000211
234	soldier_npc_10003	13	1400000212
235	soldier_npc_10003	14	1400000213
236	soldier_npc_10003	15	1400000214
237	soldier_npc_10003	16	1400000215
238	soldier_npc_10003	17	1400000216
239	soldier_npc_10003	18	1400000217
240	soldier_npc_10003	19	1400000218
241	soldier_npc_10003	20	1400000219
242	soldier_npc_10003	21	1400000220
243	soldier_npc_10003	22	1400000221
244	soldier_npc_10003	23	1400000222
245	soldier_npc_10003	24	1400000223
246	soldier_npc_10003	25	1400000224
247	soldier_npc_10003	26	1400000225
248	soldier_npc_10003	27	1400000226
249	soldier_npc_10003	28	1400000227
250	soldier_npc_10003	29	1400000228
251	soldier_npc_10003	30	1400000229
252	soldier_npc_10003	31	1400000230
253	soldier_npc_10003	32	1400000231
254	soldier_npc_10003	33	1400000232
255	soldier_npc_10003	34	1400000233
256	soldier_npc_10003	35	1400000234
257	soldier_npc_10003	36	1400000235
258	soldier_npc_10003	37	1400000236
259	soldier_npc_10003	38	1400000237
260	soldier_npc_10003	39	1400000238
261	soldier_npc_10003	40	1400000239
262	soldier_npc_10003	41	1400000240
263	soldier_npc_10003	42	1400000241
264	soldier_npc_10003	43	1400000242
265	soldier_npc_10003	44	1400000243
266	soldier_npc_10003	45	1400000244
267	soldier_npc_10003	46	1400000245
268	soldier_npc_10003	47	1400000246
269	soldier_npc_10003	48	1400000247
270	soldier_npc_10003	49	1400000248
271	soldier_npc_10003	50	1400000249
272	soldier_npc_10003	51	1400000250
273	soldier_npc_10003	52	1400000251
274	soldier_npc_10003	53	1400000252
275	soldier_npc_10003	54	1400000253
276	soldier_npc_10003	55	1400000254
277	soldier_npc_10003	56	1400000255
278	soldier_npc_10003	57	1400000256
279	soldier_npc_10003	58	1400000257
280	soldier_npc_10003	59	1400000258
281	soldier_npc_10003	60	1400000259
282	soldier_npc_10003	61	1400000260
283	soldier_npc_10003	62	1400000261
284	soldier_npc_10003	63	1400000262
285	soldier_npc_10003	64	1400000263
286	soldier_npc_10003	65	1400000264
287	soldier_npc_10003	66	1400000265
288	soldier_npc_10003	67	1400000266
289	soldier_npc_10003	68	1400000267
290	soldier_npc_10003	69	1400000268
291	soldier_npc_10003	70	1400000269
292	soldier_npc_10003	71	1400000270
293	soldier_npc_10003	72	1400000271
294	soldier_npc_10003	73	1400000272
295	soldier_npc_10003	74	1400000273
296	soldier_npc_10003	75	1400000274
297	soldier_npc_10003	76	1400000275
298	soldier_npc_10003	77	1400000276
299	soldier_npc_10003	78	1400000277
300	soldier_npc_10003	79	1400000278
301	soldier_npc_10003	80	1400000279
302	soldier_npc_10003	81	1400000280
303	soldier_npc_10003	82	1400000281
304	soldier_npc_10003	83	1400000282
305	soldier_npc_10003	84	1400000283
306	soldier_npc_10003	85	1400000284
307	soldier_npc_10003	86	1400000285
308	soldier_npc_10003	87	1400000286
309	soldier_npc_10003	88	1400000287
310	soldier_npc_10003	89	1400000288
311	soldier_npc_10003	90	1400000289
312	soldier_npc_10003	91	1400000290
313	soldier_npc_10003	92	1400000291
314	soldier_npc_10003	93	1400000292
315	soldier_npc_10003	94	1400000293
316	soldier_npc_10003	95	1400000294
317	soldier_npc_10003	96	1400000295
318	soldier_npc_10003	97	1400000296
319	soldier_npc_10003	98	1400000297
320	soldier_npc_10003	99	1400000298
321	soldier_npc_10003	100	1400000299
322	soldier_npc_10003	101	14000002100
323	soldier_npc_10003	102	14000002101
324	soldier_npc_10003	103	14000002102
325	soldier_npc_10003	104	14000002103
326	soldier_npc_10003	105	14000002104
327	soldier_npc_10003	106	14000002105
328	soldier_npc_10003	107	14000002106
329	soldier_npc_10003	108	14000002107
330	soldier_npc_10003	109	14000002108
331	soldier_npc_10003	110	14000002109
332	soldier_npc_10004	1	1400000300
333	soldier_npc_10004	2	1400000301
334	soldier_npc_10004	3	1400000302
335	soldier_npc_10004	4	1400000303
336	soldier_npc_10004	5	1400000304
337	soldier_npc_10004	6	1400000305
338	soldier_npc_10004	7	1400000306
339	soldier_npc_10004	8	1400000307
340	soldier_npc_10004	9	1400000308
341	soldier_npc_10004	10	1400000309
342	soldier_npc_10004	11	1400000310
343	soldier_npc_10004	12	1400000311
344	soldier_npc_10004	13	1400000312
345	soldier_npc_10004	14	1400000313
346	soldier_npc_10004	15	1400000314
347	soldier_npc_10004	16	1400000315
348	soldier_npc_10004	17	1400000316
349	soldier_npc_10004	18	1400000317
350	soldier_npc_10004	19	1400000318
351	soldier_npc_10004	20	1400000319
352	soldier_npc_10004	21	1400000320
353	soldier_npc_10004	22	1400000321
354	soldier_npc_10004	23	1400000322
355	soldier_npc_10004	24	1400000323
356	soldier_npc_10004	25	1400000324
357	soldier_npc_10004	26	1400000325
358	soldier_npc_10004	27	1400000326
359	soldier_npc_10004	28	1400000327
360	soldier_npc_10004	29	1400000328
361	soldier_npc_10004	30	1400000329
362	soldier_npc_10004	31	1400000330
363	soldier_npc_10004	32	1400000331
364	soldier_npc_10004	33	1400000332
365	soldier_npc_10004	34	1400000333
366	soldier_npc_10004	35	1400000334
367	soldier_npc_10004	36	1400000335
368	soldier_npc_10004	37	1400000336
369	soldier_npc_10004	38	1400000337
370	soldier_npc_10004	39	1400000338
371	soldier_npc_10004	40	1400000339
372	soldier_npc_10004	41	1400000340
373	soldier_npc_10004	42	1400000341
374	soldier_npc_10004	43	1400000342
375	soldier_npc_10004	44	1400000343
376	soldier_npc_10004	45	1400000344
377	soldier_npc_10004	46	1400000345
378	soldier_npc_10004	47	1400000346
379	soldier_npc_10004	48	1400000347
380	soldier_npc_10004	49	1400000348
381	soldier_npc_10004	50	1400000349
382	soldier_npc_10004	51	1400000350
383	soldier_npc_10004	52	1400000351
384	soldier_npc_10004	53	1400000352
385	soldier_npc_10004	54	1400000353
386	soldier_npc_10004	55	1400000354
387	soldier_npc_10004	56	1400000355
388	soldier_npc_10004	57	1400000356
389	soldier_npc_10004	58	1400000357
390	soldier_npc_10004	59	1400000358
391	soldier_npc_10004	60	1400000359
392	soldier_npc_10004	61	1400000360
393	soldier_npc_10004	62	1400000361
394	soldier_npc_10004	63	1400000362
395	soldier_npc_10004	64	1400000363
396	soldier_npc_10004	65	1400000364
397	soldier_npc_10004	66	1400000365
398	soldier_npc_10004	67	1400000366
399	soldier_npc_10004	68	1400000367
400	soldier_npc_10004	69	1400000368
401	soldier_npc_10004	70	1400000369
402	soldier_npc_10004	71	1400000370
403	soldier_npc_10004	72	1400000371
404	soldier_npc_10004	73	1400000372
405	soldier_npc_10004	74	1400000373
406	soldier_npc_10004	75	1400000374
407	soldier_npc_10004	76	1400000375
408	soldier_npc_10004	77	1400000376
409	soldier_npc_10004	78	1400000377
410	soldier_npc_10004	79	1400000378
411	soldier_npc_10004	80	1400000379
412	soldier_npc_10004	81	1400000380
413	soldier_npc_10004	82	1400000381
414	soldier_npc_10004	83	1400000382
415	soldier_npc_10004	84	1400000383
416	soldier_npc_10004	85	1400000384
417	soldier_npc_10004	86	1400000385
418	soldier_npc_10004	87	1400000386
419	soldier_npc_10004	88	1400000387
420	soldier_npc_10004	89	1400000388
421	soldier_npc_10004	90	1400000389
422	soldier_npc_10004	91	1400000390
423	soldier_npc_10004	92	1400000391
424	soldier_npc_10004	93	1400000392
425	soldier_npc_10004	94	1400000393
426	soldier_npc_10004	95	1400000394
427	soldier_npc_10004	96	1400000395
428	soldier_npc_10004	97	1400000396
429	soldier_npc_10004	98	1400000397
430	soldier_npc_10004	99	1400000398
431	soldier_npc_10004	100	1400000399
432	soldier_npc_10004	101	14000003100
433	soldier_npc_10004	102	14000003101
434	soldier_npc_10004	103	14000003102
435	soldier_npc_10004	104	14000003103
436	soldier_npc_10004	105	14000003104
437	soldier_npc_10004	106	14000003105
438	soldier_npc_10004	107	14000003106
439	soldier_npc_10004	108	14000003107
440	soldier_npc_10004	109	14000003108
441	soldier_npc_10004	110	14000003109
442	soldier_npc_10005	1	1400000400
443	soldier_npc_10005	2	1400000401
444	soldier_npc_10005	3	1400000402
445	soldier_npc_10005	4	1400000403
446	soldier_npc_10005	5	1400000404
447	soldier_npc_10005	6	1400000405
448	soldier_npc_10005	7	1400000406
449	soldier_npc_10005	8	1400000407
450	soldier_npc_10005	9	1400000408
451	soldier_npc_10005	10	1400000409
452	soldier_npc_10005	11	1400000410
453	soldier_npc_10005	12	1400000411
454	soldier_npc_10005	13	1400000412
455	soldier_npc_10005	14	1400000413
456	soldier_npc_10005	15	1400000414
457	soldier_npc_10005	16	1400000415
458	soldier_npc_10005	17	1400000416
459	soldier_npc_10005	18	1400000417
460	soldier_npc_10005	19	1400000418
461	soldier_npc_10005	20	1400000419
462	soldier_npc_10005	21	1400000420
463	soldier_npc_10005	22	1400000421
464	soldier_npc_10005	23	1400000422
465	soldier_npc_10005	24	1400000423
466	soldier_npc_10005	25	1400000424
467	soldier_npc_10005	26	1400000425
468	soldier_npc_10005	27	1400000426
469	soldier_npc_10005	28	1400000427
470	soldier_npc_10005	29	1400000428
471	soldier_npc_10005	30	1400000429
472	soldier_npc_10005	31	1400000430
473	soldier_npc_10005	32	1400000431
474	soldier_npc_10005	33	1400000432
475	soldier_npc_10005	34	1400000433
476	soldier_npc_10005	35	1400000434
477	soldier_npc_10005	36	1400000435
478	soldier_npc_10005	37	1400000436
479	soldier_npc_10005	38	1400000437
480	soldier_npc_10005	39	1400000438
481	soldier_npc_10005	40	1400000439
482	soldier_npc_10005	41	1400000440
483	soldier_npc_10005	42	1400000441
484	soldier_npc_10005	43	1400000442
485	soldier_npc_10005	44	1400000443
486	soldier_npc_10005	45	1400000444
487	soldier_npc_10005	46	1400000445
488	soldier_npc_10005	47	1400000446
489	soldier_npc_10005	48	1400000447
490	soldier_npc_10005	49	1400000448
491	soldier_npc_10005	50	1400000449
492	soldier_npc_10005	51	1400000450
493	soldier_npc_10005	52	1400000451
494	soldier_npc_10005	53	1400000452
495	soldier_npc_10005	54	1400000453
496	soldier_npc_10005	55	1400000454
497	soldier_npc_10005	56	1400000455
498	soldier_npc_10005	57	1400000456
499	soldier_npc_10005	58	1400000457
500	soldier_npc_10005	59	1400000458
501	soldier_npc_10005	60	1400000459
502	soldier_npc_10005	61	1400000460
503	soldier_npc_10005	62	1400000461
504	soldier_npc_10005	63	1400000462
505	soldier_npc_10005	64	1400000463
506	soldier_npc_10005	65	1400000464
507	soldier_npc_10005	66	1400000465
508	soldier_npc_10005	67	1400000466
509	soldier_npc_10005	68	1400000467
510	soldier_npc_10005	69	1400000468
511	soldier_npc_10005	70	1400000469
512	soldier_npc_10005	71	1400000470
513	soldier_npc_10005	72	1400000471
514	soldier_npc_10005	73	1400000472
515	soldier_npc_10005	74	1400000473
516	soldier_npc_10005	75	1400000474
517	soldier_npc_10005	76	1400000475
518	soldier_npc_10005	77	1400000476
519	soldier_npc_10005	78	1400000477
520	soldier_npc_10005	79	1400000478
521	soldier_npc_10005	80	1400000479
522	soldier_npc_10005	81	1400000480
523	soldier_npc_10005	82	1400000481
524	soldier_npc_10005	83	1400000482
525	soldier_npc_10005	84	1400000483
526	soldier_npc_10005	85	1400000484
527	soldier_npc_10005	86	1400000485
528	soldier_npc_10005	87	1400000486
529	soldier_npc_10005	88	1400000487
530	soldier_npc_10005	89	1400000488
531	soldier_npc_10005	90	1400000489
532	soldier_npc_10005	91	1400000490
533	soldier_npc_10005	92	1400000491
534	soldier_npc_10005	93	1400000492
535	soldier_npc_10005	94	1400000493
536	soldier_npc_10005	95	1400000494
537	soldier_npc_10005	96	1400000495
538	soldier_npc_10005	97	1400000496
539	soldier_npc_10005	98	1400000497
540	soldier_npc_10005	99	1400000498
541	soldier_npc_10005	100	1400000499
542	soldier_npc_10005	101	14000004100
543	soldier_npc_10005	102	14000004101
544	soldier_npc_10005	103	14000004102
545	soldier_npc_10005	104	14000004103
546	soldier_npc_10005	105	14000004104
547	soldier_npc_10005	106	14000004105
548	soldier_npc_10005	107	14000004106
549	soldier_npc_10005	108	14000004107
550	soldier_npc_10005	109	14000004108
551	soldier_npc_10005	110	14000004109
552	soldier_npc_10006	1	1400000500
553	soldier_npc_10006	2	1400000501
554	soldier_npc_10006	3	1400000502
555	soldier_npc_10006	4	1400000503
556	soldier_npc_10006	5	1400000504
557	soldier_npc_10006	6	1400000505
558	soldier_npc_10006	7	1400000506
559	soldier_npc_10006	8	1400000507
560	soldier_npc_10006	9	1400000508
561	soldier_npc_10006	10	1400000509
562	soldier_npc_10006	11	1400000510
563	soldier_npc_10006	12	1400000511
564	soldier_npc_10006	13	1400000512
565	soldier_npc_10006	14	1400000513
566	soldier_npc_10006	15	1400000514
567	soldier_npc_10006	16	1400000515
568	soldier_npc_10006	17	1400000516
569	soldier_npc_10006	18	1400000517
570	soldier_npc_10006	19	1400000518
571	soldier_npc_10006	20	1400000519
572	soldier_npc_10006	21	1400000520
573	soldier_npc_10006	22	1400000521
574	soldier_npc_10006	23	1400000522
575	soldier_npc_10006	24	1400000523
576	soldier_npc_10006	25	1400000524
577	soldier_npc_10006	26	1400000525
578	soldier_npc_10006	27	1400000526
579	soldier_npc_10006	28	1400000527
580	soldier_npc_10006	29	1400000528
581	soldier_npc_10006	30	1400000529
582	soldier_npc_10006	31	1400000530
583	soldier_npc_10006	32	1400000531
584	soldier_npc_10006	33	1400000532
585	soldier_npc_10006	34	1400000533
586	soldier_npc_10006	35	1400000534
587	soldier_npc_10006	36	1400000535
588	soldier_npc_10006	37	1400000536
589	soldier_npc_10006	38	1400000537
590	soldier_npc_10006	39	1400000538
591	soldier_npc_10006	40	1400000539
592	soldier_npc_10006	41	1400000540
593	soldier_npc_10006	42	1400000541
594	soldier_npc_10006	43	1400000542
595	soldier_npc_10006	44	1400000543
596	soldier_npc_10006	45	1400000544
597	soldier_npc_10006	46	1400000545
598	soldier_npc_10006	47	1400000546
599	soldier_npc_10006	48	1400000547
600	soldier_npc_10006	49	1400000548
601	soldier_npc_10006	50	1400000549
602	soldier_npc_10006	51	1400000550
603	soldier_npc_10006	52	1400000551
604	soldier_npc_10006	53	1400000552
605	soldier_npc_10006	54	1400000553
606	soldier_npc_10006	55	1400000554
607	soldier_npc_10006	56	1400000555
608	soldier_npc_10006	57	1400000556
609	soldier_npc_10006	58	1400000557
610	soldier_npc_10006	59	1400000558
611	soldier_npc_10006	60	1400000559
612	soldier_npc_10006	61	1400000560
613	soldier_npc_10006	62	1400000561
614	soldier_npc_10006	63	1400000562
615	soldier_npc_10006	64	1400000563
616	soldier_npc_10006	65	1400000564
617	soldier_npc_10006	66	1400000565
618	soldier_npc_10006	67	1400000566
619	soldier_npc_10006	68	1400000567
620	soldier_npc_10006	69	1400000568
621	soldier_npc_10006	70	1400000569
622	soldier_npc_10006	71	1400000570
623	soldier_npc_10006	72	1400000571
624	soldier_npc_10006	73	1400000572
625	soldier_npc_10006	74	1400000573
626	soldier_npc_10006	75	1400000574
627	soldier_npc_10006	76	1400000575
628	soldier_npc_10006	77	1400000576
629	soldier_npc_10006	78	1400000577
630	soldier_npc_10006	79	1400000578
631	soldier_npc_10006	80	1400000579
632	soldier_npc_10006	81	1400000580
633	soldier_npc_10006	82	1400000581
634	soldier_npc_10006	83	1400000582
635	soldier_npc_10006	84	1400000583
636	soldier_npc_10006	85	1400000584
637	soldier_npc_10006	86	1400000585
638	soldier_npc_10006	87	1400000586
639	soldier_npc_10006	88	1400000587
640	soldier_npc_10006	89	1400000588
641	soldier_npc_10006	90	1400000589
642	soldier_npc_10006	91	1400000590
643	soldier_npc_10006	92	1400000591
644	soldier_npc_10006	93	1400000592
645	soldier_npc_10006	94	1400000593
646	soldier_npc_10006	95	1400000594
647	soldier_npc_10006	96	1400000595
648	soldier_npc_10006	97	1400000596
649	soldier_npc_10006	98	1400000597
650	soldier_npc_10006	99	1400000598
651	soldier_npc_10006	100	1400000599
652	soldier_npc_10006	101	14000005100
653	soldier_npc_10006	102	14000005101
654	soldier_npc_10006	103	14000005102
655	soldier_npc_10006	104	14000005103
656	soldier_npc_10006	105	14000005104
657	soldier_npc_10006	106	14000005105
658	soldier_npc_10006	107	14000005106
659	soldier_npc_10006	108	14000005107
660	soldier_npc_10006	109	14000005108
661	soldier_npc_10006	110	14000005109
662	soldier_npc_10007	1	1400000600
663	soldier_npc_10007	2	1400000601
664	soldier_npc_10007	3	1400000602
665	soldier_npc_10007	4	1400000603
666	soldier_npc_10007	5	1400000604
667	soldier_npc_10007	6	1400000605
668	soldier_npc_10007	7	1400000606
669	soldier_npc_10007	8	1400000607
670	soldier_npc_10007	9	1400000608
671	soldier_npc_10007	10	1400000609
672	soldier_npc_10007	11	1400000610
673	soldier_npc_10007	12	1400000611
674	soldier_npc_10007	13	1400000612
675	soldier_npc_10007	14	1400000613
676	soldier_npc_10007	15	1400000614
677	soldier_npc_10007	16	1400000615
678	soldier_npc_10007	17	1400000616
679	soldier_npc_10007	18	1400000617
680	soldier_npc_10007	19	1400000618
681	soldier_npc_10007	20	1400000619
682	soldier_npc_10007	21	1400000620
683	soldier_npc_10007	22	1400000621
684	soldier_npc_10007	23	1400000622
685	soldier_npc_10007	24	1400000623
686	soldier_npc_10007	25	1400000624
687	soldier_npc_10007	26	1400000625
688	soldier_npc_10007	27	1400000626
689	soldier_npc_10007	28	1400000627
690	soldier_npc_10007	29	1400000628
691	soldier_npc_10007	30	1400000629
692	soldier_npc_10007	31	1400000630
693	soldier_npc_10007	32	1400000631
694	soldier_npc_10007	33	1400000632
695	soldier_npc_10007	34	1400000633
696	soldier_npc_10007	35	1400000634
697	soldier_npc_10007	36	1400000635
698	soldier_npc_10007	37	1400000636
699	soldier_npc_10007	38	1400000637
700	soldier_npc_10007	39	1400000638
701	soldier_npc_10007	40	1400000639
702	soldier_npc_10007	41	1400000640
703	soldier_npc_10007	42	1400000641
704	soldier_npc_10007	43	1400000642
705	soldier_npc_10007	44	1400000643
706	soldier_npc_10007	45	1400000644
707	soldier_npc_10007	46	1400000645
708	soldier_npc_10007	47	1400000646
709	soldier_npc_10007	48	1400000647
710	soldier_npc_10007	49	1400000648
711	soldier_npc_10007	50	1400000649
712	soldier_npc_10007	51	1400000650
713	soldier_npc_10007	52	1400000651
714	soldier_npc_10007	53	1400000652
715	soldier_npc_10007	54	1400000653
716	soldier_npc_10007	55	1400000654
717	soldier_npc_10007	56	1400000655
718	soldier_npc_10007	57	1400000656
719	soldier_npc_10007	58	1400000657
720	soldier_npc_10007	59	1400000658
721	soldier_npc_10007	60	1400000659
722	soldier_npc_10007	61	1400000660
723	soldier_npc_10007	62	1400000661
724	soldier_npc_10007	63	1400000662
725	soldier_npc_10007	64	1400000663
726	soldier_npc_10007	65	1400000664
727	soldier_npc_10007	66	1400000665
728	soldier_npc_10007	67	1400000666
729	soldier_npc_10007	68	1400000667
730	soldier_npc_10007	69	1400000668
731	soldier_npc_10007	70	1400000669
732	soldier_npc_10007	71	1400000670
733	soldier_npc_10007	72	1400000671
