收集品道具id	收集品类型	尺寸随机范围	尺寸单位
item250001008001	4	40,50	UI_AdventBookUnitkey01
item250001008002	4	35,40	UI_AdventBookUnitkey01
item250001008003	4	28,35	UI_AdventBookUnitkey01
item250001008004	4	20,28	UI_AdventBookUnitkey01
item250001009001	4	20,25	UI_AdventBookUnitkey01
item250001009002	4	15,20	UI_AdventBookUnitkey01
item250001009003	4	8,15	UI_AdventBookUnitkey01
item250001009004	4	5,8	UI_AdventBookUnitkey01
item250001010001	4	18,20	UI_AdventBookUnitkey01
item250001010002	4	15,18	UI_AdventBookUnitkey01
item250001010003	4	13,15	UI_AdventBookUnitkey01
item250001010004	4	10,13	UI_AdventBookUnitkey01
item250002001001	4	30,35	UI_AdventBookUnitkey01
item250002001002	4	25,30	UI_AdventBookUnitkey01
item250002001003	4	20,25	UI_AdventBookUnitkey01
item250002001004	4	10,20	UI_AdventBookUnitkey01
item250002002001	4	50,60	UI_AdventBookUnitkey01
item250002002002	4	40,50	UI_AdventBookUnitkey01
item250002002003	4	30,40	UI_AdventBookUnitkey01
item250002002004	4	25,30	UI_AdventBookUnitkey01
item250002003001	4	13,15	UI_AdventBookUnitkey01
item250002003002	4	10,13	UI_AdventBookUnitkey01
item250002003003	4	6,10	UI_AdventBookUnitkey01
item250002003004	4	1,6	UI_AdventBookUnitkey01
item250002004001	4	50,60	UI_AdventBookUnitkey01
item250002004002	4	40,50	UI_AdventBookUnitkey01
item250002004003	4	30,40	UI_AdventBookUnitkey01
item250002004004	4	25,30	UI_AdventBookUnitkey01
item250002005001	4	17,20	UI_AdventBookUnitkey01
item250002005002	4	15,17	UI_AdventBookUnitkey01
item250002005003	4	10,15	UI_AdventBookUnitkey01
item250002005004	4	5,10	UI_AdventBookUnitkey01
item250002006001	4	30,35	UI_AdventBookUnitkey01
item250002006002	4	25,30	UI_AdventBookUnitkey01
item250002006003	4	20,25	UI_AdventBookUnitkey01
item250002006004	4	15,20	UI_AdventBookUnitkey01
item250002007001	4	9,10	UI_AdventBookUnitkey01
item250002007002	4	7,9	UI_AdventBookUnitkey01
item250002007003	4	5,7	UI_AdventBookUnitkey01
item250002007004	4	1,5	UI_AdventBookUnitkey01
item250002008001	4	9,10	UI_AdventBookUnitkey01
item250002008002	4	7,9	UI_AdventBookUnitkey01
item250002008003	4	5,7	UI_AdventBookUnitkey01
item250002008004	4	1,5	UI_AdventBookUnitkey01
item250002009001	4	35,40	UI_AdventBookUnitkey01
item250002009002	4	30,35	UI_AdventBookUnitkey01
item250002009003	4	20,30	UI_AdventBookUnitkey01
item250002009004	4	15,20	UI_AdventBookUnitkey01
item250002010001	4	30,35	UI_AdventBookUnitkey01
item250002010002	4	25,30	UI_AdventBookUnitkey01
item250002010003	4	20,25	UI_AdventBookUnitkey01
item250002010004	4	1,20	UI_AdventBookUnitkey01
item250003001001	4	60,70	UI_AdventBookUnitkey01
item250003001002	4	50,60	UI_AdventBookUnitkey01
item250003001003	4	45,50	UI_AdventBookUnitkey01
item250003001004	4	40,45	UI_AdventBookUnitkey01
item250003002001	4	180,200	UI_AdventBookUnitkey01
item250003002002	4	150,180	UI_AdventBookUnitkey01
item250003002003	4	120,150	UI_AdventBookUnitkey01
item250003002004	4	90,120	UI_AdventBookUnitkey01
item250003003001	4	85,100	UI_AdventBookUnitkey01
item250003003002	4	70,85	UI_AdventBookUnitkey01
item250003003003	4	60,70	UI_AdventBookUnitkey01
item250003003004	4	10,60	UI_AdventBookUnitkey01
item250003004001	4	35,40	UI_AdventBookUnitkey01
item250003004002	4	30,35	UI_AdventBookUnitkey01
item250003004003	4	25,30	UI_AdventBookUnitkey01
item250003004004	4	10,25	UI_AdventBookUnitkey01
item250003005001	4	60,70	UI_AdventBookUnitkey01
item250003005002	4	50,60	UI_AdventBookUnitkey01
item250003005003	4	40,50	UI_AdventBookUnitkey01
item250003005004	4	20,40	UI_AdventBookUnitkey01
item250003006001	4	70,80	UI_AdventBookUnitkey01
item250003006002	4	60,70	UI_AdventBookUnitkey01
item250003006003	4	50,60	UI_AdventBookUnitkey01
item250003006004	4	30,50	UI_AdventBookUnitkey01
item250003007001	4	65,80	UI_AdventBookUnitkey01
item250003007002	4	45,65	UI_AdventBookUnitkey01
item250003007003	4	30,45	UI_AdventBookUnitkey01
item250003007004	4	1,30	UI_AdventBookUnitkey01
item250003008001	4	180,200	UI_AdventBookUnitkey01
item250003008002	4	160,180	UI_AdventBookUnitkey01
item250003008003	4	100,160	UI_AdventBookUnitkey01
item250003008004	4	10,100	UI_AdventBookUnitkey01
item250003009001	4	35,40	UI_AdventBookUnitkey01
item250003009002	4	30,35	UI_AdventBookUnitkey01
item250003009003	4	25,30	UI_AdventBookUnitkey01
item250003009004	4	20,25	UI_AdventBookUnitkey01
item250003010001	4	45,50	UI_AdventBookUnitkey01
item250003010002	4	40,45	UI_AdventBookUnitkey01
item250003010003	4	30,40	UI_AdventBookUnitkey01
item250003010004	4	20,30	UI_AdventBookUnitkey01
item260001001001	4	86,100	UI_AdventBookUnitkey01
item260001001002	4	72,86	UI_AdventBookUnitkey01
item260001001003	4	57,72	UI_AdventBookUnitkey01
item260001001004	4	25,57	UI_AdventBookUnitkey01
item260002001001	4	77,87	UI_AdventBookUnitkey01
item260002001002	4	67,77	UI_AdventBookUnitkey01
item260002001003	4	56,67	UI_AdventBookUnitkey01
item260002001004	4	35,56	UI_AdventBookUnitkey01
item260003001001	4	79,90	UI_AdventBookUnitkey01
item260003001002	4	68,79	UI_AdventBookUnitkey01
item260003001003	4	56,68	UI_AdventBookUnitkey01
item260003001004	4	30,56	UI_AdventBookUnitkey01
item260004001001	4	100,115	UI_AdventBookUnitkey01
item260004001002	4	85,100	UI_AdventBookUnitkey01
item260004001003	4	69,85	UI_AdventBookUnitkey01
item260004001004	4	36,69	UI_AdventBookUnitkey01
item260005001001	4	61,70	UI_AdventBookUnitkey01
item260005001002	4	52,61	UI_AdventBookUnitkey01
item260005001003	4	42,52	UI_AdventBookUnitkey01
item260005001004	4	20,42	UI_AdventBookUnitkey01
item260005002001	4	61,70	UI_AdventBookUnitkey01
item260005002002	4	52,61	UI_AdventBookUnitkey01
item260005002003	4	42,52	UI_AdventBookUnitkey01
item260005002004	4	24,42	UI_AdventBookUnitkey01
item260005003001	4	71,80	UI_AdventBookUnitkey01
item260005003002	4	62,71	UI_AdventBookUnitkey01
item260005003003	4	53,62	UI_AdventBookUnitkey01
item260005003004	4	35,53	UI_AdventBookUnitkey01
item260005004001	4	68,78	UI_AdventBookUnitkey01
item260005004002	4	58,68	UI_AdventBookUnitkey01
item260005004003	4	47,58	UI_AdventBookUnitkey01
item260005004004	4	26,47	UI_AdventBookUnitkey01
item260005005001	4	6,8	UI_AdventBookUnitkey01
item260005005002	4	4,6	UI_AdventBookUnitkey01
item260005005003	4	2,4	UI_AdventBookUnitkey01
item260005005004	4	1,2	UI_AdventBookUnitkey01
item260005006001	4	6,8	UI_AdventBookUnitkey01
item260005006002	4	5,6	UI_AdventBookUnitkey01
item260005006003	4	4,5	UI_AdventBookUnitkey01
item260005006004	4	2,4	UI_AdventBookUnitkey01
item260100000001	4	12,12	UI_AdventBookUnitkey01
item260200000001	4	12,12	UI_AdventBookUnitkey01
item260300000001	4	12,12	UI_AdventBookUnitkey01
item260400000001	4	12,12	UI_AdventBookUnitkey01
item260500000001	4	12,12	UI_AdventBookUnitkey01
item260600000001	4	12,12	UI_AdventBookUnitkey01
item260700000001	4	12,12	UI_AdventBookUnitkey01
item260800000001	4	12,12	UI_AdventBookUnitkey01
item260900000001	4	12,12	UI_AdventBookUnitkey01
item261000000001	4	12,12	UI_AdventBookUnitkey01
item261100000001	4	12,12	UI_AdventBookUnitkey01
item261200000001	4	12,12	UI_AdventBookUnitkey01
item250004001001	4	25,57	UI_AdventBookUnitkey01
item250004001002	4	86,100	UI_AdventBookUnitkey01
item250004001003	4	72,86	UI_AdventBookUnitkey01
item250004001004	4	57,72	UI_AdventBookUnitkey01
item250004002001	4	35,56	UI_AdventBookUnitkey01
item250004002002	4	77,87	UI_AdventBookUnitkey01
item250004002003	4	67,77	UI_AdventBookUnitkey01
item250004002004	4	56,67	UI_AdventBookUnitkey01
item250004003001	4	30,56	UI_AdventBookUnitkey01
item250004003002	4	79,90	UI_AdventBookUnitkey01
item250004003003	4	68,79	UI_AdventBookUnitkey01
item250004003004	4	56,68	UI_AdventBookUnitkey01
item250004004001	4	36,69	UI_AdventBookUnitkey01
item250004004002	4	100,115	UI_AdventBookUnitkey01
item250004004003	4	85,100	UI_AdventBookUnitkey01
item250004004004	4	69,85	UI_AdventBookUnitkey01
item250004005001	4	20,42	UI_AdventBookUnitkey01
item250004005002	4	61,70	UI_AdventBookUnitkey01
item250004005003	4	52,61	UI_AdventBookUnitkey01
item250004005004	4	42,52	UI_AdventBookUnitkey01
item250004006001	4	24,42	UI_AdventBookUnitkey01
item250004006002	4	61,70	UI_AdventBookUnitkey01
item250004006003	4	52,61	UI_AdventBookUnitkey01
item250004006004	4	42,52	UI_AdventBookUnitkey01
item250004007001	4	35,53	UI_AdventBookUnitkey01
item250004007002	4	71,80	UI_AdventBookUnitkey01
item250004007003	4	62,71	UI_AdventBookUnitkey01
item250004007004	4	53,62	UI_AdventBookUnitkey01
item250004008001	4	26,47	UI_AdventBookUnitkey01
item250004008002	4	68,78	UI_AdventBookUnitkey01
item250004008003	4	58,68	UI_AdventBookUnitkey01
item250004008004	4	47,58	UI_AdventBookUnitkey01
item250004009001	4	1,2	UI_AdventBookUnitkey01
item250004009002	4	6,8	UI_AdventBookUnitkey01
item250004009003	4	4,6	UI_AdventBookUnitkey01
item250004009004	4	2,4	UI_AdventBookUnitkey01
item250004010001	4	2,4	UI_AdventBookUnitkey01
item250004010002	4	6,8	UI_AdventBookUnitkey01
item250004010003	4	5,6	UI_AdventBookUnitkey01
item250004010004	4	4,5	UI_AdventBookUnitkey01
item250008001001	4	25,57	UI_AdventBookUnitkey01
item250008001002	4	86,100	UI_AdventBookUnitkey01
item250008001003	4	72,86	UI_AdventBookUnitkey01
item250008001004	4	57,72	UI_AdventBookUnitkey01
item250008002001	4	35,56	UI_AdventBookUnitkey01
item250008002002	4	77,87	UI_AdventBookUnitkey01
item250008002003	4	67,77	UI_AdventBookUnitkey01
item250008002004	4	56,67	UI_AdventBookUnitkey01
item250008003001	4	30,56	UI_AdventBookUnitkey01
item250008003002	4	79,90	UI_AdventBookUnitkey01
item250008003003	4	68,79	UI_AdventBookUnitkey01
item250008003004	4	56,68	UI_AdventBookUnitkey01
item250008004001	4	36,69	UI_AdventBookUnitkey01
item250008004002	4	100,115	UI_AdventBookUnitkey01
item250008004003	4	85,100	UI_AdventBookUnitkey01
item250008004004	4	69,85	UI_AdventBookUnitkey01
item250008005001	4	20,42	UI_AdventBookUnitkey01
item250008005002	4	61,70	UI_AdventBookUnitkey01
item250008005003	4	52,61	UI_AdventBookUnitkey01
item250008005004	4	42,52	UI_AdventBookUnitkey01
item250008006001	4	24,42	UI_AdventBookUnitkey01
item250008006002	4	61,70	UI_AdventBookUnitkey01
item250008006003	4	52,61	UI_AdventBookUnitkey01
item250008006004	4	42,52	UI_AdventBookUnitkey01
item250008007001	4	35,53	UI_AdventBookUnitkey01
item250008007002	4	71,80	UI_AdventBookUnitkey01
item250008007003	4	62,71	UI_AdventBookUnitkey01
item250008007004	4	53,62	UI_AdventBookUnitkey01
item250008008001	4	26,47	UI_AdventBookUnitkey01
item250008008002	4	68,78	UI_AdventBookUnitkey01
item250008008003	4	58,68	UI_AdventBookUnitkey01
item250008008004	4	47,58	UI_AdventBookUnitkey01
item250008009001	4	1,2	UI_AdventBookUnitkey01
item250008009002	4	6,8	UI_AdventBookUnitkey01
item250008009003	4	4,6	UI_AdventBookUnitkey01
item250008009004	4	2,4	UI_AdventBookUnitkey01
item250008010001	4	2,4	UI_AdventBookUnitkey01
item250008010002	4	6,8	UI_AdventBookUnitkey01
item250008010003	4	5,6	UI_AdventBookUnitkey01
item250008010004	4	4,5	UI_AdventBookUnitkey01
item250008011001	4	12,12	UI_AdventBookUnitkey01
item250008012001	4	12,12	UI_AdventBookUnitkey01
item250008013001	4	12,12	UI_AdventBookUnitkey01
item250008014001	4	12,12	UI_AdventBookUnitkey01
item250008015001	4	12,12	UI_AdventBookUnitkey01
item250008016001	4	12,12	UI_AdventBookUnitkey01
item250008017001	4	12,12	UI_AdventBookUnitkey01
item250008018001	4	12,12	UI_AdventBookUnitkey01
item250008019001	4	12,12	UI_AdventBookUnitkey01
item250008020001	4	12,12	UI_AdventBookUnitkey01
item250008021001	4	12,12	UI_AdventBookUnitkey01
item250008022001	4	12,12	UI_AdventBookUnitkey01
item170000108001	1	20,120	UI_AdventBookUnitkey01
item170000108002	1	20,130	UI_AdventBookUnitkey01
item170000108003	1	20,280	UI_AdventBookUnitkey01
item170000108004	1	60,500	UI_AdventBookUnitkey01
item170000108005	1	20,120	UI_AdventBookUnitkey01
item170000108006	1	20,200	UI_AdventBookUnitkey01
item170000108007	1	20,300	UI_AdventBookUnitkey01
item170000108008	1	20,400	UI_AdventBookUnitkey01
item170000108009	1	10,100	UI_AdventBookUnitkey01
item170000108010	1	15,150	UI_AdventBookUnitkey01
item170000108011	1	20,200	UI_AdventBookUnitkey01
item170000108012	1	30,300	UI_AdventBookUnitkey01
item250009001001	4	25,57	UI_AdventBookUnitkey01
item250009001002	4	86,100	UI_AdventBookUnitkey01
item250009001003	4	72,86	UI_AdventBookUnitkey01
item250009001004	4	57,72	UI_AdventBookUnitkey01
item250009002001	4	30,56	UI_AdventBookUnitkey01
item250009002002	4	79,90	UI_AdventBookUnitkey01
item250009002003	4	68,79	UI_AdventBookUnitkey01
item250009002004	4	56,68	UI_AdventBookUnitkey01
item250009003001	4	35,56	UI_AdventBookUnitkey01
item250009003002	4	77,87	UI_AdventBookUnitkey01
item250009003003	4	67,77	UI_AdventBookUnitkey01
item250009003004	4	56,67	UI_AdventBookUnitkey01
item250009004001	4	36,69	UI_AdventBookUnitkey01
item250009004002	4	100,115	UI_AdventBookUnitkey01
item250009004003	4	85,100	UI_AdventBookUnitkey01
item250009004004	4	69,85	UI_AdventBookUnitkey01
item250009005001	4	20,42	UI_AdventBookUnitkey01
item250009005002	4	61,70	UI_AdventBookUnitkey01
item250009005003	4	52,61	UI_AdventBookUnitkey01
item250009005004	4	42,52	UI_AdventBookUnitkey01
item250009006001	4	24,42	UI_AdventBookUnitkey01
item250009006002	4	61,70	UI_AdventBookUnitkey01
item250009006003	4	52,61	UI_AdventBookUnitkey01
item250009006004	4	42,52	UI_AdventBookUnitkey01
item250009007001	4	35,53	UI_AdventBookUnitkey01
item250009007002	4	71,80	UI_AdventBookUnitkey01
item250009007003	4	62,71	UI_AdventBookUnitkey01
item250009007004	4	53,62	UI_AdventBookUnitkey01
item250009008001	4	26,47	UI_AdventBookUnitkey01
item250009008002	4	68,78	UI_AdventBookUnitkey01
item250009008003	4	58,68	UI_AdventBookUnitkey01
item250009008004	4	47,58	UI_AdventBookUnitkey01
item250009009001	4	1,2	UI_AdventBookUnitkey01
item250009009002	4	6,8	UI_AdventBookUnitkey01
item250009009003	4	4,6	UI_AdventBookUnitkey01
item250009009004	4	2,4	UI_AdventBookUnitkey01
item250009010001	4	2,4	UI_AdventBookUnitkey01
item250009010002	4	6,8	UI_AdventBookUnitkey01
item250009010003	4	5,6	UI_AdventBookUnitkey01
item250009010004	4	4,5	UI_AdventBookUnitkey01
item250009011001	4	12,12	UI_AdventBookUnitkey01
item250009012001	4	12,12	UI_AdventBookUnitkey01
item250009013001	4	12,12	UI_AdventBookUnitkey01
item250009014001	4	12,12	UI_AdventBookUnitkey01
item250009015001	4	12,12	UI_AdventBookUnitkey01
item250009016001	4	12,12	UI_AdventBookUnitkey01
item250009017001	4	12,12	UI_AdventBookUnitkey01
item250009018001	4	12,12	UI_AdventBookUnitkey01
item250009019001	4	12,12	UI_AdventBookUnitkey01
item250009020001	4	12,12	UI_AdventBookUnitkey01
item250009021001	4	12,12	UI_AdventBookUnitkey01
item250009022001	4	12,12	UI_AdventBookUnitkey01
