Buffid	buff组	词缀效果类型	词缀效果参数	buff图标	buff名称	buff描述
1030	3	2	dg_bf460_1_contract::buff_lv7_03	bigbuff_9007	buffname_9007_buff_lv7_03	buffdes_9007_buff_lv7_03
1031	3	2	dg_bf460_1_contract::buff_lv4_01	bigbuff_9021	buffname_9021_buff_lv4_01	buffdes_9021_buff_lv4_01
1032	3	2	dg_bf460_1_contract::buff_lv4_02	bigbuff_9021	buffname_9021_buff_lv4_02	buffdes_9021_buff_lv4_02
1033	3	2	dg_bf460_1_contract::buff_lv4_03	bigbuff_9021	buffname_9021_buff_lv4_03	buffdes_9021_buff_lv4_03
1034	3	2	dg_bf460_1_contract::buff_lv8_01	bigbuff_9037	buffname_9037_buff_lv8_01	buffdes_9037_buff_lv8_01
1035	3	2	dg_bf460_1_contract::buff_lv8_02	bigbuff_9037	buffname_9037_buff_lv8_02	buffdes_9037_buff_lv8_02
1036	3	2	dg_bf460_1_contract::buff_lv8_03	bigbuff_9037	buffname_9037_buff_lv8_03	buffdes_9037_buff_lv8_03
1037	3	2	dg_bf460_2_contract::buff_lv1_01	bigbuff_9047	buffname_9046_buff_lv3_01	buffdes_9046_buff_lv3_01
1038	3	2	dg_bf460_2_contract::buff_lv4_01	bigbuff_9047	buffname_9047_buff_lv4_01	buffdes_9047_buff_lv4_01
1039	3	2	dg_bf460_2_contract::buff_lv8_01	bigbuff_9092	buffname_9092_buff_lv8_01	buffdes_9092_buff_lv8_01
1040	3	2	dg_bf460_2_contract::buff_lv9_01	bigbuff_9092	buffname_9092_buff_lv9_01	buffdes_9092_buff_lv9_01
1041	3	2	dg_bf460_2_contract::buff_lv10_01	bigbuff_9092	buffname_9092_buff_lv10_01	buffdes_9092_buff_lv10_01
1042	3	2	dg_bf460_2_contract::buff_lv11_01	bigbuff_9092	buffname_9092_buff_lv11_01	buffdes_9092_buff_lv11_01
1043	3	2	dg_bf460_2_contract::buff_lv12_01	bigbuff_9092	buffname_9092_buff_lv12_01	buffdes_9092_buff_lv12_01
1044	3	2	dg_bf460_2_contract::buff_lv13_01	bigbuff_9092	buffname_9092_buff_lv13_01	buffdes_9092_buff_lv13_01
1045	3	2	dg_bf460_2_contract::buff_lv14_01	bigbuff_9049	buffname_9049_buff_lv14_01	buffdes_9049_buff_lv14_01
1046	3	2	dg_bf460_2_contract::buff_lv15_01	bigbuff_9060	buffname_9060_buff_lv15_01	buffdes_9060_buff_lv15_01
1047	3	2	dg_bf460_2_contract::buff_lv16_01	bigbuff_9064	buffname_9064_buff_lv16_01	buffdes_9064_buff_lv16_01
1048	3	2	dg_bf460_2_contract::buff_lv17_01	bigbuff_9050	buffname_9050_buff_lv17_01	buffdes_9050_buff_lv17_01
1049	3	2	dg_bf460_2_contract::buff_lv18_01	bigbuff_9008	buffname_9008_buff_lv18_01	buffdes_9008_buff_lv18_01
1050	3	2	dg_bf460_2_contract::buff_lv19_01	bigbuff_9021	buffname_9021_buff_lv19_01	buffdes_9021_buff_lv19_01
1051	3	2	dg_bf460_2_contract::buff_lv20_01	bigbuff_9062	buffname_9062_buff_lv20_01	buffdes_9062_buff_lv20_01
1052	4	2	dg_bf460_2_contract::buff_lv1_01	bigbuff_9047	buffname_9046_buff_lv3_01	buffdes_9046_buff_lv3_01
1053	4	2	dg_bf460_2_contract::buff_lv4_01	bigbuff_9047	buffname_9047_buff_lv4_01	buffdes_9047_buff_lv4_01
1054	4	2	dg_bf460_2_contract::buff_lv8_01	bigbuff_9092	buffname_9092_buff_lv8_01	buffdes_9092_buff_lv8_01
1055	4	2	dg_bf460_2_contract::buff_lv9_01	bigbuff_9092	buffname_9092_buff_lv9_01	buffdes_9092_buff_lv9_01
1056	4	2	dg_bf460_2_contract::buff_lv10_01	bigbuff_9092	buffname_9092_buff_lv10_01	buffdes_9092_buff_lv10_01
1057	4	2	dg_bf460_2_contract::buff_lv11_01	bigbuff_9092	buffname_9092_buff_lv11_01	buffdes_9092_buff_lv11_01
1058	4	2	dg_bf460_2_contract::buff_lv12_01	bigbuff_9092	buffname_9092_buff_lv12_01	buffdes_9092_buff_lv12_01
1059	4	2	dg_bf460_2_contract::buff_lv13_01	bigbuff_9092	buffname_9092_buff_lv13_01	buffdes_9092_buff_lv13_01
1060	4	2	dg_bf460_2_contract::buff_lv14_01	bigbuff_9049	buffname_9049_buff_lv14_01	buffdes_9049_buff_lv14_01
1061	4	2	dg_bf460_2_contract::buff_lv15_01	bigbuff_9060	buffname_9060_buff_lv15_01	buffdes_9060_buff_lv15_01
1062	4	2	dg_bf460_2_contract::buff_lv16_01	bigbuff_9064	buffname_9064_buff_lv16_01	buffdes_9064_buff_lv16_01
1063	4	2	dg_bf460_2_contract::buff_lv17_01	bigbuff_9050	buffname_9050_buff_lv17_01	buffdes_9050_buff_lv17_01
1064	4	2	dg_bf460_2_contract::buff_lv18_01	bigbuff_9008	buffname_9008_buff_lv18_01	buffdes_9008_buff_lv18_01
1065	4	2	dg_bf460_2_contract::buff_lv19_01	bigbuff_9021	buffname_9021_buff_lv19_01	buffdes_9021_buff_lv19_01
1066	4	2	dg_bf460_2_contract::buff_lv20_01	bigbuff_9062	buffname_9062_buff_lv20_01	buffdes_9062_buff_lv20_01
