流水id	使者id	回想等级	属性加成	额外效果	装备槽位	负重	宝石槽位
46	envoy_5002	100	301,7500;331,500;4,50;312,500		0	0	0
47	envoy_5002	120	301,7500;331,500;4,50		0	0	0
48	envoy_5002	140	301,7500;331,500;4,50;313,500		0	0	0
49	envoy_5002	160	301,7500;331,500;4,50		0	0	0
50	envoy_5003	10	301,7500;331,500;4,50		3	15	0
51	envoy_5003	20	301,7500;331,500;4,50;313,500		4	15	0
52	envoy_5003	30	301,7500;331,500;4,50		5	15	0
53	envoy_5003	40	301,7500;331,500;4,50;313,500		6	15	0
54	envoy_5003	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
55	envoy_5003	60	301,7500;331,500;4,50;312,500		8	15	0
56	envoy_5003	80	301,7500;331,500;4,50		0	0	0
57	envoy_5003	100	301,7500;331,500;4,50;312,500		0	0	0
58	envoy_5003	120	301,7500;331,500;4,50		0	0	0
59	envoy_5003	140	301,7500;331,500;4,50;313,500		0	0	0
60	envoy_5003	160	301,7500;331,500;4,50		0	0	0
61	envoy_5004	10	301,7500;331,500;4,50		3	15	0
62	envoy_5004	20	301,7500;331,500;4,50;313,500		4	15	0
63	envoy_5004	30	301,7500;331,500;4,50		5	15	0
64	envoy_5004	40	301,7500;331,500;4,50;313,500		6	15	0
65	envoy_5004	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
66	envoy_5004	60	301,7500;331,500;4,50;312,500		8	15	0
67	envoy_5004	80	301,7500;331,500;4,50		0	0	0
68	envoy_5004	100	301,7500;331,500;4,50;312,500		0	0	0
69	envoy_5004	120	301,7500;331,500;4,50		0	0	0
70	envoy_5004	140	301,7500;331,500;4,50;313,500		0	0	0
71	envoy_5004	160	301,7500;331,500;4,50		0	0	0
72	envoy_5005	10	301,7500;331,500;4,50		3	15	0
73	envoy_5005	20	301,7500;331,500;4,50;313,500		4	15	0
74	envoy_5005	30	301,7500;331,500;4,50		5	15	0
75	envoy_5005	40	301,7500;331,500;4,50;313,500		6	15	0
76	envoy_5005	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
77	envoy_5005	60	301,7500;331,500;4,50;312,500		8	15	0
78	envoy_5005	80	301,7500;331,500;4,50		0	0	0
79	envoy_5005	100	301,7500;331,500;4,50;312,500		0	0	0
80	envoy_5005	120	301,7500;331,500;4,50		0	0	0
81	envoy_5005	140	301,7500;331,500;4,50;313,500		0	0	0
82	envoy_5005	160	301,7500;331,500;4,50		0	0	0
83	envoy_5006	10	301,7500;331,500;4,50		3	15	0
84	envoy_5006	20	301,7500;331,500;4,50;313,500		4	15	0
85	envoy_5006	30	301,7500;331,500;4,50		5	15	0
86	envoy_5006	40	301,7500;331,500;4,50;313,500		6	15	0
87	envoy_5006	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
88	envoy_5006	60	301,7500;331,500;4,50;312,500		8	15	0
89	envoy_5006	80	301,7500;331,500;4,50		0	0	0
90	envoy_5006	100	301,7500;331,500;4,50;312,500		0	0	0
91	envoy_5006	120	301,7500;331,500;4,50		0	0	0
92	envoy_5006	140	301,7500;331,500;4,50;313,500		0	0	0
93	envoy_5006	160	301,7500;331,500;4,50		0	0	0
94	envoy_5007	10	301,7500;331,500;4,50		3	15	0
95	envoy_5007	20	301,7500;331,500;4,50;313,500		4	15	0
96	envoy_5007	30	301,7500;331,500;4,50		5	15	0
97	envoy_5007	40	301,7500;331,500;4,50;313,500		6	15	0
98	envoy_5007	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
99	envoy_5007	60	301,7500;331,500;4,50;312,500		8	15	0
100	envoy_5007	80	301,7500;331,500;4,50		0	0	0
101	envoy_5007	100	301,7500;331,500;4,50;312,500		0	0	0
102	envoy_5007	120	301,7500;331,500;4,50		0	0	0
103	envoy_5007	140	301,7500;331,500;4,50;313,500		0	0	0
104	envoy_5007	160	301,7500;331,500;4,50		0	0	0
105	envoy_5008	10	301,7500;331,500;4,50		3	15	0
106	envoy_5008	20	301,7500;331,500;4,50;313,500		4	15	0
107	envoy_5008	30	301,7500;331,500;4,50		5	15	0
108	envoy_5008	40	301,7500;331,500;4,50;313,500		6	15	0
109	envoy_5008	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
110	envoy_5008	60	301,7500;331,500;4,50;312,500		8	15	0
111	envoy_5008	80	301,7500;331,500;4,50		0	0	0
112	envoy_5008	100	301,7500;331,500;4,50;312,500		0	0	0
113	envoy_5008	120	301,7500;331,500;4,50		0	0	0
114	envoy_5008	140	301,7500;331,500;4,50;313,500		0	0	0
115	envoy_5008	160	301,7500;331,500;4,50		0	0	0
