流水	进度	章节	怪物id	怪物出生位置	活动参与奖励	BOSS击杀公会奖励	BOSS击杀个人奖励	BOSS击杀宝箱	可被分配宝箱的最大数量	UI界面模型倍数	UI界面模型位置	UI界面模型角度
28	28	10	monster16000028	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
29	29	10	monster16000029	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0;0	0.000000
30	30	10	monster16000030	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
31	31	11	monster16000031	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.700000	0;0.1;0	0.000000
32	32	11	monster16000032	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
33	33	11	monster16000033	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
34	34	12	monster16000034	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.900000	0;0.1;0	0.000000
35	35	12	monster16000035	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	1.200000	0;0.1;0	0.000000
36	36	12	monster16000036	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	1.500000	0;0.1;0	0.000000
37	37	13	monster16000037	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	1.550000	0;0.1;0	0.000000
38	38	13	monster16000038	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	1.000000	0;-0.1;0	0.000000
39	39	13	monster16000039	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.550000	0;0;0	0.000000
40	40	14	monster16000040	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
41	41	14	monster16000041	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	1.050000	0;0.1;0	0.000000
42	42	14	monster16000042	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
43	43	15	monster16000043	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
44	44	15	monster16000044	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.700000	0;0.1;0	0.000000
45	45	15	monster16000045	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.500000	0;-0.2;-0.3	0.000000
46	46	16	monster16000046	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
47	47	16	monster16000047	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0;0	0.000000
48	48	16	monster16000048	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	0.600000	0;0.1;0	0.000000
49	49	17	monster16000049	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000074	3	1.500000	0;0.1;0	0.000000
50	50	17	monster16000050	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.550000	0;0;0	0.000000
51	51	17	monster16000051	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
52	52	18	monster16000052	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
53	53	18	monster16000053	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
54	54	18	monster16000054	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
55	55	19	monster16000055	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	2.000000	0;0.1;0	0.000000
56	56	19	monster16000056	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.600000	0;0;0	0.000000
57	57	19	monster16000057	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.500000	0;0;0	0.000000
58	58	20	monster16000058	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.850000	0;0.5;0	0.000000
59	59	20	monster16000059	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	3.000000	0;0.3;0	0.000000
60	60	20	monster16000060	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	2.000000	0;-0.3;0	0.000000
61	61	21	monster16000061	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.500000	0;0.1;0	0.000000
62	62	21	monster16000062	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
63	63	21	monster16000063	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.500000	0;-0.2;-0.3	0.000000
64	64	22	monster16000064	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
65	65	22	monster16000065	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
66	66	22	monster16000066	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
67	67	23	monster16000067	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.550000	0;0;0	0.000000
68	68	23	monster16000068	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.850000	0;0.5;0	0.000000
69	69	23	monster16000069	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	2.000000	0;0.1;0	0.000000
70	70	24	monster16000070	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.600000	0;0;0	0.000000
71	71	24	monster16000071	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.500000	0;0;0	0.000000
72	72	24	monster16000072	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.850000	0;0.5;0	0.000000
73	73	25	monster16000073	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	3.000000	0;0.3;0	0.000000
74	74	25	monster16000074	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	2.000000	0;-0.3;0	0.000000
75	75	25	monster16000075	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.500000	0;-0.2;-0.3	0.000000
76	76	26	monster16000076	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
77	77	26	monster16000077	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
78	78	26	monster16000078	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
79	79	27	monster16000079	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.550000	0;0;0	0.000000
80	80	27	monster16000080	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	0.600000	0;0;0	0.000000
81	81	27	monster16000081	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200043001,2;item100000000012,3	item90000000195	3	3.000000	0;0.3;0	0.000000
82	82	28	monster16000082	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	0.500000	0;0;0	0.000000
83	83	28	monster16000083	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	2.000000	0;-0.3;0	0.000000
84	84	28	monster16000084	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	0.500000	0;-0.2;-0.3	0.000000
85	85	29	monster16000085	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
86	86	29	monster16000086	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
87	87	29	monster16000087	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	1.600000	0;0.2;0	0.000000
88	88	30	monster16000088	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	0.550000	0;0;0	0.000000
89	89	30	monster16000089	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	0.600000	0;0;0	0.000000
90	90	30	monster16000090	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,20;item1001,3000;item1003,400;item107200051001,2;item100000000012,3	item90000000195	3	3.000000	0;0.3;0	0.000000
91	91	31	monster16000091	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	2.000000	0;-0.3;0	0.000000
92	92	31	monster16000092	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	2.000000	0;-0.3;0	0.000000
93	93	31	monster16000093	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0;0	0.000000
94	94	32	monster16000094	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	3.000000	0;0.3;0	0.000000
95	95	32	monster16000095	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.600000	0;-0.2;0	0.000000
96	96	32	monster16000096	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.500000	0;0.2;0	0.000000
97	97	33	monster16000097	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
98	98	33	monster16000098	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0;0	0.000000
99	99	33	monster16000099	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
100	100	34	monster16000100	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
101	101	34	monster16000101	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.000000	0;-0.1;0	0.000000
102	102	34	monster16000102	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.550000	0;0;0	0.000000
103	103	35	monster16000103	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
104	104	35	monster16000104	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.500000	0;-0.2;-0.3	0.000000
105	105	35	monster16000105	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
106	106	36	monster16000106	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.200000	0;0.1;0	0.000000
107	107	36	monster16000107	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.700000	0;0.1;0	0.000000
108	108	36	monster16000108	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.050000	0;0.1;0	0.000000
109	109	37	monster16000109	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.550000	0;0.1;0	0.000000
110	110	37	monster16000110	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.900000	0;0.1;0	0.000000
111	111	37	monster16000111	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.500000	0;0.1;0	0.000000
112	112	38	monster16000112	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.000000	0;-0.1;0	0.000000
113	113	38	monster16000113	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.550000	0;0;0	0.000000
114	114	38	monster16000114	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
115	115	39	monster16000115	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
116	116	39	monster16000116	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0;0	0.000000
117	117	39	monster16000117	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	0.600000	0;0.1;0	0.000000
118	118	40	monster16000118	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.400000	0;0.1;0	0.000000
119	119	40	monster16000119	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.150000	0;0;0	0.000000
120	120	40	monster16000120	-6.3,-0.3,-16.3,0	item100000000006,2;item1003,300	item3001,17220000	item100000000006,30;item1001,4000;item1003,500;item107200052001,2;item100000000012,3	item90000000195	3	1.500000	0;0.1;0	0.000000
