流水号	主任务ID	子任务序号	子任务类型	行为类型	替换bgm	目标对象	目标线索	行为目标	战力限制	目的地提示	是否显示Content	是否显示战斗标志	目标场景	行为场景	目标坐标	是否启用停止范围	寻路停止范围	触发类型	长、宽、旋转	触发范围	需求数量	提交NPC	提交场景	提交npc坐标	自动提交任务	自动继续	完成提示显示	完成特效提示	判断进度条显示	是否显示流光特效	任务栏显示奖励掉落包	奖励显示	任务道具奖励	世界任务灰色数值奖励	世界任务灰色道具奖励	世界任务超出数量奖励	是否可放弃	显示图片	失败条件类型	失败条件参数	进行中标题	进行中内容	进行中故事	提交时标题	提交时内容	提示时故事	触发引导ID	任务邮件	隔天任务邮件	是否为界面内的	是否记录任务进度
9	121090	0	3	1	0	item106030101002		npc_collect_001	0		1		1	1	14.1, -5.1, -52.1	0	0	0		6.000000	2		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121090	ExecuteTaskContent121090	ExecuteTaskStory121090								0
10	121100	0	7	3	0	item106030101037		npc_10012	0				1	1	-45.6, -0.6, 41.8	0	0	0		10.000000	1		1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121100	ExecuteTaskContent121100	ExecuteTaskStory121100								0
11	121110	0	14	2	0	monster12000001		monster12000001	0				1	1	15.2,-0.4,34.6	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName121110	ExecuteTaskContent121110	ExecuteTaskStory121110								0
12	121120	0	13	5	0	1900		LinkUI:ArenaPanel	0				1	1	-35.3,-5.0,-34.3	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName121120	ExecuteTaskContent121120	ExecuteTaskStory121120								0
13	121130	0	60	1	0	cannon_npc_001,-1		cannon_npc_001	0				1	1	-30.1, -3.2, -28.4	0	0	0		6.000000	1		1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121130	ExecuteTaskContent121130	ExecuteTaskStory121130								0
14	121140	0	25	7	0	121140,0		animal10001,24,icon_wanshua,InteractivePlay	0				1	1	-39.5,-4.3,-54.4	0	0	0		6.000000	1		1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121140	ExecuteTaskContent121140	ExecuteTaskStory121140								0
15	121150	0	25	7	0	121150,0		animal10002,24,icon_wanshua,InteractivePlay	0				1	1	23.3,-5.1,-45.2	0	0	0		6.000000	1		1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121150	ExecuteTaskContent121150	ExecuteTaskStory121150								0
16	121160	0	25	6	0	121160,0		2.5,2.1,7.5,26,icon_shenlian,InteractiveFace	0				1	1	5.5,-2.4,12.0	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName121160	ExecuteTaskContent121160	ExecuteTaskStory121160								0
17	121170	0	25	6	0	121170,0		-66.4,-4.3,-62.8,25,icon_clean,InteractiveClean1	0				1	1	-66.4,-4.3,-62.8	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName121170	ExecuteTaskContent121170	ExecuteTaskStory121170								0
18	121180	0	2	2	0	monster10002009		monster10002009	0		1	1	1	1	27.3, -5.2, -56.9	0	0	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName121180	ExecuteTaskContent121180	ExecuteTaskStory121180								0
19	121190	0	54	4	0	10010101		10010101	0		1		1	1	-21.6,-1.4,34.8	1	1	0		8.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,50000	0				ExecuteTaskName121190	ExecuteTaskContent121190	ExecuteTaskStory121190								0
20	121200	0	54	4	0	10010102		10010102	0		1		1	1	4.9,-0.5,44.5	1	1	0		8.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,50000	0				ExecuteTaskName121200	ExecuteTaskContent121200	ExecuteTaskStory121200								0
21	121210	0	54	4	0	10010103		10010103	0		1		1	1	3.5,-5.3,-68.7	1	1	0		8.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,50000	0				ExecuteTaskName121210	ExecuteTaskContent121210	ExecuteTaskStory121210								0
22	121220	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		1	1	-57.2,-4.3,-42.3	1	1	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121220	ExecuteTaskContent121220	ExecuteTaskStory121220								0
23	123010	0	1	1	0	npc_10025		npc_10025	0				3	3	-33.2,0.2,-35.8	0	0	0		6.000000	1	npc_10025	3	-33.2,0.2,-35.8	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName123010	ExecuteTaskContent123010	ExecuteTaskStory123010	SubmitTaskName123010	SubmitTaskContent123010	SubmitTaskStory123010					0
24	123020	0	1	1	0	npc_10023		npc_10023	0				3	3	-20.8,0.8,30.9	0	0	0		6.000000	1	npc_10023	3	-20.8,0.8,30.9	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName123020	ExecuteTaskContent123020	ExecuteTaskStory123020	SubmitTaskName123020	SubmitTaskContent123020	SubmitTaskStory123020					0
25	123030	0	2	2	0	monster10003001		monster10003001	0		1	1	3	3	-29.6,0.2,6.8	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName123030	ExecuteTaskContent123030	ExecuteTaskStory123030								0
26	123040	0	2	2	0	monster10003007		monster10003007	0		1	1	3	3	52.5,0.1,-5.5	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName123040	ExecuteTaskContent123040	ExecuteTaskStory123040								0
27	123050	0	2	2	0	monster10003012		monster10003012	0		1	1	3	3	19.3,0.3,33.3	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName123050	ExecuteTaskContent123050	ExecuteTaskStory123050								0
28	123060	0	3	2	0	item106030101027		monster10003010	0		1	1	3	3	-4.4,0.2,39.6	1	1	0		13.000000	5		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName123060	ExecuteTaskContent123060	ExecuteTaskStory123060								0
29	123070	0	3	2	0	item106030110003		monster10003004	0		1	1	3	3	13.1,0.2,-3.8	1	1	0		13.000000	10		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName123070	ExecuteTaskContent123070	ExecuteTaskStory123070								0
30	123080	0	50	1	0	2		door_30021	0				1027	3	5.9,2.8,59.6	0	0	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName123080	ExecuteTaskContent123080	ExecuteTaskStory123080								0
31	123090	0	3	1	0	item106030101028		npc_collect_003	0		1		3	3	7.3, 2.8, -38.9	0	0	0		6.000000	2		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName123090	ExecuteTaskContent123090	ExecuteTaskStory123090								0
32	123100	0	7	3	0	item106030101029		npc_10029	0				3	3	21.8,0.2,53.0	0	0	0		10.000000	1		3		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName123100	ExecuteTaskContent123100	ExecuteTaskStory123100								0
33	123110	0	14	2	0	monster12000001		monster12000001	0				3	3	46.6,0.1,7.1	0	0	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName123110	ExecuteTaskContent123110	ExecuteTaskStory123110								0
34	123130	0	60	1	0	cannon_npc_003,-1		cannon_npc_003	0				3	3	25.2,2.9,-34.8	0	0	0		6.000000	1		3		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName123130	ExecuteTaskContent123130	ExecuteTaskStory123130								0
35	123140	0	25	6	0	123140,0		0.5,0.4,9.6,27,icon_toubi,InteractiveIcon	0				3	3	0.5,0.4,9.6	1	1	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName123140	ExecuteTaskContent123140	ExecuteTaskStory123140								0
36	123150	0	25	6	0	123150,0		-26.5,0.2,21.7,28,icon_qinting,InteractiveListen	0				3	3	-26.5,0.2,21.7	1	1	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName123150	ExecuteTaskContent123150	ExecuteTaskStory123150								0
37	123160	0	2	2	0	monster10003011		monster10003011	0		1	1	3	3	-4.8,0.4,7.9	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName123160	ExecuteTaskContent123160	ExecuteTaskStory123160								0
38	123170	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		3	3	-18.3,0.5,30.7	1	1	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName123170	ExecuteTaskContent123170	ExecuteTaskStory123170								0
39	124010	0	1	1	0	npc_10058		npc_10058	0				4	4	-4.3,7.0,46.5	0	0	0		6.000000	1	npc_10058	4	-5.2,7.0,52.0	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124010	ExecuteTaskContent124010	ExecuteTaskStory124010	SubmitTaskName124010	SubmitTaskContent124010	SubmitTaskStory124010					0
40	124020	0	1	1	0	npc_10063		npc_10063	0				4	4	22.7,4.8,-54.6	0	0	0		6.000000	1	npc_10063	4	22.7,4.8,-54.6	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124020	ExecuteTaskContent124020	ExecuteTaskStory124020	SubmitTaskName124020	SubmitTaskContent124020	SubmitTaskStory124020					0
41	124030	0	1	1	0	npc_10073		npc_10073	0				4	4	-79.5,12.2,-30.2	0	0	0		6.000000	1	npc_10073	4	-79.5,12.2,-30.2	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124030	ExecuteTaskContent124030	ExecuteTaskStory124030	SubmitTaskName124030	SubmitTaskContent124030	SubmitTaskStory124030					0
42	124040	0	2	2	0	monster10004002		monster10004002	0		1	1	4	4	51.7,5.5,7.4	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124040	ExecuteTaskContent124040	ExecuteTaskStory124040								0
43	124050	0	2	2	0	monster10004005		monster10004005	0		1	1	4	4	11.6,4.8,-62.1	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124050	ExecuteTaskContent124050	ExecuteTaskStory124050								0
44	124060	0	2	2	0	monster10004004		monster10004004	0		1	1	4	4	30.1,4.8,-52.8	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName124060	ExecuteTaskContent124060	ExecuteTaskStory124060								0
45	124070	0	2	2	0	monster10004006		monster10004006	0		1	1	4	4	-37.3,10.6,-83.3	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName124070	ExecuteTaskContent124070	ExecuteTaskStory124070								0
46	124080	0	2	2	0	monster10004009		monster10004009	0		1	1	4	4	-53.8,3.3,-29.1	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName124080	ExecuteTaskContent124080	ExecuteTaskStory124080								0
47	124090	0	2	2	0	monster10004007		monster10004007	0		1	1	4	4	-51.1,10.7,-90.8	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName124090	ExecuteTaskContent124090	ExecuteTaskStory124090								0
48	124100	0	3	2	0	item106030101064		monster10004011	0		1	1	4	4	8.5,6.9,33.2	1	1	0		13.000000	5		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124100	ExecuteTaskContent124100	ExecuteTaskStory124100								0
49	124110	0	3	2	0	item106030101065		monster10004008	0		1	1	4	4	-24.8,3.7,-46.6	1	1	0		13.000000	10		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName124110	ExecuteTaskContent124110	ExecuteTaskStory124110								0
50	124120	0	50	1	0	1		door_30011	0				1025	4	-60.5,2.8,16.8	0	0	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName124120	ExecuteTaskContent124120	ExecuteTaskStory124120								0
51	124130	0	3	1	0	item106030101130		npc_collect_013	0		1		4	4	-27.1,2.7,-25.6	0	0	0		6.000000	2		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124130	ExecuteTaskContent124130	ExecuteTaskStory124130								0
52	124140	0	7	3	0	item106030101067		npc_10055	0				4	4	15.6,10.9,77.2	0	0	0		10.000000	1		4		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124140	ExecuteTaskContent124140	ExecuteTaskStory124140								0
53	124150	0	7	4	0	item106030101068		-59.4,2.4,-2.1	0				4	4	-59.4,2.4,-2.1	0	0	0		10.000000	1		4		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124150	ExecuteTaskContent124150	ExecuteTaskStory124150								0
54	124160	0	14	2	0	monster12000001		monster12000001	0				4	4	19.2,4.8,-39.9	0	0	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName124160	ExecuteTaskContent124160	ExecuteTaskStory124160								0
55	124170	0	13	5	0	1900		LinkUI:ArenaPanel	0				4	4	38.5,5.5,-29.1	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName124170	ExecuteTaskContent124170	ExecuteTaskStory124170								0
56	124180	0	60	1	0	cannon_npc_004,-1		cannon_npc_004	0				4	4	17.6,11.0,86.0	0	0	0		6.000000	1		4		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124180	ExecuteTaskContent124180	ExecuteTaskStory124180								0
57	124190	0	25	6	0	124190,0		52.2,5.5,12.9,10,icon_xiuli,InteractiveRepair	0				4	4	52.2,5.5,12.9	1	1	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124190	ExecuteTaskContent124190	ExecuteTaskStory124190								0
58	124200	0	25	6	0	124200,0		-12.4,6.13,-4.3,29,icon_yuantiao,InteractiveLook	0				4	4	-12.4,6.13,-4.3	1	1	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName124200	ExecuteTaskContent124200	ExecuteTaskStory124200								0
59	124210	0	25	6	0	124210,0		-57.9,2.4,-14.7,30,icon_jianqi,InteractivePick	0				4	4	-57.9,2.4,-14.7	1	1	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName124210	ExecuteTaskContent124210	ExecuteTaskStory124210								0
60	124220	0	52	5	0	npc_worldtask		LinkCmd:OnChatMiniPageRefresh;0;0	0		1		4	4	2.8,4.8,-30.7	1	3	0		12.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,20000	0				ExecuteTaskName124220	ExecuteTaskContent124220	ExecuteTaskStory124220	SubmitTaskName124220	SubmitTaskContent124220	SubmitTaskStory124220					0
61	124230	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		4	4	33.2,6.8,33.9	1	1	0		6.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName124230	ExecuteTaskContent124230	ExecuteTaskStory124230								0
62	125010	0	1	1	0	npc_10089		npc_10089	0				5	5	-69.8,6.6,30.8	0	0	0		6.000000	1	npc_10089	5	-69.8,6.6,30.8	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125010	ExecuteTaskContent125010	ExecuteTaskStory125010	SubmitTaskName125010	SubmitTaskContent125010	SubmitTaskStory125010					0
63	125020	0	1	1	0	npc_10094		npc_10094	0				5	5	63.0,7.1,23.0	0	0	0		6.000000	1	npc_10094	5	63.0,7.1,23.0	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125020	ExecuteTaskContent125020	ExecuteTaskStory125020	SubmitTaskName125020	SubmitTaskContent125020	SubmitTaskStory125020					0
64	125030	0	1	1	0	npc_10095		npc_10095	0				5	5	-55.8,4.5,-23.5	0	0	0		6.000000	1	npc_10095	5	-55.8,4.5,-23.5	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125030	ExecuteTaskContent125030	ExecuteTaskStory125030	SubmitTaskName125030	SubmitTaskContent125030	SubmitTaskStory125030					0
65	125040	0	2	2	0	monster10005001		monster10005001	0		1	1	5	5	-51.9,3.3,-30.8	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125040	ExecuteTaskContent125040	ExecuteTaskStory125040								0
66	125050	0	2	2	0	monster10005002		monster10005002	0		1	1	5	5	-5.1,4.0,17.0	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125050	ExecuteTaskContent125050	ExecuteTaskStory125050								0
67	125060	0	2	2	0	monster10005003		monster10005003	0		1	1	5	5	7.2,4.4,-3.0	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName125060	ExecuteTaskContent125060	ExecuteTaskStory125060								0
68	125070	0	2	2	0	monster10005005		monster10005005	0		1	1	5	5	-21.9,4.4,42.7	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName125070	ExecuteTaskContent125070	ExecuteTaskStory125070								0
69	125080	0	2	2	0	monster10005006		monster10005006	0		1	1	5	5	-33.2,4.5,37.7	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName125080	ExecuteTaskContent125080	ExecuteTaskStory125080								0
70	125090	0	2	2	0	monster10005007		monster10005007	0		1	1	5	5	10.5,3.1,-54.8	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName125090	ExecuteTaskContent125090	ExecuteTaskStory125090								0
71	125100	0	3	2	0	item106030101106		monster10005009	0		1	1	5	5	43.5,5.6,16.6	1	1	0		13.000000	5		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125100	ExecuteTaskContent125100	ExecuteTaskStory125100								0
72	125110	0	3	2	0	item106030101107		monster10005004	0		1	1	5	5	2.3,4.4,-24.2	1	1	0		13.000000	10		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName125110	ExecuteTaskContent125110	ExecuteTaskStory125110								0
73	125120	0	50	1	0	4		door_30041	0				1031	5	28.4,8.0,60.9	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName125120	ExecuteTaskContent125120	ExecuteTaskStory125120								0
74	125130	0	3	1	0	item106030101132		npc_collect_023	0		1		5	5	-40.1,4.4,25.9	0	0	0		6.000000	2		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125130	ExecuteTaskContent125130	ExecuteTaskStory125130								0
