时装id	兑换数量
fashion_102290	300
fashion_102155	150
fashion_102356	100
fashion_102256	300
fashion_102188	150
fashion_102388	100
fashion_102288	300
fashion_102154	150
fashion_102354	100
fashion_102254	300
fashion_102187	150
fashion_102387	100
fashion_102287	300
fashion_102359	100
fashion_102159	150
fashion_102259	300
fashion_102186	150
fashion_102386	100
fashion_102286	300
fashion_102385	100
fashion_102285	300
fashion_102183	150
fashion_102383	100
fashion_102283	300
fashion_102182	150
fashion_102382	100
fashion_102282	300
fashion_102381	100
fashion_102281	300
fashion_102380	100
fashion_102280	300
fashion_102379	100
fashion_102279	300
fashion_102378	100
fashion_102278	300
fashion_102370	100
fashion_102270	300
fashion_102369	100
fashion_102269	300
fashion_102168	150
fashion_102368	100
fashion_102268	300
fashion_102367	100
fashion_102267	300
fashion_102366	100
fashion_102266	300
fashion_102365	100
fashion_102265	300
fashion_102364	100
fashion_102264	300
fashion_102363	100
fashion_102263	300
fashion_102362	100
fashion_102262	300
fashion_102361	100
fashion_102261	300
fashion_102160	150
fashion_102360	100
fashion_102260	300
fashion_102384	100
fashion_102184	150
fashion_102284	300
fashion_102151	150
fashion_102351	100
fashion_102251	300
fashion_102358	150
fashion_102158	100
fashion_102258	300
fashion_102353	150
fashion_102153	100
fashion_102253	300
fashion_1033107	100
fashion_1032107	300
fashion_1031105	150
fashion_1033105	100
fashion_1032105	300
fashion_1031104	150
fashion_1033104	100
fashion_1032104	300
fashion_1031100	150
fashion_1033100	100
fashion_1032100	300
fashion_103198	150
fashion_103398	100
fashion_103298	300
fashion_103197	150
fashion_103397	100
fashion_103297	300
fashion_103394	100
fashion_103294	300
fashion_103196	150
fashion_103396	100
fashion_103296	300
fashion_103195	150
fashion_103395	100
fashion_103295	300
fashion_103191	150
fashion_103391	100
fashion_103291	300
fashion_103189	150
fashion_103389	100
fashion_103289	300
fashion_103190	150
fashion_103390	100
fashion_103290	300
fashion_103155	150
fashion_103356	100
fashion_103256	300
fashion_103188	150
fashion_103388	100
fashion_103288	300
fashion_103154	150
fashion_103354	100
fashion_103254	300
fashion_103187	150
fashion_103387	100
fashion_103287	300
fashion_103359	100
fashion_103159	150
fashion_103259	300
fashion_103186	150
fashion_103386	100
fashion_103286	300
fashion_103385	100
fashion_103285	300
fashion_103183	150
fashion_103383	100
fashion_103283	300
fashion_103182	150
fashion_103382	100
fashion_103282	300
fashion_103381	100
fashion_103281	300
fashion_103380	100
fashion_103280	300
fashion_103379	100
fashion_103279	300
fashion_103378	100
fashion_103278	300
fashion_103370	100
fashion_103270	300
fashion_103369	100
fashion_103269	300
fashion_103168	150
fashion_103368	100
fashion_103268	300
fashion_103367	100
fashion_103267	300
fashion_103366	100
fashion_103266	300
fashion_103365	100
fashion_103265	300
fashion_103364	100
fashion_103264	300
fashion_103363	100
fashion_103263	300
fashion_103362	100
fashion_103262	300
fashion_103361	100
fashion_103261	300
fashion_103160	150
fashion_103360	100
fashion_103260	300
fashion_103384	100
fashion_103184	150
fashion_103284	300
fashion_103151	150
fashion_103351	100
fashion_103251	300
fashion_103358	150
fashion_103158	100
fashion_103258	300
fashion_103353	150
fashion_103153	100
fashion_103253	300
fashion_1043107	100
fashion_1042107	300
fashion_1041105	150
fashion_1043105	100
fashion_1042105	300
fashion_1041104	150
fashion_1043104	100
fashion_1042104	300
fashion_1041100	150
fashion_1043100	100
fashion_1042100	300
fashion_104198	150
fashion_104398	100
fashion_104298	300
fashion_104197	150
fashion_104397	100
fashion_104297	300
fashion_104394	100
fashion_104294	300
fashion_104196	150
fashion_104396	100
fashion_104296	300
fashion_104195	150
fashion_104395	100
fashion_104295	300
fashion_104191	150
fashion_104391	100
fashion_104291	300
fashion_104189	150
fashion_104389	100
fashion_104289	300
fashion_104190	150
fashion_104390	100
fashion_104290	300
fashion_104155	150
fashion_104356	100
fashion_104256	300
fashion_104188	150
fashion_104388	100
fashion_104288	300
fashion_104154	150
fashion_104354	100
fashion_104254	300
fashion_104187	150
fashion_104387	100
fashion_104287	300
fashion_104359	100
fashion_104159	150
fashion_104259	300
fashion_104186	150
fashion_104386	100
fashion_104286	300
fashion_104385	100
fashion_104285	300
fashion_104183	150
fashion_104383	100
fashion_104283	300
fashion_104182	150
fashion_104382	100
fashion_104282	300
fashion_104381	100
fashion_104281	300
fashion_104380	100
fashion_104280	300
fashion_104379	100
fashion_104279	300
fashion_104378	100
fashion_104278	300
fashion_104370	100
fashion_104270	300
fashion_104369	100
fashion_104269	300
fashion_104168	150
fashion_104368	100
fashion_104268	300
fashion_104367	100
fashion_104267	300
fashion_104366	100
fashion_104266	300
fashion_104365	100
fashion_104265	300
fashion_104364	100
fashion_104264	300
fashion_104363	100
fashion_104263	300
fashion_104362	100
fashion_104262	300
fashion_104361	100
fashion_104261	300
fashion_104160	150
fashion_104360	100
fashion_104260	300
fashion_104384	100
fashion_104184	150
fashion_104284	300
fashion_104151	150
fashion_104351	100
fashion_104251	300
fashion_104358	150
fashion_104158	100
fashion_104258	300
fashion_104353	150
fashion_104153	100
fashion_104253	300
fashion_1053107	100
fashion_1052107	300
fashion_1051105	150
fashion_1053105	100
fashion_1052105	300
fashion_1051104	150
fashion_1053104	100
fashion_1052104	300
fashion_1051100	150
fashion_1053100	100
fashion_1052100	300
fashion_105198	150
fashion_105398	100
fashion_105298	300
fashion_105197	150
fashion_105397	100
fashion_105297	300
fashion_105394	100
fashion_105294	300
fashion_105196	150
fashion_105396	100
fashion_105296	300
fashion_105195	150
fashion_105395	100
fashion_105295	300
fashion_105191	150
fashion_105391	100
fashion_105291	300
fashion_105189	150
fashion_105389	100
fashion_105289	300
fashion_105190	150
fashion_105390	100
fashion_105290	300
fashion_105155	150
fashion_105356	100
fashion_105256	300
fashion_105188	150
fashion_105388	100
fashion_105288	300
fashion_105154	150
fashion_105354	100
fashion_105254	300
fashion_105187	150
fashion_105387	100
fashion_105287	300
fashion_105359	100
fashion_105159	150
fashion_105259	300
fashion_105186	150
fashion_105386	100
fashion_105286	300
fashion_105385	100
fashion_105285	300
fashion_105183	150
fashion_105383	100
fashion_105283	300
fashion_105182	150
fashion_105382	100
fashion_105282	300
fashion_105381	100
fashion_105281	300
fashion_105380	100
fashion_105280	300
fashion_105379	100
fashion_105279	300
fashion_105378	100
fashion_105278	300
fashion_105370	100
fashion_105270	300
fashion_105369	100
fashion_105269	300
fashion_105168	150
fashion_105368	100
fashion_105268	300
fashion_105367	100
fashion_105267	300
fashion_105366	100
fashion_105266	300
fashion_105365	100
fashion_105265	300
fashion_105364	100
fashion_105264	300
fashion_105363	100
fashion_105263	300
fashion_105362	100
fashion_105262	300
fashion_105361	100
fashion_105261	300
fashion_105160	150
fashion_105360	100
fashion_105260	300
fashion_105384	100
fashion_105184	150
fashion_105284	300
fashion_105151	150
fashion_105351	100
fashion_105251	300
fashion_105358	150
fashion_105158	100
fashion_105258	300
fashion_105353	150
fashion_105153	100
fashion_105253	300
fashion_1063107	100
fashion_1062107	300
fashion_1061105	150
fashion_1063105	100
fashion_1062105	300
fashion_1061104	150
fashion_1063104	100
fashion_1062104	300
fashion_1061100	150
fashion_1063100	100
fashion_1062100	300
fashion_106198	150
fashion_106398	100
fashion_106298	300
fashion_106197	150
fashion_106397	100
fashion_106297	300
fashion_106394	100
fashion_106294	300
fashion_106196	150
fashion_106396	100
fashion_106296	300
fashion_106195	150
fashion_106395	100
fashion_106295	300
fashion_106191	150
fashion_106391	100
fashion_106291	300
fashion_106189	150
fashion_106389	100
fashion_106289	300
fashion_106190	150
fashion_106390	100
fashion_106290	300
fashion_106155	150
fashion_106356	100
fashion_106256	300
fashion_106188	150
fashion_106388	100
fashion_106288	300
fashion_106154	150
fashion_106354	100
fashion_106254	300
fashion_106187	150
fashion_106387	100
fashion_106287	300
fashion_106359	100
fashion_106159	150
fashion_106259	300
fashion_106186	150
fashion_106386	100
fashion_106286	300
fashion_106385	100
fashion_106285	300
fashion_106183	150
fashion_106383	100
fashion_106283	300
fashion_106182	150
fashion_106382	100
fashion_106282	300
fashion_106381	100
fashion_106281	300
fashion_106380	100
fashion_106280	300
fashion_106379	100
fashion_106279	300
fashion_106378	100
fashion_106278	300
fashion_106370	100
fashion_106270	300
fashion_106369	100
fashion_106269	300
fashion_106168	150
fashion_106368	100
fashion_106268	300
fashion_106367	100
fashion_106267	300
fashion_106366	100
fashion_106266	300
fashion_106365	100
fashion_106265	300
fashion_106364	100
fashion_106264	300
fashion_106363	100
fashion_106263	300
fashion_106362	100
fashion_106262	300
fashion_106361	100
fashion_106261	300
fashion_106160	150
fashion_106360	100
fashion_106260	300
fashion_106384	100
fashion_106184	150
fashion_106284	300
fashion_106151	150
fashion_106351	100
fashion_106251	300
fashion_106358	150
fashion_106158	100
fashion_106258	300
fashion_106353	150
fashion_106153	100
fashion_106253	300
fashion_1073107	100
fashion_1072107	300
fashion_1071105	150
fashion_1073105	100
fashion_1072105	300
fashion_1071104	150
fashion_1073104	100
fashion_1072104	300
fashion_1071100	150
fashion_1073100	100
fashion_1072100	300
fashion_107198	150
fashion_107398	100
fashion_107298	300
fashion_107197	150
fashion_107397	100
fashion_107297	300
fashion_107394	100
fashion_107294	300
fashion_107196	150
fashion_107396	100
fashion_107296	300
fashion_107195	150
fashion_107395	100
fashion_107295	300
fashion_107191	150
fashion_107391	100
fashion_107291	300
fashion_107189	150
fashion_107389	100
fashion_107289	300
fashion_107190	150
fashion_107390	100
fashion_107290	300
fashion_107155	150
fashion_107356	100
fashion_107256	300
fashion_107188	150
fashion_107388	100
fashion_107288	300
fashion_107154	150
fashion_107354	100
fashion_107254	300
fashion_107187	150
fashion_107387	100
fashion_107287	300
fashion_107359	100
fashion_107159	150
fashion_107259	300
fashion_107186	150
fashion_107386	100
fashion_107286	300
fashion_107385	100
fashion_107285	300
fashion_107183	150
fashion_107383	100
fashion_107283	300
fashion_107182	150
fashion_107382	100
fashion_107282	300
fashion_107381	100
fashion_107281	300
fashion_107380	100
fashion_107280	300
fashion_107379	100
fashion_107279	300
fashion_107378	100
fashion_107278	300
fashion_107370	100
fashion_107270	300
fashion_107369	100
fashion_107269	300
fashion_107168	150
fashion_107368	100
fashion_107268	300
fashion_107367	100
fashion_107267	300
fashion_107366	100
fashion_107266	300
fashion_107365	100
fashion_107265	300
fashion_107364	100
fashion_107264	300
fashion_107363	100
fashion_107263	300
fashion_107362	100
fashion_107262	300
fashion_107361	100
fashion_107261	300
fashion_107160	150
fashion_107360	100
fashion_107260	300
fashion_107384	100
fashion_107184	150
fashion_107284	300
fashion_107151	150
fashion_107351	100
fashion_107251	300
fashion_107358	150
fashion_107158	100
fashion_107258	300
fashion_107353	150
fashion_107153	100
fashion_107253	300
fashion_1083107	100
fashion_1082107	300
fashion_1081105	150
fashion_1083105	100
fashion_1082105	300
fashion_1081104	150
fashion_1083104	100
fashion_1082104	300
fashion_1081100	150
fashion_1083100	100
fashion_1082100	300
fashion_108198	150
fashion_108398	100
fashion_108298	300
fashion_108197	150
fashion_108397	100
fashion_108297	300
fashion_108394	100
fashion_108294	300
fashion_108196	150
fashion_108396	100
fashion_108296	300
fashion_108195	150
fashion_108395	100
fashion_108295	300
fashion_108191	150
fashion_108391	100
fashion_108291	300
fashion_108189	150
fashion_108389	100
fashion_108289	300
fashion_108190	150
fashion_108390	100
fashion_108290	300
fashion_108155	150
fashion_108356	100
fashion_108256	300
fashion_108188	150
fashion_108388	100
fashion_108288	300
fashion_108154	150
fashion_108354	100
fashion_108254	300
fashion_108187	150
fashion_108387	100
fashion_108287	300
fashion_108359	100
fashion_108159	150
fashion_108259	300
fashion_108186	150
fashion_108386	100
fashion_108286	300
fashion_108385	100
fashion_108285	300
fashion_108183	150
fashion_108383	100
fashion_108283	300
fashion_108182	150
fashion_108382	100
fashion_108282	300
fashion_108381	100
fashion_108281	300
fashion_108380	100
fashion_108280	300
fashion_108379	100
fashion_108279	300
fashion_108378	100
fashion_108278	300
fashion_108370	100
fashion_108270	300
fashion_108369	100
fashion_108269	300
fashion_108168	150
fashion_108368	100
fashion_108268	300
fashion_108367	100
fashion_108267	300
fashion_108366	100
fashion_108266	300
fashion_108365	100
fashion_108265	300
fashion_108364	100
fashion_108264	300
fashion_108363	100
fashion_108263	300
fashion_108362	100
fashion_108262	300
fashion_108361	100
fashion_108261	300
fashion_108160	150
fashion_108360	100
fashion_108260	300
fashion_108384	100
fashion_108184	150
fashion_108284	300
fashion_108151	150
fashion_108351	100
fashion_108251	300
fashion_108358	150
fashion_108158	100
fashion_108258	300
fashion_108353	150
fashion_108153	100
fashion_108253	300
fashion_301316	5000
fashion_1011108	600
fashion_1013108	160
fashion_1012108	120
fashion_1011102	600
fashion_1013102	160
fashion_1012102	120
fashion_101199	600
fashion_101399	160
fashion_101299	120
fashion_301307	600
fashion_301311	120
fashion_101193	160
fashion_101393	120
fashion_101293	600
fashion_101192	160
fashion_101392	120
fashion_101292	600
fashion_301306	160
fashion_301303	120
fashion_301302	600
fashion_301308	160
fashion_302316	5000
fashion_1021108	600
fashion_1023108	160
fashion_1022108	120
fashion_1021102	600
fashion_1023102	160
fashion_1022102	120
fashion_102199	600
fashion_102399	160
fashion_102299	120
fashion_302307	600
fashion_302311	120
fashion_102193	160
fashion_102393	120
fashion_102293	600
fashion_102192	160
fashion_102392	120
fashion_102292	600
fashion_302306	160
fashion_302303	120
fashion_302302	600
fashion_302308	160
fashion_303316	5000
fashion_1031108	600
fashion_1033108	160
fashion_1032108	120
fashion_1031102	600
fashion_1033102	160
fashion_1032102	120
fashion_103199	600
fashion_103399	160
fashion_103299	120
fashion_303307	600
fashion_303311	120
fashion_103193	160
fashion_103393	120
fashion_103293	600
fashion_103192	160
fashion_103392	120
fashion_103292	600
fashion_303306	160
fashion_303303	120
fashion_303302	600
fashion_303308	160
fashion_304316	5000
fashion_1041108	600
fashion_1043108	160
fashion_1042108	120
fashion_1041102	600
fashion_1043102	160
fashion_1042102	120
fashion_104199	600
fashion_104399	160
fashion_104299	120
fashion_304307	600
fashion_304311	120
fashion_104193	160
fashion_104393	120
fashion_104293	600
fashion_104192	160
fashion_104392	120
fashion_104292	600
fashion_304306	160
fashion_304303	120
fashion_304302	600
fashion_304308	160
fashion_305316	5000
fashion_1051108	600
fashion_1053108	160
fashion_1052108	120
fashion_1051102	600
fashion_1053102	160
fashion_1052102	120
fashion_105199	600
fashion_105399	160
fashion_105299	120
fashion_305307	600
fashion_305311	120
fashion_105193	160
fashion_105393	120
fashion_105293	600
fashion_105192	160
fashion_105392	120
fashion_105292	600
fashion_305306	160
fashion_305303	120
fashion_305302	600
fashion_305308	160
fashion_306316	5000
fashion_1061108	600
fashion_1063108	160
fashion_1062108	120
fashion_1061102	600
fashion_1063102	160
fashion_1062102	120
fashion_106199	600
fashion_106399	160
fashion_106299	120
fashion_306307	600
fashion_306311	120
fashion_106193	160
fashion_106393	120
fashion_106293	600
fashion_106192	160
fashion_106392	120
fashion_106292	600
fashion_306306	160
fashion_306303	120
fashion_306302	600
fashion_306308	160
fashion_307316	5000
fashion_1071108	600
fashion_1073108	160
fashion_1072108	120
fashion_1071102	600
fashion_1073102	160
fashion_1072102	120
fashion_107199	600
fashion_107399	160
fashion_107299	120
fashion_307307	600
fashion_307311	120
fashion_107193	160
fashion_107393	120
fashion_107293	600
fashion_107192	160
fashion_107392	120
fashion_107292	600
fashion_307306	160
fashion_307303	120
fashion_307302	600
fashion_307308	160
fashion_308316	5000
fashion_1081108	600
fashion_1083108	160
fashion_1082108	120
fashion_1081102	600
fashion_1083102	160
fashion_1082102	120
fashion_108199	600
fashion_108399	160
fashion_108299	120
fashion_308307	600
fashion_308311	120
fashion_108193	160
fashion_108393	120
fashion_108293	600
fashion_108192	160
fashion_108392	120
fashion_108292	600
fashion_308306	160
fashion_308303	120
fashion_308302	600
fashion_308308	160
fashion_1004126	600
fashion_100446	600
fashion_100465	600
fashion_100439	600
fashion_100440	600
fashion_100445	600
fashion_100448	600
fashion_100431	600
fashion_100443	600
fashion_100429	600
fashion_100463	600
fashion_100453	600
fashion_100457	600
fashion_100458	600
fashion_100452	600
fashion_1004126	600
fashion_100437	600
fashion_100498	600
fashion_100483	300
fashion_100482	300
fashion_100481	300
fashion_100476	300
fashion_100474	300
fashion_100473	300
fashion_100471	300
fashion_100470	300
fashion_100469	300
fashion_100460	300
fashion_100456	300
fashion_100430	300
fashion_100427	300
fashion_100426	300
fashion_100425	300
fashion_100424	300
fashion_100423	300
fashion_100419	300
fashion_100418	300
fashion_100416	300
fashion_100413	300
fashion_100499	300
fashion_1004103	300
fashion_1004104	300
fashion_1004105	300
fashion_100401	100
fashion_100402	100
fashion_100403	100
fashion_100404	100
fashion_100405	100
fashion_100406	100
fashion_100407	100
fashion_100408	100
fashion_100409	100
fashion_100410	100
fashion_100413	100
fashion_100414	100
fashion_100415	100
fashion_100417	100
fashion_100421	100
fashion_1004119	50000
fashion_100442	50000
fashion_100435	50000
fashion_100447	50000
fashion_100495	50000
fashion_100485	50000
fashion_100475	50000
fashion_100462	50000
fashion_1004125	5000
fashion_1004124	5000
fashion_100450	5000
fashion_100448	5000
fashion_1004121	5000
fashion_100497	5000
fashion_100480	5000
fashion_100479	5000
fashion_100478	5000
fashion_100468	5000
fashion_100466	5000
fashion_100461	5000
fashion_100459	5000
fashion_100444	5000
fashion_100441	5000
fashion_100438	5000
fashion_100433	5000
fashion_100432	5000
fashion_100454	3000
fashion_100455	3000
fashion_100448	3000
fashion_100436	3000
fashion_100434	3000
fashion_100422	3000
fashion_100420	3000
fashion_100412	3000
fashion_100411	3000
fashion_100492	3000
fashion_100486	3000
fashion_100477	3000
ride_162	5000
ride_213	5000
ride_206	5000
ride_201	5000
ride_200	5000
ride_191	5000
ride_190	5000
ride_188	5000
ride_187	5000
ride_186	5000
ride_185	5000
ride_184	5000
ride_182	5000
ride_180	5000
ride_179	5000
ride_178	5000
ride_175	5000
ride_172	5000
ride_166	5000
ride_165	5000
ride_164	5000
ride_163	600
ride_176	600
ride_204	600
ride_196	600
ride_193	600
ride_183	600
ride_192	600
ride_173	600
ride_171	600
ride_170	600
ride_169	600
ride_168	600
ride_167	600
ride_161	600
ride_160	600
ride_157	600
ride_156	600
ride_155	600
ride_154	600
ride_153	600
ride_151	600
ride_150	600
ride_149	600
ride_148	600
ride_147	600
ride_146	600
ride_145	600
ride_144	600
ride_143	600
ride_142	600
ride_141	600
ride_139	600
ride_138	600
ride_137	600
ride_136	600
ride_135	600
ride_134	600
ride_133	600
ride_132	600
ride_131	600
ride_130	600
ride_129	600
ride_128	600
ride_123	600
ride_119	600
ride_117	600
ride_115	600
ride_111	600
ride_109	600
ride_159	100
ride_127	100
ride_126	100
ride_125	100
ride_124	100
ride_121	100
ride_107	100
ride_105	100
ride_101	100
10120	15000
10600	5000
10590	5000
10450	5000
10440	5000
10420	5000
10400	5000
10390	5000
10380	5000
10370	5000
10360	5000
10350	5000
10340	5000
10330	5000
10320	5000
10310	5000
10290	5000
10280	5000
10260	5000
10250	5000
10240	5000
10230	5000
10220	5000
10210	5000
10200	5000
10170	5000
10060	5000
10050	5000
10530	1000
10190	1000
10180	1000
10160	1000
10150	1000
10110	1000
10100	1000
10090	1000
10080	1000
10040	1000
10030	1000
10140	500
10130	500
10020	500
32000017	2000
32000021	2000
32000025	2000
32000029	2000
32000037	2000
32000045	2000
32000049	2000
32000053	2000
32000057	2000
32000065	2000
32000069	2000
32000073	2000
32000077	2000
32000081	2000
32000085	2000
32000089	2000
