镜头ID	最小俯角	最大俯角	默认俯角百分比	是否锁定俯角	最近距离最小俯角	最远距离最小俯角	最近摄像机偏移	最远摄像机偏移	默认距离百分比	目标偏移	默认Y轴旋转百分比
23	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	90.000000
24	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	90.000000
25	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	90.000000
26	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	90.000000
27	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	100.000000
28	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	100.000000
29	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	270.000000
30	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	270.000000
31	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	100.000000
32	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	100.000000
33	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	235.000000
34	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	235.000000
35	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	170.000000
36	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	170.000000
37	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	210.000000
38	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	210.000000
39	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	270.000000
40	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	270.000000
41	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	75.000000
42	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	75.000000
43	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	315.000000
44	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	315.000000
45	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	180.000000
46	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	180.000000
47	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	230.000000
48	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	230.000000
49	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	270.000000
50	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	270.000000
51	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	45.000000
52	-10.000000	60.000000	0.643000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	45.000000
53	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	45.000000
54	-10.000000	60.000000	0.643000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	45.000000
55	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	45.000000
56	-10.000000	60.000000	0.643000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	45.000000
