流水	功能ID	功能名	功能icon,小icon	任务条件	等级条件	公会等级	星盘纪元条件	公会圣器条件	特殊条件	区域	排或列	组	归属组	组内排序	是否生效	功能图片	大Icon	链接命令	链接参数	是否要飘icon	获取途径文字标识	是否要常驻提示	提示功能描述	是否精准链接	功能未开启特殊提示	活动预告的时间	主界面ue特效	提审模式功能是否屏蔽	对应活动ID	定制SDK开启功能
61	61	UI_FuncName_61	btn_tujian		21	0	0	0	0	3	2	0	0	4	1			LinkUI	AdventureBookPanel	0		1	UIFuncDes_61	0	Msg_FuncNotOpenTips_61	0	0	0	0	
62	62	UI_FuncName_62			1	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3;401	0		0		1		0	0	0	0	
63	63	UI_FuncName_63			4	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
64	64	UI_FuncName_64		11100200,0	1	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
65	65	UI_FuncName_65			28	0	0	0	0	0	0	0	0	0	1			LinkUI	StrengthenPanel;2	0		0		0		0	0	0	0	
66	66	UI_FuncName_66			27	0	0	0	0	0	0	0	0	0	1			LinkUI	GuildTrainPanel	0		0		0		0	0	0	0	
67	69	UI_FuncName_69	btn_npc_present		21	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
68	70				1	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	1	0	
69	71				100	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
70	72	UI_FuncName_72			1	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3;101	0	UI_GainWay_Des5	0		1		0	0	0	0	
71	73	UI_FuncName_73			10	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
72	74	UI_FuncName_74	btn_guildboss		18	0	0	0	0	0	0	0	0	0	1	bg_gonghuiboss	huodong_gonghuiboss	LinkUI	GuildBossPanel	0		0		0		0	0	0	0	
73	75	UI_FuncName_75			18	0	0	0	0	0	0	0	0	0	1			LinkUI	GuildBossTreasurePanel	0		0		0		0	0	0	0	
74	76	UI_FuncName_76			10	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;2;1	0	UI_GainWay_Des1	0		1		0	0	0	0	
75	77	UI_FuncName_77			25	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
76	78	UI_FuncName_78			18	0	0	0	0	0	0	0	0	0	1			ClickNpc	40;npc_100801	0		0		0		0	0	0	0	
77	79	UI_FuncName_79			18	0	0	0	0	0	0	0	0	0	1			ClickNpc	40;npc_100801	0		0		0		0	0	0	0	
78	80	UI_FuncName_80	btn_goldtask		42	0	3	0	0	0	0	0	0	0	1	bg_qiyu		ClickNpc	2;npc_10205	0	UI_GainWay_Des1	1	UIFuncDes_80	0		0	0	0	0	
79	81				10	0	0	0	0	0	0	0	0	0	1			ClickNpc	2;npc_10138	0		0		0		0	0	0	0	
80	82	UI_FuncName_82			1	0	0	0	0	0	0	0	0	0	1			LinkUI	ReportPanel	0		0		0		0	0	0	0	
81	83	UI_FuncName_83			9	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3;701	0	UI_GainWay_Des5	0		1		0	0	0	0	
82	84	UI_FuncName_84			9	0	0	0	0	0	0	0	0	0	1			LinkUI	PetSummonPanel	0		0		0		0	0	0	0	
83	85	UI_FuncName_85	chengzhanganniu		10	0	0	0	0	0	0	0	0	0	1			LinkUI	GrowUpPanel	0		0		0		0	0	0	0	
84	86	UI_FuncName_86	btn_event		18	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
85	87	UI_FuncName_87	btn_dungeon		1	0	0	0	0	0	0	0	0	0	1			LinkUI	TaskDescriptPanel	0		0		0		0	0	0	0	
86	88				28	0	0	0	0	0	0	0	0	0	1			ClickNpc	2;npc_10046	0	UI_GainWay_Des1	0		0		0	0	0	0	
87	89		btn_qicheng		1	0	0	0	1	0	0	0	0	0	1		btn_qicheng	LinkUI	PetPanel;0	0		0		0	Msg_FuncNotOpenTips_89	0	0	0	0	
88	90		btn_qicheng	10100177,0	1	0	0	0	0	0	0	0	0	0	1		btn_qicheng	LinkUI	PetPanel;1	1		0		0	Msg_FuncNotOpenTips_90	0	0	0	0	
89	91	UI_FuncName_91	btn_qicheng		30	0	0	0	0	0	0	0	0	0	1		btn_qicheng	LinkUI	PetPanel;2	0		0		0		0	0	0	0	
90	92		btn_qicheng		1	0	0	0	0	0	0	0	0	0	1		btn_qicheng	LinkUI	PetPanel;3	0		0		0		0	0	0	0	
91	93	UI_FuncName_93			25	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
92	95	UI_FuncName_95	icon_worldboss_map		10	0	0	0	0	0	0	0	0	0	1	bg_shengdianyuanzheng	icon_worldboss			0		0		0		0	0	0	0	
93	96	UI_FuncName_96			30	0	0	0	0	0	0	0	0	0	1			ClickNpc	2;npc_forging_002	0		0		0		0	0	0	0	
94	97	UI_FuncName_97			42	0	0	0	0	0	0	0	0	0	1			ClickNpc	2;npc_forging_002	0		0		0		0	0	0	0	
95	98	UI_FuncName_98			26	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
96	99	UI_FuncName_99			26	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
97	101	UI_FuncName_101			1	0	0	0	0	0	0	0	0	0	1			ClickNpc	2;npc_19000	0	UI_GainWay_Des1	0		1		0	0	0	0	
98	102	UI_FuncName_102			1	0	0	0	0	0	0	0	0	0	1			ClickNpc	2;npc_10040	0	UI_GainWay_Des1	0		1		0	0	0	0	
99	103	UI_FuncName_103			1	0	0	0	0	0	0	0	0	0	1			ClickNpc	2;npc_10039	0	UI_GainWay_Des1	0		1		0	0	0	0	
100	104				38	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
101	105	UI_FuncName_105	btn_ciyuankongjian		39	0	3	0	0	1	2	0	0	2	1	bg_ciyuankongjian	btn_ciyuankongjian	LinkUI	SubSpacePanel	0		1	UIFuncDes_105	0		600	0	0	0	
102	106	UI_FuncName_106	btn_battlefield		35	0	0	0	0	0	0	0	0	0	1	bg_zhanchang	btn_battlefield	LinkUI	CrossServerBattlefieldPanel	0	UI_GainWay_Des1	0		0		0	0	0	0	
103	107				1	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
104	108	UI_FuncName_108			1	0	0	0	0	0	0	0	0	0	1					0		0		0	Msg_FuncNotOpenTips_108	0	0	0	0	
105	109	UI_FuncName_109	btn_trial		40	0	0	0	0	0	0	0	0	0	1	bg_trial		ClickNpc	2;npc_trial	0		0	UIFuncDes_109	0		0	0	0	0	
106	110	UI_FuncName_110		11100160,1	1	0	0	0	0	0	0	0	0	0	1			LinkUI	MallPanel;2	0		0		0	Msg_FuncNotOpenTips_110	0	0	0	0	
107	111	UI_FuncName_111	btn_killstar		30	0	1	0	0	0	0	0	0	0	1	bg_killstar	btn_killstar	LinkUI	KillStarPanel	0	UI_GainWay_Des1	1	UIFuncDes_111	0		0	0	0	0	
108	112	UI_FuncName_112	btn_heroroad	10100180,0	1	0	0	0	0	1	2	0	0	3	1			LinkUI	HeroRoadPanel	1		0	UIFuncDes_112	0	Msg_FuncNotOpenTips_112	0	0	0	0	
109	418	UI_FuncName_418	btn_epic		30	0	0	0	0	1	2	0	0	3	1	bg_epic	btn_epic	LinkUI	SingleHeroEpicPanel	1		0		0		0	0	0	0	
110	114	UI_FuncName_114			4	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
111	115	UI_FuncName_115			33	0	0	0	0	0	0	0	0	0	1			LinkUI	SkillPanel;1	0		0		0		0	0	0	0	
112	116	UI_FuncName_116	btn_title	11100200,0	10	0	0	0	0	0	0	0	0	0	1			LinkUI	TitlePanel	0		0		0		0	0	0	0	
113	117	UI_FuncName_117	btn_qianghua30	10000030,1	1	0	0	0	0	0	0	0	0	0	1			LinkUI	BagPanel;OpenSoulStone	0		0	UIFuncDes_40	0		0	0	0	0	
114	118	UI_FuncName_118	btn_killstar		26	0	0	0	0	0	0	0	0	0	1	seektreasure__panelbg001	btn_juese30			0		0	UIFuncDes_118	0		0	0	0	0	
115	119	UI_FuncName_119	btn_killstar		26	0	0	0	0	0	0	0	0	0	1	seektreasure__panelbg001	btn_juese30			0		0	UIFuncDes_119	0		0	0	0	0	
116	120	UI_FuncName_120	btn_ciyuankongjian		29	0	0	0	0	0	0	0	0	0	1	bg_fishingactivity		LinkUI	WorldMapPanel;OpenedFishingScene	0	UI_GainWay_Des11	1	UIFuncDes_120	0		0	0	0	0	
117	121	UI_FuncName_121			1	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3;201	0	UI_GainWay_Des5	0		1		0	0	0	0	
118	122	UI_FuncName_122	btn_ruins		38	0	0	0	0	0	0	0	0	0	1	bg_ruins	btn_ruins	ClickNpc	2;npc_guildwar_entrance	0		1	UIFuncDes_122	0		0	0	0	0	
119	123	UI_FuncName_123	btn_fengmo		28	0	1	0	0	0	0	0	0	0	0	bg_baotu		LinkUI	AdventurePanel	0		1	UIFuncDes_123	0	Msg_FuncNotOpenTips_123	0	0	0	0	
120	124	UI_FuncName_124	bg_forgingfestival		35	0	0	0	0	0	0	0	0	0	1			LinkUI	StrengthenPanel;5	0		0		0		0	0	0	0	
121	125	UI_FuncName_125	btn_qicheng		34	0	2	0	0	0	0	0	0	0	1	bg_molinghuodong01		LinkUI	AdventurePanel	0		1	UIFuncDes_125	0	Msg_FuncNotOpenTips_125	0	0	0	0	
122	126	UI_FuncName_126	btn_worldtask	10100160,0	1	0	0	0	0	0	0	0	0	0	1			LinkUI	AstrolabePanel;true	0		0		0		0	0	0	0	
123	127	UI_FuncName_127	btn_worldtask		29	0	2	0	0	0	0	0	0	0	1	bg_xingzuoyunshi01		LinkUI	ConstellationFatePanel	0		0		0		0	0	0	0	
124	128	UI_FuncName_128			1	0	0	0	0	0	0	0	0	0	0					0		0		0		0	0	0	0	
125	129	UI_FuncName_129			5	0	0	0	0	0	0	0	0	0	1			LinkUI	RuneBatchResolvePanel	0		0		0		0	0	0	0	
126	130	UI_FuncName_130			30	0	0	0	0	0	0	0	0	0	1			LinkUI	ShopPanel;903	0		0		0		0	0	0	0	
127	131	UI_FuncName_131			1	0	0	0	0	0	0	0	0	0	1			LinkUI	ItemComposePanel;1	0	UI_GainWay_Des12	0		0		0	0	0	0	
128	132	UI_FuncName_132			20	0	0	0	0	0	0	0	0	0	1			LinkUI	ConchSoundPanel	0		0		0	Msg_FuncNotOpenTips_132	0	0	0	0	
129	133	UI_FuncName_133			1	0	0	0	0	0	0	0	0	0	1			LinkUI	BagPanel;OpenSoulStone	0		0		0		0	0	0	0	
130	134	UI_FuncName_134			29	0	0	0	0	0	0	0	0	0	1			ClickNpc	1;npc_100821	0		0		0		0	0	0	0	
131	135				15	0	0	0	0	0	0	0	0	0	1							0		0		0	0	0	0	
132	136	UI_FuncName_136	btn_kaoshi		32	0	0	0	0	0	0	0	0	0	1	bg_xueyuankaoshi	btn_kaoshi	LinkUI	AnswerFirstTestPanel	0		0		0		0	0	0	0	
133	137	UI_FuncName_137			40	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
134	138	UI_FuncName_138	btn_homeland		30	0	0	0	0	3	2	0	0	5	1			HomelandScene		0		0		0		0	0	0	0	
135	139	UI_FuncName_139	btn_homeland_shop	640060,0	30	0	0	0	0	5	1	0	0	1	1			LinkUI	TradingPanel;3;905	0		0		1		0	0	0	0	
136	140	UI_FuncName_140	btn_barn		30	0	0	0	0	5	1	0	0	2	1			LinkUI	HomelandStorePanel	0		0		0		0	0	0	0	
137	141	UI_FuncName_141	btn_kaoshi		32	0	0	0	0	0	0	0	0	0	1	bg_xueyuankaoshi	btn_kaoshi	ClickNpc	2;npc_examination	0		0		0		0	0	0	0	
138	142	UI_FuncName_142			1	0	0	0	0	0	0	0	0	0	1					0		0	UIFuncDes_142	0		0	0	1	0	
139	143	UI_FuncName_143			1	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3;901	0	UI_GainWay_Des5	0		1		0	0	0	0	
140	144	UI_FuncName_144			10	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;2;3	0	UI_GainWay_Des1	0		1		0	0	0	0	
141	145	UI_FuncName_145	btn_soulstar	10100180,1	18	0	0	0	0	0	0	0	0	0	1	bg_xinghunmofang01	btn_juese30	ClickNpc	2;npc_soulstar	0	UI_GainWay_Des1	1	UIFuncDes_145	0		0	0	0	0	
142	146	UI_FuncName_146			48	0	0	0	0	0	0	0	0	0	1			LinkUI	StrengthenPanel;3	0		0		0		0	0	0	0	
143	147	UI_FuncName_147			48	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
144	148	UI_FuncName_148	btn_killstar		42	0	0	0	0	0	0	0	0	0	1			LinkUI	ReduceTaskPanel	0		0		0		0	0	0	0	
145	149	UI_FuncName_149			30	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
146	150	UI_FuncName_150			30	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3;904	0	UI_GainWay_Des5	0		1		0	0	0	0	
147	151	UI_FuncName_151	btn_fixdteam		28	0	0	0	0	0	0	0	0	0	1		btn_fixdteam	LinkUI	FixedTeamPanel	0		0		0		0	0	0	0	
148	152	UI_FuncName_152	btn_soulmate		29	0	0	0	0	0	0	0	0	0	1		btn_marriage	ClickMarriageBtn	1	0		0		0		0	0	0	0	
149	153	UI_FuncName_153			10	0	0	0	0	0	0	0	0	0	1			LinkUI	SpecialItemComposePanel;1	0		0		1		0	0	0	0	
150	154	UI_FuncName_154	btn_arrange		30	0	0	0	0	5	1	0	0	4	1			LinkUI	HomelandEditViewPanel	0		0		0		0	0	0	0	
151	155	UI_FuncName_155	btn_stroll		38	0	0	0	0	0	0	0	0	0	1			LinkUI	StrollEffectTabPanel	0		0		0		0	0	0	0	
152	156	UI_FuncName_156			1	0	0	0	0	0	0	0	0	0	1			LinkUI	ShopPanel;906	0		0		1		0	0	0	0	
153	157	UI_FuncName_157	btn_center	640180,0	30	0	0	0	0	5	1	0	0	3	1			LinkUI	HomelandOrderPanel	0		0		0		0	0	0	0	
154	158	UI_FuncName_158	btn_guildleague		40	0	0	0	0	0	0	0	0	0	1	bg_guildleague	btn_guildleague	LinkUI	GuildPanel;4	0		0		0		0	0	0	0	
155	159	UI_FuncName_159	btn_kingtower		40	0	0	0	0	0	0	0	0	0	1	bg_kingtower	btn_kingtower	LinkUI	KingTowerPanel	0		0		0		0	0	0	0	
156	160	UI_FuncName_160	btn_szellpeak		40	0	0	0	0	0	0	0	0	0	1	bg_szellpeak	btn_szellpeak	LinkUI	AdventurePanel;3	0		0		0		0	0	0	0	
157	161	UI_FuncName_161	btn_szellpeak_book		40	0	0	0	0	3	3	0	0	2	1		btn_szellpeak_book	LinkUI	PeakednessCardPanel	0		0		0		0	0	0	0	
158	162	UI_FuncName_162	btn_guildarea		36	0	0	0	0	1	2	0	0	1	1	bg_guildarea	btn_guildarea	LinkUI	GuildPKBossPanel	0		0		0		0	0	0	0	
159	163	UI_FuncName_163			1	0	0	0	0	0	0	0	0	0	1			ClickNpc	40;npc_10513	0		0		0		0	0	0	0	
160	164	UI_FuncName_164			40	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3;908	0		0		1		0	0	0	0	
161	165	UI_FuncName_165			40	0	0	0	0	0	0	0	0	0	1			LinkUI	PeakednessCardComposePanel	0		0		0		0	0	0	0	
162	166	UI_FuncName_166	icon_holystone		50	0	0	0	0	0	0	0	0	0	1		icon_holystone	LinkUI	BagPanel;OpenHallow	0		0		0		0	0	0	0	
163	167	UI_FuncName_167			50	3	0	0	0	0	0	0	0	0	1			LinkUI	GuildPanel;5	0		0		0		0	0	0	0	
164	168	UI_FuncName_168			31	0	0	0	0	0	0	0	0	0	1			LinkUI	ShopPanel;909	0		0		1		0	0	0	0	
165	169	UI_FuncName_169	icon_mercenary	10100230,0	14	0	0	0	0	3	1	0	0	4	1			LinkUI	MercenaryPanel	0		0		0		0	0	0	0	
166	170	UI_FuncName_170		10100230,0	14	0	0	0	0	0	0	0	0	0	1					0		0		0	Msg_FuncNotOpenTips_170	0	0	0	0	
167	171	UI_FuncName_171		10100230,0	18	0	0	0	0	0	0	0	0	0	1					0		0		0	Msg_FuncNotOpenTips_171	0	0	0	0	
168	172	UI_FuncName_172		10100230,0	30	0	0	0	0	0	0	0	0	0	1					0		0		0	Msg_FuncNotOpenTips_172	0	0	0	0	
169	173	UI_FuncName_173		10100230,0	40	0	0	0	0	0	0	0	0	0	1					0		0		0	Msg_FuncNotOpenTips_173	0	0	0	0	
170	174	UI_FuncName_174		10100230,0	15	0	0	0	0	0	0	0	0	0	1			LinkUI	MercenaryPanel;3	0		0		0	Msg_FuncNotOpenTips_174	0	0	0	0	
