流水ID	NPC	等级	经验	阶段文本	相识历程文本	比较喜欢礼物	喜欢礼物	邮件回礼奖励	谢礼文本	每日好感交互类型	交互增加好感度	每日好感度上限	羁绊类型	羁绊效果	羁绊名称	羁绊说明
27	npc_10020	4	5000	Relationship_Name_4	Relationship_Des_4	item102010411001;item103010411001	item106210100013	item107200043001,4	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
28	npc_10020	5	10000	Relationship_Name_5	Relationship_Des_5	item102010411001;item103010411001	item106210100013	item8103010111018,3	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes3_npc_10020	BondDes3_npc_10020
29	npc_10020	6	20000	Relationship_Name_6	Relationship_Des_6	item102010411001;item103010411001	item106210100013	item1000,6000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
30	npc_10020	7	40000	Relationship_Name_7	Relationship_Des_7	item102010411001;item103010411001	item106210100013	item107999900001,167	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes4_npc_10020	BondDes4_npc_10020
31	npc_10020	8	70000	Relationship_Name_8	Relationship_Des_8	item102010411001;item103010411001	item106210100013	item8103010111018,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
32	npc_10020	9	110000	Relationship_Name_9	Relationship_Des_9	item102010411001;item103010411001	item106210100013	item101040101015,180	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes5_npc_10020	BondDes5_npc_10020
33	npc_10020	10	160000	Relationship_Name_10	Relationship_Des_10	item102010411001;item103010411001	item106210100013	item8170000120010,500	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes6_npc_10020	BondDes6_npc_10020
34	npc_100821	0	0				item106210100018					2000	0			
35	npc_100821	1	500	Relationship_Name_1	Relationship_Des_1	item103010121003;item103010121004;item103010121005	item106210100018	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	3	item170000201010	BondNameDes1_npc_100821	BondDes1_npc_100821
36	npc_100821	2	1000	Relationship_Name_2	Relationship_Des_2	item103010121003;item103010121004;item103010121005	item106210100018	item8103010121004,3	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
37	npc_100821	3	2000	Relationship_Name_3	Relationship_Des_3	item103010121003;item103010121004;item103010121005	item106210100018	item8170000120010,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	3	item170000202020	BondNameDes2_npc_100821	BondDes2_npc_100821
38	npc_100821	4	5000	Relationship_Name_4	Relationship_Des_4	item103010121003;item103010121004;item103010121005	item106210100018	item107300000001,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
39	npc_100821	5	10000	Relationship_Name_5	Relationship_Des_5	item103010121003;item103010121004;item103010121005	item106210100018	item1000,3000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	3	item170000201020	BondNameDes3_npc_100821	BondDes3_npc_100821
40	npc_100821	6	20000	Relationship_Name_6	Relationship_Des_6	item103010121003;item103010121004;item103010121005	item106210100018	item1000,6000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
41	npc_100821	7	40000	Relationship_Name_7	Relationship_Des_7	item103010121003;item103010121004;item103010121005	item106210100018	item107300000002,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	3	item170000202010	BondNameDes4_npc_100821	BondDes4_npc_100821
42	npc_100821	8	70000	Relationship_Name_8	Relationship_Des_8	item103010121003;item103010121004;item103010121005	item106210100018	item8103010111018,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
43	npc_100821	9	110000	Relationship_Name_9	Relationship_Des_9	item103010121003;item103010121004;item103010121005	item106210100018	item101040101015,180	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes5_npc_100821	BondDes5_npc_100821
44	npc_100821	10	160000	Relationship_Name_10	Relationship_Des_10	item103010121003;item103010121004;item103010121005	item106210100018	item8170000120010,500	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item101020507312,1	BondNameDes6_npc_100821	BondDes6_npc_100821
45	npc_10075	0	0				item106210100015					3000	0			
46	npc_10075	1	500	Relationship_Name_1	Relationship_Des_1	item103010111011;item103010111012;item103010111013	item106210100015	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	0		BondNameDes1_npc_10075	BondDes1_npc_10075
47	npc_10075	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111011;item103010111012;item103010111013	item106210100015	item107999900001,17	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
48	npc_10075	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111011;item103010111012;item103010111013	item106210100015	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes2_npc_10075	BondDes2_npc_10075
49	npc_10075	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111011;item103010111012;item103010111013	item106210100015	item101040101015,35	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
50	npc_10075	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111011;item103010111012;item103010111013	item106210100015	item101040101015,90	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes3_npc_10075	BondDes3_npc_10075
51	npc_10075	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111011;item103010111012;item103010111013	item106210100015	item8103010121004,80	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
52	npc_10075	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111011;item103010111012;item103010111013	item106210100015	item101040101015,200	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes4_npc_10075	BondDes4_npc_10075
53	npc_10075	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111011;item103010111012;item103010111013	item106210100015	item8103010121005,33	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
54	npc_10075	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111011;item103010111012;item103010111013	item106210100015	item8103010121005,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes5_npc_10075	BondDes5_npc_10075
55	npc_10075	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111011;item103010111012;item103010111013	item106210100015	item8103010121005,63	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes6_npc_10075	BondDes6_npc_10075
56	npc_10002	0	0				item106210100019					4000	0			
57	npc_10002	1	500	Relationship_Name_1	Relationship_Des_1	item103010111016;item103010111017;item103010111018	item106210100019	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,1,200;0,4,20	BondNameDes1_npc_10002	BondDes1_npc_10002
58	npc_10002	2	4000	Relationship_Name_2	Relationship_Des_2	item103010111016;item103010111017;item103010111018	item106210100019	item107999900001,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
59	npc_10002	3	8000	Relationship_Name_3	Relationship_Des_3	item103010111016;item103010111017;item103010111018	item106210100019	item107200042001,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,1,300;0,4,30	BondNameDes2_npc_10002	BondDes2_npc_10002
60	npc_10002	4	20000	Relationship_Name_4	Relationship_Des_4	item103010111016;item103010111017;item103010111018	item106210100019	item1000,8000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
61	npc_10002	5	40000	Relationship_Name_5	Relationship_Des_5	item103010111016;item103010111017;item103010111018	item106210100019	item107200043001,28	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,1,400;0,4,40	BondNameDes3_npc_10002	BondDes3_npc_10002
62	npc_10002	6	80000	Relationship_Name_6	Relationship_Des_6	item103010111016;item103010111017;item103010111018	item106210100019	item8103010111018,24	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
63	npc_10002	7	160000	Relationship_Name_7	Relationship_Des_7	item103010111016;item103010111017;item103010111018	item106210100019	item107300000002,84	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,1,500;0,4,50	BondNameDes4_npc_10002	BondDes4_npc_10002
64	npc_10002	8	280000	Relationship_Name_8	Relationship_Des_8	item103010111016;item103010111017;item103010111018	item106210100019	item1000,57000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
65	npc_10002	9	440000	Relationship_Name_9	Relationship_Des_9	item103010111016;item103010111017;item103010111018	item106210100019	item107300000002,128	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,1,600;0,4,60	BondNameDes5_npc_10002	BondDes5_npc_10002
66	npc_10002	10	640000	Relationship_Name_10	Relationship_Des_10	item103010111016;item103010111017;item103010111018	item106210100019	item107200053001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,11,200;0,13,200	BondNameDes6_npc_10002	BondDes6_npc_10002
67	npc_10043	0	0				item106210100003					4000	0			
68	npc_10043	1	500	Relationship_Name_1	Relationship_Des_1	item103010111001;item103010111002;item103010111003	item106210100003	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,3,20	BondNameDes1_npc_10043	BondDes1_npc_10043
69	npc_10043	2	4000	Relationship_Name_2	Relationship_Des_2	item103010111001;item103010111002;item103010111003	item106210100003	item8170000120010,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
70	npc_10043	3	8000	Relationship_Name_3	Relationship_Des_3	item103010111001;item103010111002;item103010111003	item106210100003	item1000,3000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,3,30	BondNameDes2_npc_10043	BondDes2_npc_10043
71	npc_10043	4	20000	Relationship_Name_4	Relationship_Des_4	item103010111001;item103010111002;item103010111003	item106210100003	item8103010121004,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
72	npc_10043	5	40000	Relationship_Name_5	Relationship_Des_5	item103010111001;item103010111002;item103010111003	item106210100003	item1000,14000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,3,40	BondNameDes3_npc_10043	BondDes3_npc_10043
73	npc_10043	6	80000	Relationship_Name_6	Relationship_Des_6	item103010111001;item103010111002;item103010111003	item106210100003	item8103010111018,24	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
74	npc_10043	7	160000	Relationship_Name_7	Relationship_Des_7	item103010111001;item103010111002;item103010111003	item106210100003	item1000,42000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,3,50	BondNameDes4_npc_10043	BondDes4_npc_10043
75	npc_10043	8	280000	Relationship_Name_8	Relationship_Des_8	item103010111001;item103010111002;item103010111003	item106210100003	item8103010111018,46	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
76	npc_10043	9	440000	Relationship_Name_9	Relationship_Des_9	item103010111001;item103010111002;item103010111003	item106210100003	item107300000002,128	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,3,60	BondNameDes5_npc_10043	BondDes5_npc_10043
77	npc_10043	10	640000	Relationship_Name_10	Relationship_Des_10	item103010111001;item103010111002;item103010111003	item106210100003	item8103010111020,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,12,200	BondNameDes6_npc_10043	BondDes6_npc_10043
78	npc_10042	0	0				item106210100012					4000	0			
79	npc_10042	1	500	Relationship_Name_1	Relationship_Des_1	item107300000001;item107300000002	item106210100012	item8103010121003,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	1	item10000000002,100000	BondNameDes1_npc_10042	BondDes1_npc_10042
80	npc_10042	2	4000	Relationship_Name_2	Relationship_Des_2	item107300000001;item107300000002	item106210100012	item8103010121003,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
81	npc_10042	3	8000	Relationship_Name_3	Relationship_Des_3	item107300000001;item107300000002	item106210100012	item107300000001,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	1	item10000000002,150000	BondNameDes2_npc_10042	BondDes2_npc_10042
82	npc_10042	4	20000	Relationship_Name_4	Relationship_Des_4	item107300000001;item107300000002	item106210100012	item107200043001,16	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
83	npc_10042	5	40000	Relationship_Name_5	Relationship_Des_5	item107300000001;item107300000002	item106210100012	item1000,14000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	1	item10000000002,200000	BondNameDes3_npc_10042	BondDes3_npc_10042
84	npc_10042	6	80000	Relationship_Name_6	Relationship_Des_6	item107300000001;item107300000002	item106210100012	item107300000002,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
85	npc_10042	7	160000	Relationship_Name_7	Relationship_Des_7	item107300000001;item107300000002	item106210100012	item1000,42000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000002,250000	BondNameDes4_npc_10042	BondDes4_npc_10042
86	npc_10042	8	280000	Relationship_Name_8	Relationship_Des_8	item107300000001;item107300000002	item106210100012	item1000,57000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
87	npc_10042	9	440000	Relationship_Name_9	Relationship_Des_9	item107300000001;item107300000002	item106210100012	item107200052001,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000002,300000	BondNameDes5_npc_10042	BondDes5_npc_10042
88	npc_10042	10	640000	Relationship_Name_10	Relationship_Des_10	item107300000001;item107300000002	item106210100012	item8103010111020,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000002,1000000	BondNameDes6_npc_10042	BondDes6_npc_10042
89	npc_10037	0	0				item106210100018					4000	0			
90	npc_10037	1	500	Relationship_Name_1	Relationship_Des_1	item103010111001;item103010111002;item103010111003	item106210100018	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,1,200	BondNameDes1_npc_10037	BondDes1_npc_10037
91	npc_10037	2	4000	Relationship_Name_2	Relationship_Des_2	item103010111001;item103010111002;item103010111003	item106210100018	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
92	npc_10037	3	8000	Relationship_Name_3	Relationship_Des_3	item103010111001;item103010111002;item103010111003	item106210100018	item107999900001,50	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,4,30	BondNameDes2_npc_10037	BondDes2_npc_10037
93	npc_10037	4	20000	Relationship_Name_4	Relationship_Des_4	item103010111001;item103010111002;item103010111003	item106210100018	item1000,8000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
94	npc_10037	5	40000	Relationship_Name_5	Relationship_Des_5	item103010111001;item103010111002;item103010111003	item106210100018	item1000,14000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,3,20	BondNameDes3_npc_10037	BondDes3_npc_10037
95	npc_10037	6	80000	Relationship_Name_6	Relationship_Des_6	item103010111001;item103010111002;item103010111003	item106210100018	item107300000002,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
96	npc_10037	7	160000	Relationship_Name_7	Relationship_Des_7	item103010111001;item103010111002;item103010111003	item106210100018	item107999900001,700	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,26,100	BondNameDes4_npc_10037	BondDes4_npc_10037
97	npc_10037	8	280000	Relationship_Name_8	Relationship_Des_8	item103010111001;item103010111002;item103010111003	item106210100018	item107200051001,26	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
98	npc_10037	9	440000	Relationship_Name_9	Relationship_Des_9	item103010111001;item103010111002;item103010111003	item106210100018	item101040101015,640	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,22,100	BondNameDes5_npc_10037	BondDes5_npc_10037
99	npc_10037	10	640000	Relationship_Name_10	Relationship_Des_10	item103010111001;item103010111002;item103010111003	item106210100018	item8103010111020,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	6,11,200;6,12,200;6,13,200	BondNameDes6_npc_10037	BondDes6_npc_10037
100	npc_10032	0	0				item106210100006					4000	0			
101	npc_10032	1	500	Relationship_Name_1	Relationship_Des_1	item103010111011;item103010111012;item103010111013	item106210100006	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,1,300	BondNameDes1_npc_10032	BondDes1_npc_10032
102	npc_10032	2	4000	Relationship_Name_2	Relationship_Des_2	item103010111011;item103010111012;item103010111013	item106210100006	item101040101015,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
103	npc_10032	3	8000	Relationship_Name_3	Relationship_Des_3	item103010111011;item103010111012;item103010111013	item106210100006	item107999900001,50	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,4,20	BondNameDes2_npc_10032	BondDes2_npc_10032
104	npc_10032	4	20000	Relationship_Name_4	Relationship_Des_4	item103010111011;item103010111012;item103010111013	item106210100006	item8103010121004,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
105	npc_10032	5	40000	Relationship_Name_5	Relationship_Des_5	item103010111011;item103010111012;item103010111013	item106210100006	item107200043001,28	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,3,20	BondNameDes3_npc_10032	BondDes3_npc_10032
106	npc_10032	6	80000	Relationship_Name_6	Relationship_Des_6	item103010111011;item103010111012;item103010111013	item106210100006	item8103010111018,24	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
107	npc_10032	7	160000	Relationship_Name_7	Relationship_Des_7	item103010111011;item103010111012;item103010111013	item106210100006	item107200051001,19	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,21,100	BondNameDes4_npc_10032	BondDes4_npc_10032
108	npc_10032	8	280000	Relationship_Name_8	Relationship_Des_8	item103010111011;item103010111012;item103010111013	item106210100006	item107200052001,13	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
109	npc_10032	9	440000	Relationship_Name_9	Relationship_Des_9	item103010111011;item103010111012;item103010111013	item106210100006	item107200052001,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,24,100	BondNameDes5_npc_10032	BondDes5_npc_10032
110	npc_10032	10	640000	Relationship_Name_10	Relationship_Des_10	item103010111011;item103010111012;item103010111013	item106210100006	item107200053001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	4,11,200;4,12,200;4,13,200	BondNameDes6_npc_10032	BondDes6_npc_10032
111	npc_10034	0	0				item106210100010					4000	0			
112	npc_10034	1	500	Relationship_Name_1	Relationship_Des_1	item107999900001;item107999900002;item107999900003	item106210100010	item8170000120010,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,1,200	BondNameDes1_npc_10034	BondDes1_npc_10034
113	npc_10034	2	4000	Relationship_Name_2	Relationship_Des_2	item107999900001;item107999900002;item107999900003	item106210100010	item8103010121003,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
