场景ID	秘境类型	阶段	等级限制	穿行类型	长度(米)	最大载重	个人首通奖励	完美通关奖励宝箱	未完美通关假奖励宝箱	完美通关时间	限制最小人数	限制最大人数	秘境名字	普通通关奖励显示	完美通关奖励显示	提示信息方案	关卡描述	护罩特效	滚动背景资源	横向转动物件	纵向转动物件	颜色(控制材质球颜色变化)	动画(控制物件动画速度变化)
1308	1	8	33	1	300	30	item160000310102,1;item1006,60	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName8	item90000000067,1;item90000000068,1;item103015110409,1;item90000000106,1;item90000000105,1;item1000,1;item1006,1	item161000000001,2;item8103015110305,2;item1006,60	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1309	1	9	33	1	300	30	item101100113001,1;item1006,60	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName9	item90000000067,1;item90000000068,1;item103015110409,1;item90000000106,1;item90000000105,1;item1000,1;item1006,1	item101100113001,1;item1006,60	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1310	1	10	33	1	100	30	item161000000001,5;item1006,180;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName10	item90000000067,1;item90000000068,1;item103015110409,1;item90000000106,1;item90000000105,1;item1000,1;item1006,1	item161000000001,5;item8103015110408,1;item1006,180	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1311	1	11	41	1	300	30	item160000110103,1;item1006,70	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName11	item90000000070,1;item103015110409,1;item103015110305,1;item90000000106,1;item1000,1;item1006,1	item160000110103,1;item1006,70	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1312	1	12	41	1	300	30	item160000210103,1;item1006,70	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName12	item90000000070,1;item103015110409,1;item103015110305,1;item90000000106,1;item1000,1;item1006,1	item160000210103,1;item1006,70	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1313	1	13	41	1	300	30	item160000310103,1;item1006,70	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName13	item90000000070,1;item103015110409,1;item103015110305,1;item90000000106,1;item1000,1;item1006,1	item160000310103,1;item1006,70	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1314	1	14	41	1	300	30	item101100113002,1;item1006,70	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName14	item90000000070,1;item103015110409,1;item103015110305,1;item90000000106,1;item1000,1;item1006,1	item101100113002,1;item1006,70	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1315	1	15	41	1	100	30	item161000000002,1;item1006,210;item8103015110305,2	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName15	item90000000070,1;item103015110409,1;item103015110305,1;item90000000106,1;item1000,1;item1006,1	item161000000002,1;item8103015110305,2;item1006,210	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1316	1	16	41	1	300	30	item160000110103,1;item1006,80	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName16	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item160000110103,1;item1006,80	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1317	1	17	41	1	300	30	item160000210103,1;item1006,80	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName17	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item160000210103,1;item1006,80	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1318	1	18	41	1	300	30	item160000310103,1;item1006,80	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName18	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item160000310103,1;item1006,80	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1319	1	19	41	1	300	30	item101100113002,1;item1006,80	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName19	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item101100113002,1;item1006,80	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1320	1	20	41	1	100	30	item161000000002,1;item1006,240;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName20	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item161000000002,1;item8103015110408,1;item1006,240	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1321	1	21	51	1	300	30	item160000110104,1;item1006,90	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName21	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item160000110104,1;item1006,90	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1322	1	22	51	1	300	30	item160000210104,1;item1006,90	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName22	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item160000210104,1;item1006,90	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1323	1	23	51	1	300	30	item160000310104,1;item1006,90	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName23	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item160000310104,1;item1006,90	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1324	1	24	51	1	300	30	item101100113003,1;item1006,90	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName24	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item101100113003,1;item1006,90	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1325	1	25	51	1	100	30	item161000000002,2;item1006,270;item8103015110305,2	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName25	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item90000000106,1;item1000,1;item1006,1	item161000000002,2;item8103015110305,2;item1006,270	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1326	1	26	51	1	300	30	item160000110104,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName26	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000110104,1;item1006,100	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1327	1	27	51	1	300	30	item160000210104,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName27	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000210104,1;item1006,100	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1328	1	28	51	1	300	30	item160000310104,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName28	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000310104,1;item1006,100	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1329	1	29	51	1	300	30	item101100113003,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName29	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item101100113003,1;item1006,100	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
