升级前武器ID	升级后武器ID	星光武器阶段	升级所需玩家等级限制	职业ID	主界面展示模型	男角色佩戴展示模型（高模）	男角色佩戴展示模型（低模）	女角色佩戴展示模型（高模）	女角色佩戴展示模型（低模）	高模特效	低模特效	升级到当前级消耗道具	升级到当前级消耗货币	属性加成	buff加成
equip301040654002	equip301040655002	5	80	2	19			c002h_weapon901_t5	c002_weapon901_t5	13000045;13000084;13000085;13000090	13000100;13000010;13000095	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000010	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301040541003	equip301040651003	1	60	3	15	c007h_weapon901_t1	c007_weapon901_t1	c003h_weapon901_t1	c003_weapon901_t1	13000011	13000071	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000011	buff6_wp_shine::buff101_lv1
equip301040651003	equip301040652003	2	60	3	16	c007h_weapon901_t2	c007_weapon901_t2	c003h_weapon901_t2	c003_weapon901_t2	13000012	13000072	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000012	buff6_wp_shine::buff101_lv2
equip301040652003	equip301040653003	3	70	3	17	c007h_weapon901_t3	c007_weapon901_t3	c003h_weapon901_t3	c003_weapon901_t3	13000013	13000073	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000013	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301040653003	equip301040654003	4	75	3	18	c007h_weapon901_t4	c007_weapon901_t4	c003h_weapon901_t4	c003_weapon901_t4	13000014	13000074	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000014	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301040654003	equip301040655003	5	80	3	19	c007h_weapon901_t5	c007_weapon901_t5	c003h_weapon901_t5	c003_weapon901_t5	13000015	13000075	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000015	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301040541004	equip301040651004	1	60	4	15	c008h_weapon901_t1	c008_weapon901_t1	c004h_weapon901_t1	c004_weapon901_t1	13000016	13000061	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000016	buff6_wp_shine::buff101_lv1
equip301040651004	equip301040652004	2	60	4	16	c008h_weapon901_t2	c008_weapon901_t2	c004h_weapon901_t2	c004_weapon901_t2	13000017	13000062	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000017	buff6_wp_shine::buff101_lv2
equip301040652004	equip301040653004	3	70	4	17	c008h_weapon901_t3	c008_weapon901_t3	c004h_weapon901_t3	c004_weapon901_t3	13000018	13000063	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000018	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301040653004	equip301040654004	4	75	4	18	c008h_weapon901_t4	c008_weapon901_t4	c004h_weapon901_t4	c004_weapon901_t4	13000019	13000064	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000019	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301040654004	equip301040655004	5	80	4	19	c008h_weapon901_t5	c008_weapon901_t5	c004h_weapon901_t5	c004_weapon901_t5	13000020	13000065	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000020	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301040541005	equip301040651005	1	60	5	15	c005h_weapon901_t1	c005_weapon901_t1			13000021;13000026	13000021;13000026	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000021	buff6_wp_shine::buff101_lv1
equip301040651005	equip301040652005	2	60	5	16	c005h_weapon901_t2	c005_weapon901_t2			13000022;13000027	13000022;13000027	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000022	buff6_wp_shine::buff101_lv2
equip301040652005	equip301040653005	3	70	5	17	c005h_weapon901_t3	c005_weapon901_t3			13000023;13000028	13000023;13000028	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000023	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301040653005	equip301040654005	4	75	5	18	c005h_weapon901_t4	c005_weapon901_t4			13000024;13000029	13000024;13000029	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000024	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301040654005	equip301040655005	5	80	5	19	c005h_weapon901_t5	c005_weapon901_t5			13000025;13000030	13000025;13000030	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000025	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301040541006	equip301040651006	1	60	6	15	c006h_weapon901_t1	c006_weapon901_t1			13000046;13000051	13000031;13000036	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000026	buff6_wp_shine::buff101_lv1
equip301040651006	equip301040652006	2	60	6	16	c006h_weapon901_t2	c006_weapon901_t2			13000047;13000052	13000032;13000037	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000027	buff6_wp_shine::buff101_lv2
equip301040652006	equip301040653006	3	70	6	17	c006h_weapon901_t3	c006_weapon901_t3			13000048;13000053	13000033;13000038	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000028	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301040653006	equip301040654006	4	75	6	18	c006h_weapon901_t4	c006_weapon901_t4			13000049;13000054	13000034;13000039	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000029	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301040654006	equip301040655006	5	80	6	19	c006h_weapon901_t5	c006_weapon901_t5			13000050;13000055	13000035;13000040	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000030	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301050541001	equip301050651001	1	60	1	15	c001h_weapon901_t1	c001_weapon901_t1			13000056	13000001	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000031	buff6_wp_shine::buff101_lv1
equip301050651001	equip301050652001	2	60	1	16	c001h_weapon901_t2	c001_weapon901_t2			13000057	13000002	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000032	buff6_wp_shine::buff101_lv2
equip301050652001	equip301050653001	3	70	1	17	c001h_weapon901_t3	c001_weapon901_t3			13000058	13000003	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000033	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301050653001	equip301050654001	4	75	1	18	c001h_weapon901_t4	c001_weapon901_t4			13000059	13000004	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000034	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301050654001	equip301050655001	5	80	1	19	c001h_weapon901_t5	c001_weapon901_t5			13000060	13000005	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000035	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301050541002	equip301050651002	1	60	2	15			c002h_weapon901_t1	c002_weapon901_t1	13000041;13000076;13000077;13000086	13000096;13000006;13000091	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000036	buff6_wp_shine::buff101_lv1
equip301050651002	equip301050652002	2	60	2	16			c002h_weapon901_t2	c002_weapon901_t2	13000042;13000078;13000079;13000087	13000097;13000007;13000092	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000037	buff6_wp_shine::buff101_lv2
equip301050652002	equip301050653002	3	70	2	17			c002h_weapon901_t3	c002_weapon901_t3	13000043;13000080;13000081;13000088	13000098;13000008;13000093	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000038	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301050653002	equip301050654002	4	75	2	18			c002h_weapon901_t4	c002_weapon901_t4	13000044;13000082;13000083;13000089	13000099;13000009;13000094	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000039	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301050654002	equip301050655002	5	80	2	19			c002h_weapon901_t5	c002_weapon901_t5	13000045;13000084;13000085;13000090	13000100;13000010;13000095	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000040	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301050541003	equip301050651003	1	60	3	15	c007h_weapon901_t1	c007_weapon901_t1	c003h_weapon901_t1	c003_weapon901_t1	13000011	13000071	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000041	buff6_wp_shine::buff101_lv1
equip301050651003	equip301050652003	2	60	3	16	c007h_weapon901_t2	c007_weapon901_t2	c003h_weapon901_t2	c003_weapon901_t2	13000012	13000072	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000042	buff6_wp_shine::buff101_lv2
equip301050652003	equip301050653003	3	70	3	17	c007h_weapon901_t3	c007_weapon901_t3	c003h_weapon901_t3	c003_weapon901_t3	13000013	13000073	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000043	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301050653003	equip301050654003	4	75	3	18	c007h_weapon901_t4	c007_weapon901_t4	c003h_weapon901_t4	c003_weapon901_t4	13000014	13000074	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000044	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301050654003	equip301050655003	5	80	3	19	c007h_weapon901_t5	c007_weapon901_t5	c003h_weapon901_t5	c003_weapon901_t5	13000015	13000075	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000045	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301050541004	equip301050651004	1	60	4	15	c008h_weapon901_t1	c008_weapon901_t1	c004h_weapon901_t1	c004_weapon901_t1	13000016	13000061	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000046	buff6_wp_shine::buff101_lv1
equip301050651004	equip301050652004	2	60	4	16	c008h_weapon901_t2	c008_weapon901_t2	c004h_weapon901_t2	c004_weapon901_t2	13000017	13000062	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000047	buff6_wp_shine::buff101_lv2
equip301050652004	equip301050653004	3	70	4	17	c008h_weapon901_t3	c008_weapon901_t3	c004h_weapon901_t3	c004_weapon901_t3	13000018	13000063	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000048	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301050653004	equip301050654004	4	75	4	18	c008h_weapon901_t4	c008_weapon901_t4	c004h_weapon901_t4	c004_weapon901_t4	13000019	13000064	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000049	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301050654004	equip301050655004	5	80	4	19	c008h_weapon901_t5	c008_weapon901_t5	c004h_weapon901_t5	c004_weapon901_t5	13000020	13000065	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000050	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301050541005	equip301050651005	1	60	5	15	c005h_weapon901_t1	c005_weapon901_t1			13000021;13000026	13000021;13000026	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000051	buff6_wp_shine::buff101_lv1
equip301050651005	equip301050652005	2	60	5	16	c005h_weapon901_t2	c005_weapon901_t2			13000022;13000027	13000022;13000027	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000052	buff6_wp_shine::buff101_lv2
equip301050652005	equip301050653005	3	70	5	17	c005h_weapon901_t3	c005_weapon901_t3			13000023;13000028	13000023;13000028	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000053	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301050653005	equip301050654005	4	75	5	18	c005h_weapon901_t4	c005_weapon901_t4			13000024;13000029	13000024;13000029	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000054	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301050654005	equip301050655005	5	80	5	19	c005h_weapon901_t5	c005_weapon901_t5			13000025;13000030	13000025;13000030	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000055	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301050541006	equip301050651006	1	60	6	15	c006h_weapon901_t1	c006_weapon901_t1			13000046;13000051	13000031;13000036	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000056	buff6_wp_shine::buff101_lv1
equip301050651006	equip301050652006	2	60	6	16	c006h_weapon901_t2	c006_weapon901_t2			13000047;13000052	13000032;13000037	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000057	buff6_wp_shine::buff101_lv2
equip301050652006	equip301050653006	3	70	6	17	c006h_weapon901_t3	c006_weapon901_t3			13000048;13000053	13000033;13000038	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000058	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301050653006	equip301050654006	4	75	6	18	c006h_weapon901_t4	c006_weapon901_t4			13000049;13000054	13000034;13000039	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000059	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301050654006	equip301050655006	5	80	6	19	c006h_weapon901_t5	c006_weapon901_t5			13000050;13000055	13000035;13000040	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000060	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301060541001	equip301060651001	1	60	1	15	c001h_weapon901_t1	c001_weapon901_t1			13000056	13000001	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000061	buff6_wp_shine::buff101_lv1
equip301060651001	equip301060652001	2	60	1	16	c001h_weapon901_t2	c001_weapon901_t2			13000057	13000002	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000062	buff6_wp_shine::buff101_lv2
equip301060652001	equip301060653001	3	70	1	17	c001h_weapon901_t3	c001_weapon901_t3			13000058	13000003	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000063	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301060653001	equip301060654001	4	75	1	18	c001h_weapon901_t4	c001_weapon901_t4			13000059	13000004	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000064	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301060654001	equip301060655001	5	80	1	19	c001h_weapon901_t5	c001_weapon901_t5			13000060	13000005	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000065	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301060541002	equip301060651002	1	60	2	15			c002h_weapon901_t1	c002_weapon901_t1	13000041;13000076;13000077;13000086	13000096;13000006;13000091	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000066	buff6_wp_shine::buff101_lv1
equip301060651002	equip301060652002	2	60	2	16			c002h_weapon901_t2	c002_weapon901_t2	13000042;13000078;13000079;13000087	13000097;13000007;13000092	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000067	buff6_wp_shine::buff101_lv2
equip301060652002	equip301060653002	3	70	2	17			c002h_weapon901_t3	c002_weapon901_t3	13000043;13000080;13000081;13000088	13000098;13000008;13000093	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000068	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301060653002	equip301060654002	4	75	2	18			c002h_weapon901_t4	c002_weapon901_t4	13000044;13000082;13000083;13000089	13000099;13000009;13000094	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000069	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301060654002	equip301060655002	5	80	2	19			c002h_weapon901_t5	c002_weapon901_t5	13000045;13000084;13000085;13000090	13000100;13000010;13000095	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000070	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301060541003	equip301060651003	1	60	3	15	c007h_weapon901_t1	c007_weapon901_t1	c003h_weapon901_t1	c003_weapon901_t1	13000011	13000071	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000071	buff6_wp_shine::buff101_lv1
equip301060651003	equip301060652003	2	60	3	16	c007h_weapon901_t2	c007_weapon901_t2	c003h_weapon901_t2	c003_weapon901_t2	13000012	13000072	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000072	buff6_wp_shine::buff101_lv2
equip301060652003	equip301060653003	3	70	3	17	c007h_weapon901_t3	c007_weapon901_t3	c003h_weapon901_t3	c003_weapon901_t3	13000013	13000073	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000073	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301060653003	equip301060654003	4	75	3	18	c007h_weapon901_t4	c007_weapon901_t4	c003h_weapon901_t4	c003_weapon901_t4	13000014	13000074	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000074	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301060654003	equip301060655003	5	80	3	19	c007h_weapon901_t5	c007_weapon901_t5	c003h_weapon901_t5	c003_weapon901_t5	13000015	13000075	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000075	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301060541004	equip301060651004	1	60	4	15	c008h_weapon901_t1	c008_weapon901_t1	c004h_weapon901_t1	c004_weapon901_t1	13000016	13000061	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000076	buff6_wp_shine::buff101_lv1
equip301060651004	equip301060652004	2	60	4	16	c008h_weapon901_t2	c008_weapon901_t2	c004h_weapon901_t2	c004_weapon901_t2	13000017	13000062	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000077	buff6_wp_shine::buff101_lv2
equip301060652004	equip301060653004	3	70	4	17	c008h_weapon901_t3	c008_weapon901_t3	c004h_weapon901_t3	c004_weapon901_t3	13000018	13000063	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000078	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301060653004	equip301060654004	4	75	4	18	c008h_weapon901_t4	c008_weapon901_t4	c004h_weapon901_t4	c004_weapon901_t4	13000019	13000064	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000079	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301060654004	equip301060655004	5	80	4	19	c008h_weapon901_t5	c008_weapon901_t5	c004h_weapon901_t5	c004_weapon901_t5	13000020	13000065	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000080	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301060541005	equip301060651005	1	60	5	15	c005h_weapon901_t1	c005_weapon901_t1			13000021;13000026	13000021;13000026	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000081	buff6_wp_shine::buff101_lv1
equip301060651005	equip301060652005	2	60	5	16	c005h_weapon901_t2	c005_weapon901_t2			13000022;13000027	13000022;13000027	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000082	buff6_wp_shine::buff101_lv2
equip301060652005	equip301060653005	3	70	5	17	c005h_weapon901_t3	c005_weapon901_t3			13000023;13000028	13000023;13000028	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000083	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301060653005	equip301060654005	4	75	5	18	c005h_weapon901_t4	c005_weapon901_t4			13000024;13000029	13000024;13000029	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000084	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301060654005	equip301060655005	5	80	5	19	c005h_weapon901_t5	c005_weapon901_t5			13000025;13000030	13000025;13000030	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000085	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301060541006	equip301060651006	1	60	6	15	c006h_weapon901_t1	c006_weapon901_t1			13000046;13000051	13000031;13000036	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000086	buff6_wp_shine::buff101_lv1
equip301060651006	equip301060652006	2	60	6	16	c006h_weapon901_t2	c006_weapon901_t2			13000047;13000052	13000032;13000037	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000087	buff6_wp_shine::buff101_lv2
equip301060652006	equip301060653006	3	70	6	17	c006h_weapon901_t3	c006_weapon901_t3			13000048;13000053	13000033;13000038	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000088	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301060653006	equip301060654006	4	75	6	18	c006h_weapon901_t4	c006_weapon901_t4			13000049;13000054	13000034;13000039	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000089	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301060654006	equip301060655006	5	80	6	19	c006h_weapon901_t5	c006_weapon901_t5			13000050;13000055	13000035;13000040	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000090	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301070541001	equip301070651001	1	60	1	15	c001h_weapon901_t1	c001_weapon901_t1			13000056	13000001	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000091	buff6_wp_shine::buff101_lv1
equip301070651001	equip301070652001	2	60	1	16	c001h_weapon901_t2	c001_weapon901_t2			13000057	13000002	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000092	buff6_wp_shine::buff101_lv2
equip301070652001	equip301070653001	3	70	1	17	c001h_weapon901_t3	c001_weapon901_t3			13000058	13000003	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000093	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301070653001	equip301070654001	4	75	1	18	c001h_weapon901_t4	c001_weapon901_t4			13000059	13000004	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000094	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301070654001	equip301070655001	5	80	1	19	c001h_weapon901_t5	c001_weapon901_t5			13000060	13000005	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000095	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301070541002	equip301070651002	1	60	2	15			c002h_weapon901_t1	c002_weapon901_t1	13000041;13000076;13000077;13000086	13000096;13000006;13000091	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000096	buff6_wp_shine::buff101_lv1
equip301070651002	equip301070652002	2	60	2	16			c002h_weapon901_t2	c002_weapon901_t2	13000042;13000078;13000079;13000087	13000097;13000007;13000092	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000097	buff6_wp_shine::buff101_lv2
equip301070652002	equip301070653002	3	70	2	17			c002h_weapon901_t3	c002_weapon901_t3	13000043;13000080;13000081;13000088	13000098;13000008;13000093	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000098	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
