公式编号	公式	参数
10	0.003125*P00*P00-4.375*P00+2000	RMPHYDIN
11	0.003125*P00*P00-4.375*P00+2000	MLPHYDIN
12	P00*1000	SUITRED
13	(P00-200)/1.2	CDGRATE
14	P00	SCORE
51	40+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
52	80+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
53	120+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
54	170+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
55	225+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
56	285+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
57	355+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
58	435+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
59	535+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
60	655+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
63	795+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
64	955+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
65	1135+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
66	1335+5*(0.05*P00+0.5*(P01+P02+P03))	HPMAX;SPMAX;ATT;DEF
100	500	
101	1000	
102	750	
111	P00*1+P01*0.25	MagicCombatPowerH;MagicCombatPowerL
201	P00*8150-405000	Level
202	P00*8557-425250	Level
203	P00*8984-446512	Level
204	P00*9433-468837	Level
205	P00*9904-492278	Level
206	P00*10399-516891	Level
207	P00*10918-542735	Level
208	P00*11463-569871	Level
209	P00*12036-598364	Level
210	P00*12637-628282	Level
211	P00*13268-659696	Level
212	P00*13931-692680	Level
