流水	属性库	属性品质	属性Id	属性下限	属性上限	属性间隔	权重
71	21004	2	76	100	100	50	100
72	21004	2	80	100	100	50	100
73	21004	2	84	100	100	50	100
74	21004	3	69	150	200	50	40
75	21004	3	70	150	200	50	40
76	21004	3	76	150	200	50	40
77	21004	3	80	150	200	50	40
78	21004	3	84	150	200	50	40
79	31004	2	5	40	60	1	140
80	31004	2	2	40	60	1	140
81	31004	2	150	100	100	50	130
82	31004	2	149	100	100	50	130
83	31004	2	154	100	100	50	130
84	31004	2	153	100	100	50	130
85	31004	3	150	150	200	50	50
86	31004	3	149	150	200	50	50
87	31004	3	154	150	200	50	50
88	31004	3	153	150	200	50	50
89	13004	2	5	40	60	1	0
90	13004	2	2	40	60	1	0
91	13004	2	66	100	100	50	180
92	13004	2	67	100	100	50	180
93	13004	2	75	100	100	50	180
94	13004	2	79	100	100	50	180
95	13004	2	83	100	100	50	180
96	13004	3	66	150	200	50	16
97	13004	3	67	150	200	50	16
98	13004	3	75	150	200	50	16
99	13004	3	79	150	200	50	16
100	13004	3	83	150	200	50	16
101	13004	4	132	250	300	50	0
102	13004	4	131	250	300	50	5
103	13004	4	158	350	500	50	5
104	13004	4	160	350	500	50	5
105	13004	4	161	350	500	50	5
106	13004	4	28	250	300	50	0
107	23004	2	5	40	60	1	0
108	23004	2	2	40	60	1	0
109	23004	2	69	100	100	50	180
110	23004	2	70	100	100	50	180
111	23004	2	76	100	100	50	180
112	23004	2	80	100	100	50	180
113	23004	2	84	100	100	50	180
114	23004	3	69	150	200	50	16
115	23004	3	70	150	200	50	16
116	23004	3	76	150	200	50	16
117	23004	3	80	150	200	50	16
118	23004	3	84	150	200	50	16
119	23004	4	132	250	300	50	4
120	23004	4	131	250	300	50	4
121	23004	4	158	350	500	50	4
122	23004	4	160	350	500	50	4
123	23004	4	161	350	500	50	4
124	23004	4	28	250	300	50	0
125	33004	2	5	40	60	1	150
126	33004	2	2	40	60	1	150
127	33004	2	150	100	100	50	150
128	33004	2	149	100	100	50	150
129	33004	2	154	100	100	50	150
130	33004	2	153	100	100	50	150
131	33004	3	150	150	200	50	20
132	33004	3	149	150	200	50	20
133	33004	3	154	150	200	50	20
134	33004	3	153	150	200	50	20
135	33004	4	132	250	300	50	4
136	33004	4	131	250	300	50	4
137	33004	4	158	350	500	50	4
138	33004	4	160	350	500	50	4
139	33004	4	161	350	500	50	4
140	33004	4	28	250	300	50	0
141	11006	2	5	40	60	1	150
142	11006	2	2	40	60	1	150
143	11006	2	66	100	100	50	100
144	11006	2	67	100	100	50	100
145	11006	2	75	100	100	50	100
146	11006	2	79	100	100	50	100
147	11006	2	83	100	100	50	100
148	11006	3	66	150	200	50	40
149	11006	3	67	150	200	50	40
150	11006	3	75	150	200	50	40
151	11006	3	79	150	200	50	40
152	11006	3	83	150	200	50	40
153	21006	2	5	40	60	1	150
154	21006	2	2	40	60	1	150
155	21006	2	69	100	100	50	100
156	21006	2	70	100	100	50	100
157	21006	2	76	100	100	50	100
158	21006	2	80	100	100	50	100
159	21006	2	84	100	100	50	100
160	21006	3	69	150	200	50	40
161	21006	3	70	150	200	50	40
162	21006	3	76	150	200	50	40
163	21006	3	80	150	200	50	40
164	21006	3	84	150	200	50	40
165	31006	2	5	40	60	1	150
166	31006	2	2	40	60	1	150
167	31006	2	150	100	100	50	125
168	31006	2	149	100	100	50	125
169	31006	2	154	100	100	50	125
170	31006	2	153	100	100	50	125
171	31006	3	150	150	200	50	50
172	31006	3	149	150	200	50	50
173	31006	3	154	150	200	50	50
174	31006	3	153	150	200	50	50
175	13006	2	5	40	60	1	0
176	13006	2	2	40	60	1	0
177	13006	2	66	100	100	50	140
178	13006	2	67	100	100	50	140
179	13006	2	75	100	100	50	140
180	13006	2	79	100	100	50	140
181	13006	2	83	100	100	50	140
182	13006	3	66	150	200	50	50
183	13006	3	67	150	200	50	50
184	13006	3	75	150	200	50	50
185	13006	3	79	150	200	50	50
186	13006	3	83	150	200	50	50
187	13006	4	132	250	300	50	0
188	13006	4	131	250	300	50	10
189	13006	4	158	350	500	50	10
190	13006	4	160	350	500	50	10
191	13006	4	161	350	500	50	10
192	13006	4	28	250	300	50	0
193	23006	2	5	40	60	1	0
194	23006	2	2	40	60	1	0
195	23006	2	69	100	100	50	140
196	23006	2	70	100	100	50	140
197	23006	2	76	100	100	50	140
198	23006	2	80	100	100	50	140
199	23006	2	84	100	100	50	140
200	23006	3	69	150	200	50	50
201	23006	3	70	150	200	50	50
202	23006	3	76	150	200	50	50
203	23006	3	80	150	200	50	50
204	23006	3	84	150	200	50	50
205	23006	4	132	250	300	50	10
206	23006	4	131	250	300	50	10
207	23006	4	158	350	500	50	10
208	23006	4	160	350	500	50	10
209	23006	4	161	350	500	50	10
210	23006	4	28	250	300	50	0
211	33006	2	5	40	60	1	150
212	33006	2	2	40	60	1	150
213	33006	2	150	100	100	50	100
214	33006	2	149	100	100	50	100
215	33006	2	154	100	100	50	100
216	33006	2	153	100	100	50	100
217	33006	3	150	150	200	50	65
218	33006	3	149	150	200	50	60
219	33006	3	154	150	200	50	65
220	33006	3	153	150	200	50	60
221	33006	4	132	250	300	50	10
222	33006	4	131	250	300	50	10
223	33006	4	158	350	500	50	10
224	33006	4	160	350	500	50	10
225	33006	4	161	350	500	50	10
226	33006	4	28	250	300	50	0
227	911006	2	5	40	60	1	1688
228	911006	2	2	40	60	1	1687
229	911006	2	66	50	100	50	1125
230	911006	2	67	50	100	50	1125
231	911006	2	75	50	100	50	1125
232	911006	2	79	50	100	50	1125
233	911006	2	83	50	100	50	1125
234	911006	3	66	150	200	50	200
235	911006	3	67	150	200	50	200
236	911006	3	75	150	200	50	200
237	911006	3	79	150	200	50	200
238	911006	3	83	150	200	50	200
239	921006	2	5	40	60	1	1688
240	921006	2	2	40	60	1	1687
241	921006	2	69	50	100	50	1125
242	921006	2	70	50	100	50	1125
243	921006	2	76	50	100	50	1125
244	921006	2	80	50	100	50	1125
245	921006	2	84	50	100	50	1125
246	921006	3	69	150	200	50	200
247	921006	3	70	150	200	50	200
248	921006	3	76	150	200	50	200
249	921006	3	80	150	200	50	200
250	921006	3	84	150	200	50	200
251	931006	2	5	40	60	1	1688
252	931006	2	2	40	60	1	1687
253	931006	2	150	50	100	50	1407
254	931006	2	149	50	100	50	1406
255	931006	2	154	50	100	50	1406
256	931006	2	153	50	100	50	1406
257	931006	3	150	150	200	50	250
258	931006	3	149	150	200	50	250
259	931006	3	154	150	200	50	250
260	931006	3	153	150	200	50	250
261	912006	2	5	40	60	1	1725
262	912006	2	2	40	60	1	1725
263	912006	2	66	50	100	50	1150
264	912006	2	67	50	100	50	1150
265	912006	2	75	50	100	50	1150
266	912006	2	79	50	100	50	1150
267	912006	2	83	50	100	50	1150
268	912006	3	66	150	200	50	160
269	912006	3	67	150	200	50	160
270	912006	3	75	150	200	50	160
271	912006	3	79	150	200	50	160
272	912006	3	83	150	200	50	160
273	922006	2	5	40	60	1	1725
274	922006	2	2	40	60	1	1725
275	922006	2	69	50	100	50	1150
276	922006	2	70	50	100	50	1150
277	922006	2	76	50	100	50	1150
278	922006	2	80	50	100	50	1150
279	922006	2	84	50	100	50	1150
280	922006	3	69	150	200	50	160
281	922006	3	70	150	200	50	160
282	922006	3	76	150	200	50	160
283	922006	3	80	150	200	50	160
284	922006	3	84	150	200	50	160
285	932006	2	5	40	60	1	1725
286	932006	2	2	40	60	1	1725
287	932006	2	150	50	100	50	1438
288	932006	2	149	50	100	50	1438
289	932006	2	154	50	100	50	1437
290	932006	2	153	50	100	50	1437
291	932006	3	150	150	200	50	200
292	932006	3	149	150	200	50	200
293	932006	3	154	150	200	50	200
294	932006	3	153	150	200	50	200
295	913006	2	5	40	60	1	1350
296	913006	2	2	40	60	1	1350
297	913006	2	66	50	100	50	1348
298	913006	2	67	50	100	50	1348
299	913006	2	75	50	100	50	1348
300	913006	2	79	50	100	50	1348
301	913006	2	83	50	100	50	1348
302	913006	3	66	150	200	50	100
303	913006	3	67	150	200	50	100
304	913006	3	75	150	200	50	100
305	913006	3	79	150	200	50	100
306	913006	3	83	150	200	50	100
307	913006	4	132	250	300	50	12
308	913006	4	131	250	300	50	12
309	913006	4	158	350	500	50	12
310	913006	4	160	350	500	50	12
311	913006	4	161	350	500	50	12
312	923006	2	5	40	60	1	1350
313	923006	2	2	40	60	1	1350
314	923006	2	69	50	100	50	1348
315	923006	2	70	50	100	50	1348
316	923006	2	76	50	100	50	1348
317	923006	2	80	50	100	50	1348
318	923006	2	84	50	100	50	1348
319	923006	3	69	150	200	50	100
320	923006	3	70	150	200	50	100
321	923006	3	76	150	200	50	100
322	923006	3	80	150	200	50	100
323	923006	3	84	150	200	50	100
324	923006	4	132	250	300	50	12
325	923006	4	131	250	300	50	12
326	923006	4	158	350	500	50	12
327	923006	4	160	350	500	50	12
328	923006	4	161	350	500	50	12
329	933006	2	5	40	60	1	1574
330	933006	2	2	40	60	1	1574
331	933006	2	150	50	100	50	1573
332	933006	2	149	50	100	50	1573
333	933006	2	154	50	100	50	1573
334	933006	2	153	50	100	50	1573
335	933006	3	150	150	200	50	125
336	933006	3	149	150	200	50	125
337	933006	3	154	150	200	50	125
338	933006	3	153	150	200	50	125
339	933006	4	132	250	300	50	12
340	933006	4	131	250	300	50	12
341	933006	4	158	350	500	50	12
342	933006	4	160	350	500	50	12
343	933006	4	161	350	500	50	12
