唯一ID	奖励类型	剩余数量
133147	3	100
133148	3	90
133149	3	87
133150	1	1
133151	2	1
133152	2	1
133153	2	3
133154	2	5
133155	2	10
133156	3	100
133157	3	90
133158	3	90
133159	3	9
133160	3	90
133161	1	1
133162	2	5
133163	2	10
133164	2	1
133165	2	50
133166	2	90
133167	2	10
133168	3	90
133169	3	90
133170	3	50
133171	3	93
133172	1	7
133173	2	150
133174	2	50
133175	3	100
133176	3	500
133177	3	4003
133178	1	1
133179	2	5
133180	2	1
133181	2	20
133182	2	50
133183	3	50
133184	3	10
133185	3	50
133186	3	100
133187	3	100
133188	3	50
133189	1	30
133190	2	99999
133191	2	99999
133192	3	99999
133193	3	99999
133194	3	99999
133195	3	99999
133196	3	99999
133197	3	99999
133198	1	1
133199	2	5
133200	2	2
133201	2	10
133202	3	90
133203	3	30
133204	3	70
133205	3	70
133206	3	70
133207	1	1
133208	2	1
133209	2	1
133210	2	2
133211	2	15
133212	3	25
133213	3	2
133214	3	90
133215	3	100
133216	3	43
133217	3	100
133218	1	3
133219	2	3
133220	2	2
133221	2	20
133222	3	999
133223	3	999
133224	3	9999
133225	3	9999
133226	3	9999
133227	1	1
133228	2	1
133229	2	1
133230	2	10
133231	2	10
133232	3	100
133233	3	100
133234	3	90
133235	3	87
133236	1	1
133237	2	1
133238	2	1
133239	2	3
133240	2	5
133241	2	10
133242	3	100
133243	3	90
133244	3	90
133245	3	9
133246	3	90
133247	1	1
133248	2	5
133249	2	10
133250	2	1
133251	2	50
133252	2	90
133253	2	10
133254	3	90
133255	3	90
133256	3	50
133257	3	93
133258	1	7
133259	2	150
133260	2	50
133261	3	100
133262	3	500
133263	3	4003
133264	1	1
133265	2	1
133266	2	1
133267	2	1
133268	3	1
133269	3	30
133270	3	5
133271	3	15
133272	3	20
133273	3	20
133274	1	1
133275	2	1
133276	2	1
133277	2	5
133278	3	30
133279	3	30
133280	3	30
133281	3	30
133282	3	25
133283	1	1
133284	2	1
133285	2	1
133286	2	1
133287	2	3
133288	3	3
133289	3	60
133290	3	60
133291	3	60
133292	1	1
133293	2	1
133294	2	1
133295	2	3
133296	2	3
133297	3	3
133298	3	80
133299	3	80
133300	3	80
133301	1	5
133302	2	9999
133303	3	9999
133304	3	9999
133305	3	9999
133306	3	9999
133307	3	9999
133308	3	9999
133309	1	1
133310	2	1
133311	2	1
133312	2	10
133313	2	10
133314	3	100
133315	3	100
133316	3	90
133317	3	87
133318	1	1
133319	2	1
133320	2	3
133321	2	5
133322	2	2
133323	3	80
133324	3	90
133325	3	80
133326	3	50
133327	3	88
133328	1	2
133329	2	4
133330	2	20
133331	2	30
133332	2	40
133333	2	120
133334	2	30
133335	3	50
133336	3	100
133337	3	84
133338	3	500
133339	1	1
133340	2	1
133341	2	1
133342	2	10
133343	2	10
133344	3	100
133345	3	100
133346	3	90
133347	3	87
133348	1	1
133349	2	1
133350	2	3
133351	2	5
133352	2	2
133353	3	80
133354	3	90
133355	3	80
133356	3	50
133357	3	88
133358	1	2
133359	2	4
133360	2	20
133361	2	30
133362	2	40
133363	2	120
133364	2	30
133365	3	50
133366	3	100
133367	3	84
133368	3	500
133369	1	1
133370	2	5
133371	2	2
133372	2	10
133373	3	90
133374	3	30
133375	3	70
133376	3	70
133377	3	70
133378	1	1
133379	2	1
133380	2	1
133381	2	1
133382	3	1
133383	3	30
133384	3	5
133385	3	15
133386	3	20
133387	3	20
133388	1	1
133389	2	1
133390	2	1
133391	2	5
133392	3	30
133393	3	30
133394	3	30
133395	3	30
133396	3	25
133397	1	1
133398	2	1
133399	2	1
133400	2	1
133401	2	3
133402	3	3
133403	3	60
133404	3	60
133405	3	60
133406	1	1
133407	2	1
133408	2	1
133409	2	3
133410	2	3
133411	3	3
133412	3	80
133413	3	80
133414	3	80
133415	1	5
133416	2	9999
133417	3	9999
133418	3	9999
133419	3	9999
133420	3	9999
133421	3	9999
133422	3	9999
133423	1	1
133424	2	1
133425	2	3
133426	2	5
133427	2	50
133428	3	80
133429	3	20
133430	3	80
133431	1	1
133432	1	1
133433	1	1
133434	1	1
133435	1	1
133436	2	15
133437	2	5
133438	2	15
133439	2	30
133440	3	50
133441	3	180
133442	3	500
133443	1	1
133444	2	1
133445	2	1
133446	2	10
133447	2	10
133448	3	100
133449	3	120
133450	3	100
133451	3	132
133452	1	1
133453	2	1
133454	2	1
133455	2	3
133456	2	5
133457	2	10
133458	3	90
133459	3	110
133460	3	110
133461	3	24
133462	3	120
133463	1	1
133464	2	5
133465	2	10
133466	2	1
133467	2	50
133468	2	90
133469	2	10
133470	3	120
133471	3	90
133472	3	50
133473	3	98
133474	1	7
133475	2	150
133476	2	50
133477	3	100
133478	3	500
133479	3	4203
133480	1	1
133481	2	1
133482	2	3
133483	2	2
133484	2	12
133485	3	20
133486	3	2
133487	3	70
133488	3	60
133489	3	53
133490	3	120
133491	1	3
133492	2	4
133493	2	5
133494	2	30
133495	3	700
133496	3	600
133497	3	2000
133498	3	3000
133499	3	3000
133500	1	1
133501	1	1
133502	1	1
133503	1	1
133504	1	1
133505	2	15
133506	2	5
133507	2	15
133508	2	30
133509	3	50
133510	3	180
133511	3	500
133512	1	1
133513	2	1
133514	2	1
133515	2	10
133516	2	10
133517	3	100
133518	3	100
133519	3	90
133520	3	87
133521	1	1
133522	2	1
133523	2	1
133524	2	3
133525	2	5
133526	2	10
133527	3	100
133528	3	90
133529	3	90
133530	3	9
133531	3	90
133532	1	1
133533	2	5
133534	2	10
133535	2	1
133536	2	50
133537	2	90
133538	2	10
133539	3	90
133540	3	90
133541	3	50
133542	3	93
133543	1	7
133544	2	150
133545	2	50
133546	3	100
133547	3	500
133548	3	4003
133549	1	1
133550	2	1
133551	2	1
133552	2	1
133553	3	1
133554	3	30
133555	3	5
133556	3	15
133557	3	20
133558	3	20
133559	1	1
133560	2	1
133561	2	1
133562	2	5
133563	3	30
133564	3	30
133565	3	30
133566	3	30
133567	3	25
133568	1	1
133569	2	1
133570	2	1
133571	2	1
133572	2	3
133573	3	3
133574	3	60
133575	3	60
133576	3	60
133577	1	1
133578	2	1
133579	2	1
133580	2	3
133581	2	3
133582	3	3
133583	3	80
133584	3	80
133585	3	80
133586	1	5
133587	2	9999
133588	3	9999
133589	3	9999
133590	3	9999
133591	3	9999
133592	3	9999
133593	3	9999
133594	1	1
133595	2	1
133596	2	1
133597	2	1
133598	3	1
133599	3	30
133600	3	5
133601	3	15
133602	3	20
133603	3	20
133604	1	1
133605	2	1
133606	2	1
133607	2	5
133608	3	30
133609	3	30
133610	3	30
133611	3	30
133612	3	25
133613	1	1
133614	2	1
133615	2	1
133616	2	1
133617	2	3
133618	3	3
133619	3	60
133620	3	60
133621	3	60
133622	1	1
133623	2	1
133624	2	1
133625	2	3
133626	2	3
133627	3	3
133628	3	80
133629	3	80
133630	3	80
133631	1	5
133632	2	9999
133633	3	9999
133634	3	9999
133635	3	9999
133636	3	9999
133637	3	9999
133638	3	9999
133639	1	1
133640	2	5
133641	2	2
133642	2	10
133643	3	90
133644	3	30
133645	3	70
133646	3	70
133647	3	70
133648	1	1
133649	2	2
133650	2	2
133651	2	10
133652	3	15
133653	3	20
133654	3	10
133655	3	15
133656	3	20
133657	3	15
133658	1	1
133659	2	3
133660	2	1
133661	3	50
133662	3	50
133663	3	30
133664	3	100
133665	3	70
133666	3	80
133667	1	1
133668	2	1
133669	2	1
133670	2	10
133671	2	10
133672	3	100
133673	3	100
133674	3	90
133675	3	87
133676	1	1
133677	2	1
133678	2	3
133679	2	5
133680	2	2
133681	3	80
133682	3	90
133683	3	80
133684	3	50
133685	3	88
133686	1	2
133687	2	4
133688	2	20
133689	2	30
133690	2	40
133691	2	50
133692	2	30
133693	3	120
133694	3	100
133695	3	84
133696	3	500
133697	1	1
133698	2	30
133699	2	5
133700	2	30
133701	2	50
133702	3	150
133703	3	50
133704	3	100
133705	3	100
133706	3	100
133707	3	50
133708	1	30
133709	2	99999
133710	2	99999
133711	3	99999
133712	3	99999
133713	3	99999
133714	3	99999
133715	3	99999
133716	3	99999
133717	1	1
133718	2	1
133719	2	1
133720	2	1
133721	3	1
133722	3	30
133723	3	5
133724	3	15
133725	3	20
133726	3	20
133727	1	1
133728	2	1
133729	2	1
133730	2	5
133731	3	30
133732	3	30
133733	3	30
133734	3	30
133735	3	25
133736	1	1
133737	2	1
133738	2	1
133739	2	1
133740	2	3
133741	3	3
133742	3	60
133743	3	60
133744	3	60
133745	1	1
133746	2	1
133747	2	1
133748	2	3
133749	2	3
133750	3	3
133751	3	80
133752	3	80
133753	3	80
133754	1	5
133755	2	9999
133756	3	9999
133757	3	9999
133758	3	9999
133759	3	9999
133760	3	9999
133761	3	9999
133762	1	1
133763	2	1
133764	2	1
133765	2	1
133766	3	1
133767	3	30
133768	3	5
133769	3	15
133770	3	20
133771	3	20
133772	1	1
133773	2	1
133774	2	1
133775	2	5
133776	3	30
133777	3	30
133778	3	30
133779	3	30
133780	3	25
133781	1	1
133782	2	1
133783	2	1
133784	2	1
133785	2	3
133786	3	3
133787	3	60
133788	3	60
133789	3	60
133790	1	1
133791	2	1
133792	2	1
133793	2	3
133794	2	3
133795	3	3
133796	3	80
133797	3	80
133798	3	80
133799	1	5
133800	2	9999
133801	3	9999
133802	3	9999
133803	3	9999
133804	3	9999
133805	3	9999
133806	3	9999
133807	1	1
133808	2	1
133809	2	1
133810	2	10
133811	2	10
133812	3	100
133813	3	100
133814	3	90
133815	3	87
133816	1	1
133817	2	1
133818	2	1
133819	2	3
133820	2	5
133821	2	10
133822	3	100
133823	3	90
133824	3	90
133825	3	9
133826	3	90
133827	1	1
133828	2	5
133829	2	10
133830	2	1
133831	2	50
133832	2	90
133833	2	10
133834	3	90
133835	3	90
133836	3	50
133837	3	93
133838	1	7
133839	2	150
133840	2	50
133841	3	100
133842	3	500
133843	3	4003
133844	1	1
133845	2	1
133846	2	3
133847	2	5
133848	3	20
133849	3	50
133850	3	20
133851	3	90
133852	3	50
133853	1	1
133854	2	1
133855	2	4
133856	2	5
133857	3	30
133858	3	50
133859	3	20
133860	3	90
133861	3	59
133862	1	1
133863	2	1
133864	2	4
133865	2	5
133866	3	30
133867	3	60
133868	3	20
133869	3	80
133870	3	89
133871	1	1
133872	2	30
133873	2	5
133874	2	30
133875	2	50
133876	3	150
133877	3	50
133878	3	100
133879	3	100
133880	3	100
133881	3	50
133882	1	30
133883	2	99999
133884	2	99999
133885	3	99999
133886	3	99999
133887	3	99999
133888	3	99999
133889	3	99999
133890	3	99999
133891	1	1
133892	2	1
133893	2	1
133894	2	1
133895	3	1
133896	3	30
133897	3	5
133898	3	15
133899	3	20
133900	3	20
133901	1	1
133902	2	1
133903	2	1
133904	2	5
133905	3	30
133906	3	30
133907	3	30
133908	3	30
133909	3	25
133910	1	1
133911	2	1
133912	2	1
133913	2	1
133914	2	3
133915	3	3
133916	3	60
133917	3	60
133918	3	60
133919	1	1
133920	2	1
133921	2	1
133922	2	3
133923	2	3
133924	3	3
133925	3	80
133926	3	80
133927	3	80
133928	1	5
133929	2	9999
133930	3	9999
133931	3	9999
133932	3	9999
133933	3	9999
133934	3	9999
133935	3	9999
133936	1	1
133937	2	5
133938	2	2
133939	2	10
133940	3	90
133941	3	30
133942	3	70
133943	3	70
133944	3	70
133945	1	1
133946	2	1
133947	2	1
133948	2	10
133949	2	10
133950	3	100
133951	3	100
133952	3	90
133953	3	87
133954	1	1
133955	2	1
133956	2	1
133957	2	3
133958	2	5
133959	2	10
133960	3	100
133961	3	90
133962	3	90
133963	3	9
133964	3	90
133965	1	1
133966	2	5
133967	2	10
133968	2	1
133969	2	50
133970	2	90
133971	2	10
133972	3	90
133973	3	90
133974	3	50
133975	3	93
133976	1	7
133977	2	150
133978	2	50
133979	3	100
133980	3	500
133981	3	4003
133982	1	1
133983	2	3
133984	2	1
133985	3	50
133986	3	50
133987	3	30
133988	3	100
133989	3	70
133990	3	80
133991	1	1
133992	2	1
133993	2	5
133994	2	1
133995	2	10
133996	3	50
133997	3	180
133998	3	30
133999	3	50
134000	3	80
134001	3	97
134002	1	1
134003	2	1
134004	2	1
134005	2	1
134006	3	1
134007	3	30
134008	3	5
134009	3	15
134010	3	20
134011	3	20
134012	1	1
134013	2	1
134014	2	1
134015	2	5
134016	3	30
134017	3	30
134018	3	30
134019	3	30
134020	3	25
134021	1	1
134022	2	1
134023	2	1
134024	2	1
134025	2	3
134026	3	3
134027	3	60
134028	3	60
134029	3	60
134030	1	1
134031	2	1
134032	2	1
134033	2	3
134034	2	3
134035	3	3
134036	3	80
134037	3	80
134038	3	80
134039	1	5
134040	2	9999
134041	3	9999
134042	3	9999
134043	3	9999
134044	3	9999
134045	3	9999
134046	3	9999
134047	1	1
134048	2	30
134049	2	5
134050	2	30
134051	2	50
134052	3	150
134053	3	50
134054	3	100
134055	3	100
134056	3	100
134057	3	50
134058	1	30
134059	2	99999
134060	2	99999
134061	3	99999
134062	3	99999
134063	3	99999
134064	3	99999
134065	3	99999
134066	3	99999
134067	1	1
134068	2	1
134069	2	1
134070	2	10
134071	2	10
134072	3	100
134073	3	100
134074	3	90
134075	3	87
134076	1	1
134077	2	1
134078	2	3
134079	2	5
134080	2	2
134081	3	80
134082	3	90
134083	3	80
134084	3	50
134085	3	88
134086	1	2
134087	2	4
134088	2	20
134089	2	30
134090	2	40
134091	2	120
134092	2	30
134093	3	50
134094	3	100
134095	3	84
134096	3	500
134097	1	1
134098	2	1
134099	2	1
134100	2	10
134101	2	10
134102	3	100
134103	3	100
134104	3	90
134105	3	87
134106	1	1
134107	2	1
134108	2	3
134109	2	5
134110	2	2
134111	3	80
134112	3	90
134113	3	80
134114	3	50
134115	3	88
134116	1	2
134117	2	4
134118	2	20
134119	2	30
134120	2	40
134121	2	120
134122	2	30
134123	3	50
134124	3	100
134125	3	84
134126	3	500
134127	1	1
134128	2	5
134129	2	2
134130	2	10
134131	3	90
134132	3	30
134133	3	70
134134	3	70
134135	3	70
134136	1	1
134137	2	1
134138	2	1
134139	2	1
134140	2	1
134141	3	1
134142	3	3
134143	3	5
134144	1	1
134145	2	1
134146	2	1
134147	2	1
134148	3	1
134149	3	30
134150	3	15
134151	3	20
134152	3	20
134153	1	1
134154	2	1
134155	2	1
134156	2	5
134157	3	30
134158	3	30
134159	3	30
134160	3	30
134161	3	25
134162	1	1
134163	2	1
134164	2	1
134165	2	1
134166	2	3
134167	3	3
134168	3	60
134169	3	60
134170	3	60
134171	1	1
134172	2	1
134173	2	1
134174	2	3
134175	2	3
134176	3	3
134177	3	80
134178	3	80
134179	3	80
134180	1	5
134181	2	9999
134182	3	9999
134183	3	9999
134184	3	9999
134185	3	9999
134186	3	9999
134187	3	9999
134188	1	1
134189	2	5
134190	2	2
134191	2	10
134192	3	90
134193	3	30
134194	3	70
134195	3	70
134196	3	70
134197	1	1
134198	2	1
134199	2	1
134200	2	10
134201	2	10
134202	3	100
134203	3	100
134204	3	90
134205	3	87
134206	1	1
134207	2	1
134208	2	1
134209	2	3
134210	2	5
134211	2	10
134212	3	100
134213	3	90
134214	3	90
134215	3	9
134216	3	90
134217	1	1
134218	2	5
134219	2	10
134220	2	1
134221	2	50
134222	2	90
134223	2	10
134224	3	90
134225	3	90
134226	3	50
134227	3	93
134228	1	7
134229	2	150
134230	2	50
134231	3	100
134232	3	500
134233	3	4003
134234	1	1
134235	2	1
134236	2	5
134237	2	1
134238	2	10
134239	3	50
134240	3	120
134241	3	30
134242	3	50
134243	3	50
134244	3	87
134245	1	1
134246	2	1
134247	2	1
134248	2	1
134249	3	1
134250	3	30
134251	3	15
134252	3	20
134253	3	20
134254	1	1
134255	2	1
134256	2	1
134257	2	5
134258	3	30
134259	3	30
134260	3	30
134261	3	30
134262	3	25
134263	1	1
134264	2	1
134265	2	1
134266	2	1
134267	2	3
134268	3	3
134269	3	60
134270	3	60
134271	3	60
134272	1	1
134273	2	1
134274	2	1
134275	2	3
134276	2	3
134277	3	3
134278	3	80
134279	3	80
134280	3	80
134281	1	5
134282	2	9999
134283	3	9999
134284	3	9999
134285	3	9999
134286	3	9999
134287	3	9999
134288	3	9999
134289	1	1
134290	2	30
134291	2	200
134292	2	1
134293	2	1
134294	2	10
134295	3	50
134296	3	100
134297	3	30
134298	3	100
134299	3	50
134300	1	30
134301	2	99999
134302	2	99999
134303	3	99999
134304	3	99999
134305	3	99999
134306	3	99999
134307	3	99999
134308	3	99999
134309	1	1
134310	2	1
134311	2	1
134312	2	10
134313	2	10
134314	3	100
134315	3	100
134316	3	90
134317	3	87
134318	1	1
134319	2	1
134320	2	1
134321	2	3
134322	2	5
134323	2	10
134324	3	100
134325	3	90
134326	3	90
134327	3	9
134328	3	90
134329	1	1
134330	2	1
134331	2	1
134332	2	3
134333	2	30
134334	2	15
134335	3	5
134336	3	150
134337	3	95
134338	3	20
134339	3	60
134340	1	1
134341	2	1
134342	2	1
134343	2	1
134344	3	1
134345	3	30
134346	3	15
134347	3	20
134348	3	20
134349	1	1
134350	2	1
134351	2	1
134352	2	5
134353	3	30
134354	3	30
134355	3	30
134356	3	30
134357	3	25
134358	1	1
134359	2	1
134360	2	1
134361	2	1
134362	2	3
134363	3	3
134364	3	60
134365	3	60
134366	3	60
134367	1	1
134368	2	1
134369	2	1
134370	2	3
134371	2	3
134372	3	3
134373	3	80
134374	3	80
134375	3	80
134376	1	5
134377	2	9999
134378	3	9999
134379	3	9999
134380	3	9999
134381	3	9999
134382	3	9999
134383	3	9999
134384	1	1
134385	2	30
134386	2	200
134387	2	1
134388	2	1
134389	2	10
134390	3	50
134391	3	100
134392	3	30
134393	3	100
134394	3	50
134395	1	30
134396	2	99999
134397	2	99999
134398	3	99999
134399	3	99999
134400	3	99999
134401	3	99999
134402	3	99999
134403	3	99999
134404	1	1
134405	2	1
134406	2	1
134407	2	10
134408	2	10
134409	3	100
134410	3	100
134411	3	90
134412	3	87
134413	1	1
134414	2	1
134415	2	1
134416	2	3
134417	2	5
134418	2	10
134419	3	100
134420	3	90
134421	3	90
134422	3	9
134423	3	90
134424	1	1
134425	2	30
134426	2	200
134427	2	1
134428	2	1
134429	2	10
134430	3	50
134431	3	100
134432	3	30
134433	3	100
134434	3	50
134435	1	30
134436	2	99999
134437	2	99999
134438	3	99999
134439	3	99999
134440	3	99999
134441	3	99999
134442	3	99999
134443	3	99999
134444	1	1
134445	2	1
134446	2	1
134447	2	1
134448	3	1
134449	3	30
134450	3	15
134451	3	20
134452	3	20
134453	1	1
134454	2	1
134455	2	1
134456	2	5
134457	3	30
134458	3	30
134459	3	30
134460	3	30
134461	3	25
134462	1	1
134463	2	1
134464	2	1
134465	2	1
134466	2	3
134467	3	3
134468	3	60
134469	3	60
134470	3	60
134471	1	1
134472	2	1
134473	2	1
134474	2	3
134475	2	3
134476	3	3
134477	3	80
134478	3	80
134479	3	80
134480	1	5
134481	2	9999
134482	3	9999
134483	3	9999
134484	3	9999
134485	3	9999
134486	3	9999
134487	3	9999
134488	1	1
134489	2	30
134490	2	200
134491	2	1
134492	2	1
134493	2	10
134494	3	50
134495	3	100
134496	3	30
134497	3	100
134498	3	50
134499	1	30
134500	2	99999
134501	2	99999
134502	3	99999
134503	3	99999
134504	3	99999
134505	3	99999
134506	3	99999
134507	3	99999
134508	1	1
134509	2	1
134510	2	1
134511	2	10
134512	2	10
134513	3	100
134514	3	100
134515	3	90
134516	3	87
134517	1	1
134518	2	1
134519	2	1
134520	2	3
134521	2	5
134522	2	10
134523	3	100
134524	3	90
134525	3	90
134526	3	9
134527	3	90
134528	1	1
134529	2	1
134530	2	1
134531	2	3
134532	2	30
134533	2	15
134534	3	5
134535	3	150
134536	3	95
134537	3	20
134538	3	60
134539	1	1
134540	2	1
134541	2	1
134542	2	1
134543	3	1
134544	3	30
134545	3	15
134546	3	20
134547	3	20
134548	1	1
134549	2	1
134550	2	1
134551	2	5
134552	3	30
134553	3	30
134554	3	30
134555	3	30
134556	3	25
134557	1	1
134558	2	1
134559	2	1
134560	2	1
134561	2	3
134562	3	3
134563	3	60
134564	3	60
134565	3	60
134566	1	1
134567	2	1
134568	2	1
134569	2	3
134570	2	3
134571	3	3
134572	3	80
134573	3	80
134574	3	80
134575	1	5
134576	2	9999
134577	3	9999
134578	3	9999
134579	3	9999
134580	3	9999
134581	3	9999
134582	3	9999
134583	1	1
134584	2	1
134585	2	1
134586	2	10
134587	2	10
134588	3	90
134589	3	90
134590	3	90
134591	3	90
134592	1	1
134593	2	1
134594	2	1
134595	2	3
134596	2	5
134597	2	10
134598	3	90
134599	3	90
134600	3	90
134601	3	15
134602	3	100
134603	1	1
134604	2	5
134605	2	10
134606	2	1
134607	2	50
134608	2	100
134609	2	10
134610	3	100
134611	3	100
134612	3	50
134613	3	100
134614	1	7
134615	2	150
134616	2	50
134617	3	100
134618	3	500
134619	3	4103
134620	1	1
134621	2	30
134622	2	5
134623	2	30
134624	2	50
134625	3	150
134626	3	50
134627	3	100
134628	3	100
134629	3	100
134630	3	50
134631	1	1
134632	2	30
134633	2	5
134634	2	30
134635	2	50
134636	3	150
134637	3	50
134638	3	100
134639	3	100
134640	3	100
134641	3	50
134642	1	30
134643	2	99999
134644	2	99999
134645	3	99999
134646	3	99999
134647	3	99999
134648	3	99999
134649	3	99999
134650	3	99999
