流水号	星之子天赋	属性等级	升级消耗技能点	天赋属性	觉醒天赋属性	天赋名称	天赋描述	前置 天赋	需要角色天赋组等级	需要星之子天赋最低等级	天赋Icon	所在位置	评分类型	值/公式
11	1001	10	3	1,1900;23,380;236,1140	1,3800	StarChildTalentName_1	StarChildTalentDes_1		450	7	yc_wheel_aries	1	2	1330
12	1001	11	3	1,2150;23,430;236,1290	1,4300	StarChildTalentName_1	StarChildTalentDes_1		450	8	yc_wheel_aries	1	2	1505
13	1001	12	0	1,2400;23,480;236,1440	1,4800	StarChildTalentName_1	StarChildTalentDes_1		450	9	yc_wheel_aries	1	2	1680
14	1002	0	1	1,0;22,0;235,0	1,0	StarChildTalentName_2	StarChildTalentDes_2		0	0	yc_wheel_taurus	2	2	0
15	1002	1	1	1,150;22,30;235,90	1,300	StarChildTalentName_2	StarChildTalentDes_2		200	0	yc_wheel_taurus	2	2	105
16	1002	2	1	1,300;22,60;235,180	1,600	StarChildTalentName_2	StarChildTalentDes_2		200	0	yc_wheel_taurus	2	2	210
17	1002	3	1	1,450;22,90;235,270	1,900	StarChildTalentName_2	StarChildTalentDes_2		240	0	yc_wheel_taurus	2	2	315
18	1002	4	2	1,600;22,120;235,360	1,1200	StarChildTalentName_2	StarChildTalentDes_2		270	1	yc_wheel_taurus	2	2	420
19	1002	5	2	1,800;22,160;235,480	1,1600	StarChildTalentName_2	StarChildTalentDes_2		300	2	yc_wheel_taurus	2	2	560
20	1002	6	2	1,1000;22,200;235,600	1,2000	StarChildTalentName_2	StarChildTalentDes_2		330	3	yc_wheel_taurus	2	2	700
21	1002	7	2	1,1200;22,240;235,720	1,2400	StarChildTalentName_2	StarChildTalentDes_2		360	4	yc_wheel_taurus	2	2	840
22	1002	8	3	1,1400;22,280;235,840	1,2800	StarChildTalentName_2	StarChildTalentDes_2		390	5	yc_wheel_taurus	2	2	980
23	1002	9	3	1,1650;22,330;235,990	1,3300	StarChildTalentName_2	StarChildTalentDes_2		420	6	yc_wheel_taurus	2	2	1155
24	1002	10	3	1,1900;22,380;235,1140	1,3800	StarChildTalentName_2	StarChildTalentDes_2		450	7	yc_wheel_taurus	2	2	1330
25	1002	11	3	1,2150;22,430;235,1290	1,4300	StarChildTalentName_2	StarChildTalentDes_2		450	8	yc_wheel_taurus	2	2	1505
26	1002	12	0	1,2400;22,480;235,1440	1,4800	StarChildTalentName_2	StarChildTalentDes_2		450	9	yc_wheel_taurus	2	2	1680
27	1003	0	1	1,0;24,0;233,0	1,0	StarChildTalentName_3	StarChildTalentDes_3		0	0	yc_wheel_gemini	3	2	0
28	1003	1	1	1,150;24,30;233,90	1,300	StarChildTalentName_3	StarChildTalentDes_3		200	0	yc_wheel_gemini	3	2	105
29	1003	2	1	1,300;24,60;233,180	1,600	StarChildTalentName_3	StarChildTalentDes_3		200	0	yc_wheel_gemini	3	2	210
30	1003	3	1	1,450;24,90;233,270	1,900	StarChildTalentName_3	StarChildTalentDes_3		240	0	yc_wheel_gemini	3	2	315
31	1003	4	2	1,600;24,120;233,360	1,1200	StarChildTalentName_3	StarChildTalentDes_3		270	1	yc_wheel_gemini	3	2	420
32	1003	5	2	1,800;24,160;233,480	1,1600	StarChildTalentName_3	StarChildTalentDes_3		300	2	yc_wheel_gemini	3	2	560
33	1003	6	2	1,1000;24,200;233,600	1,2000	StarChildTalentName_3	StarChildTalentDes_3		330	3	yc_wheel_gemini	3	2	700
34	1003	7	2	1,1200;24,240;233,720	1,2400	StarChildTalentName_3	StarChildTalentDes_3		360	4	yc_wheel_gemini	3	2	840
35	1003	8	3	1,1400;24,280;233,840	1,2800	StarChildTalentName_3	StarChildTalentDes_3		390	5	yc_wheel_gemini	3	2	980
36	1003	9	3	1,1650;24,330;233,990	1,3300	StarChildTalentName_3	StarChildTalentDes_3		420	6	yc_wheel_gemini	3	2	1155
37	1003	10	3	1,1900;24,380;233,1140	1,3800	StarChildTalentName_3	StarChildTalentDes_3		450	7	yc_wheel_gemini	3	2	1330
38	1003	11	3	1,2150;24,430;233,1290	1,4300	StarChildTalentName_3	StarChildTalentDes_3		450	8	yc_wheel_gemini	3	2	1505
39	1003	12	0	1,2400;24,480;233,1440	1,4800	StarChildTalentName_3	StarChildTalentDes_3		450	9	yc_wheel_gemini	3	2	1680
40	1004	0	1	1,0;26,0;240,0	1,0	StarChildTalentName_4	StarChildTalentDes_4		0	0	yc_wheel_cancer	4	2	0
41	1004	1	1	1,150;26,30;240,90	1,300	StarChildTalentName_4	StarChildTalentDes_4		200	0	yc_wheel_cancer	4	2	105
42	1004	2	1	1,300;26,60;240,180	1,600	StarChildTalentName_4	StarChildTalentDes_4		200	0	yc_wheel_cancer	4	2	210
43	1004	3	1	1,450;26,90;240,270	1,900	StarChildTalentName_4	StarChildTalentDes_4		240	0	yc_wheel_cancer	4	2	315
44	1004	4	2	1,600;26,120;240,360	1,1200	StarChildTalentName_4	StarChildTalentDes_4		270	1	yc_wheel_cancer	4	2	420
45	1004	5	2	1,800;26,160;240,480	1,1600	StarChildTalentName_4	StarChildTalentDes_4		300	2	yc_wheel_cancer	4	2	560
46	1004	6	2	1,1000;26,200;240,600	1,2000	StarChildTalentName_4	StarChildTalentDes_4		330	3	yc_wheel_cancer	4	2	700
47	1004	7	2	1,1200;26,240;240,720	1,2400	StarChildTalentName_4	StarChildTalentDes_4		360	4	yc_wheel_cancer	4	2	840
48	1004	8	3	1,1400;26,280;240,840	1,2800	StarChildTalentName_4	StarChildTalentDes_4		390	5	yc_wheel_cancer	4	2	980
49	1004	9	3	1,1650;26,330;240,990	1,3300	StarChildTalentName_4	StarChildTalentDes_4		420	6	yc_wheel_cancer	4	2	1155
50	1004	10	3	1,1900;26,380;240,1140	1,3800	StarChildTalentName_4	StarChildTalentDes_4		450	7	yc_wheel_cancer	4	2	1330
51	1004	11	3	1,2150;26,430;240,1290	1,4300	StarChildTalentName_4	StarChildTalentDes_4		450	8	yc_wheel_cancer	4	2	1505
52	1004	12	0	1,2400;26,480;240,1440	1,4800	StarChildTalentName_4	StarChildTalentDes_4		450	9	yc_wheel_cancer	4	2	1680
53	1005	0	1	3,0;25,0;232,0	3,0	StarChildTalentName_5	StarChildTalentDes_5		0	0	yc_wheel_leo	5	2	0
54	1005	1	1	3,15;25,30;232,90	3,30	StarChildTalentName_5	StarChildTalentDes_5		200	0	yc_wheel_leo	5	2	105
55	1005	2	1	3,30;25,60;232,180	3,60	StarChildTalentName_5	StarChildTalentDes_5		200	0	yc_wheel_leo	5	2	210
56	1005	3	1	3,45;25,90;232,270	3,90	StarChildTalentName_5	StarChildTalentDes_5		240	0	yc_wheel_leo	5	2	315
57	1005	4	2	3,60;25,120;232,360	3,120	StarChildTalentName_5	StarChildTalentDes_5		270	1	yc_wheel_leo	5	2	420
58	1005	5	2	3,80;25,160;232,480	3,160	StarChildTalentName_5	StarChildTalentDes_5		300	2	yc_wheel_leo	5	2	560
59	1005	6	2	3,100;25,200;232,600	3,200	StarChildTalentName_5	StarChildTalentDes_5		330	3	yc_wheel_leo	5	2	700
60	1005	7	2	3,120;25,240;232,720	3,240	StarChildTalentName_5	StarChildTalentDes_5		360	4	yc_wheel_leo	5	2	840
61	1005	8	3	3,140;25,280;232,840	3,280	StarChildTalentName_5	StarChildTalentDes_5		390	5	yc_wheel_leo	5	2	980
62	1005	9	3	3,165;25,330;232,990	3,330	StarChildTalentName_5	StarChildTalentDes_5		420	6	yc_wheel_leo	5	2	1155
63	1005	10	3	3,190;25,380;232,1140	3,380	StarChildTalentName_5	StarChildTalentDes_5		450	7	yc_wheel_leo	5	2	1330
64	1005	11	3	3,215;25,430;232,1290	3,430	StarChildTalentName_5	StarChildTalentDes_5		450	8	yc_wheel_leo	5	2	1505
65	1005	12	0	3,240;25,480;232,1440	3,480	StarChildTalentName_5	StarChildTalentDes_5		450	9	yc_wheel_leo	5	2	1680
66	1006	0	1	3,0;24,0;231,0	3,0	StarChildTalentName_6	StarChildTalentDes_6		0	0	yc_wheel_virgo	6	2	0
67	1006	1	1	3,15;24,30;231,90	3,30	StarChildTalentName_6	StarChildTalentDes_6		200	0	yc_wheel_virgo	6	2	105
68	1006	2	1	3,30;24,60;231,180	3,60	StarChildTalentName_6	StarChildTalentDes_6		200	0	yc_wheel_virgo	6	2	210
69	1006	3	1	3,45;24,90;231,270	3,90	StarChildTalentName_6	StarChildTalentDes_6		240	0	yc_wheel_virgo	6	2	315
70	1006	4	2	3,60;24,120;231,360	3,120	StarChildTalentName_6	StarChildTalentDes_6		270	1	yc_wheel_virgo	6	2	420
71	1006	5	2	3,80;24,160;231,480	3,160	StarChildTalentName_6	StarChildTalentDes_6		300	2	yc_wheel_virgo	6	2	560
72	1006	6	2	3,100;24,200;231,600	3,200	StarChildTalentName_6	StarChildTalentDes_6		330	3	yc_wheel_virgo	6	2	700
73	1006	7	2	3,120;24,240;231,720	3,240	StarChildTalentName_6	StarChildTalentDes_6		360	4	yc_wheel_virgo	6	2	840
74	1006	8	3	3,140;24,280;231,840	3,280	StarChildTalentName_6	StarChildTalentDes_6		390	5	yc_wheel_virgo	6	2	980
75	1006	9	3	3,165;24,330;231,990	3,330	StarChildTalentName_6	StarChildTalentDes_6		420	6	yc_wheel_virgo	6	2	1155
76	1006	10	3	3,190;24,380;231,1140	3,380	StarChildTalentName_6	StarChildTalentDes_6		450	7	yc_wheel_virgo	6	2	1330
77	1006	11	3	3,215;24,430;231,1290	3,430	StarChildTalentName_6	StarChildTalentDes_6		450	8	yc_wheel_virgo	6	2	1505
78	1006	12	0	3,240;24,480;231,1440	3,480	StarChildTalentName_6	StarChildTalentDes_6		450	9	yc_wheel_virgo	6	2	1680
79	1007	0	1	3,0;22,0;230,0	3,0	StarChildTalentName_7	StarChildTalentDes_7		0	0	yc_wheel_libra	7	2	0
80	1007	1	1	3,15;22,30;230,90	3,30	StarChildTalentName_7	StarChildTalentDes_7		200	0	yc_wheel_libra	7	2	105
81	1007	2	1	3,30;22,60;230,180	3,60	StarChildTalentName_7	StarChildTalentDes_7		200	0	yc_wheel_libra	7	2	210
82	1007	3	1	3,45;22,90;230,270	3,90	StarChildTalentName_7	StarChildTalentDes_7		240	0	yc_wheel_libra	7	2	315
83	1007	4	2	3,60;22,120;230,360	3,120	StarChildTalentName_7	StarChildTalentDes_7		270	1	yc_wheel_libra	7	2	420
84	1007	5	2	3,80;22,160;230,480	3,160	StarChildTalentName_7	StarChildTalentDes_7		300	2	yc_wheel_libra	7	2	560
85	1007	6	2	3,100;22,200;230,600	3,200	StarChildTalentName_7	StarChildTalentDes_7		330	3	yc_wheel_libra	7	2	700
86	1007	7	2	3,120;22,240;230,720	3,240	StarChildTalentName_7	StarChildTalentDes_7		360	4	yc_wheel_libra	7	2	840
87	1007	8	3	3,140;22,280;230,840	3,280	StarChildTalentName_7	StarChildTalentDes_7		390	5	yc_wheel_libra	7	2	980
88	1007	9	3	3,165;22,330;230,990	3,330	StarChildTalentName_7	StarChildTalentDes_7		420	6	yc_wheel_libra	7	2	1155
89	1007	10	3	3,190;22,380;230,1140	3,380	StarChildTalentName_7	StarChildTalentDes_7		450	7	yc_wheel_libra	7	2	1330
90	1007	11	3	3,215;22,430;230,1290	3,430	StarChildTalentName_7	StarChildTalentDes_7		450	8	yc_wheel_libra	7	2	1505
91	1007	12	0	3,240;22,480;230,1440	3,480	StarChildTalentName_7	StarChildTalentDes_7		450	9	yc_wheel_libra	7	2	1680
92	1008	0	1	3,0;21,0;234,0	3,0	StarChildTalentName_8	StarChildTalentDes_8		0	0	yc_wheel_scorpio	8	2	0
93	1008	1	1	3,15;21,30;234,90	3,30	StarChildTalentName_8	StarChildTalentDes_8		200	0	yc_wheel_scorpio	8	2	105
94	1008	2	1	3,30;21,60;234,180	3,60	StarChildTalentName_8	StarChildTalentDes_8		200	0	yc_wheel_scorpio	8	2	210
95	1008	3	1	3,45;21,90;234,270	3,90	StarChildTalentName_8	StarChildTalentDes_8		240	0	yc_wheel_scorpio	8	2	315
96	1008	4	2	3,60;21,120;234,360	3,120	StarChildTalentName_8	StarChildTalentDes_8		270	1	yc_wheel_scorpio	8	2	420
97	1008	5	2	3,80;21,160;234,480	3,160	StarChildTalentName_8	StarChildTalentDes_8		300	2	yc_wheel_scorpio	8	2	560
98	1008	6	2	3,100;21,200;234,600	3,200	StarChildTalentName_8	StarChildTalentDes_8		330	3	yc_wheel_scorpio	8	2	700
99	1008	7	2	3,120;21,240;234,720	3,240	StarChildTalentName_8	StarChildTalentDes_8		360	4	yc_wheel_scorpio	8	2	840
100	1008	8	3	3,140;21,280;234,840	3,280	StarChildTalentName_8	StarChildTalentDes_8		390	5	yc_wheel_scorpio	8	2	980
101	1008	9	3	3,165;21,330;234,990	3,330	StarChildTalentName_8	StarChildTalentDes_8		420	6	yc_wheel_scorpio	8	2	1155
102	1008	10	3	3,190;21,380;234,1140	3,380	StarChildTalentName_8	StarChildTalentDes_8		450	7	yc_wheel_scorpio	8	2	1330
103	1008	11	3	3,215;21,430;234,1290	3,430	StarChildTalentName_8	StarChildTalentDes_8		450	8	yc_wheel_scorpio	8	2	1505
104	1008	12	0	3,240;21,480;234,1440	3,480	StarChildTalentName_8	StarChildTalentDes_8		450	9	yc_wheel_scorpio	8	2	1680
105	1009	0	1	4,0;26,0;237,0	4,0	StarChildTalentName_9	StarChildTalentDes_9		0	0	yc_wheel_sagittarius	9	2	0
106	1009	1	1	4,15;26,30;237,90	4,30	StarChildTalentName_9	StarChildTalentDes_9		200	0	yc_wheel_sagittarius	9	2	105
107	1009	2	1	4,30;26,60;237,180	4,60	StarChildTalentName_9	StarChildTalentDes_9		200	0	yc_wheel_sagittarius	9	2	210
108	1009	3	1	4,45;26,90;237,270	4,90	StarChildTalentName_9	StarChildTalentDes_9		240	0	yc_wheel_sagittarius	9	2	315
109	1009	4	2	4,60;26,120;237,360	4,120	StarChildTalentName_9	StarChildTalentDes_9		270	1	yc_wheel_sagittarius	9	2	420
110	1009	5	2	4,80;26,160;237,480	4,160	StarChildTalentName_9	StarChildTalentDes_9		300	2	yc_wheel_sagittarius	9	2	560
111	1009	6	2	4,100;26,200;237,600	4,200	StarChildTalentName_9	StarChildTalentDes_9		330	3	yc_wheel_sagittarius	9	2	700
112	1009	7	2	4,120;26,240;237,720	4,240	StarChildTalentName_9	StarChildTalentDes_9		360	4	yc_wheel_sagittarius	9	2	840
113	1009	8	3	4,140;26,280;237,840	4,280	StarChildTalentName_9	StarChildTalentDes_9		390	5	yc_wheel_sagittarius	9	2	980
114	1009	9	3	4,165;26,330;237,990	4,330	StarChildTalentName_9	StarChildTalentDes_9		420	6	yc_wheel_sagittarius	9	2	1155
115	1009	10	3	4,190;26,380;237,1140	4,380	StarChildTalentName_9	StarChildTalentDes_9		450	7	yc_wheel_sagittarius	9	2	1330
116	1009	11	3	4,215;26,430;237,1290	4,430	StarChildTalentName_9	StarChildTalentDes_9		450	8	yc_wheel_sagittarius	9	2	1505
117	1009	12	0	4,240;26,480;237,1440	4,480	StarChildTalentName_9	StarChildTalentDes_9		450	9	yc_wheel_sagittarius	9	2	1680
118	1010	0	1	4,0;25,0;241,0	4,0	StarChildTalentName_10	StarChildTalentDes_10		0	0	yc_wheel_capricorn	10	2	0
119	1010	1	1	4,15;25,30;241,90	4,30	StarChildTalentName_10	StarChildTalentDes_10		200	0	yc_wheel_capricorn	10	2	105
120	1010	2	1	4,30;25,60;241,180	4,60	StarChildTalentName_10	StarChildTalentDes_10		200	0	yc_wheel_capricorn	10	2	210
121	1010	3	1	4,45;25,90;241,270	4,90	StarChildTalentName_10	StarChildTalentDes_10		240	0	yc_wheel_capricorn	10	2	315
122	1010	4	2	4,60;25,120;241,360	4,120	StarChildTalentName_10	StarChildTalentDes_10		270	1	yc_wheel_capricorn	10	2	420
123	1010	5	2	4,80;25,160;241,480	4,160	StarChildTalentName_10	StarChildTalentDes_10		300	2	yc_wheel_capricorn	10	2	560
124	1010	6	2	4,100;25,200;241,600	4,200	StarChildTalentName_10	StarChildTalentDes_10		330	3	yc_wheel_capricorn	10	2	700
125	1010	7	2	4,120;25,240;241,720	4,240	StarChildTalentName_10	StarChildTalentDes_10		360	4	yc_wheel_capricorn	10	2	840
126	1010	8	3	4,140;25,280;241,840	4,280	StarChildTalentName_10	StarChildTalentDes_10		390	5	yc_wheel_capricorn	10	2	980
127	1010	9	3	4,165;25,330;241,990	4,330	StarChildTalentName_10	StarChildTalentDes_10		420	6	yc_wheel_capricorn	10	2	1155
128	1010	10	3	4,190;25,380;241,1140	4,380	StarChildTalentName_10	StarChildTalentDes_10		450	7	yc_wheel_capricorn	10	2	1330
129	1010	11	3	4,215;25,430;241,1290	4,430	StarChildTalentName_10	StarChildTalentDes_10		450	8	yc_wheel_capricorn	10	2	1505
130	1010	12	0	4,240;25,480;241,1440	4,480	StarChildTalentName_10	StarChildTalentDes_10		450	9	yc_wheel_capricorn	10	2	1680
131	1011	0	1	4,0;23,0;238,0	4,0	StarChildTalentName_11	StarChildTalentDes_11		0	0	yc_wheel_aquarius	11	2	0
132	1011	1	1	4,15;23,30;238,90	4,30	StarChildTalentName_11	StarChildTalentDes_11		200	0	yc_wheel_aquarius	11	2	105
133	1011	2	1	4,30;23,60;238,180	4,60	StarChildTalentName_11	StarChildTalentDes_11		200	0	yc_wheel_aquarius	11	2	210
134	1011	3	1	4,45;23,90;238,270	4,90	StarChildTalentName_11	StarChildTalentDes_11		240	0	yc_wheel_aquarius	11	2	315
135	1011	4	2	4,60;23,120;238,360	4,120	StarChildTalentName_11	StarChildTalentDes_11		270	1	yc_wheel_aquarius	11	2	420
136	1011	5	2	4,80;23,160;238,480	4,160	StarChildTalentName_11	StarChildTalentDes_11		300	2	yc_wheel_aquarius	11	2	560
137	1011	6	2	4,100;23,200;238,600	4,200	StarChildTalentName_11	StarChildTalentDes_11		330	3	yc_wheel_aquarius	11	2	700
138	1011	7	2	4,120;23,240;238,720	4,240	StarChildTalentName_11	StarChildTalentDes_11		360	4	yc_wheel_aquarius	11	2	840
139	1011	8	3	4,140;23,280;238,840	4,280	StarChildTalentName_11	StarChildTalentDes_11		390	5	yc_wheel_aquarius	11	2	980
140	1011	9	3	4,165;23,330;238,990	4,330	StarChildTalentName_11	StarChildTalentDes_11		420	6	yc_wheel_aquarius	11	2	1155
141	1011	10	3	4,190;23,380;238,1140	4,380	StarChildTalentName_11	StarChildTalentDes_11		450	7	yc_wheel_aquarius	11	2	1330
142	1011	11	3	4,215;23,430;238,1290	4,430	StarChildTalentName_11	StarChildTalentDes_11		450	8	yc_wheel_aquarius	11	2	1505
143	1011	12	0	4,240;23,480;238,1440	4,480	StarChildTalentName_11	StarChildTalentDes_11		450	9	yc_wheel_aquarius	11	2	1680
144	1012	0	1	4,0;21,0;239,0	4,0	StarChildTalentName_12	StarChildTalentDes_12		0	0	yc_wheel_pisces	12	2	0
145	1012	1	1	4,15;21,30;239,90	4,30	StarChildTalentName_12	StarChildTalentDes_12		200	0	yc_wheel_pisces	12	2	105
146	1012	2	1	4,30;21,60;239,180	4,60	StarChildTalentName_12	StarChildTalentDes_12		200	0	yc_wheel_pisces	12	2	210
147	1012	3	1	4,45;21,90;239,270	4,90	StarChildTalentName_12	StarChildTalentDes_12		240	0	yc_wheel_pisces	12	2	315
148	1012	4	2	4,60;21,120;239,360	4,120	StarChildTalentName_12	StarChildTalentDes_12		270	1	yc_wheel_pisces	12	2	420
149	1012	5	2	4,80;21,160;239,480	4,160	StarChildTalentName_12	StarChildTalentDes_12		300	2	yc_wheel_pisces	12	2	560
150	1012	6	2	4,100;21,200;239,600	4,200	StarChildTalentName_12	StarChildTalentDes_12		330	3	yc_wheel_pisces	12	2	700
151	1012	7	2	4,120;21,240;239,720	4,240	StarChildTalentName_12	StarChildTalentDes_12		360	4	yc_wheel_pisces	12	2	840
152	1012	8	3	4,140;21,280;239,840	4,280	StarChildTalentName_12	StarChildTalentDes_12		390	5	yc_wheel_pisces	12	2	980
153	1012	9	3	4,165;21,330;239,990	4,330	StarChildTalentName_12	StarChildTalentDes_12		420	6	yc_wheel_pisces	12	2	1155
154	1012	10	3	4,190;21,380;239,1140	4,380	StarChildTalentName_12	StarChildTalentDes_12		450	7	yc_wheel_pisces	12	2	1330
155	1012	11	3	4,215;21,430;239,1290	4,430	StarChildTalentName_12	StarChildTalentDes_12		450	8	yc_wheel_pisces	12	2	1505
156	1012	12	0	4,240;21,480;239,1440	4,480	StarChildTalentName_12	StarChildTalentDes_12		450	9	yc_wheel_pisces	12	2	1680
