效果id	职业	组id	功能ID	效果类型	技能品质	名称	ICON	效果描述	持续生效事件格数	初始等级	属性参数	效果参数	buff初始层数	buff失效后是否删除	解锁类型	解锁参数	解锁描述	是否在祝福加持展示	技能回收	商店中技能回收	buff叠加参数	buff叠加显示用状态
111	0	111	37	1	5	SkillNameskill61021	skill_60981	SkillDesskill61021	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61021	0	0	0			0	125	125		
112	0	112	37	1	5	SkillNameskill60121	skill_60121	SkillDesskill60121	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60121	0	0	0			0	125	125		
113	0	113	37	1	5	SkillNameskill61301	skill_61301	SkillDesskill61301	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61301	0	0	0			0	125	125		
114	0	114	37	1	5	SkillNameskill60041	skill_60041	SkillDesskill60041	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60041	0	0	0			0	125	125		
115	0	115	37	1	5	SkillNameskill61141	skill_61141	SkillDesskill61141	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61141	0	0	0			0	125	125		
116	0	116	37	1	5	SkillNameskill61341	skill_61341	SkillDesskill61341	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61341	0	0	0			0	125	125		
117	0	117	37	1	5	SkillNameskill60161	skill_60161	SkillDesskill60161	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60161	0	0	0			0	125	125		
118	0	118	37	1	5	SkillNameskill61221	skill_61221	SkillDesskill61221	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61221	0	0	0			0	125	125		
119	0	119	37	1	5	SkillNameskill60221	skill_60221	SkillDesskill60221	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60221	0	0	0			0	125	125		
120	0	120	37	1	5	SkillNameskill60181	skill_60181	SkillDesskill60181	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60181	0	0	0			0	125	125		
121	0	121	37	1	5	SkillNameskill60201	skill_60201	SkillDesskill60201	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60201	0	0	0			0	125	125		
122	0	122	37	1	5	SkillNameskill60001	skill_60001	SkillDesskill60001	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60001	0	0	0			0	125	125		
123	0	123	37	1	5	SkillNameskill60021	skill_60021	SkillDesskill60021	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60021	0	0	0			0	125	125		
124	0	124	37	1	5	SkillNameskill61321	skill_61321	SkillDesskill61321	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61321	0	0	0			0	125	125		
125	0	125	37	1	5	SkillNameskill60141	skill_60141	SkillDesskill60141	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill60141	0	0	0			0	125	125		
126	0	126	37	1	5	SkillNameskill61161	skill_61161	SkillDesskill61161	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61161	0	0	0			0	125	125		
127	0	127	37	1	5	SkillNameskill61401	skill_61401	SkillDesskill61401	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61401	0	0	0			0	100	100		
128	0	128	37	1	4	SkillNameskill60061	skill_60061	SkillDesskill60061	-1	1	11,150;12,150;13,150;32,600;34,600	skill60061	0	0	0			0	100	100		
129	0	129	37	1	4	SkillNameskill60101	skill_60101	SkillDesskill60101	-1	1	11,150;12,150;13,150;32,600;34,600	skill60101	0	0	0			0	100	100		
130	0	130	37	1	4	SkillNameskill60081	skill_60081	SkillDesskill60081	-1	1	11,150;12,150;13,150;32,600;34,600	skill60081	0	0	0			0	100	100		
131	0	131	37	1	4	SkillNameskill60881	skill_60881	SkillDesskill60881	-1	1	11,150;12,150;13,150;32,600;34,600	skill60881	0	0	0			0	100	100		
132	0	132	37	1	4	SkillNameskill61081	skill_61081	SkillDesskill61081	-1	1	11,150;12,150;13,150;32,600;34,600	skill61081	0	0	0			0	100	100		
133	0	133	37	1	4	SkillNameskill60321	skill_60321	SkillDesskill60321	-1	1	11,150;12,150;13,150;32,600;34,600	skill60321	0	0	0			0	100	100		
134	0	134	37	1	4	SkillNameskill60861	skill_60861	SkillDesskill60861	-1	1	11,150;12,150;13,150;32,600;34,600	skill60861	0	0	0			0	100	100		
135	0	135	37	1	4	SkillNameskill60341	skill_60341	SkillDesskill60341	-1	1	11,150;12,150;13,150;32,600;34,600	skill60341	0	0	0			0	100	100		
136	0	136	37	1	4	SkillNameskill60381	skill_60381	SkillDesskill60381	-1	1	11,150;12,150;13,150;32,600;34,600	skill60381	0	0	0			0	100	100		
137	0	137	37	1	4	SkillNameskill60241	skill_pet1	SkillDesskill60241	-1	1	11,150;12,150;13,150;32,600;34,600	skill60241	0	0	0			0	100	100		
138	0	138	37	1	4	SkillNameskill60261	skill_pet2	SkillDesskill60261	-1	1	11,150;12,150;13,150;32,600;34,600	skill60261	0	0	0			0	100	100		
139	0	139	37	1	4	SkillNameskill60921	skill_60921	SkillDesskill60921	-1	1	11,150;12,150;13,150;32,600;34,600	skill60921	0	0	0			0	100	100		
140	0	140	37	1	4	SkillNameskill60301	skill_60301	SkillDesskill60301	-1	1	11,150;12,150;13,150;32,600;34,600	skill60301	0	0	0			0	100	100		
141	0	141	37	1	4	SkillNameskill60281	skill_60281	SkillDesskill60281	-1	1	11,150;12,150;13,150;32,600;34,600	skill60281	0	0	0			0	100	100		
142	0	142	37	1	4	SkillNameskill60401	skill_60401	SkillDesskill60401	-1	1	11,150;12,150;13,150;32,600;34,600	skill60401	0	0	0			0	100	100		
143	0	143	37	1	4	SkillNameskill60361	skill_60361	SkillDesskill60361	-1	1	11,150;12,150;13,150;32,600;34,600	skill60361	0	0	0			0	100	100		
144	0	144	37	1	3	SkillNameskill60901	skill_60901	SkillDesskill60901	-1	1	11,100;12,100;13,100;32,400;34,400	skill60901	0	0	0			0	75	75		
145	0	145	37	1	3	SkillNameskill60961	skill_60961	SkillDesskill60961	-1	1	11,100;12,100;13,100;32,400;34,400	skill60961	0	0	0			0	75	75		
146	0	146	37	1	3	SkillNameskill60481	skill_60481	SkillDesskill60481	-1	1	11,100;12,100;13,100;32,400;34,400	skill60481	0	0	0			0	75	75		
147	0	147	37	1	3	SkillNameskill60461	skill_60461	SkillDesskill60461	-1	1	11,100;12,100;13,100;32,400;34,400	skill60461	0	0	0			0	75	75		
148	0	148	37	1	3	SkillNameskill60501	skill_60501	SkillDesskill60501	-1	1	11,100;12,100;13,100;32,400;34,400	skill60501	0	0	0			0	75	75		
149	0	149	37	1	3	SkillNameskill60421	skill_60421	SkillDesskill60421	-1	1	11,100;12,100;13,100;32,400;34,400	skill60421	0	0	0			0	75	75		
150	0	150	37	1	3	SkillNameskill60841	skill_60841	SkillDesskill60841	-1	1	11,100;12,100;13,100;32,400;34,400	skill60841	0	0	0			0	75	75		
151	0	151	37	1	3	SkillNameskill60541	skill_60541	SkillDesskill60541	-1	1	11,100;12,100;13,100;32,400;34,400	skill60541	0	0	0			0	75	75		
152	0	152	37	1	3	SkillNameskill60441	skill_60441	SkillDesskill60441	-1	1	11,100;12,100;13,100;32,400;34,400	skill60441	0	0	0			0	75	75		
153	0	153	37	1	3	SkillNameskill60521	skill_60521	SkillDesskill60521	-1	1	11,100;12,100;13,100;32,400;34,400	skill60521	0	0	0			0	75	75		
154	0	154	37	1	2	SkillNameskill60781	skill_60781	SkillDesskill60781	-1	1	11,50;12,50;13,50;32,200;34,200	skill60781	0	0	0			0	50	50		
155	0	155	37	1	2	SkillNameskill60721	skill_10005	SkillDesskill60721	-1	1	11,50;12,50;13,50;32,200;34,200	skill60721	0	0	0			0	50	50		
156	0	156	37	1	2	SkillNameskill60701	skill_10004	SkillDesskill60701	-1	1	11,50;12,50;13,50;32,200;34,200	skill60701	0	0	0			0	50	50		
157	0	157	37	1	2	SkillNameskill60681	skill_60681	SkillDesskill60681	-1	1	11,50;12,50;13,50;32,200;34,200	skill60681	0	0	0			0	50	50		
158	0	158	37	1	2	SkillNameskill60821	skill_60821	SkillDesskill60821	-1	1	11,50;12,50;13,50;32,200;34,200	skill60821	0	0	0			0	50	50		
159	0	159	37	1	2	SkillNameskill60761	skill_60761	SkillDesskill60761	-1	1	11,50;12,50;13,50;32,200;34,200	skill60761	0	0	0			0	50	50		
160	0	160	37	1	2	SkillNameskill60801	skill_60801	SkillDesskill60801	-1	1	11,50;12,50;13,50;32,200;34,200	skill60801	0	0	0			0	50	50		
161	0	161	37	1	2	SkillNameskill60741	skill_60741	SkillDesskill60741	-1	1	11,50;12,50;13,50;32,200;34,200	skill60741	0	0	0			0	50	50		
201	0	201	124	2	5	SkillNameskill10010	skill_10010	SkillDesskill10010	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill10010	0	0	0			0	100	100		
202	0	202	124	2	5	SkillNameskill10011	skill_10011	SkillDesskill10011	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill10011	0	0	0			0	100	100		
203	0	203	124	2	5	SkillNameskill10012	skill_10012	SkillDesskill10012	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill10012	0	0	0			0	100	100		
204	0	204	124	2	5	SkillNameskill10013	skill_10013	SkillDesskill10013	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill10013	0	0	0			0	100	100		
205	0	205	124	2	5	SkillNameskill1202	skill_1202	SkillDesskill1202	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill1202	0	0	0			0	100	100		
206	0	206	124	2	5	SkillNameskill1119	skill_1119	SkillDesskill1119	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill1119	0	0	0			0	100	100		
207	0	207	124	2	5	SkillNameskill1010	skill_1010	SkillDesskill1010	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill1010	0	0	0			0	100	100		
208	0	208	124	2	5	SkillNameskill1316	skill_1316	SkillDesskill1316	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill1316	0	0	0			0	100	100		
209	0	209	124	2	5	SkillNameskill1414	skill_1414	SkillDesskill1414	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill1414	0	0	0			0	100	100		
210	0	210	124	2	5	SkillNameskill1515	skill_1515	SkillDesskill1515	-1	1	11,200;12,200;13,200;30,1000;52,1000	skill1515	0	0	0			0	100	100		
211	0	211	124	2	4	SkillNameskill10009	skill_10009	SkillDesskill10009	-1	1	11,120;12,120;13,120;30,600;52,600	skill10009	0	0	0			0	80	80		
212	0	212	124	2	4	SkillNameskill10002	skill_10002	SkillDesskill10002	-1	1	11,120;12,120;13,120;30,600;52,600	skill10002	0	0	0			0	80	80		
213	0	213	124	2	4	SkillNameskill10014	skill_10014	SkillDesskill10014	-1	1	11,120;12,120;13,120;30,600;52,600	skill10014	0	0	0			0	80	80		
214	0	214	124	2	4	SkillNameskill10015	skill_10015	SkillDesskill10015	-1	1	11,120;12,120;13,120;30,600;52,600	skill10015	0	0	0			0	80	80		
215	0	215	124	2	4	SkillNameskill1207	skill_1207	SkillDesskill1207	-1	1	11,120;12,120;13,120;30,600;52,600	skill1207	0	0	0			0	80	80		
216	0	216	124	2	4	SkillNameskill1112	skill_1112	SkillDesskill1112	-1	1	11,120;12,120;13,120;30,600;52,600	skill1112	0	0	0			0	80	80		
217	0	217	124	2	4	SkillNameskill1017	skill_1017	SkillDesskill1017	-1	1	11,120;12,120;13,120;30,600;52,600	skill1017	0	0	0			0	80	80		
218	0	218	124	2	4	SkillNameskill1311	skill_1311	SkillDesskill1311	-1	1	11,120;12,120;13,120;30,600;52,600	skill1311	0	0	0			0	80	80		
219	0	219	124	2	4	SkillNameskill1415	skill_1415	SkillDesskill1415	-1	1	11,120;12,120;13,120;30,600;52,600	skill1415	0	0	0			0	80	80		
220	0	220	124	2	4	SkillNameskill1514	skill_1514	SkillDesskill1514	-1	1	11,120;12,120;13,120;30,600;52,600	skill1514	0	0	0			0	80	80		
221	0	221	124	2	3	SkillNameskill10005	skill_10005	SkillDesskill10005	-1	1	11,80;12,80;13,80;30,400;52,400	skill10005	0	0	0			0	60	60		
222	0	222	124	2	3	SkillNameskill10006	skill_10006	SkillDesskill10006	-1	1	11,80;12,80;13,80;30,400;52,400	skill10006	0	0	0			0	60	60		
223	0	223	124	2	3	SkillNameskill10016	skill_10016	SkillDesskill10016	-1	1	11,80;12,80;13,80;30,400;52,400	skill10016	0	0	0			0	60	60		
224	0	224	124	2	3	SkillNameskill1211	skill_1211	SkillDesskill1211	-1	1	11,80;12,80;13,80;30,400;52,400	skill1211	0	0	0			0	60	60		
225	0	225	124	2	3	SkillNameskill1208	skill_1208	SkillDesskill1208	-1	1	11,80;12,80;13,80;30,400;52,400	skill1208	0	0	0			0	60	60		
226	0	226	124	2	3	SkillNameskill1113	skill_1113	SkillDesskill1113	-1	1	11,80;12,80;13,80;30,400;52,400	skill1113	0	0	0			0	60	60		
227	0	227	124	2	3	SkillNameskill1118	skill_1118	SkillDesskill1118	-1	1	11,80;12,80;13,80;30,400;52,400	skill1118	0	0	0			0	60	60		
228	0	228	124	2	3	SkillNameskill1014	skill_1014	SkillDesskill1014	-1	1	11,80;12,80;13,80;30,400;52,400	skill1014	0	0	0			0	60	60		
229	0	229	124	2	3	SkillNameskill1009	skill_1009	SkillDesskill1009	-1	1	11,80;12,80;13,80;30,400;52,400	skill1009	0	0	0			0	60	60		
230	0	230	124	2	3	SkillNameskill1306	skill_1306	SkillDesskill1306	-1	1	11,80;12,80;13,80;30,400;52,400	skill1306	0	0	0			0	60	60		
231	0	231	124	2	3	SkillNameskill1315	skill_1315	SkillDesskill1315	-1	1	11,80;12,80;13,80;30,400;52,400	skill1315	0	0	0			0	60	60		
232	0	232	124	2	3	SkillNameskill1412	skill_1412	SkillDesskill1412	-1	1	11,80;12,80;13,80;30,400;52,400	skill1412	0	0	0			0	60	60		
233	0	233	124	2	3	SkillNameskill1410	skill_1410	SkillDesskill1410	-1	1	11,80;12,80;13,80;30,400;52,400	skill1410	0	0	0			0	60	60		
234	0	234	124	2	3	SkillNameskill1511	skill_1511	SkillDesskill1511	-1	1	11,80;12,80;13,80;30,400;52,400	skill1511	0	0	0			0	60	60		
235	0	235	124	2	3	SkillNameskill1512	skill_1512	SkillDesskill1512	-1	1	11,80;12,80;13,80;30,400;52,400	skill1512	0	0	0			0	60	60		
236	0	236	124	2	2	SkillNameskill10001	skill_10001	SkillDesskill10001	-1	1	11,40;12,40;13,40;30,200;52,200	skill10001	0	0	0			0	40	40		
237	0	237	124	2	2	SkillNameskill10008	skill_10008	SkillDesskill10008	-1	1	11,40;12,40;13,40;30,200;52,200	skill10008	0	0	0			0	40	40		
238	0	238	124	2	2	SkillNameskill10007	skill_10007	SkillDesskill10007	-1	1	11,40;12,40;13,40;30,200;52,200	skill10007	0	0	0			0	40	40		
239	0	239	124	2	2	SkillNameskill10004	skill_10004	SkillDesskill10004	-1	1	11,40;12,40;13,40;30,200;52,200	skill10004	0	0	0			0	40	40		
240	0	240	124	2	2	SkillNameskill1212	skill_1212	SkillDesskill1212	-1	1	11,40;12,40;13,40;30,200;52,200	skill1212	0	0	0			0	40	40		
241	0	241	124	2	2	SkillNameskill1114	skill_1114	SkillDesskill1114	-1	1	11,40;12,40;13,40;30,200;52,200	skill1114	0	0	0			0	40	40		
242	0	242	124	2	2	SkillNameskill1012	skill_1012	SkillDesskill1012	-1	1	11,40;12,40;13,40;30,200;52,200	skill1012	0	0	0			0	40	40		
243	0	243	124	2	2	SkillNameskill1310	skill_1310	SkillDesskill1310	-1	1	11,40;12,40;13,40;30,200;52,200	skill1310	0	0	0			0	40	40		
244	0	244	124	2	2	SkillNameskill1411	skill_1411	SkillDesskill1411	-1	1	11,40;12,40;13,40;30,200;52,200	skill1411	0	0	0			0	40	40		
245	0	245	124	2	2	SkillNameskill1513	skill_1513	SkillDesskill1513	-1	1	11,40;12,40;13,40;30,200;52,200	skill1513	0	0	0			0	40	40		
301	0	301	463	3	5	SkillNameskill11020	skill11020	SkillDesskill11020	-1	1	11,150;12,150;13,150;51,1000;31,1000	skill11020	0	0	0			0	100	100		
302	0	302	463	3	5	SkillNameskill11021	skill11021	SkillDesskill11021	-1	1	11,150;12,150;13,150;51,1000;31,1000	skill11021	0	0	0			0	100	100		
303	0	303	463	3	5	SkillNameskill11022	skill11022	SkillDesskill11022	-1	1	11,150;12,150;13,150;51,1000;31,1000	skill11022	0	0	0			0	100	100		
304	0	304	463	3	5	SkillNameskill11023	skill11023	SkillDesskill11023	-1	1	11,150;12,150;13,150;51,1000;31,1000	skill11023	0	0	0			0	100	100		
305	0	305	463	3	5	SkillNameskill11039	skill_11039	SkillDesskill11039	-1	1	11,150;12,150;13,150;51,1000;31,1000	skill11039	0	0	0			0	100	100		
306	0	306	463	3	5	SkillNameskill11038	skill_11038	SkillDesskill11038	-1	1	11,150;12,150;13,150;51,1000;31,1000	skill11038	0	0	0			0	100	100		
307	0	307	463	3	5	SkillNameskill11043	skill_402813	SkillDesskill11043	-1	1	11,150;12,150;13,150;51,1000;31,1000	skill11043	0	0	0			0	100	100		
308	0	308	463	3	5	SkillNameskill11044	skill_11044	SkillDesskill11044	-1	1	11,150;12,150;13,150;51,1000;31,1000	skill11044	0	0	0			0	100	100		
309	0	309	463	3	4	SkillNameskill11204	skill11204	SkillDesskill11204	-1	1	11,90;12,90;13,90;51,600;31,600	skill11204	0	0	0			0	75	75		
310	0	310	463	3	4	SkillNameskill11104	skill11104	SkillDesskill11104	-1	1	11,90;12,90;13,90;51,600;31,600	skill11104	0	0	0			0	75	75		
311	0	311	463	3	4	SkillNameskill11004	skill11004	SkillDesskill11004	-1	1	11,90;12,90;13,90;51,600;31,600	skill11004	0	0	0			0	75	75		
312	0	312	463	3	4	SkillNameskill11304	skill11304	SkillDesskill11304	-1	1	11,90;12,90;13,90;51,600;31,600	skill11304	0	0	0			0	75	75		
313	0	313	463	3	4	SkillNameskill11404	skill11404	SkillDesskill11404	-1	1	11,90;12,90;13,90;51,600;31,600	skill11404	0	0	0			0	75	75		
314	0	314	463	3	4	SkillNameskill11504	skill11504	SkillDesskill11504	-1	1	11,90;12,90;13,90;51,600;31,600	skill11504	0	0	0			0	75	75		
315	0	315	463	3	4	SkillNameskill11031	skill11031	SkillDesskill11031	-1	1	11,90;12,90;13,90;51,600;31,600	skill11031	0	0	0			0	75	75		
316	0	316	463	3	4	SkillNameskill11030	skill11030	SkillDesskill11030	-1	1	11,90;12,90;13,90;51,600;31,600	skill11030	0	0	0			0	75	75		
317	0	317	463	3	4	SkillNameskill11028	skill11028	SkillDesskill11028	-1	1	11,90;12,90;13,90;51,600;31,600	skill11028	0	0	0			0	75	75		
318	0	318	463	3	4	SkillNameskill11029	skill11029	SkillDesskill11029	-1	1	11,90;12,90;13,90;51,600;31,600	skill11029	0	0	0			0	75	75		
319	0	319	463	3	4	SkillNameskill11026	skill11026	SkillDesskill11026	-1	1	11,90;12,90;13,90;51,600;31,600	skill11026	0	0	0			0	75	75		
320	0	320	463	3	4	SkillNameskill11027	skill11027	SkillDesskill11027	-1	1	11,90;12,90;13,90;51,600;31,600	skill11027	0	0	0			0	75	75		
321	0	321	463	3	3	SkillNameskill11025	skill11025	SkillDesskill11025	-1	1	11,60;12,60;13,60;51,400;31,400	skill11025	0	0	0			0	44	44		
322	0	322	463	3	3	SkillNameskill11024	skill11024	SkillDesskill11024	-1	1	11,60;12,60;13,60;51,400;31,400	skill11024	0	0	0			0	44	44		
323	0	323	463	3	3	SkillNameskill11032	skill11032	SkillDesskill11032	-1	1	11,60;12,60;13,60;51,400;31,400	skill11032	0	0	0			0	44	44		
324	0	324	463	3	3	SkillNameskill11033	skill11033	SkillDesskill11033	-1	1	11,60;12,60;13,60;51,400;31,400	skill11033	0	0	0			0	44	44		
325	0	325	463	3	2	SkillNameskill11034	skill11034	SkillDesskill11034	-1	1	11,30;12,30;13,30;51,200;31,200	skill11034	0	0	0			0	25	25		
326	0	326	463	3	2	SkillNameskill11035	skill11035	SkillDesskill11035	-1	1	11,30;12,30;13,30;51,200;31,200	skill11035	0	0	0			0	25	25		
327	0	327	463	3	2	SkillNameskill11036	skill11036	SkillDesskill11036	-1	1	11,30;12,30;13,30;51,200;31,200	skill11036	0	0	0			0	25	25		
328	0	328	463	3	2	SkillNameskill11037	skill11037	SkillDesskill11037	-1	1	11,30;12,30;13,30;51,200;31,200	skill11037	0	0	0			0	25	25		
401	0	401	476	4	5	SkillNameskill121001	skill_121001	SkillDesskill121001	-1	1	11,200;12,200;13,200;33,800;35,800	skill121001	0	0	0			0	140	140		
402	0	402	476	4	5	SkillNameskill121002	skill_121002	SkillDesskill121002	-1	1	11,200;12,200;13,200;33,800;35,800	skill121002	0	0	0			0	140	140		
403	0	403	476	4	5	SkillNameskill121003	skill_121003	SkillDesskill121003	-1	1	11,200;12,200;13,200;33,800;35,800	skill121003	0	0	0			0	140	140		
404	0	404	476	4	4	SkillNameskill121004	skill_121004	SkillDesskill121004	-1	1	11,100;12,100;13,100;33,400;35,400	skill121004	0	0	0			0	90	90		
405	0	405	476	4	4	SkillNameskill121005	skill_121005	SkillDesskill121005	-1	1	11,100;12,100;13,100;33,400;35,400	skill121005	0	0	0			0	90	90		
406	0	406	476	4	4	SkillNameskill121006	skill_121006	SkillDesskill121006	-1	1	11,100;12,100;13,100;33,400;35,400	skill121006	0	0	0			0	90	90		
407	0	407	476	4	3	SkillNameskill121007	skill_121007	SkillDesskill121007	-1	1	11,50;12,50;13,50;33,200;35,200	skill121007	0	0	0			0	40	40		
500	1	500	466	5	2	ItemName_17901020101001	skill_1214	buffdes_saint02	-1	1		buff6_saint01::buff_1	1	0	0			1	0	0		
501	1	501	466	5	2	ItemName_17901020102001	skill_1215	buffdes_saint02	-1	1		buff6_saint01::buff_1	1	0	0			1	0	0		
502	1	502	466	5	2	ItemName_17901020103001	skill_1206	buffdes_saint02	-1	1		buff6_saint01::buff_1	1	0	0			1	0	0		
503	1	503	466	5	2	ItemName_17901020104001	skill_1201	buffdes_saint02	-1	1		buff6_saint01::buff_1	1	0	0			1	0	0		
504	1	504	466	5	2	ItemName_17901020105001	skill_1209	buffdes_saint02	-1	1		buff6_saint01::buff_1	1	0	0			1	0	0		
505	1	505	466	5	2	ItemName_17901020106001	skill_1205	buffdes_saint02	-1	1		buff6_saint01::buff_1	1	0	0			1	0	0		
506	1	506	466	5	2	ItemName_17901020107001	skill_1204	buffdes_saint02	-1	1		buff6_saint01::buff_1	1	0	0			1	0	0		
507	1	507	466	5	2	ItemName_17901020108001	skill_1203	buffdes_saint03	-1	1		buff6_saint01::buff_2	1	0	0			1	0	0		
508	1	508	466	5	3	ItemName_17901030101001	skill_1214	buffdes_saint04	-1	1		buff6_saint01::buff_3	1	0	0			1	0	0		
509	1	509	466	5	3	ItemName_17901030102001	skill_1215	buffdes_saint04	-1	1		buff6_saint01::buff_3	1	0	0			1	0	0		
510	1	510	466	5	3	ItemName_17901030103001	skill_1206	buffdes_saint04	-1	1		buff6_saint01::buff_3	1	0	0			1	0	0		
511	1	511	466	5	3	ItemName_17901030104001	skill_1201	buffdes_saint04	-1	1		buff6_saint01::buff_3	1	0	0			1	0	0		
512	1	512	466	5	3	ItemName_17901030105001	skill_1209	buffdes_saint04	-1	1		buff6_saint01::buff_3	1	0	0			1	0	0		
513	1	513	466	5	3	ItemName_17901030106001	skill_1205	buffdes_saint04	-1	1		buff6_saint01::buff_3	1	0	0			1	0	0		
514	1	514	466	5	3	ItemName_17901030107001	skill_1204	buffdes_saint04	-1	1		buff6_saint01::buff_3	1	0	0			1	0	0		
515	1	515	466	5	3	ItemName_17901030108001	skill_1203	buffdes_saint05	-1	1		buff6_saint01::buff_4	1	0	0			1	0	0		
516	1	516	466	5	4	ItemName_17901040101001	skill_1214	SkillDesskill81001	-1	1		skill81001	0	0	0			1	0	0		
517	1	517	466	5	4	ItemName_17901040102001	skill_1215	SkillDesskill81003	-1	1		skill81003	0	0	0			1	0	0		
518	1	518	466	5	4	ItemName_17901040103001	skill_1206	SkillDesskill81011	-1	1		skill81011	0	0	0			1	0	0		
519	1	519	466	5	4	ItemName_17901040104001	skill_1201	SkillDesskill81005	-1	1		skill81005	0	0	0			1	0	0		
520	1	520	466	5	4	ItemName_17901040105001	skill_1209	SkillDesskill81009	-1	1		skill81009	0	0	0			1	0	0		
521	1	521	466	5	4	ItemName_17901040106001	skill_1205	SkillDesskill81007	-1	1		skill81007	0	0	0			1	0	0		
522	1	522	466	5	4	ItemName_17901040107001	skill_1204	SkillDesskill81013	-1	1		skill81013	0	0	0			1	0	0		
523	1	523	466	5	4	ItemName_17901040108001	skill_1203	SkillDesskill81015	-1	1		skill81015	0	0	0			1	0	0		
524	1	524	466	5	5	ItemName_17901050101001	skill_1214	SkillDesskill81002	-1	1		skill81002	0	0	0			1	0	0		
525	1	525	466	5	5	ItemName_17901050102001	skill_1215	SkillDesskill81004	-1	1		skill81004	0	0	0			1	0	0		
526	1	526	466	5	5	ItemName_17901050103001	skill_1206	SkillDesskill81012	-1	1		skill81012	0	0	0			1	0	0		
527	1	527	466	5	5	ItemName_17901050104001	skill_1201	SkillDesskill81006	-1	1		skill81006	0	0	0			1	0	0		
528	1	528	466	5	5	ItemName_17901050105001	skill_1209	SkillDesskill81010	-1	1		skill81010	0	0	0			1	0	0		
529	1	529	466	5	5	ItemName_17901050106001	skill_1205	SkillDesskill81008	-1	1		skill81008	0	0	0			1	0	0		
530	1	530	466	5	5	ItemName_17901050107001	skill_1204	SkillDesskill81014	-1	1		skill81014	0	0	0			1	0	0		
