道具ID	开启奖励数量	开启获得道具
item175100000002	1	item175000140002,2;item175000140003,2;item175000140004,2;item175000140006,2;item175000240002,2;item175000240003,2;item175000240004,2;item175000240006,2;item175000340001,1;item175000340002,1
item182000000001	1	item107100030102,1;item107100030202,1;item107100030301,1
item182000000002	1	item107100043101,1;item107100043203,1;item107100043302,1
item182000000003	1	item107100051102,1;item107100051202,1;item107100051301,1
item182000000004	1	item107000041101,1;item107000041202,1;item107000041304,1
item182000000005	1	item107100051102,1;item107100051201,1;item107100051301,1
item182000000006	1	item107000042103,1;item107000042203,1;item107000042303,1
item182000000007	1	item107000051101,1;item107000051201,1;item107000051302,1
item182000000101	1	item8103010132001,1;item8103010132011,1;item8103010132021,1;item8103010132031,1
item182000000102	1	item8103010133001,1;item8103010134001,1;item8103010135001,1;item8103010136001,1;item8103010137001,1
item182000000103	1	item8103010132101,1;item8103010132111,1
item182000000104	1	item8103010133101,1;item8103010134101,1;item8103010135101,1;item8103010136101,1;item8103010137101,1;item8103010138101,1
item182000000201	1	item100000000032,1;item100000000033,1
item182000000202	1	item100000000064,1;item100000000065,1
item182000000301	1	item8101020503005,1;item8101020503034,1;item8101020503035,1;item8101020503036,1;item8101020503062,1;item8101020503079,1
item182000000401	1	item162000120107,1;item162000220107,1;item162000320107,1
item182000000402	1	item103010135201,1;item103010134201,1;item103010133201,1;item103010136201,1;item103010137201,1;item103010138201,1
item182000000403	1	hero101:item89301050430001,1;item89302050430001,1;item89303050430001,1;item89304050430001,1;item89305050430001,1;item89306050430001,1|hero102:item89301050430002,1;item89302050430002,1;item89303050430002,1;item89304050430002,1;item89305050430002,1;item89306050430002,1|hero103:item89301050430003,1;item89302050430003,1;item89303050430003,1;item89304050430003,1;item89305050430003,1;item89306050430003,1|hero104:item89301050430004,1;item89302050430004,1;item89303050430004,1;item89304050430004,1;item89305050430004,1;item89306050430004,1|hero105:item89301050430005,1;item89302050430005,1;item89303050430005,1;item89304050430005,1;item89305050430005,1;item89306050430005,1|hero106:item89301050430006,1;item89302050430006,1;item89303050430006,1;item89304050430006,1;item89305050430006,1;item89306050430006,1|hero107:item89301050430003,1;item89302050430003,1;item89303050430003,1;item89304050430003,1;item89305050430003,1;item89306050430003,1|hero108:item89301050430004,1;item89302050430004,1;item89303050430004,1;item89304050430004,1;item89305050430004,1;item89306050430004,1
item182000000404	1	item160000110207,1;item160000210107,1;item160000310207,1
item182000000405	1	item107000052101,1;item107000052201,1;item107000052301,1
item182000000406	1	item107000053103,1;item107000053203,1;item107000053302,1
item182000000408	1	item160000110104,1;item160000110204,1;item160000210104,1;item160000210204,1;item160000310104,1;item160000310204,1
item182000000409	1	item160000110105,1;item160000110205,1;item160000210105,1;item160000210205,1;item160000310105,1;item160000310205,1
item182000000410	1	item100000000085,1;item100000000086,1;item100000000087,1;item100000000088,1;item100000000089,1;item100000000090,1
item182000000411	1	item8101020505225,1;item8101020505227,1;item8101020505229,1;item8101020505231,1;item8101020505233,1;item8101020505235,1;item8101020505237,1;item8101020505239,1
item182000000412	1	item8101020505215,1;item8101020505217,1;item8101020505241,1;item8101020505245,1;item8101020505247,1;item8101020505249,1;item8101020505251,1;item8101020505333,1;item8101020505337,1
item182000000413	1	item8101020505253,1;item8101020505301,1;item8101020505302,1;item8101020505303,1;item8101020505304,1;item8101020505305,1;item8101020505243,1;item8101020505306,1;item8101020505307,1;item8101020505308,1
item182000000414	1	item8101020503038,1;item8101020503039,1;item8101020503040,1;item8101020503041,1;item8101020503042,1;item8101020503043,1
item182000000415	1	item8101020503056,1;item8101020503033,1
item182000000421	1	item107000042101,1;item107000042203,1;item107000042303,1
item182000000422	1	item107000043101,1;item107000043202,1;item107000043303,1
item182000000423	1	item101040101017,20;item107300000001,10;item107999900002,7;item8103010111017,20;item100000000000,2
item182000000424	1	item8200000800002,5;item171000101021,50;item105000000030,60;item8103010121004,30
item182000000425	1	item8103015110406,1;item8103015110403,5;item8103015110401,10;item8103015110408,20;item8103015110409,40;item8103015110407,40
item182000000426	1	item91000000022,2;item8200000800003,40;item8103015110406,2;item119100000003,40;item171000101003,200
item182000000427	1	item107100053205,1;item107100053206,1;item107100053207,1
item91000000011	1	item107000042101,1;item107000042201,1;item107000042302,1
item91000000012	1	item107000043103,1;item107000043203,1;item107000043302,1
item91000000013	1	item107000051102,1;item107000051202,1;item107000051302,1
item91000000014	1	item107000052103,1;item107000052203,1;item107000052303,1
item91000000015	1	item8101020503004,1;item8101020503005,1;item8101020503032,1;item8101020503034,1;item8101020503035,1;item8101020503036,1;item8101020503037,1;item8101020503062,1;item8101020503079,1
item91000000016	1	item8101020503109,1;item8101020503110,1;item8101020503111,1;item8101020503112,1;item8101020503113,1;item8101020503114,1;item8101020503115,1;item8101020503116,1
item91000000017	1	item8101020503104,1;item8101020503105,1;item8101020503117,1;item8101020503118,1;item8101020503119,1;item8101020503120,1;item8101020503121,1;item8101020503126,1;item8101020503127,1
item91000000018	1	item8101020503044,1;item8101020503045,1;item8101020503046,1
item91000000019	1	item8101020503047,1;item8101020503050,1;item8101020503051,1;item8101020503052,1;item8101020503053,1;item8101020503054,1;item8101020503055,1
item91000000021	1	item8103010134201,1;item8103010135201,1;item8103010136201,1;item8103010137201,1;item8103010133201,1;item8103010138201,1
item91000000022	1	item8101040101103,1;item8101040101106,1;item8101040101109,1;item8101040101112,1;item8101040101115,1
item91000000029	1	item8103010135301,1;item8103010136301,1;item8103010137301,1;item8103010133301,1;item8103010134301,1;item8103010138301,1
item91000000030	1	item107000053101,1;item107000053201,1;item107000053301,1
item91000000033	1	item8101020503054,1;item8101020503052,1;item8101020503050,1;item8101020503051,1;item8101020503053,1;item8101020503055,1
item91000000040	1	item8101020503048,1;item8101020503053,1
item91000000042	1	item8101040101101,1;item8101040101104,1;item8101040101107,1;item8101040101110,1;item8101040101113,1
item91000000043	1	item8101040101102,1;item8101040101105,1;item8101040101108,1;item8101040101111,1;item8101040101114,1
item91000000047	1	item8103015110406,5;item91000000029,1;item91000000048,50
item91000000048	1	item8101020505312,1;item8101020505313,1;item8101020505314,1;item8101020505315,1;item8101020505316,1;item8101020505317,1
item91000000049	1	item8103015110406,1;item8103015110403,5;item8103015110401,10;item8103015110408,20;item8103015110409,40;item8103015110407,40
item91000000058	1	item8101020503105,1;item8101020503118,1;item8101020503126,1;item8101020503119,1;item8101020503120,1;item8101020503127,1
item91000000106	1	item8101020503050,1;item8101020503051,1;item8101020503052,1;item8101020503053,1;item8101020503054,1;item8101020503047,1;item8101020503055,1
item91000000204	1	hero101:item130000001254,1|hero102:item130000002254,1|hero103:item130000003254,1|hero104:item130000004254,1|hero105:item130000005254,1|hero106:item130000006254,1|hero107:item130000007254,1|hero108:item130000008254,1
item91000000205	1	hero101:item130000001154,1|hero102:item130000002154,1|hero103:item130000003154,1|hero104:item130000004154,1|hero105:item130000005154,1|hero106:item130000006154,1|hero107:item130000007154,1|hero108:item130000008154,1
item91000000206	1	hero101:item130000001354,1|hero102:item130000002354,1|hero103:item130000003354,1|hero104:item130000004354,1|hero105:item130000005354,1|hero106:item130000006354,1|hero107:item130000007354,1|hero108:item130000008354,1
item91000000207	1	item140000003013,1;item140000003014,1
item91000000211	1	item119100000003,20;item8103015110408,20;item8103015110403,5;item91000000022,1
item91000000212	1	item119100000003,100;item8103015110406,5;item91000000029,1;item91000000019,1
item91000000220	1	item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000044,1;item105000000048,1;item105100000001,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1
item91000000228	1	item140000003015,1;item140000003016,1
item91000000235	1	item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1
item91000000238	1	item162000320103,1;item162000120103,1
item91000000239	1	item162000220103,1;item162000220203,1
item91000000242	1	item2110000100046,1;item2110000100047,1;item2110000100048,1;item2110000100049,1;item2110600100050,1
item91000000244	1	item132000011254,1;item132000012254,1;item132000013254,1;item132000014254,1;item132000015254,1;item132000017254,1;item132000018254,1
item91000000245	1	hero101:item130000301301,1|hero102:item130000302301,1|hero103:item130000303301,1|hero104:item130000304301,1|hero105:item130000305301,1|hero106:item130000306301,1|hero107:item130000307301,1|hero108:item130000308301,1
item91000000257	1	item103010111102,30;item103010111103,20;item103010111104,15;item103010111105,12
item91000000258	1	item8101020505216,54;item8101020505218,54;item8101020505242,54;item8101020505246,54;item8101020505248,54;item8101020505250,54;item8101020505252,54;item8101020505334,54;item8101020505338,54
item91000000259	1	item8101020505226,18;item8101020505228,18;item8101020505230,18;item8101020505232,18;item8101020505234,18;item8101020505236,18;item8101020505238,18;item8101020505240,18;
item91000000260	1	item127000042101,1;item127000042201,1;item127000042303,1
item91000000262	1	item171000113306,1;item171000113303,1;item171000113305,1;item171000113304,1
item91000000263	1	item171000113401,1;item171000113402,1;item171000113403,1;item171000113404,1;item171000113405,1
item91000000264	1	item171000113507,1;item171000113508,1
item91000000265	1	item171000113509,1;item171000113510,1;item171000113502,1
item91000000269	1	item140000003011,1;item140000003012,1
item91000000270	1	item8103010132201,1;item8103010132211,1;item8103010132221,1;item8103010132231,1
item91000000278	1	item8103015110406,1;item8103015110403,5;item8103015110401,10;item8103015110408,20;item8103015110409,40;item8103015110407,40
item91000000284	1	item82120500100073,1;item82120200100074,1;item82120400100075,1
item91000000285	1	item171000113501,1;item171000113503,1;item171000113504,1
item91000000295	1	item8103010132301,1;item8103010132311,1;item8103010132321,1;item8103010132331,1
item91000000297	1	item171000101012,60;item105000000030,60;item8200000800002,5;item8103010121004,30;item107999900002,20
item91000000298	1	item91000000022,1;item119100000003,20;item8200000800003,20;item103010139003,20;item8103015110409,40;item8103015110407,40;item171000101003,100
item91000000299	1	item91000000022,2;item119100000003,40;item8103015110408,40;item8103015110401,20;item8103015110403,10;item161000000003,12
item91000000312	1	item91000000013,1;item91000000017,1;item91000000235,1
item91000000313	1	item107300000001,50;item107300000002,20;item103010131001,100;item171000101012,100
item91000000326	1	item119100000003,20;item91000000022,1;item103015110406,1;item101020505336,10
item91000000327	1	item119100000003,50;item91000000022,3;item103015110406,3;item101020505336,30;item2121000100063,1;item2120500100073,1
item91000000328	1	item101020505309,1;item101020505312,1;item101020505313,1;item101020505314,1;item101020505315,1;item101020505316,1
item91000000331	1	item171000113501,1;item171000113503,1;item171000113504,1
item91000000332	1	item8103015110401,2;item8103015110403,1;item8103015110402,8;item8103015110404,6;item8103015110405,6
item91000000339	1	item8200000515010,1;item8200000515011,1;item8200000515012,1
item91000000343	1	item140000003013,1;item140000003014,1;item140000003015,1;item140000003016,1
item91000000365	1	item8101020503056,1;item8101020503033,1;item8101020503038,1;item8101020503039,1;item8101020503040,1;item8101020503041,1;item8101020503042,1;item8101020503043,1
item91000000372	1	item8103010121003,64;item8103010121004,16;item8103010121005,4
item91000000374	1	item8106210100001,20;item8106210100002,20;item8106210100003,20;item8106210100004,20;item8106210100005,20;item8106210100006,20;item8106210100007,20;item8106210100008,20;item8106210100009,20;item8106210100010,20;item8106210100011,20;item8106210100012,20;item8106210100013,20;item8106210100014,20;item8106210100015,20;item8106210100016,20;item8106210100017,20;item8106210100018,20;item8106210100019,20;item8106210100020,20
item91000000375	1	item107300000001,25;item107300000002,10
item91000000379	1	item162000110107,1;item162000110207,1;item162000210107,1;item162000210207,1;item162000310107,1;item162000310207,1
item91000000380	1	item162000120107,1;item162000220107,1;item162000220207,1;item162000320107,1;item162000320207,1
item91000000397	1	item140000003027,1;item140000003028,1
item91000000401	1	item82130000100051,1;item82130000100052,1
item91000000402	1	item82121000100063,1;item82120600100066,1;item82120400100044,1;item82120300100041,1
item91000000403	1	item8101020505307,80;item8101020505306,80;item8101020505308,80
item91000000404	1	item8103015110409,80;item8103015110403,10;item8103015110401,20;item8103015110407,80
item91000000415	1	hero101:item130000001257,1|hero102:item130000002257,1|hero103:item130000003257,1|hero104:item130000004257,1|hero105:item130000005257,1|hero106:item130000006257,1|hero107:item130000007257,1|hero108:item130000008257,1
item91000000416	1	hero101:item130000001156,1|hero102:item130000002156,1|hero103:item130000003156,1|hero104:item130000004156,1|hero105:item130000005156,1|hero106:item130000006156,1|hero107:item130000007156,1|hero108:item130000008156,1
item91000000417	1	hero101:item130000001357,1|hero102:item130000002357,1|hero103:item130000003357,1|hero104:item130000004357,1|hero105:item130000005357,1|hero106:item130000006357,1|hero107:item130000007357,1|hero108:item130000008357,1
item91000000423	1	hero101:item130000301302,1|hero102:item130000302302,1|hero103:item130000303302,1|hero104:item130000304302,1|hero105:item130000305302,1|hero106:item130000306302,1|hero107:item130000307302,1|hero108:item130000308302,1
item91000000426	1	item107300000001,25;item107300000002,10
item91000000427	1	item82110000100053,1;item82110102100068,1;item82110000100069,1;item82110000100070,1;item82110000100045,1;item82110000100046,1;item82110000100047,1;item82110000100048,1;item82110000100049,1;item82110600100050,1;item82110500100043,1;item82110600100067,1;item82110700100056,1;item82110800100057,1;item82110900100060,1;item82111000100061,1;item82111000100062,1
item91000000428	1	item8103015110401,6;item8103015110402,25;item8103015110403,2;item8103015110404,18;item8103015110405,18;item8103015110408,12
item91000000429	1	item8108100103151,120;item8108100103051,120;item8108100103251,120;item8108100103152,60;item8108100103052,60;item8108100103252,60;item8103015110407,2;item8103015110409,2
item91000000447	1	item91000000022,1;item8103015110408,20;item8103015110401,10;item8103015110403,5;item161000000003,6
item91000000448	1	item119100000003,25;item107100052104,1;item107100052204,1;item107100052304,1
item91000000459	1	item162000120507,1;item162000320607,1
item91000000464	1	item82120300100041,1;item82120700100055,1;item82120900100059,1;item82120700100072,1;item82120600100065,1
item91000000465	1	item8101020505216,1;item8101020505218,1;item8101020505242,1;item8101020505246,1;item8101020505248,1;item8101020505250,1;item8101020505252,1;item8101020505334,1;item8101020505338,1
item91000000469	1	item140000003013,1;item140000003015,1;item140000003017,1
item91000000476	1	item91000000022,1;item8103015110408,20;item8103015110401,10;item8103015110403,5;item161000000003,6
item91000000477	1	item119100000003,25;item107100052104,1;item107100052204,1;item107100052304,1
item91000000487	1	item171000113505,1;item171000113506,1;item171000113507,1
item91000000493	1	item8101020505309,1;item8101020505312,1;item8101020505313,1;item8101020505314,1;item8101020505315,1;item8101020505316,1
item91000000496	1	item230000000121,1;item230000000122,1;item230000000123,1;item230000000124,1
item91000000505	1	item8101020505253,1;item8101020505301,1;item8101020505302,1;item8101020505303,1;item8101020505304,1;item8101020505305,1
item91000000513	1	item107000020101,1;item107000020102,1;item107000020201,1;item107000020202,1;item107000020301,1;item107000020302,1
item91000000514	1	item107000030101,1;item107000030102,1;item107000030103,1;item107000030201,1;item107000030202,1;item107000030203,1;item107000030301,1;item107000030302,1;item107000030303,1
item91000000521	1	hero101:item130000001253,1|hero102:item130000002253,1|hero103:item130000003253,1|hero104:item130000004253,1|hero105:item130000005253,1|hero106:item130000006253,1|hero107:item130000007253,1|hero108:item130000008253,1
item91000000522	1	hero101:item130000001153,1|hero102:item130000002153,1|hero103:item130000003153,1|hero104:item130000004153,1|hero105:item130000005153,1|hero106:item130000006153,1|hero107:item130000007153,1|hero108:item130000008153,1
item91000000523	1	hero101:item130000001353,1|hero102:item130000002353,1|hero103:item130000003353,1|hero104:item130000004353,1|hero105:item130000005353,1|hero106:item130000006353,1|hero107:item130000007353,1|hero108:item130000008353,1
item91000000549	1	hero101:item130000001256,1|hero102:item130000002256,1|hero103:item130000003256,1|hero104:item130000004256,1|hero105:item130000005256,1|hero106:item130000006256,1|hero107:item130000007256,1|hero108:item130000008256,1
item91000000550	1	hero101:item130000001155,1|hero102:item130000002155,1|hero103:item130000003155,1|hero104:item130000004155,1|hero105:item130000005155,1|hero106:item130000006155,1|hero107:item130000007155,1|hero108:item130000008155,1
item91000000551	1	hero101:item130000001356,1|hero102:item130000002356,1|hero103:item130000003356,1|hero104:item130000004356,1|hero105:item130000005356,1|hero106:item130000006356,1|hero107:item130000007356,1|hero108:item130000008356,1
item91000000562	1	item91000000022,1;item8103015110408,20;item8103015110401,10;item8103015110403,5;item161000000003,6
item91000000563	1	item107100052207,1;item8103015110406,1;item119100000003,25;item8103015110412,12;item105000000029,50
item91000000597	1	item140000003009,1;item140000003019,1;item140000003020,1
item91000000598	1	item140000011017,1;item140000011021,1
item91000000620	1	item91000000022,1;item8103015110408,20;item8103015110401,10;item8103015110403,5;item161000000003,6
item91000000621	1	item107100052207,1;item8103015110406,1;item119100000003,25;item8103015110412,12;item105000000029,50
item91000000627	1	item82110102100068,1;item82110000100069,1;item82110000100070,1;item90000000123,25
item91000000657	1	item107100052304,1;item107100052204,1;item107100052104,1
item91000000658	1	item8101020503050,1;item8101020503051,1;item8101020503052,1;item8101020503053,1;item8101020503054,1;item8101020503055,1
item91000000659	1	item8101020503044,1;item8101020503045,1;item8101020503046,1
item91000000674	1	hero101:item130000001258,1|hero102:item130000002258,1|hero103:item130000003258,1|hero104:item130000004258,1|hero105:item130000005258,1|hero106:item130000006258,1|hero107:item130000007258,1|hero108:item130000008258,1
item91000000675	1	hero101:item130000001158,1|hero102:item130000002158,1|hero103:item130000003158,1|hero104:item130000004158,1|hero105:item130000005158,1|hero106:item130000006158,1|hero107:item130000007158,1|hero108:item130000008158,1
item91000000676	1	hero101:item130000001358,1|hero102:item130000002358,1|hero103:item130000003358,1|hero104:item130000004358,1|hero105:item130000005358,1|hero106:item130000006358,1|hero107:item130000007358,1|hero108:item130000008358,1
item91000000729	1	item107000020101,1;item107000020102,1;item107000020201,1;item107000020202,1;item107000020301,1;item107000020302,1
item91000000735	1	item91000000204,1;item91000000205,1;item91000000206,1
item91000000759	1	item140000003029,1;item140000003030,1;item140000003031,1;item140000003032,1
item91000000763	1	hero101:item130000301303,1|hero102:item130000302303,1|hero103:item130000303303,1|hero104:item130000304303,1|hero105:item130000305303,1|hero106:item130000306303,1|hero107:item130000307303,1|hero108:item130000308303,1
item91000000772	1	item82130000100051,1;item82130000100052,1;item82131000100064,1
item91000000773	1	item130000940501,1;item130000940502,1;item130000940503,1;item130000940504,1
item91000000777	1	item82130000100051,1;item82130800100058,1
item91000000778	1	item91000000423,1;item91000000763,1
item91000000780	1	item82130700100076,1;item82130900100077,1
item91000000781	1	hero101:item130000001260,1|hero102:item130000002260,1|hero103:item130000003260,1|hero104:item130000004260,1|hero105:item130000005260,1|hero106:item130000006260,1|hero107:item130000007260,1|hero108:item130000008260,1
item91000000782	1	hero101:item130000001160,1|hero102:item130000002160,1|hero103:item130000003160,1|hero104:item130000004160,1|hero105:item130000005160,1|hero106:item130000006160,1|hero107:item130000007160,1|hero108:item130000008160,1
item91000000783	1	hero101:item130000001360,1|hero102:item130000002360,1|hero103:item130000003360,1|hero104:item130000004360,1|hero105:item130000005360,1|hero106:item130000006360,1|hero107:item130000007360,1|hero108:item130000008360,1
item91000000817	1	hero101:item130000001259,1|hero102:item130000002259,1|hero103:item130000003259,1|hero104:item130000004259,1|hero105:item130000005259,1|hero106:item130000006259,1|hero107:item130000007259,1|hero108:item130000008259,1
item91000000818	1	hero101:item130000001159,1|hero102:item130000002159,1|hero103:item130000003159,1|hero104:item130000004159,1|hero105:item130000005159,1|hero106:item130000006159,1|hero107:item130000007159,1|hero108:item130000008159,1
item91000000819	1	hero101:item130000001359,1|hero102:item130000002359,1|hero103:item130000003359,1|hero104:item130000004359,1|hero105:item130000005359,1|hero106:item130000006359,1|hero107:item130000007359,1|hero108:item130000008359,1
item91000000820	1	item91000000817,1;item91000000674,1
item91000000821	1	item91000000818,1;item91000000675,1
item91000000822	1	item91000000819,1;item91000000676,1
item91000000823	1	item107100053106,1;item107100053210,1;item107100053306,1
item91000000824	1	item107100053205,1;item107100053206,1;item107100053207,1
item91000000825	1	item107100053106,1;item107100053210,1;item107100053306,1;item107100053205,1;item107100053206,1;item107100053207,1;item107100053104,1;item107100053208,1;item107100053304,1
item91000000826	1	item8230000000103,1;item8230000000104,1
item91000000839	1	item91000000781,1;item91000000204,1
item91000000840	1	item91000000782,1;item91000000205,1
item91000000841	1	item91000000783,1;item91000000206,1
item91000000842	1	item91000000018,1;item91000000220,1;item91000000657,1;item119100000003,30
item91000000843	1	item130000040312,1;item130000040313,1;item130000040315,1
item91000000845	1	item119100000003,20;item91000000022,1;item8103015110408,20;item8103015110403,5;item8103015110406,1
item91000000855	1	item82110102100068,1;item82110000100069,1;item8101020503033,1;item8101020503056,1;item91000000235,1;item105000000029,25
item91000000861	1	item101040101017,50;item107999900001,80;item8103010121004,12;item8103010111017,50
item91000000862	1	item91000000658,1;item91000000022,1;item8103010111019,1;item107300000002,5;item100000000000,1;item8103010121005,2;item8103010121004,3;item107999900002,5;item101040101015,1;item1000,50000
item91000000863	1	item91000000773,1;item91000000022,1;item8103010111019,1;item107300000002,5;item100000000000,1;item8103010121005,2;item8103010121004,3;item107999900002,5;item101040101015,1;item1000,50000
item91000000865	1	item8130000940501,1;item8130000940502,1;item8130000940503,1;item8130000940504,1
item91000000871	1	item140000011018,1;item140000011019,1
item91000000877	1	item8103015110302,4;item8103015110303,6;item8103015110305,5
item91000000889	1	item91000000817,1;item91000000818,1;item91000000819,1
item91000000905	1	item8103015110303,10;item8103015110302,12
item91000000906	1	item8230000000004,10;item8230000000202,3
item91000000908	1	item8230000000004,10;item8230000000203,3
item91000000921	1	item91000000674,1;item91000000675,1;item91000000676,1
item91000000922	1	item8230000000004,10;item8230000000204,3
item91000000928	1	item101031300101,1;item101031300201,1;item101031300301,1;item101031300401,1;item101031300501,1;item101031300601,1;item101031300701,1;item101031300801,1;item101031300901,1;item101031301001,1
item91000000929	1	item101031400101,1;item101031400201,1;item101031400301,1;item101031400401,1;item101031400501,1;item101031400601,1;item101031400701,1;item101031400801,1;item101031400901,1;item101031401001,1;item101031401101,1;item101031401201,1;item101031401301,1;item101031401401,1;item101031401501,1;item101032404801,1
item91000000930	1	item101031500201,1;item101031500101,1;item101031500301,1;item101031500401,1;item101031500501,1;item101031500601,1;item101031500701,1;item101031500801,1;item101031500901,1;item101031501001,1;item101031501101,1;item101031501201,1;item101031501301,1;item101031501401,1;item101031501501,1;item101031501601,1;item101031501701,1;item101031501801,1;item101032404601,1;item101032404701,1;item101032406001,1;item101032406101,1
item91000000950	1	item107100053306,1;item107100053208,1;item107100053104,1
item91000000952	1	item82131000100064,1;item82130200100042,1;item82130000100052,1
item91000000963	1	hero101:item130000001264,1|hero102:item130000002264,1|hero103:item130000003264,1|hero104:item130000004264,1|hero105:item130000005264,1|hero106:item130000006264,1|hero107:item130000007264,1|hero108:item130000008264,1
item91000000964	1	hero101:item130000001364,1|hero102:item130000002364,1|hero103:item130000003364,1|hero104:item130000004364,1|hero105:item130000005364,1|hero106:item130000006364,1|hero107:item130000007364,1|hero108:item130000008364,1
item91000000978	1	item8101020505315,1;item8101020505341,1
item91000000979	1	item8101020503053,1;item8101020503086,1
item91000000980	1	item130000940507,1;item130000940510,1
item91000000981	1	item107000041101,1;item107000041102,1;item107000041103,1;item107000041104,1;item107000041201,1;item107000041202,1;item107000041203,1;item107000041204,1;item107000041301,1;item107000041302,1;item107000041303,1;item107000041304,1
item91000000982	1	item107000051103,1;item107000051204,1;item107000051303,1;item107000051102,1
item91000000989	1	item171000113512,1;item171000113513,1;item171000113514,1
item91000000990	1	item130000040316,1;item130000040326,1
item91000000993	1	item107100052101,1;item107100052102,1;item107100052201,1;item107100052202,1;item107100052301,1;item107100052302,1
item91000000995	1	item8101020503093,1;item105000000084,1;item91000000823,1;item91000000284,1;item101020507339,1
item91000000996	1	item82130800100058,1;item82130500100080,1
item91000001000	1	item107100051101,1;item107100051102,1;item107100051103,1;item107100051201,1;item107100051204,1;item107100051301,1;item107100051303,1
item91000001002	1	item91000001001,1;item101020507334,1;item130000040329,1
item91000001009	1	item91000000029,1;item891000000694,1
item91000001010	1	hero101:item130000001261,1|hero102:item130000002261,1|hero103:item130000003261,1|hero104:item130000004261,1|hero105:item130000005261,1|hero106:item130000006261,1|hero107:item130000007261,1|hero108:item130000008261,1
item91000001011	1	hero101:item130000001361,1|hero102:item130000002361,1|hero103:item130000003361,1|hero104:item130000004361,1|hero105:item130000005361,1|hero106:item130000006361,1|hero107:item130000007361,1|hero108:item130000008361,1
item91000001016	1	item107100053106,1;item107100053206,1;item107100053308,1
