时装id	英雄ID	SDKAreaType	低模长相	高模长相	类型	衣服配色	缩放比例	展示icon	激活道具	展示文本	转换性别时装id	穿戴属性	收藏属性	套装id	展示类型
fashion_101203	hero101		c001|bottoms|c001_bottoms003_t1|clothes|c001_clothes003_t1|shoulder|c001_shoulder003_t1	c001h|bottoms|c001h_bottoms003_t1|clothes|c001h_clothes003_t1|shoulder|c001h_shoulder003_t1	2			item130000001203	item130000001203,-1	FashionDes_130000001203				0	0
fashion_101204	hero101		c001|bottoms|c001_bottoms002_t1|clothes|c001_clothes002_t1|shoulder|c001_shoulder002_t1	c001h|bottoms|c001h_bottoms002_t1|clothes|c001h_clothes002_t1|shoulder|c001h_shoulder002_t1	2			item130000001204	item130000001204,-1	FashionDes_130000001204				0	0
fashion_101205	hero101		c001|bottoms|c001_bottoms004_t1|clothes|c001_clothes004_t1|shoulder|c001_shoulder004_t1	c001h|bottoms|c001h_bottoms004_t1|clothes|c001h_clothes004_t1|shoulder|c001h_shoulder004_t1	2			item130000001205	item130000001205,-1	FashionDes_130000001205				0	0
fashion_101206	hero101		c001|bottoms|c001_bottoms006_t1|clothes|c001_clothes006_t1|shoulder|c001_shoulder006_t1	c001h|bottoms|c001h_bottoms006_t1|clothes|c001h_clothes006_t1|shoulder|c001h_shoulder006_t1	2			item130000001206	item130000001206,-1	FashionDes_130000001206				0	0
fashion_101207	hero101		c001|bottoms|c001_bottoms007_t1|clothes|c001_clothes007_t1|shoulder|c001_shoulder007_t1	c001h|bottoms|c001h_bottoms007_t1|clothes|c001h_clothes007_t1|shoulder|c001h_shoulder007_t1	2			item130000001207	item130000001207,-1	FashionDes_130000001207				0	0
fashion_101208	hero101		c001|bottoms|c001_bottoms008_t1|clothes|c001_clothes008_t1|shoulder|c001_shoulder008_t1	c001h|bottoms|c001h_bottoms008_t1|clothes|c001h_clothes008_t1|shoulder|c001h_shoulder008_t1	2			item130000001208	item130000001208,-1	FashionDes_130000001208				0	0
fashion_101231	hero101		c001|bottoms|c001_bottoms801_t1|clothes|c001_clothes801_t1|shoulder|c001_shoulder801_t1	c001h|bottoms|c001h_bottoms801_t1|clothes|c001h_clothes801_t1|shoulder|c001h_shoulder801_t1	2			item130000001231	item131000001231,2592000	FashionDes_130000001231				0	0
fashion_101251	hero101		c001|bottoms||clothes|c001_clothes501_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes501_t1|shoulder||	2			item130000001251	item130000001251,-1;item132000001251,604800;item133000701251,604800	FashionDes_130000001251		4,15	4,5;33,25	40011401	0
fashion_101252	hero101		c001|bottoms||clothes|c001_clothes502_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes502_t1|shoulder||	2			item130000001252	item130000001252,-1;item132000001252,604800;item132000001452,86400	FashionDes_130000001252		4,15	4,5;33,25	40011402	0
fashion_101253	hero101		c001|bottoms||clothes|c001_clothes503_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes503_t1|shoulder||	2			item130000001253	item130000001253,-1	FashionDes_130000001253		4,15	4,5;33,25	40011403	0
fashion_101254	hero101		c001|bottoms||clothes|c001_clothes504_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes504_t1|shoulder||	2			item130000001254	item130000001254,-1;item132000001254,86400	FashionDes_130000001254		4,15	4,5;33,25	40011404	0
fashion_101255	hero101		c001|bottoms||clothes|c001_clothes505_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes505_t1|shoulder||	2			item130000001255	item130000001255,-1	FashionDes_130000001255		4,15	4,5;33,25	40011405	0
fashion_101256	hero101		c001|bottoms||clothes|c001_clothes507_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes507_t1|shoulder||	2			item130000001256	item130000001256,-1	FashionDes_130000001256		4,15	4,5;33,25	40011406	0
fashion_101257	hero101		c001|bottoms||clothes|c001_clothes508_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes508_t1|shoulder||	2			item130000001257	item130000001257,-1;item133000101257,86400	FashionDes_130000001257		4,15	4,5;33,25	40011407	0
fashion_101258	hero101		c001|bottoms||clothes|c001_clothes506_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes506_t1|shoulder||	2			item130000001258	item130000001258,-1;item133000001258,259200	FashionDes_130000001258		4,15	4,5;33,25	40011408	0
fashion_101259	hero101		c001|bottoms||clothes|c001_clothes509_t1|shoulder||	c001h|bottoms||clothes|c001h_clothes509_t1|shoulder||	2			item130000001259	item130000001259,-1	FashionDes_130000001259		4,15	4,5;33,25	40011409	0
fashion_101306	hero101		c001|face|c001_face001_t1|head|c001_head012_t1	c001h|face|c001h_face001_t1|head|c001h_head012_t1	3			item130000001306	item130000001306,-1	FashionDes_130000001306				0	0
fashion_101307	hero101		c001|face|c001_face001_t1|head|c001_head107_t1	c001h|face|c001h_face001_t1|head|c001h_head107_t1	3			item130000001307	item130000001307,-1	FashionDes_130000001307				0	0
fashion_101308	hero101		c001|face|c001_face001_t1|head|c001_head108_t1	c001h|face|c001h_face001_t1|head|c001h_head108_t1	3			item130000001308	item130000001308,-1	FashionDes_130000001308				0	0
fashion_101351	hero101		c001|face|c001_face001_t1|head|c001_head002_t1	c001h|face|c001h_face001_t1|head|c001h_head002_t1	3	10120211,10120212,10120213		item130000001351	item130000001351,-1;item133000701351,604800	FashionDes_130000001351		1,150	1,50;35,25	40011401	0
fashion_101352	hero101		c001|face|c001_face001_t1|head|c001_head003_t1	c001h|face|c001h_face001_t1|head|c001h_head003_t1	3			item130000001352	item130000001352,-1;item132000001352,604800;item132000001552,86400	FashionDes_130000001352		1,150	1,50;35,25	40011402	0
fashion_101353	hero101		c001|face|c001_face001_t1|head|c001_head007_t1	c001h|face|c001h_face001_t1|head|c001h_head007_t1	3			item130000001353	item130000001353,-1	FashionDes_130000001353		1,150	1,50;35,25	40011403	0
fashion_101354	hero101		c001|face|c001_face001_t1|head|c001_head504_t1	c001h|face|c001h_face001_t1|head|c001h_head504_t1	3			item130000001354	item130000001354,-1	FashionDes_130000001354		1,150	1,50;35,25	40011404	0
fashion_101355	hero101		c001|face|c001_face001_t1|head|c001_head505_t1	c001h|face|c001h_face001_t1|head|c001h_head505_t1	3			item130000001355	item130000001355,-1	FashionDes_130000001355		1,150	1,50;35,25	40011405	0
fashion_101356	hero101		c001|face|c001_face001_t1|head|c001_head507_t1	c001h|face|c001h_face001_t1|head|c001h_head507_t1	3			item130000001356	item130000001356,-1	FashionDes_130000001356		1,150	1,50;35,25	40011406	0
fashion_101357	hero101		c001|face|c001_face001_t1|head|c001_head508_t1	c001h|face|c001h_face001_t1|head|c001h_head508_t1	3			item130000001357	item130000001357,-1	FashionDes_130000001357		1,150	1,50;35,25	40011407	0
fashion_101358	hero101		c001|face|c001_face001_t1|head|c001_head506_t1	c001h|face|c001h_face001_t1|head|c001h_head506_t1	3			item130000001358	item130000001358,-1;item133000001358,259200	FashionDes_130000001358		1,150	1,50;35,25	40011408	0
fashion_101359	hero101		c001|face|c001_face001_t1|head|c001_head509_t1	c001h|face|c001h_face001_t1|head|c001h_head509_t1	3			item130000001359	item130000001359,-1	FashionDes_130000001359		1,150	1,50;35,25	40011409	0
fashion_101371	hero101		c001|face|c001_face001_t1|head|c001_head004_t1	c001h|face|c001h_face001_t1|head|c001h_head004_t1	3	10120231,10120232,10120233		item130000001371	item130000001371,-1	FashionDes_130000001371		1,50	1,20	0	0
fashion_101372	hero101		c001|face|c001_face001_t1|head|c001_head005_t1	c001h|face|c001h_face001_t1|head|c001h_head005_t1	3	10120241,10120242,10120243		item130000001372	item130000001372,-1	FashionDes_130000001372		1,50	1,20	0	0
fashion_101373	hero101		c001|face|c001_face001_t1|head|c001_head006_t1	c001h|face|c001h_face001_t1|head|c001h_head006_t1	3	10120221,10120222,10120223		item130000001373	item130000001373,-1	FashionDes_130000001373		1,50	1,20	0	0
fashion_101374	hero101		c001|face|c001_face001_t1|head|c001_head008_t1	c001h|face|c001h_face001_t1|head|c001h_head008_t1	3			item130000001374	item130000001374,-1	FashionDes_130000001374		1,50	1,20	0	0
fashion_101375	hero101		c001|face|c001_face001_t1|head|c001_head009_t1	c001h|face|c001h_face001_t1|head|c001h_head009_t1	3	10120251,10120252,10120253		item130000001375	item130000001375,-1	FashionDes_130000001375		1,50	1,20	0	0
fashion_101376	hero101		c001|face|c001_face001_t1|head|c001_head010_t1	c001h|face|c001h_face001_t1|head|c001h_head010_t1	3	10120261,10120262,10120263		item130000001376	item130000001376,-1	FashionDes_130000001376		1,50	1,20	0	0
fashion_101377	hero101		c001|face|c001_face001_t1|head|c001_head011_t1	c001h|face|c001h_face001_t1|head|c001h_head011_t1	3	10120271,10120272,10120273		item130000001377	item130000001377,-1	FashionDes_130000001377		1,50	1,20	0	0
fashion_301301	hero101		c001|face||head|c001_head301_t1	c001h|face||head|c001h_head301_t1	3			item130000301301	item130000301301,-1	FashionDes_130000301301		1,150	1,50;35,25	0	0
fashion_301302	hero101		c001|face|c001_face001_t1|head|c001_head302_t1	c001h|face|c001h_face001_t1|head|c001h_head302_t1	3			item130000301302	item130000301302,-1	FashionDes_130000301302		1,500;12,150;52,100;32,100;34,100	1,200;3,20;32,50;34,50	0	0
fashion_301303	hero101		c001|face|c001_face001_t1|head|c001_head303_t1	c001h|face|c001h_face001_t1|head|c001h_head303_t1	3			item130000301303	item130000301303,-1	FashionDes_130000301303		1,500;12,150;52,100;32,100;34,100	1,200;3,20;32,50;34,50	0	0
fashion_102102	hero102		c002|weapon|c002_weapon002_t1	c002h|weapon|c002h_weapon002_t1	1			item130000002102	item130000002102,-1	FashionDes_130000002102				0	0
fashion_102103	hero102		c002|weapon|c002_weapon003_t1	c002h|weapon|c002h_weapon003_t1	1			item130000002103	item130000002103,-1	FashionDes_130000002103				0	0
fashion_102104	hero102		c002|weapon|c002_weapon013_t1	c002h|weapon|c002h_weapon013_t1	1			item130000002104	item130000002104,-1	FashionDes_130000002104				0	0
fashion_102105	hero102		c002|weapon|c002_weapon014_t1	c002h|weapon|c002h_weapon014_t1	1			item130000002105	item130000002105,-1	FashionDes_130000002105				0	0
fashion_102106	hero102		c002|weapon|c002_weapon015_t1	c002h|weapon|c002h_weapon015_t1	1			item130000002106	item130000002106,-1	FashionDes_130000002106				0	0
fashion_102107	hero102		c002|weapon|c002_weapon107_t1	c002h|weapon|c002h_weapon107_t1	1			item130000002107	item130000002107,-1	FashionDes_130000002107				0	0
fashion_102108	hero102		c002|weapon|c002_weapon108_t1	c002h|weapon|c002h_weapon108_t1	1			item130000002108	item130000002108,-1	FashionDes_130000002108				0	0
fashion_102131	hero102		c002|weapon|c002_weapon004_t1	c002h|weapon|c002h_weapon004_t1	1			item130000002131	item131000002131,2592000	FashionDes_130000002131				0	0
fashion_102151	hero102		c002|weapon|c002_weapon005_t1	c002h|weapon|c002h_weapon005_t1	1			item130000002151	item130000002151,-1;item133000702151,604800	FashionDes_130000002151		3,15	3,5;30,25	40021401	0
fashion_102152	hero102		c002|weapon|c002_weapon006_t1	c002h|weapon|c002h_weapon006_t1	1			item130000002152	item130000002152,-1	FashionDes_130000002152		3,15	3,5;30,25	40021402	0
fashion_102153	hero102		c002|weapon|c002_weapon012_t1	c002h|weapon|c002h_weapon012_t1	1			item130000002153	item130000002153,-1	FashionDes_130000002153		3,15	3,5;30,25	40021403	0
fashion_102154	hero102		c002|weapon|c002_weapon504_t1	c002h|weapon|c002h_weapon504_t1	1			item130000002154	item130000002154,-1;item132000002154,86400	FashionDes_130000002154		3,15	3,5;30,25	40021404	0
fashion_102155	hero102		c002|weapon|c002_weapon507_t1	c002h|weapon|c002h_weapon507_t1	1			item130000002155	item130000002155,-1	FashionDes_130000002155		3,15	3,5;30,25	40021406	0
fashion_102156	hero102		c002|weapon|c002_weapon508_t1	c002h|weapon|c002h_weapon508_t1	1			item130000002156	item130000002156,-1	FashionDes_130000002156		3,15	3,5;30,25	40021407	0
fashion_102158	hero102		c002|weapon|c002_weapon506_t1	c002h|weapon|c002h_weapon506_t1	1			item130000002158	item130000002158,-1;item133000002158,259200	FashionDes_130000002158		3,15	3,5;30,25	40021408	0
fashion_102159	hero102		c002|weapon|c002_weapon509_t1	c002h|weapon|c002h_weapon509_t1	1			item130000002159	item130000002159,-1	FashionDes_130000002159		3,15	3,5;30,25	40021409	0
fashion_102171	hero102		c002|weapon|c002_weapon007_t1	c002h|weapon|c002h_weapon007_t1	1			item130000002171	item130000002171,-1	FashionDes_130000002171		3,5	3,2	0	0
fashion_102172	hero102		c002|weapon|c002_weapon008_t1	c002h|weapon|c002h_weapon008_t1	1			item130000002172	item130000002172,-1	FashionDes_130000002172		3,5	3,2	0	0
fashion_102173	hero102		c002|weapon|c002_weapon009_t1	c002h|weapon|c002h_weapon009_t1	1			item130000002173	item130000002173,-1	FashionDes_130000002173		3,5	3,2	0	0
fashion_102174	hero102		c002|weapon|c002_weapon010_t1	c002h|weapon|c002h_weapon010_t1	1			item130000002174	item130000002174,-1;item132000702174,604800;item132000002174,432000	FashionDes_130000002174		3,5	3,2	0	0
fashion_102175	hero102		c002|weapon|c002_weapon011_t1	c002h|weapon|c002h_weapon011_t1	1			item130000002175	item130000002175,-1	FashionDes_130000002175		3,5	3,2	0	0
fashion_102202	hero102		c002|bottoms|c002_bottoms002_t1|clothes|c002_clothes002_t1|shoulder|c002_shoulder002_t1	c002h|bottoms|c002h_bottoms002_t1|clothes|c002h_clothes002_t1|shoulder|c002h_shoulder002_t1|parta|c002h_parta001_t1	2			item130000002202	item130000002202,-1	FashionDes_130000002202				0	0
fashion_102203	hero102		c002|bottoms|c002_bottoms003_t1|clothes|c002_clothes003_t1|shoulder|c002_shoulder003_t1	c002h|bottoms|c002h_bottoms003_t1|clothes|c002h_clothes003_t1|shoulder|c002h_shoulder003_t1|parta|c002h_parta001_t1	2			item130000002203	item130000002203,-1	FashionDes_130000002203				0	0
fashion_102204	hero102		c002|bottoms|c002_bottoms004_t1|clothes|c002_clothes004_t1|shoulder|c002_shoulder004_t1	c002h|bottoms|c002h_bottoms004_t1|clothes|c002h_clothes004_t1|shoulder|c002h_shoulder004_t1|parta|c002h_parta001_t1	2			item130000002204	item130000002204,-1	FashionDes_130000002204				0	0
fashion_102205	hero102		c002|bottoms|c002_bottoms005_t1|clothes|c002_clothes005_t1|shoulder|c002_shoulder005_t1	c002h|bottoms|c002h_bottoms005_t1|clothes|c002h_clothes005_t1|shoulder|c002h_shoulder005_t1|parta|c002h_parta001_t1	2			item130000002205	item130000002205,-1	FashionDes_130000002205				0	0
fashion_102206	hero102		c002|bottoms|c002_bottoms006_t1|clothes|c002_clothes006_t1|shoulder|c002_shoulder006_t1	c002h|bottoms|c002h_bottoms006_t1|clothes|c002h_clothes006_t1|shoulder|c002h_shoulder006_t1|parta|c002h_parta001_t1	2			item130000002206	item130000002206,-1	FashionDes_130000002206				0	0
fashion_102207	hero102		c002|bottoms|c002_bottoms007_t1|clothes|c002_clothes007_t1|shoulder|c002_shoulder007_t1	c002h|bottoms|c002h_bottoms007_t1|clothes|c002h_clothes007_t1|shoulder|c002h_shoulder007_t1|parta|c002h_parta001_t1	2			item130000002207	item130000002207,-1	FashionDes_130000002207				0	0
fashion_102208	hero102		c002|bottoms|c002_bottoms008_t1|clothes|c002_clothes008_t1|shoulder|c002_shoulder008_t1	c002h|bottoms|c002h_bottoms008_t1|clothes|c002h_clothes008_t1|shoulder|c002h_shoulder008_t1|parta|c002h_parta001_t1	2			item130000002208	item130000002208,-1	FashionDes_130000002208				0	0
fashion_102231	hero102		c002|bottoms|c002_bottoms801_t1|clothes|c002_clothes801_t1|shoulder|c002_shoulder801_t1	c002h|bottoms|c002h_bottoms801_t1|clothes|c002h_clothes801_t1|shoulder|c002h_shoulder801_t1|parta|c002h_parta001_t1	2			item130000002231	item131000002231,2592000	FashionDes_130000002231				0	0
fashion_102251	hero102		c002|bottoms||clothes|c002_clothes501_t1|shoulder||parta||	c002h|bottoms||clothes|c002h_clothes501_t1|shoulder||parta||	2			item130000002251	item130000002251,-1;item132000002251,604800;item133000702251,604800	FashionDes_130000002251		4,15	4,5;33,25	40021401	0
fashion_102252	hero102		c002|bottoms||clothes|c002_clothes502_t1|shoulder||parta||	c002h|bottoms||clothes|c002h_clothes502_t1|shoulder||parta||	2			item130000002252	item130000002252,-1;item132000002252,604800;item132000002452,86400	FashionDes_130000002252		4,15	4,5;33,25	40021402	0
fashion_102253	hero102		c002|bottoms||clothes|c002_clothes503_t1|shoulder||parta||	c002h|bottoms||clothes|c002h_clothes503_t1|shoulder||parta||	2			item130000002253	item130000002253,-1	FashionDes_130000002253		4,15	4,5;33,25	40021403	0
fashion_102254	hero102		c002|bottoms||clothes|c002_clothes504_t1|shoulder||parta||	c002h|bottoms||clothes|c002h_clothes504_t1|shoulder||parta||	2			item130000002254	item130000002254,-1;item132000002254,86400	FashionDes_130000002254		4,15	4,5;33,25	40021404	0
fashion_102255	hero102		c002|bottoms||clothes|c002_clothes505_t1|shoulder||parta||	c002h|bottoms||clothes|c002h_clothes505_t1|shoulder||parta||	2			item130000002255	item130000002255,-1	FashionDes_130000002255		4,15	4,5;33,25	40021405	0
fashion_102256	hero102		c002|bottoms||clothes|c002_clothes507_t1|shoulder||parta||	c002h|bottoms||clothes|c002h_clothes507_t1|shoulder||parta||	2			item130000002256	item130000002256,-1	FashionDes_130000002256		4,15	4,5;33,25	40021406	0
fashion_102257	hero102		c002|bottoms||clothes|c002_clothes508_t1|shoulder||parta||	c002h|bottoms||clothes|c002h_clothes508_t1|shoulder||parta||	2			item130000002257	item130000002257,-1;item133000102257,86400	FashionDes_130000002257		4,15	4,5;33,25	40021407	0
fashion_102258	hero102		c002|bottoms||clothes|c002_clothes506_t1|shoulder||	c002h|bottoms||clothes|c002h_clothes506_t1|shoulder||	2			item130000002258	item130000002258,-1;item133000002258,259200	FashionDes_130000002258		4,15	4,5;33,25	40021408	0
fashion_102259	hero102		c002|bottoms||clothes|c002_clothes509_t1|shoulder||	c002h|bottoms||clothes|c002h_clothes509_t1|shoulder||	2			item130000002259	item130000002259,-1	FashionDes_130000002259		4,15	4,5;33,25	40021409	0
fashion_102302	hero102		c002|face|c002_face001_t1|head|c002_head002_t1	c002h|face|c002h_face001_t1|head|c002h_head002_t1	3			item130000002302	item130000002302,-1	FashionDes_130000002302				0	0
fashion_102303	hero102		c002|face|c002_face001_t1|head|c002_head003_t1	c002h|face|c002h_face001_t1|head|c002h_head003_t1	3	10220231,10220232,10220233		item130000002303	item130000002303,-1	FashionDes_130000002303				0	0
fashion_102304	hero102		c002|face|c002_face001_t1|head|c002_head011_t1	c002h|face|c002h_face001_t1|head|c002h_head011_t1	3			item130000002304	item130000002304,-1	FashionDes_130000002304				0	0
fashion_102305	hero102		c002|face|c002_face001_t1|head|c002_head012_t1	c002h|face|c002h_face001_t1|head|c002h_head012_t1	3			item130000002305	item130000002305,-1	FashionDes_130000002305				0	0
fashion_102306	hero102		c002|face|c002_face001_t1|head|c002_head014_t1	c002h|face|c002h_face001_t1|head|c002h_head014_t1	3			item130000002306	item130000002306,-1	FashionDes_130000002306				0	0
fashion_102307	hero102		c002|face|c002_face001_t1|head|c002_head107_t1	c002h|face|c002h_face001_t1|head|c002h_head107_t1	3			item130000002307	item130000002307,-1	FashionDes_130000002307				0	0
fashion_102308	hero102		c002|face|c002_face001_t1|head|c002_head108_t1	c002h|face|c002h_face001_t1|head|c002h_head108_t1	3			item130000002308	item130000002308,-1	FashionDes_130000002308				0	0
fashion_102331	hero102		c002|face|c002_face001_t1|head|c002_head004_t1	c002h|face|c002h_face001_t1|head|c002h_head004_t1	3			item130000002331	item131000002331,2592000	FashionDes_130000002331				0	0
fashion_102351	hero102		c002|face|c002_face001_t1|head|c002_head005_t1	c002h|face|c002h_face001_t1|head|c002h_head005_t1	3	10220211,10220212,10220213		item130000002351	item130000002351,-1;item133000702351,604800	FashionDes_130000002351		1,150	1,50;35,25	40021401	0
fashion_102352	hero102		c002|face|c002_face001_t1|head|c002_head006_t1	c002h|face|c002h_face001_t1|head|c002h_head006_t1	3			item130000002352	item130000002352,-1;item132000002352,604800;item132000002552,86400	FashionDes_130000002352		1,150	1,50;35,25	40021402	0
fashion_102353	hero102		c002|face|c002_face001_t1|head|c002_head010_t1	c002h|face|c002h_face001_t1|head|c002h_head010_t1	3			item130000002353	item130000002353,-1	FashionDes_130000002353		1,150	1,50;35,25	40021403	0
fashion_102354	hero102		c002|face|c002_face001_t1|head|c002_head504_t1	c002h|face|c002h_face001_t1|head|c002h_head504_t1	3			item130000002354	item130000002354,-1	FashionDes_130000002354		1,150	1,50;35,25	40021404	0
fashion_102355	hero102		c002|face|c002_face001_t1|head|c002_head505_t1	c002h|face|c002h_face001_t1|head|c002h_head505_t1	3			item130000002355	item130000002355,-1	FashionDes_130000002355		1,150	1,50;35,25	40021405	0
fashion_102356	hero102		c002|face|c002_face001_t1|head|c002_head507_t1	c002h|face|c002h_face001_t1|head|c002h_head507_t1	3			item130000002356	item130000002356,-1	FashionDes_130000002356		1,150	1,50;35,25	40021406	0
fashion_102357	hero102		c002|face|c002_face001_t1|head|c002_head508_t1	c002h|face|c002h_face001_t1|head|c002h_head508_t1	3			item130000002357	item130000002357,-1	FashionDes_130000002357		1,150	1,50;35,25	40021407	0
fashion_102358	hero102		c002|face|c002_face001_t1|head|c002_head506_t1	c002h|face|c002h_face001_t1|head|c002h_head506_t1	3			item130000002358	item130000002358,-1;item133000002358,259200	FashionDes_130000002358		1,150	1,50;35,25	40021408	0
fashion_102359	hero102		c002|face|c002_face001_t1|head|c002_head509_t1	c002h|face|c002h_face001_t1|head|c002h_head509_t1	3			item130000002359	item130000002359,-1	FashionDes_130000002359		1,150	1,50;35,25	40021409	0
fashion_102371	hero102		c002|face|c002_face001_t1|head|c002_head007_t1	c002h|face|c002h_face001_t1|head|c002h_head007_t1	3	10220251,10220252,10220253		item130000002371	item130000002371,-1	FashionDes_130000002371		1,50	1,20	0	0
fashion_102372	hero102		c002|face|c002_face001_t1|head|c002_head008_t1	c002h|face|c002h_face001_t1|head|c002h_head008_t1	3	10220221,10220222,10220223		item130000002372	item130000002372,-1	FashionDes_130000002372		1,50	1,20	0	0
fashion_102373	hero102		c002|face|c002_face001_t1|head|c002_head009_t1	c002h|face|c002h_face001_t1|head|c002h_head009_t1	3	10220241,10220242,10220243		item130000002373	item130000002373,-1	FashionDes_130000002373		1,50	1,20	0	0
fashion_102374	hero102		c002|face|c002_face001_t1|head|c002_head013_t1	c002h|face|c002h_face001_t1|head|c002h_head013_t1	3			item130000002374	item130000002374,-1	FashionDes_130000002374		1,50	1,20	0	0
fashion_302301	hero102		c002|face||head|c002_head301_t1	c002h|face||head|c002h_head301_t1	3			item130000302301	item130000302301,-1	FashionDes_130000301301		1,150	1,50;35,25	0	0
fashion_302302	hero102		c002|face|c002_face001_t1|head|c002_head302_t1	c002h|face|c002h_face001_t1|head|c002h_head302_t1	3			item130000302302	item130000302302,-1	FashionDes_130000301302		1,500;12,150;52,100;32,100;34,100	1,200;3,20;32,50;34,50	0	0
