流水ID	画册编号	关卡编号	格子布局数据01	格子布局数据02	起始行	起始列	关卡出现概率
49	3	29	1585217024	7105662	0	0	67
50	3	30	976109056	8027774	0	0	67
51	3	31	2084469248	6717022	0	0	67
52	3	32	1987468800	7892606	0	0	67
53	3	33	1048462848	8286846	0	0	67
54	3	34	1584282112	8283774	0	0	67
55	3	35	1549696512	1867390	0	0	67
56	3	36	1849572864	8288814	0	0	67
57	3	37	1987738112	7240286	0	0	67
58	3	38	2122201600	7229038	0	0	67
59	3	39	1985895936	8158332	0	0	67
60	3	40	1853777408	8287804	0	0	67
61	3	41	2122200576	7763558	0	0	67
62	3	42	1853251072	8280698	0	0	67
63	3	43	2120646144	7235710	0	0	67
64	3	44	2088132096	1998454	0	0	67
65	3	45	1719561728	7108222	0	0	67
66	3	46	2055093760	6714494	0	0	67
67	3	47	2122217984	4069998	0	0	67
68	3	48	1585217024	7372402	0	0	67
69	3	49	1987460608	7765614	0	0	67
70	3	50	1719033344	4091518	0	0	67
71	3	51	2121408000	8150654	0	0	67
72	3	52	242908672	7240318	0	0	67
73	3	53	2021539328	8156734	0	0	67
74	3	54	1954311680	8288876	0	0	67
75	3	55	914259456	8156798	0	0	67
76	3	56	1048477184	8288818	0	0	67
77	3	57	1047690752	8289902	0	0	67
78	3	58	2117631488	7765630	0	0	67
79	3	59	2121940480	8287868	0	0	67
80	3	60	1852734976	3964542	0	0	67
81	3	61	1316912640	8286846	0	0	67
82	3	62	1048477184	3309182	0	0	67
83	3	63	1044135424	3941934	0	0	67
84	3	64	840842752	4077110	0	0	67
85	3	65	1044265472	3944510	0	0	67
86	3	66	910044672	3554854	0	0	67
87	3	67	1042030080	3947582	0	0	67
88	3	68	1043082752	3552830	0	0	67
89	3	69	1044264448	3943478	0	0	67
90	3	70	1847475712	31870	0	0	67
91	3	71	1518235136	27774	0	0	67
92	3	72	1719561728	28270	0	0	67
93	3	73	644774400	32382	0	0	67
94	3	74	2115911168	7806	0	0	67
95	3	75	2055108096	15478	0	0	67
96	3	76	2122219008	15412	0	0	67
97	3	77	2088140288	7804	0	0	67
98	3	78	2121924608	15480	0	0	67
99	3	79	2117992448	13436	0	0	67
100	3	80	1316880384	26222	0	0	67
101	3	81	1717960704	30334	0	0	67
102	3	82	2088632320	32322	0	0	67
103	3	83	473701376	1588276	0	0	67
104	3	84	473709568	3939344	0	0	67
105	3	85	1008475136	3933244	0	0	67
106	3	86	1008475136	3159100	0	0	67
107	3	87	942676992	3685436	0	0	67
108	3	88	942420992	1850424	0	0	67
109	3	89	808467456	3939388	0	0	67
110	3	90	1010045952	1850424	0	0	67
111	3	91	1010578432	3947536	0	0	67
112	3	92	673987584	3947576	0	0	67
113	3	93	874265600	3947556	0	0	67
114	3	94	1010056192	1848364	0	0	67
115	3	95	1010574336	1850412	0	0	67
116	3	96	809253888	3943480	0	0	67
117	3	97	1009527808	801852	0	0	67
118	3	98	473709568	3681308	0	0	67
119	3	99	2120121856	7229054	0	0	67
120	3	100	2055101952	8288890	0	0	67
121	3	101	1047428608	8289404	0	0	66
122	3	102	1849589248	4095612	0	0	66
123	3	103	2122219008	8015484	0	0	66
124	3	104	2121928192	945790	0	0	66
125	3	105	1853765120	4070972	0	0	66
126	3	106	1008475136	3945500	0	0	66
127	3	107	943469568	3945524	0	0	66
128	3	108	943463424	3947568	0	0	66
129	3	109	473709568	277564	0	0	66
130	3	110	1008483328	801836	0	0	66
131	3	111	1009785856	1850428	0	0	66
132	3	112	1010572288	3423280	0	0	66
133	3	113	1010574336	3947556	0	0	66
134	3	114	606874624	15420	0	0	66
135	3	115	741618688	7228	0	0	66
136	3	116	1010580480	12312	0	0	66
137	3	117	741096448	6204	0	0	66
138	3	118	1010318336	7188	0	0	66
139	3	119	942156800	15420	0	0	66
140	3	120	1010572288	14360	0	0	66
141	3	121	1008475136	15396	0	0	66
142	3	122	942423040	15372	0	0	66
143	3	123	907950592	15918	0	0	66
144	3	124	910048768	14366	0	0	66
145	3	125	909917696	7710	0	0	66
146	3	126	775828992	12862	0	0	66
147	3	127	1044133376	7710	0	0	66
148	3	128	1043740160	15928	0	0	66
149	3	129	641482240	15422	0	0	66
150	3	130	1042161152	15928	0	0	66
151	3	131	473710080	15926	0	0	66
152	3	132	1044254208	15416	0	0	66
153	3	133	2120119808	27774	0	0	66
154	3	134	910065152	32374	0	0	66
155	3	135	1047428608	20094	0	0	66
156	3	136	842937856	1982014	0	0	66
157	3	137	1010711040	4079154	0	0	66
158	3	138	909524480	3817014	0	0	66
159	3	139	1009662464	4075070	0	0	66
160	3	140	910048768	4078614	0	0	66
161	3	141	775818752	4077118	0	0	66
162	3	142	507394560	4079118	0	0	66
163	3	143	907943424	3948092	0	0	66
164	3	144	909000192	7702	0	0	66
165	3	145	507393536	15412	0	0	66
166	3	146	574496256	13886	0	0	66
167	3	147	907419136	13886	0	0	66
168	3	148	1585347072	15486	0	0	66
169	3	149	1852734976	26238	0	0	66
170	3	150	2122211840	32378	0	0	66
