流水	印记id	随机属性条数	属性条数权重	属性库	消耗货币	锁定数量	消耗道具
41	item127000065119	1	3000	10003	1,200000	0	item127000065132,3
42	item127000065119	2	3800	10003	1,200000	1	item127000065132,6
43	item127000065119	3	2000	10003	1,200000	2	item127000065132,9
44	item127000065119	4	1200	10003	1,200000	3	item127000065132,18
45	item127000065120	1	3000	10003	1,200000	0	item127000065132,3
46	item127000065120	2	3800	10003	1,200000	1	item127000065132,6
47	item127000065120	3	2000	10003	1,200000	2	item127000065132,9
48	item127000065120	4	1200	10003	1,200000	3	item127000065132,18
49	item127000065121	1	3000	10003	1,200000	0	item127000065132,3
50	item127000065121	2	3800	10003	1,200000	1	item127000065132,6
51	item127000065121	3	2000	10003	1,200000	2	item127000065132,9
52	item127000065121	4	1200	10003	1,200000	3	item127000065132,18
53	item127000065122	1	3000	10003	1,200000	0	item127000065132,3
54	item127000065122	2	3800	10003	1,200000	1	item127000065132,6
55	item127000065122	3	2000	10003	1,200000	2	item127000065132,9
56	item127000065122	4	1200	10003	1,200000	3	item127000065132,18
57	item127000065123	1	3000	10003	1,200000	0	item127000065132,3
58	item127000065123	2	3800	10003	1,200000	1	item127000065132,6
59	item127000065123	3	2000	10003	1,200000	2	item127000065132,9
60	item127000065123	4	1200	10003	1,200000	3	item127000065132,18
61	item127000065124	1	3000	10003	1,200000	0	item127000065132,3
62	item127000065124	2	3800	10003	1,200000	1	item127000065132,6
63	item127000065124	3	2000	10003	1,200000	2	item127000065132,9
64	item127000065124	4	1200	10003	1,200000	3	item127000065132,18
65	item127000065125	1	1500	10004	1,300000	0	item127000065132,6
66	item127000065125	2	3400	10004	1,300000	1	item127000065132,12
67	item127000065125	3	3000	10004	1,300000	2	item127000065132,18
68	item127000065125	4	1500	10004	1,300000	3	item127000065132,36
69	item127000065125	5	600	10004	1,300000	3	item127000065132,36
70	item127000065126	1	1500	10004	1,300000	0	item127000065132,6
71	item127000065126	2	3400	10004	1,300000	1	item127000065132,12
72	item127000065126	3	3000	10004	1,300000	2	item127000065132,18
73	item127000065126	4	1500	10004	1,300000	3	item127000065132,36
74	item127000065126	5	600	10004	1,300000	3	item127000065132,36
75	item127000065127	1	1500	10004	1,300000	0	item127000065132,6
76	item127000065127	2	3400	10004	1,300000	1	item127000065132,12
77	item127000065127	3	3000	10004	1,300000	2	item127000065132,18
78	item127000065127	4	1500	10004	1,300000	3	item127000065132,36
79	item127000065127	5	600	10004	1,300000	3	item127000065132,36
80	item127000065128	1	1500	10004	1,300000	0	item127000065132,6
81	item127000065128	2	3400	10004	1,300000	1	item127000065132,12
82	item127000065128	3	3000	10004	1,300000	2	item127000065132,18
83	item127000065128	4	1500	10004	1,300000	3	item127000065132,36
84	item127000065128	5	600	10004	1,300000	3	item127000065132,36
85	item127000065129	1	1500	10004	1,300000	0	item127000065132,6
86	item127000065129	2	3400	10004	1,300000	1	item127000065132,12
87	item127000065129	3	3000	10004	1,300000	2	item127000065132,18
88	item127000065129	4	1500	10004	1,300000	3	item127000065132,36
89	item127000065129	5	600	10004	1,300000	3	item127000065132,36
90	item127000065130	1	1500	10004	1,300000	0	item127000065132,6
91	item127000065130	2	3400	10004	1,300000	1	item127000065132,12
92	item127000065130	3	3000	10004	1,300000	2	item127000065132,18
93	item127000065130	4	1500	10004	1,300000	3	item127000065132,36
94	item127000065130	5	600	10004	1,300000	0	
