流水id	元素灵ID	元素灵等级	人物等级	元素灵主动等级	元素灵被动等级	到当前级属性加成	升下一级所需经验
46	elemental_npc_3001	46	80	3	3	279,100000;281,10000;285,10000	6000
47	elemental_npc_3001	47	80	3	3	279,100000;281,10000;285,10000	6120
48	elemental_npc_3001	48	80	3	3	279,100000;281,10000;285,10000	6240
49	elemental_npc_3001	49	80	3	3	279,100000;281,10000;285,10000	6360
50	elemental_npc_3001	50	80	3	3	279,100000;281,10000;285,10000	6480
51	elemental_npc_3001	51	80	4	4	279,100000;281,10000;285,10000	6600
52	elemental_npc_3001	52	80	4	4	279,100000;281,10000;285,10000	6720
53	elemental_npc_3001	53	80	4	4	279,100000;281,10000;285,10000	6840
54	elemental_npc_3001	54	80	4	4	279,100000;281,10000;285,10000	6960
55	elemental_npc_3001	55	80	4	4	279,100000;281,10000;285,10000	7080
56	elemental_npc_3001	56	80	4	4	279,100000;281,10000;285,10000	7200
57	elemental_npc_3001	57	80	4	4	279,100000;281,10000;285,10000	7320
58	elemental_npc_3001	58	80	4	4	279,100000;281,10000;285,10000	7440
59	elemental_npc_3001	59	80	4	4	279,100000;281,10000;285,10000	7560
60	elemental_npc_3001	60	80	4	4	279,100000;281,10000;285,10000	7680
61	elemental_npc_3001	61	80	5	5	279,100000;281,10000;285,10000	15600
62	elemental_npc_3001	62	80	5	5	279,100000;281,10000;285,10000	15840
63	elemental_npc_3001	63	80	5	5	279,100000;281,10000;285,10000	16080
64	elemental_npc_3001	64	80	5	5	279,100000;281,10000;285,10000	16320
65	elemental_npc_3001	65	80	5	5	279,100000;281,10000;285,10000	16560
66	elemental_npc_3001	66	80	5	5	279,100000;281,10000;285,10000	16800
67	elemental_npc_3001	67	80	5	5	279,100000;281,10000;285,10000	17040
68	elemental_npc_3001	68	80	5	5	279,100000;281,10000;285,10000	17280
69	elemental_npc_3001	69	80	5	5	279,100000;281,10000;285,10000	17520
70	elemental_npc_3001	70	80	5	5	279,100000;281,10000;285,10000	17760
71	elemental_npc_4001	1	80	1	1		800
72	elemental_npc_4001	2	80	1	1	279,250000;281,25000;285,25000	960
73	elemental_npc_4001	3	80	1	1	279,250000;281,25000;285,25000	1120
74	elemental_npc_4001	4	80	1	1	279,250000;281,25000;285,25000	1280
75	elemental_npc_4001	5	80	1	1	279,250000;281,25000;285,25000	1440
76	elemental_npc_4001	6	80	1	1	279,250000;281,25000;285,25000	1600
77	elemental_npc_4001	7	80	1	1	279,250000;281,25000;285,25000	1760
78	elemental_npc_4001	8	80	1	1	279,250000;281,25000;285,25000	1920
79	elemental_npc_4001	9	80	1	1	279,250000;281,25000;285,25000	2080
80	elemental_npc_4001	10	80	1	1	279,250000;281,25000;285,25000	2240
81	elemental_npc_4001	11	80	1	1	279,250000;281,25000;285,25000	2400
82	elemental_npc_4001	12	80	1	1	279,250000;281,25000;285,25000	2560
83	elemental_npc_4001	13	80	1	1	279,250000;281,25000;285,25000	2720
84	elemental_npc_4001	14	80	1	1	279,250000;281,25000;285,25000	2880
85	elemental_npc_4001	15	80	1	1	279,250000;281,25000;285,25000	3040
86	elemental_npc_4001	16	80	1	1	279,250000;281,25000;285,25000	3200
87	elemental_npc_4001	17	80	1	1	279,250000;281,25000;285,25000	3360
88	elemental_npc_4001	18	80	1	1	279,250000;281,25000;285,25000	3520
89	elemental_npc_4001	19	80	1	1	279,250000;281,25000;285,25000	3680
90	elemental_npc_4001	20	80	1	1	279,250000;281,25000;285,25000	3840
91	elemental_npc_4001	21	80	1	1	279,250000;281,25000;285,25000	4000
92	elemental_npc_4001	22	80	1	1	279,250000;281,25000;285,25000	4160
93	elemental_npc_4001	23	80	1	1	279,250000;281,25000;285,25000	4320
94	elemental_npc_4001	24	80	1	1	279,250000;281,25000;285,25000	4480
95	elemental_npc_4001	25	80	1	1	279,250000;281,25000;285,25000	4640
96	elemental_npc_4001	26	80	1	1	279,250000;281,25000;285,25000	4800
97	elemental_npc_4001	27	80	1	1	279,250000;281,25000;285,25000	4960
98	elemental_npc_4001	28	80	1	1	279,250000;281,25000;285,25000	5120
99	elemental_npc_4001	29	80	1	1	279,250000;281,25000;285,25000	5280
100	elemental_npc_4001	30	80	1	1	279,250000;281,25000;285,25000	5440
101	elemental_npc_4001	31	80	2	2	279,250000;281,25000;285,25000	5600
102	elemental_npc_4001	32	80	2	2	279,250000;281,25000;285,25000	5760
103	elemental_npc_4001	33	80	2	2	279,250000;281,25000;285,25000	5920
104	elemental_npc_4001	34	80	2	2	279,250000;281,25000;285,25000	6080
105	elemental_npc_4001	35	80	2	2	279,250000;281,25000;285,25000	6240
106	elemental_npc_4001	36	80	2	2	279,250000;281,25000;285,25000	6400
107	elemental_npc_4001	37	80	2	2	279,250000;281,25000;285,25000	6560
108	elemental_npc_4001	38	80	2	2	279,250000;281,25000;285,25000	6720
109	elemental_npc_4001	39	80	2	2	279,250000;281,25000;285,25000	6880
110	elemental_npc_4001	40	80	2	2	279,250000;281,25000;285,25000	7040
111	elemental_npc_4001	41	80	3	3	279,250000;281,25000;285,25000	7200
112	elemental_npc_4001	42	80	3	3	279,250000;281,25000;285,25000	7360
113	elemental_npc_4001	43	80	3	3	279,250000;281,25000;285,25000	7520
114	elemental_npc_4001	44	80	3	3	279,250000;281,25000;285,25000	7680
115	elemental_npc_4001	45	80	3	3	279,250000;281,25000;285,25000	7840
116	elemental_npc_4001	46	80	3	3	279,250000;281,25000;285,25000	8000
117	elemental_npc_4001	47	80	3	3	279,250000;281,25000;285,25000	8160
118	elemental_npc_4001	48	80	3	3	279,250000;281,25000;285,25000	8320
119	elemental_npc_4001	49	80	3	3	279,250000;281,25000;285,25000	8480
120	elemental_npc_4001	50	80	3	3	279,250000;281,25000;285,25000	8640
121	elemental_npc_4001	51	80	4	4	279,250000;281,25000;285,25000	8800
122	elemental_npc_4001	52	80	4	4	279,250000;281,25000;285,25000	8960
123	elemental_npc_4001	53	80	4	4	279,250000;281,25000;285,25000	9120
124	elemental_npc_4001	54	80	4	4	279,250000;281,25000;285,25000	9280
125	elemental_npc_4001	55	80	4	4	279,250000;281,25000;285,25000	9440
126	elemental_npc_4001	56	80	4	4	279,250000;281,25000;285,25000	9600
127	elemental_npc_4001	57	80	4	4	279,250000;281,25000;285,25000	9760
128	elemental_npc_4001	58	80	4	4	279,250000;281,25000;285,25000	9920
129	elemental_npc_4001	59	80	4	4	279,250000;281,25000;285,25000	10080
130	elemental_npc_4001	60	80	4	4	279,250000;281,25000;285,25000	10240
131	elemental_npc_4001	61	80	5	5	279,250000;281,25000;285,25000	20800
132	elemental_npc_4001	62	80	5	5	279,250000;281,25000;285,25000	21120
133	elemental_npc_4001	63	80	5	5	279,250000;281,25000;285,25000	21440
134	elemental_npc_4001	64	80	5	5	279,250000;281,25000;285,25000	21760
135	elemental_npc_4001	65	80	5	5	279,250000;281,25000;285,25000	22080
136	elemental_npc_4001	66	80	5	5	279,250000;281,25000;285,25000	22400
137	elemental_npc_4001	67	80	5	5	279,250000;281,25000;285,25000	22720
138	elemental_npc_4001	68	80	5	5	279,250000;281,25000;285,25000	23040
139	elemental_npc_4001	69	80	5	5	279,250000;281,25000;285,25000	23360
140	elemental_npc_4001	70	80	5	5	279,250000;281,25000;285,25000	23680
141	elemental_npc_4002	1	80	1	1		800
142	elemental_npc_4002	2	80	1	1	279,250000;281,25000;285,25000	960
143	elemental_npc_4002	3	80	1	1	279,250000;281,25000;285,25000	1120
144	elemental_npc_4002	4	80	1	1	279,250000;281,25000;285,25000	1280
145	elemental_npc_4002	5	80	1	1	279,250000;281,25000;285,25000	1440
146	elemental_npc_4002	6	80	1	1	279,250000;281,25000;285,25000	1600
147	elemental_npc_4002	7	80	1	1	279,250000;281,25000;285,25000	1760
148	elemental_npc_4002	8	80	1	1	279,250000;281,25000;285,25000	1920
149	elemental_npc_4002	9	80	1	1	279,250000;281,25000;285,25000	2080
150	elemental_npc_4002	10	80	1	1	279,250000;281,25000;285,25000	2240
151	elemental_npc_4002	11	80	1	1	279,250000;281,25000;285,25000	2400
152	elemental_npc_4002	12	80	1	1	279,250000;281,25000;285,25000	2560
153	elemental_npc_4002	13	80	1	1	279,250000;281,25000;285,25000	2720
154	elemental_npc_4002	14	80	1	1	279,250000;281,25000;285,25000	2880
155	elemental_npc_4002	15	80	1	1	279,250000;281,25000;285,25000	3040
156	elemental_npc_4002	16	80	1	1	279,250000;281,25000;285,25000	3200
157	elemental_npc_4002	17	80	1	1	279,250000;281,25000;285,25000	3360
158	elemental_npc_4002	18	80	1	1	279,250000;281,25000;285,25000	3520
159	elemental_npc_4002	19	80	1	1	279,250000;281,25000;285,25000	3680
160	elemental_npc_4002	20	80	1	1	279,250000;281,25000;285,25000	3840
161	elemental_npc_4002	21	80	1	1	279,250000;281,25000;285,25000	4000
162	elemental_npc_4002	22	80	1	1	279,250000;281,25000;285,25000	4160
163	elemental_npc_4002	23	80	1	1	279,250000;281,25000;285,25000	4320
164	elemental_npc_4002	24	80	1	1	279,250000;281,25000;285,25000	4480
165	elemental_npc_4002	25	80	1	1	279,250000;281,25000;285,25000	4640
166	elemental_npc_4002	26	80	1	1	279,250000;281,25000;285,25000	4800
167	elemental_npc_4002	27	80	1	1	279,250000;281,25000;285,25000	4960
168	elemental_npc_4002	28	80	1	1	279,250000;281,25000;285,25000	5120
169	elemental_npc_4002	29	80	1	1	279,250000;281,25000;285,25000	5280
170	elemental_npc_4002	30	80	1	1	279,250000;281,25000;285,25000	5440
171	elemental_npc_4002	31	80	2	2	279,250000;281,25000;285,25000	5600
172	elemental_npc_4002	32	80	2	2	279,250000;281,25000;285,25000	5760
173	elemental_npc_4002	33	80	2	2	279,250000;281,25000;285,25000	5920
174	elemental_npc_4002	34	80	2	2	279,250000;281,25000;285,25000	6080
175	elemental_npc_4002	35	80	2	2	279,250000;281,25000;285,25000	6240
176	elemental_npc_4002	36	80	2	2	279,250000;281,25000;285,25000	6400
177	elemental_npc_4002	37	80	2	2	279,250000;281,25000;285,25000	6560
178	elemental_npc_4002	38	80	2	2	279,250000;281,25000;285,25000	6720
179	elemental_npc_4002	39	80	2	2	279,250000;281,25000;285,25000	6880
180	elemental_npc_4002	40	80	2	2	279,250000;281,25000;285,25000	7040
181	elemental_npc_4002	41	80	3	3	279,250000;281,25000;285,25000	7200
182	elemental_npc_4002	42	80	3	3	279,250000;281,25000;285,25000	7360
183	elemental_npc_4002	43	80	3	3	279,250000;281,25000;285,25000	7520
184	elemental_npc_4002	44	80	3	3	279,250000;281,25000;285,25000	7680
185	elemental_npc_4002	45	80	3	3	279,250000;281,25000;285,25000	7840
186	elemental_npc_4002	46	80	3	3	279,250000;281,25000;285,25000	8000
187	elemental_npc_4002	47	80	3	3	279,250000;281,25000;285,25000	8160
188	elemental_npc_4002	48	80	3	3	279,250000;281,25000;285,25000	8320
189	elemental_npc_4002	49	80	3	3	279,250000;281,25000;285,25000	8480
190	elemental_npc_4002	50	80	3	3	279,250000;281,25000;285,25000	8640
191	elemental_npc_4002	51	80	4	4	279,250000;281,25000;285,25000	8800
192	elemental_npc_4002	52	80	4	4	279,250000;281,25000;285,25000	8960
193	elemental_npc_4002	53	80	4	4	279,250000;281,25000;285,25000	9120
194	elemental_npc_4002	54	80	4	4	279,250000;281,25000;285,25000	9280
195	elemental_npc_4002	55	80	4	4	279,250000;281,25000;285,25000	9440
196	elemental_npc_4002	56	80	4	4	279,250000;281,25000;285,25000	9600
197	elemental_npc_4002	57	80	4	4	279,250000;281,25000;285,25000	9760
198	elemental_npc_4002	58	80	4	4	279,250000;281,25000;285,25000	9920
199	elemental_npc_4002	59	80	4	4	279,250000;281,25000;285,25000	10080
200	elemental_npc_4002	60	80	4	4	279,250000;281,25000;285,25000	10240
201	elemental_npc_4002	61	80	5	5	279,250000;281,25000;285,25000	20800
202	elemental_npc_4002	62	80	5	5	279,250000;281,25000;285,25000	21120
203	elemental_npc_4002	63	80	5	5	279,250000;281,25000;285,25000	21440
204	elemental_npc_4002	64	80	5	5	279,250000;281,25000;285,25000	21760
205	elemental_npc_4002	65	80	5	5	279,250000;281,25000;285,25000	22080
206	elemental_npc_4002	66	80	5	5	279,250000;281,25000;285,25000	22400
207	elemental_npc_4002	67	80	5	5	279,250000;281,25000;285,25000	22720
208	elemental_npc_4002	68	80	5	5	279,250000;281,25000;285,25000	23040
209	elemental_npc_4002	69	80	5	5	279,250000;281,25000;285,25000	23360
210	elemental_npc_4002	70	80	5	5	279,250000;281,25000;285,25000	23680
211	elemental_npc_4003	1	80	1	1		800
212	elemental_npc_4003	2	80	1	1	279,250000;281,25000;285,25000	960
213	elemental_npc_4003	3	80	1	1	279,250000;281,25000;285,25000	1120
214	elemental_npc_4003	4	80	1	1	279,250000;281,25000;285,25000	1280
215	elemental_npc_4003	5	80	1	1	279,250000;281,25000;285,25000	1440
216	elemental_npc_4003	6	80	1	1	279,250000;281,25000;285,25000	1600
217	elemental_npc_4003	7	80	1	1	279,250000;281,25000;285,25000	1760
218	elemental_npc_4003	8	80	1	1	279,250000;281,25000;285,25000	1920
219	elemental_npc_4003	9	80	1	1	279,250000;281,25000;285,25000	2080
220	elemental_npc_4003	10	80	1	1	279,250000;281,25000;285,25000	2240
221	elemental_npc_4003	11	80	1	1	279,250000;281,25000;285,25000	2400
222	elemental_npc_4003	12	80	1	1	279,250000;281,25000;285,25000	2560
223	elemental_npc_4003	13	80	1	1	279,250000;281,25000;285,25000	2720
224	elemental_npc_4003	14	80	1	1	279,250000;281,25000;285,25000	2880
225	elemental_npc_4003	15	80	1	1	279,250000;281,25000;285,25000	3040
226	elemental_npc_4003	16	80	1	1	279,250000;281,25000;285,25000	3200
227	elemental_npc_4003	17	80	1	1	279,250000;281,25000;285,25000	3360
228	elemental_npc_4003	18	80	1	1	279,250000;281,25000;285,25000	3520
229	elemental_npc_4003	19	80	1	1	279,250000;281,25000;285,25000	3680
230	elemental_npc_4003	20	80	1	1	279,250000;281,25000;285,25000	3840
231	elemental_npc_4003	21	80	1	1	279,250000;281,25000;285,25000	4000
232	elemental_npc_4003	22	80	1	1	279,250000;281,25000;285,25000	4160
233	elemental_npc_4003	23	80	1	1	279,250000;281,25000;285,25000	4320
234	elemental_npc_4003	24	80	1	1	279,250000;281,25000;285,25000	4480
235	elemental_npc_4003	25	80	1	1	279,250000;281,25000;285,25000	4640
236	elemental_npc_4003	26	80	1	1	279,250000;281,25000;285,25000	4800
237	elemental_npc_4003	27	80	1	1	279,250000;281,25000;285,25000	4960
238	elemental_npc_4003	28	80	1	1	279,250000;281,25000;285,25000	5120
239	elemental_npc_4003	29	80	1	1	279,250000;281,25000;285,25000	5280
240	elemental_npc_4003	30	80	1	1	279,250000;281,25000;285,25000	5440
241	elemental_npc_4003	31	80	2	2	279,250000;281,25000;285,25000	5600
242	elemental_npc_4003	32	80	2	2	279,250000;281,25000;285,25000	5760
243	elemental_npc_4003	33	80	2	2	279,250000;281,25000;285,25000	5920
244	elemental_npc_4003	34	80	2	2	279,250000;281,25000;285,25000	6080
245	elemental_npc_4003	35	80	2	2	279,250000;281,25000;285,25000	6240
246	elemental_npc_4003	36	80	2	2	279,250000;281,25000;285,25000	6400
247	elemental_npc_4003	37	80	2	2	279,250000;281,25000;285,25000	6560
248	elemental_npc_4003	38	80	2	2	279,250000;281,25000;285,25000	6720
249	elemental_npc_4003	39	80	2	2	279,250000;281,25000;285,25000	6880
250	elemental_npc_4003	40	80	2	2	279,250000;281,25000;285,25000	7040
251	elemental_npc_4003	41	80	3	3	279,250000;281,25000;285,25000	7200
252	elemental_npc_4003	42	80	3	3	279,250000;281,25000;285,25000	7360
253	elemental_npc_4003	43	80	3	3	279,250000;281,25000;285,25000	7520
254	elemental_npc_4003	44	80	3	3	279,250000;281,25000;285,25000	7680
255	elemental_npc_4003	45	80	3	3	279,250000;281,25000;285,25000	7840
256	elemental_npc_4003	46	80	3	3	279,250000;281,25000;285,25000	8000
257	elemental_npc_4003	47	80	3	3	279,250000;281,25000;285,25000	8160
258	elemental_npc_4003	48	80	3	3	279,250000;281,25000;285,25000	8320
259	elemental_npc_4003	49	80	3	3	279,250000;281,25000;285,25000	8480
260	elemental_npc_4003	50	80	3	3	279,250000;281,25000;285,25000	8640
261	elemental_npc_4003	51	80	4	4	279,250000;281,25000;285,25000	8800
262	elemental_npc_4003	52	80	4	4	279,250000;281,25000;285,25000	8960
263	elemental_npc_4003	53	80	4	4	279,250000;281,25000;285,25000	9120
264	elemental_npc_4003	54	80	4	4	279,250000;281,25000;285,25000	9280
265	elemental_npc_4003	55	80	4	4	279,250000;281,25000;285,25000	9440
266	elemental_npc_4003	56	80	4	4	279,250000;281,25000;285,25000	9600
267	elemental_npc_4003	57	80	4	4	279,250000;281,25000;285,25000	9760
268	elemental_npc_4003	58	80	4	4	279,250000;281,25000;285,25000	9920
269	elemental_npc_4003	59	80	4	4	279,250000;281,25000;285,25000	10080
270	elemental_npc_4003	60	80	4	4	279,250000;281,25000;285,25000	10240
271	elemental_npc_4003	61	80	5	5	279,250000;281,25000;285,25000	20800
272	elemental_npc_4003	62	80	5	5	279,250000;281,25000;285,25000	21120
273	elemental_npc_4003	63	80	5	5	279,250000;281,25000;285,25000	21440
274	elemental_npc_4003	64	80	5	5	279,250000;281,25000;285,25000	21760
275	elemental_npc_4003	65	80	5	5	279,250000;281,25000;285,25000	22080
276	elemental_npc_4003	66	80	5	5	279,250000;281,25000;285,25000	22400
277	elemental_npc_4003	67	80	5	5	279,250000;281,25000;285,25000	22720
278	elemental_npc_4003	68	80	5	5	279,250000;281,25000;285,25000	23040
279	elemental_npc_4003	69	80	5	5	279,250000;281,25000;285,25000	23360
280	elemental_npc_4003	70	80	5	5	279,250000;281,25000;285,25000	23680
281	elemental_npc_5001	1	80	1	1		1200
282	elemental_npc_5001	2	80	1	1	279,400000;281,40000;285,40000	1440
283	elemental_npc_5001	3	80	1	1	279,400000;281,40000;285,40000	1680
284	elemental_npc_5001	4	80	1	1	279,400000;281,40000;285,40000	1920
285	elemental_npc_5001	5	80	1	1	279,400000;281,40000;285,40000	2160
286	elemental_npc_5001	6	80	1	1	279,400000;281,40000;285,40000	2400
287	elemental_npc_5001	7	80	1	1	279,400000;281,40000;285,40000	2640
288	elemental_npc_5001	8	80	1	1	279,400000;281,40000;285,40000	2880
289	elemental_npc_5001	9	80	1	1	279,400000;281,40000;285,40000	3120
290	elemental_npc_5001	10	80	1	1	279,400000;281,40000;285,40000	3360
291	elemental_npc_5001	11	80	1	1	279,400000;281,40000;285,40000	3600
292	elemental_npc_5001	12	80	1	1	279,400000;281,40000;285,40000	3840
293	elemental_npc_5001	13	80	1	1	279,400000;281,40000;285,40000	4080
294	elemental_npc_5001	14	80	1	1	279,400000;281,40000;285,40000	4320
295	elemental_npc_5001	15	80	1	1	279,400000;281,40000;285,40000	4560
296	elemental_npc_5001	16	80	1	1	279,400000;281,40000;285,40000	4800
297	elemental_npc_5001	17	80	1	1	279,400000;281,40000;285,40000	5040
298	elemental_npc_5001	18	80	1	1	279,400000;281,40000;285,40000	5280
299	elemental_npc_5001	19	80	1	1	279,400000;281,40000;285,40000	5520
300	elemental_npc_5001	20	80	1	1	279,400000;281,40000;285,40000	5760
301	elemental_npc_5001	21	80	1	1	279,400000;281,40000;285,40000	6000
302	elemental_npc_5001	22	80	1	1	279,400000;281,40000;285,40000	6240
303	elemental_npc_5001	23	80	1	1	279,400000;281,40000;285,40000	6480
304	elemental_npc_5001	24	80	1	1	279,400000;281,40000;285,40000	6720
305	elemental_npc_5001	25	80	1	1	279,400000;281,40000;285,40000	6960
306	elemental_npc_5001	26	80	1	1	279,400000;281,40000;285,40000	7200
307	elemental_npc_5001	27	80	1	1	279,400000;281,40000;285,40000	7440
308	elemental_npc_5001	28	80	1	1	279,400000;281,40000;285,40000	7680
309	elemental_npc_5001	29	80	1	1	279,400000;281,40000;285,40000	7920
310	elemental_npc_5001	30	80	1	1	279,400000;281,40000;285,40000	8160
311	elemental_npc_5001	31	80	2	2	279,400000;281,40000;285,40000	8400
312	elemental_npc_5001	32	80	2	2	279,400000;281,40000;285,40000	8640
313	elemental_npc_5001	33	80	2	2	279,400000;281,40000;285,40000	8880
314	elemental_npc_5001	34	80	2	2	279,400000;281,40000;285,40000	9120
315	elemental_npc_5001	35	80	2	2	279,400000;281,40000;285,40000	9360
316	elemental_npc_5001	36	80	2	2	279,400000;281,40000;285,40000	9600
317	elemental_npc_5001	37	80	2	2	279,400000;281,40000;285,40000	9840
318	elemental_npc_5001	38	80	2	2	279,400000;281,40000;285,40000	10080
319	elemental_npc_5001	39	80	2	2	279,400000;281,40000;285,40000	10320
320	elemental_npc_5001	40	80	2	2	279,400000;281,40000;285,40000	10560
321	elemental_npc_5001	41	80	3	3	279,400000;281,40000;285,40000	10800
322	elemental_npc_5001	42	80	3	3	279,400000;281,40000;285,40000	11040
323	elemental_npc_5001	43	80	3	3	279,400000;281,40000;285,40000	11280
324	elemental_npc_5001	44	80	3	3	279,400000;281,40000;285,40000	11520
325	elemental_npc_5001	45	80	3	3	279,400000;281,40000;285,40000	11760
326	elemental_npc_5001	46	80	3	3	279,400000;281,40000;285,40000	12000
327	elemental_npc_5001	47	80	3	3	279,400000;281,40000;285,40000	12240
328	elemental_npc_5001	48	80	3	3	279,400000;281,40000;285,40000	12480
329	elemental_npc_5001	49	80	3	3	279,400000;281,40000;285,40000	12720
330	elemental_npc_5001	50	80	3	3	279,400000;281,40000;285,40000	12960
331	elemental_npc_5001	51	80	4	4	279,400000;281,40000;285,40000	13200
332	elemental_npc_5001	52	80	4	4	279,400000;281,40000;285,40000	13440
333	elemental_npc_5001	53	80	4	4	279,400000;281,40000;285,40000	13680
334	elemental_npc_5001	54	80	4	4	279,400000;281,40000;285,40000	13920
335	elemental_npc_5001	55	80	4	4	279,400000;281,40000;285,40000	14160
336	elemental_npc_5001	56	80	4	4	279,400000;281,40000;285,40000	14400
337	elemental_npc_5001	57	80	4	4	279,400000;281,40000;285,40000	14640
338	elemental_npc_5001	58	80	4	4	279,400000;281,40000;285,40000	14880
339	elemental_npc_5001	59	80	4	4	279,400000;281,40000;285,40000	15120
340	elemental_npc_5001	60	80	4	4	279,400000;281,40000;285,40000	15360
341	elemental_npc_5001	61	80	5	5	279,400000;281,40000;285,40000	31200
342	elemental_npc_5001	62	80	5	5	279,400000;281,40000;285,40000	31680
343	elemental_npc_5001	63	80	5	5	279,400000;281,40000;285,40000	32160
344	elemental_npc_5001	64	80	5	5	279,400000;281,40000;285,40000	32640
345	elemental_npc_5001	65	80	5	5	279,400000;281,40000;285,40000	33120
346	elemental_npc_5001	66	80	5	5	279,400000;281,40000;285,40000	33600
347	elemental_npc_5001	67	80	5	5	279,400000;281,40000;285,40000	34080
348	elemental_npc_5001	68	80	5	5	279,400000;281,40000;285,40000	34560
349	elemental_npc_5001	69	80	5	5	279,400000;281,40000;285,40000	35040
350	elemental_npc_5001	70	80	5	5	279,400000;281,40000;285,40000	35520
351	elemental_npc_5001	71	80	6	6	279,400000;281,40000;285,40000	36000
352	elemental_npc_5001	72	80	6	6	279,400000;281,40000;285,40000	36480
353	elemental_npc_5001	73	80	6	6	279,400000;281,40000;285,40000	36960
354	elemental_npc_5001	74	80	6	6	279,400000;281,40000;285,40000	37440
355	elemental_npc_5001	75	80	6	6	279,400000;281,40000;285,40000	37920
356	elemental_npc_5001	76	80	6	6	279,400000;281,40000;285,40000	38400
357	elemental_npc_5001	77	80	6	6	279,400000;281,40000;285,40000	38880
358	elemental_npc_5001	78	80	6	6	279,400000;281,40000;285,40000	39360
359	elemental_npc_5001	79	80	6	6	279,400000;281,40000;285,40000	39840
360	elemental_npc_5001	80	80	6	6	279,400000;281,40000;285,40000	40320
361	elemental_npc_5002	1	80	1	1		1200
362	elemental_npc_5002	2	80	1	1	279,400000;281,40000;285,40000	1440
363	elemental_npc_5002	3	80	1	1	279,400000;281,40000;285,40000	1680
364	elemental_npc_5002	4	80	1	1	279,400000;281,40000;285,40000	1920
365	elemental_npc_5002	5	80	1	1	279,400000;281,40000;285,40000	2160
366	elemental_npc_5002	6	80	1	1	279,400000;281,40000;285,40000	2400
