流水	共鸣属性id	是否显示	显示下限	显示上限	共鸣属性品质	属性1ID	属性下限	属性上限
381	10311	0	0	0	2	4	22	36
382	10312	0	0	0	3	4	40	45
383	10313	0	0	0	3	22	133	150
384	10314	0	0	0	3	24	133	150
385	10315	0	0	0	3	26	133	150
386	10316	0	0	0	3	4	40	45
387	10317	0	0	0	4	30	150	300
388	10317	0	0	0	4	4	40	45
389	10318	0	0	0	1	1	150	210
390	10319	0	0	0	2	1	220	360
391	10320	0	0	0	1	1	150	210
392	10321	0	0	0	2	1	220	360
393	10322	0	0	0	2	1	220	360
394	10323	0	0	0	3	1	400	450
395	10324	0	0	0	3	22	133	150
396	10325	0	0	0	3	24	133	150
397	10326	0	0	0	3	26	133	150
398	10327	0	0	0	3	1	400	450
399	10328	0	0	0	4	11	100	200
400	10328	0	0	0	4	1	400	450
401	10329	0	0	0	1	4	15	21
402	10330	0	0	0	2	4	22	36
403	10331	0	0	0	1	4	15	21
404	10332	0	0	0	2	4	22	36
405	10333	0	0	0	2	4	22	36
406	10334	0	0	0	3	4	40	45
407	10335	0	0	0	3	22	133	150
408	10336	0	0	0	3	24	133	150
409	10337	0	0	0	3	26	133	150
410	10338	0	0	0	3	4	40	45
411	10339	0	0	0	4	52	150	300
412	10339	0	0	0	4	4	40	45
413	10340	0	0	0	1	3	12	18
414	10341	0	0	0	2	3	19	30
415	10342	0	0	0	1	3	12	18
416	10343	0	0	0	2	3	19	30
417	10344	0	0	0	2	3	19	30
418	10345	0	0	0	3	3	34	39
419	10346	0	0	0	3	21	113	130
420	10347	0	0	0	3	23	113	130
421	10348	0	0	0	3	25	113	130
422	10349	0	0	0	3	3	34	39
423	10350	0	0	0	4	32	100	200
424	10350	0	0	0	4	3	34	39
425	10351	0	0	0	1	4	12	18
426	10352	0	0	0	2	4	19	30
427	10353	0	0	0	1	4	12	18
428	10354	0	0	0	2	4	19	30
429	10355	0	0	0	2	4	19	30
430	10356	0	0	0	3	4	34	39
431	10357	0	0	0	3	22	113	130
432	10358	0	0	0	3	24	113	130
433	10359	0	0	0	3	26	113	130
434	10360	0	0	0	3	4	34	39
435	10361	0	0	0	4	51	100	200
436	10361	0	0	0	4	4	34	39
437	10362	0	0	0	1	3	12	18
438	10363	0	0	0	2	3	19	30
439	10364	0	0	0	1	3	12	18
440	10365	0	0	0	2	3	19	30
441	10366	0	0	0	2	3	19	30
442	10367	0	0	0	3	3	34	39
443	10368	0	0	0	3	21	113	130
444	10369	0	0	0	3	23	113	130
445	10370	0	0	0	3	25	113	130
446	10371	0	0	0	3	3	34	39
447	10372	0	0	0	4	156	100	200
448	10372	0	0	0	4	3	34	39
449	10373	0	0	0	1	4	12	18
450	10374	0	0	0	2	4	19	30
451	10375	0	0	0	1	4	12	18
452	10376	0	0	0	2	4	19	30
453	10377	0	0	0	2	4	19	30
454	10378	0	0	0	3	4	34	39
455	10379	0	0	0	3	22	113	130
456	10380	0	0	0	3	24	113	130
457	10381	0	0	0	3	26	113	130
458	10382	0	0	0	3	4	34	39
459	10383	0	0	0	4	154	100	200
460	10383	0	0	0	4	4	34	39
461	10384	0	0	0	1	1	120	180
462	10385	0	0	0	2	1	190	300
463	10386	0	0	0	1	1	120	180
464	10387	0	0	0	2	1	190	300
465	10388	0	0	0	2	1	190	300
466	10389	0	0	0	3	1	340	390
467	10390	0	0	0	3	22	113	130
468	10391	0	0	0	3	24	113	130
469	10392	0	0	0	3	26	113	130
470	10393	0	0	0	3	1	340	390
471	10394	0	0	0	4	34	100	200
472	10394	0	0	0	4	1	340	390
473	10395	0	0	0	1	4	12	18
474	10396	0	0	0	2	4	19	30
475	10397	0	0	0	1	4	12	18
476	10398	0	0	0	2	4	19	30
477	10399	0	0	0	2	4	19	30
478	10400	0	0	0	3	4	34	39
479	10401	0	0	0	3	22	113	130
480	10402	0	0	0	3	24	113	130
481	10403	0	0	0	3	26	113	130
482	10404	0	0	0	3	4	34	39
483	10405	0	0	0	4	31	100	200
484	10405	0	0	0	4	4	34	39
485	10406	0	0	0	1	4	6	9
486	10407	0	0	0	2	4	10	15
487	10408	0	0	0	1	4	6	9
488	10409	0	0	0	2	4	10	15
489	10410	0	0	0	2	4	10	15
490	10411	0	0	0	3	4	16	21
491	10412	0	0	0	3	22	53	70
492	10413	0	0	0	3	24	53	70
493	10414	0	0	0	3	26	53	70
494	10415	0	0	0	3	1	160	210
495	10416	0	0	0	4	32	50	100
496	10416	0	0	0	4	174	150	200
497	10416	0	0	0	4	1	160	210
498	10417	0	0	0	1	4	9	15
499	10418	0	0	0	2	4	16	27
500	10419	0	0	0	1	4	9	15
501	10420	0	0	0	2	4	16	27
502	10421	0	0	0	2	4	16	27
503	10422	0	0	0	3	4	28	33
504	10423	0	0	0	3	22	93	110
505	10424	0	0	0	3	24	93	110
506	10425	0	0	0	3	26	93	110
507	10426	0	0	0	3	1	280	330
508	10427	0	0	0	4	32	100	150
509	10427	0	0	0	4	174	200	300
510	10427	0	0	0	4	1	280	330
511	10428	0	0	0	1	1	90	150
512	10429	0	0	0	2	1	160	270
513	10430	0	0	0	1	1	90	150
514	10431	0	0	0	2	1	160	270
515	10432	0	0	0	2	1	160	270
516	10433	0	0	0	3	1	280	330
517	10434	0	0	0	3	22	93	110
518	10435	0	0	0	3	24	93	110
519	10436	0	0	0	3	26	93	110
520	10437	0	0	0	3	1	280	330
521	10438	0	0	0	4	31	100	100
522	10438	0	0	0	4	1	280	330
523	10439	0	0	0	1	4	9	15
524	10440	0	0	0	2	4	16	27
525	10441	0	0	0	1	4	9	15
526	10442	0	0	0	2	4	16	27
527	10443	0	0	0	2	4	16	27
528	10444	0	0	0	3	4	28	33
529	10445	0	0	0	3	22	93	110
530	10446	0	0	0	3	24	93	110
531	10447	0	0	0	3	26	93	110
532	10448	0	0	0	3	4	28	33
533	10449	0	0	0	4	11	50	100
534	10449	0	0	0	4	4	28	33
535	10450	0	0	0	1	1	90	150
536	10451	0	0	0	2	1	160	270
537	10452	0	0	0	1	1	90	150
538	10453	0	0	0	2	1	160	270
539	10454	0	0	0	2	1	160	270
540	10455	0	0	0	3	1	280	330
541	10456	0	0	0	3	22	93	110
542	10457	0	0	0	3	24	93	110
543	10458	0	0	0	3	26	93	110
544	10459	0	0	0	3	1	280	330
545	10460	0	0	0	4	51	100	100
546	10460	0	0	0	4	1	280	330
547	10461	0	0	0	1	1	120	180
548	10462	0	0	0	2	1	190	300
549	10463	0	0	0	1	1	120	180
550	10464	0	0	0	2	1	190	300
551	10465	0	0	0	2	1	190	300
552	10466	0	0	0	3	1	340	390
553	10467	0	0	0	3	22	113	130
554	10468	0	0	0	3	24	113	130
555	10469	0	0	0	3	26	113	130
556	10470	0	0	0	3	3	34	39
557	10471	0	0	0	4	12	100	200
558	10471	0	0	0	4	3	34	39
559	10472	0	0	0	1	4	12	18
560	10473	0	0	0	2	4	19	30
561	10474	0	0	0	1	4	12	18
562	10475	0	0	0	2	4	19	30
563	10476	0	0	0	2	4	19	30
564	10477	0	0	0	3	4	34	39
565	10478	0	0	0	3	22	113	130
566	10479	0	0	0	3	24	113	130
567	10480	0	0	0	3	26	113	130
568	10481	0	0	0	3	4	34	39
569	10482	0	0	0	4	13	100	200
570	10482	0	0	0	4	4	34	39
571	10483	0	0	0	1	3	12	18
572	10484	0	0	0	2	3	19	30
573	10485	0	0	0	1	3	12	18
574	10486	0	0	0	2	3	19	30
575	10487	0	0	0	2	3	19	30
576	10488	0	0	0	3	3	34	39
577	10489	0	0	0	3	21	113	130
578	10490	0	0	0	3	23	113	130
579	10491	0	0	0	3	25	113	130
580	10492	0	0	0	3	3	34	39
581	10493	0	0	0	4	206	100	200
582	10493	0	0	0	4	3	34	39
583	10494	0	0	0	1	3	15	21
584	10495	0	0	0	2	3	22	36
585	10496	0	0	0	1	3	15	21
586	10497	0	0	0	2	3	22	36
587	10498	0	0	0	2	3	22	36
588	10499	0	0	0	3	3	40	45
589	10500	0	0	0	3	21	133	150
590	10501	0	0	0	3	23	133	150
591	10502	0	0	0	3	25	133	150
592	10503	0	0	0	3	3	40	45
593	10504	0	0	0	4	83	200	400
594	10504	0	0	0	4	3	40	45
595	10505	0	0	0	1	3	15	21
596	10506	0	0	0	2	3	22	36
597	10507	0	0	0	1	3	15	21
598	10508	0	0	0	2	3	22	36
599	10509	0	0	0	2	3	22	36
600	10510	0	0	0	3	3	40	45
601	10511	0	0	0	3	21	133	150
602	10512	0	0	0	3	23	133	150
603	10513	0	0	0	3	25	133	150
604	10514	0	0	0	3	3	40	45
605	10515	1	200	400	4	66	200	200
606	10515	1	200	400	4	67	200	200
607	10515	1	200	400	4	79	200	200
608	10515	1	200	400	4	75	200	200
609	10515	0	0	0	4	3	40	45
610	10516	2	0	0	3	3	40	45
611	10517	2	0	0	4	66	250	250
612	10517	2	0	0	4	67	250	250
613	10517	2	0	0	4	79	250	250
614	10517	2	0	0	4	75	250	250
615	10517	2	0	0	4	3	40	45
616	10518	2	0	0	3	3	40	45
617	10519	2	0	0	4	66	300	300
618	10519	2	0	0	4	67	300	300
619	10519	2	0	0	4	79	300	300
620	10519	2	0	0	4	75	300	300
621	10519	2	0	0	4	3	40	45
622	10520	2	0	0	3	3	40	45
623	10521	2	0	0	4	66	350	350
624	10521	2	0	0	4	67	350	350
625	10521	2	0	0	4	79	350	350
626	10521	2	0	0	4	75	350	350
627	10521	2	0	0	4	3	40	45
628	10522	2	0	0	3	3	40	45
629	10523	2	0	0	4	66	400	400
630	10523	2	0	0	4	67	400	400
631	10523	2	0	0	4	79	400	400
632	10523	2	0	0	4	75	400	400
633	10523	2	0	0	4	3	40	45
634	10524	0	0	0	1	4	15	21
635	10525	0	0	0	2	4	22	36
636	10526	0	0	0	1	4	15	21
637	10527	0	0	0	2	4	22	36
638	10528	0	0	0	2	4	22	36
639	10529	0	0	0	3	4	40	45
640	10530	0	0	0	3	22	133	150
641	10531	0	0	0	3	24	133	150
642	10532	0	0	0	3	26	133	150
643	10533	0	0	0	3	4	40	45
644	10534	0	0	0	4	206	150	300
645	10534	0	0	0	4	4	40	45
646	10535	0	0	0	1	1	90	150
647	10536	0	0	0	2	1	160	270
648	10537	0	0	0	1	1	90	150
649	10538	0	0	0	2	1	160	270
650	10539	0	0	0	2	1	160	270
651	10540	0	0	0	3	1	280	330
652	10541	0	0	0	3	22	93	110
653	10542	0	0	0	3	24	93	110
654	10543	0	0	0	3	26	93	110
655	10544	0	0	0	3	1	280	330
656	10545	0	0	0	4	52	50	150
657	10545	0	0	0	4	1	280	330
658	10546	0	0	0	1	3	12	18
659	10547	0	0	0	2	3	19	30
660	10548	0	0	0	1	3	12	18
661	10549	0	0	0	2	3	19	30
662	10550	0	0	0	2	3	19	30
663	10551	0	0	0	3	3	34	39
664	10552	0	0	0	3	21	113	130
665	10553	0	0	0	3	23	113	130
666	10554	0	0	0	3	25	113	130
667	10555	0	0	0	3	3	34	39
668	10556	0	0	0	4	153	150	300
669	10556	0	0	0	4	3	34	39
670	10557	0	0	0	1	4	12	18
671	10558	0	0	0	2	4	19	30
672	10559	0	0	0	1	4	12	18
673	10560	0	0	0	2	4	19	30
674	10561	0	0	0	2	4	19	30
675	10562	0	0	0	3	4	34	39
676	10563	0	0	0	3	22	113	130
677	10564	0	0	0	3	24	113	130
678	10565	0	0	0	3	26	113	130
679	10566	0	0	0	3	4	34	39
680	10567	0	0	0	4	52	100	200
681	10567	0	0	0	4	4	34	39
682	10568	0	0	0	1	3	12	18
683	10569	0	0	0	2	3	19	30
684	10570	0	0	0	1	3	12	18
685	10571	0	0	0	2	3	19	30
686	10572	0	0	0	2	3	19	30
687	10573	0	0	0	3	3	34	39
688	10574	0	0	0	3	21	113	130
689	10575	0	0	0	3	23	113	130
690	10576	0	0	0	3	25	113	130
691	10577	0	0	0	3	3	34	39
692	10578	0	0	0	4	174	250	350
693	10578	0	0	0	4	3	34	39
694	10579	0	0	0	1	1	120	180
695	10580	0	0	0	2	1	190	300
696	10581	0	0	0	1	1	120	180
697	10582	0	0	0	2	1	190	300
698	10583	0	0	0	2	1	190	300
699	10584	0	0	0	3	1	340	390
700	10585	0	0	0	3	22	113	130
701	10586	0	0	0	3	24	113	130
702	10587	0	0	0	3	26	113	130
703	10588	0	0	0	3	1	340	390
704	10589	0	0	0	4	11	100	200
705	10589	0	0	0	4	1	340	390
706	10590	0	0	0	1	1	120	180
707	10591	0	0	0	2	1	190	300
708	10592	0	0	0	1	1	120	180
709	10593	0	0	0	2	1	190	300
710	10594	0	0	0	2	1	190	300
711	10595	0	0	0	3	1	340	390
712	10596	0	0	0	3	22	113	130
713	10597	0	0	0	3	24	113	130
714	10598	0	0	0	3	26	113	130
715	10599	0	0	0	3	1	340	390
716	10600	1	100	150	4	32	100	100
717	10600	1	100	150	4	31	100	100
718	10601	2	0	0	4	32	150	150
719	10601	2	0	0	4	31	150	150
720	10602	0	0	0	1	1	150	210
721	10603	0	0	0	2	1	220	360
722	10604	0	0	0	1	1	150	210
723	10605	0	0	0	2	1	220	360
724	10606	0	0	0	2	1	220	360
725	10607	0	0	0	3	1	400	450
726	10608	0	0	0	3	22	133	150
727	10609	0	0	0	3	24	133	150
