技能宝石ID	技能宝石对应item	技能宝石对应碎片item	适用英雄类型	适用职业技能	品质	技能宝石升级属性类型	激活所需碎片数量	收集属性	宝石初始评分	技能类型ICON	技能释放后附加的buff	技能释放后附加buff的几率	职业技能强化效果	技能伤害比例倍率	技能附加伤害值倍率	技能效果描述语言包
50302001	item17901050302001	item17902050302001	hero103;hero107	skill1003	5	502	item17902050302001,50		150	gemtypebadge_3			skill81036	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50303001	item17901050303001	item17902050303001	hero103;hero107	skill1002	5	503	item17902050303001,50		150	gemtypebadge_4			skill81034	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50304001	item17901050304001	item17902050304001	hero103;hero107	skill1006	5	504	item17902050304001,50		150	gemtypebadge_4			skill81040	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50305001	item17901050305001	item17902050305001	hero103;hero107	skill1005	5	505	item17902050305001,50		150	gemtypebadge_1	buff6_saint01::buff_6	42,45,48,51,54,57,60	skill81042			
50306001	item17901050306001	item17902050306001	hero103;hero107	skill1016	5	506	item17902050306001,50		150	gemtypebadge_3			skill81044	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50307001	item17901050307001	item17902050307001	hero103;hero107	skill1004	5	507	item17902050307001,50		150	gemtypebadge_5			skill81046	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50308001	item17901050308001	item17902050308001	hero103;hero107	skill1008	5	508	item17902050308001,50		150	gemtypebadge_1			skill81048	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
20401001	item17901020401001	item17902020401001	hero104;hero108	skill1301	2	201	item17902020401001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20402001	item17901020402001	item17902020402001	hero104;hero108	skill1302	2	202	item17902020402001,25		6	gemtypebadge_1	buff6_saint01::buff_7	42,45,48,51,54,57,60				
20403001	item17901020403001	item17902020403001	hero104;hero108	skill1307	2	203	item17902020403001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20404001	item17901020404001	item17902020404001	hero104;hero108	skill1303	2	204	item17902020404001,25		6	gemtypebadge_1	buff6_saint01::buff_7	60,65,70,75,80,85,90				
20405001	item17901020405001	item17902020405001	hero104;hero108	skill1304	2	205	item17902020405001,25		6	gemtypebadge_1	buff6_saint01::buff_7	42,45,48,51,54,57,60		300,330,360,390,420,450,500		SkillEffectDec_3
20406001	item17901020406001	item17902020406001	hero104;hero108	skill1305	2	206	item17902020406001,25		6	gemtypebadge_1	buff6_saint01::buff_7	14,15,16,17,18,19,20				
20407001	item17901020407001	item17902020407001	hero104;hero108	skill1313	2	207	item17902020407001,25		6	gemtypebadge_1	buff6_saint01::buff_1	42,45,48,51,54,57,60		300,330,360,390,420,450,500		SkillEffectDec_3
20408001	item17901020408001	item17902020408001	hero104;hero108	skill1308	2	208	item17902020408001,25		6	gemtypebadge_1	buff6_saint01::buff_7	70,75,80,85,90,95,100				
30401001	item17901030401001	item17902030401001	hero104;hero108	skill1301	3	301	item17902030401001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30402001	item17901030402001	item17902030402001	hero104;hero108	skill1302	3	302	item17902030402001,40		33	gemtypebadge_2	buff6_saint01::buff_8	42,45,48,51,54,57,60				
30403001	item17901030403001	item17902030403001	hero104;hero108	skill1307	3	303	item17902030403001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30404001	item17901030404001	item17902030404001	hero104;hero108	skill1303	3	304	item17902030404001,40		33	gemtypebadge_2	buff6_saint01::buff_8	60,65,70,75,80,85,90				
30405001	item17901030405001	item17902030405001	hero104;hero108	skill1304	3	305	item17902030405001,40		33	gemtypebadge_2	buff6_saint01::buff_8	42,45,48,51,54,57,60		600,660,720,780,840,900,1000		SkillEffectDec_3
30406001	item17901030406001	item17902030406001	hero104;hero108	skill1305	3	306	item17902030406001,40		33	gemtypebadge_2	buff6_saint01::buff_8	14,15,16,17,18,19,20				
30407001	item17901030407001	item17902030407001	hero104;hero108	skill1313	3	307	item17902030407001,40		33	gemtypebadge_2	buff6_saint01::buff_3	42,45,48,51,54,57,60		600,660,720,780,840,900,1000		SkillEffectDec_3
30408001	item17901030408001	item17902030408001	hero104;hero108	skill1308	3	308	item17902030408001,40		33	gemtypebadge_2	buff6_saint01::buff_8	70,75,80,85,90,95,100				
40401001	item17901040401001	item17902040401001	hero104;hero108	skill1301	4	401	item17902040401001,50		75	gemtypebadge_1			skill81049	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40402001	item17901040402001	item17902040402001	hero104;hero108	skill1302	4	402	item17902040402001,50		75	gemtypebadge_4	buff6_saint01::buff_9	42,45,48,51,54,57,60	skill81051			
40403001	item17901040403001	item17902040403001	hero104;hero108	skill1307	4	403	item17902040403001,50		75	gemtypebadge_1			skill81053	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40404001	item17901040404001	item17902040404001	hero104;hero108	skill1303	4	404	item17902040404001,50		75	gemtypebadge_4	buff6_saint01::buff_9	60,65,70,75,80,85,90	skill81055			
40405001	item17901040405001	item17902040405001	hero104;hero108	skill1304	4	405	item17902040405001,50		75	gemtypebadge_2	buff6_saint01::buff_9	42,45,48,51,54,57,60	skill81057	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40406001	item17901040406001	item17902040406001	hero104;hero108	skill1305	4	406	item17902040406001,50		75	gemtypebadge_4	buff6_saint01::buff_9	14,15,16,17,18,19,20	skill81059			
40407001	item17901040407001	item17902040407001	hero104;hero108	skill1313	4	407	item17902040407001,50		75	gemtypebadge_3			skill81061	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40408001	item17901040408001	item17902040408001	hero104;hero108	skill1308	4	408	item17902040408001,50		75	gemtypebadge_4	buff6_saint01::buff_9	70,75,80,85,90,95,100	skill81063			
50401001	item17901050401001	item17902050401001	hero104;hero108	skill1301	5	501	item17902050401001,50		150	gemtypebadge_3			skill81050	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50402001	item17901050402001	item17902050402001	hero104;hero108	skill1302	5	502	item17902050402001,50		150	gemtypebadge_4	buff6_saint01::buff_10	42,45,48,51,54,57,60	skill81052			
50403001	item17901050403001	item17902050403001	hero104;hero108	skill1307	5	503	item17902050403001,50		150	gemtypebadge_4			skill81054	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50404001	item17901050404001	item17902050404001	hero104;hero108	skill1303	5	504	item17902050404001,50		150	gemtypebadge_1	buff6_saint01::buff_10	60,65,70,75,80,85,90	skill81056			
50405001	item17901050405001	item17902050405001	hero104;hero108	skill1304	5	505	item17902050405001,50		150	gemtypebadge_1	buff6_saint01::buff_10	42,45,48,51,54,57,60	skill81058	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50406001	item17901050406001	item17902050406001	hero104;hero108	skill1305	5	506	item17902050406001,50		150	gemtypebadge_3	buff6_saint01::buff_10	14,15,16,17,18,19,20	skill81060			
50407001	item17901050407001	item17902050407001	hero104;hero108	skill1313	5	507	item17902050407001,50		150	gemtypebadge_3			skill81062	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50408001	item17901050408001	item17902050408001	hero104;hero108	skill1308	5	508	item17902050408001,50		150	gemtypebadge_3	buff6_saint01::buff_10	70,75,80,85,90,95,100	skill81064			
20501001	item17901020501001	item17902020501001	hero105	skill1401	2	201	item17902020501001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20502001	item17901020502001	item17902020502001	hero105	skill1407	2	202	item17902020502001,25		6	gemtypebadge_1	buff6_saint01::buff_1	42,45,48,51,54,57,60		300,330,360,390,420,450,500		SkillEffectDec_3
20503001	item17901020503001	item17902020503001	hero105	skill1406	2	203	item17902020503001,25		6	gemtypebadge_1	buff6_saint01::buff_1	56,60,64,68,72,76,80		300,330,360,390,420,450,500		SkillEffectDec_3
20504001	item17901020504001	item17902020504001	hero105	skill1408	2	204	item17902020504001,25		6	gemtypebadge_1	buff6_saint01::buff_1	42,45,48,51,54,57,60		300,330,360,390,420,450,500		SkillEffectDec_3
20505001	item17901020505001	item17902020505001	hero105	skill1402	2	205	item17902020505001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20506001	item17901020506001	item17902020506001	hero105	skill1405	2	206	item17902020506001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20507001	item17901020507001	item17902020507001	hero105	skill1404	2	207	item17902020507001,25		6	gemtypebadge_1	buff6_saint01::buff_2	28,30,32,34,36,38,40				
20508001	item17901020508001	item17902020508001	hero105	skill1403	2	208	item17902020508001,25		6	gemtypebadge_1	buff6_saint01::buff_2	42,45,48,51,54,57,60				
30501001	item17901030501001	item17902030501001	hero105	skill1401	3	301	item17902030501001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30502001	item17901030502001	item17902030502001	hero105	skill1407	3	302	item17902030502001,40		33	gemtypebadge_2	buff6_saint01::buff_3	42,45,48,51,54,57,60		600,660,720,780,840,900,1000		SkillEffectDec_3
30503001	item17901030503001	item17902030503001	hero105	skill1406	3	303	item17902030503001,40		33	gemtypebadge_2	buff6_saint01::buff_3	56,60,64,68,72,76,80		600,660,720,780,840,900,1000		SkillEffectDec_3
30504001	item17901030504001	item17902030504001	hero105	skill1408	3	304	item17902030504001,40		33	gemtypebadge_2	buff6_saint01::buff_3	42,45,48,51,54,57,60		600,660,720,780,840,900,1000		SkillEffectDec_3
