事件ID	事件类型	事件描述	武艺属性要求	才艺属性要求	游历基础奖励	招募经验奖励	高级奖励掉落库	勋章掉落	影集掉落	奇遇探索触发概率	对应成就ID	专属奖励预览（前端展示）	奖励预览（前端展示）	带回学徒概率
600110	3	EventDes600110	3,7730;4,7800	1,1360			1051	8107,800		71110,1500;71210,1500;71310,1500	8101310,8101410,8101510,8101107	item127000068007,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	500
600111	2	EventDes600111	32,8730;33,8730	2,1420			1052	8108,800		71111,1500;71211,1500;71311,1500	8101311,8101411,8101511,8101108	item127000068008,1;item127000065002,1;item127000065006,1;item127000065007,1	item127000063000,1;item127000063002,1;item127000063020,1	500
600112	1	EventDes600112	34,9370;35,9370	3,1490			1052		9106,1000	71112,1500;71212,1500;71312,1500	8101312,8101412,8101512,8101206	item127100000001,1;item127000065002,1;item127000065006,1;item127000065007,1	item127000063000,1;item127000063002,1;item127000063020,1	500
600113	1	EventDes600113	30,9790;31,9790	4,1580			1061		9107,1000	71113,1500;71213,1500;71313,1500	8101313,8101413,8101513,8101207	item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	500
600114	3	EventDes600114	1,89560;3,8990	5,1650			1062	8109,800		71114,1500;71214,1500;71314,1500	8101314,8101414,8101514,8101109	item127000068009,1;item127000065003,1;item127000065008,1;item127000065009,1	item127000063000,1;item127000063002,1;item127000063020,1	500
600115	4	EventDes600115	1,93290;4,9510	6,1710			1062	8110,800	9108,1000	71115,1500;71215,1500;71315,1500	8101315,8101415,8101515,8101110,8101208	item127000068010,1;item127100000001,1;item127000065003,1;item127000065008,1;item127000065009,1	item127000063000,1;item127000063002,1;item127000063020,1	500
600201	1	EventDes600201	1,39310	4,700			2011	8201,800		72101,1500;72201,1500;72301,1500	8102301,8102401,8102501,8102101	item127000068011,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600202	2	EventDes600202	3,4180	2,740			2012		9201,1000	72102,1500;72202,1500;72302,1500	8102302,8102402,8102502,8102201	item127100000001,1;item127000065030,1;item127000065031,1;item127000065040,1;item127000065041,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600203	3	EventDes600203	4,4480	1,780			2012	8202,800		72103,1500;72203,1500;72303,1500	8102303,8102403,8102503,8102102	item127000068012,1;item127000065030,1;item127000065031,1;item127000065040,1;item127000065041,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600204	2	EventDes600204	1,70480;33,7880	3,1270			2021	8203,800		72104,1500;72204,1500;72304,1500	8102304,8102404,8102504,8102103	item127000068013,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600205	3	EventDes600205	3,7440;30,8290	6,1340			2022	8204,800	9202,1000	72105,1500;72205,1500;72305,1500	8102305,8102405,8102505,8102104,8102202	item127000068014,1;item127100000001,1;item127000065032,1;item127000065033,1;item127000065042,1;item127000065043,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600206	4	EventDes600206	4,7920;31,8700	1,1410			2022		9203,1000	72106,1500;72206,1500;72306,1500	8102306,8102406,8102506,8102203	item127100000001,1;item127000065032,1;item127000065033,1;item127000065042,1;item127000065043,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600207	3	EventDes600207	1,78730;30,9120	2,1470			2031	8205,800		72107,1500;72207,1500;72307,1500	8102307,8102407,8102507,8102105	item127000068015,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600208	4	EventDes600208	3,8280;32,9560	6,1530			2032	8206,800		72108,1500;72208,1500;72308,1500	8102308,8102408,8102508,8102106	item127000068016,1;item127000065034,1;item127000065035,1;item127000065044,1;item127000065045,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600209	1	EventDes600209	4,8820;34,10460	4,1610			2032		9204,1000	72109,1500;72209,1500;72309,1500	8102309,8102409,8102509,8102204	item127100000001,1;item127000065034,1;item127000065035,1;item127000065044,1;item127000065045,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600210	4	EventDes600210	32,9850;34,10370	3,1570			2041	8207,800	9205,1000	72110,1500;72210,1500;72310,1500	8102310,8102410,8102510,8102107,8102205	item127000068017,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600211	1	EventDes600211	34,10850;31,10290	4,1650			2042	8208,800		72111,1500;72211,1500;72311,1500	8102311,8102411,8102511,8102108	item127000068018,1;item127000065036,1;item127000065037,1;item127000065046,1;item127000065047,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600212	2	EventDes600212	30,10740;32,10740	5,1720			2042		9206,1000	72112,1500;72212,1500;72312,1500	8102312,8102412,8102512,8102206	item127100000001,1;item127000065036,1;item127000065037,1;item127000065046,1;item127000065047,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600213	2	EventDes600213	32,15900	1,2530;6,2530			2051	8209,800	9207,1000	72113,1500;72213,1500;72313,1500	8102313,8102413,8102513,8102109,8102207	item127000068019,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600214	4	EventDes600214	33,16590	2,2650;5,2650			2052	8210,800		72114,1500;72214,1500;72314,1500	8102314,8102414,8102514,8102110	item127000068020,1;item127000065038,1;item127000065039,1;item127000065048,1;item127000065049,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600215	3	EventDes600215	34,18320	3,2760;4,2760			2052		9208,1000	72115,1500;72215,1500;72315,1500	8102315,8102415,8102515,8102208	item127100000001,1;item127000065038,1;item127000065039,1;item127000065048,1;item127000065049,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600216	1	EventDes600216	35,18490	1,2740;3,2740			2061	8211,800	9209,1000	72116,1500;72216,1500;72316,1500	8102316,8102416,8102516,8102111,8102209	item127000068021,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600217	4	EventDes600217	30,18030	2,2860;4,2860			2062	8212,800		72117,1500;72217,1500;72317,1500	8102317,8102417,8102517,8102112	item127000068022,1;item127000065030,1;item127000065031,1;item127000065040,1;item127000065041,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600218	2	EventDes600218	31,18750	5,2970;6,2970			2062		9210,1000	72118,1500;72218,1500;72318,1500	8102318,8102418,8102518,8102210	item127100000001,1;item127000065030,1;item127000065031,1;item127000065040,1;item127000065041,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600219	3	EventDes600219	1,144060;3,14520;4,14930	1,2860			2071	8213,800	9211,1000	72119,1500;72219,1500;72319,1500	8102319,8102419,8102519,8102113,8102211	item127000068023,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600220	1	EventDes600220	32,18750;34,20030;30,18750	2,2970			2072	8214,800		72120,1500;72220,1500;72320,1500	8102320,8102420,8102520,8102114	item127000068024,1;item127000065032,1;item127000065033,1;item127000065042,1;item127000065043,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600221	2	EventDes600221	33,19470;35,20800;31,19470	3,3090			2072	8215,800	9212,1000	72121,1500;72221,1500;72321,1500	8102321,8102421,8102521,8102115,8102212	item127000068025,1;item127100000001,1;item127000065032,1;item127000065033,1;item127000065042,1;item127000065043,1	item127000063000,1;item127000063002,1;item127000063020,1	800
600301	4	EventDes600301	1,61380	6,1240			3011	8301,800		73101,1500;73201,1500;73301,1500	8103301,8103401,8103501,8103101	item127000068026,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600302	3	EventDes600302	3,6520	4,1310			3012	8302,800		73102,1500;73202,1500;73302,1500	8103302,8103402,8103502,8103102	item127000068027,1;item127000065034,1;item127000065035,1;item127000065044,1;item127000065045,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600303	2	EventDes600303	4,7060	2,1370			3012		9301,1000	73103,1500;73203,1500;73303,1500	8103303,8103403,8103503,8103201	item127100000001,1;item127000065034,1;item127000065035,1;item127000065044,1;item127000065045,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600304	3	EventDes600304	1,116970;32,14320	1,2280			3021	8303,800		73104,1500;73204,1500;73304,1500	8103304,8103404,8103504,8103103	item127000068028,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600305	2	EventDes600305	3,12530;33,16000	3,2520			3022	8304,800		73105,1500;73205,1500;73305,1500	8103305,8103405,8103505,8103104	item127000068029,1;item127000065036,1;item127000065037,1;item127000065046,1;item127000065047,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600306	1	EventDes600306	4,13480;34,17940	5,2630			3022		9302,1000	73106,1500;73206,1500;73306,1500	8103306,8103406,8103506,8103202	item127100000001,1;item127000065036,1;item127000065037,1;item127000065046,1;item127000065047,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600307	2	EventDes600307	1,129340;35,17940	1,2630			3031	8305,800		73107,1500;73207,1500;73307,1500	8103307,8103407,8103507,8103105	item127000068030,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600308	1	EventDes600308	3,13570;30,17330	2,2730			3032	8306,800		73108,1500;73208,1500;73308,1500	8103308,8103408,8103508,8103106	item127000068031,1;item127000065038,1;item127000065039,1;item127000065048,1;item127000065049,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600309	4	EventDes600309	4,14930;31,19190	6,3000			3032		9303,1000	73109,1500;73209,1500;73309,1500	8103309,8103409,8103509,8103203	item127100000001,1;item127000065038,1;item127000065039,1;item127000065048,1;item127000065049,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600310	1	EventDes600310	32,22450;31,22450	3,3520			3041	8307,800		73110,1500;73210,1500;73310,1500	8103310,8103410,8103510,8103107	item127000068032,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600311	4	EventDes600311	34,25260;30,23320	4,3660			3042	8308,800		73111,1500;73211,1500;73311,1500	8103311,8103411,8103511,8103108	item127000068033,1;item127000065030,1;item127000065031,1;item127000065040,1;item127000065041,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600312	3	EventDes600312	30,24180;35,26190	5,3800			3042		9304,1000	73112,1500;73212,1500;73312,1500	8103312,8103412,8103512,8103204	item127100000001,1;item127000065030,1;item127000065031,1;item127000065040,1;item127000065041,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600313	1	EventDes600313	32,29820;34,32660	1,4650;2,4650			3051	8309,800		73113,1500;73213,1500;73313,1500	8103313,8103413,8103513,8103109	item127000068034,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600314	2	EventDes600314	33,29820;33,29820	3,4650;4,4650			3051	8310,800		73114,1500;73214,1500;73314,1500	8103314,8103414,8103514,8103110	item127000068035,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600315	3	EventDes600315	34,33870;32,30930	6,4820;5,4820			3052		9305,1000	73115,1500;73215,1500;73315,1500	8103315,8103415,8103515,8103205	item127100000001,1;item127000065032,1;item127000065033,1;item127000065042,1;item127000065043,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600316	4	EventDes600316	35,33870;33,30930	6,4820;1,4820			3052	8311,800	9306,1000	73116,1500;73216,1500;73316,1500	8103316,8103416,8103516,8103111,8103206	item127000068036,1;item127100000001,1;item127000065032,1;item127000065033,1;item127000065042,1;item127000065043,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600317	2	EventDes600317	30,33180;35,36740	5,5130;2,5130			3061	8312,800		73117,1500;73217,1500;73317,1500	8103317,8103417,8103517,8103112	item127000068037,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600318	4	EventDes600318	31,33180;3,23110	3,5130;4,5130			3061		9307,1000	73118,1500;73218,1500;73318,1500	8103318,8103418,8103518,8103207	item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600319	1	EventDes600319	1,227090;4,25160	1,5310;4,5310			3062	8313,800		73119,1500;73219,1500;73319,1500	8103319,8103419,8103519,8103113	item127000068038,1;item127000065034,1;item127000065035,1;item127000065044,1;item127000065045,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600320	3	EventDes600320	32,34370;33,34370	3,5310;1,5310			3062	8314,800		73120,1500;73220,1500;73320,1500	8103320,8103420,8103520,8103114	item127000068039,1;item127000065034,1;item127000065035,1;item127000065044,1;item127000065045,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600321	4	EventDes600321	30,36710;3,24470	5,5630;3,5630			3071		9308,1000	73121,1500;73221,1500;73321,1500	8103321,8103421,8103521,8103208	item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600322	3	EventDes600322	31,36710;4,25910	2,5630;2,5630			3071	8315,800	9309,1000	73122,1500;73222,1500;73322,1500	8103322,8103422,8103522,8103115,8103209	item127000068040,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600323	2	EventDes600323	1,239760;33,37970	4,5820;6,5820			3072	8316,800		73123,1500;73223,1500;73323,1500	8103323,8103423,8103523,8103116	item127000068041,1;item127000065036,1;item127000065037,1;item127000065046,1;item127000065047,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600324	1	EventDes600324	32,37970;34,42440	6,5820;5,5820			3072		9310,1000	73124,1500;73224,1500;73324,1500	8103324,8103424,8103524,8103210	item127100000001,1;item127000065036,1;item127000065037,1;item127000065046,1;item127000065047,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600325	3	EventDes600325	30,40720;3,25940	1,6200;3,6200			3081	8317,800		73125,1500;73225,1500;73325,1500	8103325,8103425,8103525,8103117	item127000068042,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600326	1	EventDes600326	31,40720;4,27680	2,6200;4,6200			3081		9311,1000	73126,1500;73226,1500;73326,1500	8103326,8103426,8103526,8103211	item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600327	4	EventDes600327	1,253430;35,47470	5,6400;6,6400			3082	8318,800	9312,1000	73127,1500;73227,1500;73327,1500	8103327,8103427,8103527,8103118,8103212	item127000068043,1;item127100000001,1;item127000065038,1;item127000065039,1;item127000065048,1;item127000065049,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600328	2	EventDes600328	32,42080;31,42080	1,6400;2,6400			3082	8319,800		73128,1500;73228,1500;73328,1500	8103328,8103428,8103528,8103119	item127000068044,1;item127000065038,1;item127000065039,1;item127000065048,1;item127000065049,1	item127000063000,1;item127000063002,1;item127000063020,1	1000
600401	1	EventDes600401	1,181450	6,4280			4011	8401,800		74101,1500;74201,1500;74301,1500	8104301,8104401,8104501,8104101	item127000068045,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600402	2	EventDes600402	3,19270	4,4280			4011	8402,800		74102,1500;74202,1500;74302,1500	8104302,8104402,8104502,8104102	item127000068046,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600403	3	EventDes600403	4,20990	2,4430			4012	8403,800	9401,1000	74103,1500;74203,1500;74303,1500	8104303,8104403,8104503,8104103,8104201	item127000068047,1;item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600404	4	EventDes600404	1,187930;32,28710	1,4430			4012		9402,1000	74104,1500;74204,1500;74304,1500	8104304,8104404,8104504,8104202	item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600405	2	EventDes600405	3,20420;33,30730	3,4710			4021	8404,800		74105,1500;74205,1500;74305,1500	8104305,8104405,8104505,8104104	item127000068048,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600406	4	EventDes600406	4,21640;34,34370	5,4710			4021	8405,800		74106,1500;74206,1500;74306,1500	8104306,8104406,8104506,8104105	item127000068049,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600407	1	EventDes600407	1,198590;35,35560	1,4870			4022	8406,800		74107,1500;74207,1500;74307,1500	8104307,8104407,8104507,8104106	item127000068050,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600408	3	EventDes600408	3,21130;30,31790	2,4870			4022		9403,1000	74108,1500;74208,1500;74308,1500	8104308,8104408,8104508,8104203	item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600409	4	EventDes600409	4,29810;31,43570	6,6640			4031	8407,800	9404,1000	74109,1500;74209,1500;74309,1500	8104309,8104409,8104509,8104107,8104204	item127000068051,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600410	3	EventDes600410	32,43570;31,43570	3,6640			4031	8408,800		74110,1500;74210,1500;74310,1500	8104310,8104410,8104510,8104108	item127000068052,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600411	2	EventDes600411	34,50710;30,45020	4,6860			4032	8409,800		74111,1500;74211,1500;74311,1500	8104311,8104411,8104511,8104109	item127000068053,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600412	1	EventDes600412	30,45020;35,50710	5,6860			4032		9405,1000	74112,1500;74212,1500;74312,1500	8104312,8104412,8104512,8104205	item127100000001,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600413	3	EventDes600413	32,48710;34,55410	1,7360;2,7360			4041	8410,800	9406,1000	74113,1500;74213,1500;74313,1500	8104313,8104413,8104513,8104110,8104206	item127000068054,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600414	1	EventDes600414	33,48710;33,48710	3,7360;4,7360			4041	8411,800		74114,1500;74214,1500;74314,1500	8104314,8104414,8104514,8104111	item127000068055,1;item127000063023,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600415	4	EventDes600415	34,57190;32,50280	6,7600;5,7600			4042	8412,800	9407,1000	74115,1500;74215,1500;74315,1500	8104315,8104415,8104515,8104112,8104207	item127000068056,1;item127100000001,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600416	2	EventDes600416	35,66480;33,58400	6,8830;1,8830			4042		9408,1000	74116,1500;74216,1500;74316,1500	8104316,8104416,8104516,8104208	item127100000001,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063002,1;item127000063020,1	1200
600417	2	EventDes600417	30,62800;35,72080	5,9430;2,9430			4051	8413,800		74117,1500;74217,1500;74317,1500	8104317,8104417,8104517,8104113	item127000068057,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600418	3	EventDes600418	31,62800;3,36520	3,9430;4,9430			4051	8414,800		74118,1500;74218,1500;74318,1500	8104318,8104418,8104518,8104114	item127000068058,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600419	4	EventDes600419	1,357240;4,40850	1,9720;4,9720			4052	8415,800	9409,1000	74119,1500;74219,1500;74319,1500	8104319,8104419,8104519,8104115,8104209	item127000068059,1;item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600420	1	EventDes600420	32,64770;33,64770	3,9720;1,9720			4052		9410,1000	74120,1500;74220,1500;74320,1500	8104320,8104420,8104520,8104210	item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600421	3	EventDes600421	30,69300;3,38690	5,10340;3,10340			4061	8416,800		74121,1500;74221,1500;74321,1500	8104321,8104421,8104521,8104116	item127000068060,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600422	4	EventDes600422	31,69300;4,42290	2,10340;2,10340			4061	8417,800		74122,1500;74222,1500;74322,1500	8104322,8104422,8104522,8104117	item127000068061,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600423	1	EventDes600423	1,377410;33,71400	4,10650;6,10650			4062	8418,800	9411,1000	74123,1500;74223,1500;74323,1500	8104323,8104423,8104523,8104118,8104211	item127000068062,1;item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600424	2	EventDes600424	32,71400;34,82530	6,10650;5,10650			4062		9412,1000	74124,1500;74224,1500;74324,1500	8104324,8104424,8104524,8104212	item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600425	4	EventDes600425	30,76080;3,40930	1,11290;3,11290			4071	8419,800		74125,1500;74225,1500;74325,1500	8104325,8104425,8104525,8104119	item127000068063,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600426	1	EventDes600426	31,76080;4,45060	2,11290;4,11290			4071	8420,800	9413,1000	74126,1500;74226,1500;74326,1500	8104326,8104426,8104526,8104120,8104213	item127000068064,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600427	2	EventDes600427	1,398140;35,91080	5,11620;6,11620			4072	8421,800		74127,1500;74227,1500;74327,1500	8104327,8104427,8104527,8104121	item127000068065,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600428	3	EventDes600428	32,78320;31,78320	1,11620;2,11620			4072	8422,800	9414,1000	74128,1500;74228,1500;74328,1500	8104328,8104428,8104528,8104122,8104214	item127000068066,1;item127100000001,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	1200
600501	1	EventDes600501	1,262780	6,6690			5011	8501,800		75101,1500;75201,1500;75301,1500	8105301,8105401,8105501,8105101	item127000068067,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600502	2	EventDes600502	3,27800	4,6690			5011	8502,800		75102,1500;75202,1500;75302,1500	8105302,8105402,8105502,8105102	item127000068068,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600503	3	EventDes600503	4,30640	2,6900			5012		9501,1000	75103,1500;75203,1500;75303,1500	8105303,8105403,8105503,8105201	item127100000001,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600504	4	EventDes600504	1,270990;32,45400	1,6900			5012	8503,800	9502,1000	75104,1500;75204,1500;75304,1500	8105304,8105404,8105504,8105103,8105202	item127000068069,1;item127100000001,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600505	2	EventDes600505	3,29500;33,49030	3,7400			5021	8504,800		75105,1500;75205,1500;75305,1500	8105305,8105405,8105505,8105104	item127000068070,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600506	4	EventDes600506	4,31800;34,55930	5,7400			5021	8505,800		75106,1500;75206,1500;75306,1500	8105306,8105406,8105506,8105105	item127000068071,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600507	1	EventDes600507	1,286680;35,57620	1,7620			5022		9503,1000	75107,1500;75207,1500;75307,1500	8105307,8105407,8105507,8105203	item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600508	3	EventDes600508	3,30390;30,50520	2,7620			5022	8506,800	9504,1000	75108,1500;75208,1500;75308,1500	8105308,8105408,8105508,8105106,8105204	item127000068072,1;item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600509	4	EventDes600509	4,33950;31,54250	6,8130			5031	8507,800		75109,1500;75209,1500;75309,1500	8105309,8105409,8105509,8105107	item127000068073,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600510	3	EventDes600510	32,54250;31,54250	3,8130			5031	8508,800		75110,1500;75210,1500;75310,1500	8105310,8105410,8105510,8105108	item127000068074,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600511	2	EventDes600511	34,69090;30,60130	4,9020			5032		9505,1000	75111,1500;75211,1500;75311,1500	8105311,8105411,8105511,8105205	item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600512	1	EventDes600512	30,60130;35,69090	5,9020			5032	8509,800	9506,1000	75112,1500;75212,1500;75312,1500	8105312,8105412,8105512,8105109,8105206	item127000068075,1;item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600513	3	EventDes600513	32,77140;34,89020	1,11530			5041	8510,800		75113,1500;75213,1500;75313,1500	8105313,8105413,8105513,8105110	item127000068076,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600514	1	EventDes600514	33,77140;33,77140	3,11530			5041	8511,800		75114,1500;75214,1500;75314,1500	8105314,8105414,8105514,8105111	item127000068077,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600515	4	EventDes600515	34,91570;32,79350	6,11860			5042		9507,1000	75115,1500;75215,1500;75315,1500	8105315,8105415,8105515,8105207	item127100000001,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
