流水	活动id	第几周	任务组	任务id	能量	功能检测和自动关闭
145	6201	5	100	183060	100	14,1
146	6201	5	101	182080	50	33,1
147	6201	5	102	181400	30	0,1
148	6201	5	102	181410	30	0,1
149	6201	5	102	181420	30	0,1
150	6201	5	103	183070	100	0,1
151	6201	5	104	182090	50	34,1
152	6201	5	105	181430	30	37,0
153	6201	5	105	181440	30	37,0
154	6201	5	105	181450	30	37,0
155	6201	5	106	183080	100	13,1
156	6201	5	107	182100	50	41,0
157	6201	5	108	182110	50	0,0
158	6201	5	109	183090	100	0,1
159	6201	5	110	182120	50	127,0
160	6201	5	111	181580	30	0,1
161	6201	5	111	181590	30	0,1
162	6201	5	111	181600	30	0,1
163	6201	5	112	183100	100	0,1
164	6201	5	113	182130	50	145,1
165	6201	5	114	181130	30	0,1
166	6201	5	114	181140	30	0,1
167	6201	5	114	181150	30	0,1
168	6201	5	115	183110	100	0,1
169	6201	5	116	182140	50	25,1
170	6201	5	117	181160	30	0,1
171	6201	5	117	181170	30	0,1
172	6201	5	117	181180	30	0,1
173	6201	5	118	183120	100	0,1
174	6201	5	119	182150	50	25,1
175	6201	5	120	181250	30	0,0
176	6201	5	120	181260	30	0,0
177	6201	5	120	181270	30	0,0
178	6201	5	121	182160	50	25,1
179	6201	5	122	182170	50	25,1
180	6201	5	123	181190	30	0,0
181	6201	5	123	181200	30	0,0
182	6201	5	123	181210	30	0,0
183	6201	5	124	182180	50	25,1
184	6203	1	125	183010	100	0,1
185	6203	1	126	182010	50	69,0
186	6203	1	127	181430	30	37,0
187	6203	1	127	181440	30	37,0
188	6203	1	127	181450	30	37,0
189	6203	1	128	183020	100	106,1
190	6203	1	129	182020	50	12,0
191	6203	1	130	182050	50	0,0
192	6203	1	131	183040	100	0,1
193	6203	1	132	182060	50	1,1
194	6203	1	133	181010	30	0,1
195	6203	1	133	181020	30	0,1
196	6203	1	133	181030	30	0,1
197	6203	1	134	183050	100	23,1
198	6203	1	135	182080	50	33,1
199	6203	1	136	181190	30	0,0
200	6203	1	136	181200	30	0,0
201	6203	1	136	181210	30	0,0
202	6203	1	137	183070	100	0,1
203	6203	1	138	182100	50	41,0
204	6203	1	139	182110	50	0,0
205	6203	1	140	183080	100	13,1
206	6203	1	141	182130	50	145,1
207	6203	1	142	181400	30	0,1
208	6203	1	142	181410	30	0,1
209	6203	1	142	181420	30	0,1
210	6203	1	143	183100	100	0,1
211	6203	1	144	182140	50	25,1
212	6203	1	145	181460	30	0,1
213	6203	1	145	181470	30	0,1
214	6203	1	145	181480	30	0,1
215	6203	2	146	183010	100	0,1
216	6203	2	147	182010	50	69,0
217	6203	2	148	181040	30	0,1
218	6203	2	148	181050	30	0,1
219	6203	2	148	181060	30	0,1
220	6203	2	149	183030	100	80,1
221	6203	2	150	182030	50	39,0
222	6203	2	151	182050	50	0,0
223	6203	2	152	183040	100	0,1
224	6203	2	153	182060	50	1,1
225	6203	2	154	181220	30	0,0
226	6203	2	154	181230	30	0,0
227	6203	2	154	181240	30	0,0
228	6203	2	155	183050	100	23,1
229	6203	2	156	182080	50	33,1
230	6203	2	157	181310	30	138,1
231	6203	2	157	181320	30	138,1
232	6203	2	157	181330	30	138,1
233	6203	2	158	183060	100	14,1
234	6203	2	159	182090	50	34,1
235	6203	2	160	182100	50	41,0
236	6203	2	161	183080	100	13,1
237	6203	2	162	182130	50	145,1
238	6203	2	163	181430	30	37,0
239	6203	2	163	181440	30	37,0
240	6203	2	163	181450	30	37,0
241	6203	2	164	183110	100	0,1
242	6203	2	165	182150	50	25,1
243	6203	2	166	181490	30	0,1
244	6203	2	166	181500	30	0,1
245	6203	2	166	181510	30	0,1
246	6203	3	167	183010	100	0,1
247	6203	3	168	182010	50	69,0
248	6203	3	169	181070	30	0,1
249	6203	3	169	181080	30	0,1
250	6203	3	169	181090	30	0,1
251	6203	3	170	183020	100	106,1
252	6203	3	171	182070	50	2,1
253	6203	3	172	182050	50	0,0
254	6203	3	173	183070	100	0,1
255	6203	3	174	182060	50	1,1
256	6203	3	175	181250	30	0,0
257	6203	3	175	181260	30	0,0
258	6203	3	175	181270	30	0,0
259	6203	3	176	183050	100	23,1
260	6203	3	177	182080	50	33,1
261	6203	3	178	181340	30	138,1
262	6203	3	178	181350	30	138,1
263	6203	3	178	181360	30	138,1
264	6203	3	179	183040	100	0,1
265	6203	3	180	182100	50	41,0
266	6203	3	181	182120	50	127,0
267	6203	3	182	183080	100	13,1
268	6203	3	183	182130	50	145,1
269	6203	3	184	181430	30	37,0
270	6203	3	184	181440	30	37,0
271	6203	3	184	181450	30	37,0
272	6203	3	185	183100	100	0,1
273	6203	3	186	182160	50	25,1
274	6203	3	187	181520	30	0,1
275	6203	3	187	181530	30	0,1
276	6203	3	187	181540	30	0,1
277	6203	4	188	183010	100	0,1
278	6203	4	189	182010	50	69,0
279	6203	4	190	181100	30	0,1
280	6203	4	190	181110	30	0,1
281	6203	4	190	181120	30	0,1
282	6203	4	191	183030	100	80,1
283	6203	4	192	182030	50	39,0
284	6203	4	193	182050	50	0,0
285	6203	4	194	183040	100	0,1
286	6203	4	195	182070	50	2,1
287	6203	4	196	181280	30	0,0
288	6203	4	196	181290	30	0,0
289	6203	4	196	181300	30	0,0
290	6203	4	197	183050	100	23,1
291	6203	4	198	182080	50	33,1
292	6203	4	199	181370	30	138,1
293	6203	4	199	181380	30	138,1
294	6203	4	199	181390	30	138,1
295	6203	4	200	183060	100	14,1
296	6203	4	201	182100	50	41,0
297	6203	4	202	182110	50	0,0
298	6203	4	203	183080	100	13,1
299	6203	4	204	182130	50	145,1
300	6203	4	205	181430	30	37,0
301	6203	4	205	181440	30	37,0
302	6203	4	205	181450	30	37,0
303	6203	4	206	183110	100	0,1
304	6203	4	207	182170	50	25,1
305	6203	4	208	181550	30	0,1
306	6203	4	208	181560	30	0,1
307	6203	4	208	181570	30	0,1
308	6203	5	209	183010	100	0,1
309	6203	5	210	182010	50	69,0
310	6203	5	211	181310	30	138,1
311	6203	5	211	181320	30	138,1
312	6203	5	211	181330	30	138,1
313	6203	5	213	182020	50	12,0
314	6203	5	214	182030	50	39,0
315	6203	5	217	181340	30	138,1
316	6203	5	217	181350	30	138,1
317	6203	5	217	181360	30	138,1
318	6203	5	218	183040	100	0,1
319	6203	5	219	182050	50	0,0
320	6203	5	220	182060	50	1,1
321	6203	5	221	183050	100	23,1
322	6203	5	222	182070	50	2,1
323	6203	5	223	181370	30	138,1
324	6203	5	223	181380	30	138,1
325	6203	5	223	181390	30	138,1
326	6203	5	225	182080	50	33,1
327	6203	5	226	181400	30	0,1
328	6203	5	226	181410	30	0,1
329	6203	5	226	181420	30	0,1
330	6203	5	227	183070	100	0,1
331	6203	5	228	182090	50	34,1
332	6203	5	229	181430	30	37,0
333	6203	5	229	181440	30	37,0
334	6203	5	229	181450	30	37,0
335	6203	5	230	183080	100	13,1
336	6203	5	231	182100	50	41,0
337	6203	5	232	182110	50	0,0
338	6203	5	233	183090	100	0,1
339	6203	5	234	182120	50	127,0
340	6203	5	235	181580	30	0,1
341	6203	5	235	181590	30	0,1
342	6203	5	235	181600	30	0,1
343	6203	5	236	183100	100	0,1
344	6203	5	237	182130	50	145,1
345	6203	5	238	181130	30	0,1
346	6203	5	238	181140	30	0,1
347	6203	5	238	181150	30	0,1
348	6203	5	239	183110	100	0,1
349	6203	5	240	182140	50	25,1
350	6203	5	241	181160	30	0,1
351	6203	5	241	181170	30	0,1
352	6203	5	241	181180	30	0,1
353	6203	5	242	183120	100	0,1
354	6203	5	243	182150	50	25,1
355	6203	5	244	181250	30	0,0
356	6203	5	244	181260	30	0,0
357	6203	5	244	181270	30	0,0
358	6203	5	245	182160	50	25,1
359	6203	5	246	182170	50	25,1
360	6203	5	247	181190	30	0,0
361	6203	5	247	181200	30	0,0
362	6203	5	247	181210	30	0,0
363	6203	5	248	182180	50	25,1
364	6204	1	125	183010	100	0,1
365	6204	1	126	182010	50	69,0
366	6204	1	127	181430	30	37,0
367	6204	1	127	181440	30	37,0
368	6204	1	127	181450	30	37,0
369	6204	1	128	183020	100	106,1
370	6204	1	129	182020	50	12,0
371	6204	1	130	182050	50	0,0
372	6204	1	131	183040	100	0,1
373	6204	1	132	182060	50	1,1
374	6204	1	133	181010	30	0,1
375	6204	1	133	181020	30	0,1
376	6204	1	133	181030	30	0,1
377	6204	1	134	183050	100	23,1
378	6204	1	135	182080	50	33,1
379	6204	1	136	181190	30	0,0
380	6204	1	136	181200	30	0,0
381	6204	1	136	181210	30	0,0
382	6204	1	137	183070	100	0,1
383	6204	1	138	182100	50	41,0
384	6204	1	139	182110	50	0,0
385	6204	1	140	183080	100	13,1
386	6204	1	141	182130	50	145,1
387	6204	1	142	181400	30	0,1
388	6204	1	142	181410	30	0,1
389	6204	1	142	181420	30	0,1
390	6204	1	143	183100	100	0,1
391	6204	1	144	182140	50	25,1
392	6204	1	145	181460	30	0,1
393	6204	1	145	181470	30	0,1
394	6204	1	145	181480	30	0,1
395	6204	2	146	183010	100	0,1
396	6204	2	147	182010	50	69,0
397	6204	2	148	181040	30	0,1
398	6204	2	148	181050	30	0,1
399	6204	2	148	181060	30	0,1
400	6204	2	149	183030	100	80,1
401	6204	2	150	182030	50	39,0
402	6204	2	151	182050	50	0,0
403	6204	2	152	183040	100	0,1
404	6204	2	153	182060	50	1,1
405	6204	2	154	181220	30	0,0
406	6204	2	154	181230	30	0,0
407	6204	2	154	181240	30	0,0
408	6204	2	155	183050	100	23,1
409	6204	2	156	182080	50	33,1
410	6204	2	157	181310	30	138,1
411	6204	2	157	181320	30	138,1
412	6204	2	157	181330	30	138,1
413	6204	2	158	183060	100	14,1
414	6204	2	159	182090	50	34,1
415	6204	2	160	182100	50	41,0
416	6204	2	161	183080	100	13,1
417	6204	2	162	182130	50	145,1
418	6204	2	163	181430	30	37,0
419	6204	2	163	181440	30	37,0
420	6204	2	163	181450	30	37,0
421	6204	2	164	183110	100	0,1
422	6204	2	165	182150	50	25,1
423	6204	2	166	181490	30	0,1
424	6204	2	166	181500	30	0,1
425	6204	2	166	181510	30	0,1
426	6204	3	167	183010	100	0,1
427	6204	3	168	182010	50	69,0
428	6204	3	169	181070	30	0,1
429	6204	3	169	181080	30	0,1
430	6204	3	169	181090	30	0,1
431	6204	3	170	183020	100	106,1
432	6204	3	171	182070	50	2,1
433	6204	3	172	182050	50	0,0
434	6204	3	173	183070	100	0,1
435	6204	3	174	182060	50	1,1
436	6204	3	175	181250	30	0,0
437	6204	3	175	181260	30	0,0
438	6204	3	175	181270	30	0,0
439	6204	3	176	183050	100	23,1
440	6204	3	177	182080	50	33,1
441	6204	3	178	181340	30	138,1
442	6204	3	178	181350	30	138,1
443	6204	3	178	181360	30	138,1
444	6204	3	179	183040	100	0,1
445	6204	3	180	182100	50	41,0
446	6204	3	181	182120	50	127,0
447	6204	3	182	183080	100	13,1
448	6204	3	183	182130	50	145,1
449	6204	3	184	181430	30	37,0
450	6204	3	184	181440	30	37,0
451	6204	3	184	181450	30	37,0
452	6204	3	185	183100	100	0,1
453	6204	3	186	182160	50	25,1
454	6204	3	187	181520	30	0,1
455	6204	3	187	181530	30	0,1
456	6204	3	187	181540	30	0,1
457	6204	4	188	183010	100	0,1
458	6204	4	189	182010	50	69,0
459	6204	4	190	181100	30	0,1
460	6204	4	190	181110	30	0,1
461	6204	4	190	181120	30	0,1
462	6204	4	191	183030	100	80,1
463	6204	4	192	182030	50	39,0
464	6204	4	193	182050	50	0,0
465	6204	4	194	183040	100	0,1
466	6204	4	195	182070	50	2,1
467	6204	4	196	181280	30	0,0
468	6204	4	196	181290	30	0,0
469	6204	4	196	181300	30	0,0
470	6204	4	197	183050	100	23,1
471	6204	4	198	182080	50	33,1
472	6204	4	199	181370	30	138,1
473	6204	4	199	181380	30	138,1
474	6204	4	199	181390	30	138,1
475	6204	4	200	183060	100	14,1
476	6204	4	201	182100	50	41,0
477	6204	4	202	182110	50	0,0
478	6204	4	203	183080	100	13,1
479	6204	4	204	182130	50	145,1
480	6204	4	205	181430	30	37,0
481	6204	4	205	181440	30	37,0
482	6204	4	205	181450	30	37,0
483	6204	4	206	183110	100	0,1
484	6204	4	207	182170	50	25,1
485	6204	4	208	181550	30	0,1
486	6204	4	208	181560	30	0,1
487	6204	4	208	181570	30	0,1
488	6204	5	209	183010	100	0,1
489	6204	5	210	182010	50	69,0
490	6204	5	211	181310	30	138,1
491	6204	5	211	181320	30	138,1
492	6204	5	211	181330	30	138,1
493	6204	5	213	182020	50	12,0
494	6204	5	214	182030	50	39,0
495	6204	5	217	181340	30	138,1
496	6204	5	217	181350	30	138,1
497	6204	5	217	181360	30	138,1
498	6204	5	218	183040	100	0,1
499	6204	5	219	182050	50	0,0
500	6204	5	220	182060	50	1,1
501	6204	5	221	183050	100	23,1
502	6204	5	222	182070	50	2,1
503	6204	5	223	181370	30	138,1
504	6204	5	223	181380	30	138,1
505	6204	5	223	181390	30	138,1
506	6204	5	225	182080	50	33,1
507	6204	5	226	181400	30	0,1
508	6204	5	226	181410	30	0,1
509	6204	5	226	181420	30	0,1
510	6204	5	227	183070	100	0,1
511	6204	5	228	182090	50	34,1
512	6204	5	229	181430	30	37,0
513	6204	5	229	181440	30	37,0
514	6204	5	229	181450	30	37,0
515	6204	5	230	183080	100	13,1
516	6204	5	231	182100	50	41,0
517	6204	5	232	182110	50	0,0
518	6204	5	233	183090	100	0,1
519	6204	5	234	182120	50	127,0
520	6204	5	235	181580	30	0,1
521	6204	5	235	181590	30	0,1
522	6204	5	235	181600	30	0,1
523	6204	5	236	183100	100	0,1
524	6204	5	237	182130	50	145,1
525	6204	5	238	181130	30	0,1
526	6204	5	238	181140	30	0,1
527	6204	5	238	181150	30	0,1
528	6204	5	239	183110	100	0,1
529	6204	5	240	182140	50	25,1
530	6204	5	241	181160	30	0,1
531	6204	5	241	181170	30	0,1
532	6204	5	241	181180	30	0,1
533	6204	5	242	183120	100	0,1
534	6204	5	243	182150	50	25,1
535	6204	5	244	181250	30	0,0
536	6204	5	244	181260	30	0,0
537	6204	5	244	181270	30	0,0
538	6204	5	245	182160	50	25,1
539	6204	5	246	182170	50	25,1
540	6204	5	247	181190	30	0,0
541	6204	5	247	181200	30	0,0
542	6204	5	247	181210	30	0,0
543	6204	5	248	182180	50	25,1
544	6205	1	125	183010	100	0,1
545	6205	1	126	182010	50	69,0
546	6205	1	127	181430	30	37,0
547	6205	1	127	181440	30	37,0
548	6205	1	127	181450	30	37,0
549	6205	1	128	183020	100	106,1
550	6205	1	129	182020	50	12,0
551	6205	1	130	182050	50	0,0
552	6205	1	131	183040	100	0,1
553	6205	1	132	182060	50	1,1
554	6205	1	133	181010	30	0,1
555	6205	1	133	181020	30	0,1
556	6205	1	133	181030	30	0,1
557	6205	1	134	183050	100	23,1
558	6205	1	135	182080	50	33,1
559	6205	1	136	181190	30	0,0
560	6205	1	136	181200	30	0,0
561	6205	1	136	181210	30	0,0
562	6205	1	137	183070	100	0,1
563	6205	1	138	182100	50	41,0
564	6205	1	139	182110	50	0,0
565	6205	1	140	183080	100	13,1
566	6205	1	141	182130	50	145,1
567	6205	1	142	181400	30	0,1
568	6205	1	142	181410	30	0,1
569	6205	1	142	181420	30	0,1
570	6205	1	143	183100	100	0,1
571	6205	1	144	182140	50	25,1
572	6205	1	145	181460	30	0,1
573	6205	1	145	181470	30	0,1
574	6205	1	145	181480	30	0,1
575	6205	2	146	183010	100	0,1
576	6205	2	147	182010	50	69,0
577	6205	2	148	181040	30	0,1
578	6205	2	148	181050	30	0,1
579	6205	2	148	181060	30	0,1
580	6205	2	149	183030	100	80,1
581	6205	2	150	182030	50	39,0
582	6205	2	151	182050	50	0,0
583	6205	2	152	183040	100	0,1
584	6205	2	153	182060	50	1,1
585	6205	2	154	181220	30	0,0
586	6205	2	154	181230	30	0,0
587	6205	2	154	181240	30	0,0
588	6205	2	155	183050	100	23,1
589	6205	2	156	182080	50	33,1
590	6205	2	157	181310	30	138,1
591	6205	2	157	181320	30	138,1
592	6205	2	157	181330	30	138,1
593	6205	2	158	183060	100	14,1
594	6205	2	159	182090	50	34,1
595	6205	2	160	182100	50	41,0
596	6205	2	161	183080	100	13,1
597	6205	2	162	182130	50	145,1
598	6205	2	163	181430	30	37,0
599	6205	2	163	181440	30	37,0
600	6205	2	163	181450	30	37,0
601	6205	2	164	183110	100	0,1
602	6205	2	165	182150	50	25,1
603	6205	2	166	181490	30	0,1
604	6205	2	166	181500	30	0,1
605	6205	2	166	181510	30	0,1
606	6205	3	167	183010	100	0,1
607	6205	3	168	182010	50	69,0
608	6205	3	169	181070	30	0,1
609	6205	3	169	181080	30	0,1
610	6205	3	169	181090	30	0,1
611	6205	3	170	183020	100	106,1
612	6205	3	171	182070	50	2,1
613	6205	3	172	182050	50	0,0
614	6205	3	173	183070	100	0,1
615	6205	3	174	182060	50	1,1
616	6205	3	175	181250	30	0,0
617	6205	3	175	181260	30	0,0
618	6205	3	175	181270	30	0,0
619	6205	3	176	183050	100	23,1
620	6205	3	177	182080	50	33,1
621	6205	3	178	181340	30	138,1
622	6205	3	178	181350	30	138,1
623	6205	3	178	181360	30	138,1
624	6205	3	179	183040	100	0,1
625	6205	3	180	182100	50	41,0
626	6205	3	181	182120	50	127,0
627	6205	3	182	183080	100	13,1
628	6205	3	183	182130	50	145,1
629	6205	3	184	181430	30	37,0
630	6205	3	184	181440	30	37,0
631	6205	3	184	181450	30	37,0
632	6205	3	185	183100	100	0,1
633	6205	3	186	182160	50	25,1
634	6205	3	187	181520	30	0,1
635	6205	3	187	181530	30	0,1
636	6205	3	187	181540	30	0,1
637	6205	4	188	183010	100	0,1
638	6205	4	189	182010	50	69,0
639	6205	4	190	181100	30	0,1
640	6205	4	190	181110	30	0,1
641	6205	4	190	181120	30	0,1
642	6205	4	191	183030	100	80,1
643	6205	4	192	182030	50	39,0
644	6205	4	193	182050	50	0,0
645	6205	4	194	183040	100	0,1
646	6205	4	195	182070	50	2,1
647	6205	4	196	181280	30	0,0
648	6205	4	196	181290	30	0,0
649	6205	4	196	181300	30	0,0
650	6205	4	197	183050	100	23,1
651	6205	4	198	182080	50	33,1
652	6205	4	199	181370	30	138,1
653	6205	4	199	181380	30	138,1
654	6205	4	199	181390	30	138,1
655	6205	4	200	183060	100	14,1
656	6205	4	201	182100	50	41,0
657	6205	4	202	182110	50	0,0
658	6205	4	203	183080	100	13,1
659	6205	4	204	182130	50	145,1
660	6205	4	205	181430	30	37,0
661	6205	4	205	181440	30	37,0
662	6205	4	205	181450	30	37,0
663	6205	4	206	183110	100	0,1
664	6205	4	207	182170	50	25,1
665	6205	4	208	181550	30	0,1
666	6205	4	208	181560	30	0,1
667	6205	4	208	181570	30	0,1
668	6205	5	209	183010	100	0,1
669	6205	5	210	182010	50	69,0
670	6205	5	211	181310	30	138,1
671	6205	5	211	181320	30	138,1
672	6205	5	211	181330	30	138,1
673	6205	5	213	182020	50	12,0
674	6205	5	214	182030	50	39,0
675	6205	5	217	181340	30	138,1
676	6205	5	217	181350	30	138,1
677	6205	5	217	181360	30	138,1
678	6205	5	218	183040	100	0,1
679	6205	5	219	182050	50	0,0
680	6205	5	220	182060	50	1,1
681	6205	5	221	183050	100	23,1
682	6205	5	222	182070	50	2,1
683	6205	5	223	181370	30	138,1
684	6205	5	223	181380	30	138,1
685	6205	5	223	181390	30	138,1
686	6205	5	225	182080	50	33,1
687	6205	5	226	181400	30	0,1
688	6205	5	226	181410	30	0,1
689	6205	5	226	181420	30	0,1
690	6205	5	227	183070	100	0,1
691	6205	5	228	182090	50	34,1
692	6205	5	229	181430	30	37,0
693	6205	5	229	181440	30	37,0
694	6205	5	229	181450	30	37,0
695	6205	5	230	183080	100	13,1
696	6205	5	231	182100	50	41,0
697	6205	5	232	182110	50	0,0
698	6205	5	233	183090	100	0,1
699	6205	5	234	182120	50	127,0
700	6205	5	235	181580	30	0,1
701	6205	5	235	181590	30	0,1
702	6205	5	235	181600	30	0,1
703	6205	5	236	183100	100	0,1
704	6205	5	237	182130	50	145,1
705	6205	5	238	181130	30	0,1
706	6205	5	238	181140	30	0,1
707	6205	5	238	181150	30	0,1
708	6205	5	239	183110	100	0,1
709	6205	5	240	182140	50	25,1
710	6205	5	241	181160	30	0,1
711	6205	5	241	181170	30	0,1
712	6205	5	241	181180	30	0,1
713	6205	5	242	183120	100	0,1
714	6205	5	243	182150	50	25,1
715	6205	5	244	181250	30	0,0
716	6205	5	244	181260	30	0,0
717	6205	5	244	181270	30	0,0
718	6205	5	245	182160	50	25,1
719	6205	5	246	182170	50	25,1
720	6205	5	247	181190	30	0,0
721	6205	5	247	181200	30	0,0
722	6205	5	247	181210	30	0,0
723	6205	5	248	182180	50	25,1
724	6206	1	125	183010	100	0,1
725	6206	1	126	182010	50	69,0
726	6206	1	127	181430	30	37,0
727	6206	1	127	181440	30	37,0
728	6206	1	127	181450	30	37,0
729	6206	1	128	183020	100	106,1
730	6206	1	129	182020	50	12,0
731	6206	1	130	182050	50	0,0
732	6206	1	131	183040	100	0,1
733	6206	1	132	182060	50	1,1
734	6206	1	133	181010	30	0,1
735	6206	1	133	181020	30	0,1
736	6206	1	133	181030	30	0,1
737	6206	1	134	183050	100	23,1
738	6206	1	135	182080	50	33,1
739	6206	1	136	181190	30	0,0
740	6206	1	136	181200	30	0,0
741	6206	1	136	181210	30	0,0
742	6206	1	137	183070	100	0,1
743	6206	1	138	182100	50	41,0
744	6206	1	139	182110	50	0,0
745	6206	1	140	183080	100	13,1
746	6206	1	141	182130	50	145,1
747	6206	1	142	181400	30	0,1
748	6206	1	142	181410	30	0,1
749	6206	1	142	181420	30	0,1
750	6206	1	143	183100	100	0,1
751	6206	1	144	182140	50	25,1
752	6206	1	145	181460	30	0,1
753	6206	1	145	181470	30	0,1
754	6206	1	145	181480	30	0,1
755	6206	2	146	183010	100	0,1
756	6206	2	147	182010	50	69,0
757	6206	2	148	181040	30	0,1
758	6206	2	148	181050	30	0,1
759	6206	2	148	181060	30	0,1
760	6206	2	149	183030	100	80,1
761	6206	2	150	182030	50	39,0
762	6206	2	151	182050	50	0,0
763	6206	2	152	183040	100	0,1
764	6206	2	153	182060	50	1,1
765	6206	2	154	181220	30	0,0
766	6206	2	154	181230	30	0,0
767	6206	2	154	181240	30	0,0
768	6206	2	155	183050	100	23,1
769	6206	2	156	182080	50	33,1
770	6206	2	157	181310	30	138,1
771	6206	2	157	181320	30	138,1
