ID	属性id	等级下限	等级上限	属性1类型	属性1下限	属性1上限	属性2类型	属性2下限	属性2上限	属性3类型	属性3下限	属性3上限	属性4类型	属性4下限	属性4上限	属性5类型	属性5下限	属性5上限	评分类型	评分数值
206	20183	70	9999	4	800	1200	52	400	600	0	0	0	0	0	0	0	0	0	1	6
207	20193	70	9999	272	900	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	5010	30	9999	3	200	200	23	500	500	0	0	0	0	0	0	0	0	0	1	6
209	5010	20	29	3	33	33	23	83	83	0	0	0	0	0	0	0	0	0	1	6
210	5010	10	19	3	16	16	23	41	41	0	0	0	0	0	0	0	0	0	1	6
211	5010	1	9	3	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1	6
212	5020	30	9999	4	200	200	24	500	500	0	0	0	0	0	0	0	0	0	1	6
213	5020	20	29	4	33	33	24	83	83	0	0	0	0	0	0	0	0	0	1	6
214	5020	10	19	4	16	16	24	41	41	0	0	0	0	0	0	0	0	0	1	6
215	5020	1	9	4	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	6
216	5030	30	9999	1	2000	2000	4	200	200	0	0	0	0	0	0	0	0	0	1	6
217	5030	20	29	1	333	333	4	33	33	0	0	0	0	0	0	0	0	0	1	6
218	5030	10	19	1	166	166	4	16	16	0	0	0	0	0	0	0	0	0	1	6
219	5030	1	9	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	6
220	10010	40	9999	3	400	400	32	200	200	34	200	200	0	0	0	0	0	0	1	6
221	10010	30	39	3	92	92	32	46	46	34	46	46	0	0	0	0	0	0	1	6
222	10010	20	29	3	61	61	32	30	30	34	30	30	0	0	0	0	0	0	1	6
223	10010	10	19	3	30	30	32	15	15	34	15	15	0	0	0	0	0	0	1	6
224	10010	1	9	3	0	0	32	0	0	34	0	0	0	0	0	0	0	0	1	6
225	10020	50	9999	4	400	400	52	200	200	33	200	200	0	0	0	0	0	0	1	6
226	10020	40	49	4	123	123	52	61	61	33	61	61	0	0	0	0	0	0	1	6
227	10020	30	39	4	92	92	52	46	46	33	46	46	0	0	0	0	0	0	1	6
228	10020	20	29	4	61	61	52	30	30	33	30	30	0	0	0	0	0	0	1	6
229	10020	10	19	4	30	30	52	15	15	33	15	15	0	0	0	0	0	0	1	6
230	10020	1	9	4	0	0	52	0	0	33	0	0	0	0	0	0	0	0	1	6
231	10030	50	9999	1	4000	4000	11	400	400	13	200	200	0	0	0	0	0	0	1	6
232	10030	40	49	1	1230	1230	11	123	123	11	61	61	0	0	0	0	0	0	1	6
233	10030	30	39	1	923	923	11	92	92	11	46	46	0	0	0	0	0	0	1	6
234	10030	20	29	1	615	615	11	61	61	11	30	30	0	0	0	0	0	0	1	6
235	10030	10	19	1	307	307	11	30	30	11	15	15	0	0	0	0	0	0	1	6
236	10030	1	9	1	0	0	11	0	0	11	0	0	0	0	0	0	0	0	1	6
237	15010	60	9999	3	800	800	12	400	400	32	400	400	0	0	0	0	0	0	1	6
238	15010	50	59	3	285	285	12	142	142	32	142	142	0	0	0	0	0	0	1	6
239	15010	40	49	3	228	228	12	114	114	32	114	114	0	0	0	0	0	0	1	6
240	15010	30	39	3	171	171	12	85	85	32	85	85	0	0	0	0	0	0	1	6
241	15010	20	29	3	114	114	12	57	57	32	57	57	0	0	0	0	0	0	1	6
242	15010	10	19	3	57	57	12	28	28	32	28	28	0	0	0	0	0	0	1	6
243	15010	1	9	3	0	0	12	0	0	32	0	0	0	0	0	0	0	0	1	6
244	15020	60	9999	4	800	800	52	400	400	33	400	400	0	0	0	0	0	0	1	6
245	15020	50	59	4	285	285	52	142	142	33	142	142	0	0	0	0	0	0	1	6
246	15020	40	49	4	228	228	52	114	114	33	114	114	0	0	0	0	0	0	1	6
247	15020	30	39	4	171	171	52	85	85	33	85	85	0	0	0	0	0	0	1	6
248	15020	20	29	4	114	114	52	57	57	33	57	57	0	0	0	0	0	0	1	6
249	15020	10	19	4	57	57	52	28	28	33	28	28	0	0	0	0	0	0	1	6
250	15020	1	9	4	0	0	52	0	0	33	0	0	0	0	0	0	0	0	1	6
251	15030	60	9999	1	8000	8000	13	400	400	11	600	600	0	0	0	0	0	0	1	6
252	15030	50	59	1	2857	2857	13	142	142	11	214	214	0	0	0	0	0	0	1	6
253	15030	40	49	1	2285	2285	13	114	114	11	171	171	0	0	0	0	0	0	1	6
254	15030	30	39	1	1714	1714	13	85	85	11	128	128	0	0	0	0	0	0	1	6
255	15030	20	29	1	1142	1142	13	57	57	11	85	85	0	0	0	0	0	0	1	6
256	15030	10	19	1	571	571	13	28	28	11	42	42	0	0	0	0	0	0	1	6
257	15030	1	9	1	0	0	13	0	0	11	0	0	0	0	0	0	0	0	1	6
258	20010	70	9999	3	1200	1200	32	600	600	34	600	600	0	0	0	0	0	0	1	6
259	20010	60	69	3	480	480	32	240	240	34	240	240	0	0	0	0	0	0	1	6
260	20010	50	59	3	400	400	32	200	200	34	200	200	0	0	0	0	0	0	1	6
261	20010	40	49	3	320	320	32	160	160	34	160	160	0	0	0	0	0	0	1	6
262	20010	30	39	3	240	240	32	120	120	34	120	120	0	0	0	0	0	0	1	6
263	20010	20	29	3	160	160	32	80	80	34	80	80	0	0	0	0	0	0	1	6
264	20010	10	19	3	80	80	32	40	40	34	40	40	0	0	0	0	0	0	1	6
265	20010	1	9	3	0	0	32	0	0	34	0	0	0	0	0	0	0	0	1	6
266	20020	70	9999	4	1200	1200	33	600	600	35	600	600	0	0	0	0	0	0	1	6
267	20020	60	69	4	480	480	33	240	240	35	240	240	0	0	0	0	0	0	1	6
268	20020	50	59	4	400	400	33	200	200	35	200	200	0	0	0	0	0	0	1	6
269	20020	40	49	4	320	320	33	160	160	35	160	160	0	0	0	0	0	0	1	6
270	20020	30	39	4	240	240	33	120	120	35	120	120	0	0	0	0	0	0	1	6
271	20020	20	29	4	160	160	33	80	80	35	80	80	0	0	0	0	0	0	1	6
272	20020	10	19	4	80	80	33	40	40	35	40	40	0	0	0	0	0	0	1	6
273	20020	1	9	4	0	0	33	0	0	35	0	0	0	0	0	0	0	0	1	6
274	20030	70	9999	1	12000	12000	13	600	600	11	1000	1000	0	0	0	0	0	0	1	6
275	20030	60	69	1	4800	4800	13	240	240	11	400	400	0	0	0	0	0	0	1	6
276	20030	50	59	1	4000	4000	13	200	200	11	333	333	0	0	0	0	0	0	1	6
277	20030	40	49	1	3200	3200	13	160	160	11	266	266	0	0	0	0	0	0	1	6
278	20030	30	39	1	2400	2400	13	120	120	11	200	200	0	0	0	0	0	0	1	6
279	20030	20	29	1	1600	1600	13	80	80	11	133	133	0	0	0	0	0	0	1	6
280	20030	10	19	1	800	800	13	40	40	11	66	66	0	0	0	0	0	0	1	6
281	20030	1	9	1	0	0	13	0	0	11	0	0	0	0	0	0	0	0	1	6
282	20040	1	9999	273	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
283	20050	70	9999	3	1500	1500	12	600	600	34	600	600	0	0	0	0	0	0	1	6
284	20050	60	69	3	600	600	12	240	240	34	240	240	0	0	0	0	0	0	1	6
285	20050	50	59	3	500	500	12	200	200	34	200	200	0	0	0	0	0	0	1	6
286	20050	40	49	3	400	400	12	160	160	34	160	160	0	0	0	0	0	0	1	6
287	20050	30	39	3	300	300	12	120	120	34	120	120	0	0	0	0	0	0	1	6
288	20050	20	29	3	200	200	12	80	80	34	80	80	0	0	0	0	0	0	1	6
289	20050	10	19	3	100	100	12	40	40	34	40	40	0	0	0	0	0	0	1	6
290	20050	1	9	3	0	0	12	0	0	34	0	0	0	0	0	0	0	0	1	6
291	20060	70	9999	4	1500	1500	52	600	600	13	600	600	0	0	0	0	0	0	1	6
292	20060	60	69	4	600	600	52	240	240	13	240	240	0	0	0	0	0	0	1	6
293	20060	50	59	4	500	500	52	200	200	13	200	200	0	0	0	0	0	0	1	6
294	20060	40	49	4	400	400	52	160	160	13	160	160	0	0	0	0	0	0	1	6
295	20060	30	39	4	300	300	52	120	120	13	120	120	0	0	0	0	0	0	1	6
296	20060	20	29	4	200	200	52	80	80	13	80	80	0	0	0	0	0	0	1	6
297	20060	10	19	4	100	100	52	40	40	13	40	40	0	0	0	0	0	0	1	6
298	20060	1	9	4	0	0	52	0	0	13	0	0	0	0	0	0	0	0	1	6
299	20070	70	9999	1	12000	12000	13	600	600	11	1000	1000	0	0	0	0	0	0	1	6
300	20060	60	69	1	4800	4800	13	240	240	11	400	400	0	0	0	0	0	0	1	6
301	20060	50	59	1	4000	4000	13	200	200	11	333	333	0	0	0	0	0	0	1	6
302	20060	40	49	1	3200	3200	13	160	160	11	266	266	0	0	0	0	0	0	1	6
303	20060	30	39	1	2400	2400	13	120	120	11	200	200	0	0	0	0	0	0	1	6
304	20060	20	29	1	1600	1600	13	80	80	11	133	133	0	0	0	0	0	0	1	6
305	20060	10	19	1	800	800	13	40	40	11	66	66	0	0	0	0	0	0	1	6
306	20060	1	9	1	0	0	13	0	0	11	0	0	0	0	0	0	0	0	1	6
