流水	活动id	奖励名称	活动界面是否显示	奖励说明描述	组合图标名ID	奖励
265	6335	LuckySixRewardName_02	0	LuckySixRewardDes_04		item1002,60
266	6335	LuckySixRewardName_03	0	LuckySixRewardDes_03	274	item91000001742,1
267	6335	LuckySixRewardName_07	0	LuckySixRewardDes_06		item100000000006,1
268	6336	LuckySixRewardName_06	1		282,282,282	item1002,12888
269	6336	LuckySixRewardName_08	1		283,283,283	item91000001764,1
270	6336	LuckySixRewardName_16	1		287,287,287	item8101020514029,1
271	6336	LuckySixRewardName_09	0		285,285,285	item91000001765,1
272	6336	LuckySixRewardName_01	0		286,286,286	item1002,600
273	6336	LuckySixRewardName_02	0	LuckySixRewardDes_04		item1002,60
274	6336	LuckySixRewardName_03	0	LuckySixRewardDes_03	282	item91000001766,1
275	6336	LuckySixRewardName_07	0	LuckySixRewardDes_06		item100000000006,1
276	6337	LuckySixRewardName_06	1		290,290,290	item1002,12888
277	6337	LuckySixRewardName_08	1		291,291,291	item91000001787,1
278	6337	LuckySixRewardName_16	1		295,295,295	item8101020514025,1
279	6337	LuckySixRewardName_09	0		293,293,293	item91000001788,1
280	6337	LuckySixRewardName_01	0		294,294,294	item1002,600
281	6337	LuckySixRewardName_02	0	LuckySixRewardDes_04		item1002,60
282	6337	LuckySixRewardName_03	0	LuckySixRewardDes_03	290	item91000001789,1
283	6337	LuckySixRewardName_07	0	LuckySixRewardDes_06		item100000000006,1
284	6338	LuckySixRewardName_06	1		298,298,298	item1002,12888
285	6338	LuckySixRewardName_08	1		299,299,299	item91000001817,1
286	6338	LuckySixRewardName_16	1		303,303,303	item8101020514022,1
287	6338	LuckySixRewardName_09	0		301,301,301	item91000001818,1
288	6338	LuckySixRewardName_01	0		302,302,302	item1002,600
289	6338	LuckySixRewardName_02	0	LuckySixRewardDes_04		item1002,60
290	6338	LuckySixRewardName_03	0	LuckySixRewardDes_03	298	item91000001819,1
291	6338	LuckySixRewardName_07	0	LuckySixRewardDes_06		item100000000006,1
292	6339	LuckySixRewardName_06	1		298,298,298	item1002,12888
293	6339	LuckySixRewardName_08	1		299,299,299	item91000001817,1
294	6339	LuckySixRewardName_16	1		303,303,303	item8101020514022,1
295	6339	LuckySixRewardName_09	0		301,301,301	item91000001818,1
296	6339	LuckySixRewardName_01	0		302,302,302	item1002,600
297	6339	LuckySixRewardName_02	0	LuckySixRewardDes_04		item1002,60
298	6339	LuckySixRewardName_03	0	LuckySixRewardDes_03	298	item91000001819,1
299	6339	LuckySixRewardName_07	0	LuckySixRewardDes_06		item100000000006,1
