流水	特质库ID	特质id	特质概率
279	11042	403	140
280	11042	404	120
281	11042	501	240
282	11042	502	170
283	11042	503	140
284	11042	504	120
285	11042	601	240
286	11042	602	170
287	11042	603	140
288	11042	604	120
289	11042	701	240
290	11042	702	170
291	11042	703	140
292	11042	704	120
293	11042	801	240
294	11042	802	170
295	11042	803	140
296	11042	804	120
297	11042	901	240
298	11042	902	170
299	11042	903	140
300	11042	904	120
301	11042	1001	240
302	11042	1002	170
303	11042	1003	140
304	11042	1004	120
305	11042	1101	240
306	11042	1102	170
307	11042	1103	140
308	11042	1104	120
309	11042	1201	240
310	11042	1202	170
311	11042	1203	140
312	11042	1204	120
313	21011	101	600
314	21011	102	70
315	21011	201	600
316	21011	202	70
317	21011	301	600
318	21011	302	70
319	21011	401	600
320	21011	402	70
321	21011	501	600
322	21011	502	70
323	21011	601	600
324	21011	602	70
325	21011	701	600
326	21011	702	70
327	21011	801	600
328	21011	802	70
329	21011	901	600
330	21011	902	70
331	21011	1001	600
332	21011	1002	70
333	21011	1101	600
334	21011	1102	70
335	21011	1201	600
336	21011	1202	70
337	21012	101	580
338	21012	102	90
339	21012	201	580
340	21012	202	90
341	21012	301	580
342	21012	302	90
343	21012	401	580
344	21012	402	90
345	21012	501	580
346	21012	502	90
347	21012	601	580
348	21012	602	90
349	21012	701	580
350	21012	702	90
351	21012	801	580
352	21012	802	90
353	21012	901	580
354	21012	902	90
355	21012	1001	580
356	21012	1002	90
357	21012	1101	580
358	21012	1102	90
359	21012	1201	580
360	21012	1202	90
361	21021	101	480
362	21021	102	120
363	21021	103	70
364	21021	201	480
365	21021	202	120
366	21021	203	70
367	21021	301	480
368	21021	302	120
369	21021	303	70
370	21021	401	480
371	21021	402	120
372	21021	403	70
373	21021	501	480
374	21021	502	120
375	21021	503	70
376	21021	601	480
377	21021	602	120
378	21021	603	70
379	21021	701	480
380	21021	702	120
381	21021	703	70
382	21021	801	480
383	21021	802	120
384	21021	803	70
385	21021	901	480
386	21021	902	120
387	21021	903	70
388	21021	1001	480
389	21021	1002	120
390	21021	1003	70
391	21021	1101	480
392	21021	1102	120
393	21021	1103	70
394	21021	1201	480
395	21021	1202	120
396	21021	1203	70
397	21022	101	440
398	21022	102	140
399	21022	103	90
400	21022	201	440
401	21022	202	140
402	21022	203	90
403	21022	301	440
404	21022	302	140
405	21022	303	90
406	21022	401	440
407	21022	402	140
408	21022	403	90
409	21022	501	440
410	21022	502	140
411	21022	503	90
412	21022	601	440
413	21022	602	140
414	21022	603	90
415	21022	701	440
416	21022	702	140
417	21022	703	90
418	21022	801	440
419	21022	802	140
420	21022	803	90
421	21022	901	440
422	21022	902	140
423	21022	903	90
424	21022	1001	440
425	21022	1002	140
426	21022	1003	90
427	21022	1101	440
428	21022	1102	140
429	21022	1103	90
430	21022	1201	440
431	21022	1202	140
432	21022	1203	90
433	21031	101	400
434	21031	102	130
435	21031	103	100
436	21031	104	70
437	21031	201	400
438	21031	202	130
439	21031	203	100
440	21031	204	70
441	21031	301	400
442	21031	302	130
443	21031	303	100
444	21031	304	70
445	21031	401	400
446	21031	402	130
447	21031	403	100
448	21031	404	70
449	21031	501	400
450	21031	502	130
451	21031	503	100
452	21031	504	70
453	21031	601	400
454	21031	602	130
455	21031	603	100
456	21031	604	70
457	21031	701	400
458	21031	702	130
459	21031	703	100
460	21031	704	70
461	21031	801	400
462	21031	802	130
463	21031	803	100
464	21031	804	70
465	21031	901	400
466	21031	902	130
467	21031	903	100
468	21031	904	70
469	21031	1001	400
470	21031	1002	130
471	21031	1003	100
472	21031	1004	70
473	21031	1101	400
474	21031	1102	130
475	21031	1103	100
476	21031	1104	70
477	21031	1201	400
478	21031	1202	130
479	21031	1203	100
480	21031	1204	70
481	21032	101	300
482	21032	102	150
483	21032	103	120
484	21032	104	100
485	21032	201	300
486	21032	202	150
487	21032	203	120
488	21032	204	100
489	21032	301	300
490	21032	302	150
491	21032	303	120
492	21032	304	100
493	21032	401	300
494	21032	402	150
495	21032	403	120
496	21032	404	100
497	21032	501	300
498	21032	502	150
499	21032	503	120
500	21032	504	100
501	21032	601	300
502	21032	602	150
503	21032	603	120
504	21032	604	100
505	21032	701	300
506	21032	702	150
507	21032	703	120
508	21032	704	100
509	21032	801	300
510	21032	802	150
511	21032	803	120
512	21032	804	100
513	21032	901	300
514	21032	902	150
515	21032	903	120
516	21032	904	100
517	21032	1001	300
518	21032	1002	150
519	21032	1003	120
520	21032	1004	100
521	21032	1101	300
522	21032	1102	150
523	21032	1103	120
524	21032	1104	100
525	21032	1201	300
526	21032	1202	150
527	21032	1203	120
528	21032	1204	100
529	21032	1601	20
530	21032	1602	20
531	21033	101	300
532	21033	102	150
533	21033	103	120
534	21033	104	100
535	21033	201	300
536	21033	202	150
537	21033	203	120
538	21033	204	100
539	21033	301	300
540	21033	302	150
541	21033	303	120
542	21033	304	100
543	21033	401	300
544	21033	402	150
545	21033	403	120
546	21033	404	100
547	21033	501	300
548	21033	502	150
549	21033	503	120
550	21033	504	100
551	21033	601	300
552	21033	602	150
553	21033	603	120
554	21033	604	100
555	21033	701	300
556	21033	702	150
557	21033	703	120
558	21033	704	100
559	21033	801	300
560	21033	802	150
561	21033	803	120
562	21033	804	100
563	21033	901	300
564	21033	902	150
565	21033	903	120
566	21033	904	100
567	21033	1001	300
568	21033	1002	150
569	21033	1003	120
570	21033	1004	100
571	21033	1101	300
572	21033	1102	150
573	21033	1103	120
574	21033	1104	100
575	21033	1201	300
576	21033	1202	150
577	21033	1203	120
578	21033	1204	100
579	21033	1701	20
580	21033	1702	20
581	21034	101	300
582	21034	102	150
583	21034	103	120
584	21034	104	100
585	21034	201	300
586	21034	202	150
587	21034	203	120
588	21034	204	100
589	21034	301	300
590	21034	302	150
591	21034	303	120
592	21034	304	100
593	21034	401	300
594	21034	402	150
595	21034	403	120
596	21034	404	100
597	21034	501	300
598	21034	502	150
599	21034	503	120
600	21034	504	100
601	21034	601	300
602	21034	602	150
603	21034	603	120
604	21034	604	100
605	21034	701	300
606	21034	702	150
607	21034	703	120
608	21034	704	100
609	21034	801	300
610	21034	802	150
611	21034	803	120
612	21034	804	100
613	21034	901	300
614	21034	902	150
615	21034	903	120
616	21034	904	100
617	21034	1001	300
618	21034	1002	150
619	21034	1003	120
620	21034	1004	100
621	21034	1101	300
622	21034	1102	150
623	21034	1103	120
624	21034	1104	100
625	21034	1201	300
626	21034	1202	150
627	21034	1203	120
628	21034	1204	100
629	21034	1801	20
630	21034	1802	20
631	21035	101	300
632	21035	102	150
633	21035	103	120
634	21035	104	100
635	21035	201	300
636	21035	202	150
637	21035	203	120
638	21035	204	100
639	21035	301	300
640	21035	302	150
641	21035	303	120
642	21035	304	100
643	21035	401	300
644	21035	402	150
645	21035	403	120
646	21035	404	100
647	21035	501	300
648	21035	502	150
649	21035	503	120
650	21035	504	100
651	21035	601	300
652	21035	602	150
653	21035	603	120
654	21035	604	100
655	21035	701	300
656	21035	702	150
657	21035	703	120
658	21035	704	100
659	21035	801	300
660	21035	802	150
661	21035	803	120
662	21035	804	100
663	21035	901	300
664	21035	902	150
665	21035	903	120
666	21035	904	100
667	21035	1001	300
668	21035	1002	150
669	21035	1003	120
670	21035	1004	100
671	21035	1101	300
672	21035	1102	150
673	21035	1103	120
674	21035	1104	100
675	21035	1201	300
676	21035	1202	150
677	21035	1203	120
678	21035	1204	100
679	21035	1901	20
680	21035	1902	20
681	21036	101	300
682	21036	102	150
683	21036	103	120
684	21036	104	100
685	21036	201	300
686	21036	202	150
687	21036	203	120
688	21036	204	100
689	21036	301	300
690	21036	302	150
691	21036	303	120
692	21036	304	100
693	21036	401	300
694	21036	402	150
695	21036	403	120
696	21036	404	100
697	21036	501	300
698	21036	502	150
699	21036	503	120
700	21036	504	100
701	21036	601	300
702	21036	602	150
703	21036	603	120
704	21036	604	100
705	21036	701	300
706	21036	702	150
707	21036	703	120
708	21036	704	100
709	21036	801	300
710	21036	802	150
711	21036	803	120
712	21036	804	100
713	21036	901	300
714	21036	902	150
715	21036	903	120
716	21036	904	100
717	21036	1001	300
718	21036	1002	150
719	21036	1003	120
720	21036	1004	100
721	21036	1101	300
722	21036	1102	150
723	21036	1103	120
724	21036	1104	100
725	21036	1201	300
726	21036	1202	150
727	21036	1203	120
728	21036	1204	100
729	21036	2001	20
730	21036	2002	20
731	21037	101	300
732	21037	102	150
733	21037	103	120
734	21037	104	100
735	21037	201	300
736	21037	202	150
737	21037	203	120
738	21037	204	100
739	21037	301	300
740	21037	302	150
741	21037	303	120
742	21037	304	100
743	21037	401	300
744	21037	402	150
745	21037	403	120
746	21037	404	100
747	21037	501	300
748	21037	502	150
749	21037	503	120
750	21037	504	100
751	21037	601	300
752	21037	602	150
753	21037	603	120
754	21037	604	100
755	21037	701	300
756	21037	702	150
757	21037	703	120
758	21037	704	100
759	21037	801	300
760	21037	802	150
761	21037	803	120
762	21037	804	100
763	21037	901	300
764	21037	902	150
765	21037	903	120
766	21037	904	100
767	21037	1001	300
768	21037	1002	150
769	21037	1003	120
770	21037	1004	100
771	21037	1101	300
772	21037	1102	150
773	21037	1103	120
774	21037	1104	100
775	21037	1201	300
776	21037	1202	150
777	21037	1203	120
778	21037	1204	100
779	21037	2101	20
780	21037	2102	20
781	21038	101	300
782	21038	102	150
783	21038	103	120
784	21038	104	100
785	21038	201	300
786	21038	202	150
787	21038	203	120
788	21038	204	100
789	21038	301	300
790	21038	302	150
791	21038	303	120
792	21038	304	100
793	21038	401	300
794	21038	402	150
795	21038	403	120
796	21038	404	100
797	21038	501	300
798	21038	502	150
799	21038	503	120
800	21038	504	100
801	21038	601	300
802	21038	602	150
803	21038	603	120
804	21038	604	100
805	21038	701	300
806	21038	702	150
807	21038	703	120
808	21038	704	100
809	21038	801	300
810	21038	802	150
811	21038	803	120
812	21038	804	100
813	21038	901	300
814	21038	902	150
815	21038	903	120
816	21038	904	100
817	21038	1001	300
818	21038	1002	150
819	21038	1003	120
820	21038	1004	100
821	21038	1101	300
822	21038	1102	150
823	21038	1103	120
824	21038	1104	100
825	21038	1201	300
826	21038	1202	150
827	21038	1203	120
828	21038	1204	100
829	21038	2201	20
830	21038	2202	20
831	21039	101	300
832	21039	102	150
833	21039	103	120
834	21039	104	100
835	21039	201	300
836	21039	202	150
837	21039	203	120
838	21039	204	100
839	21039	301	300
840	21039	302	150
841	21039	303	120
842	21039	304	100
843	21039	401	300
844	21039	402	150
845	21039	403	120
846	21039	404	100
847	21039	501	300
848	21039	502	150
849	21039	503	120
850	21039	504	100
851	21039	601	300
852	21039	602	150
853	21039	603	120
854	21039	604	100
855	21039	701	300
856	21039	702	150
857	21039	703	120
858	21039	704	100
859	21039	801	300
860	21039	802	150
861	21039	803	120
862	21039	804	100
863	21039	901	300
864	21039	902	150
865	21039	903	120
866	21039	904	100
867	21039	1001	300
868	21039	1002	150
869	21039	1003	120
870	21039	1004	100
871	21039	1101	300
872	21039	1102	150
873	21039	1103	120
874	21039	1104	100
875	21039	1201	300
876	21039	1202	150
877	21039	1203	120
878	21039	1204	100
879	21039	2301	20
880	21039	2302	20
881	21041	101	240
882	21041	102	170
883	21041	103	140
884	21041	104	120
885	21041	201	240
886	21041	202	170
887	21041	203	140
888	21041	204	120
889	21041	301	240
890	21041	302	170
891	21041	303	140
892	21041	304	120
893	21041	401	240
894	21041	402	170
895	21041	403	140
896	21041	404	120
897	21041	501	240
898	21041	502	170
899	21041	503	140
900	21041	504	120
901	21041	601	240
902	21041	602	170
903	21041	603	140
904	21041	604	120
905	21041	701	240
906	21041	702	170
907	21041	703	140
908	21041	704	120
909	21041	801	240
910	21041	802	170
911	21041	803	140
912	21041	804	120
913	21041	901	240
914	21041	902	170
915	21041	903	140
916	21041	904	120
917	21041	1001	240
918	21041	1002	170
919	21041	1003	140
920	21041	1004	120
921	21041	1101	240
922	21041	1102	170
923	21041	1103	140
924	21041	1104	120
925	21041	1201	240
926	21041	1202	170
927	21041	1203	140
928	21041	1204	120
929	21042	101	240
930	21042	102	170
931	21042	103	140
932	21042	104	120
933	21042	201	240
934	21042	202	170
935	21042	203	140
936	21042	204	120
937	21042	301	240
938	21042	302	170
939	21042	303	140
940	21042	304	120
941	21042	401	240
942	21042	402	170
943	21042	403	140
944	21042	404	120
945	21042	501	240
946	21042	502	170
947	21042	503	140
948	21042	504	120
949	21042	601	240
950	21042	602	170
951	21042	603	140
952	21042	604	120
953	21042	701	240
954	21042	702	170
955	21042	703	140
956	21042	704	120
957	21042	801	240
958	21042	802	170
959	21042	803	140
960	21042	804	120
961	21042	901	240
962	21042	902	170
963	21042	903	140
964	21042	904	120
965	21042	1001	240
966	21042	1002	170
967	21042	1003	140
968	21042	1004	120
969	21042	1101	240
970	21042	1102	170
971	21042	1103	140
972	21042	1104	120
973	21042	1201	240
974	21042	1202	170
975	21042	1203	140
976	21042	1204	120
977	21042	1601	80
978	21042	1602	80
979	21043	101	240
980	21043	102	170
981	21043	103	140
982	21043	104	120
983	21043	201	240
984	21043	202	170
985	21043	203	140
986	21043	204	120
987	21043	301	240
988	21043	302	170
989	21043	303	140
990	21043	304	120
991	21043	401	240
992	21043	402	170
993	21043	403	140
994	21043	404	120
995	21043	501	240
996	21043	502	170
997	21043	503	140
998	21043	504	120
999	21043	601	240
1000	21043	602	170
1001	21043	603	140
1002	21043	604	120
1003	21043	701	240
1004	21043	702	170
1005	21043	703	140
1006	21043	704	120
1007	21043	801	240
1008	21043	802	170
1009	21043	803	140
1010	21043	804	120
1011	21043	901	240
1012	21043	902	170
1013	21043	903	140
1014	21043	904	120
1015	21043	1001	240
1016	21043	1002	170
1017	21043	1003	140
1018	21043	1004	120
1019	21043	1101	240
1020	21043	1102	170
1021	21043	1103	140
1022	21043	1104	120
1023	21043	1201	240
1024	21043	1202	170
1025	21043	1203	140
1026	21043	1204	120
1027	21043	1701	80
1028	21043	1702	80
1029	21044	101	240
1030	21044	102	170
1031	21044	103	140
1032	21044	104	120
1033	21044	201	240
1034	21044	202	170
1035	21044	203	140
1036	21044	204	120
1037	21044	301	240
1038	21044	302	170
1039	21044	303	140
1040	21044	304	120
1041	21044	401	240
1042	21044	402	170
1043	21044	403	140
1044	21044	404	120
1045	21044	501	240
1046	21044	502	170
1047	21044	503	140
1048	21044	504	120
1049	21044	601	240
1050	21044	602	170
1051	21044	603	140
1052	21044	604	120
1053	21044	701	240
1054	21044	702	170
1055	21044	703	140
1056	21044	704	120
1057	21044	801	240
1058	21044	802	170
1059	21044	803	140
1060	21044	804	120
1061	21044	901	240
1062	21044	902	170
1063	21044	903	140
1064	21044	904	120
1065	21044	1001	240
1066	21044	1002	170
1067	21044	1003	140
1068	21044	1004	120
1069	21044	1101	240
1070	21044	1102	170
1071	21044	1103	140
1072	21044	1104	120
1073	21044	1201	240
1074	21044	1202	170
1075	21044	1203	140
1076	21044	1204	120
1077	21044	1801	80
1078	21044	1802	80
1079	21045	101	240
1080	21045	102	170
1081	21045	103	140
1082	21045	104	120
1083	21045	201	240
1084	21045	202	170
1085	21045	203	140
1086	21045	204	120
1087	21045	301	240
1088	21045	302	170
1089	21045	303	140
1090	21045	304	120
1091	21045	401	240
1092	21045	402	170
1093	21045	403	140
1094	21045	404	120
1095	21045	501	240
1096	21045	502	170
1097	21045	503	140
1098	21045	504	120
1099	21045	601	240
1100	21045	602	170
1101	21045	603	140
1102	21045	604	120
1103	21045	701	240
1104	21045	702	170
1105	21045	703	140
1106	21045	704	120
1107	21045	801	240
1108	21045	802	170
1109	21045	803	140
1110	21045	804	120
1111	21045	901	240
1112	21045	902	170
1113	21045	903	140
1114	21045	904	120
1115	21045	1001	240
1116	21045	1002	170
1117	21045	1003	140
1118	21045	1004	120
1119	21045	1101	240
1120	21045	1102	170
1121	21045	1103	140
1122	21045	1104	120
1123	21045	1201	240
1124	21045	1202	170
1125	21045	1203	140
1126	21045	1204	120
1127	21045	1901	80
1128	21045	1902	80
1129	21046	101	240
1130	21046	102	170
1131	21046	103	140
1132	21046	104	120
1133	21046	201	240
1134	21046	202	170
1135	21046	203	140
1136	21046	204	120
1137	21046	301	240
1138	21046	302	170
1139	21046	303	140
1140	21046	304	120
1141	21046	401	240
1142	21046	402	170
1143	21046	403	140
1144	21046	404	120
1145	21046	501	240
1146	21046	502	170
1147	21046	503	140
1148	21046	504	120
1149	21046	601	240
1150	21046	602	170
1151	21046	603	140
1152	21046	604	120
1153	21046	701	240
1154	21046	702	170
1155	21046	703	140
1156	21046	704	120
1157	21046	801	240
1158	21046	802	170
1159	21046	803	140
1160	21046	804	120
1161	21046	901	240
1162	21046	902	170
1163	21046	903	140
1164	21046	904	120
1165	21046	1001	240
1166	21046	1002	170
1167	21046	1003	140
1168	21046	1004	120
1169	21046	1101	240
1170	21046	1102	170
1171	21046	1103	140
1172	21046	1104	120
1173	21046	1201	240
1174	21046	1202	170
1175	21046	1203	140
1176	21046	1204	120
1177	21046	2001	80
1178	21046	2002	80
1179	21047	101	240
1180	21047	102	170
1181	21047	103	140
1182	21047	104	120
1183	21047	201	240
1184	21047	202	170
1185	21047	203	140
1186	21047	204	120
1187	21047	301	240
1188	21047	302	170
1189	21047	303	140
1190	21047	304	120
1191	21047	401	240
1192	21047	402	170
1193	21047	403	140
1194	21047	404	120
1195	21047	501	240
1196	21047	502	170
1197	21047	503	140
1198	21047	504	120
1199	21047	601	240
1200	21047	602	170
1201	21047	603	140
1202	21047	604	120
1203	21047	701	240
1204	21047	702	170
1205	21047	703	140
1206	21047	704	120
1207	21047	801	240
1208	21047	802	170
1209	21047	803	140
1210	21047	804	120
1211	21047	901	240
1212	21047	902	170
1213	21047	903	140
1214	21047	904	120
1215	21047	1001	240
1216	21047	1002	170
1217	21047	1003	140
1218	21047	1004	120
1219	21047	1101	240
1220	21047	1102	170
1221	21047	1103	140
1222	21047	1104	120
1223	21047	1201	240
1224	21047	1202	170
1225	21047	1203	140
1226	21047	1204	120
1227	21047	2101	80
1228	21047	2102	80
1229	21048	101	240
1230	21048	102	170
1231	21048	103	140
1232	21048	104	120
1233	21048	201	240
1234	21048	202	170
1235	21048	203	140
1236	21048	204	120
1237	21048	301	240
1238	21048	302	170
1239	21048	303	140
1240	21048	304	120
1241	21048	401	240
1242	21048	402	170
1243	21048	403	140
1244	21048	404	120
1245	21048	501	240
1246	21048	502	170
1247	21048	503	140
1248	21048	504	120
1249	21048	601	240
1250	21048	602	170
1251	21048	603	140
1252	21048	604	120
1253	21048	701	240
1254	21048	702	170
1255	21048	703	140
1256	21048	704	120
1257	21048	801	240
1258	21048	802	170
1259	21048	803	140
1260	21048	804	120
1261	21048	901	240
1262	21048	902	170
1263	21048	903	140
1264	21048	904	120
1265	21048	1001	240
1266	21048	1002	170
1267	21048	1003	140
1268	21048	1004	120
1269	21048	1101	240
1270	21048	1102	170
1271	21048	1103	140
1272	21048	1104	120
1273	21048	1201	240
1274	21048	1202	170
1275	21048	1203	140
1276	21048	1204	120
1277	21048	2201	80
1278	21048	2202	80
1279	21049	101	240
1280	21049	102	170
1281	21049	103	140
1282	21049	104	120
1283	21049	201	240
1284	21049	202	170
1285	21049	203	140
1286	21049	204	120
1287	21049	301	240
1288	21049	302	170
1289	21049	303	140
1290	21049	304	120
1291	21049	401	240
1292	21049	402	170
1293	21049	403	140
1294	21049	404	120
1295	21049	501	240
1296	21049	502	170
1297	21049	503	140
1298	21049	504	120
1299	21049	601	240
1300	21049	602	170
1301	21049	603	140
1302	21049	604	120
1303	21049	701	240
1304	21049	702	170
1305	21049	703	140
1306	21049	704	120
1307	21049	801	240
1308	21049	802	170
1309	21049	803	140
1310	21049	804	120
1311	21049	901	240
1312	21049	902	170
1313	21049	903	140
1314	21049	904	120
1315	21049	1001	240
1316	21049	1002	170
1317	21049	1003	140
1318	21049	1004	120
1319	21049	1101	240
1320	21049	1102	170
1321	21049	1103	140
1322	21049	1104	120
1323	21049	1201	240
1324	21049	1202	170
1325	21049	1203	140
1326	21049	1204	120
1327	21049	2301	80
1328	21049	2302	80
1329	110112	101	660
1330	110112	102	10
1331	110112	201	660
1332	110112	202	10
1333	110112	301	660
1334	110112	302	10
1335	110112	401	660
1336	110112	402	10
1337	110112	501	660
1338	110112	502	10
1339	110112	601	660
1340	110112	602	10
1341	110112	701	660
1342	110112	702	10
1343	110112	801	660
1344	110112	802	10
1345	110112	901	660
1346	110112	902	10
1347	110112	1001	660
1348	110112	1002	10
1349	110112	1101	660
1350	110112	1102	10
1351	110112	1201	660
1352	110112	1202	10
1353	110112	1401	660
1354	110112	1402	10
1355	110212	101	600
1356	110212	102	60
1357	110212	103	10
1358	110212	201	600
1359	110212	202	60
1360	110212	203	10
1361	110212	301	600
1362	110212	302	60
1363	110212	303	10
1364	110212	401	600
1365	110212	402	60
1366	110212	403	10
1367	110212	501	600
1368	110212	502	60
1369	110212	503	10
1370	110212	601	600
1371	110212	602	60
1372	110212	603	10
1373	110212	701	600
1374	110212	702	60
1375	110212	703	10
1376	110212	801	600
1377	110212	802	60
1378	110212	803	10
1379	110212	901	600
1380	110212	902	60
1381	110212	903	10
1382	110212	1001	600
1383	110212	1002	60
1384	110212	1003	10
1385	110212	1101	600
1386	110212	1102	60
1387	110212	1103	10
1388	110212	1201	600
1389	110212	1202	60
1390	110212	1203	10
1391	110212	1401	600
1392	110212	1402	60
1393	110212	1403	10
1394	110312	101	580
1395	110312	102	50
1396	110312	103	30
1397	110312	104	10
1398	110312	201	580
1399	110312	202	50
1400	110312	203	30
1401	110312	204	10
1402	110312	301	580
1403	110312	302	50
1404	110312	303	30
1405	110312	304	10
1406	110312	401	580
1407	110312	402	50
1408	110312	403	30
1409	110312	404	10
1410	110312	501	580
1411	110312	502	50
1412	110312	503	30
1413	110312	504	10
1414	110312	601	580
1415	110312	602	50
1416	110312	603	30
1417	110312	604	10
1418	110312	701	580
1419	110312	702	50
1420	110312	703	30
1421	110312	704	10
1422	110312	801	580
1423	110312	802	50
1424	110312	803	30
1425	110312	804	10
1426	110312	901	580
1427	110312	902	50
1428	110312	903	30
1429	110312	904	10
1430	110312	1001	580
1431	110312	1002	50
1432	110312	1003	30
1433	110312	1004	10
1434	110312	1101	580
1435	110312	1102	50
1436	110312	1103	30
1437	110312	1104	10
1438	110312	1201	580
1439	110312	1202	50
1440	110312	1203	30
1441	110312	1204	10
1442	110312	1401	580
1443	110312	1402	50
1444	110312	1403	30
1445	110312	1404	10
1446	110412	101	300
1447	110412	102	150
1448	110412	103	120
1449	110412	104	100
1450	110412	201	300
1451	110412	202	150
1452	110412	203	120
1453	110412	204	100
1454	110412	301	300
