流水ID	共鸣ID	等级	道具品质	基础属性加成	百分比加成属性id	共鸣百分比加成语言说明	共鸣百分比加成语言	推荐标识	共鸣名称	共鸣icon	六维1万分比	六维2万分比	六维3万分比	六维4万分比	六维5万分比	六维6万分比	共鸣六维百分比加成	共鸣六维百分比加成	共鸣激活buff效果	buff加成战力
30	1001003	10	3,1;4,1	3,85				1	ResonanceName1001003	SoulMedalResonance_003	0	6000	0	6000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
31	1001004	1	2,1;3,2	3,30	3,2000;23,2000;25,2000;21,2000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	2500	0	2500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
32	1001004	2	2,1;3,2	3,35	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	2600	0	2600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
33	1001004	3	2,1;3,2	3,40	3,2200;23,2200;25,2200;21,2200	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
34	1001004	4	2,1;3,2	3,45	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	2900	0	2900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
35	1001004	5	2,1;3,2	3,50	3,2400;23,2400;25,2400;21,2400	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
36	1001004	6	2,1;3,2	3,55	3,2600;23,2600;25,2600;21,2600	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	3200	0	3200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
37	1001004	7	2,1;3,2	3,60	3,2800;23,2800;25,2800;21,2800	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	3700	0	3700	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
38	1001004	8	2,1;3,2	3,65	3,3000;23,3000;25,3000;21,3000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	4400	0	4400	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
39	1001004	9	2,1;3,2	3,70	3,3400;23,3400;25,3400;21,3400	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	5100	0	5100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
40	1001004	10	2,1;3,2	3,75	3,4000;23,4000;25,4000;21,4000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	6100	0	6100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
41	1001005	1	3,3	3,35	3,2000;23,2000;25,2000;21,2000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	2600	0	2600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
42	1001005	2	3,3	3,40	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	2700	0	2700	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
43	1001005	3	3,3	3,45	3,2200;23,2200;25,2200;21,2200	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	2900	0	2900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
44	1001005	4	3,3	3,50	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
45	1001005	5	3,3	3,55	3,2400;23,2400;25,2400;21,2400	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	3100	0	3100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
46	1001005	6	3,3	3,60	3,2600;23,2600;25,2600;21,2600	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
47	1001005	7	3,3	3,65	3,2800;23,2800;25,2800;21,2800	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	3800	0	3800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
48	1001005	8	3,3	3,70	3,3000;23,3000;25,3000;21,3000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
49	1001005	9	3,3	3,75	3,3400;23,3400;25,3400;21,3400	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	5200	0	5200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
50	1001005	10	3,3	3,80	3,4000;23,4000;25,4000;21,4000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001005	SoulMedalResonance_005	0	6200	0	6200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
51	1001006	1	3,2;4,1	3,40	3,2000;23,2000;25,2000;21,2000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	2600	0	2600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
52	1001006	2	3,2;4,1	3,45	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
53	1001006	3	3,2;4,1	3,50	3,2200;23,2200;25,2200;21,2200	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
54	1001006	4	3,2;4,1	3,55	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
55	1001006	5	3,2;4,1	3,60	3,2400;23,2400;25,2400;21,2400	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	3600	0	3600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
56	1001006	6	3,2;4,1	3,65	3,2600;23,2600;25,2600;21,2600	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	3900	0	3900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
57	1001006	7	3,2;4,1	3,70	3,2800;23,2800;25,2800;21,2800	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	4200	0	4200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
58	1001006	8	3,2;4,1	3,75	3,3000;23,3000;25,3000;21,3000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
59	1001006	9	3,2;4,1	3,80	3,3400;23,3400;25,3400;21,3400	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	5200	0	5200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
60	1001006	10	3,2;4,1	3,85	3,4000;23,4000;25,4000;21,4000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	6300	0	6300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
61	1001007	1	3,1;4,2	3,60	3,2000;23,2000;25,2000;21,2000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
62	1001007	2	3,1;4,2	3,65	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
63	1001007	3	3,1;4,2	3,70	3,2200;23,2200;25,2200;21,2200	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
64	1001007	4	3,1;4,2	3,75	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	3600	0	3600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
65	1001007	5	3,1;4,2	3,80	3,2400;23,2400;25,2400;21,2400	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	3900	0	3900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
66	1001007	6	3,1;4,2	3,90	3,2600;23,2600;25,2600;21,2600	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	4200	0	4200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
67	1001007	7	3,1;4,2	3,100	3,2800;23,2800;25,2800;21,2800	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
68	1001007	8	3,1;4,2	3,110	3,3000;23,3000;25,3000;21,3000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	5200	0	5200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
69	1001007	9	3,1;4,2	3,120	3,3400;23,3400;25,3400;21,3400	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	5900	0	5900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
70	1001007	10	3,1;4,2	3,130	3,4000;23,4000;25,4000;21,4000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001007	SoulMedalResonance_007	0	6500	0	6500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
71	1001008	1	2,1;3,3	3,30	3,2000;23,2000;25,2000;21,2000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
72	1001008	2	2,1;3,3	3,35	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
73	1001008	3	2,1;3,3	3,40	3,2200;23,2200;25,2200;21,2200	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
74	1001008	4	2,1;3,3	3,45	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	3600	0	3600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
75	1001008	5	2,1;3,3	3,50	3,2400;23,2400;25,2400;21,2400	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	3900	0	3900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
76	1001008	6	2,1;3,3	3,55	3,2600;23,2600;25,2600;21,2600	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	4200	0	4200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
77	1001008	7	2,1;3,3	3,60	3,2800;23,2800;25,2800;21,2800	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
78	1001008	8	2,1;3,3	3,65	3,3000;23,3000;25,3000;21,3000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	5200	0	5200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
79	1001008	9	2,1;3,3	3,70	3,3400;23,3400;25,3400;21,3400	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	5900	0	5900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
80	1001008	10	2,1;3,3	3,75	3,4000;23,4000;25,4000;21,4000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001008	SoulMedalResonance_008	0	6500	0	6500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
81	1001009	1	3,3;4,1	3,40	3,2000;23,2000;25,2000;21,2000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
82	1001009	2	3,3;4,1	3,45	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
83	1001009	3	3,3;4,1	3,50	3,2200;23,2200;25,2200;21,2200	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
84	1001009	4	3,3;4,1	3,55	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	3600	0	3600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
85	1001009	5	3,3;4,1	3,60	3,2400;23,2400;25,2400;21,2400	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	3900	0	3900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
86	1001009	6	3,3;4,1	3,65	3,2600;23,2600;25,2600;21,2600	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	4200	0	4200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
87	1001009	7	3,3;4,1	3,70	3,2800;23,2800;25,2800;21,2800	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
88	1001009	8	3,3;4,1	3,75	3,3000;23,3000;25,3000;21,3000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	5200	0	5200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
89	1001009	9	3,3;4,1	3,80	3,3400;23,3400;25,3400;21,3400	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	5900	0	5900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
90	1001009	10	3,3;4,1	3,85	3,4000;23,4000;25,4000;21,4000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001009	SoulMedalResonance_009	0	6500	0	6500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
91	1001010	1	3,2;4,2	3,70	3,2000;23,2000;25,2000;21,2000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
92	1001010	2	3,2;4,2	3,75	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
93	1001010	3	3,2;4,2	3,80	3,2200;23,2200;25,2200;21,2200	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
94	1001010	4	3,2;4,2	3,85	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	3600	0	3600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
95	1001010	5	3,2;4,2	3,90	3,2400;23,2400;25,2400;21,2400	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	3900	0	3900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
96	1001010	6	3,2;4,2	3,100	3,2600;23,2600;25,2600;21,2600	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	4200	0	4200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
97	1001010	7	3,2;4,2	3,110	3,2800;23,2800;25,2800;21,2800	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
98	1001010	8	3,2;4,2	3,120	3,3000;23,3000;25,3000;21,3000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	5200	0	5200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
99	1001010	9	3,2;4,2	3,130	3,3400;23,3400;25,3400;21,3400	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	5900	0	5900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
100	1001010	10	3,2;4,2	3,140	3,4000;23,4000;25,4000;21,4000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001010	SoulMedalResonance_010	0	6500	0	6500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
101	1001011	1	3,1;4,3	3,90	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
