流水	活动ID	奖励序号	累计次数	奖励	领取描述
217	6322	8	400	item91000001192,20	UI_Active_Common_Desc_6305
218	6322	9	750	item91000001191,1	UI_Active_Common_Desc_6305
219	6322	10	1000	item91000001192,40	UI_Active_Common_Desc_6305
220	6322	11	1300	item91000001191,1	UI_Active_Common_Desc_6305
221	6322	12	1800	item91000001191,1	UI_Active_Common_Desc_6305
222	6322	13	2250	item91000001191,1	UI_Active_Common_Desc_6305
223	6323	1	5	item91000001219,2	UI_Active_Common_Desc_6305
224	6323	2	10	item91000001221,1	UI_Active_Common_Desc_6305
225	6323	3	20	item91000001219,4	UI_Active_Common_Desc_6305
226	6323	4	35	item91000001222,10	UI_Active_Common_Desc_6305
227	6323	5	60	item91000001221,1	UI_Active_Common_Desc_6305
228	6323	6	110	item91000001222,15	UI_Active_Common_Desc_6305
229	6323	7	200	item91000001221,1	UI_Active_Common_Desc_6305
230	6323	8	400	item91000001222,20	UI_Active_Common_Desc_6305
231	6323	9	750	item91000001221,1	UI_Active_Common_Desc_6305
232	6323	10	1000	item91000001220,1	UI_Active_Common_Desc_6305
233	6323	11	1300	item91000001221,1	UI_Active_Common_Desc_6305
234	6323	12	1800	item91000001221,1	UI_Active_Common_Desc_6305
235	6323	13	2250	item91000001221,1	UI_Active_Common_Desc_6305
236	6324	1	5	item91000001236,2	UI_Active_Common_Desc_6305
237	6324	2	10	item91000001238,1	UI_Active_Common_Desc_6305
238	6324	3	20	item91000001236,4	UI_Active_Common_Desc_6305
239	6324	4	35	item91000001239,10	UI_Active_Common_Desc_6305
240	6324	5	60	item91000001238,1	UI_Active_Common_Desc_6305
241	6324	6	110	item91000001239,15	UI_Active_Common_Desc_6305
242	6324	7	160	item91000001238,1	UI_Active_Common_Desc_6305
243	6324	8	200	item130000040703,1	UI_Active_Common_Desc_6305
244	6324	9	350	item91000001239,20	UI_Active_Common_Desc_6305
245	6324	10	600	item91000001238,1	UI_Active_Common_Desc_6305
246	6324	11	800	item91000001239,40	UI_Active_Common_Desc_6305
247	6324	12	1000	item91000001237,1	UI_Active_Common_Desc_6305
248	6324	13	1400	item91000001238,1	UI_Active_Common_Desc_6305
249	6324	14	1800	item91000001238,1	UI_Active_Common_Desc_6305
250	6324	15	2300	item91000001238,1	UI_Active_Common_Desc_6305
251	6325	1	5	item91000001259,2	UI_Active_Common_Desc_6305
252	6325	2	10	item91000001261,1	UI_Active_Common_Desc_6305
253	6325	3	20	item91000001259,4	UI_Active_Common_Desc_6305
254	6325	4	35	item91000001262,10	UI_Active_Common_Desc_6305
255	6325	5	60	item91000001261,1	UI_Active_Common_Desc_6305
256	6325	6	110	item91000001262,15	UI_Active_Common_Desc_6305
257	6325	7	200	item91000001261,1	UI_Active_Common_Desc_6305
258	6325	8	400	item91000001262,20	UI_Active_Common_Desc_6305
259	6325	9	750	item91000001261,1	UI_Active_Common_Desc_6305
260	6325	10	1000	item91000001260,1	UI_Active_Common_Desc_6305
261	6325	11	1300	item91000001261,1	UI_Active_Common_Desc_6305
262	6325	12	1800	item91000001261,1	UI_Active_Common_Desc_6305
263	6325	13	2250	item91000001261,1	UI_Active_Common_Desc_6305
264	6326	1	5	item91000001295,2	UI_Active_Common_Desc_6305
265	6326	2	10	item91000001297,1	UI_Active_Common_Desc_6305
266	6326	3	20	item91000001295,4	UI_Active_Common_Desc_6305
267	6326	4	35	item91000001298,10	UI_Active_Common_Desc_6305
268	6326	5	60	item91000001297,1	UI_Active_Common_Desc_6305
269	6326	6	110	item91000001298,15	UI_Active_Common_Desc_6305
270	6326	7	200	item91000001297,1	UI_Active_Common_Desc_6305
271	6326	8	400	item91000001298,20	UI_Active_Common_Desc_6305
272	6326	9	750	item91000001297,1	UI_Active_Common_Desc_6305
273	6326	10	1000	item91000001296,1	UI_Active_Common_Desc_6305
274	6326	11	1300	item91000001297,1	UI_Active_Common_Desc_6305
275	6326	12	1800	item91000001297,1	UI_Active_Common_Desc_6305
276	6326	13	2250	item91000001297,1	UI_Active_Common_Desc_6305
277	6327	1	5	item91000001381,2	UI_Active_Common_Desc_6305
278	6327	2	10	item91000001383,1	UI_Active_Common_Desc_6305
279	6327	3	20	item91000001381,4	UI_Active_Common_Desc_6305
280	6327	4	35	item91000001384,10	UI_Active_Common_Desc_6305
281	6327	5	60	item91000001383,1	UI_Active_Common_Desc_6305
282	6327	6	110	item91000001384,15	UI_Active_Common_Desc_6305
283	6327	7	160	item91000001383,1	UI_Active_Common_Desc_6305
284	6327	8	350	item91000001384,20	UI_Active_Common_Desc_6305
285	6327	9	600	item91000001383,1	UI_Active_Common_Desc_6305
286	6327	10	800	item91000001384,40	UI_Active_Common_Desc_6305
287	6327	11	1000	item91000001382,1	UI_Active_Common_Desc_6305
288	6327	12	1400	item91000001383,1	UI_Active_Common_Desc_6305
289	6327	13	1800	item91000001383,1	UI_Active_Common_Desc_6305
290	6327	14	2300	item91000001383,1	UI_Active_Common_Desc_6305
291	6328	1	1	item91000001465,1	UI_Active_Common_Desc_6305
292	6328	2	8	item1002,100	UI_Active_Common_Desc_6305
293	6328	3	18	item91000001462,1	UI_Active_Common_Desc_6305
294	6328	4	35	item1002,500	UI_Active_Common_Desc_6305
295	6328	5	60	item91000001463,25	UI_Active_Common_Desc_6305
296	6328	6	95	item91000001462,1	UI_Active_Common_Desc_6305
297	6328	7	140	item91000001463,35	UI_Active_Common_Desc_6305
298	6328	8	200	item91000001462,1	UI_Active_Common_Desc_6305
299	6328	9	260	item91000001463,45	UI_Active_Common_Desc_6305
300	6328	10	400	item91000001462,1	UI_Active_Common_Desc_6305
301	6328	11	850	item91000001462,1	UI_Active_Common_Desc_6305
302	6328	12	1000	item91000001462,2	UI_Active_Common_Desc_6305
303	6328	13	1500	item91000001462,2	UI_Active_Common_Desc_6305
304	6328	14	2200	item91000001461,1	UI_Active_Common_Desc_6305
305	6329	1	1	item91000001533,1	UI_Active_Common_Desc_6305
306	6329	2	8	item1002,100	UI_Active_Common_Desc_6305
307	6329	3	18	item91000001530,1	UI_Active_Common_Desc_6305
308	6329	4	35	item1002,500	UI_Active_Common_Desc_6305
309	6329	5	60	item91000001531,25	UI_Active_Common_Desc_6305
310	6329	6	95	item91000001530,1	UI_Active_Common_Desc_6305
311	6329	7	140	item91000001531,35	UI_Active_Common_Desc_6305
312	6329	8	200	item91000001530,1	UI_Active_Common_Desc_6305
313	6329	9	260	item91000001531,45	UI_Active_Common_Desc_6305
314	6329	10	400	item91000001530,1	UI_Active_Common_Desc_6305
315	6329	11	850	item91000001530,1	UI_Active_Common_Desc_6305
316	6329	12	1000	item91000001530,2	UI_Active_Common_Desc_6305
317	6329	13	1500	item91000001530,2	UI_Active_Common_Desc_6305
318	6329	14	2200	item91000001529,1	UI_Active_Common_Desc_6305
319	6330	1	8	item1002,100	UI_Active_Common_Desc_6305
320	6330	2	18	item91000001570,1	UI_Active_Common_Desc_6305
321	6330	3	35	item1002,500	UI_Active_Common_Desc_6305
322	6330	4	60	item91000001569,25	UI_Active_Common_Desc_6305
323	6330	5	95	item91000001570,1	UI_Active_Common_Desc_6305
324	6330	6	140	item91000001569,35	UI_Active_Common_Desc_6305
325	6330	7	200	item91000001570,1	UI_Active_Common_Desc_6305
326	6330	8	260	item91000001569,45	UI_Active_Common_Desc_6305
327	6330	9	400	item91000001570,1	UI_Active_Common_Desc_6305
328	6330	10	850	item91000001570,1	UI_Active_Common_Desc_6305
329	6330	11	1000	item91000001570,1	UI_Active_Common_Desc_6305
330	6330	12	1500	item91000001570,1	UI_Active_Common_Desc_6305
331	6330	13	2200	item91000001567,1	UI_Active_Common_Desc_6305
332	6330	14	3000	item91000001570,1	UI_Active_Common_Desc_6305
333	6330	15	5000	item91000001570,2	UI_Active_Common_Desc_6305
334	6330	16	7000	item91000001570,2	UI_Active_Common_Desc_6305
335	6330	17	9000	item91000001570,2	UI_Active_Common_Desc_6305
336	6330	18	11000	item91000001570,2	UI_Active_Common_Desc_6305
337	6331	1	1	item91000001610,1	UI_Active_Common_Desc_6305
338	6331	2	8	item1002,100	UI_Active_Common_Desc_6305
339	6331	3	18	item91000001607,1	UI_Active_Common_Desc_6305
340	6331	4	35	item1002,500	UI_Active_Common_Desc_6305
341	6331	5	60	item91000001608,25	UI_Active_Common_Desc_6305
342	6331	6	95	item91000001607,1	UI_Active_Common_Desc_6305
343	6331	7	140	item91000001608,35	UI_Active_Common_Desc_6305
344	6331	8	200	item91000001607,1	UI_Active_Common_Desc_6305
345	6331	9	260	item91000001608,45	UI_Active_Common_Desc_6305
346	6331	10	400	item91000001607,1	UI_Active_Common_Desc_6305
347	6331	11	850	item91000001607,1	UI_Active_Common_Desc_6305
348	6331	12	1000	item91000001607,2	UI_Active_Common_Desc_6305
349	6331	13	1500	item91000001607,2	UI_Active_Common_Desc_6305
350	6331	14	2200	item91000001606,1	UI_Active_Common_Desc_6305
351	6332	1	1	item91000001641,1	UI_Active_Common_Desc_6305
352	6332	2	8	item1002,100	UI_Active_Common_Desc_6305
353	6332	3	18	item91000001638,1	UI_Active_Common_Desc_6305
354	6332	4	35	item1002,500	UI_Active_Common_Desc_6305
355	6332	5	60	item91000001639,25	UI_Active_Common_Desc_6305
356	6332	6	95	item91000001638,1	UI_Active_Common_Desc_6305
357	6332	7	140	item91000001639,35	UI_Active_Common_Desc_6305
358	6332	8	200	item91000001638,1	UI_Active_Common_Desc_6305
359	6332	9	260	item91000001639,45	UI_Active_Common_Desc_6305
360	6332	10	400	item91000001638,1	UI_Active_Common_Desc_6305
361	6332	11	850	item91000001638,1	UI_Active_Common_Desc_6305
362	6332	12	1000	item91000001638,2	UI_Active_Common_Desc_6305
363	6332	13	1500	item91000001638,2	UI_Active_Common_Desc_6305
364	6332	14	2200	item91000001637,1	UI_Active_Common_Desc_6305
365	6333	1	1	item1002,50	UI_Active_Common_Desc_6305
366	6333	2	8	item1002,100	UI_Active_Common_Desc_6305
367	6333	3	18	item91000001666,1	UI_Active_Common_Desc_6305
368	6333	4	35	item1002,500	UI_Active_Common_Desc_6305
369	6333	5	60	item91000001667,25	UI_Active_Common_Desc_6305
370	6333	6	95	item91000001666,1	UI_Active_Common_Desc_6305
371	6333	7	140	item91000001667,35	UI_Active_Common_Desc_6305
372	6333	8	200	item91000001666,1	UI_Active_Common_Desc_6305
373	6333	9	260	item91000001667,45	UI_Active_Common_Desc_6305
374	6333	10	400	item91000001666,1	UI_Active_Common_Desc_6305
375	6333	11	850	item91000001666,1	UI_Active_Common_Desc_6305
376	6333	12	1000	item91000001666,2	UI_Active_Common_Desc_6305
377	6333	13	1500	item91000001666,2	UI_Active_Common_Desc_6305
378	6333	14	2200	item91000001665,1	UI_Active_Common_Desc_6305
379	6334	1	1	item91000001691,1	UI_Active_Common_Desc_6305
380	6334	2	8	item1002,100	UI_Active_Common_Desc_6305
381	6334	3	18	item91000001688,1	UI_Active_Common_Desc_6305
382	6334	4	35	item1002,500	UI_Active_Common_Desc_6305
383	6334	5	60	item91000001689,25	UI_Active_Common_Desc_6305
384	6334	6	95	item91000001688,1	UI_Active_Common_Desc_6305
385	6334	7	140	item91000001689,35	UI_Active_Common_Desc_6305
386	6334	8	200	item91000001688,1	UI_Active_Common_Desc_6305
387	6334	9	260	item91000001689,45	UI_Active_Common_Desc_6305
388	6334	10	400	item91000001688,1	UI_Active_Common_Desc_6305
389	6334	11	850	item91000001688,1	UI_Active_Common_Desc_6305
390	6334	12	1000	item91000001688,2	UI_Active_Common_Desc_6305
391	6334	13	1500	item91000001688,2	UI_Active_Common_Desc_6305
392	6334	14	2200	item91000001687,1	UI_Active_Common_Desc_6305
393	6335	1	1	item91000001744,1	UI_Active_Common_Desc_6305
394	6335	2	8	item1002,100	UI_Active_Common_Desc_6305
395	6335	3	18	item91000001741,1	UI_Active_Common_Desc_6305
396	6335	4	35	item1002,500	UI_Active_Common_Desc_6305
397	6335	5	60	item91000001742,25	UI_Active_Common_Desc_6305
398	6335	6	95	item91000001741,1	UI_Active_Common_Desc_6305
399	6335	7	140	item91000001742,35	UI_Active_Common_Desc_6305
400	6335	8	200	item91000001741,1	UI_Active_Common_Desc_6305
401	6335	9	260	item91000001742,45	UI_Active_Common_Desc_6305
402	6335	10	400	item91000001741,1	UI_Active_Common_Desc_6305
403	6335	11	850	item91000001741,1	UI_Active_Common_Desc_6305
404	6335	12	1000	item91000001741,2	UI_Active_Common_Desc_6305
405	6335	13	1500	item91000001741,2	UI_Active_Common_Desc_6305
406	6335	14	2200	item91000001740,1	UI_Active_Common_Desc_6305
407	6336	1	1	item91000001768,1	UI_Active_Common_Desc_6305
408	6336	2	8	item1002,100	UI_Active_Common_Desc_6305
409	6336	3	18	item91000001765,1	UI_Active_Common_Desc_6305
410	6336	4	35	item1002,500	UI_Active_Common_Desc_6305
411	6336	5	60	item91000001766,25	UI_Active_Common_Desc_6305
412	6336	6	95	item91000001765,1	UI_Active_Common_Desc_6305
413	6336	7	140	item91000001766,35	UI_Active_Common_Desc_6305
414	6336	8	200	item91000001765,1	UI_Active_Common_Desc_6305
415	6336	9	260	item91000001766,45	UI_Active_Common_Desc_6305
416	6336	10	400	item91000001765,1	UI_Active_Common_Desc_6305
417	6336	11	850	item91000001765,1	UI_Active_Common_Desc_6305
