流水	铭文id	铭文名称	铭文描述	铭文等级	铭文品质	属性类型	BuffID	属性ID	Buff等级	评分计算类型	评分计算参数
50	100401	MagicName_100401	MagicDes_100401	2	4	1		1500000402	0	2	720
51	100401	MagicName_100401	MagicDes_100401	3	4	1		1500000403	0	2	960
52	100401	MagicName_100401	MagicDes_100401	4	4	1		1500000404	0	2	1200
53	100402	MagicName_100402	MagicDes_100402	1	4	1		1500000405	0	2	480
54	100402	MagicName_100402	MagicDes_100402	2	4	1		1500000406	0	2	720
55	100402	MagicName_100402	MagicDes_100402	3	4	1		1500000407	0	2	960
56	100402	MagicName_100402	MagicDes_100402	4	4	1		1500000408	0	2	1200
57	100403	MagicName_100403	MagicDes_100403	1	4	1		1500000409	0	2	480
58	100403	MagicName_100403	MagicDes_100403	2	4	1		1500000410	0	2	720
59	100403	MagicName_100403	MagicDes_100403	3	4	1		1500000411	0	2	960
60	100403	MagicName_100403	MagicDes_100403	4	4	1		1500000412	0	2	1200
61	100404	MagicName_100404	MagicDes_100404	1	4	1		1500000413	0	2	460
62	100404	MagicName_100404	MagicDes_100404	2	4	1		1500000414	0	2	690
63	100404	MagicName_100404	MagicDes_100404	3	4	1		1500000415	0	2	920
64	100404	MagicName_100404	MagicDes_100404	4	4	1		1500000416	0	2	1150
65	100405	MagicName_100405	MagicDes_100405	1	4	1		1500000417	0	2	460
66	100405	MagicName_100405	MagicDes_100405	2	4	1		1500000418	0	2	690
67	100405	MagicName_100405	MagicDes_100405	3	4	1		1500000419	0	2	920
68	100405	MagicName_100405	MagicDes_100405	4	4	1		1500000420	0	2	1150
69	100406	MagicName_100406	MagicDes_100406	1	4	1		1500000421	0	2	440
70	100406	MagicName_100406	MagicDes_100406	2	4	1		1500000422	0	2	660
71	100406	MagicName_100406	MagicDes_100406	3	4	1		1500000423	0	2	880
72	100406	MagicName_100406	MagicDes_100406	4	4	1		1500000424	0	2	1100
73	100501	MagicName_100501	MagicDes_100501	1	5	3	buff6_inscription::buff000	1500000501	1	2	1020
74	100501	MagicName_100501	MagicDes_100501	2	5	3	buff6_inscription::buff000	1500000502	2	2	1530
75	100501	MagicName_100501	MagicDes_100501	3	5	3	buff6_inscription::buff000	1500000503	3	2	2040
76	100501	MagicName_100501	MagicDes_100501	4	5	3	buff6_inscription::buff000	1500000504	4	2	2550
77	100502	MagicName_100502	MagicDes_100502	1	5	3	buff6_inscription::buff001	1500000505	1	2	1020
78	100502	MagicName_100502	MagicDes_100502	2	5	3	buff6_inscription::buff001	1500000506	2	2	1530
79	100502	MagicName_100502	MagicDes_100502	3	5	3	buff6_inscription::buff001	1500000507	3	2	2040
80	100502	MagicName_100502	MagicDes_100502	4	5	3	buff6_inscription::buff001	1500000508	4	2	2550
81	100503	MagicName_100503	MagicDes_100503	1	5	3	buff6_inscription::buff002	1500000509	1	2	1020
82	100503	MagicName_100503	MagicDes_100503	2	5	3	buff6_inscription::buff002	1500000510	2	2	1530
83	100503	MagicName_100503	MagicDes_100503	3	5	3	buff6_inscription::buff002	1500000511	3	2	2040
84	100503	MagicName_100503	MagicDes_100503	4	5	3	buff6_inscription::buff002	1500000512	4	2	2550
85	100504	MagicName_100504	MagicDes_100504	1	5	1		1500000513	0	2	940
86	100504	MagicName_100504	MagicDes_100504	2	5	1		1500000514	0	2	1410
87	100504	MagicName_100504	MagicDes_100504	3	5	1		1500000515	0	2	1880
88	100504	MagicName_100504	MagicDes_100504	4	5	1		1500000516	0	2	2350
89	100505	MagicName_100505	MagicDes_100505	1	5	1		1500000517	0	2	940
90	100505	MagicName_100505	MagicDes_100505	2	5	1		1500000518	0	2	1410
91	100505	MagicName_100505	MagicDes_100505	3	5	1		1500000519	0	2	1880
92	100505	MagicName_100505	MagicDes_100505	4	5	1		1500000520	0	2	2350
93	100506	MagicName_100506	MagicDes_100506	1	5	1		1500000521	0	2	810
94	100506	MagicName_100506	MagicDes_100506	2	5	1		1500000522	0	2	1215
95	100506	MagicName_100506	MagicDes_100506	3	5	1		1500000523	0	2	1620
96	100506	MagicName_100506	MagicDes_100506	4	5	1		1500000524	0	2	2025
97	100507	MagicName_100507	MagicDes_100507	1	5	1		1500000525	0	2	810
98	100507	MagicName_100507	MagicDes_100507	2	5	1		1500000526	0	2	1215
99	100507	MagicName_100507	MagicDes_100507	3	5	1		1500000527	0	2	1620
100	100507	MagicName_100507	MagicDes_100507	4	5	1		1500000528	0	2	2025
