流水	徽记id	等级	经验需求	升级属性加成
255	item171000103403	5	1750	3,55;67,200
256	item171000103403	6	3010	3,60;67,220
257	item171000103403	7	5110	3,65;67,240
258	item171000103403	8	8750	3,70;67,260
259	item171000103403	9	14210	3,75;67,280
260	item171000103403	10	23170	3,80;67,300
261	item171000103404	1	0	3,35;79,120
262	item171000103404	2	140	3,40;79,140
263	item171000103404	3	420	3,45;79,160
264	item171000103404	4	910	3,50;79,180
265	item171000103404	5	1750	3,55;79,200
266	item171000103404	6	3010	3,60;79,220
267	item171000103404	7	5110	3,65;79,240
268	item171000103404	8	8750	3,70;79,260
269	item171000103404	9	14210	3,75;79,280
270	item171000103404	10	23170	3,80;79,300
271	item171000103405	1	0	3,35;66,120
272	item171000103405	2	140	3,40;66,140
273	item171000103405	3	420	3,45;66,160
274	item171000103405	4	910	3,50;66,180
275	item171000103405	5	1750	3,55;66,200
276	item171000103405	6	3010	3,60;66,220
277	item171000103405	7	5110	3,65;66,240
278	item171000103405	8	8750	3,70;66,260
279	item171000103405	9	14210	3,75;66,280
280	item171000103405	10	23170	3,80;66,300
281	item171000103406	1	0	1,350;84,120
282	item171000103406	2	140	1,400;84,140
283	item171000103406	3	420	1,450;84,160
284	item171000103406	4	910	1,500;84,180
285	item171000103406	5	1750	1,550;84,200
286	item171000103406	6	3010	1,600;84,220
287	item171000103406	7	5110	1,650;84,240
288	item171000103406	8	8750	1,700;84,260
289	item171000103406	9	14210	1,750;84,280
290	item171000103406	10	23170	1,800;84,300
291	item171000103407	1	0	1,350;76,120
292	item171000103407	2	140	1,400;76,140
293	item171000103407	3	420	1,450;76,160
294	item171000103407	4	910	1,500;76,180
295	item171000103407	5	1750	1,550;76,200
296	item171000103407	6	3010	1,600;76,220
297	item171000103407	7	5110	1,650;76,240
298	item171000103407	8	8750	1,700;76,260
299	item171000103407	9	14210	1,750;76,280
300	item171000103407	10	23170	1,800;76,300
301	item171000103408	1	0	1,350;70,120
302	item171000103408	2	140	1,400;70,140
303	item171000103408	3	420	1,450;70,160
304	item171000103408	4	910	1,500;70,180
305	item171000103408	5	1750	1,550;70,200
306	item171000103408	6	3010	1,600;70,220
307	item171000103408	7	5110	1,650;70,240
308	item171000103408	8	8750	1,700;70,260
309	item171000103408	9	14210	1,750;70,280
310	item171000103408	10	23170	1,800;70,300
311	item171000103409	1	0	1,350;80,120
312	item171000103409	2	140	1,400;80,140
313	item171000103409	3	420	1,450;80,160
314	item171000103409	4	910	1,500;80,180
315	item171000103409	5	1750	1,550;80,200
316	item171000103409	6	3010	1,600;80,220
317	item171000103409	7	5110	1,650;80,240
318	item171000103409	8	8750	1,700;80,260
319	item171000103409	9	14210	1,750;80,280
320	item171000103409	10	23170	1,800;80,300
321	item171000103410	1	0	1,350;69,120
322	item171000103410	2	140	1,400;69,140
323	item171000103410	3	420	1,450;69,160
324	item171000103410	4	910	1,500;69,180
325	item171000103410	5	1750	1,550;69,200
326	item171000103410	6	3010	1,600;69,220
327	item171000103410	7	5110	1,650;69,240
328	item171000103410	8	8750	1,700;69,260
329	item171000103410	9	14210	1,750;69,280
330	item171000103410	10	23170	1,800;69,300
331	item171000103411	1	0	1,350;112,120
332	item171000103411	2	140	1,400;112,140
333	item171000103411	3	420	1,450;112,160
334	item171000103411	4	910	1,500;112,180
335	item171000103411	5	1750	1,550;112,200
336	item171000103411	6	3010	1,600;112,220
337	item171000103411	7	5110	1,650;112,240
338	item171000103411	8	8750	1,700;112,260
339	item171000103411	9	14210	1,750;112,280
340	item171000103411	10	23170	1,800;112,300
341	item171000103412	1	0	30,175
342	item171000103412	2	140	30,200
343	item171000103412	3	420	30,225
344	item171000103412	4	910	30,250
345	item171000103412	5	1750	30,275
346	item171000103412	6	3010	30,300
347	item171000103412	7	5110	30,325
348	item171000103412	8	8750	30,350
349	item171000103412	9	14210	30,375
350	item171000103412	10	23170	30,400
351	item171000103413	1	0	31,175
352	item171000103413	2	140	31,200
353	item171000103413	3	420	31,225
354	item171000103413	4	910	31,250
355	item171000103413	5	1750	31,275
356	item171000103413	6	3010	31,300
357	item171000103413	7	5110	31,325
358	item171000103413	8	8750	31,350
359	item171000103413	9	14210	31,375
360	item171000103413	10	23170	31,400
361	item171000103414	1	0	32,175
362	item171000103414	2	140	32,200
363	item171000103414	3	420	32,225
364	item171000103414	4	910	32,250
365	item171000103414	5	1750	32,275
366	item171000103414	6	3010	32,300
367	item171000103414	7	5110	32,325
368	item171000103414	8	8750	32,350
369	item171000103414	9	14210	32,375
370	item171000103414	10	23170	32,400
371	item171000103415	1	0	33,175
372	item171000103415	2	140	33,200
373	item171000103415	3	420	33,225
374	item171000103415	4	910	33,250
375	item171000103415	5	1750	33,275
376	item171000103415	6	3010	33,300
377	item171000103415	7	5110	33,325
378	item171000103415	8	8750	33,350
379	item171000103415	9	14210	33,375
380	item171000103415	10	23170	33,400
381	item171000103416	1	0	34,175
382	item171000103416	2	140	34,200
383	item171000103416	3	420	34,225
384	item171000103416	4	910	34,250
385	item171000103416	5	1750	34,275
386	item171000103416	6	3010	34,300
387	item171000103416	7	5110	34,325
388	item171000103416	8	8750	34,350
389	item171000103416	9	14210	34,375
390	item171000103416	10	23170	34,400
391	item171000103417	1	0	35,175
392	item171000103417	2	140	35,200
393	item171000103417	3	420	35,225
394	item171000103417	4	910	35,250
395	item171000103417	5	1750	35,275
396	item171000103417	6	3010	35,300
397	item171000103417	7	5110	35,325
398	item171000103417	8	8750	35,350
399	item171000103417	9	14210	35,375
400	item171000103417	10	23170	35,400
401	item171000103501	1	0	206,120;30,175
402	item171000103501	2	300	206,140;30,200
403	item171000103501	3	900	206,160;30,225
404	item171000103501	4	1950	206,180;30,250
405	item171000103501	5	3750	206,200;30,275
406	item171000103501	6	6450	206,220;30,300
407	item171000103501	7	10950	206,240;30,325
408	item171000103501	8	18750	206,260;30,350
409	item171000103501	9	30450	206,280;30,375
410	item171000103501	10	49650	206,300;30,400
411	item171000103502	1	0	11,120;53,13
412	item171000103502	2	300	11,140;53,16
413	item171000103502	3	900	11,160;53,19
414	item171000103502	4	1950	11,180;53,22
415	item171000103502	5	3750	11,200;53,25
416	item171000103502	6	6450	11,220;53,28
417	item171000103502	7	10950	11,240;53,31
418	item171000103502	8	18750	11,260;53,34
419	item171000103502	9	30450	11,280;53,37
420	item171000103502	10	49650	11,300;53,40
421	item171000103503	1	0	11,120;57,13
422	item171000103503	2	300	11,140;57,16
423	item171000103503	3	900	11,160;57,19
424	item171000103503	4	1950	11,180;57,22
425	item171000103503	5	3750	11,200;57,25
426	item171000103503	6	6450	11,220;57,28
427	item171000103503	7	10950	11,240;57,31
428	item171000103503	8	18750	11,260;57,34
429	item171000103503	9	30450	11,280;57,37
430	item171000103503	10	49650	11,300;57,40
431	item171000103504	1	0	11,120;63,13
432	item171000103504	2	300	11,140;63,16
433	item171000103504	3	900	11,160;63,19
434	item171000103504	4	1950	11,180;63,22
435	item171000103504	5	3750	11,200;63,25
436	item171000103504	6	6450	11,220;63,28
437	item171000103504	7	10950	11,240;63,31
438	item171000103504	8	18750	11,260;63,34
439	item171000103504	9	30450	11,280;63,37
440	item171000103504	10	49650	11,300;63,40
441	item171000103505	1	0	53,13;57,13
442	item171000103505	2	300	53,16;57,16
443	item171000103505	3	900	53,19;57,19
444	item171000103505	4	1950	53,22;57,22
445	item171000103505	5	3750	53,25;57,25
446	item171000103505	6	6450	53,28;57,28
447	item171000103505	7	10950	53,31;57,31
448	item171000103505	8	18750	53,34;57,34
449	item171000103505	9	30450	53,37;57,37
450	item171000103505	10	49650	53,40;57,40
451	item171000103506	1	0	12,120;51,175
452	item171000103506	2	300	12,140;51,200
453	item171000103506	3	900	12,160;51,225
454	item171000103506	4	1950	12,180;51,250
455	item171000103506	5	3750	12,200;51,275
456	item171000103506	6	6450	12,220;51,300
457	item171000103506	7	10950	12,240;51,325
458	item171000103506	8	18750	12,260;51,350
459	item171000103506	9	30450	12,280;51,375
460	item171000103506	10	49650	12,300;51,400
461	item171000103507	1	0	11,120;52,175
462	item171000103507	2	300	11,140;52,200
463	item171000103507	3	900	11,160;52,225
464	item171000103507	4	1950	11,180;52,250
465	item171000103507	5	3750	11,200;52,275
466	item171000103507	6	6450	11,220;52,300
467	item171000103507	7	10950	11,240;52,325
468	item171000103507	8	18750	11,260;52,350
469	item171000103507	9	30450	11,280;52,375
470	item171000103507	10	49650	11,300;52,400
471	item171000103508	1	0	11,100;112,175
472	item171000103508	2	300	11,120;112,200
473	item171000103508	3	900	11,140;112,225
474	item171000103508	4	1950	11,160;112,250
475	item171000103508	5	3750	11,180;112,275
476	item171000103508	6	6450	11,200;112,300
477	item171000103508	7	10950	11,220;112,325
478	item171000103508	8	18750	11,240;112,350
479	item171000103508	9	30450	11,260;112,375
480	item171000103508	10	49650	11,280;112,400
481	item171000103509	1	0	13,100;31,175
482	item171000103509	2	300	13,120;31,200
483	item171000103509	3	900	13,140;31,225
484	item171000103509	4	1950	13,160;31,250
485	item171000103509	5	3750	13,180;31,275
486	item171000103509	6	6450	13,200;31,300
487	item171000103509	7	10950	13,220;31,325
488	item171000103509	8	18750	13,240;31,350
489	item171000103509	9	30450	13,260;31,375
490	item171000103509	10	49650	13,280;31,400
491	item171000103510	1	0	32,175;34,175
492	item171000103510	2	300	32,200;34,200
493	item171000103510	3	900	32,225;34,225
494	item171000103510	4	1950	32,250;34,250
495	item171000103510	5	3750	32,275;34,275
496	item171000103510	6	6450	32,300;34,300
497	item171000103510	7	10950	32,325;34,325
498	item171000103510	8	18750	32,350;34,350
499	item171000103510	9	30450	32,375;34,375
500	item171000103510	10	49650	32,400;34,400
501	item171000103511	1	0	33,175;35,175
502	item171000103511	2	300	33,200;35,200
503	item171000103511	3	900	33,225;35,225
504	item171000103511	4	1950	33,250;35,250
505	item171000103511	5	3750	33,275;35,275
506	item171000103511	6	6450	33,300;35,300
507	item171000103511	7	10950	33,325;35,325
508	item171000103511	8	18750	33,350;35,350
509	item171000103511	9	30450	33,375;35,375
510	item171000103511	10	49650	33,400;35,400
511	item171000103512	1	0	3,55;12,175
512	item171000103512	2	300	3,60;12,200
513	item171000103512	3	900	3,65;12,225
514	item171000103512	4	1950	3,70;12,250
515	item171000103512	5	3750	3,75;12,275
516	item171000103512	6	6450	3,80;12,300
517	item171000103512	7	10950	3,85;12,325
518	item171000103512	8	18750	3,90;12,350
519	item171000103512	9	30450	3,95;12,375
520	item171000103512	10	49650	3,100;12,400
521	item171000103513	1	0	51,175;173,300
522	item171000103513	2	300	51,200;173,350
523	item171000103513	3	900	51,225;173,400
524	item171000103513	4	1950	51,250;173,450
525	item171000103513	5	3750	51,275;173,500
526	item171000103513	6	6450	51,300;173,550
527	item171000103513	7	10950	51,325;173,600
528	item171000103513	8	18750	51,350;173,650
529	item171000103513	9	30450	51,375;173,700
530	item171000103513	10	49650	51,400;173,750
531	item171000103514	1	0	51,175;174,300
532	item171000103514	2	300	51,200;174,350
533	item171000103514	3	900	51,225;174,400
534	item171000103514	4	1950	51,250;174,450
535	item171000103514	5	3750	51,275;174,500
536	item171000103514	6	6450	51,300;174,550
537	item171000103514	7	10950	51,325;174,600
538	item171000103514	8	18750	51,350;174,650
539	item171000103514	9	30450	51,375;174,700
540	item171000103514	10	49650	51,400;174,750
541	item171000103515	1	0	3,55;34,240
542	item171000103515	2	300	3,60;34,280
543	item171000103515	3	900	3,65;34,320
544	item171000103515	4	1950	3,70;34,360
545	item171000103515	5	3750	3,75;34,400
546	item171000103515	6	6450	3,80;34,440
547	item171000103515	7	10950	3,85;34,480
548	item171000103515	8	18750	3,90;34,520
549	item171000103515	9	30450	3,95;34,560
550	item171000103515	10	49650	3,100;34,600
551	item171000103516	1	0	3,55;30,240
552	item171000103516	2	300	3,60;30,280
553	item171000103516	3	900	3,65;30,320
554	item171000103516	4	1950	3,70;30,360
555	item171000103516	5	3750	3,75;30,400
556	item171000103516	6	6450	3,80;30,440
557	item171000103516	7	10950	3,85;30,480
558	item171000103516	8	18750	3,90;30,520
559	item171000103516	9	30450	3,95;30,560
560	item171000103516	10	49650	3,100;30,600
561	item171000103517	1	0	3,55;36,175
562	item171000103517	2	300	3,60;36,200
563	item171000103517	3	900	3,65;36,225
564	item171000103517	4	1950	3,70;36,250
565	item171000103517	5	3750	3,75;36,275
566	item171000103517	6	6450	3,80;36,300
567	item171000103517	7	10950	3,85;36,325
568	item171000103517	8	18750	3,90;36,350
569	item171000103517	9	30450	3,95;36,375
570	item171000103517	10	49650	3,100;36,400
571	item171000103518	1	0	3,55;32,240
572	item171000103518	2	300	3,60;32,280
573	item171000103518	3	900	3,65;32,320
574	item171000103518	4	1950	3,70;32,360
575	item171000103518	5	3750	3,75;32,400
576	item171000103518	6	6450	3,80;32,440
577	item171000103518	7	10950	3,85;32,480
578	item171000103518	8	18750	3,90;32,520
579	item171000103518	9	30450	3,95;32,560
580	item171000103518	10	49650	3,100;32,600
581	item171000103519	1	0	4,55;33,240
582	item171000103519	2	300	4,60;33,280
583	item171000103519	3	900	4,65;33,320
584	item171000103519	4	1950	4,70;33,360
585	item171000103519	5	3750	4,75;33,400
586	item171000103519	6	6450	4,80;33,440
587	item171000103519	7	10950	4,85;33,480
588	item171000103519	8	18750	4,90;33,520
589	item171000103519	9	30450	4,95;33,560
590	item171000103519	10	49650	4,100;33,600
591	item171000103520	1	0	12,120;52,175
592	item171000103520	2	300	12,140;52,200
593	item171000103520	3	900	12,160;52,225
594	item171000103520	4	1950	12,180;52,250
595	item171000103520	5	3750	12,200;52,275
596	item171000103520	6	6450	12,220;52,300
597	item171000103520	7	10950	12,240;52,325
598	item171000103520	8	18750	12,260;52,350
599	item171000103520	9	30450	12,280;52,375
600	item171000103520	10	49650	12,300;52,400
601	item171000103521	1	0	25,110;51,120;52,120
602	item171000103521	2	300	25,120;51,140;52,140
603	item171000103521	3	900	25,130;51,160;52,160
604	item171000103521	4	1950	25,140;51,180;52,180
605	item171000103521	5	3750	25,150;51,200;52,200
606	item171000103521	6	6450	25,160;51,220;52,220
607	item171000103521	7	10950	25,170;51,240;52,240
608	item171000103521	8	18750	25,180;51,260;52,260
609	item171000103521	9	30450	25,190;51,280;52,280
610	item171000103521	10	49650	25,200;51,300;52,300
611	item171000103522	1	0	3,120;12,120;52,120
612	item171000103522	2	300	3,140;12,140;52,140
613	item171000103522	3	900	3,160;12,160;52,160
614	item171000103522	4	1950	3,180;12,180;52,180
615	item171000103522	5	3750	3,200;12,200;52,200
616	item171000103522	6	6450	3,220;12,220;52,220
617	item171000103522	7	10950	3,240;12,240;52,240
618	item171000103522	8	18750	3,260;12,260;52,260
619	item171000103522	9	30450	3,280;12,280;52,280
620	item171000103522	10	49650	3,300;12,300;52,300
621	item171000103523	1	0	12,120;184,230;185,120
622	item171000103523	2	300	12,140;184,260;185,140
623	item171000103523	3	900	12,160;184,290;185,160
624	item171000103523	4	1950	12,180;184,320;185,180
625	item171000103523	5	3750	12,200;184,350;185,200
626	item171000103523	6	6450	12,220;184,380;185,220
627	item171000103523	7	10950	12,240;184,410;185,240
628	item171000103523	8	18750	12,260;184,440;185,260
629	item171000103523	9	30450	12,280;184,470;185,280
630	item171000103523	10	49650	12,300;184,500;185,300
631	item171000103524	1	0	206,220;131,300;132,300
632	item171000103524	2	300	206,240;131,350;132,350
633	item171000103524	3	900	206,260;131,400;132,400
634	item171000103524	4	1950	206,280;131,450;132,450
635	item171000103524	5	3750	206,300;131,500;132,500
636	item171000103524	6	6450	206,320;131,550;132,550
637	item171000103524	7	10950	206,340;131,600;132,600
638	item171000103524	8	18750	206,360;131,650;132,650
639	item171000103524	9	30450	206,380;131,700;132,700
640	item171000103524	10	49650	206,400;131,750;132,750
641	item171000103525	1	0	51,300;173,300;31,400
642	item171000103525	2	300	51,350;173,350;31,450
643	item171000103525	3	900	51,400;173,400;31,500
644	item171000103525	4	1950	51,450;173,450;31,550
645	item171000103525	5	3750	51,500;173,500;31,600
646	item171000103525	6	6450	51,550;173,550;31,650
647	item171000103525	7	10950	51,600;173,600;31,700
648	item171000103525	8	18750	51,650;173,650;31,750
649	item171000103525	9	30450	51,700;173,700;31,800
650	item171000103525	10	49650	51,750;173,750;31,850
651	item171000103526	1	0	32,300;34,300;35,300
652	item171000103526	2	300	32,350;34,350;35,350
653	item171000103526	3	900	32,400;34,400;35,400
654	item171000103526	4	1950	32,450;34,450;35,450
655	item171000103526	5	3750	32,500;34,500;35,500
656	item171000103526	6	6450	32,550;34,550;35,550
657	item171000103526	7	10950	32,600;34,600;35,600
658	item171000103526	8	18750	32,650;34,650;35,650
659	item171000103526	9	30450	32,700;34,700;35,700
660	item171000103526	10	49650	32,750;34,750;35,750
661	item171000103527	1	0	3,120;33,400;185,120
662	item171000103527	2	300	3,140;33,450;185,140
663	item171000103527	3	900	3,160;33,500;185,160
664	item171000103527	4	1950	3,180;33,550;185,180
665	item171000103527	5	3750	3,200;33,600;185,200
666	item171000103527	6	6450	3,220;33,650;185,220
667	item171000103527	7	10950	3,240;33,700;185,240
668	item171000103527	8	18750	3,260;33,750;185,260
669	item171000103527	9	30450	3,280;33,800;185,280
670	item171000103527	10	49650	3,300;33,850;185,300
671	item171000103528	1	0	51,300;174,300;52,400
672	item171000103528	2	300	51,350;174,350;52,450
673	item171000103528	3	900	51,400;174,400;52,500
674	item171000103528	4	1950	51,450;174,450;52,550
675	item171000103528	5	3750	51,500;174,500;52,600
676	item171000103528	6	6450	51,550;174,550;52,650
677	item171000103528	7	10950	51,600;174,600;52,700
678	item171000103528	8	18750	51,650;174,650;52,750
679	item171000103528	9	30450	51,700;174,700;52,800
680	item171000103528	10	49650	51,750;174,750;52,850
681	item171000103529	1	0	11,120;32,400;51,300
682	item171000103529	2	300	11,140;32,450;51,350
683	item171000103529	3	900	11,160;32,500;51,400
684	item171000103529	4	1950	11,180;32,550;51,450
685	item171000103529	5	3750	11,200;32,600;51,500
686	item171000103529	6	6450	11,220;32,650;51,550
687	item171000103529	7	10950	11,240;32,700;51,600
688	item171000103529	8	18750	11,260;32,750;51,650
689	item171000103529	9	30450	11,280;32,800;51,700
690	item171000103529	10	49650	11,300;32,850;51,750
691	item171000103530	1	0	32,400;30,200;52,300
692	item171000103530	2	300	32,450;30,250;52,350
693	item171000103530	3	900	32,500;30,300;52,400
694	item171000103530	4	1950	32,550;30,350;52,450
695	item171000103530	5	3750	32,600;30,400;52,500
696	item171000103530	6	6450	32,650;30,450;52,550
697	item171000103530	7	10950	32,700;30,500;52,600
698	item171000103530	8	18750	32,750;30,550;52,650
699	item171000103530	9	30450	32,800;30,600;52,700
700	item171000103530	10	49650	32,850;30,650;52,750
701	item171000103531	1	0	12,120;34,400;35,300
702	item171000103531	2	300	12,140;34,450;35,350
703	item171000103531	3	900	12,160;34,500;35,400
704	item171000103531	4	1950	12,180;34,550;35,450
705	item171000103531	5	3750	12,200;34,600;35,500
706	item171000103531	6	6450	12,220;34,650;35,550
707	item171000103531	7	10950	12,240;34,700;35,600
708	item171000103531	8	18750	12,260;34,750;35,650
709	item171000103531	9	30450	12,280;34,800;35,700
710	item171000103531	10	49650	12,300;34,850;35,750
711	item171000103532	1	0	3,120;30,280;52,300
712	item171000103532	2	300	3,140;30,310;52,350
