流水	组ID	类型	成就Id
134	1004	1	8104310
135	1004	1	8104311
136	1004	1	8104312
137	1004	1	8104313
138	1004	1	8104314
139	1004	1	8104315
140	1004	1	8104316
141	1004	1	8104317
142	1004	1	8104318
143	1004	1	8104319
144	1004	1	8104320
145	1004	1	8104321
146	1004	1	8104322
147	1004	1	8104323
148	1004	1	8104324
149	1004	1	8104325
150	1004	1	8104326
151	1004	1	8104327
152	1004	1	8104328
153	1005	1	8105301
154	1005	1	8105302
155	1005	1	8105303
156	1005	1	8105304
157	1005	1	8105305
158	1005	1	8105306
159	1005	1	8105307
160	1005	1	8105308
161	1005	1	8105309
162	1005	1	8105310
163	1005	1	8105311
164	1005	1	8105312
165	1005	1	8105313
166	1005	1	8105314
167	1005	1	8105315
168	1005	1	8105316
169	1005	1	8105317
170	1005	1	8105318
171	1005	1	8105319
172	1005	1	8105320
173	1005	1	8105321
174	1005	1	8105322
175	1005	1	8105323
176	1005	1	8105324
177	1005	1	8105325
178	1005	1	8105326
179	1005	1	8105327
180	1005	1	8105328
181	1005	1	8105329
182	1005	1	8105330
183	1005	1	8105331
184	1005	1	8105332
185	1006	1	8106301
186	1006	1	8106302
187	1006	1	8106303
188	1006	1	8106304
189	1006	1	8106305
190	1006	1	8106306
191	1006	1	8106307
192	1006	1	8106308
193	1006	1	8106309
194	1006	1	8106310
195	1006	1	8106311
196	1006	1	8106312
197	1006	1	8106313
198	1006	1	8106314
199	1006	1	8106315
200	1006	1	8106316
201	1006	1	8106317
202	1006	1	8106318
203	1006	1	8106319
204	1006	1	8106320
205	1006	1	8106321
206	1006	1	8106322
207	1006	1	8106323
208	1006	1	8106324
209	1006	1	8106325
210	1006	1	8106326
211	1006	1	8106327
212	1006	1	8106328
213	1006	1	8106329
214	1006	1	8106330
215	1006	1	8106331
216	1006	1	8106332
217	1006	1	8106333
218	1006	1	8106334
219	1006	1	8106335
220	1006	1	8106336
221	1001	1	8101401
222	1001	1	8101402
223	1001	1	8101403
224	1001	1	8101404
225	1001	1	8101405
226	1001	1	8101406
227	1001	1	8101407
228	1001	1	8101408
229	1001	1	8101409
230	1001	1	8101410
231	1001	1	8101411
232	1001	1	8101412
233	1001	1	8101413
234	1001	1	8101414
235	1001	1	8101415
236	1002	1	8102401
237	1002	1	8102402
238	1002	1	8102403
239	1002	1	8102404
240	1002	1	8102405
241	1002	1	8102406
242	1002	1	8102407
243	1002	1	8102408
244	1002	1	8102409
245	1002	1	8102410
246	1002	1	8102411
247	1002	1	8102412
248	1002	1	8102413
249	1002	1	8102414
250	1002	1	8102415
251	1002	1	8102416
252	1002	1	8102417
253	1002	1	8102418
254	1002	1	8102419
255	1002	1	8102420
256	1002	1	8102421
257	1003	1	8103401
258	1003	1	8103402
259	1003	1	8103403
260	1003	1	8103404
261	1003	1	8103405
262	1003	1	8103406
263	1003	1	8103407
264	1003	1	8103408
265	1003	1	8103409
266	1003	1	8103410
267	1003	1	8103411
268	1003	1	8103412
269	1003	1	8103413
270	1003	1	8103414
271	1003	1	8103415
272	1003	1	8103416
273	1003	1	8103417
274	1003	1	8103418
275	1003	1	8103419
276	1003	1	8103420
277	1003	1	8103421
278	1003	1	8103422
279	1003	1	8103423
280	1003	1	8103424
281	1003	1	8103425
282	1003	1	8103426
283	1003	1	8103427
284	1003	1	8103428
285	1004	1	8104401
286	1004	1	8104402
287	1004	1	8104403
288	1004	1	8104404
289	1004	1	8104405
290	1004	1	8104406
291	1004	1	8104407
292	1004	1	8104408
293	1004	1	8104409
294	1004	1	8104410
295	1004	1	8104411
296	1004	1	8104412
297	1004	1	8104413
298	1004	1	8104414
299	1004	1	8104415
300	1004	1	8104416
301	1004	1	8104417
302	1004	1	8104418
303	1004	1	8104419
304	1004	1	8104420
305	1004	1	8104421
306	1004	1	8104422
307	1004	1	8104423
308	1004	1	8104424
309	1004	1	8104425
310	1004	1	8104426
311	1004	1	8104427
312	1004	1	8104428
313	1005	1	8105401
314	1005	1	8105402
315	1005	1	8105403
316	1005	1	8105404
317	1005	1	8105405
318	1005	1	8105406
319	1005	1	8105407
320	1005	1	8105408
321	1005	1	8105409
322	1005	1	8105410
323	1005	1	8105411
324	1005	1	8105412
325	1005	1	8105413
326	1005	1	8105414
327	1005	1	8105415
328	1005	1	8105416
329	1005	1	8105417
330	1005	1	8105418
331	1005	1	8105419
332	1005	1	8105420
333	1005	1	8105421
334	1005	1	8105422
335	1005	1	8105423
336	1005	1	8105424
337	1005	1	8105425
338	1005	1	8105426
339	1005	1	8105427
340	1005	1	8105428
341	1005	1	8105429
342	1005	1	8105430
343	1005	1	8105431
344	1005	1	8105432
345	1006	1	8106401
346	1006	1	8106402
347	1006	1	8106403
348	1006	1	8106404
349	1006	1	8106405
350	1006	1	8106406
351	1006	1	8106407
352	1006	1	8106408
353	1006	1	8106409
354	1006	1	8106410
355	1006	1	8106411
356	1006	1	8106412
357	1006	1	8106413
358	1006	1	8106414
359	1006	1	8106415
360	1006	1	8106416
361	1006	1	8106417
362	1006	1	8106418
363	1006	1	8106419
364	1006	1	8106420
365	1006	1	8106421
366	1006	1	8106422
367	1006	1	8106423
368	1006	1	8106424
369	1006	1	8106425
370	1006	1	8106426
371	1006	1	8106427
372	1006	1	8106428
373	1006	1	8106429
374	1006	1	8106430
375	1006	1	8106431
376	1006	1	8106432
377	1006	1	8106433
378	1006	1	8106434
379	1006	1	8106435
380	1006	1	8106436
381	1001	2	8101101
382	1001	2	8101102
383	1001	2	8101103
384	1001	2	8101104
385	1001	2	8101105
386	1001	2	8101106
387	1001	2	8101107
388	1001	2	8101108
389	1001	2	8101109
390	1001	2	8101110
391	1002	2	8102101
392	1002	2	8102102
393	1002	2	8102103
394	1002	2	8102104
395	1002	2	8102105
396	1002	2	8102106
397	1002	2	8102107
398	1002	2	8102108
399	1002	2	8102109
400	1002	2	8102110
401	1002	2	8102111
402	1002	2	8102112
403	1002	2	8102113
404	1002	2	8102114
405	1002	2	8102115
406	1003	2	8103101
407	1003	2	8103102
408	1003	2	8103103
409	1003	2	8103104
410	1003	2	8103105
411	1003	2	8103106
412	1003	2	8103107
413	1003	2	8103108
414	1003	2	8103109
415	1003	2	8103110
416	1003	2	8103111
417	1003	2	8103112
418	1003	2	8103113
419	1003	2	8103114
420	1003	2	8103115
421	1003	2	8103116
422	1003	2	8103117
423	1003	2	8103118
424	1003	2	8103119
425	1004	2	8104101
426	1004	2	8104102
427	1004	2	8104103
428	1004	2	8104104
429	1004	2	8104105
430	1004	2	8104106
431	1004	2	8104107
432	1004	2	8104108
433	1004	2	8104109
434	1004	2	8104110
435	1004	2	8104111
436	1004	2	8104112
437	1004	2	8104113
438	1004	2	8104114
439	1004	2	8104115
440	1004	2	8104116
441	1004	2	8104117
442	1004	2	8104118
443	1004	2	8104119
444	1004	2	8104120
445	1004	2	8104121
446	1004	2	8104122
447	1005	2	8105101
448	1005	2	8105102
449	1005	2	8105103
450	1005	2	8105104
451	1005	2	8105105
452	1005	2	8105106
453	1005	2	8105107
454	1005	2	8105108
455	1005	2	8105109
456	1005	2	8105110
457	1005	2	8105111
458	1005	2	8105112
459	1005	2	8105113
460	1005	2	8105114
461	1005	2	8105115
462	1005	2	8105116
463	1005	2	8105117
464	1005	2	8105118
465	1005	2	8105119
466	1005	2	8105120
467	1005	2	8105121
468	1005	2	8105122
469	1005	2	8105123
470	1005	2	8105124
471	1005	2	8105125
472	1006	2	8106101
473	1006	2	8106102
474	1006	2	8106103
475	1006	2	8106104
476	1006	2	8106105
477	1006	2	8106106
478	1006	2	8106107
479	1006	2	8106108
480	1006	2	8106109
481	1006	2	8106110
482	1006	2	8106111
483	1006	2	8106112
484	1006	2	8106113
485	1006	2	8106114
486	1006	2	8106115
487	1006	2	8106116
488	1006	2	8106117
489	1006	2	8106118
490	1006	2	8106119
491	1006	2	8106120
492	1006	2	8106121
493	1006	2	8106122
494	1006	2	8106123
495	1006	2	8106124
496	1006	2	8106125
497	1006	2	8106126
498	1001	3	8101201
499	1001	3	8101202
500	1001	3	8101203
501	1001	3	8101204
502	1001	3	8101205
503	1001	3	8101206
504	1001	3	8101207
505	1001	3	8101208
506	1002	3	8102201
507	1002	3	8102202
508	1002	3	8102203
509	1002	3	8102204
510	1002	3	8102205
511	1002	3	8102206
512	1002	3	8102207
513	1002	3	8102208
514	1002	3	8102209
515	1002	3	8102210
516	1002	3	8102211
517	1002	3	8102212
518	1003	3	8103201
519	1003	3	8103202
520	1003	3	8103203
521	1003	3	8103204
522	1003	3	8103205
523	1003	3	8103206
524	1003	3	8103207
525	1003	3	8103208
526	1003	3	8103209
527	1003	3	8103210
528	1003	3	8103211
529	1003	3	8103212
530	1004	3	8104201
531	1004	3	8104202
532	1004	3	8104203
533	1004	3	8104204
534	1004	3	8104205
535	1004	3	8104206
536	1004	3	8104207
537	1004	3	8104208
538	1004	3	8104209
539	1004	3	8104210
540	1004	3	8104211
541	1004	3	8104212
542	1004	3	8104213
543	1004	3	8104214
544	1005	3	8105201
545	1005	3	8105202
546	1005	3	8105203
547	1005	3	8105204
548	1005	3	8105205
549	1005	3	8105206
550	1005	3	8105207
551	1005	3	8105208
552	1005	3	8105209
553	1005	3	8105210
554	1005	3	8105211
555	1005	3	8105212
556	1005	3	8105213
557	1005	3	8105214
558	1005	3	8105215
559	1006	3	8106201
560	1006	3	8106202
561	1006	3	8106203
562	1006	3	8106204
563	1006	3	8106205
564	1006	3	8106206
565	1006	3	8106207
566	1006	3	8106208
567	1006	3	8106209
568	1006	3	8106210
569	1006	3	8106211
570	1006	3	8106212
571	1006	3	8106213
572	1006	3	8106214
573	1001	4	8101501
574	1001	4	8101502
575	1001	4	8101503
576	1001	4	8101504
577	1001	4	8101505
578	1001	4	8101506
579	1001	4	8101507
580	1001	4	8101508
581	1001	4	8101509
582	1001	4	8101510
583	1001	4	8101511
584	1001	4	8101512
585	1001	4	8101513
586	1001	4	8101514
587	1001	4	8101515
588	1002	4	8102501
589	1002	4	8102502
590	1002	4	8102503
591	1002	4	8102504
592	1002	4	8102505
593	1002	4	8102506
594	1002	4	8102507
595	1002	4	8102508
596	1002	4	8102509
597	1002	4	8102510
598	1002	4	8102511
599	1002	4	8102512
600	1002	4	8102513
601	1002	4	8102514
602	1002	4	8102515
603	1002	4	8102516
604	1002	4	8102517
605	1002	4	8102518
606	1002	4	8102519
607	1002	4	8102520
608	1002	4	8102521
609	1003	4	8103501
610	1003	4	8103502
611	1003	4	8103503
612	1003	4	8103504
613	1003	4	8103505
614	1003	4	8103506
615	1003	4	8103507
616	1003	4	8103508
617	1003	4	8103509
618	1003	4	8103510
619	1003	4	8103511
620	1003	4	8103512
621	1003	4	8103513
622	1003	4	8103514
623	1003	4	8103515
624	1003	4	8103516
625	1003	4	8103517
626	1003	4	8103518
627	1003	4	8103519
628	1003	4	8103520
629	1003	4	8103521
630	1003	4	8103522
631	1003	4	8103523
632	1003	4	8103524
633	1003	4	8103525
634	1003	4	8103526
635	1003	4	8103527
636	1003	4	8103528
637	1004	4	8104501
638	1004	4	8104502
639	1004	4	8104503
640	1004	4	8104504
641	1004	4	8104505
642	1004	4	8104506
643	1004	4	8104507
644	1004	4	8104508
645	1004	4	8104509
646	1004	4	8104510
647	1004	4	8104511
648	1004	4	8104512
649	1004	4	8104513
650	1004	4	8104514
651	1004	4	8104515
652	1004	4	8104516
653	1004	4	8104517
654	1004	4	8104518
655	1004	4	8104519
656	1004	4	8104520
657	1004	4	8104521
658	1004	4	8104522
659	1004	4	8104523
660	1004	4	8104524
661	1004	4	8104525
662	1004	4	8104526
663	1004	4	8104527
664	1004	4	8104528
665	1005	4	8105501
666	1005	4	8105502
667	1005	4	8105503
668	1005	4	8105504
669	1005	4	8105505
670	1005	4	8105506
671	1005	4	8105507
672	1005	4	8105508
673	1005	4	8105509
674	1005	4	8105510
675	1005	4	8105511
676	1005	4	8105512
677	1005	4	8105513
678	1005	4	8105514
679	1005	4	8105515
680	1005	4	8105516
681	1005	4	8105517
682	1005	4	8105518
683	1005	4	8105519
684	1005	4	8105520
685	1005	4	8105521
686	1005	4	8105522
687	1005	4	8105523
688	1005	4	8105524
689	1005	4	8105525
690	1005	4	8105526
691	1005	4	8105527
692	1005	4	8105528
693	1005	4	8105529
694	1005	4	8105530
695	1005	4	8105531
696	1005	4	8105532
697	1006	4	8106501
698	1006	4	8106502
699	1006	4	8106503
700	1006	4	8106504
701	1006	4	8106505
702	1006	4	8106506
703	1006	4	8106507
704	1006	4	8106508
705	1006	4	8106509
706	1006	4	8106510
707	1006	4	8106511
708	1006	4	8106512
709	1006	4	8106513
710	1006	4	8106514
711	1006	4	8106515
712	1006	4	8106516
713	1006	4	8106517
714	1006	4	8106518
715	1006	4	8106519
716	1006	4	8106520
717	1006	4	8106521
718	1006	4	8106522
719	1006	4	8106523
720	1006	4	8106524
721	1006	4	8106525
722	1006	4	8106526
723	1006	4	8106527
724	1006	4	8106528
725	1006	4	8106529
726	1006	4	8106530
727	1006	4	8106531
728	1006	4	8106532
729	1006	4	8106533
730	1006	4	8106534
731	1006	4	8106535
732	1006	4	8106536
