流水	组合名	前置任务	调查事件描述	图鉴1	头像1条件类型	头像1性别	头像1目标	头像1参数	头像1描述	头像1引导行为类型	头像1引导对象	头像1引导场景	头像1引导坐标	图鉴2	头像2条件类型	头像2性别	头像2目标	头像2参数	头像2描述	头像2引导行为类型	头像2引导对象	头像2引导场景	头像2引导坐标	图鉴3	头像3条件类型	头像3性别	头像3目标	头像3参数	头像3描述	头像3引导行为类型	头像3引导对象	头像3引导场景	头像3引导坐标	图鉴4	头像4条件类型	头像4性别	头像4目标	头像4参数	头像4描述	头像4引导行为类型	头像4引导对象	头像4引导场景	头像4引导坐标	图鉴5	头像5条件类型	头像5性别	头像5目标	头像5参数	头像5描述	头像5引导行为类型	头像5引导对象	头像5引导场景	头像5引导坐标	特殊奖励	冒险点奖励
9	ConquerName_9	0	ResearchEventDes_09	100007	5	0	pet_154	1	Conquer_TaskDes_901	5	LinkUI:AdventureBookPanel;2;200011;1	0		100001	1	0	100001	500	Conquer_TaskDes_902	2	monster10002001	1	-35.9, -0.6, 40.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1	300
10	ConquerName_10	0	ResearchEventDes_10	100008	1	0	100008	50	Conquer_TaskDes_1001	2	monster10002009	1	27.3, -5.2, -56.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3	300
11	ConquerName_11	0	ResearchEventDes_11	100009	5	0	pet_186	1	Conquer_TaskDes_1101	5	LinkUI:AdventureBookPanel;2;200042;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item101040101015,3	300
12	ConquerName_12	0	ResearchEventDes_12	100009	1	0	100009	10	Conquer_TaskDes_1201	2	monster10002010	1	47.6, 3.8, 42.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,2	300
13	ConquerName_13	0	ResearchEventDes_13	100010	1	0	100010	1	Conquer_TaskDes_1301	1	door_30031	1	57.7, 4.1, 58.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,2	300
14	ConquerName_14	0	ResearchEventDes_14	100010	4	0	item101050101001	1	Conquer_TaskDes_1401	1	door_30031	1	57.7, 4.1, 58.3	100075	1	0	100075	1	Conquer_TaskDes_1402	1	door_30051	6	33.5, -4.9, -59.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,2	300
15	ConquerName_15	0	ResearchEventDes_15	100010	5	0	ride_105	1	Conquer_TaskDes_1501	5	LinkUI:AdventureBookPanel;2;200057;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1	300
16	ConquerName_16	0	ResearchEventDes_16	100011	1	0	100011	50	Conquer_TaskDes_1601	2	monster10003001	3	-29.6, 0.2, 6.8	100014	1	0	100014	50	Conquer_TaskDes_1602	2	monster10003005	3	-6.0, 0.4, 7.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,2	300
17	ConquerName_17	0	ResearchEventDes_17	100012	1	0	100012	500	Conquer_TaskDes_1701	2	monster10003002	3	-13.3, 0.2, -6.0	100011	1	0	100011	500	Conquer_TaskDes_1702	2	monster10003001	3	-29.6, 0.2, 6.8	100013	1	0	100013	500	Conquer_TaskDes_1703	2	monster10003004	3	12.6, 0.2, 0.4	0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1	300
18	ConquerName_18	0	ResearchEventDes_18	100013	5	0	pet_156	1	Conquer_TaskDes_1801	5	LinkUI:AdventureBookPanel;2;200013;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,2	300
19	ConquerName_19	0	ResearchEventDes_19	100014	5	0	pet_121	1	Conquer_TaskDes_1901	5	LinkUI:AdventureBookPanel;2;200005;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item101040101015,2	300
20	ConquerName_20	0	ResearchEventDes_20	100015	1	0	100015	1000	Conquer_TaskDes_2001	2	monster10003006	3	35.2, 0.1, 7.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3;item100200000701,1	300
21	ConquerName_21	0	ResearchEventDes_21	100016	1	0	100016	2500	Conquer_TaskDes_2101	2	monster10003007	3	52.5, 0.1, -5.5	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item101040101015,5;item100200000101,2	300
22	ConquerName_22	0	ResearchEventDes_22	100017	1	0	100017	2500	Conquer_TaskDes_2201	2	monster10003009	3	1.2, 0.2, 35.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,3	300
23	ConquerName_23	0	ResearchEventDes_23	100018	1	0	100018	1000	Conquer_TaskDes_2301	2	monster10003010	3	-5.8, 0.3, 43.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1	300
24	ConquerName_24	0	ResearchEventDes_24	100019	5	0	pet_131	1	Conquer_TaskDes_2401	5	LinkUI:AdventureBookPanel;2;200007;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3	300
25	ConquerName_25	0	ResearchEventDes_25	100020	5	0	pet_176	1	Conquer_TaskDes_2501	5	LinkUI:AdventureBookPanel;2;200033;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item101040101015,3	300
26	ConquerName_26	0	ResearchEventDes_26	100022	1	0	100022	1	Conquer_TaskDes_2601	1	door_30021	3	5.9, 2.8, 59.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,1	300
27	ConquerName_27	0	ResearchEventDes_27	100023	1	0	100023	3	Conquer_TaskDes_2701	3	door_30021	3	5.9, 2.8, 59.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,2	300
28	ConquerName_28	0	ResearchEventDes_28	100023	5	0	pet_194	1	Conquer_TaskDes_2801	5	LinkUI:AdventureBookPanel;2;200047;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,2	300
29	ConquerName_29	0	ResearchEventDes_29	100024	1	0	100024	5	Conquer_TaskDes_2901	1	door_30021	3	5.9, 2.8, 59.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1	300
30	ConquerName_30	0	ResearchEventDes_30	100024	4	0	item101050101002	2	Conquer_TaskDes_3001	1	door_30021	3	5.9, 2.8, 59.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3	300
31	ConquerName_31	0	ResearchEventDes_31	100024	2	0	1028	10	Conquer_TaskDes_3101	1	door_30021	3	5.9, 2.8, 59.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item101040101015,3	300
32	ConquerName_32	0	ResearchEventDes_32	100026	1	0	100026	100	Conquer_TaskDes_3201	2	monster10004002	4	51.7, 5.5, 7.4	100034	1	0	100034	100	Conquer_TaskDes_3202	2	monster10004010	4	-48.0, 3.7, -49.1	100035	1	0	100035	100	Conquer_TaskDes_3203	2	monster10004011	4	8.5, 6.9, 33.2	0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,3	300
33	ConquerName_33	0	ResearchEventDes_33	100027	1	0	100027	1000	Conquer_TaskDes_3301	2	monster10004003	4	1.6, 4.8, -35.2	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3;item100200000301,1	300
34	ConquerName_34	0	ResearchEventDes_34	100028	5	0	baby_111	1	Conquer_TaskDes_3401	5	LinkUI:AdventureBookPanel;2;200069;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111016,15	300
35	ConquerName_35	0	ResearchEventDes_35	100029	5	0	pet_166	1	Conquer_TaskDes_3501	5	LinkUI:AdventureBookPanel;2;200023;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,2	300
36	ConquerName_36	0	ResearchEventDes_36	100030	1	0	100030	1000	Conquer_TaskDes_3601	2	monster10004006	4	-37.3, 10.6, -83.3	100032	5	0	pet_160	1	Conquer_TaskDes_3602	5	LinkUI:AdventureBookPanel;2;200017;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1	300
37	ConquerName_37	0	ResearchEventDes_37	100031	5	0	pet_141	1	Conquer_TaskDes_3701	5	LinkUI:AdventureBookPanel;2;200009;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,5	300
38	ConquerName_38	0	ResearchEventDes_38	100032	1	0	100032	1000	Conquer_TaskDes_3801	2	monster10004008	4	-24.8, 3.7, -46.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,3;item100200000601,1	300
39	ConquerName_39	0	ResearchEventDes_39	100033	5	0	pet_184	1	Conquer_TaskDes_3901	5	LinkUI:AdventureBookPanel;2;200040;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,2	300
40	ConquerName_40	0	ResearchEventDes_40	100026	1	0	100026	1000	Conquer_TaskDes_4001	2	monster10004002	4	51.7, 5.5, 7.4	100034	1	0	100034	1000	Conquer_TaskDes_3202	2	monster10004010	4	-48.0, 3.7, -49.1	100035	1	0	100035	1000	Conquer_TaskDes_3203	2	monster10004011	4	8.5, 6.9, 33.2	0	0	0		0		0		0		0	0	0		0		0		0		item8103010121004,2	300
41	ConquerName_41	0	ResearchEventDes_41	100026	1	0	100026	3000	Conquer_TaskDes_4101	2	monster10004002	4	51.7, 5.5, 7.4	100034	1	0	100034	3000	Conquer_TaskDes_3202	2	monster10004010	4	-48.0, 3.7, -49.1	100035	1	0	100035	3000	Conquer_TaskDes_3203	2	monster10004011	4	8.5, 6.9, 33.2	0	0	0		0		0		0		0	0	0		0		0		0		item107999900003,1	300
42	ConquerName_42	0	ResearchEventDes_42	100098	2	0	1036	1	Conquer_TaskDes_4201	1	door_30031	1	57.7, 4.1, 58.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3	300
43	ConquerName_43	0	ResearchEventDes_43	100099	2	0	1030	5	Conquer_TaskDes_4301	1	door_30031	1	57.7, 4.1, 58.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,3	300
44	ConquerName_44	0	ResearchEventDes_44	100039	1	0	100039	1	Conquer_TaskDes_4401	1	door_30011	4	-60.5, 2.8, 16.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111016,15	300
45	ConquerName_45	0	ResearchEventDes_45	100040	1	0	100040	5	Conquer_TaskDes_4501	1	door_30011	4	-60.5, 2.8, 16.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,2	300
46	ConquerName_46	0	ResearchEventDes_46	100041	1	0	100041	10	Conquer_TaskDes_4601	1	door_30011	4	-60.5, 2.8, 16.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1	300
47	ConquerName_47	0	ResearchEventDes_47	100042	1	0	100042	20	Conquer_TaskDes_4701	1	door_30011	4	-60.5, 2.8, 16.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,5	300
48	ConquerName_48	0	ResearchEventDes_48	100043	4	0	item101050101003	3	Conquer_TaskDes_4801	1	door_30011	4	-60.5, 2.8, 16.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,5	300
49	ConquerName_49	0	ResearchEventDes_49	100043	5	0	ride_107	1	Conquer_TaskDes_4901	5	LinkUI:AdventureBookPanel;2;200058;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,5	300
50	ConquerName_50	0	ResearchEventDes_50	100044	1	0	100044	1	Conquer_TaskDes_5001	5	LinkUI:AdventurePanel	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8100000000012,2	300
51	ConquerName_51	0	ResearchEventDes_51	100090	1	0	100090	1	Conquer_TaskDes_5101	5	LinkUI:AdventurePanel	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121004,2	300
52	ConquerName_52	0	ResearchEventDes_52	100045	5	0	pet_168	1	Conquer_TaskDes_5201	5	LinkUI:AdventureBookPanel;2;200025;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,3	300
53	ConquerName_53	0	ResearchEventDes_53	100046	1	0	100046	2000	Conquer_TaskDes_5301	2	monster10005002	5	-0.1, 3.8, 21.4	100047	1	0	100047	2000	Conquer_TaskDes_5302	2	monster10005003	5	7.2, 4.4, -3.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1;item100200000401,2	300
54	ConquerName_54	0	ResearchEventDes_54	100046	5	0	pet_162	1	Conquer_TaskDes_5401	5	LinkUI:AdventureBookPanel;2;200019;1	0		100047	5	0	pet_164	1	Conquer_TaskDes_5402	5	LinkUI:AdventureBookPanel;2;200021;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,5	300
55	ConquerName_55	0	ResearchEventDes_55	100048	1	0	100048	5000	Conquer_TaskDes_5501	2	monster10005004	5	3.8, 4.4, -28.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,8;item100200000501,2	300
56	ConquerName_56	0	ResearchEventDes_56	100049	1	0	100049	5000	Conquer_TaskDes_5601	2	monster10005005	5	-24.5, 4.5, 36.5	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,8	300
57	ConquerName_57	0	ResearchEventDes_57	100050	1	0	100050	800	Conquer_TaskDes_5701	2	monster10005006	5	-33.2, 4.5, 37.7	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1;item100200000801,1	300
58	ConquerName_58	0	ResearchEventDes_58	100051	5	0	pet_182	1	Conquer_TaskDes_5801	5	LinkUI:AdventureBookPanel;2;200038;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,5	300
59	ConquerName_59	0	ResearchEventDes_59	100053	5	0	pet_192	1	Conquer_TaskDes_5901	5	LinkUI:AdventureBookPanel;2;200046;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121004,3	300
60	ConquerName_60	0	ResearchEventDes_60	100054	1	0	100054	5	Conquer_TaskDes_6001	1	door_30041	5	28.4, 8.0, 60.9	100055	1	0	100055	5	Conquer_TaskDes_6002	1	door_30041	5	28.4, 8.0, 60.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900003,1	300
61	ConquerName_61	0	ResearchEventDes_61	100055	5	0	pet_190	1	Conquer_TaskDes_6101	5	LinkUI:AdventureBookPanel;2;200045;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,8	300
62	ConquerName_62	0	ResearchEventDes_62	100056	2	0	1032	5	Conquer_TaskDes_6201	1	door_30041	5	28.4, 8.0, 60.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,3	300
63	ConquerName_63	0	ResearchEventDes_63	100056	4	0	item101050101004	5	Conquer_TaskDes_6301	1	door_30041	5	28.4, 8.0, 60.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,8	300
64	ConquerName_64	0	ResearchEventDes_64	100059	1	0	100059	5	Conquer_TaskDes_6401	1	door_350011	6	25.8, 4.5, 90.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,3	300
65	ConquerName_65	0	ResearchEventDes_65	100061	2	0	1100	5	Conquer_TaskDes_6501	1	door_350011	6	25.8, 4.5, 90.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8100000000012,4	300
66	ConquerName_66	0	ResearchEventDes_66	100062	1	0	100062	10	Conquer_TaskDes_6601	1	door_350011	6	25.8, 4.5, 90.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121004,3	300
67	ConquerName_67	0	ResearchEventDes_67	100063	1	0	100063	5000	Conquer_TaskDes_6701	2	monster10006009	6	29.0, 0.2, 18.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,2	300
68	ConquerName_68	0	ResearchEventDes_68	100064	1	0	100064	5000	Conquer_TaskDes_6801	2	monster10006002	6	-9.2, -2.1, -60.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,5;item100200001001,3	300
69	ConquerName_69	0	ResearchEventDes_69	100065	5	0	pet_172	1	Conquer_TaskDes_6901	5	LinkUI:AdventureBookPanel;2;200029;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111016,20	300
70	ConquerName_70	0	ResearchEventDes_70	100066	5	0	pet_174	1	Conquer_TaskDes_7001	5	LinkUI:AdventureBookPanel;2;200031;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,2	300
71	ConquerName_71	0	ResearchEventDes_71	100067	1	0	100067	2500	Conquer_TaskDes_7101	2	monster10006005	6	4.4, -0.1, -13.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111018,2;item100200000301,2	300
72	ConquerName_72	0	ResearchEventDes_72	100068	1	0	100068	10000	Conquer_TaskDes_7201	2	monster10006006	6	-27.3, -0.2, 26.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,10;item100200000401,2	300
73	ConquerName_73	0	ResearchEventDes_73	100069	1	0	100069	2500	Conquer_TaskDes_7301	2	monster10006007	6	42.7, -5.0, -57.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000000,2	300
74	ConquerName_74	0	ResearchEventDes_74	100070	1	0	100070	5000	Conquer_TaskDes_7401	2	monster10006008	6	-11.2, 1.0, -20.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900003,2	300
75	ConquerName_75	0	ResearchEventDes_75	100074	1	0	100074	5000	Conquer_TaskDes_7501	2	monster10006013	6	-7.2, 0.9, 58.1	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,2;item100200000901,2	300
76	ConquerName_76	0	ResearchEventDes_76	100075	2	0	1033	5	Conquer_TaskDes_7601	1	door_30051	6	33.5, -4.9, -59.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3	300
77	ConquerName_77	0	ResearchEventDes_77	100077	2	0	1034	5	Conquer_TaskDes_7701	1	door_30051	6	33.5, -4.9, -59.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,4	300
78	ConquerName_78	0	ResearchEventDes_78	100077	4	0	item101050101005	1	Conquer_TaskDes_7801	1	door_30051	6	33.5, -4.9, -59.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,10	300
79	ConquerName_79	0	ResearchEventDes_79	100080	1	0	100080	3	Conquer_TaskDes_7901	1	door_350021	6	13.9, 4.4, 95.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,2	300
80	ConquerName_80	0	ResearchEventDes_80	100080	5	0	pet_305	1	Conquer_TaskDes_8001	1	door_350021	6	13.9, 4.4, 95.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,10	300
81	ConquerName_81	0	ResearchEventDes_81	100086	2	0	1101	5	Conquer_TaskDes_8101	1	door_350021	6	13.9, 4.4, 95.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,5	300
82	ConquerName_82	0	ResearchEventDes_82	100086	5	0	ride_109	1	Conquer_TaskDes_8201	1	door_350021	6	13.9, 4.4, 95.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8100000000012,4	300
83	ConquerName_83	0	ResearchEventDes_83	100003	1	0	100003	1000	Conquer_TaskDes_8301	2	monster10002003	1	-10.0, -0.5, 19.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3	300
84	ConquerName_84	0	ResearchEventDes_84	100014	1	0	100014	2500	Conquer_TaskDes_8401	2	monster10003005	3	-5.9, -0.2, 2.4	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,3;item100200000401,1	300
85	ConquerName_85	0	ResearchEventDes_85	100019	1	0	100019	500	Conquer_TaskDes_8501	2	monster10003011	3	-4.5, 0.4, 6.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1;item100200000701,1	300
86	ConquerName_86	0	ResearchEventDes_86	100020	1	0	100020	200	Conquer_TaskDes_8601	2	monster10003012	3	16.5, 0.2, 35.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3	300
87	ConquerName_87	0	ResearchEventDes_87	100028	1	0	100028	5000	Conquer_TaskDes_8701	2	monster10004004	4	30.1, 4.8, -52.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,5	300
88	ConquerName_88	0	ResearchEventDes_88	100029	1	0	100029	3000	Conquer_TaskDes_8801	2	monster10004005	4	8.8, 4.8, -53.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,2;item100200000801,1	300
89	ConquerName_89	0	ResearchEventDes_89	100030	5	0	pet_170	1	Conquer_TaskDes_8901	5	LinkUI:AdventureBookPanel;2;200027;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,3	300
90	ConquerName_90	0	ResearchEventDes_90	100031	1	0	100031	1000	Conquer_TaskDes_9001	2	monster10004007	4	-51.1, 10.7, -90.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,5;item100200000901,1	300
