技能编号	默认状态	技能图标	技能升级对应物品	技能名称	技能效果说明	技能品质	技能最大等级	学习条件	学习类型限制	技能类型
1015	0	sdxt_skill_06_3	item127000065015	skillname_15	skilldescribe_15	3	10	1,30;2,1500;3,1700	3,4,7,8	1
1016	0	sdxt_skill_07_3	item127000065016	skillname_16	skilldescribe_16	3	10	1,30;2,1500;3,1700	3	1
1017	0	sdxt_skill_20_3	item127000065017	skillname_17	skilldescribe_17	3	10	1,30;2,1500;3,1700	6	1
1018	0	sdxt_skill_17_3	item127000065018	skillname_18	skilldescribe_18	3	10	1,30;2,1500;3,1700	3,4,7,8	1
1019	0	sdxt_skill_19_3	item127000065019	skillname_19	skilldescribe_19	3	10	1,30;2,1500;3,1700	1,2,5,6	1
1020	0	sdxt_skill_12_3	item127000065020	skillname_20	skilldescribe_20	3	10	1,30;2,1500;3,1700	1,2,3,4	1
1021	0	sdxt_skill_08_3	item127000065021	skillname_21	skilldescribe_21	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	3
1022	0	sdxt_skill_14_3	item127000065022	skillname_22	skilldescribe_22	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	3
1023	0	sdxt_skill_16_3	item127000065023	skillname_23	skilldescribe_23	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	3
1024	0	sdxt_skill_13_3	item127000065024	skillname_24	skilldescribe_24	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	2
1025	0	sdxt_skill_09_3	item127000065025	skillname_25	skilldescribe_25	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	2
1026	0	sdxt_skill_15_3	item127000065026	skillname_26	skilldescribe_26	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	2
1027	0	sdxt_skill_11_3	item127000065027	skillname_27	skilldescribe_27	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	2
1028	0	sdxt_skill_18_3	item127000065028	skillname_28	skilldescribe_28	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	2
1029	0	sdxt_skill_10_3	item127000065029	skillname_29	skilldescribe_29	3	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	2
1030	0	sdxt_skill_01_2	item127000065030	skillname_30	skilldescribe_30	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	1
1031	0	sdxt_skill_02_2	item127000065031	skillname_31	skilldescribe_31	4	10	1,30;2,2300;3,2600	1,2,3,4	1
1032	0	sdxt_skill_03_2	item127000065032	skillname_32	skilldescribe_32	4	10	1,30;2,2300;3,2600	6	1
1033	0	sdxt_skill_04_2	item127000065033	skillname_33	skilldescribe_33	4	10	1,30;2,2300;3,2600	3,4,7,8	1
1034	0	sdxt_skill_05_2	item127000065034	skillname_34	skilldescribe_34	4	10	1,30;2,2300;3,2600	2	1
1035	0	sdxt_skill_06_2	item127000065035	skillname_35	skilldescribe_35	4	10	1,30;2,2300;3,2600	3,4,7,8	1
1036	0	sdxt_skill_07_2	item127000065036	skillname_36	skilldescribe_36	4	10	1,30;2,2300;3,2600	3,7,8	1
1037	0	sdxt_skill_20_2	item127000065037	skillname_37	skilldescribe_37	4	10	1,30;2,2300;3,2600	3	1
1038	0	sdxt_skill_17_2	item127000065038	skillname_38	skilldescribe_38	4	10	1,30;2,2300;3,2600	6	1
1039	0	sdxt_skill_19_2	item127000065039	skillname_39	skilldescribe_39	4	10	1,30;2,2300;3,2600	3,6,7,8	1
1040	0	sdxt_skill_12_2	item127000065040	skillname_40	skilldescribe_40	4	10	1,30;2,2300;3,2600	1,2	1
1041	0	sdxt_skill_08_2	item127000065041	skillname_41	skilldescribe_41	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	3
1042	0	sdxt_skill_14_2	item127000065042	skillname_42	skilldescribe_42	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	3
1043	0	sdxt_skill_16_2	item127000065043	skillname_43	skilldescribe_43	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	3
1044	0	sdxt_skill_13_2	item127000065044	skillname_44	skilldescribe_44	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	2
1045	0	sdxt_skill_09_2	item127000065045	skillname_45	skilldescribe_45	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	2
1046	0	sdxt_skill_15_2	item127000065046	skillname_46	skilldescribe_46	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	2
1047	0	sdxt_skill_11_2	item127000065047	skillname_47	skilldescribe_47	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	2
1048	0	sdxt_skill_18_2	item127000065048	skillname_48	skilldescribe_48	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	2
1049	0	sdxt_skill_10_2	item127000065049	skillname_49	skilldescribe_49	4	10	1,30;2,2300;3,2600	1,2,3,4,5,6,7,8	2
1050	0	sdxt_skill_01_1	item127000065050	skillname_50	skilldescribe_50	5	10	1,30;2,3100;3,3400	1,4	1
1051	0	sdxt_skill_02_1	item127000065051	skillname_51	skilldescribe_51	5	10	1,30;2,3100;3,3400	2,5,6	1
1052	0	sdxt_skill_03_1	item127000065052	skillname_52	skilldescribe_52	5	10	1,30;2,3100;3,3400	8	1
1053	0	sdxt_skill_04_1	item127000065053	skillname_53	skilldescribe_53	5	10	1,30;2,3100;3,3400	1,2	1
1054	0	sdxt_skill_05_1	item127000065054	skillname_54	skilldescribe_54	5	10	1,30;2,3100;3,3400	1,4	1
1055	0	sdxt_skill_06_1	item127000065055	skillname_55	skilldescribe_55	5	10	1,30;2,3100;3,3400	6	1
1056	0	sdxt_skill_07_1	item127000065056	skillname_56	skilldescribe_56	5	10	1,30;2,3100;3,3400	8	1
1057	0	sdxt_skill_20_1	item127000065057	skillname_57	skilldescribe_57	5	10	1,30;2,3100;3,3400	5	1
1058	0	sdxt_skill_17_1	item127000065058	skillname_58	skilldescribe_58	5	10	1,30;2,3100;3,3400	1,4	1
1059	0	sdxt_skill_19_1	item127000065059	skillname_59	skilldescribe_59	5	10	1,30;2,3100;3,3400	6	1
1060	0	sdxt_skill_12_1	item127000065060	skillname_60	skilldescribe_60	5	10	1,30;2,3100;3,3400	8	1
1061	0	sdxt_skill_08_1	item127000065061	skillname_61	skilldescribe_61	5	10	1,30;2,3100;3,3400	3,7,8	1
1062	0	sdxt_skill_14_1	item127000065062	skillname_62	skilldescribe_62	5	10	1,30;2,3100;3,3400	8	3
1063	0	sdxt_skill_16_1	item127000065063	skillname_63	skilldescribe_63	5	10	1,30;2,3100;3,3400	1,4	3
1064	0	sdxt_skill_13_1	item127000065064	skillname_64	skilldescribe_64	5	10	1,30;2,3100;3,3400	6	3
1065	0	sdxt_skill_09_1	item127000065065	skillname_65	skilldescribe_65	5	10	1,30;2,3100;3,3400	1,2,3,4,5,6,7,8	2
1066	0	sdxt_skill_15_1	item127000065066	skillname_66	skilldescribe_66	5	10	1,30;2,3100;3,3400	1,2,3,4,5,6,7,8	2
1067	0	sdxt_skill_11_1	item127000065067	skillname_67	skilldescribe_67	5	10	1,30;2,3100;3,3400	1,2,3,4,5,6,7,8	2
1068	0	sdxt_skill_18_1	item127000065068	skillname_68	skilldescribe_68	5	10	1,30;2,3100;3,3400	1,2,3,4,5,6,7,8	2
1069	0	sdxt_skill_10_1	item127000065069	skillname_69	skilldescribe_69	5	10	1,30;2,3100;3,3400	1,2,3,4,5,6,7,8	2
