流水	技能ID	技能大类	技能层级	技能icon	技能名称	技能描述	技能类型	等级	升级消耗	加成内容	解锁条件
32	10107	1	3	skill_401504	SailSkillName10107	SailSkillDes10107	4	2	item1041,500	10;10	
33	10107	1	3	skill_401504	SailSkillName10107	SailSkillDes10107	4	3	item1041,800	10;15	
34	10107	1	3	skill_401504	SailSkillName10107	SailSkillDes10107	4	4	item1041,1200	10;20	
35	10107	1	3	skill_401504	SailSkillName10107	SailSkillDes10107	4	5	item1041,1500	10;25	
36	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	1	item1041,500	1;70128	10104,3
37	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	2	item1041,800	2;70128	
38	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	3	item1041,1200	3;70128	
39	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	4	item1041,1500	4;70128	
40	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	5	item1041,2000	5;70128	
41	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	6	item1041,2500	6;70128	
42	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	7	item1041,3000	7;70128	
43	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	8	item1041,3500	8;70128	
44	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	9	item1041,4000	9;70128	
45	10108	1	4	skill_1414	SailSkillName10108	SailSkillDes10108	6	10	item1041,4500	10;70128	
46	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	1	item1041,500	1	10104,3
47	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	2	item1041,800	2	
48	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	3	item1041,1200	3	
49	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	4	item1041,1500	4	
50	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	5	item1041,2000	5	
51	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	6	item1041,2500	6	
52	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	7	item1041,3000	7	
53	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	8	item1041,3500	8	
54	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	9	item1041,4000	9	
55	10109	1	4	skill_10011	SailSkillName10109	SailSkillDes10109	7	10	item1041,4500	10	
56	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	1	item1041,500	2;10	10105,3
57	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	2	item1041,800	4;10	
58	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	3	item1041,1200	6;10	
59	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	4	item1041,1500	8;10	
60	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	5	item1041,2000	10;10	
61	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	6	item1041,2500	12;10	
62	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	7	item1041,3000	14;10	
63	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	8	item1041,3500	16;10	
64	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	9	item1041,4000	18;10	
65	10110	1	4	skill_400602	SailSkillName10110	SailSkillDes10110	9	10	item1041,4500	20;10	
66	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	1	item1041,500	10	10105,3
67	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	2	item1041,800	20	
68	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	3	item1041,1200	30	
69	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	4	item1041,1500	40	
70	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	5	item1041,2000	50	
71	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	6	item1041,2500	60	
72	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	7	item1041,3000	70	
73	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	8	item1041,3500	80	
74	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	9	item1041,4000	90	
75	10111	1	4	hallowskill_1004	SailSkillName10111	SailSkillDes10111	10	10	item1041,4500	100	
76	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	1	item1041,500	2;10	10106,3
77	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	2	item1041,800	4;10	
78	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	3	item1041,1200	6;10	
79	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	4	item1041,1500	8;10	
80	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	5	item1041,2000	10;10	
81	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	6	item1041,2500	12;10	
82	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	7	item1041,3000	14;10	
83	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	8	item1041,3500	16;10	
84	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	9	item1041,4000	18;10	
85	10112	1	4	skill_401107	SailSkillName10112	SailSkillDes10112	12	10	item1041,4500	20;10	
86	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	1	item1041,500	dg_bf445_1_sail::buff_7;1	10106,3
87	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	2	item1041,800	dg_bf445_1_sail::buff_7;2	
88	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	3	item1041,1200	dg_bf445_1_sail::buff_7;3	
89	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	4	item1041,1500	dg_bf445_1_sail::buff_7;4	
90	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	5	item1041,2000	dg_bf445_1_sail::buff_7;5	
91	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	6	item1041,2500	dg_bf445_1_sail::buff_7;6	
92	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	7	item1041,3000	dg_bf445_1_sail::buff_7;7	
93	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	8	item1041,3500	dg_bf445_1_sail::buff_7;8	
94	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	9	item1041,4000	dg_bf445_1_sail::buff_7;9	
95	10113	1	4	skill_400406	SailSkillName10113	SkillDesSpecial_Sail	16	10	item1041,4500	dg_bf445_1_sail::buff_7;10	
96	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	1	item1041,500	dg_bf445_1_sail::buff_8;1	10107,3
97	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	2	item1041,800	dg_bf445_1_sail::buff_8;2	
98	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	3	item1041,1200	dg_bf445_1_sail::buff_8;3	
99	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	4	item1041,1500	dg_bf445_1_sail::buff_8;4	
100	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	5	item1041,2000	dg_bf445_1_sail::buff_8;5	
101	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	6	item1041,2500	dg_bf445_1_sail::buff_8;6	
102	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	7	item1041,3000	dg_bf445_1_sail::buff_8;7	
103	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	8	item1041,3500	dg_bf445_1_sail::buff_8;8	
104	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	9	item1041,4000	dg_bf445_1_sail::buff_8;9	
105	10114	1	4	skill_10003	SailSkillName10114	SkillDesSpecial_Sail	16	10	item1041,4500	dg_bf445_1_sail::buff_8;10	
106	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	1	item1041,500	32,20	10107,3
107	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	2	item1041,800	32,40	
108	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	3	item1041,1200	32,60	
109	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	4	item1041,1500	32,80	
110	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	5	item1041,2000	32,100	
111	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	6	item1041,2500	32,120	
112	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	7	item1041,3000	32,140	
113	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	8	item1041,3500	32,160	
114	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	9	item1041,4000	32,180	
115	10115	1	4	skill_4005	SailSkillName10115	SailSkillDes10115	17	10	item1041,4500	32,200	
116	20101	2	1	skill_11405	SailSkillName20101	SailSkillDes20101	17	1	item1041,200	3,100	
117	20101	2	1	skill_11405	SailSkillName20101	SailSkillDes20101	17	2	item1041,300	3,150	
118	20101	2	1	skill_11405	SailSkillName20101	SailSkillDes20101	17	3	item1041,400	3,200	
119	20101	2	1	skill_11405	SailSkillName20101	SailSkillDes20101	17	4	item1041,500	3,250	
120	20101	2	1	skill_11405	SailSkillName20101	SailSkillDes20101	17	5	item1041,600	3,300	
121	20102	2	2	skill_401601	SailSkillName20102	SailSkillDes20102	17	1	item1041,300	51,100	20101,4
122	20102	2	2	skill_401601	SailSkillName20102	SailSkillDes20102	17	2	item1041,500	51,150	
123	20102	2	2	skill_401601	SailSkillName20102	SailSkillDes20102	17	3	item1041,800	51,200	
124	20102	2	2	skill_401601	SailSkillName20102	SailSkillDes20102	17	4	item1041,1200	51,250	
125	20102	2	2	skill_401601	SailSkillName20102	SailSkillDes20102	17	5	item1041,2000	51,300	
126	20103	2	2	skill_400109	SailSkillName20103	SailSkillDes20103	17	1	item1041,300	52,100	20101,4
127	20103	2	2	skill_400109	SailSkillName20103	SailSkillDes20103	17	2	item1041,500	52,150	
128	20103	2	2	skill_400109	SailSkillName20103	SailSkillDes20103	17	3	item1041,800	52,200	
129	20103	2	2	skill_400109	SailSkillName20103	SailSkillDes20103	17	4	item1041,1200	52,250	
130	20103	2	2	skill_400109	SailSkillName20103	SailSkillDes20103	17	5	item1041,2000	52,300	
131	20104	2	3	skill_1017	SailSkillName20104	SailSkillDes20104	17	1	item1041,300	30,100	20102,3
132	20104	2	3	skill_1017	SailSkillName20104	SailSkillDes20104	17	2	item1041,500	30,200	
133	20104	2	3	skill_1017	SailSkillName20104	SailSkillDes20104	17	3	item1041,800	30,300	
134	20104	2	3	skill_1017	SailSkillName20104	SailSkillDes20104	17	4	item1041,1200	30,400	
135	20104	2	3	skill_1017	SailSkillName20104	SailSkillDes20104	17	5	item1041,2000	30,500	
136	20105	2	3	skill_4002	SailSkillName20105	SailSkillDes20105	17	1	item1041,300	32,100	20102,3
137	20105	2	3	skill_4002	SailSkillName20105	SailSkillDes20105	17	2	item1041,500	32,200	
138	20105	2	3	skill_4002	SailSkillName20105	SailSkillDes20105	17	3	item1041,800	32,300	
139	20105	2	3	skill_4002	SailSkillName20105	SailSkillDes20105	17	4	item1041,1200	32,400	
140	20105	2	3	skill_4002	SailSkillName20105	SailSkillDes20105	17	5	item1041,2000	32,500	
141	20106	2	3	skill_1404	SailSkillName20106	SailSkillDes20106	17	1	item1041,300	31,100	20103,3
142	20106	2	3	skill_1404	SailSkillName20106	SailSkillDes20106	17	2	item1041,500	31,200	
143	20106	2	3	skill_1404	SailSkillName20106	SailSkillDes20106	17	3	item1041,800	31,300	
144	20106	2	3	skill_1404	SailSkillName20106	SailSkillDes20106	17	4	item1041,1200	31,400	
145	20106	2	3	skill_1404	SailSkillName20106	SailSkillDes20106	17	5	item1041,2000	31,500	
146	20107	2	3	skill_400507	SailSkillName20107	SailSkillDes20107	17	1	item1041,300	33,100	20103,3
147	20107	2	3	skill_400507	SailSkillName20107	SailSkillDes20107	17	2	item1041,500	33,200	
148	20107	2	3	skill_400507	SailSkillName20107	SailSkillDes20107	17	3	item1041,800	33,300	
149	20107	2	3	skill_400507	SailSkillName20107	SailSkillDes20107	17	4	item1041,1200	33,400	
150	20107	2	3	skill_400507	SailSkillName20107	SailSkillDes20107	17	5	item1041,2000	33,500	
151	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	1	item1041,500	3,50;1,500;6,10	20104,3
152	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	2	item1041,800	3,55;1,550;6,14	
153	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	3	item1041,1200	3,60;1,600;6,18	
154	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	4	item1041,1500	3,65;1,600;6,22	
155	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	5	item1041,2000	3,70;1,700;6,26	
156	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	6	item1041,2500	3,75;1,750;6,30	
157	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	7	item1041,3000	3,80;1,800;6,34	
158	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	8	item1041,3500	3,85;1,850;6,38	
159	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	9	item1041,4000	3,90;1,900;6,42	
160	20108	2	4	skill_50037	SailSkillName20108	SailSkillDes20108	17	10	item1041,4500	3,100;1,100;6,50	
161	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	1	item1041,500	3,50;1,500;12,100	20104,3
162	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	2	item1041,800	3,55;1,550;12,200	
163	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	3	item1041,1200	3,60;1,600;12,300	
164	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	4	item1041,1500	3,65;1,600;12,400	
165	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	5	item1041,2000	3,70;1,700;12,500	
166	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	6	item1041,2500	3,75;1,750;12,600	
167	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	7	item1041,3000	3,80;1,800;12,700	
168	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	8	item1041,3500	3,85;1,850;12,800	
169	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	9	item1041,4000	3,90;1,900;12,900	
170	20109	2	4	skill_60601	SailSkillName20109	SailSkillDes20109	17	10	item1041,4500	3,100;1,100;12,1000	
171	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	1	item1041,500	3,50;1,500;14,100	20104,3
172	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	2	item1041,800	3,55;1,550;14,200	
173	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	3	item1041,1200	3,60;1,600;14,300	
174	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	4	item1041,1500	3,65;1,600;14,400	
175	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	5	item1041,2000	3,70;1,700;14,500	
176	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	6	item1041,2500	3,75;1,750;14,600	
177	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	7	item1041,3000	3,80;1,800;14,700	
178	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	8	item1041,3500	3,85;1,850;14,800	
179	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	9	item1041,4000	3,90;1,900;14,900	
180	20110	2	4	skill_60461	SailSkillName20110	SailSkillDes20110	17	10	item1041,4500	3,100;1,100;14,1000	
181	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	1	item1041,500	3,50;1,500;147,300	20104,3
182	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	2	item1041,800	3,55;1,550;147,600	
183	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	3	item1041,1200	3,60;1,600;147,900	
184	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	4	item1041,1500	3,65;1,600;147,1200	
185	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	5	item1041,2000	3,70;1,700;147,1500	
186	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	6	item1041,2500	3,75;1,750;147,1800	
187	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	7	item1041,3000	3,80;1,800;147,2100	
188	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	8	item1041,3500	3,85;1,850;147,2400	
189	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	9	item1041,4000	3,90;1,900;147,2700	
190	20111	2	4	skill_60821	SailSkillName20111	SailSkillDes20111	17	10	item1041,4500	3,100;1,1000;147,3000	
191	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	1	item1041,500	3,50;1,500;137,300	20105,3
192	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	2	item1041,800	3,55;1,550;137,600	
193	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	3	item1041,1200	3,60;1,600;137,900	
194	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	4	item1041,1500	3,65;1,600;137,1200	
195	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	5	item1041,2000	3,70;1,700;137,1500	
196	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	6	item1041,2500	3,75;1,750;137,1800	
197	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	7	item1041,3000	3,80;1,800;137,2100	
198	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	8	item1041,3500	3,85;1,850;137,2400	
199	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	9	item1041,4000	3,90;1,900;137,2700	
200	20112	2	4	skill_401109	SailSkillName20112	SailSkillDes20112	17	10	item1041,4500	3,100;1,1000;137,3000	
201	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	1	item1041,500	3,50;1,500;141,300	20105,3
202	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	2	item1041,800	3,55;1,550;141,600	
203	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	3	item1041,1200	3,60;1,600;141,900	
204	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	4	item1041,1500	3,65;1,600;141,1200	
205	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	5	item1041,2000	3,70;1,700;141,1500	
206	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	6	item1041,2500	3,75;1,750;141,1800	
207	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	7	item1041,3000	3,80;1,800;141,2100	
208	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	8	item1041,3500	3,85;1,850;141,2400	
209	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	9	item1041,4000	3,90;1,900;141,2700	
210	20113	2	4	skill_400605	SailSkillName20113	SailSkillDes20113	17	10	item1041,4500	3,100;1,1000;141,3000	
211	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	1	item1041,500	3,50;1,500;144,300	20105,3
212	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	2	item1041,800	3,55;1,550;144,600	
213	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	3	item1041,1200	3,60;1,600;144,900	
214	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	4	item1041,1500	3,65;1,600;144,1200	
215	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	5	item1041,2000	3,70;1,700;144,1500	
216	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	6	item1041,2500	3,75;1,750;144,1800	
217	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	7	item1041,3000	3,80;1,800;144,2100	
218	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	8	item1041,3500	3,85;1,850;144,2400	
219	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	9	item1041,4000	3,90;1,900;144,2700	
220	20114	2	4	skill_61351	SailSkillName20114	SailSkillDes20114	17	10	item1041,4500	3,100;1,1000;144,3000	
221	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	1	item1041,500	3,50;1,500;139,300	20105,3
222	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	2	item1041,800	3,55;1,550;139,600	
223	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	3	item1041,1200	3,60;1,600;139,900	
224	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	4	item1041,1500	3,65;1,600;139,1200	
225	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	5	item1041,2000	3,70;1,700;139,1500	
226	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	6	item1041,2500	3,75;1,750;139,1800	
227	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	7	item1041,3000	3,80;1,800;139,2100	
228	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	8	item1041,3500	3,85;1,850;139,2400	
229	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	9	item1041,4000	3,90;1,900;139,2700	
230	20115	2	4	skill_60041	SailSkillName20115	SailSkillDes20115	17	10	item1041,4500	3,100;1,1000;139,3000	
231	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	1	item1041,500	4,50;1,500;54,10	20106,3
232	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	2	item1041,800	4,55;1,550;54,14	
233	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	3	item1041,1200	4,60;1,600;54,18	
234	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	4	item1041,1500	4,65;1,600;54,22	
235	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	5	item1041,2000	4,70;1,700;54,26	
236	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	6	item1041,2500	4,75;1,750;54,30	
237	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	7	item1041,3000	4,80;1,800;54,34	
238	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	8	item1041,3500	4,85;1,850;54,38	
239	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	9	item1041,4000	4,90;1,900;54,42	
240	20116	2	4	skill_50037	SailSkillName20116	SailSkillDes20116	17	10	item1041,4500	4,100;1,100;54,50	
241	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	1	item1041,500	4,50;1,500;105,300	20106,3
242	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	2	item1041,800	4,55;1,550;105,600	
243	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	3	item1041,1200	4,60;1,600;105,900	
244	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	4	item1041,1500	4,65;1,600;105,1200	
245	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	5	item1041,2000	4,70;1,700;105,1500	
246	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	6	item1041,2500	4,75;1,750;105,1800	
247	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	7	item1041,3000	4,80;1,800;105,2100	
248	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	8	item1041,3500	4,85;1,850;105,2400	
249	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	9	item1041,4000	4,90;1,900;105,2700	
