流水id	技能宝石升级属性类型	等级	镶嵌属性	升级至次级所需经验	重置所需材料
54	201	54	4,34;1,334;26,112;21,112	25500	item17908000000001,1
55	201	55	4,35;1,345;26,115;21,115	34000	item17908000000001,1
56	201	56	4,36;1,357;26,119;21,119	34000	item17908000000001,1
57	201	57	4,37;1,369;26,123;21,123	34000	item17908000000001,1
58	201	58	4,39;1,381;26,127;21,127	34000	item17908000000001,1
59	201	59	4,40;1,393;26,131;21,131	34000	item17908000000001,1
60	201	60	4,41;1,405;26,135;21,135	21000	item17908000000001,1
61	201	61	4,42;1,418;26,140;21,140	21000	item17908000000001,1
62	201	62	4,44;1,431;26,144;21,144	21000	item17908000000001,1
63	201	63	4,45;1,444;26,148;21,148	21000	item17908000000001,1
64	201	64	4,46;1,457;26,153;21,153	21000	item17908000000001,1
65	201	65	4,47;1,470;26,157;21,157	38500	item17908000000001,1
66	201	66	4,49;1,483;26,161;21,161	38500	item17908000000001,1
67	201	67	4,50;1,496;26,166;21,166	38500	item17908000000001,1
68	201	68	4,51;1,509;26,170;21,170	38500	item17908000000001,1
69	201	69	4,53;1,522;26,174;21,174	38500	item17908000000001,1
70	201	70	4,54;1,535;26,179;21,179	55500	item17908000000001,1
71	201	71	4,55;1,549;26,183;21,183	55500	item17908000000001,1
72	201	72	4,57;1,563;26,188;21,188	55500	item17908000000001,1
73	201	73	4,58;1,577;26,193;21,193	55500	item17908000000001,1
74	201	74	4,60;1,591;26,197;21,197	55500	item17908000000001,1
75	201	75	4,61;1,605;26,202;21,202	72500	item17908000000001,1
76	201	76	4,62;1,620;26,207;21,207	72500	item17908000000001,1
77	201	77	4,64;1,635;26,212;21,212	72500	item17908000000001,1
78	201	78	4,65;1,650;26,217;21,217	72500	item17908000000001,1
79	201	79	4,67;1,665;26,222;21,222	72500	item17908000000001,1
80	201	80	4,68;1,680;26,227;21,227	45000	item17908000000001,1
81	201	81	4,70;1,696;26,232;21,232	45000	item17908000000001,1
82	201	82	4,72;1,712;26,238;21,238	45000	item17908000000001,1
83	201	83	4,73;1,728;26,243;21,243	45000	item17908000000001,1
84	201	84	4,75;1,744;26,248;21,248	45000	item17908000000001,1
85	201	85	4,76;1,760;26,254;21,254	82500	item17908000000001,1
86	201	86	4,78;1,777;26,259;21,259	82500	item17908000000001,1
87	201	87	4,80;1,794;26,265;21,265	82500	item17908000000001,1
88	201	88	4,82;1,811;26,271;21,271	82500	item17908000000001,1
89	201	89	4,83;1,828;26,276;21,276	82500	item17908000000001,1
90	201	90	4,85;1,845;26,282;21,282	120000	item17908000000001,1
91	201	91	4,87;1,863;26,288;21,288	120000	item17908000000001,1
92	201	92	4,89;1,881;26,294;21,294	120000	item17908000000001,1
93	201	93	4,90;1,899;26,300;21,300	120000	item17908000000001,1
94	201	94	4,92;1,917;26,306;21,306	120000	item17908000000001,1
95	201	95	4,94;1,935;26,312;21,312	157500	item17908000000001,1
96	201	96	4,96;1,954;26,318;21,318	157500	item17908000000001,1
97	201	97	4,98;1,973;26,325;21,325	157500	item17908000000001,1
98	201	98	4,100;1,992;26,331;21,331	157500	item17908000000001,1
99	201	99	4,102;1,1011;26,337;21,337	157500	item17908000000001,1
100	201	100	4,103;1,1030;26,344;21,344	97500	item17908000000001,1
101	201	101	4,105;1,1050;26,350;21,350	97500	item17908000000001,1
102	201	102	4,107;1,1070;26,357;21,357	97500	item17908000000001,1
103	201	103	4,109;1,1090;26,364;21,364	97500	item17908000000001,1
104	201	104	4,111;1,1110;26,370;21,370	97500	item17908000000001,1
105	201	105	4,113;1,1130;26,377;21,377	163500	item17908000000001,1
106	201	106	4,116;1,1151;26,384;21,384	163500	item17908000000001,1
107	201	107	4,118;1,1172;26,391;21,391	163500	item17908000000001,1
108	201	108	4,120;1,1193;26,398;21,398	163500	item17908000000001,1
109	201	109	4,122;1,1214;26,405;21,405	163500	item17908000000001,1
110	201	110	4,124;1,1235;26,412;21,412	229500	item17908000000001,1
111	201	111	4,126;1,1257;26,419;21,419	229500	item17908000000001,1
112	201	112	4,128;1,1279;26,427;21,427	229500	item17908000000001,1
113	201	113	4,131;1,1301;26,434;21,434	229500	item17908000000001,1
114	201	114	4,133;1,1323;26,441;21,441	229500	item17908000000001,1
115	201	115	4,135;1,1345;26,449;21,449	295000	item17908000000001,1
116	201	116	4,137;1,1367;26,456;21,456	295000	item17908000000001,1
117	201	117	4,139;1,1389;26,463;21,463	295000	item17908000000001,1
118	201	118	4,142;1,1411;26,471;21,471	295000	item17908000000001,1
119	201	119	4,144;1,1433;26,478;21,478	295000	item17908000000001,1
120	201	120	4,146;1,1455;26,485;21,485	180000	item17908000000001,1
121	201	121	4,148;1,1478;26,493;21,493	180000	item17908000000001,1
122	201	122	4,151;1,1501;26,501;21,501	180000	item17908000000001,1
123	201	123	4,153;1,1524;26,508;21,508	180000	item17908000000001,1
124	201	124	4,155;1,1547;26,516;21,516	180000	item17908000000001,1
125	201	125	4,157;1,1570;26,524;21,524	280000	item17908000000001,1
126	201	126	4,160;1,1594;26,532;21,532	280000	item17908000000001,1
127	201	127	4,162;1,1618;26,540;21,540	280000	item17908000000001,1
128	201	128	4,165;1,1642;26,548;21,548	280000	item17908000000001,1
129	201	129	4,167;1,1666;26,556;21,556	280000	item17908000000001,1
130	201	130	4,169;1,1690;26,564;21,564	380000	item17908000000001,1
131	201	131	4,172;1,1715;26,572;21,572	380000	item17908000000001,1
132	201	132	4,174;1,1740;26,580;21,580	380000	item17908000000001,1
133	201	133	4,177;1,1765;26,589;21,589	380000	item17908000000001,1
134	201	134	4,179;1,1790;26,597;21,597	380000	item17908000000001,1
135	201	135	4,182;1,1815;26,605;21,605	480000	item17908000000001,1
136	201	136	4,185;1,1841;26,614;21,614	480000	item17908000000001,1
137	201	137	4,187;1,1867;26,623;21,623	480000	item17908000000001,1
138	201	138	4,190;1,1893;26,631;21,631	480000	item17908000000001,1
139	201	139	4,192;1,1919;26,640;21,640	480000	item17908000000001,1
140	201	140	4,195;1,1945;26,649;21,649	0	item17908000000001,1
141	301	1	4,1;1,2;26,1;21,1	200	item17908000000001,1
142	301	2	4,1;1,4;26,2;21,2	200	item17908000000001,1
143	301	3	4,1;1,6;26,2;21,2	200	item17908000000001,1
144	301	4	4,1;1,8;26,3;21,3	200	item17908000000001,1
145	301	5	4,1;1,10;26,4;21,4	600	item17908000000001,1
146	301	6	4,2;1,13;26,5;21,5	600	item17908000000001,1
147	301	7	4,2;1,16;26,6;21,6	600	item17908000000001,1
148	301	8	4,2;1,19;26,7;21,7	600	item17908000000001,1
149	301	9	4,3;1,22;26,8;21,8	600	item17908000000001,1
150	301	10	4,3;1,25;26,9;21,9	1000	item17908000000001,1
151	301	11	4,3;1,30;26,10;21,10	1000	item17908000000001,1
152	301	12	4,4;1,35;26,12;21,12	1000	item17908000000001,1
153	301	13	4,4;1,40;26,14;21,14	1000	item17908000000001,1
154	301	14	4,5;1,45;26,15;21,15	1000	item17908000000001,1
155	301	15	4,5;1,50;26,17;21,17	2000	item17908000000001,1
156	301	16	4,6;1,55;26,19;21,19	2000	item17908000000001,1
157	301	17	4,6;1,60;26,20;21,20	2000	item17908000000001,1
158	301	18	4,7;1,65;26,22;21,22	2000	item17908000000001,1
159	301	19	4,7;1,70;26,24;21,24	2000	item17908000000001,1
160	301	20	4,8;1,75;26,25;21,25	800	item17908000000001,1
161	301	21	4,9;1,82;26,28;21,28	800	item17908000000001,1
162	301	22	4,9;1,89;26,30;21,30	800	item17908000000001,1
163	301	23	4,10;1,96;26,32;21,32	800	item17908000000001,1
164	301	24	4,11;1,103;26,35;21,35	800	item17908000000001,1
165	301	25	4,11;1,110;26,37;21,37	2500	item17908000000001,1
166	301	26	4,12;1,118;26,40;21,40	2500	item17908000000001,1
167	301	27	4,13;1,126;26,42;21,42	2500	item17908000000001,1
168	301	28	4,14;1,134;26,45;21,45	2500	item17908000000001,1
169	301	29	4,15;1,142;26,48;21,48	2500	item17908000000001,1
170	301	30	4,15;1,150;26,50;21,50	7000	item17908000000001,1
171	301	31	4,16;1,159;26,53;21,53	7000	item17908000000001,1
172	301	32	4,17;1,168;26,56;21,56	7000	item17908000000001,1
173	301	33	4,18;1,177;26,59;21,59	7000	item17908000000001,1
174	301	34	4,19;1,186;26,62;21,62	7000	item17908000000001,1
175	301	35	4,20;1,195;26,65;21,65	15000	item17908000000001,1
176	301	36	4,21;1,205;26,69;21,69	15000	item17908000000001,1
177	301	37	4,22;1,215;26,72;21,72	15000	item17908000000001,1
178	301	38	4,23;1,225;26,75;21,75	15000	item17908000000001,1
179	301	39	4,24;1,235;26,79;21,79	15000	item17908000000001,1
180	301	40	4,25;1,245;26,82;21,82	7500	item17908000000001,1
181	301	41	4,26;1,256;26,86;21,86	7500	item17908000000001,1
182	301	42	4,27;1,267;26,89;21,89	7500	item17908000000001,1
183	301	43	4,28;1,278;26,93;21,93	7500	item17908000000001,1
184	301	44	4,29;1,289;26,97;21,97	7500	item17908000000001,1
185	301	45	4,30;1,300;26,100;21,100	16500	item17908000000001,1
186	301	46	4,32;1,312;26,104;21,104	16500	item17908000000001,1
187	301	47	4,33;1,324;26,108;21,108	16500	item17908000000001,1
188	301	48	4,34;1,336;26,112;21,112	16500	item17908000000001,1
189	301	49	4,35;1,348;26,116;21,116	16500	item17908000000001,1
190	301	50	4,36;1,360;26,120;21,120	25500	item17908000000001,1
191	301	51	4,38;1,373;26,125;21,125	25500	item17908000000001,1
192	301	52	4,39;1,386;26,129;21,129	25500	item17908000000001,1
193	301	53	4,40;1,399;26,133;21,133	25500	item17908000000001,1
194	301	54	4,42;1,412;26,138;21,138	25500	item17908000000001,1
195	301	55	4,43;1,425;26,142;21,142	34000	item17908000000001,1
196	301	56	4,44;1,440;26,147;21,147	34000	item17908000000001,1
197	301	57	4,46;1,455;26,152;21,152	34000	item17908000000001,1
198	301	58	4,47;1,470;26,157;21,157	34000	item17908000000001,1
199	301	59	4,49;1,485;26,162;21,162	34000	item17908000000001,1
200	301	60	4,50;1,500;26,167;21,167	21000	item17908000000001,1
201	301	61	4,52;1,516;26,172;21,172	21000	item17908000000001,1
202	301	62	4,54;1,532;26,178;21,178	21000	item17908000000001,1
203	301	63	4,55;1,548;26,183;21,183	21000	item17908000000001,1
204	301	64	4,57;1,564;26,188;21,188	21000	item17908000000001,1
205	301	65	4,58;1,580;26,194;21,194	38500	item17908000000001,1
206	301	66	4,60;1,597;26,199;21,199	38500	item17908000000001,1
207	301	67	4,62;1,614;26,205;21,205	38500	item17908000000001,1
208	301	68	4,64;1,631;26,211;21,211	38500	item17908000000001,1
209	301	69	4,65;1,648;26,216;21,216	38500	item17908000000001,1
210	301	70	4,67;1,665;26,222;21,222	55500	item17908000000001,1
211	301	71	4,69;1,683;26,228;21,228	55500	item17908000000001,1
212	301	72	4,71;1,701;26,234;21,234	55500	item17908000000001,1
213	301	73	4,72;1,719;26,240;21,240	55500	item17908000000001,1
214	301	74	4,74;1,737;26,246;21,246	55500	item17908000000001,1
215	301	75	4,76;1,755;26,252;21,252	72500	item17908000000001,1
216	301	76	4,78;1,774;26,258;21,258	72500	item17908000000001,1
217	301	77	4,80;1,793;26,265;21,265	72500	item17908000000001,1
218	301	78	4,82;1,812;26,271;21,271	72500	item17908000000001,1
219	301	79	4,84;1,831;26,277;21,277	72500	item17908000000001,1
220	301	80	4,85;1,850;26,284;21,284	45000	item17908000000001,1
221	301	81	4,87;1,870;26,290;21,290	45000	item17908000000001,1
222	301	82	4,89;1,890;26,297;21,297	45000	item17908000000001,1
223	301	83	4,91;1,910;26,304;21,304	45000	item17908000000001,1
224	301	84	4,93;1,930;26,310;21,310	45000	item17908000000001,1
225	301	85	4,95;1,950;26,317;21,317	82500	item17908000000001,1
226	301	86	4,98;1,972;26,324;21,324	82500	item17908000000001,1
227	301	87	4,100;1,994;26,332;21,332	82500	item17908000000001,1
228	301	88	4,102;1,1016;26,339;21,339	82500	item17908000000001,1
229	301	89	4,104;1,1038;26,346;21,346	82500	item17908000000001,1
230	301	90	4,106;1,1060;26,354;21,354	120000	item17908000000001,1
231	301	91	4,109;1,1082;26,361;21,361	120000	item17908000000001,1
232	301	92	4,111;1,1104;26,368;21,368	120000	item17908000000001,1
233	301	93	4,113;1,1126;26,376;21,376	120000	item17908000000001,1
234	301	94	4,115;1,1148;26,383;21,383	120000	item17908000000001,1
235	301	95	4,117;1,1170;26,390;21,390	157500	item17908000000001,1
236	301	96	4,120;1,1193;26,398;21,398	157500	item17908000000001,1
237	301	97	4,122;1,1216;26,406;21,406	157500	item17908000000001,1
238	301	98	4,124;1,1239;26,413;21,413	157500	item17908000000001,1
239	301	99	4,127;1,1262;26,421;21,421	157500	item17908000000001,1
240	301	100	4,129;1,1285;26,429;21,429	97500	item17908000000001,1
241	301	101	4,131;1,1310;26,437;21,437	97500	item17908000000001,1
242	301	102	4,134;1,1335;26,445;21,445	97500	item17908000000001,1
243	301	103	4,136;1,1360;26,454;21,454	97500	item17908000000001,1
244	301	104	4,139;1,1385;26,462;21,462	97500	item17908000000001,1
245	301	105	4,141;1,1410;26,470;21,470	163500	item17908000000001,1
246	301	106	4,144;1,1436;26,479;21,479	163500	item17908000000001,1
247	301	107	4,147;1,1462;26,488;21,488	163500	item17908000000001,1
248	301	108	4,149;1,1488;26,496;21,496	163500	item17908000000001,1
249	301	109	4,152;1,1514;26,505;21,505	163500	item17908000000001,1
250	301	110	4,154;1,1540;26,514;21,514	229500	item17908000000001,1
251	301	111	4,157;1,1567;26,523;21,523	229500	item17908000000001,1
252	301	112	4,160;1,1594;26,532;21,532	229500	item17908000000001,1
253	301	113	4,163;1,1621;26,541;21,541	229500	item17908000000001,1
254	301	114	4,165;1,1648;26,550;21,550	229500	item17908000000001,1
255	301	115	4,168;1,1675;26,559;21,559	295000	item17908000000001,1
256	301	116	4,171;1,1703;26,568;21,568	295000	item17908000000001,1
257	301	117	4,174;1,1731;26,577;21,577	295000	item17908000000001,1
258	301	118	4,176;1,1759;26,587;21,587	295000	item17908000000001,1
259	301	119	4,179;1,1787;26,596;21,596	295000	item17908000000001,1
260	301	120	4,182;1,1815;26,605;21,605	180000	item17908000000001,1
261	301	121	4,185;1,1844;26,615;21,615	180000	item17908000000001,1
262	301	122	4,188;1,1873;26,625;21,625	180000	item17908000000001,1
263	301	123	4,191;1,1902;26,634;21,634	180000	item17908000000001,1
264	301	124	4,194;1,1931;26,644;21,644	180000	item17908000000001,1
265	301	125	4,196;1,1960;26,654;21,654	280000	item17908000000001,1
266	301	126	4,199;1,1990;26,664;21,664	280000	item17908000000001,1
267	301	127	4,202;1,2020;26,674;21,674	280000	item17908000000001,1
268	301	128	4,205;1,2050;26,684;21,684	280000	item17908000000001,1
269	301	129	4,208;1,2080;26,694;21,694	280000	item17908000000001,1
270	301	130	4,211;1,2110;26,704;21,704	380000	item17908000000001,1
271	301	131	4,215;1,2142;26,714;21,714	380000	item17908000000001,1
272	301	132	4,218;1,2174;26,725;21,725	380000	item17908000000001,1
273	301	133	4,221;1,2206;26,736;21,736	380000	item17908000000001,1
274	301	134	4,224;1,2238;26,746;21,746	380000	item17908000000001,1
275	301	135	4,227;1,2270;26,757;21,757	480000	item17908000000001,1
276	301	136	4,231;1,2303;26,768;21,768	480000	item17908000000001,1
277	301	137	4,234;1,2336;26,779;21,779	480000	item17908000000001,1
278	301	138	4,237;1,2369;26,790;21,790	480000	item17908000000001,1
279	301	139	4,241;1,2402;26,801;21,801	480000	item17908000000001,1
280	301	140	4,244;1,2435;26,812;21,812	0	item17908000000001,1
281	401	1	4,1;1,2;26,1;21,1	200	item17908000000001,1
282	401	2	4,1;1,4;26,2;21,2	200	item17908000000001,1
283	401	3	4,1;1,6;26,2;21,2	200	item17908000000001,1
284	401	4	4,1;1,8;26,3;21,3	200	item17908000000001,1
285	401	5	4,1;1,10;26,4;21,4	600	item17908000000001,1
286	401	6	4,2;1,14;26,5;21,5	600	item17908000000001,1
287	401	7	4,2;1,18;26,6;21,6	600	item17908000000001,1
288	401	8	4,3;1,22;26,8;21,8	600	item17908000000001,1
289	401	9	4,3;1,26;26,9;21,9	600	item17908000000001,1
290	401	10	4,3;1,30;26,10;21,10	1000	item17908000000001,1
291	401	11	4,4;1,35;26,12;21,12	1000	item17908000000001,1
292	401	12	4,4;1,40;26,14;21,14	1000	item17908000000001,1
293	401	13	4,5;1,45;26,15;21,15	1000	item17908000000001,1
294	401	14	4,5;1,50;26,17;21,17	1000	item17908000000001,1
295	401	15	4,6;1,55;26,19;21,19	2000	item17908000000001,1
296	401	16	4,7;1,61;26,21;21,21	2000	item17908000000001,1
297	401	17	4,7;1,67;26,23;21,23	2000	item17908000000001,1
298	401	18	4,8;1,73;26,25;21,25	2000	item17908000000001,1
299	401	19	4,8;1,79;26,27;21,27	2000	item17908000000001,1
300	401	20	4,9;1,85;26,29;21,29	800	item17908000000001,1
301	401	21	4,10;1,93;26,31;21,31	800	item17908000000001,1
302	401	22	4,11;1,101;26,34;21,34	800	item17908000000001,1
303	401	23	4,11;1,109;26,37;21,37	800	item17908000000001,1
304	401	24	4,12;1,117;26,39;21,39	800	item17908000000001,1
305	401	25	4,13;1,125;26,42;21,42	2500	item17908000000001,1
306	401	26	4,14;1,134;26,45;21,45	2500	item17908000000001,1
307	401	27	4,15;1,143;26,48;21,48	2500	item17908000000001,1
308	401	28	4,16;1,152;26,51;21,51	2500	item17908000000001,1
309	401	29	4,17;1,161;26,54;21,54	2500	item17908000000001,1
310	401	30	4,17;1,170;26,57;21,57	7000	item17908000000001,1
311	401	31	4,18;1,180;26,60;21,60	7000	item17908000000001,1
312	401	32	4,19;1,190;26,64;21,64	7000	item17908000000001,1
313	401	33	4,20;1,200;26,67;21,67	7000	item17908000000001,1
314	401	34	4,21;1,210;26,70;21,70	7000	item17908000000001,1
315	401	35	4,22;1,220;26,74;21,74	15000	item17908000000001,1
316	401	36	4,24;1,232;26,78;21,78	15000	item17908000000001,1
317	401	37	4,25;1,244;26,82;21,82	15000	item17908000000001,1
318	401	38	4,26;1,256;26,86;21,86	15000	item17908000000001,1
319	401	39	4,27;1,268;26,90;21,90	15000	item17908000000001,1
320	401	40	4,28;1,280;26,94;21,94	7500	item17908000000001,1
321	401	41	4,30;1,293;26,98;21,98	7500	item17908000000001,1
322	401	42	4,31;1,306;26,102;21,102	7500	item17908000000001,1
323	401	43	4,32;1,319;26,107;21,107	7500	item17908000000001,1
324	401	44	4,34;1,332;26,111;21,111	7500	item17908000000001,1
325	401	45	4,35;1,345;26,115;21,115	16500	item17908000000001,1
326	401	46	4,36;1,359;26,120;21,120	16500	item17908000000001,1
327	401	47	4,38;1,373;26,125;21,125	16500	item17908000000001,1
328	401	48	4,39;1,387;26,129;21,129	16500	item17908000000001,1
329	401	49	4,41;1,401;26,134;21,134	16500	item17908000000001,1
330	401	50	4,42;1,415;26,139;21,139	25500	item17908000000001,1
331	401	51	4,44;1,431;26,144;21,144	25500	item17908000000001,1
332	401	52	4,45;1,447;26,149;21,149	25500	item17908000000001,1
333	401	53	4,47;1,463;26,155;21,155	25500	item17908000000001,1
334	401	54	4,48;1,479;26,160;21,160	25500	item17908000000001,1
335	401	55	4,50;1,495;26,165;21,165	34000	item17908000000001,1
336	401	56	4,52;1,512;26,171;21,171	34000	item17908000000001,1
337	401	57	4,53;1,529;26,177;21,177	34000	item17908000000001,1
338	401	58	4,55;1,546;26,182;21,182	34000	item17908000000001,1
339	401	59	4,57;1,563;26,188;21,188	34000	item17908000000001,1
340	401	60	4,58;1,580;26,194;21,194	21000	item17908000000001,1
341	401	61	4,60;1,598;26,200;21,200	21000	item17908000000001,1
342	401	62	4,62;1,616;26,206;21,206	21000	item17908000000001,1
343	401	63	4,64;1,634;26,212;21,212	21000	item17908000000001,1
344	401	64	4,66;1,652;26,218;21,218	21000	item17908000000001,1
345	401	65	4,67;1,670;26,224;21,224	38500	item17908000000001,1
346	401	66	4,69;1,689;26,230;21,230	38500	item17908000000001,1
347	401	67	4,71;1,708;26,236;21,236	38500	item17908000000001,1
348	401	68	4,73;1,727;26,243;21,243	38500	item17908000000001,1
349	401	69	4,75;1,746;26,249;21,249	38500	item17908000000001,1
350	401	70	4,77;1,765;26,255;21,255	55500	item17908000000001,1
351	401	71	4,79;1,786;26,262;21,262	55500	item17908000000001,1
352	401	72	4,81;1,807;26,269;21,269	55500	item17908000000001,1
353	401	73	4,83;1,828;26,276;21,276	55500	item17908000000001,1
354	401	74	4,85;1,849;26,283;21,283	55500	item17908000000001,1
355	401	75	4,87;1,870;26,290;21,290	72500	item17908000000001,1
356	401	76	4,90;1,892;26,298;21,298	72500	item17908000000001,1
357	401	77	4,92;1,914;26,305;21,305	72500	item17908000000001,1
358	401	78	4,94;1,936;26,312;21,312	72500	item17908000000001,1
359	401	79	4,96;1,958;26,320;21,320	72500	item17908000000001,1
360	401	80	4,98;1,980;26,327;21,327	45000	item17908000000001,1
361	401	81	4,101;1,1004;26,335;21,335	45000	item17908000000001,1
362	401	82	4,103;1,1028;26,343;21,343	45000	item17908000000001,1
363	401	83	4,106;1,1052;26,351;21,351	45000	item17908000000001,1
364	401	84	4,108;1,1076;26,359;21,359	45000	item17908000000001,1
365	401	85	4,110;1,1100;26,367;21,367	82500	item17908000000001,1
366	401	86	4,113;1,1125;26,375;21,375	82500	item17908000000001,1
367	401	87	4,115;1,1150;26,384;21,384	82500	item17908000000001,1
368	401	88	4,118;1,1175;26,392;21,392	82500	item17908000000001,1
369	401	89	4,120;1,1200;26,400;21,400	82500	item17908000000001,1
370	401	90	4,123;1,1225;26,409;21,409	120000	item17908000000001,1
371	401	91	4,126;1,1251;26,417;21,417	120000	item17908000000001,1
372	401	92	4,128;1,1277;26,426;21,426	120000	item17908000000001,1
373	401	93	4,131;1,1303;26,435;21,435	120000	item17908000000001,1
374	401	94	4,133;1,1329;26,443;21,443	120000	item17908000000001,1
375	401	95	4,136;1,1355;26,452;21,452	157500	item17908000000001,1
376	401	96	4,139;1,1382;26,461;21,461	157500	item17908000000001,1
377	401	97	4,141;1,1409;26,470;21,470	157500	item17908000000001,1
378	401	98	4,144;1,1436;26,479;21,479	157500	item17908000000001,1
379	401	99	4,147;1,1463;26,488;21,488	157500	item17908000000001,1
380	401	100	4,149;1,1490;26,497;21,497	97500	item17908000000001,1
381	401	101	4,152;1,1519;26,507;21,507	97500	item17908000000001,1
382	401	102	4,155;1,1548;26,516;21,516	97500	item17908000000001,1
383	401	103	4,158;1,1577;26,526;21,526	97500	item17908000000001,1
384	401	104	4,161;1,1606;26,536;21,536	97500	item17908000000001,1
385	401	105	4,164;1,1635;26,545;21,545	163500	item17908000000001,1
386	401	106	4,167;1,1665;26,555;21,555	163500	item17908000000001,1
387	401	107	4,170;1,1695;26,565;21,565	163500	item17908000000001,1
388	401	108	4,173;1,1725;26,575;21,575	163500	item17908000000001,1
389	401	109	4,176;1,1755;26,585;21,585	163500	item17908000000001,1
390	401	110	4,179;1,1785;26,595;21,595	229500	item17908000000001,1
391	401	111	4,182;1,1817;26,606;21,606	229500	item17908000000001,1
392	401	112	4,185;1,1849;26,617;21,617	229500	item17908000000001,1
393	401	113	4,189;1,1881;26,627;21,627	229500	item17908000000001,1
394	401	114	4,192;1,1913;26,638;21,638	229500	item17908000000001,1
395	401	115	4,195;1,1945;26,649;21,649	295000	item17908000000001,1
396	401	116	4,198;1,1977;26,659;21,659	295000	item17908000000001,1
397	401	117	4,201;1,2009;26,670;21,670	295000	item17908000000001,1
398	401	118	4,205;1,2041;26,681;21,681	295000	item17908000000001,1
399	401	119	4,208;1,2073;26,691;21,691	295000	item17908000000001,1
400	401	120	4,211;1,2105;26,702;21,702	180000	item17908000000001,1
401	401	121	4,214;1,2139;26,713;21,713	180000	item17908000000001,1
402	401	122	4,218;1,2173;26,725;21,725	180000	item17908000000001,1
403	401	123	4,221;1,2207;26,736;21,736	180000	item17908000000001,1
404	401	124	4,225;1,2241;26,747;21,747	180000	item17908000000001,1
405	401	125	4,228;1,2275;26,759;21,759	280000	item17908000000001,1
