称号id(非流水)	称号类型	称号品质	对应ItemID	称号名	称号描述	称号获取方式描述	称号收集属性	称号装备属性	称号持续时间	对应的公会职位ID	地区渠道号
20	1	3	item141000000020	TitleName_10000020	TitleDes_10000020	TitleWay_10000020	3,8	3,40	86400	0	
21	1	3	item141000000021	TitleName_10000021	TitleDes_10000021	TitleWay_10000021	3,6	3,30	86400	0	
22	1	4	item141000000022	TitleName_10000022	TitleDes_10000022	TitleWay_10000022	23,20	23,100	86400	0	
23	1	3	item141000000023	TitleName_10000023	TitleDes_10000023	TitleWay_10000023	23,15	23,80	86400	0	
24	1	3	item141000000024	TitleName_10000024	TitleDes_10000024	TitleWay_10000024	23,10	23,60	86400	0	
25	1	4	item141000000025	TitleName_10000025	TitleDes_10000025	TitleWay_10000025	21,20	21,100	172800	0	
26	1	3	item141000000026	TitleName_10000026	TitleDes_10000026	TitleWay_10000026	21,15	21,80	172800	0	
27	1	3	item141000000027	TitleName_10000027	TitleDes_10000027	TitleWay_10000027	21,10	21,60	172800	0	
28	1	4	item141000000028	TitleName_10000028	TitleDes_10000028	TitleWay_10000028	3,10	3,50	86400	0	
29	1	3	item141000000029	TitleName_10000029	TitleDes_10000029	TitleWay_10000029	3,8	3,40	86400	0	
30	1	3	item141000000030	TitleName_10000030	TitleDes_10000030	TitleWay_10000030	3,6	3,30	86400	0	
31	1	4	item141000000031	TitleName_10000031	TitleDes_10000031	TitleWay_10000031	22,20	22,100	86400	0	
32	1	3	item141000000032	TitleName_10000032	TitleDes_10000032	TitleWay_10000032	22,15	22,80	86400	0	
33	1	3	item141000000033	TitleName_10000033	TitleDes_10000033	TitleWay_10000033	22,10	22,60	86400	0	
37	2	3	item141000000037	TitleName_10000037	TitleDes_10000037	TitleWay_10000037	4,2	4,10	-1	0	
38	2	3	item141000000038	TitleName_10000038	TitleDes_10000038	TitleWay_10000038	4,2	4,10	-1	0	
39	2	3	item141000000039	TitleName_10000039	TitleDes_10000039	TitleWay_10000039	4,1	4,5	-1	0	
40	2	3	item141000000040	TitleName_10000040	TitleDes_10000040	TitleWay_10000040	4,1	4,5	-1	0	
41	2	3	item141000000041	TitleName_10000041	TitleDes_10000041	TitleWay_10000041	4,1	4,5	-1	0	
42	2	3	item141000000042	TitleName_10000042	TitleDes_10000042	TitleWay_10000042	4,1	4,5	-1	0	
43	2	4	item141000000043	TitleName_10000043	TitleDes_10000043	TitleWay_10000043	3,10	3,50	86400	0	
44	2	3	item141000000044	TitleName_10000044	TitleDes_10000044	TitleWay_10000044	3,8	3,40	86400	0	
45	2	3	item141000000045	TitleName_10000045	TitleDes_10000045	TitleWay_10000045	3,6	3,30	86400	0	
46	4	2	item141000000046	TitleName_10000046	TitleDes_10000046	TitleWay_10000046	1,10	1,60	-1	0	
47	4	2	item141000000047	TitleName_10000047	TitleDes_10000047	TitleWay_10000047	1,10	1,60	-1	0	
48	4	2	item141000000048	TitleName_10000048	TitleDes_10000048	TitleWay_10000048	1,10	1,60	-1	0	
49	4	2	item141000000049	TitleName_10000049	TitleDes_10000049	TitleWay_10000049	1,10	1,60	-1	0	
50	2	2	item141000000050	TitleName_10000050	TitleDes_10000050	TitleWay_10000050	3,2	3,10	-1	0	
51	2	3	item141000000051	TitleName_10000051	TitleDes_10000051	TitleWay_10000051	3,2	3,12	-1	0	
52	2	3	item141000000052	TitleName_10000052	TitleDes_10000052	TitleWay_10000052	3,2	3,14	-1	0	
53	5	2	item141000000053	TitleName_10000053	TitleDes_10000053	TitleWay_10000053	1,10	1,60	-1	0	
54	5	2	item141000000054	TitleName_10000054	TitleDes_10000054	TitleWay_10000054	1,10	1,60	-1	0	
55	5	2	item141000000055	TitleName_10000055	TitleDes_10000055	TitleWay_10000055	1,10	1,60	-1	0	
56	5	2	item141000000056	TitleName_10000056	TitleDes_10000056	TitleWay_10000056	1,10	1,60	-1	0	
59	4	2	item141000000059	TitleName_10000059	TitleDes_10000059	TitleWay_10000059	4,1	4,5	-1	0	
60	4	2	item141000000060	TitleName_10000060	TitleDes_10000060	TitleWay_10000060	4,1	4,5	-1	0	
61	4	2	item141000000061	TitleName_10000061	TitleDes_10000061	TitleWay_10000061	4,1	4,5	-1	0	
62	4	2	item141000000062	TitleName_10000062	TitleDes_10000062	TitleWay_10000062	4,1	4,5	-1	0	
63	2	3	item141000000063	TitleName_10000063	TitleDes_10000063	TitleWay_10000063	23,5	23,15	-1	0	
64	2	3	item141000000064	TitleName_10000064	TitleDes_10000064	TitleWay_10000064	23,5	23,15	-1	0	
65	5	3	item141000000065	TitleName_10000065	TitleDes_10000065	TitleWay_10000065	1,20	1,80	-1	0	
67	5	2	item141000000067	TitleName_10000067	TitleDes_10000067	TitleWay_10000067	1,20	1,80	-1	0	
68	5	2	item141000000068	TitleName_10000068	TitleDes_10000068	TitleWay_10000068	1,20	1,80	-1	0	
69	5	2	item141000000069	TitleName_10000069	TitleDes_10000069	TitleWay_10000069	1,20	1,80	-1	0	
70	5	3	item141000000070	TitleName_10000070	TitleDes_10000070	TitleWay_10000070	26,10	26,30	-1	0	
71	5	2	item141000000071	TitleName_10000071	TitleDes_10000071	TitleWay_10000071	24,10	24,30	-1	0	
72	5	2	item141000000072	TitleName_10000072	TitleDes_10000072	TitleWay_10000072	26,10	26,30	-1	0	
73	5	2	item141000000073	TitleName_10000073	TitleDes_10000073	TitleWay_10000073	21,10	21,30	-1	0	
74	5	2	item141000000074	TitleName_10000074	TitleDes_10000074	TitleWay_10000074	1,20	1,60	-1	0	
75	5	2	item141000000075	TitleName_10000075	TitleDes_10000075	TitleWay_10000075	1,20	1,60	-1	0	
76	5	2	item141000000076	TitleName_10000076	TitleDes_10000076	TitleWay_10000076	4,2	4,10	-1	0	
77	5	2	item141000000077	TitleName_10000077	TitleDes_10000077	TitleWay_10000077	4,2	4,10	-1	0	
78	5	2	item141000000078	TitleName_10000078	TitleDes_10000078	TitleWay_10000078	3,2	3,10	-1	0	
79	5	2	item141000000079	TitleName_10000079	TitleDes_10000079	TitleWay_10000079	3,2	3,10	-1	0	
80	6	3			TitleDes_10000080	TitleWay_10000080		1,120	-1	1	
81	6	3			TitleDes_10000081	TitleWay_10000081		1,108	-1	2	
82	6	3			TitleDes_10000082	TitleWay_10000082		1,90	-1	3	
83	6	3			TitleDes_10000083	TitleWay_10000083		1,90	-1	4	
84	6	3			TitleDes_10000084	TitleWay_10000084		1,90	-1	5	
85	6	3			TitleDes_10000085	TitleWay_10000085		1,80	-1	6	
86	6	3			TitleDes_10000086	TitleWay_10000086		1,60	-1	7	
34	6	2	item141000000034	TitleName_10000034	TitleDes_10000034	TitleWay_10000034	24,5	24,20	-1	0	
35	6	2	item141000000035	TitleName_10000035	TitleDes_10000035	TitleWay_10000035	24,5	24,25	-1	0	
36	6	3	item141000000036	TitleName_10000036	TitleDes_10000036	TitleWay_10000036	24,5	24,30	-1	0	
87	1	4	item141000000087	TitleName_10000087	TitleDes_10000087	TitleWay_10000087	25,20	25,100	604800	0	
88	1	3	item141000000088	TitleName_10000088	TitleDes_10000088	TitleWay_10000088	25,15	25,80	604800	0	
89	1	3	item141000000089	TitleName_10000089	TitleDes_10000089	TitleWay_10000089	25,10	25,60	604800	0	
90	5	3	item141000000090	TitleName_10000090	TitleDes_10000090	TitleWay_10000090	21,10	21,30	-1	0	
91	5	3	item141000000091	TitleName_10000091	TitleDes_10000091	TitleWay_10000091	4,3	4,15	-1	0	
92	6	3	item141000000092	TitleName_10000092	TitleDes_10000092	TitleWay_10000092	22,10	22,30	604800	0	
93	5	3	item141000000093	TitleName_10000093	TitleDes_10000093	TitleWay_10000093	23,10	23,30	-1	0	
94	5	3	item141000000094	TitleName_10000094	TitleDes_10000094	TitleWay_10000094	4,3	4,15	-1	0	
95	2	3	item141000000095	TitleName_10000095	TitleDes_10000095	TitleWay_10000095	3,6	3,18	-1	0	
96	4	2	item141000000096	TitleName_10000096	TitleDes_10000096	TitleWay_10000096	4,1	4,5	-1	0	
97	1	4	item141000000097	TitleName_10000097	TitleDes_10000097	TitleWay_10000097	1,100	1,500	86400	0	
98	1	3	item141000000098	TitleName_10000098	TitleDes_10000098	TitleWay_10000098	1,80	1,400	86400	0	
99	1	3	item141000000099	TitleName_10000099	TitleDes_10000099	TitleWay_10000099	1,60	1,300	86400	0	
100	5	4	item141000000100	TitleName_10000100	TitleDes_10000100	TitleWay_10000100	1,500	1,2500,11,500	-1	0	
101	5	4	item141000000101	TitleName_10000101	TitleDes_10000101	TitleWay_10000101	3,50	32,300,34,500	-1	0	
102	1	4	item141000000102	TitleName_10000102	TitleDes_10000102	TitleWay_10000102	24,20	24,100	86400	0	
103	1	3	item141000000103	TitleName_10000103	TitleDes_10000103	TitleWay_10000103	24,15	24,80	86400	0	
104	1	3	item141000000104	TitleName_10000104	TitleDes_10000104	TitleWay_10000104	24,10	24,60	86400	0	
105	4	2	item141000000105	TitleName_10000105	TitleDes_10000105	TitleWay_10000105	1,10	1,60	-1	0	
106	1	4	item141000000106	TitleName_10000106	TitleDes_10000106	TitleWay_10000106	3,10	3,50	86400	0	
107	1	3	item141000000107	TitleName_10000107	TitleDes_10000107	TitleWay_10000107	3,8	3,40	86400	0	
108	1	3	item141000000108	TitleName_10000108	TitleDes_10000108	TitleWay_10000108	3,6	3,30	86400	0	
109	1	4	item141000000109	TitleName_10000109	TitleDes_10000109	TitleWay_10000109	1,100	1,500	86400	0	
110	1	3	item141000000110	TitleName_10000110	TitleDes_10000110	TitleWay_10000110	1,80	1,400	86400	0	
111	1	3	item141000000111	TitleName_10000111	TitleDes_10000111	TitleWay_10000111	1,60	1,300	86400	0	
112	1	4	item141000000112	TitleName_10000112	TitleDes_10000112	TitleWay_10000112	23,20	23,100	86400	0	
113	1	3	item141000000113	TitleName_10000113	TitleDes_10000113	TitleWay_10000113	23,15	23,80	86400	0	
114	1	3	item141000000114	TitleName_10000114	TitleDes_10000114	TitleWay_10000114	23,10	23,60	86400	0	
115	1	4	item141000000115	TitleName_10000115	TitleDes_10000115	TitleWay_10000115	22,20	22,100	604800	0	
116	1	3	item141000000116	TitleName_10000116	TitleDes_10000116	TitleWay_10000116	22,15	22,80	604800	0	
117	1	3	item141000000117	TitleName_10000117	TitleDes_10000117	TitleWay_10000117	22,10	22,60	604800	0	
118	5	4	item141000000118	TitleName_10000118	TitleDes_10000118	TitleWay_10000118	26,100	35,100	-1	0	
119	1	4	item141000000119	TitleName_10000119	TitleDes_10000119	TitleWay_10000119	3,20	3,30,153,200	-1	0	
120	1	3	item141000000120	TitleName_10000120	TitleDes_10000119	TitleWay_10000119	3,15	3,25,153,150	-1	0	
121	1	3	item141000000121	TitleName_10000121	TitleDes_10000119	TitleWay_10000119	3,10	3,20,153,100	2592000	0	
122	1	4	item141000000122	TitleName_10000122	TitleDes_10000119	TitleWay_10000119	3,20	3,40,153,200	-1	0	
123	1	3	item141000000123	TitleName_10000123	TitleDes_10000119	TitleWay_10000119	3,15	3,35,153,150	-1	0	
124	1	3	item141000000124	TitleName_10000124	TitleDes_10000119	TitleWay_10000119	3,10	3,30,153,100	2592000	0	
125	1	4	item141000000125	TitleName_10000125	TitleDes_10000119	TitleWay_10000119	3,20	3,50,153,200	-1	0	
126	1	3	item141000000126	TitleName_10000126	TitleDes_10000119	TitleWay_10000119	3,15	3,45,153,150	-1	0	
127	1	3	item141000000127	TitleName_10000127	TitleDes_10000119	TitleWay_10000119	3,10	3,40,153,100	2592000	0	
128	1	4	item141000000128	TitleName_10000128	TitleDes_10000119	TitleWay_10000119	3,20	3,60,153,200	-1	0	
129	1	3	item141000000129	TitleName_10000129	TitleDes_10000119	TitleWay_10000119	3,15	3,55,153,150	-1	0	
130	1	3	item141000000130	TitleName_10000130	TitleDes_10000119	TitleWay_10000119	3,10	3,50,153,100	2592000	0	
131	1	4	item141000000131	TitleName_10000131	TitleDes_10000119	TitleWay_10000119	3,10	3,15,153,100	-1	0	
132	1	3	item141000000132	TitleName_10000132	TitleDes_10000119	TitleWay_10000119	3,8	3,12,153,50	-1	0	
133	1	3	item141000000133	TitleName_10000133	TitleDes_10000119	TitleWay_10000119	3,6	3,9	2592000	0	
134	1	2	item141000000134	TitleName_10000134	TitleDes_10000119	TitleWay_10000119	3,6	3,9	1296000	0	
135	1	4	item141000000135	TitleName_10000135	TitleDes_10000119	TitleWay_10000119	3,10	3,20,153,100	-1	0	
136	1	3	item141000000136	TitleName_10000136	TitleDes_10000119	TitleWay_10000119	3,8	3,16,153,50	-1	0	
137	1	3	item141000000137	TitleName_10000137	TitleDes_10000119	TitleWay_10000119	3,6	3,12	2592000	0	
138	1	2	item141000000138	TitleName_10000138	TitleDes_10000119	TitleWay_10000119	3,6	3,12	1296000	0	
139	1	4	item141000000139	TitleName_10000139	TitleDes_10000119	TitleWay_10000119	3,10	3,25,153,100	-1	0	
140	1	3	item141000000140	TitleName_10000140	TitleDes_10000119	TitleWay_10000119	3,8	3,20,153,50	-1	0	
141	1	3	item141000000141	TitleName_10000141	TitleDes_10000119	TitleWay_10000119	3,6	3,15	2592000	0	
142	1	2	item141000000142	TitleName_10000142	TitleDes_10000119	TitleWay_10000119	3,6	3,15	1296000	0	
143	1	4	item141000000143	TitleName_10000143	TitleDes_10000119	TitleWay_10000119	3,10	3,30,153,100	-1	0	
144	1	3	item141000000144	TitleName_10000144	TitleDes_10000119	TitleWay_10000119	3,8	3,24,153,50	-1	0	
145	1	3	item141000000145	TitleName_10000145	TitleDes_10000119	TitleWay_10000119	3,6	3,18	2592000	0	
146	1	2	item141000000146	TitleName_10000146	TitleDes_10000119	TitleWay_10000119	3,6	3,18	1296000	0	
147	1	4	item141000000147	TitleName_10000147	TitleDes_10000119	TitleWay_10000119	3,10	3,35,153,100	-1	0	
148	1	3	item141000000148	TitleName_10000148	TitleDes_10000119	TitleWay_10000119	3,8	3,28,153,50	-1	0	
149	1	3	item141000000149	TitleName_10000149	TitleDes_10000119	TitleWay_10000119	3,6	3,21	2592000	0	
150	1	2	item141000000150	TitleName_10000150	TitleDes_10000119	TitleWay_10000119	3,6	3,21	1296000	0	
151	1	4	item141000000151	TitleName_10000151	TitleDes_10000151	TitleWay_10000151	1,200	1,500,154,200	2592000	0	
152	1	4	item141000000152	TitleName_10000152	TitleDes_10000151	TitleWay_10000151	1,160	1,400,154,150	2592000	0	
153	1	4	item141000000153	TitleName_10000153	TitleDes_10000151	TitleWay_10000151	1,120	1,300,154,100	2592000	0	
154	1	4	item141000000154	TitleName_10000154	TitleDes_10000154	TitleWay_10000154	4,20	4,50,22,200	-1	0	
155	1	4	item141000000155	TitleName_10000155	TitleDes_10000155	TitleWay_10000155	4,16	4,40,22,150	-1	0	
156	1	4	item141000000156	TitleName_10000156	TitleDes_10000156	TitleWay_10000156	4,12	4,30,22,100	-1	0	
157	1	4	item141000000157	TitleName_10000156	TitleDes_10000156	TitleWay_10000156	4,12	4,30,22,100	2592000	0	
158	1	4	item141000000158	TitleName_10000156	TitleDes_10000156	TitleWay_10000156	4,12	4,30,22,100	1296000	0	
159	1	4	item141000000159	TitleName_10000156	TitleDes_10000156	TitleWay_10000156	4,12	4,30,22,100	604800	0	
160	1	4	item141000000160	TitleName_10000156	TitleDes_10000156	TitleWay_10000156	4,12	4,30,22,100	259200	0	
161	1	4	item141000000161	TitleName_10000161	TitleDes_10000161	TitleWay_10000161	1,10	1,70	-1	0	1
162	1	4	item141000000165	TitleName_10000165	TitleDes_10000165	TitleWay_10000165	4,20	4,50,22,200	2592000	0	
163	1	4	item141000000166	TitleName_10000166	TitleDes_10000166	TitleWay_10000166	4,16	4,40,22,150	2592000	0	
164	8	2	item141000000167	TitleName_10000167	TitleDes_10000167	TitleWay_10000167	1,10	1,60	-1	0	
165	8	3	item141000000168	TitleName_10000168	TitleDes_10000168	TitleWay_10000168	1,20	1,100	-1	0	
166	8	2	item141000000169	TitleName_10000169	TitleDes_10000169	TitleWay_10000169	4,1	4,6	-1	0	
167	8	3	item141000000170	TitleName_10000170	TitleDes_10000170	TitleWay_10000170	4,2	4,10	-1	0	
168	8	2	item141000000171	TitleName_10000171	TitleDes_10000171	TitleWay_10000171	24,4	24,20	-1	0	
169	8	3	item141000000172	TitleName_10000172	TitleDes_10000172	TitleWay_10000172	24,8	24,40	-1	0	
170	8	2	item141000000173	TitleName_10000173	TitleDes_10000173	TitleWay_10000173	22,4	22,20	-1	0	
171	8	3	item141000000174	TitleName_10000174	TitleDes_10000174	TitleWay_10000174	22,8	22,40	-1	0	
172	8	2	item141000000175	TitleName_10000175	TitleDes_10000175	TitleWay_10000175	3,2	3,10	-1	0	
173	8	3	item141000000176	TitleName_10000176	TitleDes_10000176	TitleWay_10000176	3,4	3,15	-1	0	
174	4	2	item141000000177	TitleName_10000177	TitleDes_10000177	TitleWay_10000177	1,10	1,60	-1	0	
175	4	2	item141000000178	TitleName_10000178	TitleDes_10000178	TitleWay_10000178	4,1	4,5	-1	0	
176	1	3	item141000000179	TitleName_10000179	TitleDes_10000179	TitleWay_10000179	3,4	3,20	-1	0	1
177	2	3	item141000000180	TitleName_10000180	TitleDes_10000180	TitleWay_10000180	4,2	4,10	-1	0	
178	3	2	item141000000181	TitleName_10000181	TitleDes_10000181	TitleWay_10000181	1,10	1,60	-1	0	
179	3	2	item141000000182	TitleName_10000182	TitleDes_10000182	TitleWay_10000182	1,10	1,70	-1	0	
180	3	3	item141000000183	TitleName_10000183	TitleDes_10000183	TitleWay_10000183	1,10	1,80	-1	0	
181	3	3	item141000000184	TitleName_10000184	TitleDes_10000184	TitleWay_10000184	1,10	1,90	-1	0	
182	3	4	item141000000185	TitleName_10000185	TitleDes_10000185	TitleWay_10000185	1,10	1,100	-1	0	
183	3	4	item141000000186	TitleName_10000186	TitleDes_10000186	TitleWay_10000186	1,10	1,120	-1	0	
184	1	4	item141000000187	TitleName_10000187	TitleDes_10000187	TitleWay_10000187	24,20	24,100	86400	0	
185	1	3	item141000000188	TitleName_10000188	TitleDes_10000188	TitleWay_10000188	24,15	24,80	86400	0	
186	1	3	item141000000189	TitleName_10000189	TitleDes_10000189	TitleWay_10000189	24,10	24,60	86400	0	
187	2	3	item141000000190	TitleName_10000190	TitleDes_10000190	TitleWay_10000190	11,200,132,200	1,120	2419200	0	
188	1	4	item141000000191	TitleName_10000191	TitleDes_10000191	TitleWay_10000191	26,100	35,200	15552000	0	
189	1	3	item141000000192	TitleName_10000192	TitleDes_10000192	TitleWay_10000192	26,75	35,150	7776000	0	
190	1	3	item141000000193	TitleName_10000193	TitleDes_10000193	TitleWay_10000193	26,50	35,100	7776000	0	
191	1	2	item141000000194	TitleName_10000194	TitleDes_10000194	TitleWay_10000199	1,100	26,25	-1	0	
192	1	2	item141000000195	TitleName_10000195	TitleDes_10000195	TitleWay_10000199	1,150	26,30	-1	0	
193	1	3	item141000000196	TitleName_10000196	TitleDes_10000196	TitleWay_10000199	1,200	26,35	-1	0	
194	1	3	item141000000197	TitleName_10000197	TitleDes_10000197	TitleWay_10000199	1,300	26,40	-1	0	
195	1	4	item141000000198	TitleName_10000198	TitleDes_10000198	TitleWay_10000199	1,400,35,100	26,45	-1	0	
196	1	4	item141000000199	TitleName_10000199	TitleDes_10000199	TitleWay_10000199	1,500,35,200	26,50	-1	0	
197	1	4	item141000000200	TitleName_10000200	TitleDes_10000200	TitleWay_10000200	1,600,3,30,4,30	31,100,132,100	-1	0	
198	1	4	item141000000201	TitleName_10000201	TitleDes_10000201	TitleWay_10000201	24,50	33,100	-1	0	
199	1	2	item141000000202	TitleName_10000202	TitleDes_10000202	TitleWay_10000202	1,50,24,20	1,100	-1	0	1
200	1	3	item141000000203	TitleName_10000203	TitleDes_10000203	TitleWay_10000203	1,100,23,20	1,150	-1	0	1
201	1	3	item141000000204	TitleName_10000204	TitleDes_10000204	TitleWay_10000204	4,15,26,30	4,15	-1	0	1
202	1	4	item141000000205	TitleName_10000205	TitleDes_10000205	TitleWay_10000205	3,20,25,30	3,15	-1	0	1
203	1	4	item141000000206	TitleName_10000206	TitleDes_10000206	TitleWay_10000206	24,20	24,100	86400	0	
204	1	3	item141000000207	TitleName_10000207	TitleDes_10000207	TitleWay_10000207	24,15	24,80	86400	0	
205	1	3	item141000000208	TitleName_10000208	TitleDes_10000208	TitleWay_10000208	24,10	24,60	86400	0	
206	3	4	item141000000210	TitleName_10000210	TitleDes_10000210	TitleWay_10000210	1,100,4,5,24,10	1,150	-1	0	
207	5	3	item141000000212	TitleName_10000212	TitleDes_10000212	TitleWay_10000212	1,100,3,10	3,10	-1	0	
213	4	2	item141000000213	TitleName_10000213	TitleDes_10000213	TitleWay_10000213	23,5	23,20	-1	0	
214	4	2	item141000000214	TitleName_10000214	TitleDes_10000214	TitleWay_10000214	4,2	4,10	-1	0	
215	1	4	item141000000215	TitleName_10000215	TitleDes_10000215	TitleWay_10000215	25,20	25,100	604800	0	
216	1	3	item141000000216	TitleName_10000216	TitleDes_10000216	TitleWay_10000216	25,15	25,80	604800	0	
217	1	3	item141000000217	TitleName_10000217	TitleDes_10000217	TitleWay_10000217	25,10	25,60	604800	0	
218	1	4	item141000000218	TitleName_10000218	TitleDes_10000218	TitleWay_10000218	24,50	33,100	-1	0	
219	1	4	item141000000219	TitleName_10000219	TitleDes_10000219	TitleWay_10000219	1,600,3,30,4,30	31,100,132,100	-1	0	
220	1	4	item141000000220	TitleName_10000220	TitleDes_10000220	TitleWay_10000220	1,150	24,50,26,50	604800	0	
221	1	3	item141000000221	TitleName_10000221	TitleDes_10000221	TitleWay_10000221	1,120	24,40,26,40	604800	0	
222	1	3	item141000000222	TitleName_10000222	TitleDes_10000222	TitleWay_10000222	1,90	24,30,26,30	604800	0	
223	1	2	item141000000223	TitleName_10000223	TitleDes_10000223	TitleWay_10000223	1,60	24,20,26,20	604800	0	
224	1	4	item141000000224	TitleName_10000224	TitleDes_10000224	TitleWay_10000224	3,10	23,50,21,50	604800	0	
225	1	3	item141000000225	TitleName_10000225	TitleDes_10000225	TitleWay_10000225	3,8	23,40,21,40	604800	0	
226	1	3	item141000000226	TitleName_10000226	TitleDes_10000226	TitleWay_10000226	3,6	23,30,21,30	604800	0	
227	1	4	item141000000227	TitleName_10000227	TitleDes_10000227	TitleWay_10000227	1,20	1,100	-1	0	1
228	1	4	item141000000228	TitleName_10000228	TitleDes_10000228	TitleWay_10000228	1,50	33,100,35,100	-1	0	1
229	1	4	item141000000229	TitleName_10000229	TitleDes_10000229	TitleWay_10000229	3,5	32,100,30,100	-1	0	1
230	1	4	item141000000230	TitleName_10000230	TitleDes_10000230	TitleWay_10000230	4,6	1,200,4,10	-1	0	1
231	1	4	item141000000231	TitleName_10000231	TitleDes_10000231	TitleWay_10000231	21,20	21,100	-1	0	1
232	5	3	item141000000244	TitleName_10000244	TitleDes_10000244	TitleWay_10000244	1,30	1,80,3,5	-1	0	1
233	1	4	item141000000245	TitleName_10000245	TitleDes_10000245	TitleWay_10000245	25,20	25,100	-1	0	1
234	1	4	item141000000246	TitleName_10000246	TitleDes_10000246	TitleWay_10000246	1,99	51,99,3,19	-1	0	1
235	1	3	item141000002128	TitleName_10002128	TitleDes_10002128	TitleWay_10002128	4,1	4,5	-1	0	
236	1	3	item141000002129	TitleName_10002129	TitleDes_10002129	TitleWay_10002129	3,2	3,10	-1	0	
500	4	2			TitleDes_10000162	TitleWay_10000162		4,4	-1	0	
501	4	3			TitleDes_10000163	TitleWay_10000163		4,6	-1	0	
502	4	4			TitleDes_10000164	TitleWay_10000164		4,8	-1	0	
600	7	2		TitleName_10000600	TitleDes_10000600	TitleWay_10000600		1,60	-1	0	
601	7	3		TitleName_10000601	TitleDes_10000601	TitleWay_10000601		1,80	-1	0	
602	7	4		TitleName_10000602	TitleDes_10000602	TitleWay_10000602		1,100	-1	0	
603	7	5		TitleName_10000603	TitleDes_10000603	TitleWay_10000603		1,120	-1	0	
604	1	4	item141000000209	TitleName_10000604	TitleDes_10000604	TitleWay_10000604	1,50,3,10,23,20	1,150	-1	0	
605	1	4	item141000000211	TitleName_10000605	TitleDes_10000605	TitleWay_10000605	1,200	51,100,52,100	-1	0	1
606	1	4	item141000000232	TitleName_10000606	TitleDes_10000606	TitleWay_10000606	1,100,3,10,4,10	30,100,3,20	-1	0	
607	1	4	item141000000233	TitleName_10000607	TitleDes_10000607	TitleWay_10000607	1,50	1,100,3,5	-1	0	
608	1	5	item141000000234	TitleName_10000608	TitleDes_10000608	TitleWay_10000608	1,200,3,20,4,20	30,200,3,40	-1	0	1
609	1	4	item141000000235	TitleName_10000609	TitleDes_10000609	TitleWay_10000609	3,15,4,15	30,150,3,30	-1	0	1
610	1	4	item141000000236	TitleName_10000610	TitleDes_10000610	TitleWay_10000610	3,15,4,15	30,150,3,30	-1	0	1
611	1	4	item141000000237	TitleName_10000611	TitleDes_10000611	TitleWay_10000611	3,15,4,15	30,150,3,30	-1	0	1
612	1	4	item141000000238	TitleName_10000612	TitleDes_10000612	TitleWay_10000612	3,15,4,15	30,150,3,30	-1	0	1
613	1	4	item141000000239	TitleName_10000613	TitleDes_10000613	TitleWay_10000613	3,15,4,15	30,150,3,30	-1	0	1
614	1	4	item141000000240	TitleName_10000614	TitleDes_10000614	TitleWay_10000614	3,15,4,15	30,150,3,30	-1	0	1
615	1	4	item141000000241	TitleName_10000615	TitleDes_10000615	TitleWay_10000615	3,15,4,15	30,150,3,30	-1	0	1
