流水	装备ID	附加属性序号	概率	属性库
129	envoyequip4003	1	3000	403010
130	envoyequip4003	2	10000	400020
131	envoyequip4003	3	6000	400030
132	envoyequip4003	4	10000	400040
133	envoyequip4003	5	10000	400050
134	envoyequip4003	1	3000	403011
135	envoyequip4003	2	10000	400020
136	envoyequip4003	3	6000	400030
137	envoyequip4003	4	10000	400040
138	envoyequip4003	5	10000	400050
139	envoyequip4004	1	3000	404010
140	envoyequip4004	2	10000	400020
141	envoyequip4004	3	6000	400030
142	envoyequip4004	4	10000	400040
143	envoyequip4004	5	10000	400050
144	envoyequip4004	1	3000	404011
145	envoyequip4004	2	10000	400020
146	envoyequip4004	3	6000	400030
147	envoyequip4004	4	10000	400040
148	envoyequip4004	5	10000	400050
149	envoyequip4005	1	3000	405010
150	envoyequip4005	2	10000	400020
151	envoyequip4005	3	6000	400030
152	envoyequip4005	4	10000	400040
153	envoyequip4005	5	10000	400050
154	envoyequip4005	1	3000	405011
155	envoyequip4005	2	10000	400020
156	envoyequip4005	3	6000	400030
157	envoyequip4005	4	10000	400040
158	envoyequip4005	5	10000	400050
159	envoyequip4006	1	3000	406010
160	envoyequip4006	2	10000	400020
161	envoyequip4006	3	6000	400030
162	envoyequip4006	4	10000	400040
163	envoyequip4006	5	10000	400050
164	envoyequip4006	1	3000	406011
165	envoyequip4006	2	10000	400020
166	envoyequip4006	3	6000	400030
167	envoyequip4006	4	10000	400040
168	envoyequip4006	5	10000	400050
169	envoyequip3001	1	10000	300010
170	envoyequip3001	2	5000	301020
171	envoyequip3001	3	10000	300030
172	envoyequip3001	4	10000	300040
173	envoyequip3002	1	10000	300010
174	envoyequip3002	2	5000	302020
175	envoyequip3002	3	10000	300030
176	envoyequip3002	4	10000	300040
177	envoyequip3003	1	10000	300010
178	envoyequip3003	2	5000	303020
179	envoyequip3003	3	10000	300030
180	envoyequip3003	4	10000	300040
181	envoyequip3004	1	10000	300010
182	envoyequip3004	2	5000	304020
183	envoyequip3004	3	10000	300030
184	envoyequip3004	4	10000	300040
185	envoyequip3005	1	10000	300010
186	envoyequip3005	2	5000	305020
187	envoyequip3005	3	10000	300130
188	envoyequip3005	4	10000	300030
189	envoyequip3006	1	10000	300010
190	envoyequip3006	2	5000	306020
191	envoyequip3006	3	10000	300130
192	envoyequip3006	4	10000	300040
193	envoyequip3007	1	10000	300010
194	envoyequip3007	2	5000	307020
195	envoyequip3007	3	10000	300130
196	envoyequip3007	4	10000	300030
197	envoyequip3008	1	10000	300010
198	envoyequip3008	2	5000	308020
199	envoyequip3008	3	10000	300130
200	envoyequip3008	4	10000	300040
201	envoyequip3009	1	10000	300010
202	envoyequip3009	2	5000	309020
203	envoyequip3009	3	10000	300130
204	envoyequip3009	4	10000	300030
205	envoyequip3010	1	10000	300010
206	envoyequip3010	2	5000	310020
207	envoyequip3010	3	10000	300130
208	envoyequip3010	4	10000	300040
209	envoyequip2001	1	3000	201010
210	envoyequip2001	2	10000	200020
211	envoyequip2001	3	10000	200030
212	envoyequip2002	1	3000	202010
213	envoyequip2002	2	10000	200020
214	envoyequip2002	3	10000	200030
215	envoyequip2003	1	3000	203010
216	envoyequip2003	2	10000	200020
217	envoyequip2003	3	10000	200030
218	envoyequip2004	1	3000	204010
219	envoyequip2004	2	10000	200020
220	envoyequip2004	3	10000	200030
221	envoyequip2005	1	3000	205010
222	envoyequip2005	2	10000	200020
223	envoyequip2005	3	10000	200030
224	envoyequip2006	1	3000	206010
225	envoyequip2006	2	10000	200020
226	envoyequip2006	3	10000	200030
227	envoyequip2007	1	3000	207010
228	envoyequip2007	2	10000	200020
229	envoyequip2007	3	10000	200030
230	envoyequip2008	1	1500	208010
231	envoyequip2008	2	10000	200120
232	envoyequip2008	3	10000	200020
233	envoyequip2009	1	1500	209010
234	envoyequip2009	2	10000	200120
235	envoyequip2009	3	10000	200030
236	envoyequip2010	1	1500	210010
237	envoyequip2010	2	10000	200120
238	envoyequip2010	3	10000	200130
