流水ID	套装ID	套装类型	套装等级	套装名字	套装基础属性	套装神授属性	套装buffID	孔位镶嵌方案	套装图标	预览图	额外镶嵌上限	激活特效	所需神石盘单行最大数	套装buff名字	套装buff描述	基础血量属性	每格增加血量属性	最大层数
15	1705	1	3	SuitName1705	3,200;12,20;33,40;52,200;173,200	1,1000;3,100;4,100;21,100;51,100		0,0;2,2;1,3;2,0;1,-1;0,2	divinestone_suit05	divinestone_suit105	0	1830005	5					0
16	1706	1	1	SuitName1706	3,100;12,10;30,40;52,100;174,100	1,500;3,50;4,50;22,50;51,50		0,0;4,2;4,0;3,-1;2,-2;1,-1;0,2	divinestone_suit06	divinestone_suit106	0	1830006	5					0
17	1706	1	2	SuitName1706	3,160;12,16;30,64;52,160;174,160	1,750;3,75;4,75;22,75;51,75		0,0;4,2;4,0;3,-1;2,-2;1,-1;0,2	divinestone_suit06	divinestone_suit106	0	1830006	5					0
18	1706	1	3	SuitName1706	3,200;12,20;30,80;52,200;174,200	1,1000;3,100;4,100;22,100;51,100		0,0;4,2;4,0;3,-1;2,-2;1,-1;0,2	divinestone_suit06	divinestone_suit106	0	1830006	5					0
19	2801	2	1	SuitName2801	1,8000;11,100;12,100;13,100;33,50	1,10000;3,1000;4,1000;23,400;24,400	skill40404::buff_09	0,0,4;4,6,4;3,5,3;2,6,3;3,3,3;2,4,4;1,5,3;2,2,3;1,3,3;-1,3,4;0,2,4	divinestone_suit07	divinestone_suit107	0	1830007	7	SuitName2801_1	SuitDes2809_1			0
20	2801	2	2	SuitName2801	1,12000;11,150;12,150;13,150;33,75	1,15000;3,1500;4,1500;23,600;24,600	skill40404::buff_09	0,0,4;4,6,4;3,5,3;2,6,3;3,3,3;2,4,4;1,5,3;2,2,3;1,3,3;-1,3,4;0,2,4	divinestone_suit07	divinestone_suit107	0	1830007	7	SuitName2801_2	SuitDes2809_2			0
21	2801	2	3	SuitName2801	1,16000;11,200;12,200;13,200;33,100	1,20000;3,2000;4,2000;23,800;24,800	skill40404::buff_09	0,0,4;4,6,4;3,5,3;2,6,3;3,3,3;2,4,4;1,5,3;2,2,3;1,3,3;-1,3,4;0,2,4	divinestone_suit07	divinestone_suit107	0	1830007	7	SuitName2801_3	SuitDes2809_3			0
22	2802	2	1	SuitName2802	3,1000;11,100;12,100;13,100;32,100	1,10000;3,1000;4,1000;173,500;174,500	skill40404::buff_07	0,0,6;4,2,6;4,0,6;3,3,6;3,1,2;3,-1,6;2,2,2;2,0,2;1,3,2;1,-1,2;0,2,6	divinestone_suit08	divinestone_suit108	0	1830008	5	SuitName2802_1	SuitDes2807_1			0
23	2802	2	2	SuitName2802	3,1500;11,150;12,150;13,150;35,150	1,15000;3,1500;4,1500;173,750;26,750	skill40404::buff_07	0,0,6;4,2,6;4,0,6;3,3,6;3,1,2;3,-1,6;2,2,2;2,0,2;1,3,2;1,-1,2;0,2,6	divinestone_suit08	divinestone_suit108	0	1830008	5	SuitName2802_2	SuitDes2807_2			0
24	2802	2	3	SuitName2802	3,2000;11,200;12,200;13,200;35,200	1,20000;3,2000;4,2000;173,1000;26,1000	skill40404::buff_07	0,0,6;4,2,6;4,0,6;3,3,6;3,1,2;3,-1,6;2,2,2;2,0,2;1,3,2;1,-1,2;0,2,6	divinestone_suit08	divinestone_suit108	0	1830008	5	SuitName2802_3	SuitDes2807_3			0
25	2803	2	1	SuitName2803	4,1200;11,100;12,100;13,100;34,100	1,10000;3,1000;4,1000;21,400;22,400	skill40404::buff_08	0,0,6;-1,9,3;0,8,3;1,7,3;1,5,3;0,6,6;-3,3,1;-2,4,1;-2,2,1;1,3,3;0,4,6;-1,3,6;0,2,6;1,1,3	divinestone_suit09	divinestone_suit109	0	1830009	7	SuitName2803_1	SuitDes2808_1			0
26	2803	2	2	SuitName2803	4,1800;11,150;12,150;13,150;34,150	1,15000;3,1500;4,1500;21,600;22,600	skill40404::buff_08	0,0,6;-1,9,3;0,8,3;1,7,3;1,5,3;0,6,6;-3,3,1;-2,4,1;-2,2,1;1,3,3;0,4,6;-1,3,6;0,2,6;1,1,3	divinestone_suit09	divinestone_suit109	0	1830009	7	SuitName2803_2	SuitDes2808_2			0
27	2803	2	3	SuitName2803	4,2400;11,200;12,200;13,200;34,200	1,20000;3,2000;4,2000;21,800;22,800	skill40404::buff_08	0,0,6;-1,9,3;0,8,3;1,7,3;1,5,3;0,6,6;-3,3,1;-2,4,1;-2,2,1;1,3,3;0,4,6;-1,3,6;0,2,6;1,1,3	divinestone_suit09	divinestone_suit109	0	1830009	7	SuitName2803_3	SuitDes2808_3			0
28	2804	2	1	SuitName2804	4,1200;11,100;12,100;13,100;35,100	1,10000;3,1000;4,1000;25,400;26,400	skill40404::buff_10	0,0,1;3,7,3;2,8,3;3,5,3;2,6,1;3,3,3;2,4,1;3,1,4;2,2,1;2,0,4;1,1,1;1,-1,4	divinestone_suit10	divinestone_suit110	2	1830010	7	SuitName2804_1	SuitDes2810_1			0
29	2804	2	2	SuitName2804	4,1800;11,150;12,150;13,150;30,150	1,15000;3,1500;4,1500;25,600;52,600	skill40404::buff_10	0,0,1;3,7,3;2,8,3;3,5,3;2,6,1;3,3,3;2,4,1;3,1,4;2,2,1;2,0,4;1,1,1;1,-1,4	divinestone_suit10	divinestone_suit110	3	1830010	7	SuitName2804_2	SuitDes2810_2			0
30	2804	2	3	SuitName2804	4,2400;11,200;12,200;13,200;30,200	1,20000;3,2000;4,2000;25,800;52,800	skill40404::buff_10	0,0,1;3,7,3;2,8,3;3,5,3;2,6,1;3,3,3;2,4,1;3,1,4;2,2,1;2,0,4;1,1,1;1,-1,4	divinestone_suit10	divinestone_suit110	5	1830010	7	SuitName2804_3	SuitDes2810_3			0
31	2805	2	1	SuitName2805	1,10000;11,100;12,100;13,100;31,50	1,10000;3,1000;4,1000;153,400;154,400	skill40404::buff_01	0,0,5;3,7,5;2,6,5;0,8,5;1,5,6;0,6,6;3,1,5;2,2,5;1,3,6;0,4,5;-1,5,6;-2,4,5;-1,3,6;0,2,6	divinestone_suit11	divinestone_suit111	0	1830011	7	SuitName2805_1	SuitDes2801_1		11,80	30
32	2805	2	2	SuitName2805	1,15000;11,150;12,150;13,150;32,75	1,15000;3,1500;4,1500;153,600;174,600	skill40404::buff_01	0,0,5;3,7,5;2,6,5;0,8,5;1,5,6;0,6,6;3,1,5;2,2,5;1,3,6;0,4,5;-1,5,6;-2,4,5;-1,3,6;0,2,6	divinestone_suit11	divinestone_suit111	0	1830011	7	SuitName2805_2	SuitDes2801_2		11,120	30
33	2805	2	3	SuitName2805	1,20000;11,200;12,200;13,200;32,100	1,20000;3,2000;4,2000;153,800;174,800	skill40404::buff_01	0,0,5;3,7,5;2,6,5;0,8,5;1,5,6;0,6,6;3,1,5;2,2,5;1,3,6;0,4,5;-1,5,6;-2,4,5;-1,3,6;0,2,6	divinestone_suit11	divinestone_suit111	0	1830011	7	SuitName2805_3	SuitDes2801_3		11,200	30
34	2806	2	1	SuitName2806	3,1000;11,100;12,100;13,100;30,100	1,10000;3,1000;4,1000;51,300;52,300	skill40404::buff_05	0,0,5;4,10,2;3,11,2;3,9,2;3,7,2;3,5,2;2,6,2;1,5,5;0,4,5;-1,3,5;0,2,5	divinestone_suit12	divinestone_suit112	0	1830012	9	SuitName2806_1	SuitDes2805_1			0
35	2806	2	2	SuitName2806	3,1500;11,150;12,150;13,150;31,150	1,15000;3,1500;4,1500;51,450;154,450	skill40404::buff_05	0,0,5;4,10,2;3,11,2;3,9,2;3,7,2;3,5,2;2,6,2;1,5,5;0,4,5;-1,3,5;0,2,5	divinestone_suit12	divinestone_suit112	0	1830012	9	SuitName2806_2	SuitDes2805_2			0
36	2806	2	3	SuitName2806	3,2000;11,200;12,200;13,200;31,200	1,20000;3,2000;4,2000;51,600;154,600	skill40404::buff_05	0,0,5;4,10,2;3,11,2;3,9,2;3,7,2;3,5,2;2,6,2;1,5,5;0,4,5;-1,3,5;0,2,5	divinestone_suit12	divinestone_suit112	0	1830012	9	SuitName2806_3	SuitDes2805_3			0
37	2807	2	1	SuitName2807	3,1000;11,100;12,100;13,100;206,120	1,10000;3,1000;4,1000;30,300;31,300	skill40404::buff_03	0,0,1;3,7,4;2,8,4;1,9,4;0,10,4;3,5,3;2,6,3;1,7,3;4,2,1;3,3,3;2,4,3;4,0,1;3,1,1;2,2,3;1,3,3;0,4,1;2,0,1;2,-2,1;1,1,1;0,2,1;1,-1,1	divinestone_suit13	divinestone_suit113	0	1830013	9	SuitName2807_1	SuitDes2803_1			0
38	2807	2	2	SuitName2807	3,1500;11,150;12,150;13,150;185,180	1,15000;3,1500;4,1500;30,450;33,450	skill40404::buff_03	0,0,1;3,7,4;2,8,4;1,9,4;0,10,4;3,5,3;2,6,3;1,7,3;4,2,1;3,3,3;2,4,3;4,0,1;3,1,1;2,2,3;1,3,3;0,4,1;2,0,1;2,-2,1;1,1,1;0,2,1;1,-1,1	divinestone_suit13	divinestone_suit113	0	1830013	9	SuitName2807_2	SuitDes2803_2			0
39	2807	2	3	SuitName2807	3,2000;11,200;12,200;13,200;185,240	1,20000;3,2000;4,2000;30,600;33,600	skill40404::buff_03	0,0,1;3,7,4;2,8,4;1,9,4;0,10,4;3,5,3;2,6,3;1,7,3;4,2,1;3,3,3;2,4,3;4,0,1;3,1,1;2,2,3;1,3,3;0,4,1;2,0,1;2,-2,1;1,1,1;0,2,1;1,-1,1	divinestone_suit13	divinestone_suit113	0	1830013	9	SuitName2807_3	SuitDes2803_3			0
40	2808	2	1	SuitName2808	4,1200;11,100;12,100;13,100;185,50	1,10000;3,1000;4,1000;32,300;33,300	skill40404::buff_04	0,0,4;4,6,4;3,7,4;2,6,4;1,5,4;0,6,4;-3,5,2;-2,4,2;1,3,1;0,4,1;-1,3,1;0,2,1	divinestone_suit14	divinestone_suit114	0	1830014	9	SuitName2808_1	SuitDes2804_1			0
41	2808	2	2	SuitName2808	4,1800;11,150;12,150;13,150;206,75	1,15000;3,1500;4,1500;32,450;31,450	skill40404::buff_04	0,0,4;4,6,4;3,7,4;2,6,4;1,5,4;0,6,4;-3,5,2;-2,4,2;1,3,1;0,4,1;-1,3,1;0,2,1	divinestone_suit14	divinestone_suit114	0	1830014	9	SuitName2808_2	SuitDes2804_2			0
42	2808	2	3	SuitName2808	4,2400;11,200;12,200;13,200;206,100	1,20000;3,2000;4,2000;32,600;31,600	skill40404::buff_04	0,0,4;4,6,4;3,7,4;2,6,4;1,5,4;0,6,4;-3,5,2;-2,4,2;1,3,1;0,4,1;-1,3,1;0,2,1	divinestone_suit14	divinestone_suit114	0	1830014	9	SuitName2808_3	SuitDes2804_3			0
43	2809	2	1	SuitName2809	3,1000;11,100;12,100;13,100;51,100	1,10000;3,1000;4,1000;34,300;35,300	skill40404::buff_02	0,0,4;4,6,2;3,5,5;2,6,5;3,3,5;2,4,5;4,0,2;3,1,2;2,2,5;2,0,4;1,1,4;0,2,4;1,-1,4	divinestone_suit15	divinestone_suit115	0	1830015	7	SuitName2809_1	SuitDes2802_1			0
44	2809	2	2	SuitName2809	3,1500;11,150;12,150;13,150;51,150	1,15000;3,1500;4,1500;34,450;35,450	skill40404::buff_02	0,0,4;4,6,2;3,5,5;2,6,5;3,3,5;2,4,5;4,0,2;3,1,2;2,2,5;2,0,4;1,1,4;0,2,4;1,-1,4	divinestone_suit15	divinestone_suit115	0	1830015	7	SuitName2809_2	SuitDes2802_2			0
45	2809	2	3	SuitName2809	3,2000;11,200;12,200;13,200;51,200	1,20000;3,2000;4,2000;34,600;35,600	skill40404::buff_02	0,0,4;4,6,2;3,5,5;2,6,5;3,3,5;2,4,5;4,0,2;3,1,2;2,2,5;2,0,4;1,1,4;0,2,4;1,-1,4	divinestone_suit15	divinestone_suit115	0	1830015	7	SuitName2809_3	SuitDes2802_3			0
46	2810	2	1	SuitName2810	1,12000;11,100;12,100;13,100;52,100	1,10000;3,1000;4,1000;28,100;36,500	skill40404::buff_06	0,0,2;5,5,2;3,7,6;4,4,2;3,5,6;2,6,6;5,1,5;4,2,5;3,3,2;2,4,6;4,0,5;3,1,5;2,2,2;1,1,2	divinestone_suit16	divinestone_suit116	0	1830016	7	SuitName2810_1	SuitDes2806_1			0
47	2810	2	2	SuitName2810	1,18000;11,150;12,150;13,150;52,150	1,15000;3,1500;4,1500;28,150;36,750	skill40404::buff_06	0,0,2;5,5,2;3,7,6;4,4,2;3,5,6;2,6,6;5,1,5;4,2,5;3,3,2;2,4,6;4,0,5;3,1,5;2,2,2;1,1,2	divinestone_suit16	divinestone_suit116	0	1830016	7	SuitName2810_2	SuitDes2806_2			0
48	2810	2	3	SuitName2810	1,24000;11,200;12,200;13,200;52,200	1,20000;3,2000;4,2000;28,200;36,1000	skill40404::buff_06	0,0,2;5,5,2;3,7,6;4,4,2;3,5,6;2,6,6;5,1,5;4,2,5;3,3,2;2,4,6;4,0,5;3,1,5;2,2,2;1,1,2	divinestone_suit16	divinestone_suit116	0	1830016	7	SuitName2810_3	SuitDes2806_3			0
