唯一id	对象类型	解锁类型	前置任务	解锁目标	解锁参数	解锁描述
129	RidePetNpc	1	128	1	10000000	
130	RidePetNpc	1	129	1	10000000	
131	RidePetNpc	1	130	1	10000000	
132	RidePetNpc	1	131	1	10000000	
133	RidePetNpc	1	132	1	10000000	
134	RidePetNpc	1	133	1	10000000	
135	RidePetNpc	1	134	1	10000000	
136	RidePetNpc	1	135	1	10000000	
137	RidePetNpc	1	136	1	10000000	
138	RidePetNpc	1	137	1	10000000	
139	RidePetNpc	1	138	1	10000000	
140	RidePetNpc	1	139	1	10000000	
141	RidePetNpc	1	140	1	10000000	
142	RidePetNpc	1	141	1	10000000	
143	RidePetNpc	1	142	1	10000000	
144	RidePetNpc	1	143	1	10000000	
145	RidePetNpc	1	144	1	10000000	
146	RidePetNpc	1	145	1	10000000	
147	RidePetNpc	1	146	1	10000000	
148	RidePetNpc	1	147	1	10000000	
149	RidePetNpc	1	148	1	10000000	
150	RidePetNpc	1	149	1	10000000	
151	RidePetNpc	1	150	1	10000000	
152	RidePetNpc	1	151	1	10000000	
153	RidePetNpc	1	152	1	10000000	
154	RidePetNpc	1	153	1	10000000	
155	RidePetNpc	1	154	1	10000000	
156	RidePetNpc	1	155	1	10000000	
157	RidePetNpc	1	156	1	10000000	
158	RidePetNpc	1	157	1	10000000	
159	RidePetNpc	1	158	1	10000000	
160	RidePetNpc	1	159	1	10000000	
161	RidePetNpc	1	160	1	10000000	
162	RidePetNpc	1	161	1	10000000	
163	RidePetNpc	1	162	1	10000000	
164	RidePetNpc	1	163	1	10000000	
165	RidePetNpc	1	164	1	10000000	
166	RidePetNpc	1	165	1	10000000	
167	RidePetNpc	1	166	1	10000000	
168	RidePetNpc	1	167	1	10000000	
169	RidePetNpc	1	168	1	10000000	
170	RidePetNpc	1	169	1	10000000	
171	RidePetNpc	1	170	1	10000000	
172	RidePetNpc	1	171	1	10000000	
173	RidePetNpc	1	172	1	10000000	
174	RidePetNpc	1	173	1	10000000	
175	RidePetNpc	1	174	1	10000000	
176	RidePetNpc	1	175	1	10000000	
177	RidePetNpc	1	176	1	10000000	
178	RidePetNpc	1	177	1	10000000	
40	BabyPetNpc	0	0		0	
41	BabyPetNpc	0	0		0	
42	BabyPetNpc	1	0	1	500000	
43	BabyPetNpc	1	42	1	500000	
44	BabyPetNpc	1	43	1	1000000	
45	BabyPetNpc	1	44	1	1000000	
46	BabyPetNpc	1	45	1	1000000	
47	BabyPetNpc	1	46	1	1000000	
48	BabyPetNpc	1	47	1	1000000	
49	BabyPetNpc	1	48	1	1000000	
50	EggPetNpc	0	0		0	
51	EggPetNpc	0	0		0	
