流水	战宠	个性	权重
360	pet_170	11905	351
361	pet_172	10804	87
362	pet_172	10805	349
363	pet_172	10904	150
364	pet_172	10905	600
365	pet_172	11004	260
366	pet_172	11005	1040
367	pet_172	11104	260
368	pet_172	11105	1040
369	pet_172	11204	260
370	pet_172	11205	1040
371	pet_172	11304	260
372	pet_172	11305	1040
373	pet_172	11404	87
374	pet_172	11405	349
375	pet_172	11504	150
376	pet_172	11505	600
377	pet_172	11604	160
378	pet_172	11605	640
379	pet_172	11704	150
380	pet_172	11705	600
381	pet_172	11804	87
382	pet_172	11805	349
383	pet_172	11904	87
384	pet_172	11905	351
385	pet_174	10704	87
386	pet_174	10705	349
387	pet_174	10904	150
388	pet_174	10905	600
389	pet_174	11004	260
390	pet_174	11005	1040
391	pet_174	11104	260
392	pet_174	11105	1040
393	pet_174	11204	260
394	pet_174	11205	1040
395	pet_174	11304	260
396	pet_174	11305	1040
397	pet_174	11404	87
398	pet_174	11405	349
399	pet_174	11504	150
400	pet_174	11505	600
401	pet_174	11604	160
402	pet_174	11605	640
403	pet_174	11704	150
404	pet_174	11705	600
405	pet_174	11804	87
406	pet_174	11805	349
407	pet_174	11904	87
408	pet_174	11905	351
409	pet_131	10803	61
410	pet_131	10804	201
411	pet_131	10805	174
412	pet_131	10903	105
413	pet_131	10904	345
414	pet_131	10905	300
415	pet_131	11003	182
416	pet_131	11004	598
417	pet_131	11005	520
418	pet_131	11103	182
419	pet_131	11104	598
420	pet_131	11105	520
421	pet_131	11203	182
422	pet_131	11204	598
423	pet_131	11205	520
424	pet_131	11303	182
425	pet_131	11304	598
426	pet_131	11305	520
427	pet_131	11403	61
428	pet_131	11404	201
429	pet_131	11405	174
430	pet_131	11503	105
431	pet_131	11504	345
432	pet_131	11505	300
433	pet_131	11603	112
434	pet_131	11604	368
435	pet_131	11605	320
436	pet_131	11703	105
437	pet_131	11704	345
438	pet_131	11705	300
439	pet_131	11803	61
440	pet_131	11804	201
441	pet_131	11805	174
442	pet_131	11903	61
443	pet_131	11904	201
444	pet_131	11905	175
445	pet_141	10803	61
446	pet_141	10804	201
447	pet_141	10805	174
448	pet_141	10903	105
449	pet_141	10904	345
450	pet_141	10905	300
451	pet_141	11003	182
452	pet_141	11004	598
453	pet_141	11005	520
454	pet_141	11103	182
455	pet_141	11104	598
456	pet_141	11105	520
457	pet_141	11203	182
458	pet_141	11204	598
459	pet_141	11205	520
460	pet_141	11303	182
461	pet_141	11304	598
462	pet_141	11305	520
463	pet_141	11403	61
464	pet_141	11404	201
465	pet_141	11405	174
466	pet_141	11503	105
467	pet_141	11504	345
468	pet_141	11505	300
469	pet_141	11603	112
470	pet_141	11604	368
471	pet_141	11605	320
472	pet_141	11703	105
473	pet_141	11704	345
474	pet_141	11705	300
475	pet_141	11803	61
476	pet_141	11804	201
477	pet_141	11805	174
478	pet_141	11903	61
479	pet_141	11904	201
480	pet_141	11905	175
481	pet_161	10803	61
482	pet_161	10804	201
483	pet_161	10805	174
484	pet_161	10903	105
485	pet_161	10904	345
486	pet_161	10905	300
487	pet_161	11003	182
488	pet_161	11004	598
489	pet_161	11005	520
490	pet_161	11103	182
491	pet_161	11104	598
492	pet_161	11105	520
493	pet_161	11203	182
494	pet_161	11204	598
495	pet_161	11205	520
496	pet_161	11303	182
497	pet_161	11304	598
498	pet_161	11305	520
499	pet_161	11403	61
500	pet_161	11404	201
501	pet_161	11405	174
502	pet_161	11503	105
503	pet_161	11504	345
504	pet_161	11505	300
505	pet_161	11603	112
506	pet_161	11604	368
507	pet_161	11605	320
508	pet_161	11703	105
509	pet_161	11704	345
510	pet_161	11705	300
511	pet_161	11803	61
512	pet_161	11804	201
513	pet_161	11805	174
514	pet_161	11903	61
515	pet_161	11904	201
516	pet_161	11905	175
517	pet_163	10803	61
518	pet_163	10804	201
519	pet_163	10805	174
520	pet_163	10903	105
521	pet_163	10904	345
522	pet_163	10905	300
523	pet_163	11003	182
524	pet_163	11004	598
525	pet_163	11005	520
526	pet_163	11103	182
527	pet_163	11104	598
528	pet_163	11105	520
529	pet_163	11203	182
530	pet_163	11204	598
531	pet_163	11205	520
532	pet_163	11303	182
533	pet_163	11304	598
534	pet_163	11305	520
535	pet_163	11403	61
536	pet_163	11404	201
537	pet_163	11405	174
538	pet_163	11503	105
539	pet_163	11504	345
540	pet_163	11505	300
541	pet_163	11603	112
542	pet_163	11604	368
543	pet_163	11605	320
544	pet_163	11703	105
545	pet_163	11704	345
546	pet_163	11705	300
547	pet_163	11803	61
548	pet_163	11804	201
549	pet_163	11805	174
550	pet_163	11903	61
551	pet_163	11904	201
552	pet_163	11905	175
553	pet_165	10803	61
554	pet_165	10804	201
555	pet_165	10805	174
556	pet_165	10903	105
557	pet_165	10904	345
558	pet_165	10905	300
559	pet_165	11003	182
560	pet_165	11004	598
561	pet_165	11005	520
562	pet_165	11103	182
563	pet_165	11104	598
564	pet_165	11105	520
565	pet_165	11203	182
566	pet_165	11204	598
567	pet_165	11205	520
568	pet_165	11303	182
569	pet_165	11304	598
570	pet_165	11305	520
571	pet_165	11403	61
572	pet_165	11404	201
573	pet_165	11405	174
574	pet_165	11503	105
575	pet_165	11504	345
576	pet_165	11505	300
577	pet_165	11603	112
578	pet_165	11604	368
579	pet_165	11605	320
580	pet_165	11703	105
581	pet_165	11704	345
582	pet_165	11705	300
583	pet_165	11803	61
584	pet_165	11804	201
585	pet_165	11805	174
586	pet_165	11903	61
587	pet_165	11904	201
588	pet_165	11905	175
589	pet_167	10703	61
590	pet_167	10704	201
591	pet_167	10705	174
592	pet_167	10903	105
593	pet_167	10904	345
594	pet_167	10905	300
595	pet_167	11003	182
596	pet_167	11004	598
597	pet_167	11005	520
598	pet_167	11103	182
599	pet_167	11104	598
600	pet_167	11105	520
601	pet_167	11203	182
602	pet_167	11204	598
603	pet_167	11205	520
604	pet_167	11303	182
605	pet_167	11304	598
606	pet_167	11305	520
607	pet_167	11403	61
608	pet_167	11404	201
609	pet_167	11405	174
610	pet_167	11503	105
611	pet_167	11504	345
612	pet_167	11505	300
613	pet_167	11603	112
614	pet_167	11604	368
615	pet_167	11605	320
616	pet_167	11703	105
617	pet_167	11704	345
618	pet_167	11705	300
619	pet_167	11803	61
620	pet_167	11804	201
621	pet_167	11805	174
622	pet_167	11903	61
623	pet_167	11904	201
624	pet_167	11905	175
625	pet_169	10703	61
626	pet_169	10704	201
627	pet_169	10705	174
628	pet_169	10903	105
629	pet_169	10904	345
630	pet_169	10905	300
631	pet_169	11003	182
632	pet_169	11004	598
633	pet_169	11005	520
634	pet_169	11103	182
635	pet_169	11104	598
636	pet_169	11105	520
637	pet_169	11203	182
638	pet_169	11204	598
639	pet_169	11205	520
640	pet_169	11303	182
641	pet_169	11304	598
642	pet_169	11305	520
643	pet_169	11403	61
644	pet_169	11404	201
645	pet_169	11405	174
646	pet_169	11503	105
647	pet_169	11504	345
648	pet_169	11505	300
649	pet_169	11603	112
650	pet_169	11604	368
651	pet_169	11605	320
652	pet_169	11703	105
653	pet_169	11704	345
654	pet_169	11705	300
655	pet_169	11803	61
656	pet_169	11804	201
657	pet_169	11805	174
658	pet_169	11903	61
659	pet_169	11904	201
660	pet_169	11905	175
661	pet_171	10703	61
662	pet_171	10704	201
663	pet_171	10705	174
664	pet_171	10903	105
665	pet_171	10904	345
666	pet_171	10905	300
667	pet_171	11003	182
668	pet_171	11004	598
669	pet_171	11005	520
670	pet_171	11103	182
671	pet_171	11104	598
672	pet_171	11105	520
673	pet_171	11203	182
674	pet_171	11204	598
675	pet_171	11205	520
676	pet_171	11303	182
677	pet_171	11304	598
678	pet_171	11305	520
679	pet_171	11403	61
680	pet_171	11404	201
681	pet_171	11405	174
682	pet_171	11503	105
683	pet_171	11504	345
684	pet_171	11505	300
685	pet_171	11603	112
686	pet_171	11604	368
687	pet_171	11605	320
688	pet_171	11703	105
689	pet_171	11704	345
690	pet_171	11705	300
691	pet_171	11803	61
692	pet_171	11804	201
693	pet_171	11805	174
694	pet_171	11903	61
695	pet_171	11904	201
696	pet_171	11905	175
697	pet_173	10803	61
698	pet_173	10804	201
699	pet_173	10805	174
700	pet_173	10903	105
701	pet_173	10904	345
702	pet_173	10905	300
703	pet_173	11003	182
704	pet_173	11004	598
705	pet_173	11005	520
706	pet_173	11103	182
707	pet_173	11104	598
708	pet_173	11105	520
709	pet_173	11203	182
710	pet_173	11204	598
711	pet_173	11205	520
712	pet_173	11303	182
713	pet_173	11304	598
714	pet_173	11305	520
715	pet_173	11403	61
716	pet_173	11404	201
717	pet_173	11405	174
718	pet_173	11503	105
719	pet_173	11504	345
720	pet_173	11505	300
721	pet_173	11603	112
722	pet_173	11604	368
723	pet_173	11605	320
724	pet_173	11703	105
725	pet_173	11704	345
726	pet_173	11705	300
727	pet_173	11803	61
728	pet_173	11804	201
729	pet_173	11805	174
730	pet_173	11903	61
731	pet_173	11904	201
732	pet_173	11905	175
733	pet_175	10703	61
734	pet_175	10704	201
735	pet_175	10705	174
736	pet_175	10903	105
737	pet_175	10904	345
738	pet_175	10905	300
739	pet_175	11003	182
740	pet_175	11004	598
741	pet_175	11005	520
742	pet_175	11103	182
743	pet_175	11104	598
744	pet_175	11105	520
745	pet_175	11203	182
746	pet_175	11204	598
747	pet_175	11205	520
748	pet_175	11303	182
749	pet_175	11304	598
750	pet_175	11305	520
751	pet_175	11403	61
752	pet_175	11404	201
753	pet_175	11405	174
754	pet_175	11503	105
755	pet_175	11504	345
756	pet_175	11505	300
757	pet_175	11603	112
758	pet_175	11604	368
759	pet_175	11605	320
760	pet_175	11703	105
761	pet_175	11704	345
762	pet_175	11705	300
763	pet_175	11803	61
764	pet_175	11804	201
765	pet_175	11805	174
766	pet_175	11903	61
767	pet_175	11904	201
768	pet_175	11905	175
769	pet_176	10803	61
770	pet_176	10804	201
771	pet_176	10805	174
772	pet_176	10903	105
773	pet_176	10904	345
774	pet_176	10905	300
775	pet_176	11003	182
776	pet_176	11004	598
777	pet_176	11005	520
778	pet_176	11103	182
779	pet_176	11104	598
780	pet_176	11105	520
781	pet_176	11203	182
782	pet_176	11204	598
783	pet_176	11205	520
784	pet_176	11303	182
785	pet_176	11304	598
786	pet_176	11305	520
787	pet_176	11403	61
788	pet_176	11404	201
789	pet_176	11405	174
790	pet_176	11503	105
791	pet_176	11504	345
792	pet_176	11505	300
793	pet_176	11603	112
794	pet_176	11604	368
795	pet_176	11605	320
796	pet_176	11703	105
797	pet_176	11704	345
798	pet_176	11705	300
799	pet_176	11803	61
800	pet_176	11804	201
801	pet_176	11805	174
802	pet_176	11903	61
803	pet_176	11904	201
804	pet_176	11905	175
805	pet_180	10703	61
806	pet_180	10704	201
807	pet_180	10705	174
808	pet_180	10903	105
809	pet_180	10904	345
810	pet_180	10905	300
811	pet_180	11003	182
812	pet_180	11004	598
813	pet_180	11005	520
814	pet_180	11103	182
815	pet_180	11104	598
816	pet_180	11105	520
817	pet_180	11203	182
818	pet_180	11204	598
819	pet_180	11205	520
820	pet_180	11303	182
821	pet_180	11304	598
822	pet_180	11305	520
823	pet_180	11403	61
824	pet_180	11404	201
825	pet_180	11405	174
826	pet_180	11503	105
827	pet_180	11504	345
828	pet_180	11505	300
829	pet_180	11603	112
830	pet_180	11604	368
831	pet_180	11605	320
832	pet_180	11703	105
833	pet_180	11704	345
834	pet_180	11705	300
835	pet_180	11803	61
836	pet_180	11804	201
837	pet_180	11805	174
838	pet_180	11903	61
839	pet_180	11904	201
840	pet_180	11905	175
841	pet_182	10703	61
842	pet_182	10704	201
843	pet_182	10705	174
844	pet_182	10903	105
845	pet_182	10904	345
846	pet_182	10905	300
847	pet_182	11003	182
848	pet_182	11004	598
849	pet_182	11005	520
850	pet_182	11103	182
851	pet_182	11104	598
852	pet_182	11105	520
853	pet_182	11203	182
854	pet_182	11204	598
855	pet_182	11205	520
856	pet_182	11303	182
857	pet_182	11304	598
858	pet_182	11305	520
859	pet_182	11403	61
860	pet_182	11404	201
861	pet_182	11405	174
862	pet_182	11503	105
863	pet_182	11504	345
864	pet_182	11505	300
865	pet_182	11603	112
866	pet_182	11604	368
867	pet_182	11605	320
868	pet_182	11703	105
869	pet_182	11704	345
870	pet_182	11705	300
871	pet_182	11803	61
872	pet_182	11804	201
873	pet_182	11805	174
874	pet_182	11903	61
875	pet_182	11904	201
876	pet_182	11905	175
877	pet_184	10703	61
878	pet_184	10704	201
879	pet_184	10705	174
880	pet_184	10903	105
881	pet_184	10904	345
882	pet_184	10905	300
883	pet_184	11003	182
884	pet_184	11004	598
885	pet_184	11005	520
886	pet_184	11103	182
887	pet_184	11104	598
888	pet_184	11105	520
889	pet_184	11203	182
890	pet_184	11204	598
891	pet_184	11205	520
892	pet_184	11303	182
893	pet_184	11304	598
894	pet_184	11305	520
895	pet_184	11403	61
896	pet_184	11404	201
897	pet_184	11405	174
898	pet_184	11503	105
899	pet_184	11504	345
900	pet_184	11505	300
901	pet_184	11603	112
902	pet_184	11604	368
903	pet_184	11605	320
904	pet_184	11703	105
905	pet_184	11704	345
906	pet_184	11705	300
907	pet_184	11803	61
908	pet_184	11804	201
909	pet_184	11805	174
910	pet_184	11903	61
911	pet_184	11904	201
912	pet_184	11905	175
913	pet_186	10803	61
914	pet_186	10804	201
915	pet_186	10805	174
916	pet_186	10903	105
917	pet_186	10904	345
918	pet_186	10905	300
919	pet_186	11003	182
920	pet_186	11004	598
921	pet_186	11005	520
922	pet_186	11103	182
923	pet_186	11104	598
924	pet_186	11105	520
925	pet_186	11203	182
926	pet_186	11204	598
927	pet_186	11205	520
928	pet_186	11303	182
929	pet_186	11304	598
930	pet_186	11305	520
931	pet_186	11403	61
932	pet_186	11404	201
933	pet_186	11405	174
934	pet_186	11503	105
935	pet_186	11504	345
936	pet_186	11505	300
937	pet_186	11603	112
938	pet_186	11604	368
939	pet_186	11605	320
940	pet_186	11703	105
941	pet_186	11704	345
942	pet_186	11705	300
943	pet_186	11803	61
944	pet_186	11804	201
945	pet_186	11805	174
946	pet_186	11903	61
947	pet_186	11904	201
948	pet_186	11905	175
949	pet_199	10703	61
950	pet_199	10704	201
951	pet_199	10705	174
952	pet_199	10903	105
953	pet_199	10904	345
954	pet_199	10905	300
955	pet_199	11003	182
956	pet_199	11004	598
957	pet_199	11005	520
958	pet_199	11103	182
959	pet_199	11104	598
960	pet_199	11105	520
961	pet_199	11203	182
962	pet_199	11204	598
963	pet_199	11205	520
964	pet_199	11303	182
965	pet_199	11304	598
966	pet_199	11305	520
967	pet_199	11403	61
968	pet_199	11404	201
969	pet_199	11405	174
970	pet_199	11503	105
971	pet_199	11504	345
972	pet_199	11505	300
973	pet_199	11603	112
974	pet_199	11604	368
975	pet_199	11605	320
976	pet_199	11703	105
977	pet_199	11704	345
978	pet_199	11705	300
979	pet_199	11803	61
980	pet_199	11804	201
981	pet_199	11805	174
982	pet_199	11903	61
983	pet_199	11904	201
984	pet_199	11905	175
985	pet_201	10703	61
986	pet_201	10704	201
987	pet_201	10705	174
988	pet_201	10903	105
989	pet_201	10904	345
990	pet_201	10905	300
991	pet_201	11003	182
992	pet_201	11004	598
993	pet_201	11005	520
994	pet_201	11103	182
995	pet_201	11104	598
996	pet_201	11105	520
997	pet_201	11203	182
998	pet_201	11204	598
999	pet_201	11205	520
1000	pet_201	11303	182
1001	pet_201	11304	598
1002	pet_201	11305	520
1003	pet_201	11403	61
1004	pet_201	11404	201
1005	pet_201	11405	174
1006	pet_201	11503	105
1007	pet_201	11504	345
1008	pet_201	11505	300
1009	pet_201	11603	112
1010	pet_201	11604	368
1011	pet_201	11605	320
1012	pet_201	11703	105
1013	pet_201	11704	345
1014	pet_201	11705	300
1015	pet_201	11803	61
1016	pet_201	11804	201
1017	pet_201	11805	174
1018	pet_201	11903	61
1019	pet_201	11904	201
1020	pet_201	11905	175
1021	pet_134	10802	21
1022	pet_134	10803	74
1023	pet_134	10804	218
1024	pet_134	10805	122
1025	pet_134	10902	37
1026	pet_134	10903	127
1027	pet_134	10904	375
1028	pet_134	10905	210
1029	pet_134	11002	65
1030	pet_134	11003	221
1031	pet_134	11004	650
1032	pet_134	11005	364
1033	pet_134	11102	65
1034	pet_134	11103	221
1035	pet_134	11104	650
1036	pet_134	11105	364
1037	pet_134	11202	65
1038	pet_134	11203	221
1039	pet_134	11204	650
1040	pet_134	11205	364
1041	pet_134	11302	65
1042	pet_134	11303	221
1043	pet_134	11304	650
1044	pet_134	11305	364
1045	pet_134	11402	21
1046	pet_134	11403	74
1047	pet_134	11404	218
1048	pet_134	11405	122
1049	pet_134	11502	37
1050	pet_134	11503	127
1051	pet_134	11504	375
1052	pet_134	11505	210
1053	pet_134	11602	40
1054	pet_134	11603	136
1055	pet_134	11604	400
1056	pet_134	11605	224
1057	pet_134	11702	37
1058	pet_134	11703	127
1059	pet_134	11704	375
1060	pet_134	11705	210
1061	pet_134	11802	21
1062	pet_134	11803	74
1063	pet_134	11804	218
1064	pet_134	11805	122
1065	pet_134	11902	21
1066	pet_134	11903	74
1067	pet_134	11904	219
1068	pet_134	11905	122
1069	pet_144	10802	21
1070	pet_144	10803	74
1071	pet_144	10804	218
1072	pet_144	10805	122
1073	pet_144	10902	37
1074	pet_144	10903	127
1075	pet_144	10904	375
1076	pet_144	10905	210
1077	pet_144	11002	65
1078	pet_144	11003	221
1079	pet_144	11004	650
1080	pet_144	11005	364
1081	pet_144	11102	65
1082	pet_144	11103	221
1083	pet_144	11104	650
1084	pet_144	11105	364
1085	pet_144	11202	65
1086	pet_144	11203	221
1087	pet_144	11204	650
1088	pet_144	11205	364
1089	pet_144	11302	65
1090	pet_144	11303	221
1091	pet_144	11304	650
1092	pet_144	11305	364
1093	pet_144	11402	21
1094	pet_144	11403	74
1095	pet_144	11404	218
1096	pet_144	11405	122
1097	pet_144	11502	37
1098	pet_144	11503	127
1099	pet_144	11504	375
1100	pet_144	11505	210
1101	pet_144	11602	40
1102	pet_144	11603	136
1103	pet_144	11604	400
1104	pet_144	11605	224
1105	pet_144	11702	37
1106	pet_144	11703	127
1107	pet_144	11704	375
1108	pet_144	11705	210
1109	pet_144	11802	21
1110	pet_144	11803	74
1111	pet_144	11804	218
1112	pet_144	11805	122
1113	pet_144	11902	21
1114	pet_144	11903	74
1115	pet_144	11904	219
1116	pet_144	11905	122
1117	pet_177	10802	21
1118	pet_177	10803	74
1119	pet_177	10804	218
1120	pet_177	10805	122
1121	pet_177	10902	37
1122	pet_177	10903	127
1123	pet_177	10904	375
1124	pet_177	10905	210
1125	pet_177	11002	65
1126	pet_177	11003	221
1127	pet_177	11004	650
1128	pet_177	11005	364
1129	pet_177	11102	65
1130	pet_177	11103	221
1131	pet_177	11104	650
1132	pet_177	11105	364
1133	pet_177	11202	65
1134	pet_177	11203	221
1135	pet_177	11204	650
1136	pet_177	11205	364
1137	pet_177	11302	65
1138	pet_177	11303	221
1139	pet_177	11304	650
1140	pet_177	11305	364
1141	pet_177	11402	21
1142	pet_177	11403	74
1143	pet_177	11404	218
