编号	等级	部位	升级累积经验	对品质产出的影响	对装等产出的影响
63	62	1	195300	6200	12400
64	63	1	201600	6300	12600
65	64	1	208000	6400	12800
66	65	1	214500	6500	13000
67	66	1	221100	6600	13200
68	67	1	227800	6700	13400
69	68	1	234600	6800	13600
70	69	1	241500	6900	13800
71	70	1	248500	7000	14000
72	71	1	255600	7100	14200
73	72	1	262800	7200	14400
74	73	1	270100	7300	14600
75	74	1	277500	7400	14800
76	75	1	285000	7500	15000
77	76	1	292600	7600	15200
78	77	1	300300	7700	15400
79	78	1	308100	7800	15600
80	79	1	316000	7900	15800
81	80	1	324000	8000	16000
82	81	1	332100	8100	16200
83	82	1	340300	8200	16400
84	83	1	348600	8300	16600
85	84	1	357000	8400	16800
86	85	1	365500	8500	17000
87	86	1	374100	8600	17200
88	87	1	382800	8700	17400
89	88	1	391600	8800	17600
90	89	1	400500	8900	17800
91	90	1	409500	9000	18000
92	91	1	418600	9100	18200
93	92	1	427800	9200	18400
94	93	1	437100	9300	18600
95	94	1	446500	9400	18800
96	95	1	456000	9500	19000
97	96	1	465600	9600	19200
98	97	1	475300	9700	19400
99	98	1	485100	9800	19600
100	99	1	495000	9900	19800
101	100	1	505000	10000	20000
102	101	1	515100	10100	20200
103	102	1	525300	10200	20400
104	103	1	535600	10300	20600
105	104	1	546000	10400	20800
106	105	1	556500	10500	21000
107	106	1	567100	10600	21200
108	107	1	577800	10700	21400
109	108	1	588600	10800	21600
110	109	1	599500	10900	21800
111	110	1	610500	11000	22000
112	0	2	0	0	0
113	1	2	100	100	200
114	2	2	300	200	400
115	3	2	600	300	600
116	4	2	1000	400	800
117	5	2	1500	500	1000
118	6	2	2100	600	1200
119	7	2	2800	700	1400
120	8	2	3600	800	1600
121	9	2	4500	900	1800
122	10	2	5500	1000	2000
123	11	2	6600	1100	2200
124	12	2	7800	1200	2400
125	13	2	9100	1300	2600
126	14	2	10500	1400	2800
127	15	2	12000	1500	3000
128	16	2	13600	1600	3200
129	17	2	15300	1700	3400
130	18	2	17100	1800	3600
131	19	2	19000	1900	3800
132	20	2	21000	2000	4000
133	21	2	23100	2100	4200
134	22	2	25300	2200	4400
135	23	2	27600	2300	4600
136	24	2	30000	2400	4800
137	25	2	32500	2500	5000
138	26	2	35100	2600	5200
139	27	2	37800	2700	5400
140	28	2	40600	2800	5600
141	29	2	43500	2900	5800
142	30	2	46500	3000	6000
143	31	2	49600	3100	6200
144	32	2	52800	3200	6400
145	33	2	56100	3300	6600
146	34	2	59500	3400	6800
147	35	2	63000	3500	7000
148	36	2	66600	3600	7200
149	37	2	70300	3700	7400
150	38	2	74100	3800	7600
151	39	2	78000	3900	7800
152	40	2	82000	4000	8000
153	41	2	86100	4100	8200
154	42	2	90300	4200	8400
155	43	2	94600	4300	8600
156	44	2	99000	4400	8800
157	45	2	103500	4500	9000
158	46	2	108100	4600	9200
159	47	2	112800	4700	9400
160	48	2	117600	4800	9600
161	49	2	122500	4900	9800
162	50	2	127500	5000	10000
163	51	2	132600	5100	10200
164	52	2	137800	5200	10400
165	53	2	143100	5300	10600
166	54	2	148500	5400	10800
167	55	2	154000	5500	11000
168	56	2	159600	5600	11200
169	57	2	165300	5700	11400
170	58	2	171100	5800	11600
171	59	2	177000	5900	11800
172	60	2	183000	6000	12000
173	61	2	189100	6100	12200
174	62	2	195300	6200	12400
175	63	2	201600	6300	12600
176	64	2	208000	6400	12800
177	65	2	214500	6500	13000
178	66	2	221100	6600	13200
179	67	2	227800	6700	13400
180	68	2	234600	6800	13600
181	69	2	241500	6900	13800
182	70	2	248500	7000	14000
183	71	2	255600	7100	14200
184	72	2	262800	7200	14400
185	73	2	270100	7300	14600
186	74	2	277500	7400	14800
187	75	2	285000	7500	15000
188	76	2	292600	7600	15200
189	77	2	300300	7700	15400
190	78	2	308100	7800	15600
191	79	2	316000	7900	15800
192	80	2	324000	8000	16000
193	81	2	332100	8100	16200
194	82	2	340300	8200	16400
195	83	2	348600	8300	16600
196	84	2	357000	8400	16800
197	85	2	365500	8500	17000
198	86	2	374100	8600	17200
199	87	2	382800	8700	17400
200	88	2	391600	8800	17600
201	89	2	400500	8900	17800
202	90	2	409500	9000	18000
203	91	2	418600	9100	18200
204	92	2	427800	9200	18400
205	93	2	437100	9300	18600
206	94	2	446500	9400	18800
207	95	2	456000	9500	19000
208	96	2	465600	9600	19200
209	97	2	475300	9700	19400
210	98	2	485100	9800	19600
211	99	2	495000	9900	19800
212	100	2	505000	10000	20000
213	101	2	515100	10100	20200
214	102	2	525300	10200	20400
215	103	2	535600	10300	20600
216	104	2	546000	10400	20800
217	105	2	556500	10500	21000
218	106	2	567100	10600	21200
219	107	2	577800	10700	21400
220	108	2	588600	10800	21600
221	109	2	599500	10900	21800
222	110	2	610500	11000	22000
223	0	3	0	0	0
224	1	3	100	100	200
225	2	3	300	200	400
226	3	3	600	300	600
227	4	3	1000	400	800
228	5	3	1500	500	1000
229	6	3	2100	600	1200
230	7	3	2800	700	1400
231	8	3	3600	800	1600
232	9	3	4500	900	1800
233	10	3	5500	1000	2000
234	11	3	6600	1100	2200
235	12	3	7800	1200	2400
236	13	3	9100	1300	2600
237	14	3	10500	1400	2800
238	15	3	12000	1500	3000
239	16	3	13600	1600	3200
240	17	3	15300	1700	3400
241	18	3	17100	1800	3600
242	19	3	19000	1900	3800
243	20	3	21000	2000	4000
244	21	3	23100	2100	4200
245	22	3	25300	2200	4400
246	23	3	27600	2300	4600
247	24	3	30000	2400	4800
248	25	3	32500	2500	5000
249	26	3	35100	2600	5200
250	27	3	37800	2700	5400
251	28	3	40600	2800	5600
252	29	3	43500	2900	5800
253	30	3	46500	3000	6000
254	31	3	49600	3100	6200
255	32	3	52800	3200	6400
256	33	3	56100	3300	6600
257	34	3	59500	3400	6800
258	35	3	63000	3500	7000
259	36	3	66600	3600	7200
260	37	3	70300	3700	7400
261	38	3	74100	3800	7600
262	39	3	78000	3900	7800
263	40	3	82000	4000	8000
264	41	3	86100	4100	8200
265	42	3	90300	4200	8400
266	43	3	94600	4300	8600
267	44	3	99000	4400	8800
268	45	3	103500	4500	9000
269	46	3	108100	4600	9200
270	47	3	112800	4700	9400
271	48	3	117600	4800	9600
272	49	3	122500	4900	9800
273	50	3	127500	5000	10000
274	51	3	132600	5100	10200
275	52	3	137800	5200	10400
276	53	3	143100	5300	10600
277	54	3	148500	5400	10800
278	55	3	154000	5500	11000
279	56	3	159600	5600	11200
280	57	3	165300	5700	11400
281	58	3	171100	5800	11600
282	59	3	177000	5900	11800
283	60	3	183000	6000	12000
284	61	3	189100	6100	12200
285	62	3	195300	6200	12400
286	63	3	201600	6300	12600
287	64	3	208000	6400	12800
288	65	3	214500	6500	13000
289	66	3	221100	6600	13200
290	67	3	227800	6700	13400
291	68	3	234600	6800	13600
292	69	3	241500	6900	13800
293	70	3	248500	7000	14000
294	71	3	255600	7100	14200
295	72	3	262800	7200	14400
296	73	3	270100	7300	14600
297	74	3	277500	7400	14800
298	75	3	285000	7500	15000
299	76	3	292600	7600	15200
300	77	3	300300	7700	15400
301	78	3	308100	7800	15600
302	79	3	316000	7900	15800
303	80	3	324000	8000	16000
304	81	3	332100	8100	16200
305	82	3	340300	8200	16400
306	83	3	348600	8300	16600
307	84	3	357000	8400	16800
308	85	3	365500	8500	17000
309	86	3	374100	8600	17200
310	87	3	382800	8700	17400
311	88	3	391600	8800	17600
312	89	3	400500	8900	17800
313	90	3	409500	9000	18000
314	91	3	418600	9100	18200
315	92	3	427800	9200	18400
316	93	3	437100	9300	18600
317	94	3	446500	9400	18800
318	95	3	456000	9500	19000
319	96	3	465600	9600	19200
320	97	3	475300	9700	19400
321	98	3	485100	9800	19600
322	99	3	495000	9900	19800
323	100	3	505000	10000	20000
324	101	3	515100	10100	20200
325	102	3	525300	10200	20400
326	103	3	535600	10300	20600
327	104	3	546000	10400	20800
328	105	3	556500	10500	21000
329	106	3	567100	10600	21200
330	107	3	577800	10700	21400
331	108	3	588600	10800	21600
332	109	3	599500	10900	21800
333	110	3	610500	11000	22000
334	0	4	0	0	0
335	1	4	100	100	200
336	2	4	300	200	400
337	3	4	600	300	600
338	4	4	1000	400	800
339	5	4	1500	500	1000
340	6	4	2100	600	1200
341	7	4	2800	700	1400
342	8	4	3600	800	1600
343	9	4	4500	900	1800
344	10	4	5500	1000	2000
345	11	4	6600	1100	2200
346	12	4	7800	1200	2400
347	13	4	9100	1300	2600
348	14	4	10500	1400	2800
349	15	4	12000	1500	3000
350	16	4	13600	1600	3200
351	17	4	15300	1700	3400
352	18	4	17100	1800	3600
353	19	4	19000	1900	3800
354	20	4	21000	2000	4000
355	21	4	23100	2100	4200
356	22	4	25300	2200	4400
357	23	4	27600	2300	4600
358	24	4	30000	2400	4800
359	25	4	32500	2500	5000
360	26	4	35100	2600	5200
361	27	4	37800	2700	5400
362	28	4	40600	2800	5600
363	29	4	43500	2900	5800
364	30	4	46500	3000	6000
365	31	4	49600	3100	6200
366	32	4	52800	3200	6400
367	33	4	56100	3300	6600
368	34	4	59500	3400	6800
369	35	4	63000	3500	7000
370	36	4	66600	3600	7200
371	37	4	70300	3700	7400
372	38	4	74100	3800	7600
373	39	4	78000	3900	7800
374	40	4	82000	4000	8000
375	41	4	86100	4100	8200
376	42	4	90300	4200	8400
377	43	4	94600	4300	8600
378	44	4	99000	4400	8800
379	45	4	103500	4500	9000
380	46	4	108100	4600	9200
381	47	4	112800	4700	9400
382	48	4	117600	4800	9600
383	49	4	122500	4900	9800
384	50	4	127500	5000	10000
385	51	4	132600	5100	10200
386	52	4	137800	5200	10400
387	53	4	143100	5300	10600
388	54	4	148500	5400	10800
389	55	4	154000	5500	11000
390	56	4	159600	5600	11200
391	57	4	165300	5700	11400
392	58	4	171100	5800	11600
393	59	4	177000	5900	11800
394	60	4	183000	6000	12000
395	61	4	189100	6100	12200
396	62	4	195300	6200	12400
397	63	4	201600	6300	12600
398	64	4	208000	6400	12800
399	65	4	214500	6500	13000
400	66	4	221100	6600	13200
401	67	4	227800	6700	13400
402	68	4	234600	6800	13600
403	69	4	241500	6900	13800
404	70	4	248500	7000	14000
405	71	4	255600	7100	14200
406	72	4	262800	7200	14400
407	73	4	270100	7300	14600
408	74	4	277500	7400	14800
409	75	4	285000	7500	15000
410	76	4	292600	7600	15200
411	77	4	300300	7700	15400
412	78	4	308100	7800	15600
413	79	4	316000	7900	15800
414	80	4	324000	8000	16000
415	81	4	332100	8100	16200
416	82	4	340300	8200	16400
417	83	4	348600	8300	16600
418	84	4	357000	8400	16800
419	85	4	365500	8500	17000
420	86	4	374100	8600	17200
421	87	4	382800	8700	17400
422	88	4	391600	8800	17600
423	89	4	400500	8900	17800
424	90	4	409500	9000	18000
425	91	4	418600	9100	18200
426	92	4	427800	9200	18400
427	93	4	437100	9300	18600
428	94	4	446500	9400	18800
429	95	4	456000	9500	19000
430	96	4	465600	9600	19200
431	97	4	475300	9700	19400
432	98	4	485100	9800	19600
433	99	4	495000	9900	19800
434	100	4	505000	10000	20000
435	101	4	515100	10100	20200
436	102	4	525300	10200	20400
437	103	4	535600	10300	20600
438	104	4	546000	10400	20800
439	105	4	556500	10500	21000
440	106	4	567100	10600	21200
441	107	4	577800	10700	21400
442	108	4	588600	10800	21600
443	109	4	599500	10900	21800
444	110	4	610500	11000	22000
445	0	5	0	0	0
446	1	5	100	100	200
447	2	5	300	200	400
448	3	5	600	300	600
449	4	5	1000	400	800
450	5	5	1500	500	1000
451	6	5	2100	600	1200
452	7	5	2800	700	1400
453	8	5	3600	800	1600
454	9	5	4500	900	1800
455	10	5	5500	1000	2000
456	11	5	6600	1100	2200
457	12	5	7800	1200	2400
458	13	5	9100	1300	2600
459	14	5	10500	1400	2800
460	15	5	12000	1500	3000
461	16	5	13600	1600	3200
462	17	5	15300	1700	3400
463	18	5	17100	1800	3600
464	19	5	19000	1900	3800
465	20	5	21000	2000	4000
466	21	5	23100	2100	4200
467	22	5	25300	2200	4400
468	23	5	27600	2300	4600
469	24	5	30000	2400	4800
470	25	5	32500	2500	5000
471	26	5	35100	2600	5200
472	27	5	37800	2700	5400
473	28	5	40600	2800	5600
474	29	5	43500	2900	5800
475	30	5	46500	3000	6000
476	31	5	49600	3100	6200
477	32	5	52800	3200	6400
478	33	5	56100	3300	6600
479	34	5	59500	3400	6800
480	35	5	63000	3500	7000
481	36	5	66600	3600	7200
482	37	5	70300	3700	7400
483	38	5	74100	3800	7600
484	39	5	78000	3900	7800
485	40	5	82000	4000	8000
486	41	5	86100	4100	8200
487	42	5	90300	4200	8400
488	43	5	94600	4300	8600
489	44	5	99000	4400	8800
490	45	5	103500	4500	9000
491	46	5	108100	4600	9200
492	47	5	112800	4700	9400
493	48	5	117600	4800	9600
494	49	5	122500	4900	9800
495	50	5	127500	5000	10000
496	51	5	132600	5100	10200
497	52	5	137800	5200	10400
498	53	5	143100	5300	10600
499	54	5	148500	5400	10800
500	55	5	154000	5500	11000
501	56	5	159600	5600	11200
502	57	5	165300	5700	11400
503	58	5	171100	5800	11600
504	59	5	177000	5900	11800
505	60	5	183000	6000	12000
506	61	5	189100	6100	12200
507	62	5	195300	6200	12400
508	63	5	201600	6300	12600
509	64	5	208000	6400	12800
510	65	5	214500	6500	13000
511	66	5	221100	6600	13200
512	67	5	227800	6700	13400
513	68	5	234600	6800	13600
514	69	5	241500	6900	13800
515	70	5	248500	7000	14000
516	71	5	255600	7100	14200
517	72	5	262800	7200	14400
518	73	5	270100	7300	14600
519	74	5	277500	7400	14800
520	75	5	285000	7500	15000
521	76	5	292600	7600	15200
522	77	5	300300	7700	15400
523	78	5	308100	7800	15600
524	79	5	316000	7900	15800
525	80	5	324000	8000	16000
526	81	5	332100	8100	16200
527	82	5	340300	8200	16400
528	83	5	348600	8300	16600
529	84	5	357000	8400	16800
530	85	5	365500	8500	17000
531	86	5	374100	8600	17200
532	87	5	382800	8700	17400
533	88	5	391600	8800	17600
534	89	5	400500	8900	17800
535	90	5	409500	9000	18000
536	91	5	418600	9100	18200
537	92	5	427800	9200	18400
538	93	5	437100	9300	18600
539	94	5	446500	9400	18800
540	95	5	456000	9500	19000
541	96	5	465600	9600	19200
542	97	5	475300	9700	19400
543	98	5	485100	9800	19600
544	99	5	495000	9900	19800
545	100	5	505000	10000	20000
546	101	5	515100	10100	20200
547	102	5	525300	10200	20400
548	103	5	535600	10300	20600
549	104	5	546000	10400	20800
550	105	5	556500	10500	21000
551	106	5	567100	10600	21200
552	107	5	577800	10700	21400
553	108	5	588600	10800	21600
554	109	5	599500	10900	21800
555	110	5	610500	11000	22000
556	0	6	0	0	0
557	1	6	100	100	200
558	2	6	300	200	400
559	3	6	600	300	600
560	4	6	1000	400	800
561	5	6	1500	500	1000
562	6	6	2100	600	1200
563	7	6	2800	700	1400
564	8	6	3600	800	1600
565	9	6	4500	900	1800
566	10	6	5500	1000	2000
567	11	6	6600	1100	2200
568	12	6	7800	1200	2400
569	13	6	9100	1300	2600
570	14	6	10500	1400	2800
571	15	6	12000	1500	3000
572	16	6	13600	1600	3200
573	17	6	15300	1700	3400
574	18	6	17100	1800	3600
575	19	6	19000	1900	3800
576	20	6	21000	2000	4000
577	21	6	23100	2100	4200
578	22	6	25300	2200	4400
579	23	6	27600	2300	4600
580	24	6	30000	2400	4800
581	25	6	32500	2500	5000
582	26	6	35100	2600	5200
583	27	6	37800	2700	5400
584	28	6	40600	2800	5600
585	29	6	43500	2900	5800
586	30	6	46500	3000	6000
587	31	6	49600	3100	6200
588	32	6	52800	3200	6400
589	33	6	56100	3300	6600
590	34	6	59500	3400	6800
591	35	6	63000	3500	7000
592	36	6	66600	3600	7200
593	37	6	70300	3700	7400
594	38	6	74100	3800	7600
595	39	6	78000	3900	7800
596	40	6	82000	4000	8000
597	41	6	86100	4100	8200
598	42	6	90300	4200	8400
599	43	6	94600	4300	8600
600	44	6	99000	4400	8800
601	45	6	103500	4500	9000
602	46	6	108100	4600	9200
603	47	6	112800	4700	9400
604	48	6	117600	4800	9600
605	49	6	122500	4900	9800
606	50	6	127500	5000	10000
607	51	6	132600	5100	10200
608	52	6	137800	5200	10400
609	53	6	143100	5300	10600
610	54	6	148500	5400	10800
611	55	6	154000	5500	11000
612	56	6	159600	5600	11200
613	57	6	165300	5700	11400
614	58	6	171100	5800	11600
615	59	6	177000	5900	11800
616	60	6	183000	6000	12000
617	61	6	189100	6100	12200
618	62	6	195300	6200	12400
619	63	6	201600	6300	12600
620	64	6	208000	6400	12800
621	65	6	214500	6500	13000
622	66	6	221100	6600	13200
623	67	6	227800	6700	13400
624	68	6	234600	6800	13600
625	69	6	241500	6900	13800
626	70	6	248500	7000	14000
627	71	6	255600	7100	14200
628	72	6	262800	7200	14400
629	73	6	270100	7300	14600
630	74	6	277500	7400	14800
631	75	6	285000	7500	15000
632	76	6	292600	7600	15200
633	77	6	300300	7700	15400
634	78	6	308100	7800	15600
635	79	6	316000	7900	15800
636	80	6	324000	8000	16000
637	81	6	332100	8100	16200
638	82	6	340300	8200	16400
639	83	6	348600	8300	16600
640	84	6	357000	8400	16800
641	85	6	365500	8500	17000
642	86	6	374100	8600	17200
643	87	6	382800	8700	17400
644	88	6	391600	8800	17600
645	89	6	400500	8900	17800
646	90	6	409500	9000	18000
647	91	6	418600	9100	18200
648	92	6	427800	9200	18400
649	93	6	437100	9300	18600
650	94	6	446500	9400	18800
651	95	6	456000	9500	19000
652	96	6	465600	9600	19200
653	97	6	475300	9700	19400
654	98	6	485100	9800	19600
655	99	6	495000	9900	19800
656	100	6	505000	10000	20000
657	101	6	515100	10100	20200
658	102	6	525300	10200	20400
659	103	6	535600	10300	20600
660	104	6	546000	10400	20800
661	105	6	556500	10500	21000
662	106	6	567100	10600	21200
663	107	6	577800	10700	21400
664	108	6	588600	10800	21600
665	109	6	599500	10900	21800
666	110	6	610500	11000	22000
667	0	7	0	0	0
668	1	7	100	100	200
669	2	7	300	200	400
670	3	7	600	300	600
671	4	7	1000	400	800
672	5	7	1500	500	1000
673	6	7	2100	600	1200
674	7	7	2800	700	1400
675	8	7	3600	800	1600
676	9	7	4500	900	1800
677	10	7	5500	1000	2000
678	11	7	6600	1100	2200
679	12	7	7800	1200	2400
680	13	7	9100	1300	2600
681	14	7	10500	1400	2800
682	15	7	12000	1500	3000
683	16	7	13600	1600	3200
684	17	7	15300	1700	3400
685	18	7	17100	1800	3600
686	19	7	19000	1900	3800
687	20	7	21000	2000	4000
688	21	7	23100	2100	4200
689	22	7	25300	2200	4400
690	23	7	27600	2300	4600
691	24	7	30000	2400	4800
692	25	7	32500	2500	5000
693	26	7	35100	2600	5200
694	27	7	37800	2700	5400
695	28	7	40600	2800	5600
696	29	7	43500	2900	5800
697	30	7	46500	3000	6000
698	31	7	49600	3100	6200
699	32	7	52800	3200	6400
700	33	7	56100	3300	6600
701	34	7	59500	3400	6800
702	35	7	63000	3500	7000
703	36	7	66600	3600	7200
704	37	7	70300	3700	7400
705	38	7	74100	3800	7600
706	39	7	78000	3900	7800
707	40	7	82000	4000	8000
708	41	7	86100	4100	8200
709	42	7	90300	4200	8400
710	43	7	94600	4300	8600
711	44	7	99000	4400	8800
712	45	7	103500	4500	9000
713	46	7	108100	4600	9200
714	47	7	112800	4700	9400
715	48	7	117600	4800	9600
716	49	7	122500	4900	9800
717	50	7	127500	5000	10000
718	51	7	132600	5100	10200
719	52	7	137800	5200	10400
720	53	7	143100	5300	10600
721	54	7	148500	5400	10800
722	55	7	154000	5500	11000
723	56	7	159600	5600	11200
724	57	7	165300	5700	11400
725	58	7	171100	5800	11600
726	59	7	177000	5900	11800
727	60	7	183000	6000	12000
728	61	7	189100	6100	12200
729	62	7	195300	6200	12400
730	63	7	201600	6300	12600
731	64	7	208000	6400	12800
732	65	7	214500	6500	13000
733	66	7	221100	6600	13200
734	67	7	227800	6700	13400
735	68	7	234600	6800	13600
736	69	7	241500	6900	13800
737	70	7	248500	7000	14000
738	71	7	255600	7100	14200
739	72	7	262800	7200	14400
740	73	7	270100	7300	14600
741	74	7	277500	7400	14800
742	75	7	285000	7500	15000
743	76	7	292600	7600	15200
744	77	7	300300	7700	15400
745	78	7	308100	7800	15600
746	79	7	316000	7900	15800
747	80	7	324000	8000	16000
748	81	7	332100	8100	16200
749	82	7	340300	8200	16400
750	83	7	348600	8300	16600
751	84	7	357000	8400	16800
752	85	7	365500	8500	17000
753	86	7	374100	8600	17200
754	87	7	382800	8700	17400
755	88	7	391600	8800	17600
756	89	7	400500	8900	17800
757	90	7	409500	9000	18000
758	91	7	418600	9100	18200
759	92	7	427800	9200	18400
760	93	7	437100	9300	18600
761	94	7	446500	9400	18800
762	95	7	456000	9500	19000
763	96	7	465600	9600	19200
764	97	7	475300	9700	19400
765	98	7	485100	9800	19600
766	99	7	495000	9900	19800
767	100	7	505000	10000	20000
768	101	7	515100	10100	20200
769	102	7	525300	10200	20400
770	103	7	535600	10300	20600
771	104	7	546000	10400	20800
772	105	7	556500	10500	21000
773	106	7	567100	10600	21200
774	107	7	577800	10700	21400
775	108	7	588600	10800	21600
776	109	7	599500	10900	21800
777	110	7	610500	11000	22000
778	0	8	0	0	0
779	1	8	100	100	200
780	2	8	300	200	400
781	3	8	600	300	600
782	4	8	1000	400	800
783	5	8	1500	500	1000
784	6	8	2100	600	1200
785	7	8	2800	700	1400
786	8	8	3600	800	1600
787	9	8	4500	900	1800
788	10	8	5500	1000	2000
789	11	8	6600	1100	2200
790	12	8	7800	1200	2400
791	13	8	9100	1300	2600
792	14	8	10500	1400	2800
793	15	8	12000	1500	3000
794	16	8	13600	1600	3200
795	17	8	15300	1700	3400
796	18	8	17100	1800	3600
797	19	8	19000	1900	3800
798	20	8	21000	2000	4000
799	21	8	23100	2100	4200
800	22	8	25300	2200	4400
801	23	8	27600	2300	4600
802	24	8	30000	2400	4800
803	25	8	32500	2500	5000
804	26	8	35100	2600	5200
805	27	8	37800	2700	5400
806	28	8	40600	2800	5600
807	29	8	43500	2900	5800
808	30	8	46500	3000	6000
809	31	8	49600	3100	6200
810	32	8	52800	3200	6400
811	33	8	56100	3300	6600
812	34	8	59500	3400	6800
813	35	8	63000	3500	7000
814	36	8	66600	3600	7200
815	37	8	70300	3700	7400
816	38	8	74100	3800	7600
817	39	8	78000	3900	7800
818	40	8	82000	4000	8000
819	41	8	86100	4100	8200
820	42	8	90300	4200	8400
821	43	8	94600	4300	8600
822	44	8	99000	4400	8800
823	45	8	103500	4500	9000
824	46	8	108100	4600	9200
825	47	8	112800	4700	9400
826	48	8	117600	4800	9600
827	49	8	122500	4900	9800
828	50	8	127500	5000	10000
829	51	8	132600	5100	10200
830	52	8	137800	5200	10400
831	53	8	143100	5300	10600
832	54	8	148500	5400	10800
833	55	8	154000	5500	11000
834	56	8	159600	5600	11200
835	57	8	165300	5700	11400
836	58	8	171100	5800	11600
837	59	8	177000	5900	11800
838	60	8	183000	6000	12000
839	61	8	189100	6100	12200
840	62	8	195300	6200	12400
841	63	8	201600	6300	12600
842	64	8	208000	6400	12800
843	65	8	214500	6500	13000
844	66	8	221100	6600	13200
845	67	8	227800	6700	13400
846	68	8	234600	6800	13600
847	69	8	241500	6900	13800
848	70	8	248500	7000	14000
849	71	8	255600	7100	14200
850	72	8	262800	7200	14400
851	73	8	270100	7300	14600
852	74	8	277500	7400	14800
853	75	8	285000	7500	15000
854	76	8	292600	7600	15200
855	77	8	300300	7700	15400
856	78	8	308100	7800	15600
857	79	8	316000	7900	15800
858	80	8	324000	8000	16000
859	81	8	332100	8100	16200
860	82	8	340300	8200	16400
861	83	8	348600	8300	16600
862	84	8	357000	8400	16800
863	85	8	365500	8500	17000
864	86	8	374100	8600	17200
865	87	8	382800	8700	17400
866	88	8	391600	8800	17600
867	89	8	400500	8900	17800
868	90	8	409500	9000	18000
869	91	8	418600	9100	18200
870	92	8	427800	9200	18400
871	93	8	437100	9300	18600
872	94	8	446500	9400	18800
873	95	8	456000	9500	19000
874	96	8	465600	9600	19200
875	97	8	475300	9700	19400
876	98	8	485100	9800	19600
877	99	8	495000	9900	19800
878	100	8	505000	10000	20000
879	101	8	515100	10100	20200
880	102	8	525300	10200	20400
881	103	8	535600	10300	20600
882	104	8	546000	10400	20800
883	105	8	556500	10500	21000
884	106	8	567100	10600	21200
885	107	8	577800	10700	21400
886	108	8	588600	10800	21600
887	109	8	599500	10900	21800
888	110	8	610500	11000	22000
889	0	9	0	0	0
890	1	9	100	100	200
891	2	9	300	200	400
892	3	9	600	300	600
893	4	9	1000	400	800
894	5	9	1500	500	1000
895	6	9	2100	600	1200
896	7	9	2800	700	1400
897	8	9	3600	800	1600
898	9	9	4500	900	1800
899	10	9	5500	1000	2000
900	11	9	6600	1100	2200
901	12	9	7800	1200	2400
902	13	9	9100	1300	2600
903	14	9	10500	1400	2800
904	15	9	12000	1500	3000
905	16	9	13600	1600	3200
906	17	9	15300	1700	3400
907	18	9	17100	1800	3600
908	19	9	19000	1900	3800
909	20	9	21000	2000	4000
910	21	9	23100	2100	4200
911	22	9	25300	2200	4400
912	23	9	27600	2300	4600
913	24	9	30000	2400	4800
914	25	9	32500	2500	5000
915	26	9	35100	2600	5200
916	27	9	37800	2700	5400
917	28	9	40600	2800	5600
918	29	9	43500	2900	5800
919	30	9	46500	3000	6000
920	31	9	49600	3100	6200
921	32	9	52800	3200	6400
922	33	9	56100	3300	6600
923	34	9	59500	3400	6800
924	35	9	63000	3500	7000
925	36	9	66600	3600	7200
926	37	9	70300	3700	7400
927	38	9	74100	3800	7600
928	39	9	78000	3900	7800
929	40	9	82000	4000	8000
930	41	9	86100	4100	8200
931	42	9	90300	4200	8400
932	43	9	94600	4300	8600
933	44	9	99000	4400	8800
934	45	9	103500	4500	9000
935	46	9	108100	4600	9200
936	47	9	112800	4700	9400
