NPC编号	对象类型	名称	名称位置	模型编号	特效资源	功能类型	目标场景组	目标场景	目标坐标X	目标坐标Y	目标坐标Z	目标朝向	组队副本拉镜头的角度	组队副本拉镜头位置偏移量	最大生存时间	是否是需要激活的场景传送门	触发范围	圆柱高度	圆柱半径	小地图标志	附近显示npc	探索ID	入口出口标志
door_Map2_To_Map1	DoorNpc	MapName2	0,1.2,0		0	1		2	-19.730000	0.600000	-34.849998	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map2_To_Map3	DoorNpc	MapName3	0,1.2,0		10000002	1		3	-64.209999	0.230000	7.840000	95.500000			900000	1	8.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map2_To_Map6	DoorNpc	MapName6	0,1.2,0		10000002	1		6	62.000000	-5.000000	-45.799999	160.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map3_To_Map2	DoorNpc	MapName1	0,1.2,0		10000002	1		1	-12.100000	-0.500000	64.599998	197.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map3_To_Map4	DoorNpc	MapName4	0,1.2,0		10000002	1		4	86.000000	5.650000	-10.020000	-57.182999			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map3_To_Map5	DoorNpc	MapName5	0,1.2,0		10000002	1		5	-67.309998	6.710000	56.410000	-194.166000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map4_To_Map3	DoorNpc	MapName3	0,1.2,0		10000002	1		3	-4.570000	0.500000	-67.730003	-8.843000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map5_To_Map3	DoorNpc	MapName3	0,1.2,0		10000002	1		3	60.560001	0.110000	-5.780000	-16.400000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map6_To_Map2	DoorNpc	MapName1	0,1.2,0		10000002	1		1	42.299999	-5.100000	-56.200001	327.100006			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_30021_To_Map3	DoorNpc	MapName3	0,1.2,0		10000002	1		3	5.530000	2.790000	56.860001	-175.102005			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_30031_To_Map2	DoorNpc	MapName1	0,1.2,0		10000002	1		1	-47.706821	-4.280595	-58.426689	-58.960030			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map6_To_Map7	DoorNpc	MapName7	0,1.2,0		10000002	1		7	72.099998	9.800000	24.100000	95.500000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map7_To_Map6	DoorNpc	MapName6	0,1.2,0		10000002	1		6	-79.699997	0.300000	31.500000	95.500000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map7_To_Map8	DoorNpc	MapName8	0,1.2,0		10000002	1		8	-72.500000	-12.100000	-73.400002	242.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map8_To_Map7	DoorNpc	MapName7	0,1.2,0		10000002	1		7	-41.099998	5.730000	-3.400000	330.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map8_To_Map9	DoorNpc	MapName9	0,1.2,0		10000002	1		9	-63.299999	3.900000	-13.100000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map9_To_Map8	DoorNpc	MapName8	0,1.2,0		10000002	1		8	56.700001	-0.400000	-75.599998	323.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map40_To_Map1	DoorNpc	MapNameReturn	0,1.2,0		10000002	1		2	-19.730000	0.600000	-34.849998	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map2_To_Map23	DoorNpc	MapNameReturn	0,1.2,0		5910003	1		23	-16.600000	38.099998	64.699997	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map23_To_Map2	DoorNpc	MapNameReturn001	0,1.2,0		10000002	1		2	59.599998	-1.300000	-32.099998	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map7_To_Map37	DoorNpc	MapName37	0,1.2,0		10000002	1		37	-75.000000	2.700000	11.000000	90.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map37_To_Map7	DoorNpc	MapName7	0,1.2,0		10000002	1		7	16.100000	3.100000	-62.099998	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map8_To_Map18	DoorNpc	MapName18	0,1.2,0		10000002	1		18	-73.599998	61.599998	107.099998	168.800003			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map18_To_Map8	DoorNpc	MapName8	0,1.2,0		10000002	1		8	44.599998	18.400000	52.000000	186.800003			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
door_Map1_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	10.000000	3.600000	0.000000	icon_tansdoor	1	0	0
door_Map2_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	0	0
door_Map3_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	101	0
door_Map4_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	201	0
door_Map5_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	301	0
door_Map6_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	401	0
door_Map7_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	501	0
door_Map8_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	601	0
door_Map9_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	701	0
door_Map23_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	701	0
door_Map37_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	793	0
door_Map18_Resurrection	DoorNpc	door_resurrection	0,1.2,0		0	1		0	0.000000	0.000000	0.000000	0.000000			900000	1	15.000000	3.600000	0.000000	icon_tansdoor	1	828	0
door_secret_special_001	DoorNpc	SpecialSecretName1	0,1.2,0		10000002	4		1501	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_002	DoorNpc	SpecialSecretName2	0,1.2,0		10000002	4		1502	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_003	DoorNpc	SpecialSecretName3	0,1.2,0		10000002	4		1503	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_004	DoorNpc	SpecialSecretName4	0,1.2,1		10000002	4		1504	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_005	DoorNpc	SpecialSecretName5	0,1.2,2		10000002	4		1505	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_101	DoorNpc	SpecialSecretName1	0,1.2,0		10000002	4		1601	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_102	DoorNpc	SpecialSecretName2	0,1.2,0		10000002	4		1602	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_103	DoorNpc	SpecialSecretName3	0,1.2,0		10000002	4		1603	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_104	DoorNpc	SpecialSecretName4	0,1.2,1		10000002	4		1604	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_secret_special_105	DoorNpc	SpecialSecretName5	0,1.2,2		10000002	4		1605	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_sub_space	DoorNpc	DoorEnterSubSpaceName1	0,1.2,2		10000015	5		58	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_001	DoorNpc	DoorEnterSubSpaceName2	0,1.2,2		10000015	7		158	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_001_1	DoorNpc	DoorEnterSubSpaceName2	0,1.2,2		10000015	7		158	15.500000	-2.400000	-16.600000	270.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_002	DoorNpc	DoorEnterSubSpaceName3	0,1.2,2		10000015	7		258	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_002_1	DoorNpc	DoorEnterSubSpaceName3	0,1.2,2		10000015	7		258	15.500000	-2.400000	-16.600000	270.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_003	DoorNpc	DoorEnterSubSpaceName4	0,1.2,2		10000015	7		358	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_003_1	DoorNpc	DoorEnterSubSpaceName4	0,1.2,2		10000015	7		358	15.500000	-2.400000	-16.600000	270.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_004	DoorNpc	DoorEnterSubSpaceName5	0,1.2,2		10000015	7		458	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_005	DoorNpc	DoorEnterSubSpaceName6	0,1.2,2		10000015	7		558	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_006	DoorNpc	DoorEnterSubSpaceName7	0,1.2,2		10000015	7		658	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_007	DoorNpc	DoorEnterSubSpaceName8	0,1.2,2		10000015	7		758	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_008	DoorNpc	DoorEnterSubSpaceName9	0,1.2,2		10000015	7		858	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_enter_009	DoorNpc	DoorEnterSubSpaceName10	0,1.2,2		10000015	7		958	-23.719999	-3.370000	-24.450001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_sub_space_exit_001	DoorNpc	DoorExitSubSpaceName1	0,1.2,2		10000015	6		0	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_002	DoorNpc	DoorExitSubSpaceName2	0,1.2,2		10000015	7		58	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_003	DoorNpc	DoorExitSubSpaceName3	0,1.2,2		10000015	7		158	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_004	DoorNpc	DoorExitSubSpaceName4	0,1.2,2		10000015	7		258	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_005	DoorNpc	DoorExitSubSpaceName5	0,1.2,2		10000015	7		358	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_006	DoorNpc	DoorExitSubSpaceName6	0,1.2,2		10000015	7		458	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_007	DoorNpc	DoorExitSubSpaceName7	0,1.2,2		10000015	7		558	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_008	DoorNpc	DoorExitSubSpaceName8	0,1.2,2		10000015	7		658	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_009	DoorNpc	DoorExitSubSpaceName9	0,1.2,2		10000015	7		758	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_sub_space_exit_010	DoorNpc	DoorExitSubSpaceName10	0,1.2,2		10000015	7		858	2.550000	-0.500000	26.900000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	1
door_battle_scene_red	DoorNpc	DoorExitBattleSceneName1	0,1.2,2		10000002	1		2	-19.600000	0.400000	-34.599998	0.000000			900000	1	2.000000	3.600000	1.000000			0	1
door_battle_scene_blue	DoorNpc	DoorExitBattleSceneName1	0,1.2,2		10000002	1		2	-19.600000	0.400000	-34.599998	0.000000			900000	1	2.000000	3.600000	1.000000			0	1
door_Jump_To_Map1	DoorNpc	DoorJumpTeleporterName	0,0.7,0		10000016	9		1	-14.600000	-4.900000	-28.799999	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_Jump_To_Map1_2	DoorNpc	DoorJumpTeleporterName	0,0.7,0		10000016	9		1	18.700001	-5.100000	-41.900002	0.000000			900000	1	2.000000	0.100000	1.000000			0	0
door_Jump_To_Map3	DoorNpc	DoorJumpTeleporterName	0,1.2,0		10000016	9		3	13.600000	2.800000	-43.200001	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_Jump_To_Map4	DoorNpc	DoorJumpTeleporterName	0,1.2,0		10000016	9		4	7.800000	4.800000	-21.400000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_Jump_To_Map9	DoorNpc	DoorJumpTeleporterName	0,1.2,0		10000016	9		9	-5.100000	1.600000	-22.400000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_Jump_To_MapRookie1	DoorNpc		0,1.2,0		10000016	9		42	-72.099998	-5.800000	-56.700001	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_Jump_To_MapRookie2	DoorNpc		0,1.2,0		10000016	9		42	61.400002	6.100000	25.299999	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_mengyan_area1	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1100	-4.500000	0.700000	-37.799999	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_mengyan_area2	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1100	36.799999	2.020000	64.050003	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_mengyan2_transfer1	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1101	-3.040000	0.550000	-63.029999	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_mengyan2_transfer2	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1101	31.299999	8.340000	-17.240000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_mengyan2_transfer3	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1101	-40.500000	8.100000	-15.300000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_mengyan2_transfer4	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1101	-51.090000	8.070000	-41.119999	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_mengyan2_transfer5	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1101	4.430000	7.670000	20.889999	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
door_mengyan3_transfer1	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1102	12.035000	123.680000	-0.331000	-92.843002			900000	1	2.000000	3.600000	1.000000	icon_tansfer_ciyuan		0	0
