流水	所在章节	关卡组	关卡ID	关卡类型	难度	场景ID	关卡标题	关卡头像	头像展示缩放	头像展示位置偏移	关卡位置坐标	前置关卡	前置星数	解锁等级	下一关	触发buff评分	小怪BUFF列表	精英怪buff列表	BOSS怪BUFF列表	首通奖励	推荐评分	副本介绍	显示用关卡序号	核心关展示奖励
9	1	105	10501	2	1	1612	EpicMissionTitle10501	m007_portrait04	1.000000	0,6,0	-36.4,-156.5	1,104,10401		30	1,106,10601	11000		skill40402::buff_02		item8103010121003,3;item1000,100000;item105000000030,2	11000	EpicMissionDECEpicMissionTitle10501	MissionShow105	
10	1	106	10601	2	1	1611	EpicMissionTitle10601	m006_portrait01	1.000000	0,8,0	18.7,67.9	1,105,10501		30	1,107,10701	11000		skill40402::buff_02		item8103010121003,3;item1000,100000;item105000000030,2	11000	EpicMissionDECEpicMissionTitle10601	MissionShow106	
11	1	107	10701	1	1	1613	EpicMissionTitle10701	m920_portrait01	1.200000	0,16,0	201.8,221.5	1,106,10601		30	1,108,10801	12000	skill40402::buff_01		skill40402::buff_03	item1014,30;item1000,100000;item105000000030,2	12000	EpicMissionDECEpicMissionTitle10701	MissionShow107	item1014,30
12	1	107	10702	1	2	1653	EpicMissionTitle10702	m920_portrait01	1.200000	0,16,0	201.8,221.5	1,107,10701	2,10	30	1,110,11002	17000	skill40402::buff_01		skill40402::buff_03	item1014,30;item105000000031,1;item8103010111017,3	17000	EpicMissionDECEpicMissionTitle10702	MissionShow107	item1014,30
13	1	107	10703	1	3	1654	EpicMissionTitle10703	m920_portrait01	1.200000	0,16,0	201.8,221.5	1,107,10702	1,14	30	1,110,11003	50000	skill40402::buff_01		skill40402::buff_03	item1014,35;item8200000800001,2;item161000000002,1	50000	EpicMissionDECEpicMissionTitle10703	MissionShow107	item161000000002,1
14	1	108	10801	2	1	1608	EpicMissionTitle10801	m003_portrait01	1.000000	0,6,0	249.1,-8.9	1,107,10701		30	1,109,10901	13000	skill40402::buff_01			item8103010121003,3;item1000,100000;item105000000030,2	13000	EpicMissionDECEpicMissionTitle10801	MissionShow108	
15	1	109	10901	2	1	1614	EpicMissionTitle10901	m007_portrait02	1.000000	0,6,0	408.6,-154.6	1,108,10801		30	1,110,11001	13000		skill40402::buff_02		item8103010121003,3;item1000,100000;item105000000030,2	13000	EpicMissionDECEpicMissionTitle10901	MissionShow109	
16	1	110	11001	1	1	1615	EpicMissionTitle11001	b004_portrait03	1.200000	0,16,0	526.7,92.5	1,109,10901		30	1,101,10102	15000			skill40402::buff_03	item1014,60;item8106210100016,3;item105000000030,2	15000	EpicMissionDECEpicMissionTitle11001	MissionShow110	item1014,60
17	1	110	11002	1	2	1655	EpicMissionTitle11002	b004_portrait03	1.200000	0,16,0	526.7,92.5	1,110,11001	2,10	30	1,101,10103	20000			skill40402::buff_03	item1014,60;item105000000031,2;item8103010111017,3	20000	EpicMissionDECEpicMissionTitle11002	MissionShow110	item1014,60
18	1	110	11003	1	3	1656	EpicMissionTitle11003	b004_portrait03	1.200000	0,16,0	526.7,92.5	1,110,11002	1,14	30		55000			skill40402::buff_03	item1014,70;item8200000800001,2;item161000000002,1	55000	EpicMissionDECEpicMissionTitle11003	MissionShow110	item161000000002,1
19	2	201	20101	1	1	1648	EpicMissionTitle20101	m905_portrait02	1.200000	0,16,0	-551.3,10.8			35	2,202,20201	18000	skill40402::buff_01			item1014,35;item1000,100000;item161000000001,1	18000	EpicMissionDECEpicMissionTitle20101	MissionShow201	item1014,35
20	2	201	20102	1	2	1621	EpicMissionTitle20102	m905_portrait02	1.200000	0,16,0	-551.3,10.8	2,201,20101	2,10	35	2,204,20402	25000	skill40402::buff_01			item1014,35;item101040101015,10;item8103010111017,6	25000	EpicMissionDECEpicMissionTitle20102	MissionShow201	item1014,35
21	2	201	20103	1	3	1657	EpicMissionTitle20103	m905_portrait02	1.200000	0,16,0	-551.3,10.8	2,201,20102	2,14	35	2,204,20403	70000	skill40402::buff_01			item1014,40;item8200000800002,2;item161000000002,1	70000	EpicMissionDECEpicMissionTitle20103	MissionShow201	item161000000002,1
22	2	202	20201	2	1	1616	EpicMissionTitle20201	m012_portrait02	1.000000	0,8,0	-378.0,194.9	2,201,20101		35	2,203,20301	19000	skill40402::buff_01			item8103010121003,3;item1000,100000;item161000000001,1	19000	EpicMissionDECEpicMissionTitle20201	MissionShow202	
23	2	203	20301	2	1	1617	EpicMissionTitle20301	m019_portrait01	1.000000	0,10,0	-106.3,234.3	2,202,20201		35	2,204,20401	20000	skill40402::buff_01			item8103010121003,3;item1000,100000;item161000000001,1	20000	EpicMissionDECEpicMissionTitle20301	MissionShow203	
24	2	204	20401	1	1	1620	EpicMissionTitle20401	m904_portrait04	1.200000	0,16,0	72.9,92.5	2,203,20301		35	2,205,20501	23000	skill40402::buff_01	skill40402::buff_02		item1014,35;item8106210100016,3;item161000000001,3	23000	EpicMissionDECEpicMissionTitle20401	MissionShow204	item1014,35
25	2	204	20402	1	2	1660	EpicMissionTitle20402	m904_portrait04	1.200000	0,16,0	72.9,92.5	2,204,20401	2,10	35	2,207,20702	30000	skill40402::buff_01	skill40402::buff_02		item1014,35;item101040101015,10;item8103010111017,6	30000	EpicMissionDECEpicMissionTitle20402	MissionShow204	item1014,35
26	2	204	20403	1	3	1661	EpicMissionTitle20403	m904_portrait04	1.200000	0,16,0	72.9,92.5	2,204,20402	2,14	35	2,207,20703	80000	skill40402::buff_01	skill40402::buff_02		item1014,40;item8200000800002,2;item161000000002,1	80000	EpicMissionDECEpicMissionTitle20403	MissionShow204	item161000000002,1
27	2	205	20501	2	1	1618	EpicMissionTitle20501	m013_portrait01	1.000000	0,10,0	-182.1,20.7	2,204,20401		35	2,206,20601	24000	skill40402::buff_01			item8103010121003,3;item1000,100000;item161000000001,1	24000	EpicMissionDECEpicMissionTitle20501	MissionShow205	
28	2	206	20601	2	1	1619	EpicMissionTitle20601	m015_portrait01	1.000000	0,4,0	-285.5,-154.6	2,205,20501		35	2,207,20701	25000	skill40402::buff_01			item8103010121003,3;item1000,100000;item161000000001,1	25000	EpicMissionDECEpicMissionTitle20601	MissionShow206	
29	2	207	20701	1	1	1622	EpicMissionTitle20701	m906_portrait03	1.200000	0,16,0	-1.0,-180	2,206,20601		35	2,208,20801	33000			skill40402::buff_03	item1014,35;item1000,100000;item161000000001,1	33000	EpicMissionDECEpicMissionTitle20701	MissionShow207	item1014,35
30	2	207	20702	1	2	1663	EpicMissionTitle20702	m906_portrait03	1.200000	0,16,0	-1.0,-180	2,207,20701	2,10	35	2,210,21002	40000			skill40402::buff_03	item1014,35;item101040101015,10;item8103010111017,6	40000	EpicMissionDECEpicMissionTitle20702	MissionShow207	item1014,35
31	2	207	20703	1	3	1664	EpicMissionTitle20703	m906_portrait03	1.200000	0,16,0	-1.0,-180	2,207,20702	2,14	35	2,210,21003	90000			skill40402::buff_03	item1014,40;item8200000800002,2;item161000000002,1	90000	EpicMissionDECEpicMissionTitle20703	MissionShow207	item161000000002,1
32	2	208	20801	2	1	1623	EpicMissionTitle20801	m907_portrait03	1.000000	0,6,0	280.6,-168.3	2,207,20701		35	2,209,20901	34000	skill40402::buff_01		skill40402::buff_03	item8103010121003,3;item1000,100000;item161000000001,1	34000	EpicMissionDECEpicMissionTitle20801	MissionShow208	
33	2	209	20901	2	1	1662	EpicMissionTitle20901	m905_portrait04	1.000000	0,6,0	322.9,44.3	2,208,20801		35	2,210,21001	35000		skill40402::buff_02		item8103010121003,3;item1000,100000;item161000000001,1	35000	EpicMissionDECEpicMissionTitle20901	MissionShow209	
34	2	210	21001	1	1	1624	EpicMissionTitle21001	b003_portrait01	1.100000	0,10,0	524.7,126.0	2,209,20901		35	2,201,20102	38000			skill40402::buff_03	item1014,70;item8106210100016,4;item161000000001,3	38000	EpicMissionDECEpicMissionTitle21001	MissionShow210	item1014,70
35	2	210	21002	1	2	1666	EpicMissionTitle21002	b003_portrait01	1.100000	0,10,0	524.7,126.0	2,210,21001	2,10	35	2,201,20103	45000			skill40402::buff_03	item1014,70;item101040101015,20;item8103010111017,6	45000	EpicMissionDECEpicMissionTitle21002	MissionShow210	item1014,70
36	2	210	21003	1	3	1667	EpicMissionTitle21003	b003_portrait01	1.100000	0,10,0	524.7,126.0	2,210,21002	2,14	35		100000			skill40402::buff_03	item1014,80;item8200000800002,2;item161000000002,1	100000	EpicMissionDECEpicMissionTitle21003	MissionShow210	item161000000002,1
37	3	301	30101	1	1	1625	EpicMissionTitle30101	m023_portrait01	1.200000	0,16,0	-530.0,196.0			40	3,302,30201	40000	skill40402::buff_01			item1014,40;item1000,100000;item101040101015,10	40000	EpicMissionDECEpicMissionTitle30101	MissionShow301	item1014,40
38	3	301	30102	1	2	1668	EpicMissionTitle30102	m023_portrait01	1.200000	0,16,0	-530.0,196.0	3,301,30101	3,10	40	3,304,30402	60000	skill40402::buff_01			item1014,40;item103010131001,20;item8103010111018,3	60000	EpicMissionDECEpicMissionTitle30102	MissionShow301	item103010131001,20
39	3	301	30103	1	3	1669	EpicMissionTitle30103	m023_portrait01	1.200000	0,16,0	-530.0,196.0	3,301,30102	3,14	40	3,304,30403	115000	skill40402::buff_01			item1014,45;item8200000800003,2;item161000000002,1	115000	EpicMissionDECEpicMissionTitle30103	MissionShow301	item161000000002,1
40	3	302	30201	2	1	1626	EpicMissionTitle30201	m024_portrait01	0.800000	0,4,0	-363.0,38.0	3,301,30101		40	3,303,30301	42000	skill40402::buff_01	skill40402::buff_02		item8103010121003,5;item1000,100000;item101040101015,10	42000	EpicMissionDECEpicMissionTitle30201	MissionShow302	
41	3	303	30301	2	1	1627	EpicMissionTitle30301	m908_portrait01	1.000000	0,6,0	-480.0,-132.0	3,302,30201		40	3,304,30401	44000	skill40402::buff_01			item8103010121003,5;item1000,100000;item101040101015,10	44000	EpicMissionDECEpicMissionTitle30301	MissionShow303	
42	3	304	30401	1	1	1628	EpicMissionTitle30401	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	3,303,30301		40	3,305,30501	50000	skill40402::buff_01			item1014,40;item8106210200001,4;item8101020504800,5	50000	EpicMissionDECEpicMissionTitle30401	MissionShow304	item1014,40
43	3	304	30402	1	2	1670	EpicMissionTitle30402	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	3,304,30401	3,10	40	3,307,30702	70000	skill40402::buff_01			item1014,40;item103010131001,20;item8103010111018,3	70000	EpicMissionDECEpicMissionTitle30402	MissionShow304	item103010131001,20
44	3	304	30403	1	3	1671	EpicMissionTitle30403	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	3,304,30402	3,14	40	3,307,30703	125000	skill40402::buff_01			item1014,45;item8200000800003,2;item161000000002,1	125000	EpicMissionDECEpicMissionTitle30403	MissionShow304	item161000000002,1
45	3	305	30501	2	1	1629	EpicMissionTitle30501	m025_portrait03	1.000000	0,10,0	-74.0,-46.0	3,304,30401		40	3,306,30601	52000	skill40402::buff_01			item8103010121003,5;item1000,100000;item101040101015,10	52000	EpicMissionDECEpicMissionTitle30501	MissionShow305	
46	3	306	30601	2	1	1630	EpicMissionTitle30601	m026_portrait01	1.000000	0,10,0	-139.0,168.0	3,305,30501		40	3,307,30701	54000	skill40402::buff_01			item8103010121003,5;item1000,100000;item101040101015,10	54000	EpicMissionDECEpicMissionTitle30601	MissionShow306	
47	3	307	30701	1	1	1631	EpicMissionTitle30701	m911_portrait01	1.200000	0,16,0	164.0,242.0	3,306,30601		40	3,308,30801	60000	skill40402::buff_01			item1014,40;item1000,100000;item101040101015,10	60000	EpicMissionDECEpicMissionTitle30701	MissionShow307	item1014,40
48	3	307	30702	1	2	1672	EpicMissionTitle30702	m911_portrait01	1.200000	0,16,0	164.0,242.0	3,307,30701	3,10	40	3,310,31002	80000	skill40402::buff_01			item1014,40;item103010131001,20;item8103010111018,3	80000	EpicMissionDECEpicMissionTitle30702	MissionShow307	item103010131001,20
49	3	307	30703	1	3	1673	EpicMissionTitle30703	m911_portrait01	1.200000	0,16,0	164.0,242.0	3,307,30702	3,14	40	3,310,31003	137000	skill40402::buff_01			item1014,45;item8200000800003,2;item161000000002,1	137000	EpicMissionDECEpicMissionTitle30703	MissionShow307	item161000000002,1
50	3	308	30801	2	1	1632	EpicMissionTitle30801	m027_portrait01	1.000000	0,10,0	180.0,5.0	3,307,30701		40	3,309,30901	62000	skill40402::buff_01			item8103010121003,5;item1000,100000;item101040101015,10	62000	EpicMissionDECEpicMissionTitle30801	MissionShow308	
51	3	309	30901	2	1	1633	EpicMissionTitle30901	m912_portrait01	1.000000	0,6,0	336.0,-137.0	3,308,30801		40	3,310,31001	64000		skill40402::buff_02		item8103010121003,5;item1000,100000;item101040101015,10	64000	EpicMissionDECEpicMissionTitle30901	MissionShow309	
52	3	310	31001	1	1	1634	EpicMissionTitle31001	b001_portrait01	1.200000	0,16,0	504.0,118.0	3,309,30901		40	3,301,30102	70000			skill40402::buff_03	item1014,80;item8106210200001,5;item8101020504800,5	70000	EpicMissionDECEpicMissionTitle31001	MissionShow310	item1014,80
53	3	310	31002	1	2	1674	EpicMissionTitle31002	b001_portrait01	1.200000	0,16,0	504.0,118.0	3,310,31001	3,10	40	3,301,30103	90000			skill40402::buff_03	item1014,80;item103010131001,40;item8103010111018,3	90000	EpicMissionDECEpicMissionTitle31002	MissionShow310	item103010131001,40
54	3	310	31003	1	3	1675	EpicMissionTitle31003	b001_portrait01	1.200000	0,16,0	504.0,118.0	3,310,31002	3,14	40		150000			skill40402::buff_03	item1014,90;item8200000800003,2;item161000000002,1	150000	EpicMissionDECEpicMissionTitle31003	MissionShow310	item161000000002,1
55	4	401	40101	1	1	1638	EpicMissionTitle40101	m028_portrait10	1.200000	0,16,0	-466.0,187.0			50	4,402,40201	65000		skill40402::buff_02		item1014,50;item1000,100000;item107300000001,15	65000	EpicMissionDECEpicMissionTitle40101	MissionShow401	item1014,50
56	4	401	40102	1	2	1676	EpicMissionTitle40102	m028_portrait10	1.200000	0,16,0	-466.0,187.0	4,401,40101	4,10	50	4,404,40402	105000		skill40402::buff_02		item1014,50;item107300000002,5;item8103010111018,3	105000	EpicMissionDECEpicMissionTitle40102	MissionShow401	item107300000002,5
57	4	401	40103	1	3	1677	EpicMissionTitle40103	m028_portrait10	1.200000	0,16,0	-466.0,187.0	4,401,40102	4,14	50	4,404,40403	165000		skill40402::buff_02		item1014,60;item200000800004,2;item161000000003,1	165000	EpicMissionDECEpicMissionTitle40103	MissionShow401	item161000000003,1
58	4	402	40201	2	1	1639	EpicMissionTitle40201	m029_portrait01	1.000000	4,10,0	-566.0,-45.0	4,401,40101		50	4,403,40301	67000	skill40402::buff_01			item8103010121003,10;item1000,100000;item107300000001,15	67000	EpicMissionDECEpicMissionTitle40201	MissionShow402	
59	4	403	40301	2	1	1640	EpicMissionTitle40301	m916_portrait05	1.000000	0,6,0	-407.0,-216.0	4,402,40201		50	4,404,40401	69000	skill40402::buff_01	skill40402::buff_02		item8103010121003,10;item1000,100000;item107300000001,15	69000	EpicMissionDECEpicMissionTitle40301	MissionShow403	
60	4	404	40401	1	1	1641	EpicMissionTitle40401	m917_portrait04	1.200000	0,16,0	-276.0,3.0	4,403,40301		50	4,405,40501	75000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,5;item107300000001,20	75000	EpicMissionDECEpicMissionTitle40401	MissionShow404	item1014,50
61	4	404	40402	1	2	1678	EpicMissionTitle40402	m917_portrait04	1.200000	0,16,0	-276.0,3.0	4,404,40401	4,10	50	4,407,40702	115000	skill40402::buff_01	skill40402::buff_02		item1014,50;item107300000002,5;item8103010111018,3	115000	EpicMissionDECEpicMissionTitle40402	MissionShow404	item107300000002,5
62	4	404	40403	1	3	1679	EpicMissionTitle40403	m917_portrait04	1.200000	0,16,0	-276.0,3.0	4,404,40402	4,14	50	4,407,40703	175000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800004,2;item161000000003,1	175000	EpicMissionDECEpicMissionTitle40403	MissionShow404	item161000000003,1
63	4	405	40501	2	1	1642	EpicMissionTitle40501	m030_portrait04	1.000000	4,10,0	-88.0,-154.0	4,404,40401		50	4,406,40601	77000	skill40402::buff_01			item8103010121003,10;item1000,100000;item107300000001,15	77000	EpicMissionDECEpicMissionTitle40501	MissionShow405	
64	4	406	40601	2	1	1643	EpicMissionTitle40601	r001_portrait05	1.000000	0,10,0	42.0,45.0	4,405,40501		50	4,407,40701	79000	skill40402::buff_01			item8103010121003,10;item1000,100000;item107300000001,15	79000	EpicMissionDECEpicMissionTitle40601	MissionShow406	
65	4	407	40701	1	1	1646	EpicMissionTitle40701	m918_portrait01	1.200000	0,16,0	260.0,218.0	4,406,40601		50	4,408,40801	87000	skill40402::buff_01		skill40402::buff_03	item1014,50;item1000,100000;item107300000001,15	87000	EpicMissionDECEpicMissionTitle40701	MissionShow407	item1014,50
66	4	407	40702	1	2	1680	EpicMissionTitle40702	m918_portrait01	1.200000	0,16,0	260.0,218.0	4,407,40701	4,10	50	4,410,41002	127000	skill40402::buff_01		skill40402::buff_03	item1014,50;item107300000002,5;item8103010111018,3	127000	EpicMissionDECEpicMissionTitle40702	MissionShow407	item107300000002,5
67	4	407	40703	1	3	1681	EpicMissionTitle40703	m918_portrait01	1.200000	0,16,0	260.0,218.0	4,407,40702	4,14	50	4,410,41003	187000	skill40402::buff_01		skill40402::buff_03	item1014,60;item200000800004,2;item161000000003,1	187000	EpicMissionDECEpicMissionTitle40703	MissionShow407	item161000000003,1
68	4	408	40801	2	1	1645	EpicMissionTitle40801	m919_portrait01	1.000000	0,10,0	287.0,-8.0	4,407,40701		50	4,409,40901	89000	skill40402::buff_01			item8103010121003,10;item1000,100000;item107300000001,15	89000	EpicMissionDECEpicMissionTitle40801	MissionShow408	
69	4	409	40901	2	1	1644	EpicMissionTitle40901	b012_portrait01	1.000000	0,6,0	480.0,-130.0	4,408,40801		50	4,410,41001	91000	skill40402::buff_01			item8103010121003,10;item1000,100000;item107300000001,15	91000	EpicMissionDECEpicMissionTitle40901	MissionShow409	
70	4	410	41001	1	1	1647	EpicMissionTitle41001	b902_portrait01	1.200000	0,16,0	545.0,114.0	4,409,40901		50	4,401,40102	100000	skill40402::buff_01		skill40402::buff_03	item1014,100;item8106210200001,6;item107300000001,30	100000	EpicMissionDECEpicMissionTitle41001	MissionShow410	item1014,100
71	4	410	41002	1	2	1682	EpicMissionTitle41002	b902_portrait01	1.200000	0,16,0	545.0,114.0	4,410,41001	4,10	50	4,401,40103	140000	skill40402::buff_01		skill40402::buff_03	item1014,100;item107300000002,10;item8103010111018,3	140000	EpicMissionDECEpicMissionTitle41002	MissionShow410	item107300000002,10
72	4	410	41003	1	3	1683	EpicMissionTitle41003	b902_portrait01	1.200000	0,16,0	545.0,114.0	4,410,41002	4,14	50		200000	skill40402::buff_01		skill40402::buff_03	item1014,120;item200000800004,2;item161000000003,1	200000	EpicMissionDECEpicMissionTitle41003	MissionShow410	item161000000003,1
73	5	501	50101	1	1	1536	EpicMissionTitle50101	m922_portrait01	1.200000	0,16,0	-378.0,199.9			60	5,502,50201	75000			skill40402::buff_03	item1014,50;item1000,100000;item105000000031,10	75000	EpicMissionDECEpicMissionTitle50101	MissionShow501	item1014,50
74	5	501	50102	1	2	1576	EpicMissionTitle50102	m922_portrait01	1.200000	0,16,0	-378.0,199.9	5,501,50101	5,10	60	5,504,50402	155000			skill40402::buff_03	item1014,50;item105000000032,2;item8103010111018,3	155000	EpicMissionDECEpicMissionTitle50102	MissionShow501	item105000000032,2
75	5	501	50103	1	3	1577	EpicMissionTitle50103	m922_portrait01	1.200000	0,16,0	-378.0,199.9	5,501,50102	5,14	65	5,504,50403	210000			skill40402::buff_03	item1014,60;item200000800001,2;item105000000032,4	210000	EpicMissionDECEpicMissionTitle50103	MissionShow501	item105000000032,4
76	5	502	50201	2	1	1533	EpicMissionTitle50201	m002_portrait01	1.000000	0,10,0	-549.4,-12.8	5,501,50101		60	5,503,50301	77000	skill40402::buff_01			item8103010121003,10;item1000,100000;item105000000031,10	77000	EpicMissionDECEpicMissionTitle50201	MissionShow502	
77	5	503	50301	2	1	1534	EpicMissionTitle50301	m004_portrait01	1.000000	3,6,0	-377.1,-209.7	5,502,50201		60	5,504,50401	79000	skill40402::buff_01			item8103010121003,10;item1000,100000;item105000000031,10	79000	EpicMissionDECEpicMissionTitle50301	MissionShow503	
78	5	504	50401	1	1	1537	EpicMissionTitle50401	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	5,503,50301		60	5,505,50501	85000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,5;item105000000031,15	85000	EpicMissionDECEpicMissionTitle50401	MissionShow504	item1014,50
79	5	504	50402	1	2	1578	EpicMissionTitle50402	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	5,504,50401	5,10	60	5,507,50702	165000	skill40402::buff_01	skill40402::buff_02		item1014,50;item105000000032,2;item8103010111018,3	165000	EpicMissionDECEpicMissionTitle50402	MissionShow504	item105000000032,2
80	5	504	50403	1	3	1579	EpicMissionTitle50403	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	5,504,50402	5,14	65	5,507,50703	240000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800002,2;item105000000032,4	240000	EpicMissionDECEpicMissionTitle50403	MissionShow504	item105000000032,4
81	5	505	50501	2	1	1539	EpicMissionTitle50501	m007_portrait04	1.000000	0,6,0	-36.4,-156.5	5,504,50401		60	5,506,50601	87000		skill40402::buff_02		item8103010121003,10;item1000,100000;item105000000031,10	87000	EpicMissionDECEpicMissionTitle50501	MissionShow505	
82	5	506	50601	2	1	1538	EpicMissionTitle50601	m006_portrait01	1.000000	0,8,0	18.7,67.9	5,505,50501		60	5,507,50701	89000		skill40402::buff_02		item8103010121003,10;item1000,100000;item105000000031,10	89000	EpicMissionDECEpicMissionTitle50601	MissionShow506	
83	5	507	50701	1	1	1540	EpicMissionTitle50701	m920_portrait01	1.200000	0,16,0	201.8,221.5	5,506,50601		60	5,508,50801	97000	skill40402::buff_01		skill40402::buff_03	item1014,50;item1000,100000;item105000000031,10	97000	EpicMissionDECEpicMissionTitle50701	MissionShow507	item1014,50
84	5	507	50702	1	2	1580	EpicMissionTitle50702	m920_portrait01	1.200000	0,16,0	201.8,221.5	5,507,50701	5,10	60	5,510,51002	177000	skill40402::buff_01		skill40402::buff_03	item1014,50;item105000000032,2;item8103010111018,3	177000	EpicMissionDECEpicMissionTitle50702	MissionShow507	item105000000032,2
85	5	507	50703	1	3	1581	EpicMissionTitle50703	m920_portrait01	1.200000	0,16,0	201.8,221.5	5,507,50702	5,14	65	5,510,51003	270000	skill40402::buff_01		skill40402::buff_03	item1014,60;item200000800002,2;item105000000032,4	270000	EpicMissionDECEpicMissionTitle50703	MissionShow507	item105000000032,4
86	5	508	50801	2	1	1535	EpicMissionTitle50801	m003_portrait01	1.000000	0,6,0	249.1,-8.9	5,507,50701		60	5,509,50901	99000	skill40402::buff_01			item8103010121003,10;item1000,100000;item105000000031,10	99000	EpicMissionDECEpicMissionTitle50801	MissionShow508	
87	5	509	50901	2	1	1541	EpicMissionTitle50901	m007_portrait02	1.000000	0,6,0	408.6,-154.6	5,508,50801		60	5,510,51001	101000		skill40402::buff_02		item8103010121003,10;item1000,100000;item105000000031,10	101000	EpicMissionDECEpicMissionTitle50901	MissionShow509	
88	5	510	51001	1	1	1542	EpicMissionTitle51001	b004_portrait03	1.200000	0,16,0	526.7,92.5	5,509,50901		60	5,501,50102	110000			skill40402::buff_03	item1014,100;item8106210200001,6;item105000000031,20	110000	EpicMissionDECEpicMissionTitle51001	MissionShow510	item1014,100
89	5	510	51002	1	2	1582	EpicMissionTitle51002	b004_portrait03	1.200000	0,16,0	526.7,92.5	5,510,51001	5,10	60	5,501,50103	190000			skill40402::buff_03	item1014,100;item105000000032,4;item8103010111018,3	190000	EpicMissionDECEpicMissionTitle51002	MissionShow510	item105000000032,4
90	5	510	51003	1	3	1583	EpicMissionTitle51003	b004_portrait03	1.200000	0,16,0	526.7,92.5	5,510,51002	5,14	65		300000			skill40402::buff_03	item1014,120;item200000800003,2;item105000000032,8	300000	EpicMissionDECEpicMissionTitle51003	MissionShow510	item105000000032,8
91	6	601	60101	1	1	1575	EpicMissionTitle60101	m905_portrait02	1.200000	0,16,0	-551.3,10.8			60	6,602,60201	85000	skill40402::buff_01			item1014,50;item1000,150000;item171002000001,10	85000	EpicMissionDECEpicMissionTitle60101	MissionShow601	item1014,50
