符文id	符文道具id	符文道具id	符文类别	符文品阶	符文等阶	符文属性	升阶后符文Id	升阶消耗	符文星座	分解返还天赋经验	分解获得道具	道具消耗	货币消耗	第一条属性洗练库	第二条属性洗练库	第三条属性洗练库	符文底框
220204	item160000220204	item162000220204	2	3	4	33,160;35,160	220205	1,25000	10	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220205	item160000220205	item162000220205	2	3	5	33,180;35,180	220206	1,30000	10	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220206	item160000220206	item162000220206	2	3	6	33,200;35,200	220207	1,35000	10	16000	item160000000001,20	item160000000001,1	1,300000	921006	922006	923006	rune_def4
220207	item160000220207	item162000220207	2	4	7	33,220;35,220	220208	1,40000	10	32000	item160000000001,20	item160000000001,1	1,400000	921006	922006	923006	rune_def5
220208	item160000220208	item162000220208	2	4	8	33,240;35,240	220209	1,45000	10	64000	item160000000001,20	item160000000001,1	1,500000	921006	922006	923006	rune_def5
220209	item160000220209	item162000220209	2	4	9	33,260;35,260	220210	1,50000	10	128000	item160000000001,20	item160000000001,1	1,600000	921006	922006	923006	rune_def5
220210	item160000220210	item162000220210	2	4	10	33,280;35,280	0	1,55000	10	256000	item160000000001,20	item160000000001,1	1,700000	921006	922006	923006	rune_def5
220301	item160000220301	item162000220301	2	1	1	4,60;32,100	220302	1,10000	16	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_def2
220302	item160000220302	item162000220302	2	2	2	4,72;32,120	220303	1,15000	16	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_def3
220303	item160000220303	item162000220303	2	2	3	4,84;32,140	220304	1,20000	16	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_def3
220304	item160000220304	item162000220304	2	3	4	4,96;32,160	220305	1,25000	16	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220305	item160000220305	item162000220305	2	3	5	4,108;32,180	220306	1,30000	16	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220306	item160000220306	item162000220306	2	3	6	4,120;32,200	220307	1,35000	16	16000	item160000000001,20	item160000000001,1	1,300000	921006	922006	923006	rune_def4
220307	item160000220307	item162000220307	2	4	7	4,132;32,220	220308	1,40000	16	32000	item160000000001,20	item160000000001,1	1,400000	921006	922006	923006	rune_def5
220308	item160000220308	item162000220308	2	4	8	4,144;32,240	220309	1,45000	16	64000	item160000000001,20	item160000000001,1	1,500000	921006	922006	923006	rune_def5
220309	item160000220309	item162000220309	2	4	9	4,156;32,260	220310	1,50000	16	128000	item160000000001,20	item160000000001,1	1,600000	921006	922006	923006	rune_def5
220310	item160000220310	item162000220310	2	4	10	4,168;32,280	0	1,55000	16	256000	item160000000001,20	item160000000001,1	1,700000	921006	922006	923006	rune_def5
220401	item160000220401	item162000220401	2	1	1	4,60;35,100	220402	1,10000	17	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_def2
220402	item160000220402	item162000220402	2	2	2	4,72;35,120	220403	1,15000	17	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_def3
220403	item160000220403	item162000220403	2	2	3	4,84;35,140	220404	1,20000	17	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_def3
220404	item160000220404	item162000220404	2	3	4	4,96;35,160	220405	1,25000	17	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220405	item160000220405	item162000220405	2	3	5	4,108;35,180	220406	1,30000	17	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220406	item160000220406	item162000220406	2	3	6	4,120;35,200	220407	1,35000	17	16000	item160000000001,20	item160000000001,1	1,300000	921006	922006	923006	rune_def4
220407	item160000220407	item162000220407	2	4	7	4,132;35,220	220408	1,40000	17	32000	item160000000001,20	item160000000001,1	1,400000	921006	922006	923006	rune_def5
220408	item160000220408	item162000220408	2	4	8	4,144;35,240	220409	1,45000	17	64000	item160000000001,20	item160000000001,1	1,500000	921006	922006	923006	rune_def5
220409	item160000220409	item162000220409	2	4	9	4,156;35,260	220410	1,50000	17	128000	item160000000001,20	item160000000001,1	1,600000	921006	922006	923006	rune_def5
220410	item160000220410	item162000220410	2	4	10	4,168;35,280	0	1,55000	17	256000	item160000000001,20	item160000000001,1	1,700000	921006	922006	923006	rune_def5
310101	item160000310101	item162000310101	3	1	1	1,100;22,25	310102	1,10000	5	500		item160000000001,1	1,50000	11001	0	0	rune_hp2
310102	item160000310102	item162000310102	3	2	2	1,200;22,50	310103	1,15000	5	1000		item160000000001,1	1,50000	11002	0	0	rune_hp3
310103	item160000310103	item162000310103	3	2	3	1,300;22,75	310104	1,20000	5	2000		item160000000001,1	1,50000	11003	11003	0	rune_hp3
310104	item160000310104	item162000310104	3	3	4	1,400;22,100	310105	1,25000	5	4000		item160000000001,1	1,50000	11003	11003	13004	rune_hp4
310105	item160000310105	item162000310105	3	3	5	1,500;22,125	310106	1,30000	5	8000		item160000000001,1	1,50000	11003	11003	13004	rune_hp4
310106	item160000310106	item162000310106	3	3	6	1,600;22,150	310107	1,35000	5	16000		item160000000001,1	1,300000	931006	932006	933006	rune_hp4
310107	item160000310107	item162000310107	3	4	7	1,700;22,175	310108	1,40000	5	32000		item160000000001,1	1,400000	931006	932006	933006	rune_hp5
310108	item160000310108	item162000310108	3	4	8	1,800;22,200	310109	1,45000	5	64000		item160000000001,1	1,500000	931006	932006	933006	rune_hp5
310109	item160000310109	item162000310109	3	4	9	1,900;22,225	310110	1,50000	5	128000		item160000000001,1	1,600000	931006	932006	933006	rune_hp5
310110	item160000310110	item162000310110	3	4	10	1,1000;22,250	0	1,55000	5	256000		item160000000001,1	1,700000	931006	932006	933006	rune_hp5
310201	item160000310201	item162000310201	3	1	1	1,100;25,25	310202	1,10000	6	500		item160000000001,1	1,50000	11001	0	0	rune_hp2
310202	item160000310202	item162000310202	3	2	2	1,200;25,50	310203	1,15000	6	1000		item160000000001,1	1,50000	11002	0	0	rune_hp3
310203	item160000310203	item162000310203	3	2	3	1,300;25,75	310204	1,20000	6	2000		item160000000001,1	1,50000	11003	11003	0	rune_hp3
310204	item160000310204	item162000310204	3	3	4	1,400;25,100	310205	1,25000	6	4000		item160000000001,1	1,50000	11003	11003	13004	rune_hp4
310205	item160000310205	item162000310205	3	3	5	1,500;25,125	310206	1,30000	6	8000		item160000000001,1	1,50000	11003	11003	13004	rune_hp4
310206	item160000310206	item162000310206	3	3	6	1,600;25,150	310207	1,35000	6	16000		item160000000001,1	1,300000	931006	932006	933006	rune_hp4
310207	item160000310207	item162000310207	3	4	7	1,700;25,175	310208	1,40000	6	32000		item160000000001,1	1,400000	931006	932006	933006	rune_hp5
310208	item160000310208	item162000310208	3	4	8	1,800;25,200	310209	1,45000	6	64000		item160000000001,1	1,500000	931006	932006	933006	rune_hp5
310209	item160000310209	item162000310209	3	4	9	1,900;25,225	310210	1,50000	6	128000		item160000000001,1	1,600000	931006	932006	933006	rune_hp5
310210	item160000310210	item162000310210	3	4	10	1,1000;25,250	0	1,55000	6	256000		item160000000001,1	1,700000	931006	932006	933006	rune_hp5
320101	item160000320101	item162000320101	3	1	1	11,100;105,100	320102	1,10000	11	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_hp2
320102	item160000320102	item162000320102	3	2	2	11,120;105,120	320103	1,15000	11	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_hp3
320103	item160000320103	item162000320103	3	2	3	11,140;105,140	320104	1,20000	11	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_hp3
320104	item160000320104	item162000320104	3	3	4	11,160;105,160	320105	1,25000	11	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320105	item160000320105	item162000320105	3	3	5	11,180;105,180	320106	1,30000	11	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320106	item160000320106	item162000320106	3	3	6	11,200;105,200	320107	1,35000	11	16000	item160000000001,20	item160000000001,1	1,300000	931006	932006	933006	rune_hp4
320107	item160000320107	item162000320107	3	4	7	11,220;105,220	320108	1,40000	11	32000	item160000000001,20	item160000000001,1	1,400000	931006	932006	933006	rune_hp5
320108	item160000320108	item162000320108	3	4	8	11,240;105,240	320109	1,45000	11	64000	item160000000001,20	item160000000001,1	1,500000	931006	932006	933006	rune_hp5
320109	item160000320109	item162000320109	3	4	9	11,260;105,260	320110	1,50000	11	128000	item160000000001,20	item160000000001,1	1,600000	931006	932006	933006	rune_hp5
320110	item160000320110	item162000320110	3	4	10	11,280;105,280	0	1,55000	11	256000	item160000000001,20	item160000000001,1	1,700000	931006	932006	933006	rune_hp5
320201	item160000320201	item162000320201	3	1	1	31,100;108,200	320202	1,10000	12	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_hp2
320202	item160000320202	item162000320202	3	2	2	31,120;108,240	320203	1,15000	12	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_hp3
320203	item160000320203	item162000320203	3	2	3	31,140;108,280	320204	1,20000	12	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_hp3
320204	item160000320204	item162000320204	3	3	4	31,160;108,320	320205	1,25000	12	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320205	item160000320205	item162000320205	3	3	5	31,180;108,360	320206	1,30000	12	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320206	item160000320206	item162000320206	3	3	6	31,200;108,400	320207	1,35000	12	16000	item160000000001,20	item160000000001,1	1,300000	931006	932006	933006	rune_hp4
320207	item160000320207	item162000320207	3	4	7	31,220;108,440	320208	1,40000	12	32000	item160000000001,20	item160000000001,1	1,400000	931006	932006	933006	rune_hp5
320208	item160000320208	item162000320208	3	4	8	31,240;108,480	320209	1,45000	12	64000	item160000000001,20	item160000000001,1	1,500000	931006	932006	933006	rune_hp5
320209	item160000320209	item162000320209	3	4	9	31,260;108,520	320210	1,50000	12	128000	item160000000001,20	item160000000001,1	1,600000	931006	932006	933006	rune_hp5
320210	item160000320210	item162000320210	3	4	10	31,280;108,560	0	1,55000	12	256000	item160000000001,20	item160000000001,1	1,700000	931006	932006	933006	rune_hp5
