流水	精灵	突破等级	所需等级	人物等级	需求材料	合成需求货币	货币数量	等级上限	主动技能	被动技能	魔灵进阶出战属性列表	突破外观变化	协助奖励	战宠阵列突破属性	突破属性描述	进阶等级	突破消耗碎片数量
10	pet_104	3	50	31	item101020505210,12	1	400000	60	skill60561,4	skill60571,4	4,30;24,80;26,80	pet_104	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1043	0	0
11	pet_104	4	60	41	item101020505210,18	1	500000	70	skill60561,5	skill60571,5	1,350;22,90;25,90	pet_104	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1044	0	0
12	pet_104	5	70	51	item101020505210,24	1	600000	70	skill60561,6	skill60571,6	52,150;30,150;32,150	pet_104	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1045	0	0
13	pet_111	0	0	1		0	0	30	skill60601,1	skill60611,1		pet_111		3,3;1,37	UnlockPropListDECpet_1110	0	0
14	pet_111	1	30	21	item101020505211,2	1	100000	40	skill60601,2	skill60611,2	1,150;21,50;23,50	pet_111	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1111	0	0
15	pet_111	2	40	21	item101020505211,3	1	120000	50	skill60601,3	skill60611,3	1,200;3,20;4,20	pet_111	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1112	0	0
16	pet_111	3	50	31	item101020505211,5	1	140000	60	skill60601,4	skill60611,4	4,25;24,70;26,70	pet_111	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1113	0	0
17	pet_111	4	60	41	item101020505211,8	1	160000	70	skill60601,5	skill60611,5	3,30;1,300;23,80	pet_111	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1114	0	0
18	pet_111	5	70	51	item101020505211,10	1	180000	70	skill60601,6	skill60611,6	33,100;30,100;31,100	pet_111	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1115	0	0
19	pet_115	0	0	1		0	0	30	skill60601,1	skill60611,1		pet_115		3,7;4,7	UnlockPropListDECpet_1150	0	0
20	pet_115	1	30	21	item101020505212,4	1	200000	40	skill60601,2	skill60611,2	1,200;21,60;23,60	pet_115	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1151	0	0
21	pet_115	2	40	21	item101020505212,6	1	300000	50	skill60601,3	skill60611,3	1,250;3,25;4,25	pet_115	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1152	0	0
22	pet_115	3	50	31	item101020505212,12	1	400000	60	skill60601,4	skill60611,4	4,30;24,80;26,80	pet_115	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1153	0	0
23	pet_115	4	60	41	item101020505212,18	1	500000	70	skill60601,5	skill60611,5	3,35;1,350;23,90	pet_115	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1154	0	0
24	pet_115	5	70	51	item101020505212,24	1	600000	70	skill60601,6	skill60611,6	33,150;30,150;31,150	pet_115	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1155	0	0
25	pet_121	0	0	1		0	0	30	skill60641,1	skill60651,1		pet_121		3,3;1,37	UnlockPropListDECpet_1210	0	0
26	pet_121	1	30	21	item101020505213,2	1	100000	40	skill60641,2	skill60651,2	1,150;25,50;23,50	pet_121	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1211	0	0
27	pet_121	2	40	21	item101020505213,3	1	120000	50	skill60641,3	skill60651,3	1,200;3,20;4,20	pet_121	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1212	0	0
28	pet_121	3	50	31	item101020505213,5	1	140000	60	skill60641,4	skill60651,4	4,25;24,70;26,70	pet_121	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1213	0	0
29	pet_121	4	60	41	item101020505213,8	1	160000	70	skill60641,5	skill60651,5	3,30;21,80;25,80	pet_121	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1214	0	0
30	pet_121	5	70	51	item101020505213,10	1	180000	70	skill60641,6	skill60651,6	52,100;33,100;31,100	pet_121	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1215	0	0
31	pet_124	0	0	1		0	0	30	skill60641,1	skill60651,1		pet_124		3,7;4,7	UnlockPropListDECpet_1240	0	0
32	pet_124	1	30	21	item101020505214,4	1	200000	40	skill60641,2	skill60651,2	1,200;25,60;23,60	pet_124	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1241	0	0
33	pet_124	2	40	21	item101020505214,6	1	300000	50	skill60641,3	skill60651,3	1,250;3,25;4,25	pet_124	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1242	0	0
34	pet_124	3	50	31	item101020505214,12	1	400000	60	skill60641,4	skill60651,4	4,30;24,80;26,80	pet_124	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1243	0	0
35	pet_124	4	60	41	item101020505214,18	1	500000	70	skill60641,5	skill60651,5	3,35;21,90;25,90	pet_124	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1244	0	0
36	pet_124	5	70	51	item101020505214,24	1	600000	70	skill60641,6	skill60651,6	52,150;33,150;31,150	pet_124	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1245	0	0
37	pet_131	0	0	1		0	0	30	skill60461,1	skill60471,1		pet_131		3,7;4,7;1,75;22,15	UnlockPropListDECpet_1310	0	0
38	pet_131	1	30	21	item101020505215,6	1	500000	40	skill60461,2	skill60471,2	1,200;21,60;23,60	pet_131	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1311	0	0
39	pet_131	2	40	21	item101020505215,12	1	1000000	50	skill60461,3	skill60471,3	1,250;3,25;4,25	pet_131	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1312	0	0
40	pet_131	3	50	31	item101020505215,18	1	1500000	60	skill60461,4	skill60471,4	4,30;24,80;26,80	pet_131	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1313	0	0
41	pet_131	4	60	41	item101020505215,28	1	2000000	70	skill60461,5	skill60471,5	1,350;22,90;25,90	pet_131	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1314	0	0
42	pet_131	5	70	51	item101020505215,36	1	2500000	70	skill60461,6	skill60471,6	51,150;30,150;31,150	pet_131	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1315	0	0
43	pet_134	0	0	1		0	0	30	skill60461,1	skill60471,1		pet_134		3,11;4,11;1,112;22,30	UnlockPropListDECpet_1340	0	0
44	pet_134	1	30	21	item101020505216,10	1	1000000	40	skill60461,2	skill60471,2	1,300;21,100;23,100	pet_134	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1341	0	0
45	pet_134	2	40	21	item101020505216,18	1	2000000	50	skill60461,3	skill60471,3	1,300;3,30;4,30	pet_134	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1342	0	0
46	pet_134	3	50	31	item101020505216,26	1	3000000	60	skill60461,4	skill60471,4	4,40;24,120;26,120	pet_134	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1343	0	0
47	pet_134	4	60	41	item101020505216,34	1	4000000	70	skill60461,5	skill60471,5	1,400;22,120;25,120	pet_134	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1344	0	0
48	pet_134	5	70	51	item101020505216,42	1	5000000	70	skill60461,6	skill60471,6	51,200;30,200;31,200	pet_134	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1345	0	0
49	pet_141	0	0	1		0	0	30	skill60421,1	skill60431,1		pet_141		3,7;4,7;1,75;26,15	UnlockPropListDECpet_1410	0	0
50	pet_141	1	30	21	item101020505217,6	1	500000	40	skill60421,2	skill60431,2	1,200;21,60;23,60	pet_141	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1411	0	0
51	pet_141	2	40	21	item101020505217,12	1	1000000	50	skill60421,3	skill60431,3	1,250;3,25;4,25	pet_141	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1412	0	0
52	pet_141	3	50	31	item101020505217,18	1	1500000	60	skill60421,4	skill60431,4	4,30;24,80;26,80	pet_141	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1413	0	0
53	pet_141	4	60	41	item101020505217,28	1	2000000	70	skill60421,5	skill60431,5	4,35;22,90;25,90	pet_141	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1414	0	0
54	pet_141	5	70	51	item101020505217,36	1	2500000	70	skill60421,6	skill60431,6	52,150;33,150;30,150	pet_141	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1415	0	0
55	pet_144	0	0	1		0	0	30	skill60421,1	skill60431,1		pet_144		3,11;4,11;1,112;26,30	UnlockPropListDECpet_1440	0	0
56	pet_144	1	30	21	item101020505218,10	1	1000000	40	skill60421,2	skill60431,2	1,300;21,100;23,100	pet_144	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1441	0	0
57	pet_144	2	40	21	item101020505218,18	1	2000000	50	skill60421,3	skill60431,3	1,300;3,30;4,30	pet_144	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1442	0	0
58	pet_144	3	50	31	item101020505218,26	1	3000000	60	skill60421,4	skill60431,4	4,40;24,120;26,120	pet_144	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1443	0	0
59	pet_144	4	60	41	item101020505218,34	1	4000000	70	skill60421,5	skill60431,5	4,40;22,120;25,120	pet_144	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1444	0	0
60	pet_144	5	70	51	item101020505218,42	1	5000000	70	skill60421,6	skill60431,6	52,200;33,200;30,200	pet_144	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1445	0	0
61	pet_154	0	0	1		0	0	30	skill60581,1	skill60591,1		pet_154		3,3;1,37	UnlockPropListDECpet_1540	0	0
62	pet_154	1	30	21	item101020505219,2	1	100000	40	skill60581,2	skill60591,2	1,150;25,50;23,50	pet_154	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1541	0	0
63	pet_154	2	40	21	item101020505219,3	1	120000	50	skill60581,3	skill60591,3	1,200;3,20;4,20	pet_154	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1542	0	0
64	pet_154	3	50	31	item101020505219,5	1	140000	60	skill60581,4	skill60591,4	4,25;24,70;26,70	pet_154	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1543	0	0
65	pet_154	4	60	41	item101020505219,8	1	160000	70	skill60581,5	skill60591,5	3,30;22,80;21,80	pet_154	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1544	0	0
66	pet_154	5	70	51	item101020505219,10	1	180000	70	skill60581,6	skill60591,6	52,100;30,100;34,100	pet_154	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1545	0	0
67	pet_155	0	0	1		0	0	30	skill60581,1	skill60591,1		pet_155		3,7;4,7	UnlockPropListDECpet_1550	0	0
68	pet_155	1	30	21	item101020505220,4	1	200000	40	skill60581,2	skill60591,2	1,200;25,60;23,60	pet_155	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1551	0	0
69	pet_155	2	40	21	item101020505220,6	1	300000	50	skill60581,3	skill60591,3	1,250;3,25;4,25	pet_155	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1552	0	0
70	pet_155	3	50	31	item101020505220,12	1	400000	60	skill60581,4	skill60591,4	4,30;24,80;26,80	pet_155	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1553	0	0
71	pet_155	4	60	41	item101020505220,18	1	500000	70	skill60581,5	skill60591,5	3,35;22,90;21,90	pet_155	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1554	0	0
72	pet_155	5	70	51	item101020505220,24	1	600000	70	skill60581,6	skill60591,6	52,150;30,150;34,150	pet_155	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1555	0	0
73	pet_156	0	0	1		0	0	30	skill60621,1	skill60631,1		pet_156		3,3;1,37	UnlockPropListDECpet_1560	0	0
74	pet_156	1	30	21	item101020505221,2	1	100000	40	skill60621,2	skill60631,2	1,150;21,50;25,50	pet_156	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1561	0	0
75	pet_156	2	40	21	item101020505221,3	1	120000	50	skill60621,3	skill60631,3	1,200;3,20;4,20	pet_156	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1562	0	0
76	pet_156	3	50	31	item101020505221,5	1	140000	60	skill60621,4	skill60631,4	4,25;24,70;26,70	pet_156	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1563	0	0
77	pet_156	4	60	41	item101020505221,8	1	160000	70	skill60621,5	skill60631,5	3,30;21,80;1,300	pet_156	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1564	0	0
78	pet_156	5	70	51	item101020505221,10	1	180000	70	skill60621,6	skill60631,6	51,100;34,100;35,100	pet_156	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1565	0	0
79	pet_157	0	0	1		0	0	30	skill60621,1	skill60631,1		pet_157		3,7;4,7	UnlockPropListDECpet_1570	0	0
80	pet_157	1	30	21	item101020505222,4	1	200000	40	skill60621,2	skill60631,2	1,200;21,60;25,60	pet_157	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1571	0	0
81	pet_157	2	40	21	item101020505222,6	1	300000	50	skill60621,3	skill60631,3	1,250;3,25;4,25	pet_157	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1572	0	0
82	pet_157	3	50	31	item101020505222,12	1	400000	60	skill60621,4	skill60631,4	4,30;24,80;26,80	pet_157	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1573	0	0
83	pet_157	4	60	41	item101020505222,18	1	500000	70	skill60621,5	skill60631,5	3,35;21,90;1,350	pet_157	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1574	0	0
84	pet_157	5	70	51	item101020505222,24	1	600000	70	skill60621,6	skill60631,6	51,150;34,150;35,150	pet_157	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1575	0	0
85	pet_158	0	0	1		0	0	30	skill60661,1	skill60671,1		pet_158		3,3;1,37	UnlockPropListDECpet_1580	0	0
86	pet_158	1	30	21	item101020505223,2	1	100000	40	skill60661,2	skill60671,2	1,150;22,50;23,50	pet_158	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1581	0	0
87	pet_158	2	40	21	item101020505223,3	1	120000	50	skill60661,3	skill60671,3	1,200;3,20;4,20	pet_158	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1582	0	0
88	pet_158	3	50	31	item101020505223,5	1	140000	60	skill60661,4	skill60671,4	4,25;24,70;26,70	pet_158	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1583	0	0
89	pet_158	4	60	41	item101020505223,8	1	160000	70	skill60661,5	skill60671,5	3,30;22,80;23,80	pet_158	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1584	0	0
90	pet_158	5	70	51	item101020505223,10	1	180000	70	skill60661,6	skill60671,6	66,100;30,100;31,100	pet_158	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1585	0	0
91	pet_159	0	0	1		0	0	30	skill60661,1	skill60671,1		pet_159		3,7;4,7	UnlockPropListDECpet_1590	0	0
92	pet_159	1	30	21	item101020505224,4	1	200000	40	skill60661,2	skill60671,2	1,200;22,60;23,60	pet_159	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1591	0	0
93	pet_159	2	40	21	item101020505224,6	1	300000	50	skill60661,3	skill60671,3	1,250;3,25;4,25	pet_159	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1592	0	0
94	pet_159	3	50	31	item101020505224,12	1	400000	60	skill60661,4	skill60671,4	4,30;24,80;26,80	pet_159	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1593	0	0
95	pet_159	4	60	41	item101020505224,18	1	500000	70	skill60661,5	skill60671,5	3,35;22,90;23,90	pet_159	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1594	0	0
96	pet_159	5	70	51	item101020505224,24	1	600000	70	skill60661,6	skill60671,6	66,150;30,150;31,150	pet_159	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1595	0	0
97	pet_160	0	0	1		0	0	30	skill60681,1	skill60691,1		pet_160		3,7;4,7	UnlockPropListDECpet_1600	0	0
98	pet_160	1	30	21	item101020505225,4	1	200000	40	skill60681,2	skill60691,2	1,150;21,50;25,50	pet_160	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1601	0	0
99	pet_160	2	40	21	item101020505225,6	1	300000	50	skill60681,3	skill60691,3	1,200;3,20;4,20	pet_160	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1602	0	0
100	pet_160	3	50	31	item101020505225,12	1	400000	60	skill60681,4	skill60691,4	4,25;24,70;26,70	pet_160	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1603	0	0
101	pet_160	4	60	41	item101020505225,18	1	500000	70	skill60681,5	skill60691,5	21,80;1,300;23,80	pet_160	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1604	0	0
102	pet_160	5	70	51	item101020505225,24	1	600000	70	skill60681,6	skill60691,6	30,100;32,100;35,100	pet_160	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1605	0	0
103	pet_161	0	0	1		0	0	30	skill60681,1	skill60691,1		pet_161		3,7;4,7;1,75;26,15	UnlockPropListDECpet_1610	0	0
104	pet_161	1	30	21	item101020505226,6	1	500000	40	skill60681,2	skill60691,2	1,200;21,60;25,60	pet_161	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1611	0	0
105	pet_161	2	40	21	item101020505226,12	1	1000000	50	skill60681,3	skill60691,3	1,250;3,25;4,25	pet_161	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1612	0	0
106	pet_161	3	50	31	item101020505226,18	1	1500000	60	skill60681,4	skill60691,4	4,30;24,80;26,80	pet_161	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1613	0	0
107	pet_161	4	60	41	item101020505226,28	1	2000000	70	skill60681,5	skill60691,5	21,90;1,350;23,90	pet_161	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1614	0	0
108	pet_161	5	70	51	item101020505226,36	1	2500000	70	skill60681,6	skill60691,6	30,150;32,150;35,150	pet_161	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1615	0	0
109	pet_162	0	0	1		0	0	30	skill60701,1	skill60711,1		pet_162		3,7;4,7	UnlockPropListDECpet_1620	0	0
110	pet_162	1	30	21	item101020505227,4	1	200000	40	skill60701,2	skill60711,2	1,150;25,50;23,50	pet_162	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1621	0	0
111	pet_162	2	40	21	item101020505227,6	1	300000	50	skill60701,3	skill60711,3	1,200;3,20;4,20	pet_162	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1622	0	0
112	pet_162	3	50	31	item101020505227,12	1	400000	60	skill60701,4	skill60711,4	4,25;24,70;26,70	pet_162	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1623	0	0
113	pet_162	4	60	41	item101020505227,18	1	500000	70	skill60701,5	skill60711,5	3,30;4,30;23,80	pet_162	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1624	0	0
114	pet_162	5	70	51	item101020505227,24	1	600000	70	skill60701,6	skill60711,6	52,100;34,100;35,100	pet_162	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1625	0	0
115	pet_163	0	0	1		0	0	30	skill60701,1	skill60711,1		pet_163		3,7;4,7;1,75;26,15	UnlockPropListDECpet_1630	0	0
116	pet_163	1	30	21	item101020505228,6	1	500000	40	skill60701,2	skill60711,2	1,200;25,60;23,60	pet_163	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1631	0	0
117	pet_163	2	40	21	item101020505228,12	1	1000000	50	skill60701,3	skill60711,3	1,250;3,25;4,25	pet_163	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1632	0	0
118	pet_163	3	50	31	item101020505228,18	1	1500000	60	skill60701,4	skill60711,4	4,30;24,80;26,80	pet_163	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1633	0	0
119	pet_163	4	60	41	item101020505228,28	1	2000000	70	skill60701,5	skill60711,5	3,35;4,35;23,90	pet_163	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1634	0	0
120	pet_163	5	70	51	item101020505228,36	1	2500000	70	skill60701,6	skill60711,6	52,150;34,150;35,150	pet_163	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1635	0	0
121	pet_164	0	0	1		0	0	30	skill60721,1	skill60731,1		pet_164		3,7;4,7	UnlockPropListDECpet_1640	0	0
122	pet_164	1	30	21	item101020505229,4	1	200000	40	skill60721,2	skill60731,2	1,150;21,50;23,50	pet_164	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1641	0	0
123	pet_164	2	40	21	item101020505229,6	1	300000	50	skill60721,3	skill60731,3	1,200;3,20;4,20	pet_164	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1642	0	0
124	pet_164	3	50	31	item101020505229,12	1	400000	60	skill60721,4	skill60731,4	4,25;24,70;26,70	pet_164	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1643	0	0
125	pet_164	4	60	41	item101020505229,18	1	500000	70	skill60721,5	skill60731,5	3,30;22,80;25,80	pet_164	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1644	0	0
126	pet_164	5	70	51	item101020505229,24	1	600000	70	skill60721,6	skill60731,6	34,100;33,100;31,100	pet_164	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1645	0	0
127	pet_165	0	0	1		0	0	30	skill60721,1	skill60731,1		pet_165		3,7;4,7;1,75;26,15	UnlockPropListDECpet_1650	0	0
128	pet_165	1	30	21	item101020505230,6	1	500000	40	skill60721,2	skill60731,2	1,200;21,60;23,60	pet_165	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1651	0	0
129	pet_165	2	40	21	item101020505230,12	1	1000000	50	skill60721,3	skill60731,3	1,250;3,25;4,25	pet_165	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1652	0	0
130	pet_165	3	50	31	item101020505230,18	1	1500000	60	skill60721,4	skill60731,4	4,30;24,80;26,80	pet_165	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1653	0	0
131	pet_165	4	60	41	item101020505230,28	1	2000000	70	skill60721,5	skill60731,5	3,35;22,90;25,90	pet_165	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1654	0	0
132	pet_165	5	70	51	item101020505230,36	1	2500000	70	skill60721,6	skill60731,6	34,150;33,150;31,150	pet_165	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1655	0	0
133	pet_166	0	0	1		0	0	30	skill60741,1	skill60751,1		pet_166		3,7;4,7	UnlockPropListDECpet_1660	0	0
134	pet_166	1	30	21	item101020505231,4	1	200000	40	skill60741,2	skill60751,2	1,150;22,50;25,50	pet_166	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1661	0	0
135	pet_166	2	40	21	item101020505231,6	1	300000	50	skill60741,3	skill60751,3	1,200;3,20;4,20	pet_166	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1662	0	0
136	pet_166	3	50	31	item101020505231,12	1	400000	60	skill60741,4	skill60751,4	4,25;24,70;26,70	pet_166	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1663	0	0
137	pet_166	4	60	41	item101020505231,18	1	500000	70	skill60741,5	skill60751,5	3,30;21,80;23,80	pet_166	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1664	0	0
138	pet_166	5	70	51	item101020505231,24	1	600000	70	skill60741,6	skill60751,6	32,100;33,100;31,100	pet_166	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1665	0	0
139	pet_167	0	0	1		0	0	30	skill60741,1	skill60751,1		pet_167		3,7;4,7;1,75;22,15	UnlockPropListDECpet_1670	0	0
140	pet_167	1	30	21	item101020505232,6	1	500000	40	skill60741,2	skill60751,2	1,200;22,60;25,60	pet_167	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1671	0	0
141	pet_167	2	40	21	item101020505232,12	1	1000000	50	skill60741,3	skill60751,3	1,250;3,25;4,25	pet_167	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1672	0	0
142	pet_167	3	50	31	item101020505232,18	1	1500000	60	skill60741,4	skill60751,4	4,30;24,80;26,80	pet_167	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1673	0	0
143	pet_167	4	60	41	item101020505232,28	1	2000000	70	skill60741,5	skill60751,5	3,35;21,90;23,90	pet_167	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1674	0	0
144	pet_167	5	70	51	item101020505232,36	1	2500000	70	skill60741,6	skill60751,6	32,150;33,150;31,150	pet_167	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1675	0	0
145	pet_168	0	0	1		0	0	30	skill60761,1	skill60771,1		pet_168		3,7;4,7	UnlockPropListDECpet_1680	0	0
146	pet_168	1	30	21	item101020505233,4	1	200000	40	skill60761,2	skill60771,2	1,150;22,50;25,50	pet_168	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1681	0	0
147	pet_168	2	40	21	item101020505233,6	1	300000	50	skill60761,3	skill60771,3	1,200;3,20;4,20	pet_168	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1682	0	0
