奇遇ID	地图ID	奇遇类型	奇遇图标	事件描述	武艺属性要求	才艺属性要求	学徒数量	奇遇基础奖励	勋章奖励
71115	1001	1	icon_traranbox	AdventureDes71115	33,21780	5,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71201	1001	2	m911_portrait02	AdventureDes71201	1,15890	2,260	1	item127000063000,2;item127000063001,4;item127000063020,1	0
71202	1001	2	m911_portrait02	AdventureDes71202	33,1610	5,260	1	item127000063000,2;item127000063001,4;item127000063020,1	0
71203	1001	2	m911_portrait02	AdventureDes71203	30,4030	3,660;4,660	2	item127000063000,2;item127000063001,6;item127000063020,1	0
71204	1001	2	m911_portrait02	AdventureDes71204	32,4030;33,4030	2,660	2	item127000063000,2;item127000063001,6;item127000063020,1	0
71205	1001	2	m911_portrait02	AdventureDes71205	1,49260;3,4940	5,900	2	item127000063000,2;item127000063001,6;item127000063020,3	0
71206	1001	2	m911_portrait02	AdventureDes71206	4,5020	3,900	2	item127000063000,2;item127000063001,6;item127000063020,3	0
71207	1001	2	m911_portrait02	AdventureDes71207	34,10370	6,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71208	1001	2	m911_portrait02	AdventureDes71208	31,9850	5,1570;6,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71209	1001	2	m911_portrait02	AdventureDes71209	34,10370;35,10370	3,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71210	1001	2	m911_portrait02	AdventureDes71210	3,10880	1,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71211	1001	2	m911_portrait02	AdventureDes71211	32,13350	4,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71212	1001	2	m911_portrait02	AdventureDes71212	35,14220	1,2120;2,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71213	1001	2	m911_portrait02	AdventureDes71213	3,17180;4,17720	1,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71214	1001	2	m911_portrait02	AdventureDes71214	30,21780;31,21780	4,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71215	1001	2	m911_portrait02	AdventureDes71215	34,23410	6,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71301	1001	3	item_102020030002	AdventureDes71301	4,1590	3,260	1	item127000063000,2;item127000063001,4;item127000063020,1	0
71302	1001	3	item_102020030002	AdventureDes71302	34,1620	6,260	1	item127000063000,2;item127000063001,4;item127000063020,1	0
71303	1001	3	item_102020030002	AdventureDes71303	31,4030	5,660;6,660	2	item127000063000,2;item127000063001,6;item127000063020,1	0
71304	1001	3	item_102020030002	AdventureDes71304	34,4120;35,4120	3,660	2	item127000063000,2;item127000063001,6;item127000063020,1	0
71305	1001	3	item_102020030002	AdventureDes71305	3,4940	1,900	2	item127000063000,2;item127000063001,6;item127000063020,3	0
71306	1001	3	item_102020030002	AdventureDes71306	32,5620	4,900	2	item127000063000,2;item127000063001,6;item127000063020,3	0
71307	1001	3	item_102020030002	AdventureDes71307	35,10370	1,1570;2,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71308	1001	3	item_102020030002	AdventureDes71308	3,8350;4,8530	1,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71309	1001	3	item_102020030002	AdventureDes71309	30,9850;31,9850	4,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71310	1001	3	item_102020030002	AdventureDes71310	1,108020	2,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71311	1001	3	item_102020030002	AdventureDes71311	33,13350	5,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71312	1001	3	item_102020030002	AdventureDes71312	30,13350	3,2120;4,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71313	1001	3	item_102020030002	AdventureDes71313	32,21780;33,21780	2,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71314	1001	3	item_102020030002	AdventureDes71314	1,170290;3,17180	5,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71315	1001	3	item_102020030002	AdventureDes71315	35,23410	1,3440;2,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
72101	1002	1	icon_traranbox	AdventureDes72101	3,6110	1,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72102	1002	1	icon_traranbox	AdventureDes72102	32,7340	4,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72103	1002	1	icon_traranbox	AdventureDes72103	35,7770	1,1170;2,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72104	1002	1	icon_traranbox	AdventureDes72104	3,10360;4,10680	1,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72105	1002	1	icon_traranbox	AdventureDes72105	30,13080;31,13080	4,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72106	1002	1	icon_traranbox	AdventureDes72106	1,102770	2,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72107	1002	1	icon_traranbox	AdventureDes72107	33,16940	5,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72108	1002	1	icon_traranbox	AdventureDes72108	30,16940	3,2670;4,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72109	1002	1	icon_traranbox	AdventureDes72109	32,16940;33,16940	2,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72110	1002	1	icon_traranbox	AdventureDes72110	1,139190;3,14080	5,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72111	1002	1	icon_traranbox	AdventureDes72111	4,14650	3,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72112	1002	1	icon_traranbox	AdventureDes72112	34,20610	6,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72113	1002	1	icon_traranbox	AdventureDes72113	31,27930	5,4300;6,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72114	1002	1	icon_traranbox	AdventureDes72114	34,31040;35,31040	3,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72115	1002	1	icon_traranbox	AdventureDes72115	33,27930	5,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72116	1002	1	icon_traranbox	AdventureDes72116	30,37190	3,5690;4,5690	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72117	1002	1	icon_traranbox	AdventureDes72117	32,37510;33,37510	2,5730	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72118	1002	1	icon_traranbox	AdventureDes72118	1,232280;3,24540	5,5730	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72119	1002	1	icon_traranbox	AdventureDes72119	4,28030	3,6350	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72120	1002	1	icon_traranbox	AdventureDes72120	34,48040	6,6420	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72121	1002	1	icon_traranbox	AdventureDes72121	33,42370	5,6420	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72201	1002	2	m911_portrait02	AdventureDes72201	1,60760	2,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72202	1002	2	m911_portrait02	AdventureDes72202	33,7340	5,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72203	1002	2	m911_portrait02	AdventureDes72203	30,7340	3,1170;4,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72204	1002	2	m911_portrait02	AdventureDes72204	32,13080;33,13080	2,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72205	1002	2	m911_portrait02	AdventureDes72205	1,102770;3,10360	5,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72206	1002	2	m911_portrait02	AdventureDes72206	4,10680	3,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72207	1002	2	m911_portrait02	AdventureDes72207	34,18260	6,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72208	1002	2	m911_portrait02	AdventureDes72208	31,16940	5,2670;6,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72209	1002	2	m911_portrait02	AdventureDes72209	34,18260;35,18260	3,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72210	1002	2	m911_portrait02	AdventureDes72210	3,14080	1,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72211	1002	2	m911_portrait02	AdventureDes72211	32,18910	4,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72212	1002	2	m911_portrait02	AdventureDes72212	35,20610	1,2950;2,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72213	1002	2	m911_portrait02	AdventureDes72213	3,19140;4,20170	1,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72214	1002	2	m911_portrait02	AdventureDes72214	30,27930;31,27930	4,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72215	1002	2	m911_portrait02	AdventureDes72215	34,31040	6,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72216	1002	2	m911_portrait02	AdventureDes72216	31,37190	5,5690;6,5690	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72217	1002	2	m911_portrait02	AdventureDes72217	34,42090;35,42090	3,5730	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72218	1002	2	m911_portrait02	AdventureDes72218	3,24540	1,5730	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72219	1002	2	m911_portrait02	AdventureDes72219	32,41820	4,6350	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72220	1002	2	m911_portrait02	AdventureDes72220	35,48040	1,6420;2,6420	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72221	1002	2	m911_portrait02	AdventureDes72221	34,48040	6,6420	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72301	1002	3	item_102020030002	AdventureDes72301	4,6260	3,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72302	1002	3	item_102020030002	AdventureDes72302	34,7770	6,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72303	1002	3	item_102020030002	AdventureDes72303	31,7340	5,1170;6,1170	2	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72304	1002	3	item_102020030002	AdventureDes72304	34,14040;35,14040	3,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72305	1002	3	item_102020030002	AdventureDes72305	3,10360	1,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72306	1002	3	item_102020030002	AdventureDes72306	32,13080	4,2070	3	item127000063000,2;item127000063001,6;item127000063002,1;item127000063020,3	0
72307	1002	3	item_102020030002	AdventureDes72307	35,18260	1,2670;2,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72308	1002	3	item_102020030002	AdventureDes72308	3,13190;4,13630	1,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72309	1002	3	item_102020030002	AdventureDes72309	30,16940;31,16940	4,2670	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72310	1002	3	item_102020030002	AdventureDes72310	1,139190	2,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72311	1002	3	item_102020030002	AdventureDes72311	33,18910	5,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72312	1002	3	item_102020030002	AdventureDes72312	30,18910	3,2950;4,2950	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72313	1002	3	item_102020030002	AdventureDes72313	32,27930;33,27930	2,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72314	1002	3	item_102020030002	AdventureDes72314	1,188350;3,19140	5,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72315	1002	3	item_102020030002	AdventureDes72315	35,31040	1,4300;2,4300	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72316	1002	3	item_102020030002	AdventureDes72316	3,24470;4,25970	1,5690	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72317	1002	3	item_102020030002	AdventureDes72317	30,37510;31,37510	4,5730	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72318	1002	3	item_102020030002	AdventureDes72318	1,232280	2,5730	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72319	1002	3	item_102020030002	AdventureDes72319	33,41820	5,6350	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72320	1002	3	item_102020030002	AdventureDes72320	30,42370	3,6420;4,6420	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
72321	1002	3	item_102020030002	AdventureDes72321	35,48040	1,6420;2,6420	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73101	1003	1	icon_traranbox	AdventureDes73101	3,9720	1,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73102	1003	1	icon_traranbox	AdventureDes73102	32,12550	4,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73103	1003	1	icon_traranbox	AdventureDes73103	35,13550	1,1970;2,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73104	1003	1	icon_traranbox	AdventureDes73104	3,16250;4,16770	1,3260	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73105	1003	1	icon_traranbox	AdventureDes73105	30,22000;31,22000	4,3440	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73106	1003	1	icon_traranbox	AdventureDes73106	1,163820	2,3440	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73107	1003	1	icon_traranbox	AdventureDes73107	33,22920	5,3590	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73108	1003	1	icon_traranbox	AdventureDes73108	30,22920	3,3590;4,3590	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73109	1003	1	icon_traranbox	AdventureDes73109	32,24350;33,24350	2,3780	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73110	1003	1	icon_traranbox	AdventureDes73110	1,224720;3,22760	5,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73111	1003	1	icon_traranbox	AdventureDes73111	4,23760	3,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73112	1003	1	icon_traranbox	AdventureDes73112	34,34220	6,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73113	1003	1	icon_traranbox	AdventureDes73113	31,41280	5,6380;6,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73114	1003	1	icon_traranbox	AdventureDes73114	34,45650;35,45650	3,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73115	1003	1	icon_traranbox	AdventureDes73115	33,41280	5,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73116	1003	1	icon_traranbox	AdventureDes73116	30,41280	3,6380;4,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73117	1003	1	icon_traranbox	AdventureDes73117	32,45740;33,45740	2,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73118	1003	1	icon_traranbox	AdventureDes73118	1,290240;3,30640	5,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73119	1003	1	icon_traranbox	AdventureDes73119	4,32410	3,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73120	1003	1	icon_traranbox	AdventureDes73120	34,51070	6,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73121	1003	1	icon_traranbox	AdventureDes73121	33,50830	5,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73122	1003	1	icon_traranbox	AdventureDes73122	30,50830;31,50830	4,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73123	1003	1	icon_traranbox	AdventureDes73123	1,307510	2,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73124	1003	1	icon_traranbox	AdventureDes73124	33,50830	5,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73125	1003	1	icon_traranbox	AdventureDes73125	30,56870	3,8600;4,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73126	1003	1	icon_traranbox	AdventureDes73126	32,56870;33,56870	2,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73127	1003	1	icon_traranbox	AdventureDes73127	1,326700;3,34620	5,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73128	1003	1	icon_traranbox	AdventureDes73128	4,37240	3,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73201	1003	2	m913_portrait01	AdventureDes73201	1,96250	2,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73202	1003	2	m913_portrait01	AdventureDes73202	33,12550	5,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73203	1003	2	m913_portrait01	AdventureDes73203	30,12550	3,1970;4,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73204	1003	2	m913_portrait01	AdventureDes73204	32,20630;33,20630	2,3260	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73205	1003	2	m913_portrait01	AdventureDes73205	1,163820;3,16560	5,3440	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73206	1003	2	m913_portrait01	AdventureDes73206	4,17200	3,3440	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73207	1003	2	m913_portrait01	AdventureDes73207	34,24910	6,3590	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73208	1003	2	m913_portrait01	AdventureDes73208	31,22920	5,3590;6,3590	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73209	1003	2	m913_portrait01	AdventureDes73209	34,26730;35,26730	3,3780	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73210	1003	2	m913_portrait01	AdventureDes73210	3,22760	1,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73211	1003	2	m913_portrait01	AdventureDes73211	32,31240	4,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73212	1003	2	m913_portrait01	AdventureDes73212	35,34220	1,4860;2,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73213	1003	2	m913_portrait01	AdventureDes73213	3,28900;4,30360	1,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73214	1003	2	m913_portrait01	AdventureDes73214	30,41280;31,41280	4,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73215	1003	2	m913_portrait01	AdventureDes73215	34,45650	6,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73216	1003	2	m913_portrait01	AdventureDes73216	31,41280	5,6380;6,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73217	1003	2	m913_portrait01	AdventureDes73217	34,51070;35,51070	3,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73218	1003	2	m913_portrait01	AdventureDes73218	3,30640	1,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73219	1003	2	m913_portrait01	AdventureDes73219	32,45740	4,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73220	1003	2	m913_portrait01	AdventureDes73220	35,51070	1,7020;2,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73221	1003	2	m913_portrait01	AdventureDes73221	34,57300	6,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73222	1003	2	m913_portrait01	AdventureDes73222	1,307510;3,32520	5,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73223	1003	2	m913_portrait01	AdventureDes73223	4,34670	3,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73224	1003	2	m913_portrait01	AdventureDes73224	34,57300	6,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73225	1003	2	m913_portrait01	AdventureDes73225	31,56870	5,8600;6,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73226	1003	2	m913_portrait01	AdventureDes73226	34,64730;35,64730	3,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73227	1003	2	m913_portrait01	AdventureDes73227	3,34620	1,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73228	1003	2	m913_portrait01	AdventureDes73228	32,56870	4,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73301	1003	3	item_102020030002	AdventureDes73301	4,10050	3,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73302	1003	3	item_102020030002	AdventureDes73302	34,13550	6,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73303	1003	3	item_102020030002	AdventureDes73303	31,12550	5,1970;6,1970	2	item127000063000,2;item127000063001,6;item127000063002,3;item127000063020,4	0
73304	1003	3	item_102020030002	AdventureDes73304	34,22170;35,22170	3,3260	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73305	1003	3	item_102020030002	AdventureDes73305	3,16560	1,3440	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73306	1003	3	item_102020030002	AdventureDes73306	32,22000	4,3440	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73307	1003	3	item_102020030002	AdventureDes73307	35,24910	1,3590;2,3590	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73308	1003	3	item_102020030002	AdventureDes73308	3,17250;4,17920	1,3590	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73309	1003	3	item_102020030002	AdventureDes73309	30,24350;31,24350	4,3780	3	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,4	0
73310	1003	3	item_102020030002	AdventureDes73310	1,224720	2,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73311	1003	3	item_102020030002	AdventureDes73311	33,31240	5,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73312	1003	3	item_102020030002	AdventureDes73312	30,31240	3,4860;4,4860	4	item127000063000,2;item127000063001,7;item127000063002,3;item127000063020,6	0
73313	1003	3	item_102020030002	AdventureDes73313	32,41280;33,41280	2,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73314	1003	3	item_102020030002	AdventureDes73314	1,274210;3,28900	5,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73315	1003	3	item_102020030002	AdventureDes73315	35,45650	1,6380;2,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73316	1003	3	item_102020030002	AdventureDes73316	3,28900;4,30360	1,6380	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73317	1003	3	item_102020030002	AdventureDes73317	30,45740;31,45740	4,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73318	1003	3	item_102020030002	AdventureDes73318	1,290240	2,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73319	1003	3	item_102020030002	AdventureDes73319	33,45740	5,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73320	1003	3	item_102020030002	AdventureDes73320	30,45740	3,7020;4,7020	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,6	0
73321	1003	3	item_102020030002	AdventureDes73321	35,57300	1,7740;2,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73322	1003	3	item_102020030002	AdventureDes73322	3,32520	1,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73323	1003	3	item_102020030002	AdventureDes73323	32,50830	4,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73324	1003	3	item_102020030002	AdventureDes73324	35,57300	1,7740;2,7740	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73325	1003	3	item_102020030002	AdventureDes73325	3,34620;4,37240	1,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73326	1003	3	item_102020030002	AdventureDes73326	30,56870;31,56870	4,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
