流水号	渠道ID	充值id	充值类型	是否触发首冲	充值条件	客户端显示充值金额	获得基础钻石	累计充值计算钻石	是否有额外赠送	首次额外赠送	以后每次购买额外赠送	Icon图标资源	特效资源	充值钻石信息	支付产品id名字	支付产品数量	红包id,数量
27	0	1009	5	1		29800	0	2980	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
29	0	1010	5	1		32800	0	3280	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
31	0	1011	5	1		38800	0	3880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
33	0	1012	5	1		48800	0	4880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
37	0	1013	8	1		64800	0	6480	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
39	0	2000	3	1		3000	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName04	1	
40	0	2001	3	1	3,1001,29	3000	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName05	1	
41	0	2002	3	1	3,1001,29	2500	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName06	1	
42	0	3000	4	1		2500	250	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName07	1	
43	0	3001	4	1	2,902,30	2500	0	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName08	1	
44	0	5001	6	0		300	0	30	0	-1	-1			UI_Recharge_SpName06	UI_SdkProductName09	1	
45	0	5002	7	0	1,1	800	0	80	0	-1	-1			UI_Recharge_SpName07	UI_SdkProductName10	1	
46	0	5003	7	0	1,1	6800	0	680	0	-1	-1			UI_Recharge_SpName08	UI_SdkProductName11	1	
47	0	6001	8	0		100	0	10	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
48	0	6002	8	0		100	0	10	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
49	0	6003	8	0		100	0	10	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
50	0	6004	8	0		100	0	10	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
51	0	6005	8	0		100	0	10	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
52	0	6006	8	0		100	0	10	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
53	0	6011	8	0		300	0	30	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
54	0	6012	8	0		300	0	30	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
55	0	6013	8	0		300	0	30	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
56	0	6014	8	0		300	0	30	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
57	0	6015	8	0		300	0	30	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
58	0	6016	8	0		300	0	30	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
59	0	6021	8	1		600	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
60	0	6022	8	0		600	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
61	0	6023	8	0		600	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
62	0	6024	8	0		600	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
63	0	6025	12	0		600	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
64	0	6026	8	0		600	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
65	0	6031	8	0		1200	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
66	0	6032	8	0		1200	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
67	0	6033	8	0		1200	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
68	0	6034	8	0		1200	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
69	0	6035	8	0		1200	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
70	0	6036	13	0		1200	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
71	0	6041	8	0		1800	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
72	0	6042	8	0		1800	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
73	0	6043	8	0		1800	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
74	0	6044	8	0		1800	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
75	0	6045	8	0		1800	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
76	0	6046	8	0		1800	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
77	0	6051	8	0		2500	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
78	0	6052	8	0		2500	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
79	0	6053	8	0		2500	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
80	0	6054	8	0		2500	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
81	0	6055	8	0		2500	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
82	0	6056	8	0		2500	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
83	0	6061	8	0		3000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
84	0	6062	8	0		3000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
85	0	6063	12	0		3000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
86	0	6064	8	0		3000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
87	0	6065	13	0		3000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
88	0	6066	8	0		3000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
89	0	6071	11	0		5000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
90	0	6072	8	0		5000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
91	0	6073	8	0		5000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
92	0	6074	13	0		5000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
93	0	6081	8	0		9800	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
94	0	6082	13	0		9800	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
95	0	6083	13	0		9800	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
96	0	6084	8	0		9800	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
97	0	6091	8	0		12800	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
98	0	6092	8	0		12800	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
99	0	6093	12	0		12800	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
100	0	6094	8	0		12800	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
101	0	6101	8	0		16800	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
102	0	6102	13	0		16800	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
103	0	6111	8	0		18800	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
104	0	6112	12	0		18800	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
105	0	6121	13	0		19800	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
106	0	6122	13	0		19800	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
109	0	6131	8	0		26800	0	2680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
110	0	6132	12	0		26800	0	2680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
111	0	6141	8	0		29800	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
112	0	6142	8	0		29800	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
113	0	6151	13	0		32800	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
114	0	6152	8	0		32800	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
115	0	6161	8	0		38800	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
116	0	6162	13	0		38800	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
117	0	6171	8	0		48800	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
118	0	6172	12	0		48800	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
119	0	6181	8	0		58800	0	5880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
120	0	6182	5	0		58800	0	5880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
121	0	6191	13	0		64800	0	6480	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
122	0	6192	13	0		64800	0	6480	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
123	0	7000	8	1		8800	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
124	0	7001	12	1		8800	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
125	0	7002	9	1		8800	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
126	0	7003	9	1		8800	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
127	0	7011	9	1		12800	0	1280	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
129	0	7021	9	1		16800	0	1680	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
131	0	7031	8	1		19800	0	1980	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
135	0	7041	9	1		29800	0	2980	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
137	0	7051	13	1		32800	0	3280	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
139	0	7061	13	1		48800	0	4880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
141	0	7071	13	1		58800	0	5880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
143	0	7081	13	1		64800	0	6480	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
145	0	8000	10	1		6800	680	680	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
147	0	8010	8	1		8800	0	880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
149	0	8020	10	1		12800	0	1280	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
151	0	8030	10	1		19800	0	1980	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
153	0	8040	10	1		32800	0	3280	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
155	0	8050	10	1		48800	4880	4880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
157	0	8060	13	1		58800	0	5880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
159	0	8070	10	1		64800	0	6480	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
161	0	9001	11	1		49000	0	245	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
163	20201	101	1	1		99	60	60	1	6	6	recharge_icon01	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	60	
165	20201	102	1	1		499	300	300	1	33	33	recharge_icon02	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	300	
167	20201	103	1	1		1499	980	980	1	118	118	recharge_icon03	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	980	item142000000202,1
169	20201	104	1	1		2999	1980	1980	1	288	288	recharge_icon04	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	1980	item142000000202,2
171	20201	105	1	1		4999	3280	3280	1	488	488	recharge_icon05	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	3280	item142000000202,5
173	20201	106	1	1		9999	6480	6480	1	988	988	recharge_icon06	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	6480	item142000000202,10
175	20201	1000	5	1		1299	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
177	20201	1001	5	1		1299	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
179	20201	2000	3	1		499	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName04	1	
181	20201	2001	3	1	3,1001,29	499	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName05	1	
183	20201	2002	3	1	3,1001,29	399	250	250	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName06	1	
185	20201	3000	4	1		399	250	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName07	1	
187	20201	3001	4	1	2,902,29	399	0	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName08	1	
189	20201	5001	6	0		99	0	30	0	-1	-1			UI_Recharge_SpName06	UI_SdkProductName09	1	
191	20201	5002	7	0	1,1	199	0	80	0	-1	-1			UI_Recharge_SpName07	UI_SdkProductName10	1	
193	20201	5003	7	0	1,1	999	0	680	0	-1	-1			UI_Recharge_SpName08	UI_SdkProductName11	1	
195	20201	6021	8	0		99	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
197	20201	6022	8	0		99	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
199	20201	6023	8	0		99	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
201	20201	6024	8	0		99	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
203	20201	6031	8	0		199	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
205	20201	6032	8	0		199	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
207	20201	6033	8	0		199	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
209	20201	6034	8	0		199	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
211	20201	6041	8	0		299	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
213	20201	6042	8	0		299	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
215	20201	6043	8	0		299	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
217	20201	6044	8	0		299	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
219	20201	6051	8	0		399	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
221	20201	6052	8	0		399	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
223	20201	6053	8	0		399	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
225	20201	6054	8	0		399	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
227	20201	6061	8	0		499	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
229	20201	6062	8	0		499	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
231	20201	6063	8	0		499	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
233	20201	6064	8	0		499	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
235	20201	6071	8	0		799	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
237	20201	6072	8	0		799	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
239	20201	6073	8	0		799	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
241	20201	6074	8	0		799	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
243	20201	6081	8	0		1499	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
245	20201	6082	8	0		1499	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
247	20201	6083	8	0		1499	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
249	20201	6084	8	0		1499	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
251	20201	6091	8	0		1999	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
253	20201	6092	8	0		1999	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
255	20201	6093	8	0		1999	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
257	20201	6094	8	0		1999	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
259	30201	101	1	1		99	60	60	1	6	6	recharge_icon01	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	60	
261	30201	102	1	1		499	300	300	1	33	33	recharge_icon02	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	300	
263	30201	103	1	1		1499	980	980	1	118	118	recharge_icon03	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	980	item142000000202,1
265	30201	104	1	1		2999	1980	1980	1	288	288	recharge_icon04	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	1980	item142000000202,2
267	30201	105	1	1		4999	3280	3280	1	488	488	recharge_icon05	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	3280	item142000000202,5
269	30201	106	1	1		9999	6480	6480	1	988	988	recharge_icon06	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	6480	item142000000202,10
271	30201	1000	5	1		1299	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
273	30201	1001	5	1		1299	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
275	30201	2000	3	1		499	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName04	1	
277	30201	2001	3	1	3,1001,29	499	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName05	1	
279	30201	2002	3	1	3,1001,29	399	250	250	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName06	1	
281	30201	3000	4	1		399	250	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName07	1	
283	30201	3001	4	1	2,902,29	399	0	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName08	1	
285	30201	5001	6	0		99	0	30	0	-1	-1			UI_Recharge_SpName06	UI_SdkProductName09	1	
287	30201	5002	7	0	1,1	199	0	80	0	-1	-1			UI_Recharge_SpName07	UI_SdkProductName10	1	
289	30201	5003	7	0	1,1	999	0	680	0	-1	-1			UI_Recharge_SpName08	UI_SdkProductName11	1	
291	30201	6021	8	0		99	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
293	30201	6022	8	0		99	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
295	30201	6023	8	0		99	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
297	30201	6024	8	0		99	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
299	30201	6031	8	0		199	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
301	30201	6032	8	0		199	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
303	30201	6033	8	0		199	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
305	30201	6034	8	0		199	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
307	30201	6041	8	0		299	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
309	30201	6042	8	0		299	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
311	30201	6043	8	0		299	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
313	30201	6044	8	0		299	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
315	30201	6051	8	0		399	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
317	30201	6052	8	0		399	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
319	30201	6053	8	0		399	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
321	30201	6054	8	0		399	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
323	30201	6061	8	0		499	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
325	30201	6062	8	0		499	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
327	30201	6063	8	0		499	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
329	30201	6064	8	0		499	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
331	30201	6071	8	0		799	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
333	30201	6072	8	0		799	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
335	30201	6073	8	0		799	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
337	30201	6074	8	0		799	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
339	30201	6081	8	0		1499	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
341	30201	6082	8	0		1499	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
343	30201	6083	8	0		1499	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
345	30201	6084	8	0		1499	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
347	30201	6091	8	0		1999	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
349	30201	6092	8	0		1999	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
351	30201	6093	8	0		1999	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
353	30201	6094	8	0		1999	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
355	20201	9001	1	1		0	0	0	0	-1	-1					1	
357	30201	9001	1	1		0	0	0	0	-1	-1					1	
359	30601	101	1	1		12000	60	60	1	6	6	recharge_icon01	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	60	
361	30601	102	1	1		61000	300	300	1	33	33	recharge_icon02	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	300	
363	30601	103	1	1		184000	980	980	1	118	118	recharge_icon03	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	980	item142000000202,1
365	30601	104	1	1		354000	1980	1980	1	288	288	recharge_icon04	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	1980	item142000000202,2
367	30601	105	1	1		574000	3280	3280	1	488	488	recharge_icon05	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	3280	item142000000202,5
369	30601	106	1	1		1100000	6480	6480	1	988	988	recharge_icon06	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	6480	item142000000202,10
371	30601	1000	5	1		160000	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
373	30601	1001	5	1		160000	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
375	30601	1002	5	1		122000	0	680	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
377	30601	1003	9	1		122000	0	680	0	-1	-1			UI_Recharge_SpName12	UI_SdkProductName15	1	
379	30601	1004	5	1		160000	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
381	30601	1005	5	1		244000	0	1280	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
383	30601	1006	5	1		306000	0	1680	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
385	30601	1007	5	1		368000	0	1980	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
387	30601	1008	5	1		514000	0	2680	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
389	30601	1009	5	1		574000	0	2980	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
391	30601	1010	5	1		610000	0	3280	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
393	30601	1011	5	1		750000	0	3880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
395	30601	1012	5	1		900000	0	4880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
397	30601	1013	5	1		1200000	0	6480	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
399	30601	2000	3	1		61000	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName04	1	
401	30601	2001	3	1	3,1001,29	61000	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName05	1	
403	30601	2002	3	1	3,1001,29	49000	300	250	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName06	1	
405	30601	3000	4	1		49000	250	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName07	1	
