Key值	商店标签1	商店标签2	商品标签3	道具排序	是否珍品	商品ID	抽象ID	等级	显示等级	货币类型	指导价格	是否触发警戒提示	回收警戒线	低价警告警戒线	高价警告警戒线	复制警戒线	购买限制	生效地区,不填即为全部生效
5141	0	12	2	3	0	item102020061006	item102020061006	0	1	2	800000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5142	0	12	3	4	0	item102020061004	item102020061004	0	1	2	5000000	1	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001001	4	12	0	1	0	item105000000068	item105000000068	0	1	2	6000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001002	4	12	1	2	0	item105000000069	item105000000069	0	1	2	6000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001003	4	12	2	3	0	item105000000070	item105000000070	0	1	2	6000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001004	4	12	3	4	0	item105000000071	item105000000071	0	1	2	6000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5138	0	11	0	1	0	item102020060003	item102020060003	0	1	2	1000000	1	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000901	4	11	1	1	0	item200000515001	item200000515001	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000902	4	11	2	2	0	item200000515002	item200000515002	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000903	4	11	3	3	0	item200000515003	item200000515003	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000904	4	11	4	4	0	item200000515004	item200000515004	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000905	4	11	5	5	0	item200000515005	item200000515005	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000906	4	11	6	6	0	item200000515006	item200000515006	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000907	4	11	7	7	0	item200000515007	item200000515007	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000908	4	11	8	8	0	item200000515008	item200000515008	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000909	4	11	9	9	0	item200000515009	item200000515009	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000910	4	11	10	10	0	item200000515010	item200000515010	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000911	4	11	11	11	0	item200000515011	item200000515011	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000912	4	11	12	12	0	item200000515012	item200000515012	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000913	4	11	13	13	0	item200000515013	item200000515013	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000914	4	11	14	14	0	item200000515014	item200000515014	0	1	2	200000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5101	0	10	0	1	0	item103010131003	item103010131003	0	1	2	9000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5143	0	10	38	2	0	item2130900100077	item2130900100077	0	1	2	6050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5146	0	10	37	3	0	item2130700100076	item2130700100076	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5102	0	10	1	4	0	item2130000100051	item2130000100051	0	1	2	6050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5103	0	10	2	5	0	item2130000100052	item2130000100052	0	1	2	6050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5104	0	10	3	6	0	item2130200100042	item2130200100042	0	1	2	6050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5105	0	10	4	7	0	item2130600100040	item2130600100040	0	1	2	6050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5106	0	10	5	8	0	item2130800100058	item2130800100058	0	1	2	6050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5107	0	10	6	9	0	item2131000100064	item2131000100064	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5144	0	10	39	100	0	item2120400100078	item2120400100078	0	1	2	3050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5145	0	10	40	69	0	item2120300100079	item2120300100079	0	1	2	3050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5147	0	10	41	10	0	item2130500100080	item2130500100080	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5148	0	10	42	11	0	item2130400100081	item2130400100081	0	1	2	6050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5149	0	10	43	12	0	item2130700100082	item2130700100082	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5150	0	10	44	13	0	item2130200100083	item2130200100083	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5151	0	10	45	14	0	item2130900100084	item2130900100084	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5152	0	10	46	15	0	item2130900100085	item2130900100085	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5153	0	10	47	16	0	item2130600100086	item2130600100086	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5154	0	10	48	17	0	item2130800100087	item2130800100087	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5155	0	10	49	18	0	item2130300100088	item2130300100088	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5156	0	10	50	19	0	item2131000100089	item2131000100089	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5157	0	10	51	20	0	item2130400100090	item2130400100090	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5158	0	10	52	21	0	item2130200100091	item2130200100091	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5159	0	10	53	22	0	item2130900100092	item2130900100092	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5160	0	10	54	23	0	item2130600100093	item2130600100093	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5161	0	10	55	24	0	item2130300100094	item2130300100094	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5162	0	10	56	25	0	item2130300100095	item2130300100095	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5163	0	10	57	26	0	item2130300100096	item2130300100096	0	1	2	8050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5108	0	10	7	70	0	item2120000100054	item2120000100054	0	1	2	3050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5109	0	10	8	71	0	item2120300100041	item2120300100041	0	1	2	2050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5110	0	10	9	72	0	item2120400100044	item2120400100044	0	1	2	2050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5111	0	10	10	73	0	item2120600100065	item2120600100065	0	1	2	2050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5112	0	10	11	74	0	item2120600100066	item2120600100066	0	1	2	2050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5113	0	10	12	75	0	item2120700100055	item2120700100055	0	1	2	2050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5114	0	10	13	76	0	item2120700100072	item2120700100072	0	1	2	2050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5115	0	10	14	77	0	item2120900100059	item2120900100059	0	1	2	2050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5116	0	10	15	78	0	item2120900100071	item2120900100071	0	1	2	2050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5117	0	10	16	79	0	item2121000100063	item2121000100063	0	1	2	3050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5118	0	10	17	80	0	item2120500100073	item2120500100073	0	1	2	3050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5119	0	10	18	81	0	item2120200100074	item2120200100074	0	1	2	3050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5120	0	10	19	82	0	item2120400100075	item2120400100075	0	1	2	3050000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5121	0	10	20	83	0	item2110000100053	item2110000100053	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5122	0	10	21	84	0	item2110102100068	item2110102100068	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5123	0	10	22	85	0	item2110000100069	item2110000100069	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5124	0	10	23	86	0	item2110000100070	item2110000100070	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5125	0	10	24	87	0	item2110000100045	item2110000100045	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5126	0	10	25	88	0	item2110000100046	item2110000100046	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5127	0	10	26	89	0	item2110000100047	item2110000100047	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5128	0	10	27	90	0	item2110000100048	item2110000100048	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5129	0	10	28	91	0	item2110000100049	item2110000100049	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5130	0	10	29	92	0	item2110600100050	item2110600100050	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5131	0	10	30	93	0	item2110500100043	item2110500100043	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5132	0	10	31	94	0	item2110600100067	item2110600100067	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5133	0	10	32	95	0	item2110700100056	item2110700100056	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5134	0	10	33	96	0	item2110800100057	item2110800100057	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5135	0	10	34	97	0	item2110900100060	item2110900100060	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5136	0	10	35	98	0	item2111000100061	item2111000100061	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5137	0	10	36	99	0	item2111000100062	item2111000100062	0	1	2	550000	1	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000801	4	10	1	1	0	item200000800001	item200000800001	0	1	2	3000	0	0,0.5;11,0.5;31,0.5	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000802	4	10	2	3	0	item200000800002	item200000800002	0	1	2	12000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000803	4	10	3	5	0	item200000800003	item200000800003	0	1	2	50000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000804	4	10	4	7	0	item200000800005	item200000800005	0	1	2	300000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000805	4	10	5	8	0	item200000800006	item200000800006	0	1	2	300000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000806	4	10	6	9	0	item200000800007	item200000800007	0	1	2	300000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000807	4	10	7	10	0	item200000800008	item200000800008	0	1	2	300000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000808	4	10	8	2	0	item200000800009	item200000800009	0	1	2	3000	0	0,0.5;11,0.5;31,0.5	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000809	4	10	9	4	0	item200000800010	item200000800010	0	1	2	12000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000810	4	10	10	6	0	item200000800011	item200000800011	0	1	2	50000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000811	4	10	11	11	0	item200000800012	item200000800012	0	1	2	300000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000812	4	10	12	12	0	item200000800013	item200000800013	0	1	2	3000	0	0,0.5;11,0.5;31,0.5	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000813	4	10	13	13	0	item200000800014	item200000800014	0	1	2	12000	0	0,0.6;11,0.6;31,0.6	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000814	4	10	14	14	0	item200000800015	item200000800015	0	1	2	50000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000815	4	10	15	15	0	item200000800017	item200000800017	0	1	2	300000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5001	0	9	0	1	0	item103015110412	item103015110412	0	1	2	100000	0	0,0.5;11,0.5;31,0.5	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5002	0	9	1	2	0	item103015110413	item103015110413	0	1	2	450	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5003	0	9	2	3	0	item103015110414	item103015110414	0	1	2	32000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000701	4	9	1	2	0	item144320000001	item144320000001	0	1	2	200	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;21,1.3;31,1.2;41,1.1	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000702	4	9	2	3	0	item144320000002	item144320000002	0	1	2	200	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;21,1.3;31,1.2;41,1.1	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000711	4	9	3	4	0	item144320000011	item144320000011	0	1	2	2000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;21,1.3;31,1.2;41,1.1	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30000712	4	9	4	1	0	item144320000012	item144320000012	0	1	2	2000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;21,1.3;31,1.2;41,1.1	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
50000224	6	9	0	1	0	item101040101042	item101040101042	0	1	2	15000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
50000225	6	9	1	2	0	item101040101043	item101040101043	0	1	2	15000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
50000226	6	9	2	3	0	item101040101044	item101040101044	0	1	2	10000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
