流水	场景ID	Npc配置ID	对象类型	出生位置	出生角度
153	1112	door_35006_transfer1	DoorNpc	22.5, 1.5, -3.0	0.000000
154	1112	door_35006_transfer2	DoorNpc	-46.0, 6.8, 77.8	0.000000
155	1112	door_35006_transfer3	DoorNpc	-22.5, 6.3, 62.6	0.000000
156	1106	door_35005_trans_01	DoorNpc	-20.7, 8.3, -21.4	0.000000
157	1106	door_35005_trans_02	DoorNpc	30.5, 18.0, 29.2	0.000000
158	1108	door_35005_trans_01	DoorNpc	-20.7, 8.3, -21.4	0.000000
159	1108	door_35005_trans_02	DoorNpc	30.5, 18.0, 29.2	0.000000
160	1152	door_mengyan3_transfer1	DoorNpc	26.0, 124.0, -1.4	0.000000
161	1153	door_30008_trans_01	DoorNpc	-0.8, -1.3, -36.5	0.000000
162	1153	door_30008_trans_02	DoorNpc	15.2, 4.7, 81.2	0.000000
163	1800	door_300033_trans_01	DoorNpc	-32.8, 6.1, -5.9	0.000000
164	1800	door_300033_trans_02	DoorNpc	34.4, -0.4, -18.1	0.000000
165	1801	door_300022_trans_01	DoorNpc	-36.2, 4.1, -1.3	0.000000
166	1801	door_300022_trans_02	DoorNpc	-15.0, 2.6, 7.6	0.000000
167	1801	door_300022_trans_03	DoorNpc	-8.1, -1.4, -18.6	0.000000
168	1801	door_300022_trans_04	DoorNpc	-6.7, 0.6, 1.7	0.000000
169	1801	door_300022_trans_05	DoorNpc	4.8, 4.9, 41.9	0.000000
170	1801	door_300022_trans_06	DoorNpc	26.1, 4.2, 22.0	0.000000
171	1802	door_300012_trans_01	DoorNpc	26.1, 2.7, 13.1	0.000000
172	1851	door_300012_trans_01	DoorNpc	26.1, 2.7, 13.1	0.000000
173	1852	door_mengyan2_transfer1	DoorNpc	-2.6, 0.6, -76.3	0.000000
174	1852	door_mengyan2_transfer2	DoorNpc	20.2, 7.6, -22.8	0.000000
175	1852	door_mengyan2_transfer3	DoorNpc	-34.8, 7.6, -21.0	0.000000
176	1852	door_mengyan2_transfer4	DoorNpc	-46.2, 7.6, -34.5	0.000000
177	1852	door_mengyan2_transfer5	DoorNpc	-0.7, 7.6, 10.4	0.000000
178	1853	door_30009_trans_02_1	DoorNpc	7.0, 281.2, 60.9	0.000000
179	1853	door_30009_trans_01_1	DoorNpc	18.4, 105.0, -51.1	0.000000
180	1853	door_30009_trans_03_1	DoorNpc	-93.1, 178.5, -83.8	0.000000
181	1855	door_30008_trans_01	DoorNpc	-0.8, -1.3, -36.5	0.000000
182	1855	door_30008_trans_02	DoorNpc	15.2, 4.7, 81.2	0.000000
183	1856	door_35004_transfer2	DoorNpc	77.8, 20.6, 57.1	0.000000
184	1856	door_35004_transfer1	DoorNpc	-34.5, 24.5, 23.5	0.000000
185	96	door_350031	DoorNpc	-0.1, 0.8, 22.9	182.041504
186	4	npc_101041	ShowNpc	-59.4, 2.6, 7.0	157.500000
187	4	npc_collect_015	ShowNpc	39.4, 5.3, -43.1	200.000000
188	4	npc_10063	ShowNpc	22.7, 4.8, -54.6	162.899994
189	4	npc_10066	ShowNpc	13.8, 4.8, -25.7	239.699997
190	4	npc_10067	ShowNpc	-16.1, 7.3, -11.5	143.100006
191	4	npc_100854	ShowNpc	26.8, 5.3, -59.8	300.700012
192	4	npc_100855	ShowNpc	-55.6, 3.2, -36.8	110.699997
193	4	npc_10064	ShowNpc	3.9, 4.8, -23.0	134.600006
194	4	npc_10065	ShowNpc	12.3, 4.8, -22.8	224.699997
195	4	npc_10074	ShowNpc	-17.4, 6.4, 37.1	59.669991
196	4	npc_10103	ShowNpc	-40.3, 2.7, -20.8	127.120003
197	4	npc_weddingentrance	ShowNpc	-19.1, 6.1, 35.4	300.700012
198	4	npc_100276	ShowNpc	-7.4, 7.0, 43.9	180.699997
199	4	npc_100277	ShowNpc	22.4, 4.8, -36.5	138.699997
200	4	npc_100278	ShowNpc	40.8, 6.9, 35.5	171.000000
201	4	npc_100279	ShowNpc	60.6, 5.5, 11.3	160.000000
202	4	ride_pub_stone_01	ShowNpc	-53.9, 2.6, 15.0	14.188470
203	4	ride_pub_stone_01	ShowNpc	-67.4, 2.5, 6.4	14.188470
204	4	ride_pub_stone_01	ShowNpc	-43.5, 2.7, -15.3	14.188470
205	4	ride_pub_stone_01	ShowNpc	-56.5, 3.2, -25.9	14.188470
206	4	ride_pub_stone_01	ShowNpc	-47.7, 3.0, -26.8	14.188470
207	4	ride_pub_stone_01	ShowNpc	-24.9, 2.7, -21.2	14.188470
208	4	ride_pub_stone_01	ShowNpc	-23.8, 2.8, -26.4	14.188470
209	4	ride_pub_stone_01	ShowNpc	-35.6, 3.2, -37.3	14.188470
210	4	ride_pub_stone_01	ShowNpc	-44.7, 3.1, -31.0	14.188470
211	4	ride_pub_stone_01	ShowNpc	-50.0, 3.5, -47.2	14.188470
212	4	ride_pub_stone_01	ShowNpc	-40.5, 3.7, -50.8	14.188470
213	4	ride_pub_stone_01	ShowNpc	-16.7, 3.7, -32.1	14.188470
214	4	ride_pub_stone_01	ShowNpc	-15.5, 4.1, -54.8	14.188470
215	4	ride_pub_stone_01	ShowNpc	-41.1, 5.7, -57.5	14.188470
216	4	ride_pub_stone_01	ShowNpc	4.1, 4.8, -44.2	14.188470
217	4	ride_pub_stone_01	ShowNpc	-1.1, 4.8, -39.2	14.188470
218	4	ride_pub_stone_01	ShowNpc	18.0, 4.8, -29.1	14.188470
219	4	ride_pub_stone_01	ShowNpc	7.4, 4.8, -17.4	14.188470
220	4	ride_pub_stone_01	ShowNpc	-8.6, 4.8, -26.6	14.188470
221	4	ride_pub_stone_01	ShowNpc	6.0, 4.8, -43.0	14.188470
222	4	ride_pub_stone_01	ShowNpc	25.1, 5.5, -64.5	14.188470
223	4	ride_pub_stone_01	ShowNpc	32.4, 5.2, -57.6	14.188470
224	4	ride_pub_stone_01	ShowNpc	18.1, 5.4, -63.8	14.188470
225	4	ride_pub_stone_01	ShowNpc	40.8, 5.5, -34.4	14.188470
226	4	ride_pub_stone_01	ShowNpc	56.6, 5.5, -23.3	14.188470
227	4	ride_pub_stone_01	ShowNpc	53.7, 5.5, -26.6	14.188470
228	4	ride_pub_stone_01	ShowNpc	52.8, 5.5, -18.5	14.188470
229	4	ride_pub_stone_01	ShowNpc	46.5, 5.5, -1.7	14.188470
230	4	ride_pub_stone_01	ShowNpc	43.0, 5.5, 14.5	14.188470
231	4	ride_pub_stone_01	ShowNpc	48.0, 5.5, 19.2	14.188470
232	4	ride_pub_stone_01	ShowNpc	53.1, 5.5, 12.5	14.188470
233	4	ride_pub_stone_01	ShowNpc	68.4, 5.5, 30.1	14.188470
234	4	ride_pub_stone_01	ShowNpc	64.2, 5.5, 34.0	14.188470
235	4	ride_pub_stone_01	ShowNpc	78.2, 5.5, 23.3	14.188470
236	4	ride_pub_stone_01	ShowNpc	71.3, 5.5, 21.0	14.188470
237	4	ride_pub_stone_01	ShowNpc	93.1, 5.5, -8.0	14.188470
238	4	ride_pub_stone_01	ShowNpc	86.8, 5.5, -16.4	14.188470
239	4	ride_pub_stone_01	ShowNpc	77.5, 5.5, -11.9	14.188470
240	4	ride_pub_stone_01	ShowNpc	68.8, 5.5, -8.2	14.188470
241	4	ride_pub_stone_01	ShowNpc	84.0, 5.5, 0.7	14.188470
242	4	ride_pub_stone_01	ShowNpc	75.7, 5.5, 10.4	14.188470
243	4	ride_pub_stone_01	ShowNpc	67.0, 5.5, -2.9	14.188470
244	4	ride_pub_stone_01	ShowNpc	58.8, 5.5, -5.2	14.188470
245	4	ride_pub_stone_01	ShowNpc	40.8, 6.6, 19.6	14.188470
246	4	ride_pub_stone_01	ShowNpc	17.9, 6.9, 20.0	14.188470
247	4	ride_pub_stone_01	ShowNpc	11.0, 6.9, 21.5	14.188470
248	4	ride_pub_stone_01	ShowNpc	1.6, 6.9, 26.9	14.188470
249	4	ride_pub_stone_01	ShowNpc	-75.4, 12.3, -26.3	14.188470
250	4	ride_pub_stone_01	ShowNpc	-72.5, 12.3, -31.7	14.188470
251	4	ride_pub_stone_01	ShowNpc	-74.0, 12.3, -35.6	14.188470
252	4	ride_pub_stone_01	ShowNpc	-77.2, 12.3, -35.8	14.188470
253	4	ride_pub_stone_01	ShowNpc	-80.6, 12.3, -30.3	14.188470
254	4	ride_pub_seat_01	ShowNpc	-74.2, 12.3, -58.2	190.000000
255	4	ride_pub_seat_01	ShowNpc	-73.4, 12.3, -57.0	190.000000
256	4	ride_pub_seat_01	ShowNpc	-73.8, 12.3, -55.5	190.000000
257	4	ride_pub_seat_01	ShowNpc	-75.4, 12.3, -54.7	190.000000
258	4	ride_pub_seat_01	ShowNpc	-76.9, 12.3, -55.2	190.000000
259	4	ride_pub_seat_01	ShowNpc	-77.5, 12.3, -56.5	190.000000
260	4	ride_pub_seat_01	ShowNpc	-77.0, 12.3, -58.0	190.000000
261	4	ride_pub_seat_01	ShowNpc	-75.7, 12.3, -58.7	190.000000
262	4	npc_101592	ShowNpc	-70.0, 10.5, -72.1	191.000000
263	4	npc_100521	ShowNpc	7.6, 8.9, 57.1	180.000000
264	4	npc_10052	ShowNpc	48.5, 6.9, 34.3	239.250000
265	4	npc_10057	ShowNpc	32.9, 11.0, 88.2	224.699997
266	4	npc_10056	ShowNpc	28.3, 11.1, 92.1	223.600006
267	4	npc_100561	ShowNpc	29.4, 11.0, 84.1	223.600006
268	4	npc_100562	ShowNpc	24.9, 11.0, 88.0	223.600006
269	4	npc_10049	ShowNpc	82.2, 5.5, -5.6	186.475098
270	4	npc_10059	ShowNpc	41.4, 5.5, -9.4	140.300003
271	4	npc_10060	ShowNpc	36.1, 5.5, -25.8	131.899994
272	4	npc_10061	ShowNpc	47.3, 5.5, -16.3	148.899994
273	4	npc_10062	ShowNpc	48.5, 5.5, -2.9	99.899986
274	4	npc_100603	ShowNpc	6.0, 8.6, 54.7	40.899990
275	4	npc_100604	ShowNpc	4.9, 9.1, 57.0	40.899990
276	4	npc_100604	ShowNpc	7.1, 9.3, 58.8	40.899990
277	4	npc_10068	ShowNpc	-44.0, 3.2, -32.2	164.160004
278	4	npc_101624	ShowNpc	34.1, 6.9, 32.2	306.899994
279	4	npc_10209	ShowNpc	-6.8, 4.8, -27.3	200.000000
280	4	npc_10162	ShowNpc	-7.3, 2.3, 15.2	218.789993
281	4	npc_10202	ShowNpc	19.1, 3.0, -7.4	190.000000
282	4	npc_10051	ShowNpc	44.4, 6.9, 37.3	186.475098
283	4	npc_10073	ShowNpc	-79.5, 12.2, -30.2	165.899994
284	4	npc_10069	ShowNpc	-93.3, 12.2, -64.7	133.399994
285	4	npc_10107	ShowNpc	-3.3, 4.8, -27.2	143.500000
286	4	npc_10072	ShowNpc	-58.8, 10.7, -85.2	68.300003
287	4	npc_10071	ShowNpc	-80.3, 12.2, -52.5	232.800003
288	4	npc_10070	ShowNpc	-91.0, 12.2, -55.6	133.399994
289	4	npc_10050	ShowNpc	74.0, 5.5, 14.2	188.899994
290	4	npc_collect_014	ShowNpc	62.9, 5.5, 33.9	200.000000
291	4	npc_collect_017	ShowNpc	74.4, 5.5, 10.7	200.000000
292	4	cannon_npc_004	ShowNpc	17.6, 11.0, 86.0	0.000000
293	4	npc_100851	ShowNpc	71.8, 5.5, 0.6	128.500000
294	4	npc_1008519	ShowNpc	36.8, 6.9, 36.8	195.500000
295	4	npc_100852	ShowNpc	-5.9, 6.9, 41.9	312.700012
296	4	npc_100853	ShowNpc	26.8, 5.3, -59.8	300.700012
297	4	npc_100856	ShowNpc	24.6, 4.8, -35.8	200.699997
298	4	npc_100857	ShowNpc	56.7, 9.7, -17.8	8.700000
299	4	npc_100858	ShowNpc	44.2, 6.9, 33.9	226.000000
300	4	npc_100859	ShowNpc	60.6, 5.5, 8.9	80.000000
301	4	npc_10053	ShowNpc	33.1, 6.8, 36.0	156.300003
302	4	npc_mappoint_fishing_0301	ShowNpc	-16.4, 1.8, 20.9	144.899994
303	4	npc_mappoint_fishing_0302	ShowNpc	16.3, 2.8, -6.8	203.000000
304	4	npc_mappoint_fishing_0303	ShowNpc	-53.9, 2.5, 11.5	228.220001
305	4	collect_npc006	ShowNpc	-66.4, 2.6, 9.5	145.000000
306	4	collect_npc005	ShowNpc	8.0, 4.8, -18.3	158.000000
307	4	mine_npc006	ShowNpc	18.5, 4.8, -51.6	164.000000
308	4	mine_npc005	ShowNpc	-41.7, 6.0, -59.2	152.000000
309	4	npc_collect_020	ShowNpc	-54.3, 11.0, -94.2	200.000000
310	4	npc_collect_018	ShowNpc	69.5, 5.9, 20.4	200.000000
311	4	npc_collect_013	ShowNpc	-27.1, 2.7, -25.6	163.000000
312	4	npc_10054	ShowNpc	30.9, 6.8, 35.1	135.899994
313	4	npc_10058	ShowNpc	-4.3, 7.0, 46.5	159.800003
314	4	npc_10055	ShowNpc	15.6, 10.9, 77.2	53.200008
315	4	npc_ring006	ShowNpc	-42.7, 3.2, -38.5	59.860001
316	4	npc_ring106	ShowNpc	-42.7, 3.2, -38.5	59.860001
317	4	npc_ring206	ShowNpc	-42.7, 3.2, -38.5	59.860001
318	4	npc_ring306	ShowNpc	-42.7, 3.2, -38.5	59.860001
319	4	npc_ring406	ShowNpc	-42.7, 3.2, -38.5	59.860001
320	4	npc_ring005	ShowNpc	-40.4, 10.6, -83.3	59.860001
321	4	npc_ring105	ShowNpc	-40.4, 10.6, -83.3	59.860001
322	4	npc_ring205	ShowNpc	-40.4, 10.6, -83.3	59.860001
323	4	npc_ring305	ShowNpc	-40.4, 10.6, -83.3	59.860001
324	4	npc_ring405	ShowNpc	-40.4, 10.6, -83.3	59.860001
325	4	npc_10086	ShowNpc	54.3, 5.5, 3.2	150.000000
326	4	npc_100861	ShowNpc	-31.7, 5.1, -55.3	180.000000
327	4	npc_101001	ShowNpc	-9.1, 7.0, 42.5	105.699997
328	4	npc_10100	ShowNpc	31.2, 11.1, 88.2	80.000000
329	4	npc_10106	ShowNpc	-9.6, 6.3, -13.1	255.800003
330	4	npc_10164	ShowNpc	-77.4, 12.2, -32.1	50.000000
331	4	npc_collect_019	ShowNpc	-33.4, 3.2, -39.2	200.000000
332	4	npc_10101	ShowNpc	28.0, 11.0, 87.5	210.000000
333	4	toss_03	ShowNpc	-55.2, 3.2, -32.6	239.699997
334	4	npc_collect_016	ShowNpc	39.6, 6.9, 31.7	200.000000
335	4	npc_collect_026	ShowNpc	-37.0, 3.8, -20.1	163.000000
336	4	npc_trial_4001	TrialNpc	22.7, 6.9, 31.0	290.000000
337	4	npc_trial_4002	TrialNpc	65.8, 5.5, 12.2	316.000000
338	4	npc_trial_4003	TrialNpc	26.6, 4.8, -45.7	27.000000
339	4	npc_trial_4004	TrialNpc	-25.2, 3.3, -37.2	82.000000
340	4	npc_trial_4005	TrialNpc	-50.2, 10.6, -85.3	22.000000
341	4	npc_fishingground_030101	ShowNpc	-23.6, 2.6, 17.4	16.499960
342	4	npc_fishingground_030201	ShowNpc	10.9, 2.5, -6.0	16.499960
343	4	npc_fishingground_030301	ShowNpc	-49.5, 2.4, 4.4	16.499960
344	4	npc_ditujiantou	ShowNpc	15.5, 2.7, -8.6	0.000000
345	4	door_35006	DoorNpc	-7.2, 2.6, 25.9	162.500000
