流水	佣兵ID	阵列等级	属性库id
33	soldier_npc_10019	3	3,3;4,3;1,30;26,20
34	soldier_npc_10019	4	3,3;4,3;1,30;26,20
35	soldier_npc_10019	5	3,3;4,3;1,30;26,20
36	soldier_npc_10019	6	3,3;4,3;1,30;26,20
37	soldier_npc_10019	7	3,3;4,3;1,30;26,20
38	soldier_npc_10019	8	3,3;4,3;1,30;26,20
39	soldier_npc_10019	9	3,3;4,3;1,30;26,20
40	soldier_npc_10019	10	3,3;4,3;1,30;26,20
41	soldier_npc_10020	1	3,25;4,25;1,250;22,60
42	soldier_npc_10020	2	3,3;4,3;1,30;22,20
43	soldier_npc_10020	3	3,3;4,3;1,30;22,20
44	soldier_npc_10020	4	3,3;4,3;1,30;22,20
45	soldier_npc_10020	5	3,3;4,3;1,30;22,20
46	soldier_npc_10020	6	3,3;4,3;1,30;22,20
47	soldier_npc_10020	7	3,3;4,3;1,30;22,20
48	soldier_npc_10020	8	3,3;4,3;1,30;22,20
49	soldier_npc_10020	9	3,3;4,3;1,30;22,20
50	soldier_npc_10020	10	3,3;4,3;1,30;22,20
51	soldier_npc_10021	1	3,25;4,25;1,250;21,60
52	soldier_npc_10021	2	3,3;4,3;1,30;21,20
53	soldier_npc_10021	3	3,3;4,3;1,30;21,20
54	soldier_npc_10021	4	3,3;4,3;1,30;21,20
55	soldier_npc_10021	5	3,3;4,3;1,30;21,20
56	soldier_npc_10021	6	3,3;4,3;1,30;21,20
57	soldier_npc_10021	7	3,3;4,3;1,30;21,20
58	soldier_npc_10021	8	3,3;4,3;1,30;21,20
59	soldier_npc_10021	9	3,3;4,3;1,30;21,20
60	soldier_npc_10021	10	3,3;4,3;1,30;21,20
61	soldier_npc_10022	1	3,25;4,25;1,250;52,60
62	soldier_npc_10022	2	3,3;4,3;1,30;52,10
63	soldier_npc_10022	3	3,3;4,3;1,30;52,10
64	soldier_npc_10022	4	3,3;4,3;1,30;52,10
65	soldier_npc_10022	5	3,3;4,3;1,30;52,10
66	soldier_npc_10022	6	3,3;4,3;1,30;52,10
67	soldier_npc_10022	7	3,3;4,3;1,30;52,10
68	soldier_npc_10022	8	3,3;4,3;1,30;52,10
69	soldier_npc_10022	9	3,3;4,3;1,30;52,10
70	soldier_npc_10022	10	3,3;4,3;1,30;52,10
71	soldier_npc_10023	1	3,25;4,25;1,250;23,60
72	soldier_npc_10023	2	3,3;4,3;1,30;23,20
73	soldier_npc_10023	3	3,3;4,3;1,30;23,20
74	soldier_npc_10023	4	3,3;4,3;1,30;23,20
75	soldier_npc_10023	5	3,3;4,3;1,30;23,20
76	soldier_npc_10023	6	3,3;4,3;1,30;23,20
77	soldier_npc_10023	7	3,3;4,3;1,30;23,20
78	soldier_npc_10023	8	3,3;4,3;1,30;23,20
79	soldier_npc_10023	9	3,3;4,3;1,30;23,20
80	soldier_npc_10023	10	3,3;4,3;1,30;23,20
81	soldier_npc_10024	1	3,25;4,25;1,250;24,60
82	soldier_npc_10024	2	3,3;4,3;1,30;24,20
83	soldier_npc_10024	3	3,3;4,3;1,30;24,20
84	soldier_npc_10024	4	3,3;4,3;1,30;24,20
85	soldier_npc_10024	5	3,3;4,3;1,30;24,20
86	soldier_npc_10024	6	3,3;4,3;1,30;24,20
87	soldier_npc_10024	7	3,3;4,3;1,30;24,20
88	soldier_npc_10024	8	3,3;4,3;1,30;24,20
89	soldier_npc_10024	9	3,3;4,3;1,30;24,20
90	soldier_npc_10024	10	3,3;4,3;1,30;24,20
91	soldier_npc_10025	1	3,25;4,25;1,250;52,60
92	soldier_npc_10025	2	3,3;4,3;1,30;52,10
93	soldier_npc_10025	3	3,3;4,3;1,30;52,10
94	soldier_npc_10025	4	3,3;4,3;1,30;52,10
95	soldier_npc_10025	5	3,3;4,3;1,30;52,10
96	soldier_npc_10025	6	3,3;4,3;1,30;52,10
97	soldier_npc_10025	7	3,3;4,3;1,30;52,10
98	soldier_npc_10025	8	3,3;4,3;1,30;52,10
99	soldier_npc_10025	9	3,3;4,3;1,30;52,10
100	soldier_npc_10025	10	3,3;4,3;1,30;52,10
101	soldier_npc_10026	1	3,25;4,25;1,250;52,60
102	soldier_npc_10026	2	3,3;4,3;1,30;52,10
103	soldier_npc_10026	3	3,3;4,3;1,30;52,10
104	soldier_npc_10026	4	3,3;4,3;1,30;52,10
105	soldier_npc_10026	5	3,3;4,3;1,30;52,10
106	soldier_npc_10026	6	3,3;4,3;1,30;52,10
107	soldier_npc_10026	7	3,3;4,3;1,30;52,10
108	soldier_npc_10026	8	3,3;4,3;1,30;52,10
109	soldier_npc_10026	9	3,3;4,3;1,30;52,10
110	soldier_npc_10026	10	3,3;4,3;1,30;52,10
111	soldier_npc_10027	1	3,25;4,25;1,250;51,60
112	soldier_npc_10027	2	3,3;4,3;1,30;51,10
113	soldier_npc_10027	3	3,3;4,3;1,30;51,10
114	soldier_npc_10027	4	3,3;4,3;1,30;51,10
115	soldier_npc_10027	5	3,3;4,3;1,30;51,10
116	soldier_npc_10027	6	3,3;4,3;1,30;51,10
117	soldier_npc_10027	7	3,3;4,3;1,30;51,10
118	soldier_npc_10027	8	3,3;4,3;1,30;51,10
119	soldier_npc_10027	9	3,3;4,3;1,30;51,10
120	soldier_npc_10027	10	3,3;4,3;1,30;51,10
121	soldier_npc_10030	1	3,25;4,25;1,250;51,60
122	soldier_npc_10030	2	3,3;4,3;1,30;51,10
123	soldier_npc_10030	3	3,3;4,3;1,30;51,10
124	soldier_npc_10030	4	3,3;4,3;1,30;51,10
125	soldier_npc_10030	5	3,3;4,3;1,30;51,10
126	soldier_npc_10030	6	3,3;4,3;1,30;51,10
127	soldier_npc_10030	7	3,3;4,3;1,30;51,10
128	soldier_npc_10030	8	3,3;4,3;1,30;51,10
129	soldier_npc_10030	9	3,3;4,3;1,30;51,10
130	soldier_npc_10030	10	3,3;4,3;1,30;51,10
131	soldier_npc_10032	1	3,25;4,25;1,250;131,60
132	soldier_npc_10032	2	3,3;4,3;1,30;131,10
133	soldier_npc_10032	3	3,3;4,3;1,30;131,10
134	soldier_npc_10032	4	3,3;4,3;1,30;131,10
135	soldier_npc_10032	5	3,3;4,3;1,30;131,10
136	soldier_npc_10032	6	3,3;4,3;1,30;131,10
137	soldier_npc_10032	7	3,3;4,3;1,30;131,10
138	soldier_npc_10032	8	3,3;4,3;1,30;131,10
139	soldier_npc_10032	9	3,3;4,3;1,30;131,10
140	soldier_npc_10032	10	3,3;4,3;1,30;131,10
141	soldier_npc_10036	1	3,25;4,25;1,250;132,60
142	soldier_npc_10036	2	3,3;4,3;1,30;132,10
143	soldier_npc_10036	3	3,3;4,3;1,30;132,10
144	soldier_npc_10036	4	3,3;4,3;1,30;132,10
145	soldier_npc_10036	5	3,3;4,3;1,30;132,10
146	soldier_npc_10036	6	3,3;4,3;1,30;132,10
147	soldier_npc_10036	7	3,3;4,3;1,30;132,10
148	soldier_npc_10036	8	3,3;4,3;1,30;132,10
149	soldier_npc_10036	9	3,3;4,3;1,30;132,10
150	soldier_npc_10036	10	3,3;4,3;1,30;132,10
151	soldier_npc_10006	1	3,15;4,15;1,150
152	soldier_npc_10006	2	3,3;4,3;1,30
153	soldier_npc_10006	3	3,3;4,3;1,30
154	soldier_npc_10006	4	3,3;4,3;1,30
155	soldier_npc_10006	5	3,3;4,3;1,30
156	soldier_npc_10006	6	3,3;4,3;1,30
157	soldier_npc_10006	7	3,3;4,3;1,30
158	soldier_npc_10006	8	3,3;4,3;1,30
159	soldier_npc_10006	9	3,3;4,3;1,30
160	soldier_npc_10007	1	3,15;4,15;1,150
161	soldier_npc_10007	2	3,3;4,3;1,30
162	soldier_npc_10007	3	3,3;4,3;1,30
163	soldier_npc_10007	4	3,3;4,3;1,30
164	soldier_npc_10007	5	3,3;4,3;1,30
165	soldier_npc_10007	6	3,3;4,3;1,30
166	soldier_npc_10007	7	3,3;4,3;1,30
167	soldier_npc_10007	8	3,3;4,3;1,30
168	soldier_npc_10007	9	3,3;4,3;1,30
169	soldier_npc_10008	1	3,15;4,15;1,150
170	soldier_npc_10008	2	3,3;4,3;1,30
171	soldier_npc_10008	3	3,3;4,3;1,30
172	soldier_npc_10008	4	3,3;4,3;1,30
173	soldier_npc_10008	5	3,3;4,3;1,30
174	soldier_npc_10008	6	3,3;4,3;1,30
175	soldier_npc_10008	7	3,3;4,3;1,30
176	soldier_npc_10008	8	3,3;4,3;1,30
177	soldier_npc_10008	9	3,3;4,3;1,30
178	soldier_npc_10009	1	3,15;4,15;1,150
179	soldier_npc_10009	2	3,3;4,3;1,30
180	soldier_npc_10009	3	3,3;4,3;1,30
181	soldier_npc_10009	4	3,3;4,3;1,30
182	soldier_npc_10009	5	3,3;4,3;1,30
183	soldier_npc_10009	6	3,3;4,3;1,30
184	soldier_npc_10009	7	3,3;4,3;1,30
185	soldier_npc_10009	8	3,3;4,3;1,30
186	soldier_npc_10009	9	3,3;4,3;1,30
187	soldier_npc_10010	1	3,15;4,15;1,150
188	soldier_npc_10010	2	3,3;4,3;1,30
189	soldier_npc_10010	3	3,3;4,3;1,30
190	soldier_npc_10010	4	3,3;4,3;1,30
191	soldier_npc_10010	5	3,3;4,3;1,30
192	soldier_npc_10010	6	3,3;4,3;1,30
193	soldier_npc_10010	7	3,3;4,3;1,30
194	soldier_npc_10010	8	3,3;4,3;1,30
195	soldier_npc_10010	9	3,3;4,3;1,30
196	soldier_npc_10012	1	3,15;4,15;1,150
197	soldier_npc_10012	2	3,3;4,3;1,30
198	soldier_npc_10012	3	3,3;4,3;1,30
199	soldier_npc_10012	4	3,3;4,3;1,30
200	soldier_npc_10012	5	3,3;4,3;1,30
201	soldier_npc_10012	6	3,3;4,3;1,30
202	soldier_npc_10012	7	3,3;4,3;1,30
203	soldier_npc_10012	8	3,3;4,3;1,30
204	soldier_npc_10012	9	3,3;4,3;1,30
205	soldier_npc_10013	1	3,15;4,15;1,150
206	soldier_npc_10013	2	3,3;4,3;1,30
207	soldier_npc_10013	3	3,3;4,3;1,30
208	soldier_npc_10013	4	3,3;4,3;1,30
209	soldier_npc_10013	5	3,3;4,3;1,30
210	soldier_npc_10013	6	3,3;4,3;1,30
211	soldier_npc_10013	7	3,3;4,3;1,30
212	soldier_npc_10013	8	3,3;4,3;1,30
213	soldier_npc_10013	9	3,3;4,3;1,30
214	soldier_npc_10014	1	3,15;4,15;1,150
215	soldier_npc_10014	2	3,3;4,3;1,30
216	soldier_npc_10014	3	3,3;4,3;1,30
217	soldier_npc_10014	4	3,3;4,3;1,30
218	soldier_npc_10014	5	3,3;4,3;1,30
219	soldier_npc_10014	6	3,3;4,3;1,30
220	soldier_npc_10014	7	3,3;4,3;1,30
221	soldier_npc_10014	8	3,3;4,3;1,30
222	soldier_npc_10014	9	3,3;4,3;1,30
223	soldier_npc_10015	1	3,15;4,15;1,150
224	soldier_npc_10015	2	3,3;4,3;1,30
225	soldier_npc_10015	3	3,3;4,3;1,30
226	soldier_npc_10015	4	3,3;4,3;1,30
227	soldier_npc_10015	5	3,3;4,3;1,30
228	soldier_npc_10015	6	3,3;4,3;1,30
229	soldier_npc_10015	7	3,3;4,3;1,30
230	soldier_npc_10015	8	3,3;4,3;1,30
231	soldier_npc_10015	9	3,3;4,3;1,30
232	soldier_npc_10001	1	3,10;4,10
233	soldier_npc_10001	2	3,3;4,3
234	soldier_npc_10001	3	3,3;4,3
235	soldier_npc_10001	4	3,3;4,3
236	soldier_npc_10001	5	3,3;4,3
237	soldier_npc_10001	6	3,3;4,3
238	soldier_npc_10001	7	3,3;4,3
239	soldier_npc_10001	8	3,3;4,3
240	soldier_npc_10003	1	3,10;4,10
241	soldier_npc_10003	2	3,3;4,3
242	soldier_npc_10003	3	3,3;4,3
243	soldier_npc_10003	4	3,3;4,3
244	soldier_npc_10003	5	3,3;4,3
245	soldier_npc_10003	6	3,3;4,3
246	soldier_npc_10003	7	3,3;4,3
247	soldier_npc_10003	8	3,3;4,3
248	soldier_npc_10004	1	3,10;4,10
249	soldier_npc_10004	2	3,3;4,3
250	soldier_npc_10004	3	3,3;4,3
251	soldier_npc_10004	4	3,3;4,3
252	soldier_npc_10004	5	3,3;4,3
253	soldier_npc_10004	6	3,3;4,3
254	soldier_npc_10004	7	3,3;4,3
255	soldier_npc_10004	8	3,3;4,3
256	soldier_npc_10005	1	3,10;4,10
257	soldier_npc_10005	2	3,3;4,3
258	soldier_npc_10005	3	3,3;4,3
259	soldier_npc_10005	4	3,3;4,3
260	soldier_npc_10005	5	3,3;4,3
261	soldier_npc_10005	6	3,3;4,3
262	soldier_npc_10005	7	3,3;4,3
263	soldier_npc_10005	8	3,3;4,3
264	soldier_npc_10002	1	3,10;4,10
265	soldier_npc_10002	2	3,3;4,3
266	soldier_npc_10002	3	3,3;4,3
267	soldier_npc_10002	4	3,3;4,3
268	soldier_npc_10002	5	3,3;4,3
269	soldier_npc_10002	6	3,3;4,3
270	soldier_npc_10002	7	3,3;4,3
271	soldier_npc_10002	8	3,3;4,3
272	soldier_npc_10039	1	3,25;4,25;1,250;131,60
273	soldier_npc_10039	2	3,3;4,3;1,30;131,10
274	soldier_npc_10039	3	3,3;4,3;1,30;131,10
275	soldier_npc_10039	4	3,3;4,3;1,30;131,10
276	soldier_npc_10039	5	3,3;4,3;1,30;131,10
277	soldier_npc_10039	6	3,3;4,3;1,30;131,10
278	soldier_npc_10039	7	3,3;4,3;1,30;131,10
279	soldier_npc_10039	8	3,3;4,3;1,30;131,10
280	soldier_npc_10039	9	3,3;4,3;1,30;131,10
281	soldier_npc_10039	10	3,3;4,3;1,30;131,10
282	soldier_npc_10040	1	3,25;4,25;1,250;132,60
283	soldier_npc_10040	2	3,3;4,3;1,30;132,10
284	soldier_npc_10040	3	3,3;4,3;1,30;132,10
285	soldier_npc_10040	4	3,3;4,3;1,30;132,10
286	soldier_npc_10040	5	3,3;4,3;1,30;132,10
287	soldier_npc_10040	6	3,3;4,3;1,30;132,10
288	soldier_npc_10040	7	3,3;4,3;1,30;132,10
289	soldier_npc_10040	8	3,3;4,3;1,30;132,10
290	soldier_npc_10040	9	3,3;4,3;1,30;132,10
291	soldier_npc_10040	10	3,3;4,3;1,30;132,10
292	soldier_npc_10041	1	3,25;4,25;1,250;51,60
293	soldier_npc_10041	2	3,3;4,3;1,30;51,10
294	soldier_npc_10041	3	3,3;4,3;1,30;51,10
295	soldier_npc_10041	4	3,3;4,3;1,30;51,10
296	soldier_npc_10041	5	3,3;4,3;1,30;51,10
297	soldier_npc_10041	6	3,3;4,3;1,30;51,10
298	soldier_npc_10041	7	3,3;4,3;1,30;51,10
299	soldier_npc_10041	8	3,3;4,3;1,30;51,10
300	soldier_npc_10041	9	3,3;4,3;1,30;51,10
301	soldier_npc_10041	10	3,3;4,3;1,30;51,10
302	soldier_npc_10042	1	3,25;4,25;1,250;132,60
303	soldier_npc_10042	2	3,3;4,3;1,30;132,10
304	soldier_npc_10042	3	3,3;4,3;1,30;132,10
305	soldier_npc_10042	4	3,3;4,3;1,30;132,10
306	soldier_npc_10042	5	3,3;4,3;1,30;132,10
307	soldier_npc_10042	6	3,3;4,3;1,30;132,10
308	soldier_npc_10042	7	3,3;4,3;1,30;132,10
309	soldier_npc_10042	8	3,3;4,3;1,30;132,10
310	soldier_npc_10042	9	3,3;4,3;1,30;132,10
311	soldier_npc_10042	10	3,3;4,3;1,30;132,10
312	soldier_npc_10047	1	3,25;4,25;1,250;52,60
313	soldier_npc_10047	2	3,3;4,3;1,30;52,10
314	soldier_npc_10047	3	3,3;4,3;1,30;52,10
315	soldier_npc_10047	4	3,3;4,3;1,30;52,10
316	soldier_npc_10047	5	3,3;4,3;1,30;52,10
317	soldier_npc_10047	6	3,3;4,3;1,30;52,10
318	soldier_npc_10047	7	3,3;4,3;1,30;52,10
319	soldier_npc_10047	8	3,3;4,3;1,30;52,10
320	soldier_npc_10047	9	3,3;4,3;1,30;52,10
321	soldier_npc_10047	10	3,3;4,3;1,30;52,10
322	soldier_npc_10048	1	3,25;4,25;1,250;131,60
323	soldier_npc_10048	2	3,3;4,3;1,30;131,10
324	soldier_npc_10048	3	3,3;4,3;1,30;131,10
325	soldier_npc_10048	4	3,3;4,3;1,30;131,10
326	soldier_npc_10048	5	3,3;4,3;1,30;131,10
327	soldier_npc_10048	6	3,3;4,3;1,30;131,10
328	soldier_npc_10048	7	3,3;4,3;1,30;131,10
329	soldier_npc_10048	8	3,3;4,3;1,30;131,10
330	soldier_npc_10048	9	3,3;4,3;1,30;131,10
331	soldier_npc_10048	10	3,3;4,3;1,30;131,10
332	soldier_npc_10049	1	3,25;4,25;1,250;51,60
333	soldier_npc_10049	2	3,3;4,3;1,30;51,10
334	soldier_npc_10049	3	3,3;4,3;1,30;51,10
335	soldier_npc_10049	4	3,3;4,3;1,30;51,10
336	soldier_npc_10049	5	3,3;4,3;1,30;51,10
337	soldier_npc_10049	6	3,3;4,3;1,30;51,10
338	soldier_npc_10049	7	3,3;4,3;1,30;51,10
339	soldier_npc_10049	8	3,3;4,3;1,30;51,10
340	soldier_npc_10049	9	3,3;4,3;1,30;51,10
341	soldier_npc_10049	10	3,3;4,3;1,30;51,10
342	soldier_npc_10050	1	3,25;4,25;1,250;52,60
343	soldier_npc_10050	2	3,3;4,3;1,30;52,10
344	soldier_npc_10050	3	3,3;4,3;1,30;52,10
345	soldier_npc_10050	4	3,3;4,3;1,30;52,10
346	soldier_npc_10050	5	3,3;4,3;1,30;52,10
347	soldier_npc_10050	6	3,3;4,3;1,30;52,10
348	soldier_npc_10050	7	3,3;4,3;1,30;52,10
349	soldier_npc_10050	8	3,3;4,3;1,30;52,10
350	soldier_npc_10050	9	3,3;4,3;1,30;52,10
351	soldier_npc_10050	10	3,3;4,3;1,30;52,10
352	soldier_npc_10051	1	3,25;4,25;1,250;132,60
353	soldier_npc_10051	2	3,3;4,3;1,30;132,10
354	soldier_npc_10051	3	3,3;4,3;1,30;132,10
355	soldier_npc_10051	4	3,3;4,3;1,30;132,10
356	soldier_npc_10051	5	3,3;4,3;1,30;132,10
357	soldier_npc_10051	6	3,3;4,3;1,30;132,10
358	soldier_npc_10051	7	3,3;4,3;1,30;132,10
359	soldier_npc_10051	8	3,3;4,3;1,30;132,10
360	soldier_npc_10051	9	3,3;4,3;1,30;132,10
361	soldier_npc_10051	10	3,3;4,3;1,30;132,10
362	soldier_npc_10055	1	3,25;4,25;1,250;132,60
363	soldier_npc_10055	2	3,3;4,3;1,30;132,10
364	soldier_npc_10055	3	3,3;4,3;1,30;132,10
365	soldier_npc_10055	4	3,3;4,3;1,30;132,10
366	soldier_npc_10055	5	3,3;4,3;1,30;132,10
367	soldier_npc_10055	6	3,3;4,3;1,30;132,10
368	soldier_npc_10055	7	3,3;4,3;1,30;132,10
369	soldier_npc_10055	8	3,3;4,3;1,30;132,10
370	soldier_npc_10055	9	3,3;4,3;1,30;132,10
371	soldier_npc_10055	10	3,3;4,3;1,30;132,10
372	soldier_npc_10056	1	3,25;4,25;1,250;131,60
373	soldier_npc_10056	2	3,3;4,3;1,30;131,10
374	soldier_npc_10056	3	3,3;4,3;1,30;131,10
375	soldier_npc_10056	4	3,3;4,3;1,30;131,10
376	soldier_npc_10056	5	3,3;4,3;1,30;131,10
377	soldier_npc_10056	6	3,3;4,3;1,30;131,10
378	soldier_npc_10056	7	3,3;4,3;1,30;131,10
379	soldier_npc_10056	8	3,3;4,3;1,30;131,10
380	soldier_npc_10056	9	3,3;4,3;1,30;131,10
381	soldier_npc_10056	10	3,3;4,3;1,30;131,10
382	soldier_npc_10057	1	3,25;4,25;1,250;52,60
383	soldier_npc_10057	2	3,3;4,3;1,30;52,10
384	soldier_npc_10057	3	3,3;4,3;1,30;52,10
385	soldier_npc_10057	4	3,3;4,3;1,30;52,10
386	soldier_npc_10057	5	3,3;4,3;1,30;52,10
387	soldier_npc_10057	6	3,3;4,3;1,30;52,10
388	soldier_npc_10057	7	3,3;4,3;1,30;52,10
389	soldier_npc_10057	8	3,3;4,3;1,30;52,10
390	soldier_npc_10057	9	3,3;4,3;1,30;52,10
391	soldier_npc_10057	10	3,3;4,3;1,30;52,10
392	soldier_npc_10058	1	3,25;4,25;1,250;132,60
393	soldier_npc_10058	2	3,3;4,3;1,30;132,10
394	soldier_npc_10058	3	3,3;4,3;1,30;132,10
395	soldier_npc_10058	4	3,3;4,3;1,30;132,10
396	soldier_npc_10058	5	3,3;4,3;1,30;132,10
397	soldier_npc_10058	6	3,3;4,3;1,30;132,10
398	soldier_npc_10058	7	3,3;4,3;1,30;132,10
399	soldier_npc_10058	8	3,3;4,3;1,30;132,10
400	soldier_npc_10058	9	3,3;4,3;1,30;132,10
401	soldier_npc_10058	10	3,3;4,3;1,30;132,10
